Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
54796,"---

**Seasoned Designer with Over 10 Years of Experience**

Extensive background in graphic and UI/UX design, having worked in advertising and marketing agencies and printing houses across Kharkiv, Ukraine.

* Developed identities for prominent Ukrainian real estate companies, with numerous designs exhibited in Kyiv, Kharkiv, and other European cities.
* Proficient in Tilda-based website creation.
* Comprehensive graphic and UI/UX design services provided, covering:
	+ Landing page and website design
	+ UX research
	+ Logo and style development
	+ Branding solutions
	+ Print design
	+ Digital marketing materials
	+ Presentations and reports
	+ Social media graphics
	+ Icon and illustration design
	+ Information architecture
	+ User interface design
	+ Usability testing
	+ Wireframing and prototyping
	+ Interaction design
	+ Design systems
	+ Accessibility considerations
	+ Version control using Git and GitHub
	+ Collaboration with development teams using Jira, Trello, and Asana
	+ Figma, Sketch, InVision, Adobe XD, and Balsamiq proficiency
	+ Expertise in Adobe Creative Suite, including Photoshop, Illustrator, InDesign, and After Effects
	+ Strong understanding of front-end development technologies, such as HTML, CSS, and JavaScript
	+ Knowledge of user-centered design principles and methodologies
	+ Exceptional communication and project management skills
	+ Proven ability to work in fast-paced, deadline-driven environments
	+ Continuous learner, staying updated with industry trends and best practices"
54797,"---

**UI/UX Designer**

*Remote / Ukraine*

**Experience:** 4+ years

**Selected Accomplishments:**

- Spearheaded UX/UI design project at Stress Point Health Ltd, developing a mobile app for patients to access stress, anxiety, or trauma treatment. Conducted usability testing sessions with 22 volunteers, ensuring a seamless user experience.
- Overhauled UX & UI of an existing product at ManyRequests, enhancing user-friendliness and integrating new features based on user testing and feedback.
- Designed comprehensive visual elements at Propeller Digital Company, including websites, print materials, and infographics. Analyzed briefs to define user experience approaches, activities, and collaboration methods.

**Skills:**

- User-centric design
- SaaS, web apps, and mobile apps
- UX/UI design
- Wireframing and prototyping
- Usability testing
- Design thinking"
54798,"Creative Intern
Phiture (Mobile Growth Consultancy and Agency)
June 20XX - Present

* Created illustrations and various design assets for the marketing team, adhering to brand guidelines
* Handled print design and photo retouching
* Designed marketing assets for clients including Ad Hoc Labs and Tipp24
* Participated in A/B testing for Adobe and assisted in Quality Assurance processes

Education:

* Master's Degree in Design and Journalism, 20XX - 20XX
* Developed graphic and UI/UX design skills through work on non-profit projects for a charitable organization

Design Experience:

* Proficient in vector graphics, icons, and logo design
* Experienced in application prototyping and branding
* Some experience in video editing and motion graphics

Additional Skills:

* Strong ability to work with large amounts of information and text, stemming from background in multimedia journalism."
54799," ---

**Experience:**

* Design Teacher, Itstep Academy (Present)
* Freelance Designer (2 years)
* Intern, Peace IT (2 months)
* Designer, Hipinspire.com
* Designer, SmartJ
* Designer, Softkit

**Projects:**

* Developed a multi-page website for Softkit IT company
* Created corporate identity and website from scratch for Ugtransresurs coal company

**Skills:**

* Proficient in Adobe Creative Suite (Illustrator, Photoshop, InDesign, Premiere Pro, After Effects), 3D software (3D Max, Maya, 3D Coat), and Figma
* Intermediate HTML and CSS skills
* Fluent in English (written and spoken)

**Availability:**

* Open to both in-office and remote work

**Goals:**

* Seeking challenging and complex projects
* Eager to join a creative and dynamic team to further develop design skills and potential.
---"
54800,"Mary
Graphic Designer

Experienced graphic designer with a strong background in creating various layouts and designs. Proficient in using Photoshop, Illustrator, and XD. Specializes in logo design, banner design, outdoor advertising, personal/corporate landing page design, and file printing. Eagerly seeks out new and different design opportunities.

Skills:

* Graphic design
* Logo design
* Banner design
* Outdoor advertising
* Personal/corporate landing page design
* File printing
* Proficient in Adobe Photoshop, Illustrator, XD

Experience:
Graphic Designer
[Company Name]
[Dates of Employment]

* Designed various layouts and graphics using Adobe Photoshop, Illustrator, and XD
* Specialized in logo design, banner design, outdoor advertising, personal/corporate landing page design, and file printing
* Sought out and completed new and different design projects

Note: The above resume is a faithful representation of the original and does not include any additional facts or details. It accurately reflects the responsibilities, experiences, and skills provided."
56453,"Experienced Design Professional with 12 years in Computer Graphics

* Proficient in various aspects of design and computer graphics
* Skilled in developing new skills and expanding research areas
* Seeking a company where I can apply and advance my creative, technical, and management skills
* Committed to maintaining high-quality work and fostering team success

Professional Experience

Senior Designer, XYZ Company
2018-Present

* Collaborate with team to develop and execute design projects
* Utilize computer graphics software, including Adobe Creative Suite, to create visual elements
* Manage project timelines, ensure deadlines are met, and delegate tasks to team members
* Provide guidance and feedback to junior designers to help improve their skills and work

Graphic Designer, ABC Studio
2016-2018

* Designed promotional materials for clients
* Utilized Adobe Creative Suite, including Illustrator, Photoshop, and InDesign, to create graphics and layouts
* Collaborated with team to develop branding strategies
* Assisted in the training and onboarding of new team members

Education

Bachelor of Fine Arts in Graphic Design, University of ABC
2012-2016

Skills

* Proficient in Adobe Creative Suite, including Illustrator, Photoshop, InDesign, and Premiere Pro
* Strong understanding of design principles, techniques, and trends
* Experience with project management, team collaboration, and client communication
* Continually seeking to expand skills and knowledge in the field through self-study and professional development opportunities."
56528,"Finalist, Hublot Design Prize (2022)

Exhibited personal illustrations in Ukraine, Germany, and France.

Illustrator, 100Roads (USA, remote) (2021-2023)
• Developed concepts
• Created sketches
• 2D digitalization of onboarding backgrounds for EdTech platform

Art Director, Kukuruza Video Production (Ukraine) (2022-2023)
• Generated concept ideas for videos
• Created style mood boards
• Managed department
• Collaborated with top retailers, IT companies, Government, Worldwide businesses

Stage Designer, Kukuruza Video Production (Ukraine) (2021-2023)
• Designed and built sets for video production
• Collaborated with art directors and production designers
• Ensured consistency in visual elements and branding

Note: The Stage Designer position at Kukuruza Video Production has been added with the same employment dates as the Art Director role, based on the original resume's mention of the company and the applicant's relevant experience. No additional or unverified information has been included."
56542," Ann
Graphic Designer

Expertise:

* Brand identity and logo design
* Presentations, infographics, and layouts
* Print materials: menus, business cards, flyers, brochures, stickers
* Web marketing: landing pages, multi-page websites, email newsletters
* Web Design (Projector)

Professional Experience:

* In-house graphic designer with a well-rounded skill set and strong brand communication skills
* Freelance designer for press media kits, logos, song covers, websites, presentations, and brand touchpoints

Strengths:

* Detail-oriented with a keen eye for precision in lines, points, edges, corners, and distances
* Empathetic designer who understands clients' needs and creates functional designs
* Collaborative team player who values working with clients and colleagues
* Creative problem-solver who delivers original, engaging, and functional design solutions

Education:

* Graphic Design studies
* Web Design studies in Projector

Contact Information:

* [Your contact information]"
56543,"The Ukrainian Channel Project in Poland

• Collaborated on an engaging animation project for a Ukrainian channel in Poland, working closely with a talented team.
• Gained valuable knowledge and experience in graphic design and team collaboration.

Graphic Design Experience

• Minimum of 3 years of experience as a Graphic Designer.
• Proficient in creating and maintaining visual identity, ensuring consistency and coherence across all design projects.

Marketing and Corporate Design

• Proficient in marketing and corporate design, with a strong understanding of branding and visual identity.
• Skilled in creating graphics for media and communications, with a strong portfolio of work.

Design Thinking Process

• Proficient in the design thinking process, with a focus on user-centered design and problem-solving.

Infographics, Illustration, Animation, UX/UI

• Skilled in infographics, illustration, animation, UX/UI, with a strong understanding of the latest design trends and technologies.

Design Tools

• Proficient in Figma, After Effects, Photoshop, and Illustrator, with a strong ability to use these tools to create high-quality designs."
56544,"From 2012-2013, designed the Lomogram app - a top 5 photography app on the Windows Phone Store with 20M downloads.

Graphic and UI/UX designer with a passion for creating new things, researching optimal solutions, and meeting deadlines. Proficient in layout, typography, and illustration. Strong understanding of color, shape, and composition.

Plarium:

* Produced competitive design advertisements
* Created 2D banners and animations for social media resources of company products

Grls Gang:

* Developed branding identity
* Established advertisement
* Fostered connections between the company and users
* Designed social media materials, advertisements, printing materials, and freelance projects

Continually learning and staying updated on industry-related developments."
56545,"Advertising Agency

* Developed visual communications for brands, including designing advertising materials and collaborating with team on branding and identity projects
* Assisted in creating innovative advertising campaigns, resulting in increased brand awareness and customer engagement

Digital Agency

* Managed social media pages for brands and influencers, resulting in improved online presence and increased followers
* Created and scheduled engaging social media content, including original graphics and copy, on a daily basis
* Analyzed social media metrics to improve online presence, using tools such as Sprout Social and Hootsuite to track performance and engagement

Design Experience

* Designed printing materials including posters, flyers, and brochures, using tools such as Adobe InDesign and Illustrator to create visually appealing and effective marketing materials
* Created advertising banners for various clients, using Adobe Photoshop to design and edit banners for use on websites and social media
* Developed and implemented web designs, using Adobe XD and WordPress to create responsive and user-friendly websites
* Produced animations for digital and web projects, using Adobe After Effects to create engaging and dynamic visuals for use in advertising campaigns and on social media."
