Unnamed: 0,modified_Llama/meta-llama/llama-3.3-70b-instruct:free
53974,"Game UI/UX Designer/Artist

Highly motivated and detail-oriented game UI/UX designer and artist with experience in creating engaging and user-friendly interfaces for casual games. Proficient in designing UI visuals from concept to final rendering and preparing sprites for Unity development.

Key Responsibilities:
- Research game interfaces and functional solutions to develop convenient, visually attractive, and unique interfaces
- Create UI visuals, logos, icons, buttons, pop-ups, and unique mechanics for casual games
- Collaborate with cross-functional teams including designers, managers, 2D and 3D artists, and programmers
- Monitor interface layout in game engines and stay updated with the latest UI/UX design trends and techniques

Education:
- Bachelor's degree in ""Artist-performer"" from Kyiv National University of Construction and Architecture

Experience:
- Participated in the development of a released mobile casual game
- Currently working as a game UI/UX designer/artist at a Ukrainian game company, creating UI visuals for casual games and collaborating with a team of designers, managers, artists, and programmers

Seeking a challenging role with a strong team where I can apply my skills and knowledge to deliver high-quality results and continue to grow professionally."
53975,"Graduated with honors from Web Design courses and supervised the final group project
Successfully organized the printing of materials for two exhibitions in different cities at the same time
Developed a welcome-box for new employees of the company
Completed 248+ projects
3+ years of experience
Completed English courses in 2022 with honors
Continuing to work actively in challenging times

UI/UX game designer with 4 years of commercial experience in Design and 2 years in GameDev
Worked on various projects, including mobile shooters, educational games, tactical MOBAs, and multiplayer casual games
Participate in and support the full cycle of UI and UX creation: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation, and game testing
Utilize Figma, Photoshop, Unity3d, Jira, Confluence, and Plastic SCM daily, with a willingness to learn new technologies

Key accomplishments:
Led full UI development for an educational mobile game with over 100,000 downloads
Participated in the development of a AAA PC MOBA
Updated the design and transferred a PC simulator to a mobile platform for cybersportsmen
Created game graphics using a graphics tablet

Seeking a company with a friendly team, high-quality projects, and a supportive environment, where I can contribute to innovative and challenging projects, regardless of size or complexity."
53976,"Here is the rewritten resume:


Summary:
Results-driven team player with expertise in UI art, 3D modeling, and concept art. Proven ability to quickly acquire new knowledge and skills. Effective teacher and leader with excellent communication skills.


Skills:
- Game UI art
- UI design
- 3D modeling and sculpting
- Texturing
- Character concept art
- Environment concept art
- Illustration
- Character design
- Creative design
- Fluent in English
- Rapid knowledge acquisition
- Team collaboration
- Teaching and leadership


Software Proficiency:
- Photoshop
- Daz Studio
- Blender
- Substance Painter
- Substance Designer
- ZBrush"
53977,"Results-driven professional with expertise in motion design, team management, and UX/UI design. 

Key Achievements:
- Created exceptional motion design for worldwide poker and casino products
- Improved design and animation export pipeline in multiple projects
- Successfully managed a team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sounds, and development

Experience:
- Contributed to the rebranding of poker brands
- Designed UX/UI for poker applications
- Developed, organized, and distributed project style guides, design systems, and asset libraries
- Created motion graphics and animations for poker and casino games, including slots, betting, and blackjack
- Established clean and scalable After Effects project architecture
- Produced motion graphics for live online events
- Played a key role in creating and organizing the gaming design team
- Collaborated with the development team to improve design and animation consistency, introducing new technologies to the workflow
- Enhanced the visual and gaming experience of products
- Prepared detailed briefs and specifications, guiding design, graphic, motion, sound artists, and developers to achieve final results
- Designed storyboards and concepts for promotional videos

Career Goals:
- Leverage experience in the gaming industry to acquire new skills from leading specialists
- Produce high-quality products
- Effectively manage tasks and take responsibility for outcomes
- Motivate teams to strive for excellence in product creation"
53978,"UI/UX Designer
Proven track record of utilizing prototyping skills to enhance UI and game experience, with a focus on improving performance, streamlining development, and simplifying UI layouts. Consistently delivered high-quality results ahead of schedule, resulting in high customer satisfaction.

Key Skills and Experience:
- Implemented 9-Slice Scaling on various projects
- Successfully imported finished interfaces from Figma directly into Unity
- Developed comprehensive User Flows and Wireframes
- Created UI elements from scratch
- Selected and implemented appropriate fonts for projects
- Prototyped interfaces to test and refine user experience
- Collaborated with cross-functional teams, including UI/UX developers, game designers, artists, and programmers
- Designed and developed UI for projects across multiple platforms, including PC, consoles, and mobile devices"
53979,"UX/UI Designer (2020-2022)

Second Half of the Year:
- Developed an indie game's interface based on self-conducted UX research
- Created low- and high-fidelity wireframes
- Collaborated with developers and game designers
- Designed and implemented surveys and exercises for user testing to gain in-depth understanding of the game

First Half of the Year:
- Developed UX/UI solutions using user-centered design principles
- Conceptualized ideas from low-fidelity wireframes to interactive visual designs and prototypes
- Designed site maps and information architecture
- Demonstrated how design solutions address core user needs and add value
- Utilized storyboards, process flows, and sitemaps to illustrate design ideas
- Created adaptive and responsive UX/UI wireframes for web-based applications
- Considered negative paths and ensured design covered full customer loops
- Developed customer journey maps and guides to support product vision

Visual and Graphic Designer (2019-2022)
Key Responsibilities:
- Created logos, conceptual identities, banners, posters, and ads
- Generated ideas and styles, staying up-to-date with design trends
- Paid attention to details and structured work results
- Presented and defended design ideas to clients
- Collaborated with a strong team to implement knowledge and skills into products"
53981,"UI/UX Designer & Artist
Experienced in game development since 2020, with a background in creating engaging graphic works and a deep understanding of design principles.

Professional Experience:
UI/UX Designer/ UI Artist at Game Insight, 101XP, Playrix, and WhaleApp

Key Skills:
- Graphic Design: Comprehensive knowledge of graphic development cycle, including website and application design, branding, polygraphic design, and 2D animation
- Technical Expertise: Proficient in adhering to technical requirements for printed materials and digital layouts
- Project Management: Proven ability to manage projects effectively, ensuring high work organization and timely completion
- Creative Problem-Solving: Skilled in critical thinking and bringing creative solutions to the table

Work Environment:
- Collaborative team player with experience in qualified management and creative spaces
- Proven ability to work on interesting projects, driving innovation and excellence in design"
54796,"Designer from Kharkiv with over 10 years of experience in graphic and UI/UX design. Proven track record of working with European clients and leading Ukrainian real estate companies.

Experience:
- Created numerous logos and styles for outdoor advertising in Kyiv, Kharkiv, and other cities in Ukraine and Europe
- Worked in advertising and marketing agencies, printing houses, and as a freelancer
- Developed company identities for prominent Ukrainian real estate companies
- Designed websites using the Tilda constructor

Services:
- Creation of landing pages and websites
- UX research
- Logo design
- Social network design
- Layouts for printed materials
- Presentations
- Outdoor advertising
- Transport branding

Skills:
- Excellent organizational and planning skills
- Strong team player
- User-friendly design expertise

With a strong desire to grow and develop as a UX/UI designer, I look forward to collaborating and exploring new opportunities."
54797,"UX/UI Designer
Remote Graphic, UI/UX Designer from Ukraine with 4+ years of experience in creating user-centric designs for complex and specialized software products, including SaaS services, web apps, and mobile apps.

Summary:
Led UX/UI design project at Stress Point Health Ltd, designing from idea to full UI. Proven experience in reworking UX & UI, iterating designs based on feedback, and creating on-brand solutions that meet business goals.

Experience:

UX/UI Designer, ManyRequests (Aug 2020 - Nov 2020)
- Reworked UX & UI of an existing product to enhance user experience
- Iterated designs based on feedback, user testing, and feature response
- Created on-brand design solutions that met measurable business goals and requirements
- Integrated new features according to user needs

Product Designer, Stress Point Health Ltd (Apr 2018 - Jun 2020)
- Designed a mobile app for patients to access stress, anxiety, and trauma treatment
- Led design from idea to full UI, combining metrics and visualizing data for users
- Created wireframes, user journeys, and prototypes for testing
- Facilitated usability testing sessions with 22 volunteers to ensure usability

UI/UX and Web Designer, Propeller Digital Company (May 2016 - Dec 2019)
- Led design decisions as the sole designer
- Designed all visible pixels, from websites to print materials and infographics
- Analyzed briefs to define user experience approaches and activities
- Translated concepts into wireframes, designs, and mockups for B2B and B2C markets
- Redesigned business presentations, logo, brand identity, and visual design of existing websites"
54798,"Creative Intern, Phiture (6 months)
- Created illustrations and design assets for marketing team
- Adjusted designs to brand guidelines
- Conducted print design and photo retouching
- Developed marketing assets for clients, including Ad Hoc Labs and Tipp24
- Participated in A/B testing for Adobe
- Assisted in Quality Assurance processes

Master's Degree in Design and Journalism (3 years)
- Completed non-profit projects for a charitable organization, refining graphic and UI/UX design skills

Skills:
- Vector graphics, icons, and logos
- Application prototyping and branding
- Video editing and motion graphics
- Information and text management, with experience in multimedia journalism"
54799,"Design Teacher & Freelance Designer

Summary:
Results-driven design teacher and freelance designer with 3 years of teaching experience and a strong background in graphic design, web development, and digital media. Proficient in a range of design programs and technologies, with a strong passion for creative and complex projects.

Experience:
Design Teacher, Itstep Academy
- Currently teaching design to students, sharing knowledge and expertise in design principles and software.

Freelance Designer
- Developed a multi-page website for Softkit IT company
- Created a corporate identity and website for Ugtransresurs coal company from scratch
- Collaborated with clients such as Hipinspire.com, SmartJ, and Softkit
- 2 years of freelance experience, with a strong portfolio of work

Intern, Peace IT
- Completed a 2-month internship, gaining valuable industry experience and skills

Skills:
- Proficient in design programs such as Adobe Illustrator, Photoshop, InDesign, Premiere Pro, After Effects, 3D Max, Maya, 3D Coat, and Figma
- HTML and CSS skills
- Intermediate level English language skills
- Strong understanding of design principles and practices
- Ability to work independently or as part of a team, in an office or remote setting

Career Goals:
Seeking a challenging and creative role in a young and dynamic team, with opportunities for growth and self-realization as a designer."
54800,"Mary
Graphic Designer

Summary:
Highly motivated graphic designer with over 3 years of experience in designing various projects, including logo design, banner design, outdoor advertising, and personal/corporate landing page design.

Technical Skills:
- Proficient in Adobe Photoshop, Illustrator, and XD

Experience:
Graphic Designer
- Designed multiple layouts for various projects
- Utilized Photoshop, Illustrator, and XD to create visual content
- Specialized in logo design, banner design, outdoor advertising, and personal/corporate landing page design
- Managed file printing for completed projects

About:
Dedicated and open to new design opportunities, with a strong willingness to cooperate and collaborate on diverse projects."
56453,"Results-driven design and computer graphics professional with 12 years of experience in the field. Proven ability to develop new skills and expand areas of research. Seeking a challenging role that utilizes creative, technical, and management skills to drive team success and deliver high-quality results. Committed to continued growth as a versatile specialist, contributing to the completion of assigned tasks to the highest standard."
56528,"Finalist, Hublot Design Prize (2022)

Personal Illustrations Exhibitions:
Ukraine, Germany, France

Illustrator, 100Roads (USA, remote) 2021-2023
- Concept development
- Sketching
- 2D digitalization of onboarding backgrounds for EdTech platform

Art Director, Kukuruza Video Production (Ukraine) 2022-2023
- Concept idea creation
- Style mood board development
- Department management
- Collaboration with top retailers, IT companies, government, and worldwide businesses

Stage Designer, Kukuruza Video Production (Ukraine) 2021-2022
- Storyboard creation
- Location art direction
- Prop design for videos
- Collaboration with top retailers

Printing Designer, Picasso Art Wedding (Ukraine) 2017-2020
- Watercolor illustrations
- Calligraphy
- Prepress and printing (invitations, menus, name cards, envelopes)

Graphic Designer - Contractor, SSN Design Bureau (Ukraine) 2019
- Branding
- Illustrations
- Logo design
- Packaging
- Prepress for FMCG, restaurants, and coffeeshops

Freelance Contractor (Ukraine, Europe, USA) 2014-Present
- Web design
- UI/UX
- Illustrations
- Brand identity
- Prepress
- Social network design (Vogue Ukraine project)
- Collaboration with FMCG, fashion brands (Elle magazine cover), start-ups, galleries, and small to medium-sized enterprises

Results-driven team player, open to new tasks, projects, and experiences."
