Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
29788,"Digital 2D Artist & UI/UX Designer
Kyiv, Ukraine

Portfolio: [www.yourportfolio.com](http://www.yourportfolio.com)

Summary:

* Self-taught digital 2D artist and UI/UX designer with extensive knowledge and experience
* Proficient in Adobe Photoshop Beta, Illustrator, Figma, and Procreate App
* Strong technical understanding and up-to-date knowledge of design and technology trends
* Upper-intermediate English skills, effective communication abilities, and time and self-management skills

Experience:

* Full Stack UI/UX Designer & Illustrator (Apr 2021 - Present)
	+ Responsible for designing and implementing user-friendly interfaces for web and mobile applications
	+ Collaborated with cross-functional teams to define and implement design solutions
	+ Created visualizations, prototypes, and presentations to effectively communicate design ideas
* UI/UX Designer & Illustrator (Nov 2019 - Mar 2021)
	+ Designed and implemented user interfaces for web and mobile applications
	+ Created wireframes, prototypes, and high-fidelity designs for various projects
	+ Collaborated with developers to ensure the technical feasibility of design solutions
* Freelance Web-Designer (Dec 2018 - Oct 2019)
	+ Designed and developed websites for various clients
	+ Created wireframes, prototypes, and high-fidelity designs for web projects
	+ Implemented designs using HTML, CSS, and JavaScript

Skills:

* UI/UX Design
* Adaptive Design
* Illustration (raster/vector)
* Banner Design
* Logo Design

Tools:

* Adobe Photoshop
* Adobe Illustrator
* Procreate App
* Figma
* Midjourney

Awards:

* RED DOT Award for Brands & Communication Design (Aug 2022)"
29835," Digital Designer

Skills:

* Expertise in color theory, composition, and color sense
* Experienced in branding, advertising, and illustration
* Proficient in digital design, digital imagery, and digital analytics
* Specializing in creating social media ads, web ads, and E-blast
* Strong UI/UX design skills
* Proficient in HTML/CSS and WEBFLOW
* Advanced user of Figma, with working knowledge of Photoshop and Illustrator

Soft skills:

* Confident working independently and in a team
* Creative problem-solving abilities
* Excellent communication skills, with experience interfacing directly with clients

Experience:

* Completed courses in product design, basic web design, Figma, and graphic design
* Experienced digital designer with a focus on marketing, proficient in Photoshop and Illustrator, and advanced user of Figma
* Proficient in WEBFLOW, with experience in animation and CMS
* Passionate about creating visually stunning designs to help brands grow
* Experienced as both a freelance and in-house manager, with a track record of collaborating with multiple companies from different countries
* Seeking a long-term partnership with the opportunity for growth, utilizing knowledge and experience to make the customer's life easier.

Contact information. Eager to bring my background and experience to help develop award-winning campaigns for your clients."
30606," Figma:

* Designed and implemented a comprehensive UI kit using Figma, including interactive components and prototypes
* Utilized Auto Layout for creating responsive and adaptive designs
* Proficient in using Figma's plugins to enhance productivity and design quality

Beetroot Academy Mentorship Projects:

* Conducted UX research, analyzed competitors, and informed design decisions
* Developed wireframes, prototypes, and high-fidelity designs using sketching and prototyping tools
* Applied principles of composition, typography, and color to create visually appealing and effective designs
* Understood and applied design principles and trends to projects
* Successfully collaborated in group work and presented projects to stakeholders
* Leveraged Google Documents, created Google Forms to streamline project management and communication."
30845,"Junior UI/UX Designer

*Completed a 6-month UI/UX design course. Additional studies in HTML/CSS.*

**Projects:**

* Revamped a real estate company's website, improving user-friendliness and visual appeal.
* Conducted market research, developed user personas, and designed a travel website for excursion booking.
* Engineered a mobile application for restaurant table reservations, boosting user engagement and usability.

**Skills:**

* Skilled in Figma, Photoshop, and Illustrator.
* Sound knowledge in design principles and user-centered methodologies.
* Experienced in creating interactive prototypes, wireframes, and mockups.
* Collaborative team player committed to continuous learning.

**Experience:**

* Overhauled a real estate website, performing competitor research and implementing a contemporary, user-friendly design.
* Designed a web service for excursion booking, featuring search functionality, user registration, and payment processing.
* Partnered with team to develop a mobile application for restaurant table reservations, focusing on user engagement and usability.

**Seeking a full-time position in a product company** to create digital solutions for everyday life and business. I am a quick learner, responsible, and ready to tackle complex tasks."
32072," UI/UX Designer:

1. Optimized the onboarding process for a financial institution's app, resulting in a 35% increase in user-friendliness and engagement.
2. Led a team of 4 designers to create visually appealing and functional products that meet user needs and align with business goals.
3. Utilized Agile planning principles to deliver targeted solutions that fulfill customer requirements.
4. Designed wireframes, mock-ups, and prototypes to establish user interface design and architecture.
5. Played a key role in a 25% enhancement of a SaaS tool's audience management system, demonstrating the ability to develop aesthetically pleasing and effective solutions that drive business results."
46443," Resume

• Over 10 years of commercial experience in designing and developing web solutions
• Designed large CRM, SaaS projects, mobile and desktop applications
• Primary responsibility: creating and maintaining Design Systems to simplify and accelerate product development
• Developed 50+ landing pages and over 10 user cabinets
• Implemented diverse functionalities, including trendy dashboards, smart timers, and photo editors
• Proficient in Figma, Sketch, Adobe CC suite, HTML, CSS, JS, React, Next.js, WordPress, Storybook

Seeking a forward-thinking company or developer team dedicated to transforming the world, with a strong emphasis on quality and user experience improvement. Specializing in UI/UX, branding, and corporate style, with a proven track record in maintaining design systems.

Motivated by:
- Innovative and impactful products
- High engagement and professionalism
- Opportunities to contribute to product development
- Potential for leadership roles in product or team management

If you require a skilled professional for UI/UX, branding, or corporate style tasks, or if you need assistance with your product's design system, please reach out."
46506,"Software Developer

Experience:

* Developed software at a small IT company
* Utilized JavaScript technologies and React framework to build projects from scratch
* Created responsive web pages using JSX (HTML, CSS)
* Implemented animations using Framer Motion
* Incorporated Material-UI components in projects
* Familiar with Bootstrap, Materialize, Figma, and Adobe Photoshop."
50300,"---
**Accomplishment:**
Deployed a cutting-edge customer engagement platform for a major e-commerce business, increasing revenue through enhanced customer acquisition, satisfaction, and retention. Delivered the project on schedule and within budget, receiving high praise from users and clients.

**Technical Skills:**

* Frontend development: Expertise in React, Vue, and Flutter for interface creation.
* Backend development: Experience in Node.js for website and application development.
* Additional skills: API integration, custom plugin development, debugging, and performance optimization.

**Current Role:**
Design and develop frontend interfaces according to client specifications, ensuring optimal usability and exceptional application user experience. Collaborate with development teams or work independently. Debug issues, assess application performance, and optimize code when required. Contribute to project planning and strategize information flows between back-end databases and user interface components.

**Professional Development Goals:**

* Expand technical skillset by learning new technologies and frameworks, such as Angular and GraphQL.
* Strengthen understanding of software architecture designs through collaboration with experienced engineers.
* Develop into a reliable professional in the software industry, taking on leadership roles and mentoring junior developers. ---"
51419," UI/UX Designer

* Designed UI/UX for web and mobile platforms on an out-staff basis at an IT company.
* Transitioned from programming to design, specializing in user interface and user experience design.
* Completed multiple freelance projects, showcasing adaptability and range.
* Demonstrated strong problem-solving skills, consistently finding solutions for challenging design tasks.
* Seeking a full-time, remote position.

(Note: The revised resume maintains the original information while enhancing the language to better showcase the candidate's skills and experiences.)"
53971,"Senior Graphic Designer & Game UI/UX Designer

Experience:

* Senior Graphic Designer: 5 years (Highlight experience in creating visually appealing graphics for various mediums)
* Game UI/UX Designer: 3 years (current position, Specializing in game interfaces with a strong combination of technical and artistic skills)
* Indie 3D Artist (modeling, texturing, animation): 2019-present

Accomplishments:

* Demonstrated expertise in graphic design, game UI/UX design, and 3D artistry
* 1.5 years as a Game UI Designer at a leading gamedev company
* Proficient in creating user-friendly game interfaces, enhancing player experience

Expertise:

* Game UI/UX design
* Graphic design
* 3D modeling, texturing, animation

Availability:

* Open to new opportunities in the gaming industry."
53972,"-- 2+ years of website, mobile game banner, and email design experience
-- 1 year of experience in GameDev, creating offers and developing graphics for mobile games
-- Proficient in layout design based on provided concepts and in drawing navigation elements and decors
-- Skilled in utilizing design tools such as Photoshop, Figma, and creating animations in After Effects or Figma
-- Strong interest in mobile games development and dedicated to long-term partnerships with GameDev companies
-- Track record of delivering high-quality designs and collaborating with cross-functional teams."
53973,"Game UI/UX Designer

Experience:

* Developed and implemented design process, mentored team members
* Secured clients and trained staff independently
* Updated official website and redesigned logos for sites and applications

Skills:

* Proficient in UI/UX design, UI artistry, and animation
"
53974," Game UI/UX Designer/Artist

Responsibilities:
- Designed and implemented UI visuals for a released mobile casual game, working closely with a team of designers, managers, artists, and programmers
- Developed user-friendly and visually appealing interfaces, researching game interfaces and functional solutions
- Created additional game interface materials including logos, icons, buttons, pop-ups, and unique mechanics
- Monitored interface layout in engines, keeping up-to-date with the latest UI/UX design trends and techniques

Education:
- Bachelor's degree in ""Artist-performer"", Kyiv National University of Construction and Architecture

Experience:
- Game UI/UX Designer/Artist, Ukrainian Game Company

Seeking a job that offers interesting and varied tasks, utilizing my UI/UX design and artistic skills in a collaborative team environment, where I can continue to grow and share my expertise."
53975,"---
[Your Name]

Contact Information:
[Your Contact Information]

Summary:
UI/UX Game Designer with 3+ years of experience and a strong background in Design and Game Development. Specialized in mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games. Proficient in Figma, Photoshop, Unity3d, Jira, Confluence, Plastic SCM, and open to learning new technologies. Led full UI development for an educational mobile game with over 100,000 downloads, contributed to AAA PC MOBA development, and created game graphics on graphics tablet.

Education:

* Graduated with honors from Web Design courses
* Completed English courses with honors in 2"
53976," Skills:

* Expert in UI-art and design for games
* Proficient in 3D modeling, sculpting, and texturing
* Experienced in character concept art and illustration
* Skilled in environment concept design
* Strong character design abilities
* Creative and innovative design skills
* Quick learner
* Excellent team player
* Experienced teacher and leader

Software Proficiencies:

* Photoshop
* Daz Studio
* Blender (advanced level)
* Substance Painter
* Substance Designer
* Zbrush (advanced level)"
53977," Self-starter with experience in motion design for worldwide poker and casino products. Improved design and animation export pipeline in multiple projects. Managed teams of 7+ onboard and outsourced professionals, including designers, graphics specialists, motion artists, animators, sound experts, and developers.

- Improved design and animation export pipeline
- Managed teams of 7+ onboard and outsourced professionals
- Contributed to poker brand rebranding
- Designed UX/UI for poker application
- Created and organized project style guides, design systems, and asset libraries
- Produced gaming motion and animations for Poker and Casino Games (Slots, Bettings, BlackJack)
- Established clean and scalable AE projects architecture
- Created motion graphics for live online events
- Designed and contributed to the creation of the Gaming Design team
- Improved accordance of Design & Animations of application in collaboration with development team, implemented new technologies in workflow
- Enhanced visual and gaming experience of product
- Designed exhaustive briefs (specs) and accompanied to the final result design, graphic, motion, sound artists, and devs
- Created design and storyboards for promotional videos

Seeking opportunity to utilize gaming industry experience and gain new expertise from leading industry specialists. Adept at disentangling tasks and taking responsibility for results. Motivate team and share a desire to create top-quality products."
53978,"UI/UX Designer

• Utilized proficient prototyping skills to optimize UI and enhance game experience
• Implemented new features, resulting in improved performance and faster development process
• Consistently delivered high-quality work ahead of schedule, receiving high customer appreciation
• Proficient in 9-Slice Scaling for various projects
• Experienced in importing finished interfaces from Figma to Unity
• Developed User Flows and Wireframes
• Created UI from scratch, including font selection and design
• Prototyped interfaces for PC, console, and mobile devices
• Collaborated effectively with UI/UX developers, game designers, artists, and programmers."
53979," UX/UI Designer (2020-2022)

* Conducted independent UX research to develop a game's interface through user-centered design.
* Created both low- and high-fidelity wireframes, considering negative paths and full customer loops.
* Collaborated with developers and game designers to implement UX/UI solutions.
* Utilized surveys, user testing, and storyboards to understand and thoroughly illustrate the game's design.
* Designed adaptive and responsive UX/UI wireframes for web-based applications and demonstrated how designs meet core user needs.

Visual and Graphic Designer (2019-2022)

* Designed logos, conceptual identity, banners, posters, and ads, closely monitoring design trends.
* Generated creative ideas, paid attention to detail, and structured the results of work.
* Presented ideas and defended them in front of clients when necessary.
* Collaborated with a strong team, implementing design knowledge to the product effectively."
53981," UI/UX Designer/UI Artist

* Gamedev experience since 2020, with a proven track record at Game Insight, 1"
54796," **Experienced Designer with 10+ Years of Expertise**

Accomplished designer with a strong background in graphic and UI/UX design, having worked in advertising and marketing agencies, printing houses, and real estate companies across Kharkiv, Ukraine.

* Designed identities for prominent Ukrainian real estate companies, showcasing work in Kyiv, Kharkiv, and other European cities.
* Proficient in Tilda-based website creation.
* Provided comprehensive graphic and UI/UX design services, including:
	+ Landing page and website design
	+ UX research
	+ Logo and style development
	"
54797," **UI/UX Designer**

*Remote / Ukraine*

**Experience:** 4+ years

**Selected Accomplishments:**

- Led UX/UI design project at Stress Point Health Ltd, creating a mobile app for patients to access stress, anxiety, or trauma treatment. Conducted usability testing with 22 volunteers, improving the user experience.
- Revamped UX & UI of an existing product at ManyRequests, increasing user-friendliness and incorporating new features based on user testing and feedback.
- Developed visual elements at Propeller Digital Company, including websites, print materials, and infographics. Evaluated briefs to determine user experience strategies, activities, and collaboration methods.

**Skills:**

- User-centric design
- SaaS, web apps, and mobile apps
- UX/UI design
- Wireframing and prototyping
- Usability testing
- Design thinking."
54798," Creative Intern
Phiture (Mobile Growth Consultancy and Agency)
June 20XX - Present

* Designed illustrations, marketing assets, and various design elements aligned with brand guidelines
* Managed print design and photo retouching
* Created marketing materials for clients including Ad Hoc Labs and Tipp24
* Collaborated on A/B testing for Adobe and supported Quality Assurance processes

Education:

* Master's Degree in Design and Journalism, 20XX - 20XX
* Gained graphic and UI/UX design experience through non-profit project work with a charitable organization

Design Proficiency:

* Expertise in vector graphics, icon, and logo design
* Experience in application prototyping and branding
* Familiarity with video editing and motion graphics

Additional Skills:

* Strong information management and text handling capabilities, derived from multimedia journalism background."
54799,"**Experience:**

* Design Teacher, Itstep Academy (Present)
* Freelance Designer (2 years)
* Intern, Peace IT (2 months)
* Designer, Hipinspire.com
* Designer, SmartJ
* Designer, Softkit

**Projects:**
"
54800," Mary
Graphic Designer

Experienced graphic designer with a strong background in creating various layouts and designs. Proficient in using Adobe Photoshop, Illustrator, and XD. Specializes in logo design, banner design, outdoor advertising, personal/corporate landing page design, and file printing. Eagerly seeks out new and different design opportunities.

Skills:

* Graphic design
* Logo design
* Banner design
* Outdoor advertising
* Personal/corporate landing page design
* File printing
* Proficient in Adobe Photoshop, Illustrator, XD

Experience:
Graphic Designer
[Company Name]
[Dates of Employment]

* Designed various layouts and graphics using Adobe Photoshop, Illustrator, and XD
* Specialized in logo design, banner design, outdoor advertising, personal/corporate landing page design, and file printing
* Proactively sought out and completed new and different design projects."
56453," Experienced Design Professional with 12 years in Computer Graphics

* Proficient in various aspects of design and computer graphics, including Adobe Creative Suite (Illustrator, Photoshop, InDesign, Premiere Pro)
* Skilled in developing new skills and expanding research areas
* Seeking a company where I can apply and advance my creative, technical, and management skills
* Committed to maintaining high-quality work and fostering team success

Professional Experience

Senior Designer, XYZ Company
2018-Present

* Collaborate with team to develop and execute design projects
* Utilize computer graphics software to create visual elements
* Manage project timelines, ensure deadlines are met, and delegate tasks to team members
* Provide guidance and feedback to junior designers to help improve their skills and work

Graphic Designer, ABC Studio
2016-2018

* Designed promotional materials for clients
* Utilized Adobe Creative Suite to create graphics and layouts
* Collaborated with team to develop branding strategies
* Assisted in the training and onboarding of new team members

Education

Bachelor of Fine Arts in Graphic Design, University of ABC
2012-2016

Skills

* Proficient in Adobe Creative Suite
* Strong understanding of design principles, techniques, and trends
* Experience with project management, team collaboration, and client communication
* Continually seeking to expand skills and knowledge in the field through self-study and professional development opportunities."
56528," Finalist, Hublot Design Prize (2"
56542," Ann
Graphic Designer

Expertise:

* Brand identity and logo design
* Presentations, infographics, and layouts
* Print materials: menus, business cards, flyers, brochures, stickers
* Web marketing: landing pages, multi-page websites, email newsletters
* Web Design using Projector

Professional Experience:

* In-house graphic designer with a well-rounded skill set and strong brand communication skills
* Freelance designer for press media kits, logos, song covers, websites, presentations, and brand touchpoints

Strengths:

* Detail-oriented with a keen eye for precision in lines, points, edges, corners, and distances
* Empathetic designer who understands clients' needs and creates functional designs
* Collaborative team player who values working with clients and colleagues
* Creative problem-solver who delivers original, engaging, and functional design solutions

Education:

* Graphic Design studies
* Web Design studies using Projector

Contact Information:

* [Your contact information]"
56543," The Ukrainian Channel Project in Poland

• Collaborated on a captivating animation project for a Ukrainian channel based in Poland, in tandem with a skilled team.
• Acquired significant knowledge and experience in graphic design and team collaboration.

Graphic Design Experience

• Boast a minimum of 3 years as a Graphic Designer.
• Expertise in creating and preserving visual identity, ensuring consistency and coherence throughout all design projects.

Marketing and Corporate Design

• Proficient in marketing and corporate design, with a firm grasp of branding and visual identity.
• Skilled in generating graphics for media and communications, with a robust portfolio of work.

Design Thinking Process

• Proficient in the design thinking process, emphasizing user-centered design and problem-solving.

Infographics, Illustration, Animation, UX/UI

• Skilled in infographics, illustration, animation, UX/UI, with a solid understanding of current design trends and technologies.

Design Tools

• Proficient in Figma, After Effects, Photoshop, and Illustrator, with a strong ability to utilize these tools to produce high-quality designs."
56544,"From 2012-2013, designed the Lomogram app - a top 5 photography app on the Windows Phone Store with 20M downloads.

Graphic and UI/UX designer with a passion for creating new things, researching optimal solutions, and meeting deadlines. Proficient in layout, typography, and illustration. Strong understanding of color, shape, and composition.

Plarium

* Designed competitive advertisements
* Created 2D banners and animations for social media resources of company products

Grls Gang

* Developed branding identity
* Established company advertisement
* Fostered connections between the company and users
* Designed social media materials, advertisements, printing materials, and freelance projects

Continually learning and staying updated on industry-related developments."
56545," Advertising Agency

* Designed visual communications for brands, including advertising materials and branding/identity projects
* Collaborated with team to create innovative advertising campaigns, increasing brand awareness and customer engagement

Digital Agency

* Managed social media pages for brands and influencers, improving online presence and increasing followers
* Created and scheduled daily social media content, including original graphics and copy
* Analyzed social media metrics using Sprout Social and Hootsuite to track performance and engagement

Design Experience

* Designed printing materials, including posters, flyers, and brochures, using Adobe InDesign and Illustrator
* Created advertising banners for clients using Adobe Photoshop
* Developed and implemented web designs using Adobe XD and WordPress
* Produced animations for digital and web projects using Adobe After Effects."
56618," Graphic Designer
7 years of experience

• Designed diverse products, encompassing both printable and digital items such as:"
56619," Liudmila
Graphic Designer

• Proficient in Adobe Illustrator, Photoshop, InDesign, Corel Draw, Google Slides, Canva, and Figma
• Expert in logo and corporate identity design, with over 100 logotypes created
• Designed Social Media graphics for various platforms (Facebook, Instagram, Twitter, LinkedIn)
• Skilled in web and user interfaces design
• Proficient in packaging and printing products design
• Experienced in presentation design
• Knowledgeable in creating and preparing graphics for different formats, including digital and print design
• Developed new style guides for various business industries (technology, finance, healthcare, retail)"
56629,"UI/UX Designer

* Designing intuitive and visually appealing interfaces that enhance user experience and interaction with the product.

Experience

* Graphic Designer, 2016-2022
	+ Designed logos, corporate identities, advertising materials, and other graphic solutions that effectively communicated brand values and messages.
* UI/UX Designer (Practice), 2021-2022
	+ Collaborated with cross-functional teams to design and develop user-centered interfaces for web and mobile applications.
	+ Conducted user research, created wireframes, prototypes, and high-fidelity designs, and performed usability testing to optimize user experience.
	+ Utilized design tools such as Sketch, Figma, InVision, and Adobe XD to create and present designs.

Skills

* Proficient in design software including Sketch, Figma, InVision, Adobe XD, and the Adobe Creative Suite.
* Strong understanding of user-centered design principles, user research, and usability testing.
* Excellent visual design skills with a strong attention to detail and typography.
* Ability to collaborate with cross-functional teams and communicate design ideas effectively.
* Self-motivated and proactive in staying up-to-date with the latest design trends and best practices."
56630," Web / Graphic Designer - (7+ years of experience)

TOOLS: Figma, Adobe Illustrator, Adobe Photoshop, Sketch

• Designed logos, brand identities, print/social banners, flyers, posters, and social media posts for various companies.
• Created unique icons and illustrations.
• Proficient in UX/UI websites design, redesign, and responsive design.
• Gained valuable experience in the industry through in-house positions at two IT companies.
• Successfully transitioned to freelancing, working remotely with multiple companies and on independent projects.
• Expert in color theory, composition, and advanced drawing skills to enhance designs."
56631,"iOS and Android apps development
Expert in UX design

Web development:
- Responsive design
- Landing pages
- Promotion design (banners, POSM, etc.)

Graphic design:
- Logo design
- Animation (Adobe After Effects, Lottie, Freehand Drawing)
- GUI design

Experience:
- Product companies
- Outsourcing companies

Tools:
- Figma, Adobe Photoshop, Adobe Illustrator, Sketch, Affinity, Procreate
- Slack, Jira, Confluence, Keybase, Trello, Redmine
- InVision, Hotjar, Wordpress
- HTML, CSS, Python, JavaScript

Marketing knowledge, Visual communications

Seeking new challenges, open to relocation or remote work."
