id,GPT4o-mini Apple_PM Score,GPT-3.5-Turbo Apple_PM Score,CV Apple_PM Score,Clean_Deepseek_67B Apple_PM Score,Llama3-70B-Instruct-Turbo Apple_PM Score,Claude-3.5-Sonnet Apple_PM Score,GPT4o Apple_PM Score,Mixtral-8x7B-Instruct Apple_PM Score,Clean_Deepseek_V3 Apple_PM Score
22,79.014,79.935,80.599,80.432,80.224,80.552,81.37,79.077,80.594
23,81.281,79.699,80.929,79.028,81.23,79.679,80.163,78.443,81.126
24,80.364,79.313,79.493,79.246,79.503,82.185,80.7,81.598,80.683
25,78.871,78.493,79.797,78.149,78.809,79.883,82.511,78.961,79.391
26,80.646,80.426,81.511,78.915,79.14,81.777,79.698,80.407,81.908
27,82.911,80.241,81.308,85.026,81.075,82.242,83.856,81.208,83.086
28,81.403,81.056,81.269,79.327,80.262,80.77,78.846,80.236,81.209
29,82.774,81.519,82.566,82.013,80.701,82.275,81.042,81.63,81.539
30,83.009,79.842,82.566,82.013,80.701,82.81,81.042,81.63,82.409
31,78.898,79.7,81.014,81.376,80.49,79.087,81.526,80.695,80.788
32,81.649,80.287,81.228,80.635,79.91,81.644,82.829,80.078,80.495
33,78.378,77.592,78.689,77.596,79.348,79.031,80.07,78.646,79.299
34,78.571,78.623,78.725,78.379,79.405,79.895,78.534,79.185,78.777
35,79.811,79.343,81.277,81.197,80.407,79.876,79.573,80.752,80.624
36,82.184,81.583,82.89,83.95,84.865,86.439,84.647,86.389,82.951
37,74.644,74.276,74.57,75.67,75.539,75.178,77.186,74.219,74.692
38,81.328,81.182,81.875,81.649,80.654,79.688,81.45,81.121,81.168
39,74.78,76.075,75.947,76.194,75.963,75.465,74.616,75.952,75.551
40,81.906,79.735,79.398,80.601,80.434,80.586,81.909,80.761,81.295
41,83.332,80.264,82.223,81.785,81.143,81.717,82.215,81.865,82.861
42,78.405,79.422,79.346,77.002,78.031,78.849,79.781,80.326,80.331
43,79.997,74.791,76.651,81.286,77.448,79.195,79.407,77.813,79.133
44,82.608,82.424,81.605,81.303,82.417,82.596,84.263,81.572,82.425
45,80.193,79.469,79.179,78.986,78.941,80.212,80.427,79.198,80.225
46,78.071,78.291,76.444,79.159,78.274,78.659,79.88,78.063,78.203
47,81.394,78.075,77.877,76.868,81.417,79.928,79.153,77.761,77.202
48,79.333,77.302,79.391,81.256,80.074,82.752,81.836,81.219,80.908
49,84.085,82.776,82.553,84.663,83.606,82.991,81.011,83.147,85.572
50,78.489,77.202,78.348,77.912,75.937,80.697,77.721,77.604,77.501
51,80.071,79.406,79.768,78.812,79.69,81.497,81.459,79.115,81.838
52,80.778,80.909,79.714,79.033,79.695,79.428,79.322,79.269,80.901
53,81.218,81.185,81.127,81.113,81.827,80.14,79.317,81.901,81.837
54,78.698,78.891,80.18,80.586,80.873,78.821,80.015,80.398,79.465
55,81.252,81.803,80.994,80.312,81.467,81.327,80.222,81.009,81.096
56,78.841,77.19,79.009,78.855,77.818,79.938,78.602,78.339,79.388
57,81.351,79.339,79.97,80.234,82.863,80.869,80.143,79.288,79.946
58,82.441,82.227,81.877,79.196,83.204,84.027,84.02,82.762,83.748
59,81.948,81.719,82.062,81.529,82.842,80.494,82.188,81.841,82.333
60,79.957,79.554,80.758,81.074,79.083,80.267,79.568,80.325,79.247
61,80.242,79.64,80.758,81.074,79.679,78.979,80.656,79.326,79.254
62,79.727,78.926,78.259,78.745,76.697,78.774,79.251,77.675,79.048
63,80.043,80.236,78.94,80.214,79.95,82.144,78.381,73.34,80.957
64,79.466,78.767,81.119,79.656,77.642,81.876,80.651,80.136,82.82
65,82.124,81.907,82.084,81.948,82.534,81.945,82.07,81.785,84.172
66,81.664,80.398,79.617,81.723,81.247,81.603,81.899,80.837,81.256
67,79.038,80.027,80.145,79.574,78.815,79.197,78.272,77.643,79.006
68,81.188,80.814,81.135,81.176,82.254,82.542,81.665,80.511,81.965
69,81.473,81.196,81.704,80.205,80.774,81.557,81.333,81.756,83.576
70,81.3,79.467,80.993,79.899,81.28,81.198,82.494,82.522,82.612
71,81.179,80.351,82.377,82.05,80.698,81.301,82.417,82.441,82.581
72,81.651,80.549,82.916,81.13,80.266,82.172,80.447,81.245,80.967
73,80.464,79.585,79.164,78.862,79.806,80.793,81.599,74.387,80.056
74,81.812,76.811,80.133,80.53,79.99,77.309,80.118,77.284,80.049
75,80.218,79.201,81.655,79.049,79.53,79.975,79.719,80.217,80.663
76,75.467,76.827,75.315,75.74,75.424,76.682,75.784,76.07,75.541
77,79.295,79.579,79.208,79.277,79.139,79.646,79.297,78.149,80.29
78,78.937,79.667,79.667,79.491,78.528,77.862,79.742,79.386,79.035
79,79.19,78.69,78.073,79.056,78.749,78.788,80.292,81.151,79.845
80,77.848,78.978,78.936,76.798,77.739,77.942,78.505,78.789,77.658
81,82.105,82.256,82.635,79.875,82.177,82.962,81.885,81.088,81.506
82,84.186,83.235,82.607,82.936,83.438,81.496,83.9,83.108,83.391
83,83.558,82.431,80.904,81.269,78.805,80.588,83.694,81.95,82.533
84,84.076,82.175,84.106,83.249,84.521,83.271,84.786,82.78,84.68
85,80.102,78.849,81.133,80.304,80.452,80.433,78.821,80.733,80.229
86,81.528,81.149,81.716,82.031,82.435,82.43,82.922,81.96,82.187
87,80.262,80.452,80.311,80.772,80.961,82.722,79.919,80.064,79.753
88,82.304,79.936,79.862,82.085,79.943,79.937,80.041,81.434,81.151
89,81.775,79.233,83.112,81.1,80.799,81.993,83.538,81.603,83.511
90,81.413,80.219,79.003,80.26,79.611,80.326,78.816,80.644,80.876
91,83.368,82.481,83.664,83.783,81.695,82.069,82.97,82.314,83.419
92,81.232,79.031,80.138,78.782,80.01,80.809,80.815,80.459,81.126
93,79.113,78.594,79.637,79.787,80.494,79.599,79.679,80.689,79.634
94,78.702,78.656,78.499,79.862,79.997,79.317,78.942,79.235,78.906
95,81.033,78.87,80.004,80.21,80.479,82.12,80.031,80.801,80.736
96,80.462,76.306,78.499,79.267,79.7,79.305,78.724,79.539,80.652
97,82.701,81.484,81.647,81.959,81.979,81.333,82.808,82.733,83.379
98,82.886,81.687,81.204,82.944,82.0,83.937,80.713,81.381,80.995
99,81.78,80.492,79.896,80.397,81.371,80.835,81.411,80.468,80.865
