id,GPT4o-mini Match_PM Score,GPT-3.5-Turbo Match_PM Score,CV Match_PM Score,Clean_Deepseek_67B Match_PM Score,Llama3-70B-Instruct-Turbo Match_PM Score,Claude-3.5-Sonnet Match_PM Score,GPT4o Match_PM Score,Mixtral-8x7B-Instruct Match_PM Score,Clean_Deepseek_V3 Match_PM Score
40,82.224,81.008,80.546,81.468,81.41,81.583,82.062,80.721,82.53
41,83.544,79.415,81.444,81.359,81.239,82.483,82.127,81.248,82.729
42,76.973,77.788,78.044,74.485,77.567,78.466,78.217,78.546,78.642
43,81.981,75.456,78.01,81.977,78.083,80.16,79.935,78.122,80.495
44,80.277,80.219,80.071,79.174,79.285,80.72,82.452,78.826,79.923
45,79.903,77.954,78.363,78.574,78.987,80.758,80.654,79.29,80.322
46,78.024,78.626,76.961,79.386,79.723,78.796,79.672,76.89,78.162
47,81.884,77.806,77.889,77.112,82.227,81.205,79.007,75.795,77.505
48,80.635,78.126,79.906,81.829,81.568,81.984,82.812,82.717,83.02
49,83.59,82.284,82.883,84.201,84.167,81.866,81.737,80.46,84.606
50,80.362,77.547,78.677,77.938,77.703,79.631,78.435,78.674,78.487
51,81.673,79.413,80.641,79.999,81.916,82.535,82.357,80.535,82.912
52,81.225,79.865,78.809,79.164,80.636,80.208,78.526,79.816,81.314
53,81.504,82.414,81.17,82.413,81.358,80.735,80.784,81.656,81.832
54,79.547,77.976,80.769,80.299,79.468,77.776,79.74,79.377,80.098
55,80.568,80.903,82.202,79.964,81.356,82.321,79.057,79.726,81.333
56,78.566,76.62,79.208,78.877,76.853,79.25,78.652,78.029,79.157
57,81.096,77.783,79.381,79.925,82.2,79.929,79.179,78.159,79.065
58,81.873,81.956,81.643,78.844,81.868,82.725,82.071,82.022,83.076
59,80.86,80.146,80.724,81.507,82.737,80.911,82.029,80.439,82.051
60,79.626,77.394,79.702,80.414,78.573,80.919,79.615,79.553,77.783
61,79.954,77.385,79.702,80.414,79.62,79.714,80.632,79.012,77.588
62,80.49,79.382,78.647,80.147,78.065,79.472,80.706,78.388,79.248
63,79.918,80.547,79.683,81.502,80.822,81.944,80.41,71.384,82.281
64,78.85,78.176,80.562,81.16,77.781,81.317,80.501,80.052,82.231
65,83.439,81.99,82.527,81.678,84.666,82.61,82.56,81.629,84.334
66,80.451,78.953,79.798,79.896,80.77,79.854,80.979,79.947,81.342
67,78.913,78.03,79.305,78.647,78.158,77.925,77.805,77.507,79.44
68,82.8,82.525,82.389,82.103,83.847,83.371,82.971,81.585,83.853
69,78.351,78.509,78.747,78.465,77.596,79.694,79.16,78.128,81.56
70,80.696,78.762,79.872,80.203,81.13,81.686,82.591,81.234,80.917
71,83.033,82.01,82.06,83.082,82.432,83.305,84.347,82.972,83.686
72,83.147,81.09,83.101,81.524,80.917,83.163,82.003,81.07,81.807
73,80.653,77.667,78.253,77.69,79.992,82.781,80.409,74.088,81.569
74,81.925,77.204,80.47,80.042,80.377,77.781,80.414,78.697,79.867
75,80.955,79.188,80.588,78.979,79.187,80.886,80.003,79.983,80.305
76,75.238,77.384,76.343,75.96,75.763,77.072,75.906,74.309,76.404
77,80.667,80.943,79.795,80.394,80.748,81.182,80.691,79.474,81.515
78,77.373,76.976,76.976,77.256,77.198,76.53,78.03,76.564,77.081
79,80.486,80.262,79.131,80.169,79.984,80.048,81.779,81.311,81.86
80,75.515,78.933,78.934,75.231,75.482,77.003,78.052,76.524,76.8
81,83.495,82.642,83.079,80.791,81.578,83.022,82.95,80.843,81.688
82,84.087,82.384,82.905,83.094,84.202,81.625,83.966,82.095,82.739
83,83.871,81.66,81.182,80.978,78.262,81.546,84.534,81.383,82.652
84,81.146,77.141,81.306,80.258,82.453,82.207,80.385,80.175,81.061
85,80.654,78.127,80.398,79.534,79.965,80.42,78.64,79.48,80.529
86,79.137,78.536,79.451,79.358,80.08,79.613,80.533,78.077,79.237
87,78.466,78.694,78.883,78.929,78.646,80.559,78.048,77.598,77.805
88,82.613,80.513,80.848,82.163,80.78,81.682,80.664,81.95,81.901
89,82.783,81.581,85.242,82.899,82.021,83.274,85.031,83.212,84.372
90,81.717,79.689,78.937,80.22,79.433,80.372,78.933,80.127,81.928
91,83.248,81.157,82.92,83.442,83.502,83.215,83.498,81.486,83.812
92,80.965,77.994,78.663,78.225,78.904,80.389,80.206,78.265,79.931
93,80.644,78.133,79.097,79.429,80.788,80.313,78.764,79.71,80.156
94,76.65,76.198,76.374,78.533,78.335,78.708,77.498,77.443,76.541
95,81.946,79.787,80.552,79.893,81.249,82.08,80.38,81.978,82.286
96,79.521,76.041,76.523,79.039,80.455,80.273,79.175,79.103,80.151
97,83.073,80.475,80.881,81.25,81.794,81.451,82.925,81.532,83.526
98,82.313,80.759,79.625,82.285,81.092,82.055,79.754,80.296,79.884
99,80.963,79.858,78.979,81.309,81.379,81.196,80.473,80.147,80.928
