id,GPT4o-mini Yelp_PM Score,GPT-3.5-Turbo Yelp_PM Score,CV Yelp_PM Score,Clean_Deepseek_67B Yelp_PM Score,Llama3-70B-Instruct-Turbo Yelp_PM Score,Claude-3.5-Sonnet Yelp_PM Score,GPT4o Yelp_PM Score,Mixtral-8x7B-Instruct Yelp_PM Score,Clean_Deepseek_V3 Yelp_PM Score
42,74.623,75.371,75.305,74.06,75.323,75.764,77.487,77.554,76.378
43,79.823,75.035,78.58,80.897,78.5,78.915,79.74,79.035,79.179
44,79.832,80.028,79.899,78.509,79.969,82.077,82.876,80.544,80.305
45,78.198,77.719,77.92,77.265,77.027,77.397,78.625,77.649,78.872
46,78.339,78.14,77.189,78.829,79.724,79.027,80.629,78.805,78.742
47,79.258,75.932,75.867,75.43,78.088,77.088,77.297,79.031,75.715
48,79.234,76.053,78.687,80.238,80.461,78.887,80.514,78.936,80.043
49,83.596,81.042,82.885,82.864,82.208,80.73,81.245,81.151,83.883
50,78.569,76.26,77.078,77.988,75.196,79.124,76.539,76.868,76.73
51,81.5,80.2,82.159,81.171,80.971,80.786,81.957,80.717,82.063
52,79.046,79.36,78.46,77.496,77.406,77.208,77.489,78.333,78.558
53,78.994,79.763,79.621,79.278,80.149,78.558,77.421,80.906,79.388
54,81.829,81.424,80.99,82.374,81.227,78.128,82.237,79.631,79.943
55,79.583,80.689,79.582,79.253,80.789,80.388,79.436,79.857,81.033
56,76.267,74.97,76.913,76.782,75.665,77.08,76.592,76.002,76.959
57,83.676,79.606,80.959,82.264,83.221,83.518,81.059,80.963,80.949
58,81.635,81.522,81.336,79.592,82.818,81.91,82.769,81.377,82.825
59,81.336,80.904,81.592,81.543,82.069,80.555,82.893,82.757,81.744
60,79.256,77.679,79.124,79.349,79.627,79.09,79.506,81.313,78.211
61,80.161,77.155,79.124,79.349,79.902,77.737,81.248,80.507,77.128
62,77.688,78.485,77.67,78.623,75.298,77.8,77.918,75.791,77.613
63,77.016,76.933,75.374,77.564,76.93,79.874,75.596,71.735,78.152
64,77.13,76.581,79.32,78.257,75.432,78.196,78.349,77.981,80.216
65,80.797,78.924,80.053,79.037,79.948,79.493,79.342,79.974,80.362
66,78.927,77.656,78.691,77.801,78.175,77.989,78.815,78.517,78.912
67,76.268,77.5,77.432,77.387,76.138,75.924,75.954,75.152,76.532
68,81.71,80.114,80.991,81.575,81.85,81.239,82.246,80.552,81.145
69,77.186,77.705,78.63,76.966,76.526,76.952,77.97,79.244,79.615
70,79.765,77.462,78.236,77.874,80.474,79.882,81.06,80.925,80.916
71,80.219,79.145,81.5,80.957,79.361,79.671,81.114,80.665,81.759
72,81.223,79.376,82.913,81.384,80.809,82.31,80.115,81.837,81.555
73,80.042,78.271,80.393,78.544,80.11,80.926,81.644,75.159,79.543
74,83.195,79.975,82.999,80.652,81.645,79.716,82.259,78.579,81.169
75,78.96,78.009,78.976,77.632,77.614,78.736,79.436,79.149,78.04
76,73.24,74.732,74.644,74.817,74.15,74.275,76.228,75.154,73.905
77,79.271,79.354,79.333,79.929,79.123,79.244,80.719,78.499,79.423
78,77.844,77.793,77.793,77.964,77.802,76.862,79.123,77.474,78.057
79,77.553,77.658,78.073,77.942,76.379,77.335,78.559,79.512,77.725
80,74.484,76.649,76.648,73.703,74.631,74.109,76.454,78.297,74.51
81,80.038,81.986,82.322,79.197,80.235,80.021,80.292,82.436,80.109
82,81.926,80.194,81.508,81.549,80.604,80.115,81.397,81.099,80.352
83,81.078,80.29,80.084,80.272,76.503,78.167,81.608,78.984,80.498
84,81.24,78.304,80.796,79.589,81.114,80.405,81.971,80.618,81.16
85,77.644,76.646,78.015,76.426,77.64,76.576,77.314,78.388,77.291
86,80.104,78.823,79.641,80.236,79.578,79.977,81.628,80.009,80.237
87,76.483,76.562,76.369,76.471,76.748,79.252,76.099,76.464,75.762
88,82.191,81.07,82.605,83.192,81.535,81.81,79.86,82.196,82.973
89,81.221,78.793,82.284,78.931,80.683,79.671,81.477,81.948,81.375
90,78.184,77.304,76.498,79.109,75.775,76.911,76.635,78.752,78.44
91,82.919,79.9,82.289,82.662,80.577,81.771,83.549,82.985,82.036
92,78.104,75.149,76.386,76.1,76.104,76.801,77.322,75.806,77.421
93,81.148,78.908,81.295,80.628,81.789,79.976,80.326,81.509,79.88
94,77.608,77.428,77.225,78.505,78.828,78.012,78.464,78.478,77.702
95,80.526,77.959,78.899,81.025,78.742,82.572,79.338,79.711,80.397
96,78.056,77.509,76.588,77.032,77.701,77.861,77.813,79.594,78.661
97,82.481,81.0,82.93,80.694,81.972,80.979,81.88,83.296,82.116
98,80.489,78.259,78.286,79.811,79.656,80.979,77.843,81.395,78.035
99,80.494,79.739,79.649,80.276,80.355,80.349,80.903,80.586,80.721
