id,GPT4o-mini Samsara_PM Score,GPT-3.5-Turbo Samsara_PM Score,CV Samsara_PM Score,Clean_Deepseek_67B Samsara_PM Score,Llama3-70B-Instruct-Turbo Samsara_PM Score,Claude-3.5-Sonnet Samsara_PM Score,GPT4o Samsara_PM Score,Mixtral-8x7B-Instruct Samsara_PM Score,Clean_Deepseek_V3 Samsara_PM Score
79,81.817,80.381,80.573,81.455,81.456,81.226,82.527,82.545,82.254
80,76.551,77.599,77.523,75.122,76.416,76.369,77.894,76.613,75.647
81,80.36,82.397,82.71,78.862,81.176,79.984,81.512,81.437,79.034
82,84.561,82.256,83.27,83.662,83.865,80.996,84.539,83.632,83.668
83,82.98,80.416,79.306,79.996,77.917,78.405,82.547,80.366,81.29
84,80.357,78.18,80.443,78.719,81.232,79.833,80.417,78.734,79.947
85,76.282,76.23,79.015,77.093,76.614,76.304,75.977,77.478,75.894
86,78.698,78.31,78.482,78.606,78.585,78.304,79.347,78.576,78.416
87,76.499,76.709,76.41,76.771,76.654,79.77,76.137,76.804,75.316
88,81.933,79.45,80.584,81.348,79.41,80.108,79.255,80.557,80.926
89,80.567,77.112,81.257,78.65,78.501,80.404,81.574,79.471,81.142
90,82.788,81.457,80.512,81.25,81.314,81.251,80.358,81.098,82.384
91,82.853,81.325,81.947,81.928,80.22,81.823,84.131,80.992,82.114
92,82.728,79.156,81.17,79.905,79.828,80.851,82.312,80.222,81.45
93,79.836,78.205,79.393,79.88,81.096,80.188,80.533,79.893,79.467
94,80.186,79.904,79.833,80.595,81.471,81.764,80.95,81.331,80.794
95,84.407,80.04,81.239,82.18,83.401,83.397,82.511,82.512,83.6
96,81.694,78.636,76.841,80.227,80.67,80.262,80.549,80.179,81.223
97,81.409,81.402,81.511,81.737,81.113,80.753,83.239,81.789,81.556
98,81.242,80.448,79.374,81.551,80.356,81.337,78.875,78.995,79.639
99,82.51,82.01,80.8,82.49,82.035,82.371,82.235,82.379,82.927
