id,GPT4o-mini DD_PM Score,GPT-3.5-Turbo DD_PM Score,CV DD_PM Score,Clean_Deepseek_67B DD_PM Score,Llama3-70B-Instruct-Turbo DD_PM Score,Claude-3.5-Sonnet DD_PM Score,GPT4o DD_PM Score,Mixtral-8x7B-Instruct DD_PM Score,Clean_Deepseek_V3 DD_PM Score
35,81.298,81.249,82.275,82.108,82.311,81.735,81.676,82.636,82.138
36,81.081,83.549,81.813,82.721,83.619,84.463,81.387,84.501,82.292
37,72.307,72.553,72.684,73.652,73.373,73.914,75.396,74.593,72.748
38,82.302,82.222,82.953,82.785,82.354,82.334,82.277,82.522,83.057
39,74.17,74.478,75.122,74.747,74.946,74.437,74.365,75.245,73.964
40,80.85,79.597,79.49,80.451,80.79,79.765,80.066,81.602,80.827
41,83.456,81.505,82.145,82.209,82.652,82.362,83.717,82.892,83.328
42,76.303,77.242,77.294,75.478,77.034,76.695,77.865,79.039,78.463
43,80.801,76.608,77.803,83.17,78.785,80.839,81.366,78.853,81.195
44,82.096,82.065,81.062,80.75,81.186,82.293,83.82,82.311,81.575
45,81.514,79.813,79.93,79.941,79.763,80.394,80.822,79.935,80.75
46,80.378,81.77,79.006,81.485,81.354,82.321,81.714,79.892,80.735
47,83.043,78.222,78.149,78.021,82.432,80.85,80.301,81.24,79.011
48,81.815,77.811,80.306,83.503,82.531,82.173,83.019,81.077,82.771
49,83.434,80.247,82.156,83.0,82.398,80.994,81.673,80.725,84.146
50,77.692,75.742,77.328,78.175,74.83,80.798,76.683,77.381,76.631
51,80.939,81.601,81.13,80.444,81.598,81.402,82.049,81.798,81.409
52,79.812,79.059,78.274,78.315,78.057,78.47,77.924,78.884,80.05
53,81.889,81.988,81.436,81.551,83.15,81.42,79.928,83.053,82.666
54,80.521,81.061,81.637,82.799,82.783,80.389,81.402,82.176,80.284
55,82.001,83.295,81.369,81.011,81.996,82.154,81.231,82.194,82.457
56,78.2,76.547,78.668,78.544,77.696,80.685,78.125,78.737,78.339
57,83.846,80.628,81.307,81.839,83.426,82.798,81.593,81.157,81.361
58,83.571,83.496,83.532,81.113,84.428,84.384,83.593,84.188,83.806
59,82.657,82.217,82.702,82.787,83.685,81.827,84.042,82.789,83.369
60,77.43,77.616,78.009,78.001,77.014,77.204,77.591,78.995,77.416
61,78.972,77.07,78.009,78.001,77.241,76.716,79.123,78.86,77.04
62,78.088,78.544,77.359,78.947,76.093,77.942,77.809,76.406,78.37
63,78.478,78.843,76.957,80.572,79.471,81.898,77.857,71.311,80.256
64,77.079,77.616,78.456,78.835,74.997,81.206,79.333,78.393,81.056
65,82.092,81.318,81.739,80.571,81.792,80.861,81.723,81.203,82.98
66,80.259,78.363,78.834,78.578,79.355,79.133,80.044,80.054,80.326
67,77.414,77.444,77.836,78.791,76.007,77.479,77.426,75.068,77.372
68,81.905,80.028,80.946,80.894,81.953,80.902,81.741,80.674,81.337
69,78.304,78.57,78.917,77.697,77.457,77.275,78.79,80.158,80.812
70,81.961,80.625,80.558,80.853,82.682,82.859,82.583,83.038,82.7
71,81.951,81.333,82.792,82.87,81.874,82.166,83.177,83.286,83.634
72,85.559,83.658,84.901,84.46,83.111,85.624,84.162,84.429,84.759
73,80.84,80.376,79.51,79.015,80.751,82.061,80.982,76.063,81.132
74,83.634,79.653,82.553,81.868,81.658,79.314,82.874,79.717,81.152
75,83.275,82.746,83.35,82.051,83.059,82.799,82.257,84.304,83.59
76,76.173,78.824,76.679,76.868,76.055,76.566,76.334,77.515,75.403
77,80.243,81.434,79.645,80.643,79.82,81.081,81.425,79.121,80.424
78,80.999,80.626,80.626,80.993,80.539,80.07,80.901,80.244,80.601
79,82.149,80.755,80.179,80.541,79.822,81.015,81.92,82.02,81.762
80,75.084,77.132,77.007,74.682,74.193,74.949,75.745,78.086,74.984
81,80.669,81.379,80.946,80.765,80.816,80.561,79.825,82.827,79.491
82,85.031,83.732,83.88,84.364,83.858,83.135,84.929,84.4,84.191
83,82.955,82.63,80.852,81.838,79.227,79.775,83.447,82.298,82.241
84,81.794,80.328,82.694,80.5,83.068,81.828,82.658,82.625,81.754
85,78.374,77.488,78.953,77.487,78.803,77.809,77.642,79.396,77.758
86,80.081,79.389,79.948,80.148,80.003,80.134,82.006,80.996,79.934
87,76.844,77.061,76.477,77.435,77.495,79.578,76.637,77.146,75.857
88,82.129,80.911,80.344,81.378,80.042,79.109,79.978,81.612,80.847
89,79.226,77.188,80.609,78.298,78.953,79.184,80.906,79.494,80.218
90,81.134,79.905,78.003,80.495,78.347,80.181,78.112,81.197,81.162
91,83.334,81.678,83.212,83.276,82.016,82.214,84.804,83.274,83.177
92,83.239,79.669,81.222,80.733,80.908,81.618,82.255,81.374,82.401
93,82.449,81.484,81.245,82.67,83.2,82.111,81.792,82.331,81.828
94,79.037,78.672,78.863,80.213,80.143,78.81,78.607,79.054,79.236
95,80.65,78.52,79.373,81.222,80.435,82.804,79.304,80.353,80.747
96,79.155,77.894,76.503,78.422,78.712,79.785,78.987,80.129,79.7
97,84.865,84.152,83.182,84.501,82.93,83.866,85.504,84.802,84.466
98,83.396,82.693,81.416,84.128,84.111,84.028,81.105,82.797,81.897
99,81.733,81.048,80.28,80.636,82.24,80.638,81.478,80.571,81.368
