,Unnamed: 0.1,Unnamed: 0, Deepseek 67B Conversation-Improved CV DoorDash PM Score, Twice Deepseek 67B Conversation-Improved CV DoorDash PM Score, GPT-35 Conversation-Improved CV DoorDash PM Score, Twice GPT-35 Conversation-Improved CV DoorDash PM Score, GPT-4o Conversation-Improved CV DoorDash PM Score, Twice GPT-4o Conversation-Improved CV DoorDash PM Score, Mixtral-8x7B-Instruct-v0.1 Conversation-Improved CV DoorDash PM Score, Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CV DoorDash PM Score, Twice Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CV DoorDash PM Score, claude-3-5-sonnet Conversation-Improved CV DoorDash PM Score, Twice claude-3-5-sonnet Conversation-Improved CV DoorDash PM Score,True Label,GPT-4o-mini Improved CVDoorDash Score,Original CVDoorDash Score
47,47,47,81.51,81.83,79.816,79.816,80.523,80.757,78.836,82.72,82.389,80.937,81.076,0,83.043,78.149
48,48,48,78.337,78.337,79.848,79.848,81.432,81.517,78.537,82.574,82.244,81.01,80.253,0,81.815,80.306
49,49,49,80.608,80.608,78.081,79.082,81.869,82.154,82.39,84.711,84.129,81.978,82.178,0,83.434,82.156
50,50,50,83.349,83.284,80.627,80.697,76.649,77.037,76.469,77.45,77.892,80.866,78.816,1,77.692,77.328
51,51,51,80.001,79.929,78.152,78.152,82.631,82.457,80.434,83.112,83.851,82.397,80.864,1,80.939,81.13
52,52,52,77.245,75.717,76.123,76.123,78.591,78.873,79.052,81.222,79.515,78.898,78.3,1,79.812,78.274
53,53,53,80.023,80.023,78.786,78.767,78.885,78.952,81.395,83.033,83.244,80.217,79.514,1,81.889,81.436
54,54,54,82.86,82.839,82.795,82.363,81.967,82.846,83.006,84.206,84.226,80.854,81.043,1,80.521,81.637
55,55,55,84.658,82.807,81.503,81.758,81.356,81.128,80.589,82.755,81.475,81.846,81.458,1,82.001,81.369
56,56,56,76.914,74.039,72.962,73.143,78.467,80.383,78.459,81.218,81.327,80.764,79.549,1,78.2,78.668
57,57,57,82.928,83.217,81.366,81.675,82.104,82.064,82.731,84.972,84.803,84.182,84.82,1,83.846,81.307
58,58,58,75.353,72.933,73.068,73.068,84.996,84.911,82.952,86.046,85.252,85.604,84.823,1,83.571,83.532
59,59,59,79.978,79.328,79.182,79.38,83.633,83.312,81.886,84.961,84.799,82.505,81.687,1,82.657,82.702
60,60,60,81.018,81.771,80.29,81.122,77.72,77.467,77.713,78.644,78.052,77.869,78.639,1,77.43,78.009
61,61,61,76.512,76.512,77.059,76.757,79.134,78.956,77.591,78.239,78.878,77.42,76.947,1,78.972,78.009
62,62,62,80.349,79.324,77.057,75.283,77.406,77.301,75.699,78.631,77.907,77.595,78.308,1,78.088,77.359
63,63,63,81.028,81.617,80.651,81.446,78.668,80.373,71.073,80.746,81.43,82.644,81.27,1,78.478,76.957
64,64,64,79.307,79.307,78.929,79.758,78.45,77.869,78.292,77.077,78.829,82.206,81.759,1,77.079,78.456
65,65,65,82.416,81.987,82.176,82.176,80.775,80.58,79.536,83.186,82.965,81.117,80.634,1,82.092,81.739
66,66,66,79.894,79.53,78.213,78.213,79.86,79.962,78.7,79.45,79.663,79.525,82.161,1,80.259,78.834
67,67,67,81.787,80.415,75.917,75.576,76.941,76.332,74.488,78.672,78.62,76.174,76.21,1,77.414,77.836
68,68,68,83.904,84.273,83.711,83.711,82.043,82.308,79.765,83.376,84.204,82.345,81.862,1,81.905,80.946
69,69,69,78.605,78.605,76.01,75.722,79.292,79.364,78.891,79.772,79.417,77.753,79.011,1,78.304,78.917
70,70,70,81.455,81.248,80.274,80.457,84.096,84.46,82.32,84.013,82.551,83.775,83.091,1,81.961,80.558
71,71,71,79.928,80.261,79.492,79.492,83.262,82.611,81.677,82.276,84.29,82.36,81.742,1,81.951,82.792
72,72,72,81.083,79.958,79.232,79.232,82.87,82.859,83.158,84.77,84.913,85.99,85.279,1,85.559,84.901
73,73,73,84.968,82.94,81.724,81.99,81.594,81.85,73.767,81.982,82.322,82.836,81.634,1,80.84,79.51
74,74,74,80.422,80.422,79.708,81.109,82.495,81.755,78.699,81.402,80.483,80.044,81.259,1,83.634,82.553
75,75,75,80.284,79.7,77.49,77.223,82.952,83.053,84.495,84.638,85.566,83.355,82.675,1,83.275,83.35
76,76,76,83.241,83.167,84.715,85.005,75.305,75.53,75.595,77.087,76.7,76.124,76.652,1,76.173,76.679
77,77,77,81.587,81.587,83.766,83.766,81.236,80.971,78.42,79.717,80.527,80.303,80.225,1,80.243,79.645
78,78,78,81.732,80.458,82.81,82.718,80.474,80.565,81.276,82.045,82.409,79.778,80.375,1,80.999,80.626
79,79,79,81.405,81.405,78.593,78.593,81.882,81.805,81.147,81.926,82.642,81.822,82.713,1,82.149,80.179
80,80,80,85.08,85.851,82.75,82.75,75.961,75.191,76.479,76.958,76.761,75.576,76.262,1,75.084,77.007
81,81,81,82.771,82.771,80.409,79.837,79.763,79.92,81.599,81.598,83.849,81.461,80.892,1,80.669,80.946
82,82,82,82.719,82.719,81.849,81.849,86.701,86.398,85.421,86.494,86.18,84.524,85.271,1,85.031,83.88
83,83,83,80.029,79.436,79.032,79.061,82.988,83.225,79.55,80.558,80.881,79.587,79.875,1,82.955,80.852
84,84,84,81.16,80.851,79.069,79.069,83.237,82.572,81.479,86.002,86.081,83.515,83.112,1,81.794,82.694
85,85,85,81.042,80.649,79.181,79.031,76.966,76.019,77.468,79.918,78.894,77.682,78.657,1,78.374,78.953
86,86,86,84.564,84.261,85.35,84.627,82.506,82.162,79.835,82.834,82.438,81.619,80.703,1,80.081,79.948
87,87,87,81.923,81.64,82.28,81.627,77.635,78.148,78.214,80.073,80.104,80.297,81.492,1,76.844,76.477
88,88,88,81.93,81.223,81.162,81.098,79.111,76.821,80.159,80.735,80.918,79.424,78.749,1,82.129,80.344
89,89,89,81.928,81.848,81.257,81.257,81.0,81.146,80.111,80.083,78.611,79.612,79.311,1,79.226,80.609
90,90,90,81.77,81.347,80.418,80.418,78.398,77.693,79.349,79.798,82.17,80.509,80.922,1,81.134,78.003
91,91,91,83.712,84.096,83.936,84.878,85.599,85.061,81.869,84.234,83.876,82.716,82.95,1,83.334,83.212
92,92,92,79.669,79.797,80.463,80.463,81.359,81.575,81.012,82.296,81.306,81.548,80.565,1,83.239,81.222
93,93,93,79.352,79.116,79.881,79.881,82.914,82.482,81.969,84.016,83.55,82.726,82.911,1,82.449,81.245
94,94,94,84.149,83.453,84.884,84.884,78.385,79.404,78.921,80.158,80.009,79.448,81.081,1,79.037,78.863
95,95,95,77.241,77.607,74.587,74.951,79.728,80.169,80.214,81.61,81.722,83.243,83.02,1,80.65,79.373
96,96,96,81.182,80.489,79.655,79.741,78.968,78.807,79.834,81.115,81.285,79.511,78.445,1,79.155,76.503
97,97,97,82.212,81.562,81.062,81.062,84.605,84.242,84.349,83.97,83.746,83.079,82.845,1,84.865,83.182
98,98,98,79.52,80.237,78.928,78.357,80.979,83.271,81.932,84.076,83.975,84.168,83.863,1,83.396,81.416
