id,GPT4o-mini Google_UX Score,GPT-3.5-Turbo Google_UX Score,CV Google_UX Score,Clean_Deepseek_67B Google_UX Score,Llama3-70B-Instruct-Turbo Google_UX Score,Claude-3.5-Sonnet Google_UX Score,GPT4o Google_UX Score,Mixtral-8x7B-Instruct Google_UX Score,Clean_Deepseek_V3 Google_UX Score
47,78.753,77.525,77.562,76.667,78.781,78.299,78.702,78.036,76.285
48,78.252,77.144,79.848,79.884,78.7,80.44,81.497,81.909,80.21
49,81.233,80.107,79.045,81.344,81.343,78.805,80.211,78.89,82.37
50,82.201,79.684,79.82,80.767,79.34,81.956,79.987,80.708,80.47
51,80.782,81.947,80.863,81.01,81.464,81.853,82.265,81.673,82.248
52,80.984,82.159,80.198,79.069,79.907,81.035,78.865,80.859,80.9
53,81.709,82.145,80.466,82.615,82.672,79.678,79.94,82.558,82.147
54,78.137,76.691,78.434,78.951,79.635,77.926,78.691,77.799,78.043
55,80.235,79.67,79.826,78.617,79.554,79.667,79.413,79.409,79.821
56,79.483,79.535,79.471,79.793,78.812,78.72,79.33,79.093,79.521
57,79.893,76.584,77.39,78.011,80.121,77.186,77.96,76.346,77.816
58,78.52,80.705,80.539,77.575,81.587,81.195,80.805,80.132,80.007
59,77.427,78.195,78.231,76.318,79.002,78.207,77.242,78.18,77.687
60,84.287,84.826,84.209,82.814,82.866,85.342,84.285,81.9,83.317
61,84.442,84.174,84.209,82.814,83.33,85.784,83.479,81.417,84.107
62,87.711,87.783,85.607,86.326,87.593,85.434,87.623,84.526,87.437
63,81.958,81.784,80.387,81.989,82.44,84.552,82.527,74.717,84.616
64,85.786,86.41,88.592,86.651,83.972,86.139,88.454,87.156,88.035
65,86.514,86.169,85.647,87.308,87.22,87.484,87.173,86.725,87.285
66,86.281,83.906,84.062,84.909,85.368,84.561,84.539,82.948,84.997
67,82.752,84.143,82.276,83.718,83.047,84.512,82.414,82.202,83.582
68,88.886,89.256,88.742,89.874,89.92,88.045,89.077,88.654,88.804
69,84.513,85.652,84.935,86.675,85.223,86.831,86.0,86.244,88.247
70,78.058,77.286,78.982,77.534,79.13,78.71,79.551,80.433,78.661
71,81.309,79.762,80.316,81.835,81.85,81.106,82.429,81.383,82.571
72,80.395,79.464,80.333,79.048,78.958,80.402,80.186,80.189,79.89
73,78.015,77.265,77.049,76.432,78.508,79.774,77.955,74.025,78.354
74,80.203,78.3,79.743,80.217,79.463,77.285,79.915,77.823,78.696
75,80.219,78.766,80.593,80.363,79.724,79.5,80.296,80.042,80.557
76,75.597,77.026,74.234,75.3,73.462,76.795,76.372,78.851,75.596
77,77.97,78.214,78.321,77.55,77.867,78.079,78.109,76.552,78.348
78,75.277,75.865,75.865,75.553,74.255,74.513,76.873,75.218,75.193
79,78.858,79.125,78.548,79.649,78.685,77.887,79.596,80.831,79.601
80,83.521,86.314,86.397,84.562,82.082,85.938,83.169,84.267,84.262
81,89.052,87.8,87.32,86.551,86.343,87.583,88.793,86.6,88.677
82,87.515,86.884,85.039,86.117,86.898,83.577,86.38,85.664,86.042
83,87.472,88.596,86.066,86.834,84.319,87.28,88.204,87.13,88.141
84,86.643,88.011,87.86,87.735,86.821,84.455,86.787,86.887,88.195
85,86.438,84.907,84.459,84.195,85.336,85.66,85.322,84.523,87.116
86,84.114,82.935,83.081,84.143,83.373,84.15,83.843,83.212,83.576
87,83.145,83.154,83.438,83.667,82.732,82.605,81.966,80.721,82.195
88,89.16,87.34,85.679,87.578,86.703,85.565,86.149,88.706,87.285
89,86.607,81.265,84.887,84.16,85.573,86.486,87.583,83.618,88.692
90,81.679,80.604,77.884,79.539,78.977,79.478,77.737,81.06,81.967
91,80.429,79.168,80.193,81.262,78.869,79.752,79.989,80.864,80.624
92,80.193,75.812,77.577,77.949,76.676,79.152,79.814,76.818,79.453
93,77.169,76.501,76.603,76.811,79.269,77.221,76.444,77.482,76.778
94,76.412,76.093,76.121,77.017,77.131,78.631,75.943,76.447,76.525
95,82.486,78.871,80.135,81.601,80.246,81.862,80.115,80.616,81.828
96,79.69,77.483,78.658,79.058,79.717,78.186,78.475,79.883,79.643
97,78.921,78.508,78.275,76.931,78.301,77.803,79.833,79.676,79.952
98,81.1,80.245,80.374,80.098,79.166,81.924,80.268,79.844,78.873
99,80.306,78.709,79.345,79.083,79.282,80.019,79.542,80.246,79.051
