id,GPT4o-mini Rowan_UX Score,GPT-3.5-Turbo Rowan_UX Score,CV Rowan_UX Score,Clean_Deepseek_67B Rowan_UX Score,Llama3-70B-Instruct-Turbo Rowan_UX Score,Claude-3.5-Sonnet Rowan_UX Score,GPT4o Rowan_UX Score,Mixtral-8x7B-Instruct Rowan_UX Score,Clean_Deepseek_V3 Rowan_UX Score
76,76.774,77.0,77.736,77.106,75.816,78.77,76.887,78.08,76.636
77,78.39,79.334,77.652,78.632,78.399,78.696,79.267,77.094,79.658
78,75.166,75.505,75.505,75.379,74.35,74.991,77.096,74.792,75.551
79,80.145,80.391,80.229,81.831,79.304,78.475,80.797,81.633,80.549
80,82.645,83.182,83.196,81.367,82.166,82.578,83.937,83.636,82.735
81,84.027,83.476,83.449,82.886,82.312,84.181,85.569,82.822,83.378
82,83.467,81.585,81.824,81.549,82.576,80.184,82.505,80.293,82.531
83,85.952,83.158,83.013,82.492,80.831,83.007,85.549,84.082,84.092
84,84.287,81.01,83.384,82.534,82.874,81.614,83.661,82.932,84.133
85,83.782,81.733,82.272,81.525,82.922,83.416,82.215,82.762,82.988
86,83.063,81.814,82.499,82.41,81.571,83.047,82.153,82.664,82.066
87,81.322,81.41,82.128,82.588,81.41,81.24,80.693,79.583,82.126
88,85.86,83.703,82.567,83.951,83.353,82.856,83.683,84.407,83.64
89,83.839,79.969,83.799,80.702,82.164,82.976,85.001,81.334,84.322
90,80.998,80.489,78.401,81.003,78.766,77.796,78.691,81.428,81.549
91,81.088,79.559,81.051,80.813,78.779,80.536,80.303,81.406,81.036
92,80.367,77.043,78.137,77.982,78.045,78.634,79.888,77.463,79.428
93,78.026,75.865,77.779,77.303,78.872,77.352,76.728,78.382,77.286
94,77.363,77.078,77.266,77.554,77.851,77.913,77.567,77.835,77.659
95,81.543,78.951,80.965,82.731,81.505,82.069,80.505,81.351,81.03
96,80.388,77.283,78.897,79.502,80.156,79.902,79.405,80.984,80.445
97,77.975,76.392,75.785,76.707,75.594,77.72,79.049,77.487,79.1
98,79.267,78.279,77.743,78.881,78.634,79.469,78.321,78.081,76.799
99,80.469,79.001,78.926,78.917,79.19,80.767,79.916,79.353,79.331
