,Cleaned GPT-4o Conversation-Improved CVGoogle_UX Score,Cleaned Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CVGoogle_UX Score,Cleaned Mixtral-8x7B-Instruct-v0.1 Conversation-Improved CVGoogle_UX Score,Cleaned claude-3-5-sonnet Conversation-Improved CVGoogle_UX Score,CVGoogle_UX Score,Cleaned GPT-35 Conversation-Improved CVGoogle_UX Score,Cleaned GPT-4o-mini Google_UX Score,Cleaned Deepseek 67B Conversation-Improved CVGoogle_UX Score,UX True Label
53,79.94,82.672,82.558,79.678,80.466,75.915,81.709,77.416,0
54,78.691,79.635,77.799,77.926,78.434,78.752,78.137,79.131,0
55,79.413,79.554,79.409,79.667,79.826,79.154,80.235,82.305,0
56,79.33,78.812,79.093,78.72,79.471,77.47,79.483,79.711,0
57,77.96,80.121,76.346,77.186,77.39,76.674,79.893,80.388,0
58,80.805,81.587,80.132,81.195,80.539,78.045,78.52,80.226,0
59,77.242,79.002,78.18,78.207,78.231,81.668,77.427,81.643,0
60,84.285,82.866,81.9,85.342,84.209,80.209,84.287,79.527,0
61,83.479,83.33,81.417,85.784,84.209,83.74,84.442,80.301,0
62,87.623,87.593,84.526,85.434,85.607,77.975,87.711,80.026,0
63,82.527,82.44,74.717,84.552,80.387,80.282,81.958,80.707,0
64,88.454,83.972,87.156,86.139,88.592,77.239,85.786,77.464,0
65,87.173,87.22,86.725,87.484,85.647,74.795,86.514,77.06,0
66,84.539,85.368,82.948,84.561,84.062,78.906,86.281,80.278,0
67,82.414,83.047,82.202,84.512,82.276,78.116,82.752,79.735,0
68,89.077,89.92,88.654,88.045,88.742,79.328,88.886,79.128,0
69,86.0,85.223,86.244,86.831,84.935,80.655,84.513,82.079,0
70,79.551,79.13,80.433,78.71,78.982,82.526,78.058,83.055,0
71,82.429,81.85,81.383,81.106,80.316,80.731,81.309,80.401,0
72,80.186,78.958,80.189,80.402,80.333,81.043,80.395,83.136,0
73,77.955,78.508,74.025,79.774,77.049,76.519,78.015,80.46,0
74,79.915,79.463,77.823,77.285,79.743,79.333,80.203,79.197,0
75,80.296,79.724,80.042,79.5,80.593,78.967,80.219,80.262,0
76,76.372,73.462,78.851,76.795,74.234,77.428,75.597,79.229,0
77,78.109,77.867,76.552,78.079,78.321,80.478,77.97,79.169,0
78,76.873,74.255,75.218,74.513,75.865,77.522,75.277,78.504,0
79,79.596,78.685,80.831,77.887,78.548,78.926,78.858,82.253,0
80,83.169,82.082,84.267,85.938,86.397,78.036,83.521,81.246,0
81,88.793,86.343,86.6,87.583,87.32,75.941,89.052,80.386,0
82,86.38,86.898,85.664,83.577,85.039,75.97,87.515,78.783,0
83,88.204,84.319,87.13,87.28,86.066,75.651,87.472,77.506,0
84,86.787,86.821,86.887,84.455,87.86,80.252,86.643,82.579,0
85,85.322,85.336,84.523,85.66,84.459,80.169,86.438,79.458,0
86,83.843,83.373,83.212,84.15,83.081,78.648,84.114,78.286,0
87,81.966,82.732,80.721,82.605,83.438,79.986,83.145,79.982,0
88,86.149,86.703,88.706,85.565,85.679,81.319,89.16,80.36,0
89,87.583,85.573,83.618,86.486,84.887,79.813,86.607,78.903,0
90,77.737,78.977,81.06,79.478,77.884,81.778,81.679,80.942,0
91,79.989,78.869,80.864,79.752,80.193,78.813,80.429,80.685,0
92,79.814,76.676,76.818,79.152,77.577,77.703,80.193,79.368,0
93,76.444,79.269,77.482,77.221,76.603,78.233,77.169,77.819,0
94,75.943,77.131,76.447,78.631,76.121,79.751,76.412,81.694,0
95,80.115,80.246,80.616,81.862,80.135,75.178,82.486,78.645,0
96,78.475,79.717,79.883,78.186,78.658,77.816,79.69,78.943,0
97,79.833,78.301,79.676,77.803,78.275,75.857,78.921,78.277,0
98,80.268,79.166,79.844,81.924,80.374,79.911,81.1,78.815,0
