,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_google_ux_Score
32072,0.7407788,0.8703894,0.6763154,0.8381577,0.66268164,0.8313408,0.6553873,0.82769364,0.7025211,0.85126054,0.7757493,0.88787466,0.6973834,0.8486917,0.77919257,0.8895963,0.7334807,0.86674035,0.74823844,0.8741192
46443,0.76428473,0.88214236,0.7736956,0.8868478,0.71678066,0.85839033,0.7004126,0.85020626,0.81461024,0.9073051,0.8660123,0.93300617,0.80092907,0.90046453,0.87442124,0.9372106,0.8175889,0.90879446,0.88009036,0.9400452
46506,0.4793894,0.7396947,0.540532,0.770266,0.45227262,0.7261363,0.48568374,0.74284184,0.5301948,0.7650974,0.5956045,0.7978022,0.5390647,0.7695323,0.63307035,0.8165352,0.66779697,0.8338985,0.647472,0.823736
50300,0.7006641,0.850332,0.6967858,0.8483929,0.68859076,0.8442954,0.6376598,0.8188299,0.73975587,0.86987793,0.7908418,0.8954209,0.69626415,0.8481321,0.794413,0.8972065,0.77856255,0.8892813,0.80916107,0.90458053
51419,0.694955,0.8474775,0.6541977,0.82709885,0.6015966,0.8007983,0.5812192,0.7906096,0.70101154,0.85050577,0.79298353,0.89649177,0.73371416,0.86685705,0.76769215,0.88384604,0.74305606,0.871528,0.78961647,0.89480823
53971,0.61708784,0.8085439,0.594,0.797,0.53338945,0.7666947,0.53662276,0.7683114,0.6351629,0.8175814,0.69063044,0.8453152,0.6912046,0.8456023,0.67276293,0.83638144,0.72089934,0.8604497,0.7036278,0.8518139
53972,0.6582278,0.8291139,0.66066074,0.8303304,0.5892629,0.7946315,0.61358094,0.8067905,0.667239,0.8336195,0.71116054,0.8555803,0.6894518,0.8447259,0.73720086,0.8686004,0.72649384,0.8632469,0.7168394,0.85841966
53973,0.66296566,0.8314828,0.6221931,0.81109655,0.5734074,0.7867037,0.5841841,0.7920921,0.6809753,0.84048766,0.7898556,0.8949278,0.7436784,0.87183917,0.7560353,0.87801766,0.78588736,0.8929437,0.8263365,0.91316825
53974,0.6313567,0.81567836,0.5975671,0.79878354,0.5419407,0.77097034,0.5924907,0.79624534,0.66312474,0.8315624,0.7180604,0.8590302,0.698762,0.84938097,0.68864274,0.84432137,0.71891963,0.8594598,0.72277915,0.8613896
53975,0.6432481,0.82162404,0.58483255,0.7924163,0.56318474,0.78159237,0.59412426,0.79706216,0.62434244,0.8121712,0.7500013,0.87500066,0.6527052,0.8263526,0.67812395,0.839062,0.72221684,0.8611084,0.72058594,0.860293
53976,0.603698,0.801849,0.5833303,0.79166514,0.5209497,0.76047486,0.51813346,0.7590667,0.65147316,0.8257366,0.7130945,0.85654724,0.7331941,0.86659706,0.6675075,0.83375376,0.69134283,0.8456714,0.7114651,0.85573256
53977,0.73369694,0.86684847,0.6519099,0.8259549,0.61047566,0.8052378,0.61922765,0.8096138,0.7294669,0.86473346,0.8158958,0.9079479,0.7676131,0.8838066,0.76501477,0.8825074,0.77193475,0.8859674,0.8080424,0.9040212
53978,0.7187841,0.85939205,0.6275842,0.8137921,0.59710276,0.7985514,0.57153416,0.7857671,0.72402775,0.8620139,0.8532152,0.9266076,0.72993565,0.8649678,0.74950504,0.8747525,0.7446915,0.87234575,0.81968236,0.9098412
53979,0.7246601,0.8623301,0.7034373,0.85171866,0.6444663,0.82223314,0.64756846,0.82378423,0.74950397,0.874752,0.8164583,0.9082291,0.7341862,0.8670931,0.8060184,0.9030092,0.7711719,0.88558596,0.7772083,0.88860416
53981,0.6171256,0.80856276,0.6182095,0.80910474,0.5375108,0.76875544,0.59459496,0.7972975,0.6699097,0.83495486,0.7300779,0.865039,0.7198784,0.8599392,0.72264725,0.8613236,0.72019804,0.860099,0.7117592,0.8558796
54796,0.58971983,0.7948599,0.5938754,0.7969377,0.4747597,0.73737985,0.56399083,0.7819954,0.52964014,0.7648201,0.5955505,0.79777527,0.5872135,0.79360676,0.65951884,0.8297594,0.6415832,0.8207916,0.61877465,0.8093873
54797,0.74180186,0.8709009,0.6991719,0.84958595,0.6674844,0.8337422,0.63564897,0.8178245,0.7389431,0.86947155,0.84081197,0.920406,0.7485155,0.87425774,0.8026967,0.90134835,0.7569441,0.8784721,0.7835079,0.8917539
54798,0.6419115,0.82095575,0.663677,0.8318385,0.56551635,0.7827582,0.61452746,0.80726373,0.66926944,0.8346347,0.71298385,0.8564919,0.68623525,0.8431176,0.70787954,0.8539398,0.76866937,0.8843347,0.7206453,0.86032265
54799,0.59845954,0.79922974,0.6036173,0.80180866,0.5021531,0.7510766,0.5668185,0.78340924,0.609383,0.8046915,0.72034514,0.86017257,0.69803923,0.84901965,0.69135964,0.8456798,0.74688077,0.8734404,0.79079807,0.89539903
54800,0.7173741,0.85868704,0.6804851,0.84024256,0.6229414,0.8114707,0.5983725,0.7991862,0.7093222,0.8546611,0.8041152,0.9020576,0.76950663,0.88475335,0.80525696,0.9026285,0.78553414,0.8927671,0.8095691,0.90478456
56453,0.58192796,0.790964,0.5571906,0.7785953,0.502036,0.751018,0.4781952,0.7390976,0.6169299,0.80846494,0.71175385,0.8558769,0.6982318,0.8491159,0.6529313,0.8264656,0.6894487,0.84472436,0.71862483,0.8593124
56528,0.586017,0.7930085,0.5495858,0.7747929,0.46273965,0.73136985,0.5518669,0.77593344,0.59528786,0.7976439,0.6586869,0.82934344,0.6672967,0.8336483,0.6359183,0.8179592,0.67912364,0.8395618,0.6542271,0.8271135
56542,0.68457973,0.84228987,0.6582309,0.82911545,0.5875312,0.7937656,0.6262814,0.8131407,0.69679505,0.8483975,0.76291096,0.8814555,0.72304785,0.8615239,0.787755,0.8938775,0.73109376,0.8655469,0.76579595,0.882898
56543,0.629091,0.8145455,0.6030879,0.80154395,0.53829235,0.7691462,0.5238105,0.76190525,0.61605275,0.8080264,0.69054985,0.8452749,0.6891774,0.8445887,0.66900796,0.834504,0.7097024,0.8548512,0.7026437,0.8513218
56544,0.6869409,0.84347045,0.6662339,0.83311695,0.6002139,0.80010694,0.66617846,0.83308923,0.6923759,0.84618795,0.75448984,0.87724495,0.7354314,0.8677157,0.7500198,0.8750099,0.7656913,0.88284564,0.78582525,0.8929126
56545,0.6694883,0.83474416,0.6947364,0.84736824,0.6006947,0.8003473,0.63921976,0.8196099,0.6556845,0.82784224,0.6650281,0.83251405,0.64773667,0.82386833,0.74865544,0.8743277,0.72619796,0.863099,0.7122257,0.85611284
56618,0.64886624,0.8244331,0.6785518,0.8392759,0.5704969,0.78524846,0.60687685,0.8034384,0.6501166,0.82505834,0.72956914,0.8647846,0.7237376,0.8618688,0.77697796,0.888489,0.7701422,0.8850711,0.7716465,0.88582325
56619,0.5686487,0.78432435,0.59546643,0.7977332,0.49429762,0.7471488,0.5354252,0.7677126,0.61021656,0.8051083,0.6735054,0.8367527,0.70107305,0.8505365,0.66045034,0.83022517,0.6937255,0.8468628,0.7172295,0.85861474
56629,0.7159641,0.85798204,0.7242095,0.8621048,0.6143055,0.80715275,0.67459846,0.8372992,0.7289523,0.86447614,0.8180207,0.90901035,0.76149845,0.8807492,0.85033774,0.9251689,0.7825775,0.89128876,0.8144265,0.9072132
56630,0.67972004,0.83986,0.6436632,0.8218316,0.5742141,0.78710705,0.5981345,0.79906726,0.6709192,0.8354596,0.80443835,0.9022192,0.7393662,0.8696831,0.76882064,0.8844103,0.7640374,0.8820187,0.82021606,0.91010803
56631,0.5423669,0.7711835,0.561484,0.780742,0.481259,0.7406295,0.5375171,0.76875854,0.55787164,0.7789358,0.6266967,0.81334835,0.5951709,0.7975855,0.6502532,0.8251266,0.68602645,0.8430132,0.7231056,0.86155283
56632,0.699003,0.8495015,0.6412797,0.82063985,0.5923139,0.79615694,0.63174117,0.8158706,0.6939677,0.84698385,0.81031364,0.90515685,0.759747,0.8798735,0.8110919,0.90554595,0.7568421,0.87842107,0.8286226,0.9143113
56633,0.6718432,0.8359216,0.6173312,0.80866563,0.5687754,0.7843877,0.5704129,0.78520644,0.655874,0.827937,0.6842184,0.8421092,0.6693225,0.83466125,0.6799731,0.83998656,0.63074684,0.8153734,0.68125534,0.8406277
56634,0.60041773,0.80020887,0.60004646,0.8000232,0.54222214,0.7711111,0.55139625,0.7756981,0.62791765,0.8139588,0.6947541,0.84737706,0.683511,0.8417555,0.70658773,0.8532939,0.740757,0.8703785,0.7448876,0.8724438
56635,0.56268716,0.7813436,0.6199655,0.8099828,0.51739645,0.7586982,0.5226885,0.76134425,0.60280573,0.80140287,0.72998446,0.86499226,0.7194754,0.8597377,0.7150235,0.85751176,0.7144928,0.8572464,0.7305623,0.86528116
56637,0.6384245,0.81921226,0.6203473,0.81017363,0.5427022,0.7713511,0.60711414,0.80355704,0.6845303,0.8422651,0.7540347,0.8770174,0.7200386,0.8600193,0.7551204,0.8775602,0.7305297,0.8652649,0.77810085,0.8890504
56638,0.69664234,0.8483212,0.6810374,0.8405187,0.6314586,0.81572926,0.5943842,0.7971921,0.7392894,0.8696447,0.76476455,0.8823823,0.7790984,0.8895492,0.77430904,0.8871545,0.74077016,0.87038505,0.78763545,0.8938177
56639,0.5068979,0.75344896,0.5078577,0.75392884,0.44231606,0.721158,0.48775166,0.74387586,0.53491634,0.7674582,0.6296967,0.81484836,0.63390696,0.8169535,0.6339959,0.81699795,0.6500732,0.8250366,0.67308104,0.8365405
56641,0.5553809,0.7776904,0.515,0.7575,0.46575865,0.73287934,0.5078439,0.753922,0.5852829,0.79264146,0.6718503,0.83592516,0.6751449,0.83757246,0.619896,0.80994797,0.6634588,0.8317294,0.7166586,0.8583293
56642,0.5737295,0.78686476,0.53882545,0.76941276,0.4728849,0.73644245,0.50137895,0.7506895,0.5656154,0.7828077,0.63202786,0.81601393,0.6581428,0.8290714,0.60632515,0.8031626,0.66107714,0.8305386,0.6619271,0.83096355
56643,0.74890757,0.8744538,0.69543195,0.847716,0.6469852,0.8234926,0.6601708,0.8300854,0.6862946,0.8431473,0.7318978,0.8659489,0.64141804,0.820709,0.744449,0.8722245,0.73962665,0.8698133,0.70185655,0.8509283
56644,0.71530473,0.85765237,0.6718444,0.83592224,0.6055598,0.8027799,0.63946635,0.81973314,0.70722353,0.85361177,0.7628951,0.88144755,0.7345686,0.8672843,0.76394415,0.8819721,0.74523294,0.87261647,0.76049304,0.8802465
56645,0.6314105,0.81570524,0.633955,0.8169775,0.57686293,0.78843147,0.63016427,0.81508213,0.61702174,0.8085109,0.6607406,0.8303703,0.63262,0.81631,0.7235702,0.8617851,0.6933836,0.8466918,0.67585295,0.8379265
56646,0.5466908,0.7733454,0.5346192,0.7673096,0.4327812,0.7163906,0.5502462,0.7751231,0.53845114,0.7692256,0.5797608,0.7898804,0.601845,0.8009225,0.57596207,0.78798103,0.6384463,0.81922317,0.61307347,0.80653673
56647,0.7458223,0.87291116,0.72494984,0.8624749,0.65293705,0.8264685,0.69527805,0.847639,0.7486788,0.8743394,0.81077117,0.9053856,0.785084,0.892542,0.8131205,0.90656024,0.7987757,0.89938784,0.82248753,0.9112438
56648,0.70626605,0.853133,0.664049,0.8320245,0.6063112,0.8031556,0.6548193,0.8274096,0.6923742,0.8461871,0.7483599,0.87417996,0.71423435,0.8571172,0.76461995,0.88231,0.73983884,0.8699194,0.7430832,0.8715416
56649,0.6340054,0.8170027,0.64445245,0.8222262,0.55146235,0.7757312,0.58235717,0.7911786,0.62086695,0.8104335,0.68665886,0.8433294,0.6254718,0.8127359,0.67199147,0.83599573,0.7038655,0.85193276,0.6787871,0.83939356
56650,0.6779205,0.8389603,0.6457975,0.82289875,0.5923067,0.7961533,0.58055645,0.7902782,0.6950217,0.8475108,0.7969431,0.8984716,0.7587205,0.87936026,0.75023115,0.8751156,0.7570287,0.87851435,0.7969533,0.89847666
56651,0.59490746,0.79745376,0.5432713,0.77163565,0.5325706,0.7662853,0.49889296,0.7494465,0.64949524,0.8247476,0.7763697,0.88818485,0.7149221,0.85746104,0.709291,0.8546455,0.7146019,0.85730094,0.76898324,0.8844916
56652,0.68650997,0.843255,0.70142746,0.85071373,0.57757115,0.7887856,0.6369337,0.81846684,0.6961126,0.8480563,0.72091764,0.86045885,0.7317927,0.86589634,0.7586057,0.87930286,0.7810955,0.89054775,0.7536236,0.8768118
56653,0.6200874,0.8100437,0.6291567,0.81457835,0.5473851,0.77369255,0.562297,0.7811485,0.60929,0.804645,0.66222334,0.83111167,0.653507,0.8267535,0.69425035,0.8471252,0.70112514,0.8505626,0.68526506,0.84263253
56654,0.74035966,0.87017983,0.68461084,0.8423054,0.64315546,0.8215777,0.6422748,0.8211374,0.7761898,0.8880949,0.8442121,0.922106,0.7874495,0.89372474,0.7969223,0.89846116,0.78818095,0.8940905,0.8505361,0.92526805
56656,0.5947305,0.79736525,0.58492744,0.7924637,0.5213152,0.7606576,0.540342,0.770171,0.62117076,0.8105854,0.6743213,0.83716065,0.65401864,0.8270093,0.6458088,0.8229044,0.6767161,0.83835804,0.6973989,0.84869945
56657,0.58894634,0.7944732,0.5385131,0.7692566,0.4829814,0.7414907,0.50304353,0.75152177,0.61748886,0.80874443,0.75379664,0.8768983,0.68553275,0.8427664,0.6593204,0.8296602,0.67055607,0.83527803,0.7463044,0.8731522
56661,0.7444942,0.8722471,0.7087184,0.8543592,0.60873526,0.80436766,0.6157747,0.8078873,0.7258121,0.86290604,0.82319105,0.9115955,0.733067,0.8665335,0.7918911,0.89594555,0.7776477,0.88882387,0.8210521,0.91052604
56662,0.6655648,0.8327824,0.6604433,0.83022165,0.5844403,0.7922201,0.6538551,0.82692754,0.6628264,0.8314132,0.7407792,0.8703896,0.678825,0.8394125,0.7798641,0.88993204,0.78488314,0.8924416,0.7743143,0.88715714
56725,0.6781292,0.8390646,0.6698208,0.8349104,0.6204742,0.8102371,0.6436065,0.8218032,0.687063,0.8435315,0.7701124,0.8850562,0.7480558,0.8740279,0.79471374,0.89735687,0.75194895,0.8759745,0.788569,0.8942845
56795,0.649062,0.82453096,0.6592034,0.8296017,0.57136595,0.785683,0.5775533,0.78877664,0.67734027,0.83867013,0.73985124,0.8699256,0.77497816,0.8874891,0.75747764,0.8787388,0.7610261,0.8805131,0.784766,0.892383
56796,0.5911718,0.7955859,0.5950799,0.79753995,0.5231384,0.7615692,0.549719,0.7748595,0.64968026,0.8248401,0.7027718,0.8513859,0.7007692,0.8503846,0.7165085,0.85825425,0.6777516,0.8388758,0.71259844,0.8562992
56797,0.7351841,0.86759204,0.7295176,0.8647588,0.61083686,0.80541843,0.65144193,0.82572097,0.75164753,0.87582374,0.7645822,0.8822911,0.7344026,0.8672013,0.80253184,0.9012659,0.7646227,0.88231134,0.76306033,0.88153017
56798,0.73254037,0.8662702,0.71255827,0.85627913,0.64700603,0.823503,0.63775194,0.81887597,0.7291818,0.8645909,0.80159104,0.9007955,0.78038883,0.8901944,0.7898741,0.89493704,0.7718119,0.885906,0.8210728,0.9105364
56799,0.61191595,0.805958,0.58677137,0.7933857,0.5059194,0.7529597,0.54078394,0.77039194,0.6210319,0.81051594,0.7011032,0.8505516,0.6981113,0.84905565,0.68731356,0.8436568,0.7209158,0.8604579,0.7350893,0.86754465
56800,0.638002,0.81900096,0.62166613,0.8108331,0.54204917,0.7710246,0.62107843,0.81053925,0.59859335,0.7992967,0.633173,0.8165865,0.595684,0.797842,0.6713432,0.8356716,0.6410335,0.8205167,0.64058304,0.8202915
56801,0.62687635,0.8134382,0.604583,0.8022915,0.57785225,0.7889261,0.551924,0.775962,0.61435896,0.80717945,0.733963,0.8669815,0.6367852,0.81839263,0.7161062,0.8580531,0.6896342,0.8448171,0.7082501,0.854125
56802,0.6202684,0.8101342,0.60069704,0.8003485,0.56915736,0.7845787,0.57619435,0.78809714,0.6088402,0.8044201,0.7043209,0.85216045,0.67943686,0.83971846,0.6943766,0.8471883,0.73881733,0.86940867,0.69460535,0.8473027
56803,0.72871554,0.86435777,0.71270525,0.8563526,0.6455338,0.8227669,0.64603496,0.8230175,0.7077561,0.853878,0.78012156,0.8900608,0.69139254,0.8456963,0.7963369,0.89816844,0.75729233,0.87864614,0.7570945,0.87854725
56804,0.7231366,0.86156833,0.7123128,0.8561564,0.6302049,0.81510246,0.6620271,0.83101356,0.73362136,0.8668107,0.7754544,0.8877272,0.71493655,0.85746825,0.8169579,0.908479,0.77960587,0.88980293,0.7668829,0.88344145
56805,0.61672336,0.80836165,0.6150999,0.80754995,0.5779146,0.7889573,0.619212,0.80960596,0.58664215,0.7933211,0.63172704,0.8158635,0.587168,0.793584,0.6975316,0.8487658,0.68776065,0.8438803,0.6581639,0.82908195
56807,0.7337477,0.86687386,0.71317744,0.8565887,0.6052252,0.8026126,0.63174117,0.8158706,0.7455238,0.8727619,0.76896495,0.8844825,0.77053344,0.8852667,0.74816823,0.8740841,0.7644078,0.88220394,0.7961527,0.89807636
56809,0.7099241,0.85496205,0.67556417,0.8377821,0.59374106,0.7968705,0.6342344,0.8171172,0.72002053,0.86001027,0.79105043,0.8955252,0.75103813,0.87551904,0.79937977,0.8996899,0.7786045,0.88930225,0.80759686,0.90379846
56859,0.6368073,0.81840366,0.59318745,0.7965937,0.5150106,0.7575053,0.5879438,0.7939719,0.63850033,0.81925017,0.69654864,0.84827435,0.66619796,0.833099,0.6724327,0.83621633,0.69375384,0.8468769,0.6813748,0.8406874
56860,0.69763887,0.84881943,0.6912926,0.84564626,0.6015602,0.80078006,0.6908263,0.84541315,0.70709777,0.8535489,0.7923848,0.89619243,0.7494918,0.8747459,0.81121504,0.9056075,0.78081167,0.89040583,0.811287,0.90564346
56861,0.6072949,0.80364746,0.56553876,0.7827694,0.5206555,0.76032776,0.6199118,0.8099559,0.6056751,0.80283755,0.65955937,0.8297797,0.6535106,0.8267553,0.6709964,0.8354982,0.67541176,0.83770585,0.6675573,0.8337786
56862,0.6888603,0.84443015,0.6669258,0.8334629,0.56161135,0.7808057,0.6312594,0.8156297,0.67849934,0.8392497,0.7658554,0.88292766,0.7272091,0.86360455,0.76905096,0.8845255,0.75307643,0.8765382,0.7747807,0.8873904
57384,0.7589667,0.87948334,0.71094185,0.8554709,0.6606353,0.8303176,0.65184283,0.8259214,0.7636329,0.88181645,0.8685801,0.93429005,0.771607,0.88580346,0.8344437,0.91722184,0.77380705,0.8869035,0.8494902,0.9247451
