,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
51419,0.65996224,0.8299811,0.64501846,0.8225092,0.59168684,0.7958434,0.6212774,0.81063867,0.6525947,0.82629734,0.7461544,0.8730772,0.6947199,0.84735996,0.7400818,0.8700409,0.73201764,0.8660088,0.76756597,0.883783
53971,0.6374546,0.8187273,0.6026772,0.8013386,0.5549464,0.7774732,0.54925406,0.77462703,0.66602945,0.8330147,0.7355342,0.8677671,0.730577,0.8652885,0.72013104,0.8600655,0.7509079,0.87545395,0.75383246,0.8769162
53972,0.58507794,0.792539,0.6122035,0.80610174,0.51911515,0.7595576,0.57032907,0.78516454,0.59146607,0.79573303,0.6597325,0.8298663,0.63732827,0.81866413,0.6809536,0.8404768,0.68559027,0.84279513,0.67179024,0.8358951
53973,0.6823445,0.8411722,0.6260135,0.81300676,0.60405314,0.80202657,0.61337423,0.8066871,0.71182346,0.85591173,0.8197991,0.9098996,0.7407201,0.87036,0.77387714,0.8869386,0.7745664,0.8872832,0.8198991,0.90994954
53974,0.5990592,0.7995296,0.5750346,0.7875173,0.5181542,0.7590771,0.57616436,0.7880822,0.6303694,0.8151847,0.706061,0.8530305,0.6933503,0.84667516,0.673095,0.8365475,0.7132364,0.85661817,0.72032136,0.8601607
53975,0.63258225,0.8162911,0.568846,0.784423,0.5727967,0.78639835,0.5835873,0.79179364,0.6388189,0.8194095,0.77737534,0.8886877,0.6608516,0.8304258,0.67861843,0.8393092,0.7443572,0.8721786,0.7378955,0.86894774
53976,0.5438964,0.7719482,0.5162467,0.75812334,0.48568195,0.742841,0.4812729,0.74063647,0.56216466,0.78108233,0.66560316,0.8328016,0.6503666,0.8251833,0.6062753,0.80313766,0.6860793,0.84303963,0.68799293,0.84399647
53977,0.74380803,0.871904,0.66764265,0.8338213,0.6167494,0.8083747,0.622844,0.811422,0.7409196,0.8704598,0.8095387,0.90476936,0.75149393,0.87574697,0.76961136,0.8848057,0.76165414,0.88082707,0.7911761,0.89558804
53978,0.71603006,0.85801506,0.6574359,0.82871795,0.62758124,0.8137906,0.59906805,0.799534,0.7557534,0.8778767,0.84399354,0.9219968,0.75044155,0.8752208,0.7819116,0.8909558,0.7676201,0.88381004,0.83803797,0.919019
53979,0.71942127,0.85971063,0.6877498,0.84387493,0.6378733,0.81893665,0.6435008,0.8217504,0.7262645,0.86313224,0.8132125,0.90660626,0.72392666,0.86196333,0.78991497,0.8949575,0.7715459,0.88577294,0.7766671,0.88833356
53981,0.64629364,0.8231468,0.61705565,0.8085278,0.558359,0.7791795,0.5826788,0.7913394,0.67442346,0.8372117,0.7974005,0.89870024,0.7463251,0.8731625,0.74322647,0.87161326,0.7677932,0.8838966,0.79845136,0.8992257
54796,0.7129568,0.8564784,0.6718018,0.8359009,0.5804105,0.79020524,0.63859975,0.8192999,0.66708916,0.8335446,0.76337755,0.8816888,0.71522975,0.8576149,0.78617275,0.8930864,0.76347107,0.88173556,0.78516454,0.8925823
54797,0.704,0.852,0.67100286,0.83550143,0.62502146,0.8125107,0.5979786,0.7989893,0.73694986,0.86847496,0.8794171,0.9397086,0.7551111,0.87755555,0.81681514,0.90840757,0.770365,0.8851825,0.83063,0.91531503
54798,0.6868068,0.8434034,0.696813,0.8484065,0.5911708,0.7955854,0.6249639,0.81248194,0.6990632,0.8495316,0.7768948,0.8884474,0.7286576,0.8643288,0.7520782,0.8760391,0.77761793,0.88880897,0.7714567,0.88572836
54799,0.5802374,0.7901187,0.6145674,0.8072837,0.49930462,0.7496523,0.56380975,0.7819049,0.6123681,0.80618405,0.69476295,0.8473815,0.69435966,0.84717983,0.6936109,0.84680545,0.77161634,0.88580817,0.76233554,0.88116777
54800,0.6817155,0.84085774,0.6723681,0.836184,0.60689807,0.80344903,0.5890527,0.79452634,0.70779663,0.8538983,0.7566049,0.87830245,0.7611655,0.88058275,0.76409864,0.8820493,0.75640565,0.8782028,0.783126,0.891563
56453,0.6502377,0.82511884,0.64513636,0.8225682,0.5943291,0.79716456,0.5758468,0.7879234,0.69524467,0.84762233,0.73758817,0.8687941,0.76938474,0.8846924,0.7257031,0.86285156,0.75015557,0.8750778,0.7605154,0.8802577
56528,0.5772346,0.7886173,0.53739816,0.76869905,0.4573795,0.72868973,0.5252834,0.76264167,0.59452367,0.79726183,0.6563837,0.8281919,0.6336913,0.81684566,0.6131619,0.80658096,0.6537049,0.82685244,0.6516321,0.82581604
56542,0.6412133,0.82060665,0.6278446,0.8139223,0.5575334,0.7787667,0.6191206,0.8095603,0.6530888,0.8265444,0.7443871,0.8721936,0.6919195,0.8459598,0.7616398,0.8808199,0.7195787,0.8597894,0.74894714,0.8744736
56543,0.59091496,0.7954575,0.5724906,0.7862453,0.50071496,0.7503575,0.50755596,0.753778,0.6117293,0.8058647,0.65273005,0.826365,0.6685484,0.8342742,0.63321936,0.8166097,0.660787,0.8303935,0.64605445,0.82302725
56544,0.63693666,0.81846833,0.6326369,0.81631845,0.58381903,0.7919095,0.6257132,0.8128566,0.6493472,0.8246736,0.73667604,0.868338,0.7001792,0.8500896,0.7131573,0.85657865,0.7316662,0.8658331,0.77941227,0.88970613
56545,0.59486324,0.7974316,0.6582924,0.8291462,0.52844787,0.76422393,0.57390535,0.7869527,0.5731914,0.7865957,0.55716133,0.77858067,0.5797566,0.7898783,0.6712025,0.8356012,0.6394118,0.8197059,0.58126366,0.79063183
56618,0.6722988,0.8361494,0.7101034,0.8550517,0.6092894,0.8046447,0.64042175,0.8202109,0.6837255,0.84186274,0.73813426,0.86906713,0.7204577,0.86022884,0.80027777,0.90013885,0.78958726,0.8947936,0.75986964,0.8799348
56619,0.61257315,0.8062866,0.6063103,0.8031552,0.5118736,0.7559368,0.56887895,0.78443944,0.63568914,0.81784457,0.7259736,0.8629868,0.7078793,0.85393965,0.6923816,0.8461908,0.7003863,0.85019314,0.7362937,0.86814684
56629,0.73431504,0.8671575,0.6875658,0.8437829,0.6172792,0.8086396,0.619295,0.8096475,0.7569866,0.8784933,0.85070765,0.9253538,0.7645649,0.88228244,0.84592295,0.9229615,0.74872726,0.87436366,0.8108131,0.9054066
56630,0.67010665,0.8350533,0.6620266,0.8310133,0.55177945,0.77588975,0.5920987,0.79604936,0.6685289,0.83426446,0.76391065,0.8819553,0.76080894,0.8804045,0.76384866,0.88192433,0.7593541,0.87967706,0.7948624,0.8974312
56631,0.5656678,0.78283393,0.58154774,0.79077387,0.50410765,0.75205386,0.5681768,0.7840884,0.58674026,0.7933701,0.6473002,0.8236501,0.618911,0.8094555,0.6545223,0.82726115,0.7031989,0.85159945,0.7188371,0.8594185
56632,0.71227765,0.8561388,0.65490097,0.8274505,0.60891604,0.804458,0.63912004,0.81956005,0.70799434,0.8539972,0.8177885,0.90889424,0.7732767,0.88663834,0.82681155,0.9134058,0.7673501,0.88367504,0.8341634,0.9170817
56633,0.65991384,0.8299569,0.5902778,0.7951389,0.568822,0.784411,0.54199123,0.7709956,0.6400002,0.8200001,0.73315513,0.86657757,0.6802913,0.84014565,0.6887717,0.84438586,0.6815121,0.84075606,0.73473006,0.867365
56634,0.51465297,0.7573265,0.5192454,0.7596227,0.4410894,0.7205447,0.4692179,0.73460895,0.54541177,0.7727059,0.63678545,0.81839275,0.6273512,0.81367564,0.618675,0.8093375,0.6806302,0.8403151,0.6853685,0.84268427
56635,0.56481063,0.7824053,0.61478263,0.8073913,0.5293752,0.7646876,0.52636063,0.7631803,0.61473745,0.80736876,0.7259304,0.8629652,0.70375973,0.85187984,0.69222796,0.846114,0.68402135,0.8420107,0.73098385,0.8654919
56637,0.6531609,0.82658046,0.6257191,0.81285954,0.5382122,0.7691061,0.6060848,0.8030424,0.6933898,0.8466949,0.7806108,0.8903054,0.74609935,0.8730497,0.7626594,0.88132966,0.7470347,0.8735174,0.7870096,0.8935048
56638,0.7550161,0.87750804,0.725281,0.8626405,0.64848703,0.82424355,0.64880306,0.8244015,0.77120805,0.885604,0.779212,0.889606,0.7575606,0.8787803,0.7929043,0.8964522,0.7356317,0.86781585,0.78226954,0.89113474
56639,0.6675987,0.83379936,0.68982905,0.84491456,0.5809097,0.79045486,0.574066,0.78703296,0.7371563,0.86857814,0.8099276,0.9049638,0.81619394,0.90809697,0.760689,0.8803445,0.788725,0.8943625,0.8302324,0.9151162
56641,0.612311,0.8061555,0.563259,0.7816295,0.5200906,0.7600453,0.55801105,0.7790055,0.630033,0.8150165,0.7454104,0.8727052,0.71471167,0.85735583,0.68310416,0.8415521,0.70117307,0.85058653,0.76782584,0.8839129
56642,0.58039016,0.7901951,0.5625074,0.7812537,0.47108603,0.735543,0.52211756,0.7610588,0.5866616,0.7933308,0.65663314,0.82831657,0.6959994,0.8479997,0.64931226,0.8246561,0.6821495,0.84107476,0.67759144,0.8387957
56643,0.73799825,0.8689991,0.67941755,0.8397088,0.66583955,0.8329198,0.64115727,0.82057863,0.69338787,0.84669393,0.73637843,0.8681892,0.61913323,0.8095666,0.75267065,0.8763353,0.7190961,0.8595481,0.7000543,0.85002714
56644,0.6683036,0.8341518,0.6670809,0.83354044,0.5820476,0.7910238,0.6083538,0.8041769,0.6787862,0.83939314,0.71685094,0.8584255,0.7362251,0.86811256,0.7323448,0.86617243,0.7426396,0.8713198,0.74485147,0.87242573
56645,0.6442349,0.82211745,0.66044044,0.8302202,0.58050084,0.7902504,0.629861,0.8149305,0.65026647,0.8251332,0.7053292,0.8526646,0.7008866,0.8504433,0.74945235,0.8747262,0.7432468,0.8716234,0.7457213,0.87286067
56646,0.54074025,0.7703701,0.5580552,0.7790276,0.44729966,0.72364986,0.5405655,0.77028275,0.5633965,0.7816982,0.6157479,0.80787396,0.6452224,0.8226112,0.63818574,0.81909287,0.6590787,0.82953936,0.6487863,0.82439315
56647,0.6964601,0.84823006,0.6966861,0.848343,0.6018228,0.8009114,0.6359117,0.81795585,0.7239952,0.8619976,0.7759477,0.88797385,0.7605138,0.8802569,0.7565249,0.87826246,0.75239146,0.8761957,0.7746085,0.88730425
56648,0.6890638,0.8445319,0.6441996,0.8220998,0.5912082,0.7956041,0.6491469,0.82457346,0.6968008,0.8484004,0.7458229,0.87291145,0.7387974,0.8693987,0.7423512,0.8711756,0.72591376,0.8629569,0.7447651,0.8723825
56649,0.62906027,0.81453013,0.62757856,0.81378925,0.5452222,0.77261114,0.587178,0.793589,0.627375,0.8136875,0.6703131,0.83515656,0.6241354,0.8120677,0.6551982,0.8275991,0.69788504,0.8489425,0.67300683,0.8365034
56650,0.7219586,0.8609793,0.6937973,0.8468987,0.630352,0.815176,0.63256615,0.8162831,0.7520473,0.87602365,0.8167798,0.9083899,0.80088794,0.900444,0.78698677,0.8934934,0.7754751,0.8877375,0.8202575,0.9101287
56651,0.699557,0.84977853,0.6506475,0.82532376,0.64695203,0.823476,0.6059092,0.8029546,0.73292667,0.8664633,0.8529385,0.9264692,0.77818227,0.88909113,0.8048576,0.9024288,0.7730843,0.88654214,0.85717285,0.9285864
56652,0.7215854,0.8607927,0.70431614,0.85215807,0.60920644,0.8046032,0.6187062,0.8093531,0.7445959,0.87229794,0.82733566,0.9136678,0.7566644,0.8783322,0.8195956,0.9097978,0.7760486,0.88802433,0.81235707,0.90617853
56653,0.58186424,0.7909321,0.6053091,0.80265456,0.5367707,0.76838535,0.5395339,0.7697669,0.5854614,0.7927307,0.65336406,0.82668203,0.6193038,0.8096519,0.678025,0.8390125,0.695985,0.84799254,0.66537136,0.8326857
56654,0.737111,0.8685555,0.69786066,0.84893036,0.6554107,0.8277054,0.64837545,0.82418776,0.750324,0.875162,0.8542819,0.92714095,0.75940096,0.8797005,0.80514085,0.9025704,0.80395913,0.90197957,0.84600616,0.9230031
56656,0.6080495,0.80402476,0.5957443,0.7978722,0.53747815,0.7687391,0.5442877,0.77214384,0.6422195,0.8211098,0.6936703,0.84683514,0.69232905,0.8461645,0.6612272,0.8306136,0.69821143,0.8491057,0.7152973,0.8576486
56657,0.5310381,0.765519,0.48423865,0.7421193,0.42329735,0.7116487,0.45000264,0.72500134,0.56962013,0.78481007,0.7068883,0.85344416,0.6689233,0.8344617,0.60744464,0.8037223,0.65543354,0.82771677,0.7121316,0.8560658
56661,0.731724,0.865862,0.7177094,0.8588547,0.618704,0.80935204,0.6302589,0.81512946,0.726869,0.8634345,0.815449,0.9077245,0.73903304,0.8695165,0.7881084,0.8940542,0.7934947,0.89674735,0.8154265,0.9077133
56662,0.7017211,0.85086054,0.68131566,0.84065783,0.601589,0.8007945,0.664148,0.832074,0.68231463,0.8411573,0.7631296,0.8815648,0.69555205,0.84777606,0.7989083,0.8994541,0.79126143,0.8956307,0.781281,0.8906405
56725,0.70286417,0.8514321,0.66130996,0.830655,0.61813855,0.8090693,0.62703574,0.81351787,0.71445954,0.85722977,0.8063231,0.9031615,0.75952405,0.87976205,0.78617716,0.8930886,0.75225896,0.8761295,0.817332,0.908666
56795,0.6434618,0.8217309,0.65859044,0.8292952,0.59451896,0.79725945,0.59379816,0.7968991,0.6989466,0.8494733,0.7525142,0.87625706,0.77821046,0.8891052,0.78817344,0.8940867,0.77914786,0.88957393,0.7943884,0.8971942
56796,0.6066196,0.8033098,0.6139129,0.8069564,0.55112827,0.77556413,0.56247044,0.7812352,0.6942481,0.84712404,0.76091945,0.8804597,0.75913453,0.87956727,0.7480624,0.8740312,0.71439326,0.8571966,0.7721804,0.88609016
56797,0.7020261,0.85101306,0.6790993,0.83954966,0.5738523,0.78692615,0.6099149,0.80495745,0.7070298,0.8535149,0.74658555,0.8732928,0.70142186,0.8507109,0.76131237,0.8806562,0.7095051,0.85475254,0.7384268,0.8692134
56798,0.68616533,0.84308267,0.64893156,0.82446575,0.6100214,0.8050107,0.60651696,0.8032585,0.70798886,0.8539944,0.77554786,0.88777393,0.7728371,0.8864186,0.76563895,0.8828195,0.7429975,0.87149876,0.79928064,0.8996403
56799,0.63965154,0.81982577,0.573419,0.7867095,0.5138198,0.7569099,0.5465697,0.77328485,0.6415427,0.82077134,0.74871635,0.8743582,0.7236241,0.86181206,0.7257054,0.8628527,0.72942454,0.86471224,0.78833675,0.8941684
56800,0.57376325,0.7868816,0.53996354,0.76998174,0.4862969,0.74314845,0.57683,0.788415,0.52796364,0.7639818,0.57120675,0.7856034,0.51536,0.75768,0.6019205,0.80096024,0.5796367,0.78981835,0.56390226,0.7819511
56801,0.65746665,0.8287333,0.62950546,0.8147527,0.5672629,0.78363144,0.5618691,0.7809346,0.6894721,0.84473604,0.8212366,0.9106183,0.73073715,0.8653686,0.76330996,0.881655,0.7391319,0.86956596,0.79173994,0.89587
