,CV_doordash_pm_Raw_Score,CV_doordash_pm_Score,CV_apple_pm_Raw_Score,CV_apple_pm_Score,CV_samsara_pm_Raw_Score,CV_samsara_pm_Score,CV_yelp_pm_Raw_Score,CV_yelp_pm_Score,CV_match_pm_Raw_Score,CV_match_pm_Score,CV_i2c_ux_Raw_Score,CV_i2c_ux_Score,CV_adobe_ux_Raw_Score,CV_adobe_ux_Score,CV_amazon_ux_Raw_Score,CV_amazon_ux_Score,CV_rowan_ux_Raw_Score,CV_rowan_ux_Score,CV_google_ux_Raw_Score,CV_google_ux_Score
56453,0.64556766,0.8227838,0.6762985,0.83814925,0.59388316,0.7969416,0.6322803,0.8161402,0.6698545,0.83492726,0.68102515,0.8405126,0.7436359,0.87181795,0.6830382,0.8415191,0.7562132,0.8781066,0.7352524,0.8676262
56528,0.5836405,0.7918203,0.55501986,0.7775099,0.46514863,0.73257434,0.5482877,0.7741438,0.6018813,0.80094063,0.6818444,0.84092224,0.6426321,0.82131606,0.64646137,0.8232307,0.6864256,0.84321284,0.67800593,0.83900297
56542,0.67369044,0.8368452,0.6721527,0.8360764,0.59639084,0.7981954,0.661561,0.8307805,0.6812279,0.84061396,0.7577238,0.8788619,0.7548988,0.8774494,0.7698785,0.88493925,0.78146815,0.8907341,0.8260712,0.91303563
56543,0.5186204,0.7593102,0.5248217,0.7624109,0.46435764,0.7321788,0.47582424,0.7379121,0.51588845,0.7579442,0.5543246,0.7771623,0.58826786,0.7941339,0.5724647,0.78623235,0.61127067,0.80563533,0.5745145,0.78725725
56544,0.67891526,0.83945763,0.68549156,0.8427458,0.66564935,0.8328247,0.7089149,0.85445744,0.6866993,0.84334964,0.70986766,0.85493386,0.68709207,0.84354603,0.7440804,0.8720402,0.76701915,0.8835096,0.77307594,0.88653797
56545,0.5136625,0.7568313,0.5597764,0.7798882,0.44219062,0.7210953,0.5038726,0.7519363,0.5014422,0.7507211,0.4666162,0.7333081,0.48339203,0.741696,0.580342,0.790171,0.5526738,0.7763369,0.49638233,0.7481912
56618,0.58691263,0.7934563,0.6406952,0.8203476,0.54281723,0.7714086,0.5629445,0.7814722,0.5872278,0.7936139,0.63412756,0.8170638,0.6765267,0.8382634,0.701584,0.850792,0.7108018,0.8554009,0.70146275,0.8507314
56619,0.5257827,0.76289135,0.5504318,0.77521586,0.4792469,0.7396234,0.54887676,0.7744384,0.5545605,0.7772802,0.6284692,0.8142346,0.6443709,0.82218546,0.6327244,0.8163622,0.6872221,0.84361106,0.69373786,0.84686893
56629,0.78018177,0.8900909,0.7155273,0.85776365,0.6973989,0.84869945,0.71078897,0.8553945,0.7317621,0.8658811,0.81335306,0.90667653,0.72798014,0.86399007,0.84473836,0.9223692,0.7883111,0.89415556,0.82246983,0.9112349
56630,0.5951186,0.79755926,0.57496685,0.78748345,0.54299176,0.7714959,0.5813929,0.79069644,0.5671127,0.78355634,0.6366322,0.8183161,0.6121986,0.8060993,0.6704861,0.83524305,0.69672596,0.848363,0.71672374,0.85836184
56631,0.5852982,0.7926491,0.6364428,0.8182214,0.5826992,0.7913496,0.59525645,0.7976282,0.59973335,0.7998667,0.641731,0.8208655,0.60006094,0.80003047,0.6726785,0.83633924,0.7096921,0.85484606,0.71971256,0.85985625
56632,0.75127447,0.87563723,0.71265423,0.8563271,0.64806855,0.8240343,0.6873201,0.84366006,0.7217375,0.86086875,0.81552076,0.9077604,0.78583825,0.8929191,0.8138331,0.90691656,0.80007243,0.9000362,0.84402096,0.9220105
56633,0.5924964,0.7962482,0.62953407,0.814767,0.5577817,0.77889085,0.60910314,0.8045516,0.61436766,0.80718386,0.61668175,0.8083409,0.6786219,0.83931094,0.6851778,0.8425889,0.677578,0.838789,0.68940794,0.844704
56634,0.4899668,0.74498343,0.49618238,0.7480912,0.48095348,0.7404767,0.46422166,0.73211086,0.49363267,0.74681634,0.53385544,0.7669277,0.50928044,0.7546402,0.5650524,0.7825262,0.6447643,0.82238215,0.6075599,0.80377996
56635,0.46062252,0.7303113,0.5587529,0.77937645,0.44898382,0.7244919,0.4585008,0.72925043,0.46505415,0.7325271,0.52660257,0.76330125,0.5008696,0.75043476,0.55271506,0.77635753,0.5900146,0.7950073,0.5970568,0.79852843
56637,0.65798426,0.8289921,0.63756293,0.8187815,0.5761198,0.7880599,0.6428237,0.82141185,0.67255616,0.8362781,0.737691,0.86884546,0.7032552,0.8516276,0.7592076,0.8796038,0.70969594,0.85484797,0.76448464,0.8822423
56638,0.6790502,0.8395251,0.6945324,0.8472662,0.5987163,0.7993581,0.6329829,0.8164915,0.71691346,0.85845673,0.72452223,0.8622611,0.77811,0.889055,0.77638805,0.888194,0.73323095,0.8666155,0.7451429,0.87257147
56639,0.41090226,0.70545113,0.44177604,0.720888,0.4174819,0.70874095,0.42471284,0.71235645,0.4677272,0.7338636,0.5352499,0.767625,0.5654433,0.78272164,0.5222559,0.76112795,0.60501856,0.8025093,0.6254177,0.81270885
56641,0.61153835,0.8057692,0.5831971,0.79159856,0.56453717,0.7822686,0.55962694,0.77981347,0.6383351,0.81916755,0.725683,0.8628415,0.7189684,0.8594842,0.6823053,0.84115267,0.72231716,0.8611586,0.7687066,0.8843533
56642,0.5961535,0.79807675,0.616179,0.8080895,0.5327445,0.76637226,0.579552,0.78977597,0.6018903,0.80094516,0.6685715,0.83428574,0.71520543,0.8576027,0.68503714,0.84251857,0.72341025,0.8617051,0.73476565,0.8673828
56643,0.7300793,0.86503965,0.69276077,0.84638035,0.70128286,0.8506414,0.67146623,0.8357331,0.6412338,0.8206169,0.674684,0.837342,0.5757549,0.78787744,0.73528993,0.86764497,0.7269558,0.8634779,0.682013,0.8410065
56644,0.4436652,0.72183263,0.5024178,0.7512089,0.39936414,0.69968206,0.49871945,0.7493597,0.48597404,0.74298704,0.48248568,0.7412428,0.56638587,0.78319293,0.53525853,0.76762927,0.6074878,0.8037439,0.5828228,0.7914114
56645,0.62101567,0.81050783,0.64913905,0.8245695,0.5884984,0.7942492,0.6562853,0.82814264,0.6248765,0.81243825,0.6184037,0.80920184,0.63978577,0.8198929,0.7237743,0.86188716,0.70461345,0.8523067,0.69265115,0.8463256
56646,0.49240088,0.74620044,0.52451664,0.7622583,0.42820013,0.71410006,0.5217508,0.7608754,0.48476726,0.7423836,0.52593803,0.762969,0.5654224,0.7827112,0.55395913,0.77697957,0.6036328,0.8018164,0.6100572,0.80502856
56647,0.6309844,0.8154922,0.633353,0.8166765,0.5963874,0.7981937,0.6242323,0.81211615,0.6446645,0.82233226,0.6588794,0.8294397,0.63486993,0.81743497,0.69416034,0.8470802,0.6809932,0.8404966,0.67771506,0.83885753
56648,0.73375994,0.86687994,0.71398544,0.8569927,0.6831843,0.8415922,0.71005714,0.85502857,0.733917,0.8669585,0.74213904,0.87106955,0.731145,0.8655725,0.7885593,0.89427966,0.7662699,0.88313496,0.7717328,0.8858664
56649,0.6254704,0.8127352,0.6445335,0.82226676,0.5591897,0.77959484,0.5766393,0.78831965,0.5936251,0.79681253,0.59498286,0.79749143,0.54159683,0.77079844,0.62563014,0.81281507,0.6415201,0.82076,0.60344803,0.801724
56650,0.6985692,0.8492846,0.6733377,0.83666885,0.62103415,0.8105171,0.6225779,0.81128895,0.7424222,0.8712111,0.80298805,0.901494,0.7970767,0.89853835,0.79019,0.895095,0.7912142,0.8956071,0.8446442,0.9223221
56651,0.4622085,0.73110425,0.47355962,0.7367798,0.43421733,0.71710867,0.44943592,0.724718,0.48321468,0.7416073,0.53758824,0.7687941,0.56375873,0.78187937,0.54819643,0.7740982,0.59595644,0.7979782,0.60573417,0.80286705
56652,0.66020817,0.8301041,0.6761391,0.83806956,0.63937664,0.8196883,0.6618558,0.8309279,0.6599276,0.8299638,0.5960737,0.7980368,0.6204059,0.81020296,0.6669009,0.83345044,0.69377697,0.8468885,0.65471077,0.8273554
56653,0.4739951,0.73699754,0.49329835,0.74664915,0.44292003,0.72146,0.44430834,0.72215414,0.46304333,0.73152167,0.535584,0.767792,0.49266326,0.74633163,0.541719,0.7708595,0.5739515,0.78697574,0.5349908,0.7674954
56654,0.75623226,0.87811613,0.72663534,0.86331767,0.6992291,0.84961456,0.6776299,0.838815,0.7998927,0.89994633,0.81617886,0.9080894,0.7826455,0.89132273,0.81058294,0.90529144,0.80570406,0.90285206,0.85878396,0.929392
56656,0.60493743,0.8024687,0.6251842,0.8125921,0.5933212,0.7966606,0.5827804,0.7913902,0.62180203,0.81090105,0.64078426,0.82039213,0.6534984,0.8267492,0.6711658,0.8355829,0.7098278,0.8549139,0.69502175,0.8475109
56657,0.5365021,0.76825106,0.48279774,0.7413989,0.454009,0.7270045,0.45932364,0.7296618,0.55179,0.775895,0.7164644,0.8582322,0.6736047,0.83680236,0.6077914,0.8038957,0.66993994,0.83497,0.72502995,0.862515
56661,0.7614094,0.8807047,0.7486798,0.87433994,0.64629245,0.8231462,0.65968555,0.8298428,0.761103,0.88055146,0.8261058,0.9130529,0.7472291,0.87361455,0.82214487,0.91107243,0.78951454,0.8947573,0.8224417,0.91122085
56662,0.5122815,0.7561407,0.5778004,0.7889002,0.4861952,0.7430976,0.5572009,0.77860045,0.512767,0.75638354,0.5865966,0.7932983,0.57250607,0.78625304,0.6694751,0.83473754,0.724149,0.8620745,0.6579108,0.8289554
56725,0.623707,0.8118535,0.60353786,0.8017689,0.5690987,0.78454936,0.6228561,0.81142807,0.6341367,0.81706834,0.67281646,0.83640826,0.6842698,0.8421349,0.7046294,0.8523147,0.6780211,0.83901054,0.73309124,0.8665456
56795,0.57075036,0.7853752,0.61299264,0.8064963,0.5852742,0.7926371,0.5895335,0.7947668,0.6211907,0.8105954,0.63663554,0.8183178,0.6817978,0.8408989,0.72576624,0.8628831,0.697073,0.8485365,0.7286165,0.86430824
56796,0.53249246,0.7662462,0.56980026,0.7849001,0.49499112,0.74749553,0.5200372,0.7600186,0.59461725,0.7973086,0.6440762,0.8220381,0.6663586,0.8331793,0.6683668,0.8341834,0.6634376,0.8317188,0.69230336,0.8461517
56797,0.6149672,0.8074836,0.6540682,0.8270341,0.5417935,0.7708968,0.6121814,0.8060907,0.629272,0.814636,0.6430472,0.8215236,0.6810641,0.84053206,0.71107066,0.8555353,0.71503997,0.85752,0.7029515,0.8514757
56798,0.59401155,0.7970058,0.5960059,0.79800296,0.57982445,0.7899122,0.6365856,0.8182928,0.58883816,0.79441905,0.5755896,0.7877948,0.607602,0.803801,0.6544353,0.82721764,0.6137738,0.8068869,0.6334174,0.8167087
56799,0.6474842,0.8237421,0.66019934,0.8300997,0.58609325,0.7930466,0.62812716,0.81406355,0.6753215,0.8376608,0.7311512,0.8655756,0.74457216,0.8722861,0.7564552,0.8782276,0.79345787,0.89672893,0.8163524,0.9081762
56800,0.6274534,0.81372666,0.6122575,0.80612874,0.5579866,0.7789933,0.6206929,0.8103465,0.57344127,0.78672063,0.6077534,0.8038767,0.5482055,0.77410275,0.6664894,0.8332447,0.6595608,0.8297804,0.6268118,0.8134059
56801,0.5396335,0.76981676,0.540219,0.77010953,0.5360031,0.76800156,0.52742416,0.76371205,0.53791714,0.76895857,0.6803707,0.84018534,0.5858059,0.79290295,0.63745296,0.8187265,0.6695695,0.83478475,0.6802539,0.840127
56802,0.5800836,0.7900418,0.52107334,0.7605367,0.5312616,0.76563084,0.54052174,0.7702609,0.52666324,0.76333165,0.59621966,0.7981098,0.5589401,0.7794701,0.5884665,0.79423326,0.6587173,0.82935864,0.6061553,0.80307764
56803,0.6710025,0.83550125,0.66494226,0.83247113,0.6498333,0.82491666,0.65016377,0.8250819,0.6726749,0.83633745,0.67524016,0.8376201,0.64929533,0.82464767,0.73788226,0.8689411,0.6897913,0.84489566,0.71811414,0.85905707
56804,0.7349649,0.8674824,0.7121513,0.85607564,0.67040944,0.8352047,0.6998222,0.8499111,0.71666944,0.8583347,0.7741869,0.8870934,0.7085061,0.85425305,0.82457614,0.91228807,0.78328943,0.8916447,0.78135663,0.8906783
56805,0.53356564,0.7667828,0.5323282,0.76616406,0.5035658,0.7517829,0.5723489,0.7861744,0.5017971,0.75089854,0.52835023,0.7641751,0.5104897,0.75524485,0.60533357,0.8026668,0.63742095,0.81871045,0.59998465,0.7999923
56807,0.62595785,0.8129789,0.6506039,0.82530195,0.5936897,0.79684484,0.6126344,0.8063172,0.6431291,0.82156456,0.6415714,0.8207857,0.6829823,0.84149116,0.6867733,0.84338665,0.739524,0.869762,0.72251385,0.86125696
56809,0.58180356,0.7909018,0.62649,0.813245,0.5925875,0.79629374,0.6369148,0.81845737,0.6065778,0.80328894,0.6256516,0.8128258,0.61729115,0.8086456,0.69988644,0.8499432,0.7391254,0.8695627,0.6866836,0.8433418
56859,0.57142866,0.7857143,0.5771826,0.78859127,0.48784885,0.74392444,0.57775134,0.7888757,0.59270036,0.7963502,0.6454077,0.82270384,0.6421348,0.8210674,0.65948284,0.8297414,0.7269076,0.8634538,0.69559836,0.8477992
56860,0.6759667,0.83798337,0.6910509,0.84552544,0.629248,0.814624,0.74278986,0.87139493,0.72347134,0.8617357,0.75020367,0.8751018,0.73499227,0.86749613,0.7927155,0.8963578,0.7884271,0.89421356,0.8037772,0.9018886
56861,0.52677965,0.7633898,0.5265965,0.7632983,0.48269194,0.741346,0.61254466,0.8062723,0.5087043,0.75435215,0.50241953,0.75120974,0.53018665,0.7650933,0.560406,0.780203,0.5942681,0.79713404,0.5379516,0.7689758
56862,0.6172509,0.80862546,0.64273655,0.8213683,0.55333126,0.7766656,0.6140094,0.8070047,0.6119665,0.80598325,0.6168792,0.8084396,0.63182485,0.8159124,0.6843443,0.84217215,0.71563804,0.857819,0.6873634,0.8436817
57384,0.7256399,0.8628199,0.67662287,0.83831143,0.6544011,0.82720053,0.6135299,0.80676496,0.74953043,0.8747652,0.8880578,0.9440289,0.78690076,0.8934504,0.83979857,0.9198993,0.7798046,0.8899023,0.8622098,0.9311049
57400,0.80453086,0.9022654,0.72637147,0.86318576,0.7114471,0.85572356,0.6709818,0.83549094,0.7706106,0.8853053,0.8051601,0.90258,0.74215496,0.8710775,0.8068308,0.90341544,0.720597,0.8602985,0.8132926,0.9066463
62042,0.7042896,0.85214484,0.6619331,0.8309666,0.65215707,0.82607853,0.6179576,0.8089788,0.67267907,0.83633953,0.6851859,0.84259295,0.6205366,0.8102683,0.67170244,0.8358512,0.6965357,0.84826785,0.6725878,0.83629394
63086,0.42109448,0.7105472,0.45630637,0.72815317,0.4123425,0.7061713,0.41736236,0.70868117,0.461663,0.7308315,0.5524035,0.7762017,0.56773496,0.7838675,0.52988154,0.76494074,0.61210215,0.8060511,0.6060934,0.8030467
63087,0.57488155,0.7874408,0.5653055,0.78265274,0.5667418,0.7833709,0.6112182,0.8056091,0.59816754,0.79908377,0.6727045,0.8363522,0.69642514,0.8482126,0.67526495,0.8376325,0.72240067,0.86120033,0.7508042,0.8754021
83710,0.66245526,0.83122766,0.645442,0.822721,0.58325136,0.7916257,0.6565287,0.82826436,0.6357146,0.81785727,0.675044,0.83752203,0.618381,0.8091905,0.7009287,0.85046434,0.7199269,0.8599634,0.7226794,0.8613397
83711,0.5848353,0.79241765,0.6204609,0.8102305,0.598995,0.7994975,0.5617068,0.7808534,0.5360341,0.76801705,0.47767144,0.7388357,0.46209106,0.73104554,0.5976411,0.79882056,0.59154314,0.7957716,0.5402884,0.7701442
86666,0.5952842,0.7976421,0.66987395,0.834937,0.60409164,0.8020458,0.63996017,0.8199801,0.6345476,0.8172738,0.7099434,0.8549717,0.7172763,0.85863817,0.800364,0.900182,0.7802433,0.89012164,0.7832916,0.8916458
87779,0.44344229,0.7217212,0.50044286,0.75022143,0.40539223,0.7026961,0.4968608,0.7484304,0.40720725,0.7036036,0.39341843,0.6967092,0.4414109,0.72070545,0.45517135,0.7275857,0.48208588,0.741043,0.4281042,0.7140521
97622,0.6637031,0.83185154,0.69456327,0.84728163,0.6915077,0.84575385,0.63243115,0.8162156,0.68162596,0.840813,0.7743288,0.8871644,0.6724402,0.8362201,0.80630416,0.9031521,0.75541925,0.8777096,0.7694999,0.88474995
98134,0.47740293,0.73870146,0.50555384,0.7527769,0.4341383,0.71706915,0.43794572,0.71897286,0.51101863,0.7555093,0.600152,0.800076,0.6262254,0.81311274,0.57220274,0.78610134,0.64079726,0.8203986,0.65079767,0.8253988
98135,0.58679205,0.793396,0.61690986,0.80845493,0.5698651,0.78493255,0.63698125,0.8184906,0.62448275,0.8122414,0.6806339,0.84031695,0.6737146,0.8368573,0.74320555,0.8716028,0.7427462,0.87137306,0.7595302,0.8797651
98136,0.62442344,0.81221175,0.6005472,0.8002736,0.5615634,0.7807817,0.5963956,0.7981978,0.61981297,0.8099065,0.69068235,0.8453412,0.61031455,0.8051573,0.6940282,0.84701407,0.71417946,0.85708976,0.6933689,0.84668446
98137,0.6110685,0.80553424,0.6766249,0.83831245,0.6110743,0.80553716,0.64468884,0.8223444,0.664975,0.83248746,0.66805416,0.83402705,0.68924403,0.844622,0.7325455,0.86627275,0.7423208,0.8711604,0.7086965,0.85434824
98138,0.5793259,0.78966296,0.624166,0.812083,0.5881319,0.79406595,0.6377155,0.8188578,0.6241181,0.81205904,0.69449127,0.84724563,0.6940602,0.8470301,0.7129817,0.85649085,0.7705222,0.88526106,0.7688456,0.8844228
98171,0.6074642,0.8037321,0.62732005,0.81366,0.5567021,0.77835107,0.6133816,0.8066908,0.6600474,0.8300237,0.6778717,0.83893585,0.71585345,0.8579267,0.70197076,0.8509854,0.7094742,0.8547371,0.74417734,0.8720887
98172,0.5147113,0.7573557,0.5531695,0.77658474,0.4819128,0.7409564,0.5079416,0.7539708,0.5794841,0.78974205,0.6038822,0.8019411,0.6543719,0.827186,0.6564526,0.8282263,0.60779715,0.8038986,0.6480776,0.8240388
98173,0.6675391,0.83376956,0.7288899,0.864445,0.62173843,0.8108692,0.6999171,0.84995854,0.6721166,0.83605826,0.68896425,0.8444821,0.6663306,0.8331653,0.7486003,0.8743001,0.7839052,0.89195263,0.75191855,0.8759593
98245,0.5111152,0.7555576,0.5043707,0.75218534,0.5023033,0.7511517,0.49999055,0.7499953,0.5270489,0.7635244,0.59952325,0.79976165,0.54871917,0.7743596,0.6198298,0.8099149,0.64212894,0.8210645,0.61280394,0.80640197
98250,0.6246284,0.8123142,0.68254983,0.8412749,0.6224247,0.81121236,0.6355256,0.8177628,0.58387244,0.7919362,0.54459584,0.7722979,0.5466825,0.77334124,0.6316639,0.81583196,0.58845365,0.7942268,0.54718316,0.7735916
98251,0.5675453,0.78377265,0.5533181,0.776659,0.49560514,0.74780256,0.5212055,0.7606027,0.5698619,0.78493094,0.62028956,0.8101448,0.6020882,0.8010441,0.58556265,0.79278135,0.6766038,0.8383019,0.63326883,0.8166344
98252,0.40724713,0.70362353,0.38459074,0.6922954,0.3371215,0.66856074,0.5683207,0.7841604,0.4328975,0.7164488,0.3742988,0.6871494,0.3942055,0.6971028,0.38982034,0.69491017,0.4165593,0.70827967,0.38168645,0.6908432
