,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Score
30845,0.6917696,0.8458848,0.6409228,0.8204614,0.5905082,0.7952541,0.65291524,0.8264576,0.6848296,0.8424148,0.8006975,0.9003488,0.7154024,0.8577012,0.768788,0.884394,0.7848133,0.89240664,0.7847837,0.89239186
32072,0.79360104,0.8968005,0.75153154,0.8757658,0.73546755,0.8677338,0.7028347,0.85141736,0.74279654,0.87139827,0.8057191,0.90285957,0.73331785,0.8666589,0.8167821,0.90839106,0.7720145,0.88600725,0.8050525,0.90252626
46443,0.7165825,0.85829127,0.73226327,0.86613166,0.66685355,0.8334268,0.6502129,0.82510644,0.7631742,0.8815871,0.82896113,0.91448057,0.7481925,0.8740963,0.8325189,0.9162594,0.8031216,0.9015608,0.84636354,0.9231818
46506,0.4989395,0.74946976,0.54987985,0.7749399,0.47387728,0.73693866,0.47880045,0.7394002,0.5605393,0.7802696,0.63808393,0.81904197,0.5862491,0.79312456,0.6434769,0.8217385,0.676893,0.8384465,0.6750811,0.8375405
50300,0.7357336,0.8678668,0.7141256,0.8570628,0.7155822,0.85779107,0.6484839,0.82424194,0.7667371,0.88336855,0.82576966,0.91288483,0.73089015,0.8654451,0.8216547,0.91082734,0.78570145,0.89285076,0.8194442,0.9097221
51419,0.6562923,0.82814616,0.6535385,0.82676923,0.60650885,0.8032544,0.6038725,0.80193627,0.6944585,0.84722924,0.78086317,0.8904316,0.7367842,0.8683921,0.77094567,0.88547283,0.7536005,0.87680024,0.78684115,0.8934206
53971,0.6189032,0.8094516,0.6023872,0.8011936,0.53285825,0.7664291,0.5587572,0.7793786,0.64561427,0.82280713,0.707169,0.8535845,0.6894598,0.8447299,0.7077035,0.85385174,0.7174621,0.85873103,0.70146936,0.8507347
53972,0.6448885,0.82244426,0.6437998,0.8218999,0.56424546,0.78212273,0.5984708,0.7992354,0.66969514,0.83484757,0.732793,0.8663965,0.7026856,0.8513428,0.7286075,0.8643037,0.7483125,0.87415624,0.7359561,0.86797804
53973,0.6387563,0.81937814,0.61174154,0.8058708,0.5781317,0.78906584,0.6305771,0.81528854,0.65858173,0.82929087,0.7416491,0.8708246,0.6980896,0.8490448,0.7484015,0.87420076,0.764133,0.8820665,0.7729763,0.88648814
53974,0.6072177,0.8036089,0.55502343,0.7775117,0.52366996,0.761835,0.5698714,0.7849357,0.63979185,0.8198959,0.7157469,0.85787344,0.69046974,0.8452349,0.68662965,0.8433148,0.68759775,0.8437989,0.73023343,0.8651167
53975,0.61399627,0.80699813,0.5620526,0.7810263,0.5610113,0.78050566,0.55822444,0.7791122,0.618286,0.809143,0.73273754,0.8663688,0.66183805,0.830919,0.67628187,0.83814096,0.72446823,0.8622341,0.7212218,0.8606109
53976,0.5348148,0.7674074,0.51402944,0.75701475,0.47984484,0.7399224,0.496528,0.748264,0.5501479,0.77507395,0.6188624,0.8094312,0.63351,0.816755,0.5934955,0.79674774,0.6482761,0.82413805,0.6360536,0.8180268
53977,0.7372129,0.86860645,0.6677386,0.83386934,0.58887553,0.79443777,0.61448956,0.8072448,0.72327197,0.861636,0.80045617,0.9002281,0.7504268,0.8752134,0.7656927,0.88284636,0.7734747,0.88673735,0.79238296,0.8961915
53978,0.7070525,0.85352623,0.60858583,0.8042929,0.5833589,0.79167944,0.5625105,0.78125525,0.71375304,0.8568765,0.8396101,0.91980505,0.72147936,0.8607397,0.7538068,0.8769034,0.73680997,0.868405,0.8253133,0.91265666
53979,0.7063521,0.85317606,0.68267095,0.8413355,0.6299765,0.81498826,0.6334247,0.8167124,0.73973644,0.8698682,0.8214667,0.91073334,0.7481825,0.87409127,0.7998461,0.8999231,0.76491016,0.8824551,0.7738569,0.88692844
53981,0.5936314,0.7968157,0.5869335,0.79346675,0.5260338,0.76301694,0.5819049,0.79095244,0.6288066,0.8144033,0.70904344,0.85452175,0.70233655,0.8511683,0.68745685,0.8437284,0.715777,0.85788846,0.7449936,0.87249684
54796,0.55398655,0.7769933,0.5491737,0.77458686,0.44938105,0.72469056,0.5349713,0.7674856,0.49871403,0.749357,0.560694,0.780347,0.55460393,0.77730197,0.6226573,0.81132865,0.59477276,0.7973864,0.58730936,0.7936547
54797,0.7054642,0.85273206,0.66293883,0.8314694,0.6411165,0.82055825,0.5728202,0.7864101,0.742584,0.871292,0.8644022,0.9322011,0.73842216,0.8692111,0.7897683,0.8948841,0.7350444,0.86752224,0.7897381,0.8948691
54798,0.64886165,0.8244308,0.68466973,0.84233487,0.571807,0.7859035,0.61713755,0.8085688,0.66836584,0.8341829,0.7228947,0.86144733,0.6829473,0.84147364,0.71913713,0.8595686,0.7624314,0.8812157,0.7330551,0.86652756
54799,0.53660715,0.7683036,0.58228415,0.7911421,0.4712031,0.73560154,0.54189146,0.7709457,0.55798924,0.7789946,0.6242471,0.81212354,0.63614106,0.81807053,0.654554,0.827277,0.71849024,0.8592451,0.7158102,0.8579051
54800,0.67915535,0.8395777,0.65854967,0.82927483,0.59810776,0.7990539,0.5834551,0.79172754,0.6769537,0.83847684,0.767833,0.8839165,0.7255348,0.8627674,0.77709246,0.8885462,0.7658566,0.8829283,0.77533984,0.8876699
56453,0.69314593,0.846573,0.64427924,0.8221396,0.61183,0.805915,0.5614194,0.78070974,0.7212863,0.86064315,0.804319,0.9021595,0.7868453,0.89342266,0.74461085,0.8723054,0.76026076,0.8801304,0.8062521,0.90312606
56528,0.6266254,0.8133127,0.5827086,0.7913543,0.49784896,0.7489245,0.57476103,0.7873805,0.6287402,0.8143701,0.7233455,0.86167276,0.68234396,0.841172,0.68440294,0.8422015,0.7328733,0.86643666,0.7176384,0.8588192
56542,0.69481725,0.84740865,0.66909254,0.83454627,0.6021894,0.8010947,0.65206766,0.82603383,0.7004199,0.85020995,0.78404033,0.89202017,0.71663725,0.8583186,0.7860211,0.89301056,0.7697555,0.88487774,0.79723144,0.8986157
56543,0.62847614,0.8142381,0.6211715,0.81058574,0.5396625,0.76983124,0.5704397,0.78521985,0.6393577,0.81967884,0.7083379,0.85416895,0.72242737,0.8612137,0.70847595,0.854238,0.7337922,0.8668961,0.7359996,0.8679998
56544,0.64375794,0.82187897,0.6169337,0.80846685,0.5536239,0.77681196,0.61976814,0.8098841,0.66294897,0.8314745,0.7484994,0.8742497,0.72771496,0.8638575,0.7296996,0.8648498,0.72747827,0.86373913,0.7769988,0.8884994
56545,0.5077988,0.7538994,0.57148176,0.78574085,0.43547845,0.7177392,0.50102234,0.75051117,0.48349378,0.7417469,0.46739507,0.73369753,0.49277142,0.7463857,0.5696113,0.78480566,0.5689617,0.7844808,0.5061123,0.75305617
56618,0.7149999,0.85749996,0.7336172,0.8668086,0.6402838,0.8201419,0.6580366,0.8290183,0.69979835,0.8498992,0.771345,0.8856725,0.72868264,0.8643413,0.83721375,0.9186069,0.7814001,0.89070004,0.7994336,0.8997168
56619,0.57155824,0.7857791,0.5921996,0.7960998,0.4827208,0.7413604,0.5512896,0.7756448,0.611069,0.8055345,0.6799678,0.83998394,0.6957506,0.8478753,0.659624,0.829812,0.69390595,0.846953,0.71049935,0.85524964
56629,0.7057009,0.85285044,0.65832543,0.8291627,0.5994116,0.7997058,0.63714147,0.81857073,0.700992,0.850496,0.82088554,0.91044277,0.7419884,0.8709942,0.8151289,0.90756446,0.75864464,0.8793223,0.8133304,0.9066652
56630,0.7117964,0.8558982,0.6654506,0.8327253,0.57552004,0.78776,0.599077,0.7995385,0.7043871,0.8521936,0.8029882,0.9014941,0.7461562,0.8730781,0.7719822,0.8859911,0.7728472,0.8864236,0.8173264,0.9086632
56631,0.57802165,0.7890108,0.61945975,0.8097299,0.5195252,0.7597626,0.5777935,0.78889674,0.610492,0.805246,0.67520267,0.8376013,0.6663104,0.8331552,0.6846268,0.8423134,0.7322155,0.86610776,0.748459,0.8742295
56632,0.681528,0.840764,0.6572548,0.8286274,0.5800799,0.79003996,0.62462014,0.8123101,0.71454483,0.8572724,0.8107681,0.90538406,0.7929042,0.89645207,0.80539525,0.9026976,0.7547818,0.87739086,0.8308233,0.91541165
56633,0.69095457,0.8454773,0.66451764,0.8322588,0.60799015,0.8039951,0.5963007,0.79815036,0.69878596,0.849393,0.7764578,0.8882289,0.7725965,0.88629824,0.7658637,0.8829318,0.74007916,0.8700396,0.7646133,0.88230664
56634,0.5752579,0.78762895,0.5787562,0.7893781,0.48696804,0.743484,0.5174637,0.75873184,0.6178812,0.8089406,0.69500947,0.84750473,0.70154977,0.8507749,0.67887056,0.8394353,0.71819365,0.8590968,0.7201599,0.86007994
56635,0.42883262,0.7144163,0.4623499,0.73117495,0.43085146,0.7154257,0.4075273,0.70376366,0.41290534,0.70645267,0.4362492,0.7181246,0.5018811,0.75094056,0.46192998,0.730965,0.493845,0.7469225,0.52016133,0.7600807
56637,0.60187364,0.8009368,0.60520947,0.80260473,0.5074344,0.7537172,0.5884702,0.7942351,0.6405492,0.8202746,0.72232026,0.86116016,0.6858588,0.84292936,0.7312963,0.86564815,0.7091395,0.8545698,0.7391391,0.86956954
56638,0.7341675,0.8670838,0.66143245,0.83071625,0.590807,0.7954035,0.5625592,0.78127956,0.75305796,0.876529,0.86091995,0.93046,0.79177094,0.89588547,0.76412976,0.8820649,0.71730334,0.85865164,0.8196734,0.9098367
56639,0.5274457,0.76372284,0.54683363,0.7734168,0.46555817,0.7327791,0.50191593,0.75095797,0.57249606,0.786248,0.6525208,0.8262604,0.6880343,0.84401715,0.6457751,0.82288754,0.65946376,0.8297319,0.6978242,0.8489121
56641,0.56556875,0.78278434,0.54505044,0.7725252,0.48692232,0.74346113,0.52669966,0.76334983,0.6017276,0.8008638,0.67950374,0.83975184,0.69365317,0.84682655,0.6403744,0.8201872,0.6798676,0.8399338,0.7245678,0.8622839
56642,0.6023958,0.8011979,0.5637289,0.78186446,0.49425495,0.7471275,0.5330814,0.7665407,0.6101738,0.8050869,0.69572496,0.8478625,0.70655435,0.8532772,0.6658541,0.83292705,0.71215093,0.85607547,0.72862875,0.8643144
56643,0.72964513,0.86482257,0.6767601,0.83838004,0.6624564,0.8312282,0.64158374,0.82079184,0.6877588,0.8438794,0.745387,0.87269354,0.6257154,0.8128577,0.7562187,0.87810934,0.6990813,0.84954065,0.7012413,0.8506206
56644,0.69131386,0.84565693,0.67556167,0.83778083,0.6046238,0.8023119,0.6354122,0.8177061,0.69494826,0.8474741,0.7457237,0.87286186,0.7398844,0.8699422,0.7655219,0.88276094,0.75220895,0.8761045,0.75982726,0.8799136
56645,0.6334666,0.8167333,0.65612155,0.82806075,0.57151496,0.7857575,0.62541604,0.812708,0.6345699,0.81728494,0.68946457,0.8447323,0.6764142,0.8382071,0.7482083,0.87410414,0.72875404,0.864377,0.7315873,0.86579365
56646,0.62422967,0.81211483,0.5816785,0.79083925,0.507714,0.753857,0.59497774,0.79748887,0.6129824,0.8064912,0.71764183,0.8588209,0.67428225,0.83714116,0.6721959,0.83609796,0.7157345,0.85786724,0.71459556,0.8572978
56647,0.65480065,0.8274003,0.6632737,0.83163685,0.5941423,0.79707116,0.63420594,0.81710297,0.68307316,0.8415366,0.76279545,0.8813977,0.7538318,0.87691593,0.74701333,0.87350667,0.7502488,0.8751244,0.7952986,0.8976493
56648,0.69733477,0.8486674,0.6733066,0.8366533,0.6007752,0.8003876,0.64771616,0.8238581,0.67869294,0.83934647,0.7294003,0.86470014,0.6981319,0.84906596,0.7499808,0.8749904,0.7425769,0.8712884,0.7355355,0.86776775
56649,0.6300975,0.81504875,0.6453669,0.82268345,0.5470948,0.7735474,0.57661647,0.78830826,0.64309835,0.8215492,0.70263827,0.85131913,0.6567166,0.8283583,0.68431735,0.8421587,0.69809306,0.8490465,0.7024175,0.85120875
56650,0.6727942,0.8363971,0.62850064,0.81425035,0.57781976,0.7889099,0.562096,0.781048,0.7002214,0.8501107,0.8130784,0.9065392,0.7682324,0.8841162,0.7350363,0.8675182,0.7631326,0.8815663,0.8067819,0.90339094
56651,0.6280633,0.81403166,0.5793057,0.7896528,0.5363774,0.7681887,0.5231851,0.7615925,0.7038214,0.8519107,0.8096478,0.9048239,0.74291044,0.8714552,0.73266506,0.86633253,0.7355657,0.86778283,0.7953608,0.8976804
56652,0.7421402,0.8710701,0.70646966,0.8532348,0.6029226,0.80146134,0.62662715,0.8133136,0.74586326,0.8729316,0.8390064,0.9195032,0.80149424,0.9007471,0.7928222,0.89641106,0.78509176,0.8925459,0.82925797,0.914629
56653,0.6107243,0.8053621,0.6128397,0.80641985,0.5685444,0.7842722,0.5677895,0.7838948,0.6126507,0.8063253,0.6889978,0.8444989,0.63945234,0.81972617,0.6995131,0.84975654,0.71089476,0.8554474,0.7067714,0.8533857
56654,0.7294148,0.8647074,0.7037952,0.8518976,0.64072365,0.82036185,0.6732969,0.83664846,0.750512,0.875256,0.80343103,0.9017155,0.7780317,0.88901585,0.78695154,0.8934758,0.8087363,0.90436816,0.8292584,0.9146292
56656,0.58348846,0.79174423,0.5941061,0.79705304,0.51592386,0.7579619,0.5500481,0.77502406,0.61792517,0.8089626,0.64177984,0.82088995,0.6560607,0.82803035,0.6385089,0.81925446,0.66204965,0.8310248,0.6780218,0.8390109
56657,0.57501125,0.7875056,0.5157192,0.7578596,0.47224802,0.73612404,0.49567795,0.747839,0.588512,0.794256,0.7290678,0.8645339,0.6606047,0.83030236,0.64225626,0.82112813,0.6528348,0.8264174,0.71981996,0.85991
56661,0.69397104,0.8469855,0.660904,0.83045197,0.56913316,0.7845666,0.59763616,0.7988181,0.67557335,0.8377867,0.7867852,0.89339256,0.6905691,0.8452846,0.7467977,0.87339884,0.7247499,0.86237496,0.77175397,0.885877
56662,0.6841003,0.84205014,0.6745639,0.83728194,0.58078843,0.7903942,0.67287004,0.836435,0.67148286,0.8357414,0.76336235,0.8816812,0.69606274,0.8480314,0.786827,0.89341354,0.8051242,0.90256214,0.7998741,0.89993703
56725,0.7265246,0.8632623,0.7052982,0.8526491,0.634311,0.8171555,0.65337884,0.8266894,0.7412794,0.8706397,0.8187561,0.90937805,0.7929547,0.89647734,0.82029617,0.9101481,0.7658212,0.8829106,0.82390624,0.9119531
56795,0.6639807,0.83199036,0.6971536,0.8485768,0.6042487,0.8021244,0.61873174,0.80936587,0.72257876,0.8612894,0.7541569,0.8770784,0.78590655,0.8929533,0.78792065,0.89396036,0.77045506,0.88522756,0.78880036,0.8944002
56796,0.63801205,0.819006,0.6449002,0.8224501,0.5612637,0.78063184,0.57883203,0.789416,0.6795589,0.83977944,0.7326884,0.8663442,0.7137486,0.8568743,0.7546166,0.8773083,0.74329877,0.8716494,0.7295512,0.8647756
56797,0.70768327,0.85384166,0.72335565,0.8616778,0.59903014,0.79951507,0.63724977,0.81862485,0.7428658,0.8714329,0.76503474,0.88251734,0.7457583,0.87287915,0.7876432,0.8938216,0.765465,0.8827325,0.77081215,0.8854061
56798,0.61741084,0.80870545,0.6183213,0.80916065,0.5486734,0.7743367,0.58411694,0.79205847,0.6497975,0.8248987,0.68924826,0.84462416,0.72280204,0.861401,0.71823347,0.85911673,0.7142427,0.85712135,0.762535,0.8812675
56799,0.61643076,0.8082154,0.5831447,0.79157233,0.5143292,0.7571646,0.54254,0.77127004,0.62167436,0.81083715,0.70684075,0.8534204,0.6949806,0.8474903,0.6929577,0.8464788,0.7279994,0.8639997,0.7346115,0.86730576
56800,0.6365404,0.8182702,0.6088506,0.8044253,0.5427208,0.7713604,0.5924531,0.79622656,0.6051619,0.80258095,0.6444367,0.82221836,0.5917828,0.7958914,0.6674346,0.8337173,0.6381506,0.8190753,0.6371144,0.8185572
56801,0.67496896,0.8374845,0.6525048,0.8262524,0.601349,0.8006745,0.5918585,0.79592925,0.6747736,0.8373868,0.7996589,0.89982945,0.6866199,0.84330994,0.75600857,0.8780043,0.73027515,0.8651376,0.7673681,0.88368404
56802,0.66343457,0.83171725,0.6165118,0.8082559,0.5957845,0.7978922,0.58998144,0.7949907,0.6308877,0.8154439,0.7395248,0.8697624,0.6813079,0.84065396,0.7162886,0.8581443,0.7593717,0.8796859,0.76071143,0.8803557
56803,0.7538198,0.8769099,0.7380625,0.86903125,0.6487562,0.82437813,0.64858484,0.8242924,0.7608378,0.8804189,0.85656583,0.9282829,0.7905933,0.8952967,0.8220902,0.9110451,0.81471586,0.90735793,0.8553202,0.9276601
56804,0.7440696,0.8720348,0.71563584,0.8578179,0.6608423,0.83042115,0.67385405,0.83692706,0.7650824,0.8825412,0.8283856,0.9141928,0.76001656,0.8800083,0.85682356,0.9284118,0.78997576,0.8949879,0.8220539,0.91102695
56805,0.65573555,0.82786775,0.65726495,0.8286325,0.6007688,0.8003844,0.6447975,0.8223988,0.64218736,0.8210937,0.71464956,0.8573248,0.6708987,0.83544934,0.7537847,0.8768923,0.7471963,0.87359816,0.73638713,0.86819357
56807,0.69904876,0.8495244,0.6937791,0.84688956,0.61422735,0.80711365,0.61571336,0.8078567,0.72213113,0.86106557,0.7799898,0.88999486,0.77898884,0.8894944,0.76613677,0.8830684,0.79820895,0.8991045,0.82564706,0.91282356
56809,0.71534884,0.8576744,0.72727025,0.8636351,0.6220634,0.8110317,0.6822176,0.8411088,0.72661924,0.8633096,0.77453136,0.8872657,0.7575039,0.878752,0.8047937,0.90239686,0.8023366,0.9011683,0.7999879,0.89999396
56859,0.6077106,0.8038553,0.55525047,0.7776252,0.47671783,0.7383589,0.5834122,0.7917061,0.5946392,0.7973196,0.6963078,0.8481539,0.6411434,0.82057166,0.66494894,0.83247447,0.7023128,0.8511564,0.6944329,0.8472165
56860,0.66180056,0.8309003,0.64359736,0.8217987,0.59639096,0.7981955,0.6923492,0.8461746,0.6756474,0.8378237,0.776567,0.8882835,0.7144933,0.85724664,0.7940937,0.89704686,0.751212,0.875606,0.80460817,0.90230405
56861,0.55699384,0.7784969,0.55490565,0.7774528,0.48567185,0.74283594,0.5947787,0.7973894,0.56804264,0.7840213,0.5940429,0.79702145,0.62300456,0.8115023,0.6397276,0.8198638,0.6286173,0.81430864,0.6257571,0.81287855
