,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score
56644,0.7013644,0.8506822,0.65918124,0.8295906,0.5888139,0.79440695,0.6174271,0.80871356,0.69302475,0.8465124,0.74455,0.872275,0.7324928,0.8662464,0.7323797,0.86618984,0.7278056,0.8639028,0.7389303,0.8694651
56645,0.65010834,0.82505417,0.6535225,0.82676125,0.5831289,0.79156446,0.64598846,0.82299423,0.6347259,0.81736296,0.6852177,0.8426088,0.6541682,0.82708406,0.7527784,0.8763892,0.70665216,0.8533261,0.7001828,0.8500914
56646,0.58428085,0.7921404,0.5711633,0.78558165,0.47737345,0.73868674,0.58623636,0.7931182,0.5757239,0.78786194,0.63518214,0.8175911,0.6324322,0.8162161,0.62419623,0.81209815,0.6705873,0.83529365,0.66526103,0.8326305
56647,0.7117362,0.8558681,0.71633935,0.8581697,0.6575149,0.82875746,0.6880367,0.84401834,0.7395507,0.86977535,0.74741495,0.8737075,0.7500136,0.8750068,0.7643515,0.88217574,0.7763319,0.88816595,0.7706182,0.8853091
56648,0.7595595,0.87977976,0.6904206,0.8452103,0.62349856,0.8117493,0.662832,0.831416,0.72963357,0.8648168,0.7803431,0.8901715,0.71991,0.859955,0.78479874,0.8923994,0.74227756,0.8711388,0.76403487,0.88201743
56649,0.61951697,0.8097585,0.6376786,0.8188393,0.52709335,0.7635467,0.557106,0.778553,0.6200876,0.8100438,0.68152297,0.8407615,0.62440133,0.81220067,0.66860324,0.8343016,0.69513535,0.8475677,0.68619895,0.8430995
56650,0.7301853,0.86509264,0.68765765,0.8438288,0.632113,0.8160565,0.6335629,0.81678146,0.743819,0.8719095,0.8103672,0.9051836,0.760559,0.88027954,0.78454053,0.89227027,0.7638049,0.88190246,0.79553896,0.89776945
56651,0.6795279,0.83976394,0.6270772,0.8135386,0.6167079,0.80835396,0.5544965,0.77724826,0.7325882,0.8662941,0.836949,0.9184745,0.73681366,0.86840683,0.76998466,0.88499236,0.75652957,0.8782648,0.8029007,0.90145034
56652,0.6779661,0.83898306,0.7052822,0.8526411,0.5999303,0.79996514,0.63146454,0.81573224,0.7049561,0.852478,0.7518555,0.87592775,0.7242224,0.8621112,0.76915616,0.8845781,0.79415107,0.89707553,0.75929403,0.879647
56653,0.6731551,0.83657753,0.6340889,0.81704444,0.5896141,0.7948071,0.5957625,0.79788125,0.662871,0.8314355,0.7561054,0.8780527,0.7003467,0.85017335,0.7347913,0.86739564,0.7527665,0.87638324,0.7610874,0.8805437
56654,0.72940785,0.8647039,0.7081809,0.85409045,0.6177083,0.80885416,0.64334416,0.8216721,0.7663897,0.88319486,0.8126246,0.9063123,0.7831951,0.8915975,0.7960429,0.89802146,0.81139725,0.90569866,0.82813805,0.91406906
56656,0.61125195,0.805626,0.6249957,0.81249785,0.5522485,0.77612424,0.56762135,0.7838107,0.6595546,0.8297773,0.7016995,0.85084975,0.7151263,0.85756314,0.6767198,0.8383599,0.70349056,0.85174525,0.7237629,0.8618815
56657,0.581809,0.7909045,0.53738344,0.7686917,0.4604721,0.73023605,0.5064479,0.75322396,0.6155907,0.80779535,0.74911326,0.87455666,0.7005538,0.8502769,0.65963674,0.82981837,0.6783422,0.8391711,0.7633113,0.8816557
56661,0.7223529,0.8611765,0.6719252,0.8359626,0.58910847,0.79455423,0.6033709,0.80168545,0.6993617,0.84968084,0.8034406,0.9017203,0.6937365,0.8468683,0.7597189,0.87985945,0.7463602,0.8731801,0.7802952,0.89014757
56662,0.7306231,0.86531156,0.7142961,0.85714805,0.61140966,0.80570483,0.6694627,0.83473134,0.7257415,0.86287075,0.77339673,0.88669837,0.7225803,0.86129016,0.81423885,0.9071194,0.78738916,0.8936946,0.79959476,0.8997974
56725,0.6749892,0.8374946,0.641088,0.820544,0.59937567,0.79968786,0.6404544,0.8202272,0.6590797,0.82953984,0.75375295,0.8768765,0.71937716,0.8596886,0.745069,0.8725345,0.74435043,0.8721752,0.7929065,0.89645326
56795,0.6143302,0.8071651,0.64277107,0.8213855,0.5563146,0.7781573,0.5616015,0.78080076,0.6808612,0.8404306,0.7212812,0.8606406,0.7464891,0.8732445,0.7508144,0.8754072,0.75825936,0.87912965,0.7404796,0.8702398
56796,0.587178,0.793589,0.6216968,0.8108484,0.5234239,0.76171196,0.5437459,0.77187294,0.65710723,0.8285536,0.69538873,0.8476944,0.7258661,0.86293304,0.70937914,0.8546896,0.69349855,0.8467493,0.70993257,0.8549663
56797,0.70321786,0.85160893,0.70896703,0.8544835,0.6056975,0.80284876,0.6268326,0.8134163,0.71462435,0.8573122,0.7340914,0.8670457,0.6810094,0.8405047,0.7855642,0.8927821,0.7243357,0.86216784,0.7167561,0.85837805
56798,0.6311133,0.81555665,0.64847267,0.82423633,0.5871723,0.79358613,0.59640515,0.7982026,0.67114276,0.8355714,0.7219925,0.86099625,0.7511457,0.87557286,0.73134327,0.86567163,0.73065746,0.8653287,0.7669381,0.88346905
56799,0.6356031,0.81780154,0.5914631,0.79573154,0.5083947,0.75419736,0.55540466,0.77770233,0.6436439,0.8218219,0.7124998,0.8562499,0.71637315,0.8581866,0.6972644,0.8486322,0.69627154,0.84813577,0.74224055,0.8711203
56800,0.6509678,0.8254839,0.62055993,0.81027997,0.56040287,0.78020144,0.6065242,0.8032621,0.59656847,0.79828423,0.64210105,0.8210505,0.5839299,0.79196495,0.6573982,0.8286991,0.6375396,0.8187698,0.62190115,0.8109506
56801,0.6563186,0.82815933,0.651747,0.8258735,0.5760176,0.7880088,0.58068067,0.7903403,0.66513646,0.8325682,0.7746819,0.88734096,0.695766,0.847883,0.7604723,0.88023615,0.7202587,0.86012936,0.7476771,0.87383854
56802,0.6942007,0.8471004,0.66305476,0.83152735,0.6186369,0.8093184,0.6341505,0.81707525,0.6972897,0.84864485,0.7864686,0.8932343,0.7453014,0.87265074,0.76983285,0.8849164,0.7860228,0.8930114,0.76639384,0.88319695
56803,0.72997355,0.8649868,0.7244668,0.8622334,0.6394421,0.81972104,0.64589685,0.82294846,0.73725957,0.8686298,0.8094914,0.9047457,0.7624787,0.88123935,0.7975718,0.8987859,0.7813738,0.89068687,0.8153454,0.9076727
56804,0.7136104,0.8568052,0.71164787,0.85582393,0.6202614,0.8101307,0.6524828,0.8262414,0.71947813,0.85973907,0.7858925,0.89294624,0.7081307,0.85406536,0.8244067,0.9122033,0.7722926,0.8861463,0.7661979,0.88309896
56805,0.6490474,0.8245237,0.6270453,0.81352264,0.5840958,0.79204786,0.61764073,0.80882037,0.622364,0.811182,0.69231594,0.84615797,0.63577384,0.81788695,0.71499884,0.8574994,0.72180736,0.8609037,0.70651406,0.85325706
56807,0.6951561,0.84757805,0.6921408,0.8460704,0.58990836,0.7949542,0.6295991,0.81479955,0.71959144,0.8597957,0.7588589,0.87942946,0.7677307,0.88386536,0.75637245,0.8781862,0.7802274,0.8901137,0.7962609,0.8981304
56809,0.6460389,0.82301944,0.64780176,0.8239009,0.55513126,0.7775656,0.61576724,0.8078836,0.6519457,0.82597286,0.695489,0.84774446,0.6964647,0.8482324,0.7460334,0.8730167,0.7277991,0.8638996,0.71629274,0.85814637
56859,0.5541669,0.77708346,0.5166022,0.75830114,0.43011594,0.71505797,0.5447783,0.7723892,0.5582684,0.7791342,0.640309,0.8201545,0.61798984,0.8089949,0.62026066,0.81013036,0.6556827,0.82784134,0.6458467,0.82292336
56860,0.65065295,0.82532644,0.6415528,0.8207764,0.5723969,0.78619844,0.6570122,0.8285061,0.66453284,0.83226645,0.75892854,0.87946427,0.7039356,0.8519678,0.7654512,0.8827256,0.74220324,0.8711016,0.7878212,0.8939106
56861,0.6237645,0.81188226,0.6005695,0.80028474,0.5341009,0.76705045,0.6478753,0.82393765,0.59805024,0.7990251,0.62823135,0.81411564,0.64266354,0.82133174,0.6610273,0.83051366,0.6681174,0.8340587,0.660306,0.830153
56862,0.6883662,0.8441831,0.6644776,0.8322388,0.53005004,0.765025,0.58883053,0.79441524,0.6504736,0.8252368,0.7122531,0.85612655,0.67760175,0.8388009,0.720696,0.860348,0.70234954,0.8511748,0.7009185,0.8504592
57384,0.7266007,0.8633003,0.6766565,0.83832824,0.62807095,0.8140355,0.6458936,0.8229468,0.7204083,0.86020416,0.81670326,0.90835166,0.74455726,0.87227863,0.7978527,0.8989264,0.7205894,0.8602947,0.79810584,0.8990529
57400,0.7471925,0.87359625,0.70553994,0.85277,0.624222,0.812111,0.64420867,0.82210433,0.7412691,0.87063456,0.80747813,0.9037391,0.7475853,0.87379265,0.80968535,0.9048427,0.7229904,0.8614952,0.7916404,0.8958202
