,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
53972,0.5848204,0.7924102,0.6200448,0.8100224,0.51953053,0.75976527,0.5641144,0.78205717,0.59276015,0.79638004,0.6575352,0.8287676,0.6584426,0.8292213,0.6817131,0.84085655,0.6965339,0.84826696,0.6816661,0.84083307
53973,0.67002153,0.83501077,0.6080853,0.80404264,0.58115757,0.7905788,0.60258436,0.8012922,0.6851697,0.84258485,0.7991358,0.8995679,0.73341274,0.8667064,0.7559241,0.87796205,0.7488125,0.8744062,0.7952169,0.89760846
53974,0.6054243,0.80271214,0.5790994,0.7895497,0.5241865,0.76209325,0.581089,0.7905445,0.63872886,0.8193644,0.71054196,0.855271,0.6983728,0.8491864,0.6759597,0.83797985,0.7213687,0.86068434,0.72574437,0.8628722
53975,0.63258225,0.8162911,0.568846,0.784423,0.5727967,0.78639835,0.5835873,0.79179364,0.6388189,0.8194095,0.77737534,0.8886877,0.6608516,0.8304258,0.67861843,0.8393092,0.7443572,0.8721786,0.7378955,0.86894774
53976,0.5441395,0.77206975,0.51958466,0.7597923,0.48797587,0.7439879,0.48926258,0.7446313,0.5632919,0.78164595,0.6655977,0.83279884,0.658859,0.8294295,0.61248386,0.8062419,0.68878484,0.8443924,0.69376117,0.84688056
53977,0.751747,0.8758735,0.67561674,0.8378084,0.61947525,0.8097376,0.63511735,0.81755865,0.74464166,0.87232083,0.8016101,0.90080506,0.7479719,0.87398595,0.7742537,0.88712686,0.75553906,0.87776953,0.77833176,0.8891659
53978,0.71603006,0.85801506,0.6574359,0.82871795,0.62758124,0.8137906,0.59906805,0.799534,0.7557534,0.8778767,0.84399354,0.9219968,0.75044155,0.8752208,0.7819116,0.8909558,0.7676201,0.88381004,0.83803797,0.919019
53979,0.7299566,0.8649783,0.66959727,0.83479863,0.63535684,0.81767845,0.6257976,0.8128988,0.7482313,0.87411565,0.84854376,0.9242719,0.7488974,0.87444866,0.8039927,0.9019964,0.76653934,0.88326967,0.79513,0.897565
53981,0.630778,0.81538904,0.60010356,0.8000518,0.5526788,0.7763394,0.5826818,0.7913409,0.64380443,0.8219022,0.7600774,0.88003874,0.70779276,0.8538964,0.71738815,0.8586941,0.73507166,0.8675358,0.75876963,0.8793848
54796,0.7129568,0.8564784,0.6718018,0.8359009,0.5804105,0.79020524,0.63859975,0.8192999,0.66708916,0.8335446,0.76337755,0.8816888,0.71522975,0.8576149,0.78617275,0.8930864,0.76347107,0.88173556,0.78516454,0.8925823
54797,0.6984581,0.84922904,0.692811,0.8464055,0.6557923,0.8278961,0.5998418,0.7999209,0.740906,0.870453,0.8363443,0.9181721,0.7299512,0.8649756,0.8003244,0.9001622,0.7443278,0.8721639,0.7828945,0.89144725
54798,0.66750896,0.8337545,0.66965574,0.8348279,0.5689359,0.78446794,0.6083946,0.8041973,0.68630224,0.8431511,0.78191936,0.8909597,0.73618275,0.86809134,0.74214745,0.8710737,0.7755879,0.88779396,0.7833866,0.8916933
54799,0.54173785,0.7708689,0.58887374,0.7944369,0.46931154,0.73465574,0.5428282,0.7714141,0.5795063,0.78975314,0.6563507,0.8281753,0.6679314,0.83396566,0.668121,0.8340605,0.7437863,0.87189317,0.73864365,0.8693218
54800,0.65211475,0.8260574,0.6360897,0.81804484,0.57096076,0.7854804,0.5671115,0.78355575,0.67343384,0.8367169,0.7377486,0.8688743,0.7430016,0.8715008,0.73250824,0.8662541,0.7469324,0.8734662,0.77186954,0.88593477
56453,0.6594867,0.8297434,0.6583946,0.8291973,0.60318136,0.8015907,0.5858882,0.7929441,0.7099538,0.8549769,0.73772013,0.86886007,0.7778927,0.88894635,0.7290722,0.8645361,0.75393164,0.8769658,0.76573694,0.88286847
56528,0.5772346,0.7886173,0.53739816,0.76869905,0.4573795,0.72868973,0.5252834,0.76264167,0.59452367,0.79726183,0.6563837,0.8281919,0.6336913,0.81684566,0.6131619,0.80658096,0.6537049,0.82685244,0.6516321,0.82581604
56542,0.6412133,0.82060665,0.6278446,0.8139223,0.5575334,0.7787667,0.6191206,0.8095603,0.6530888,0.8265444,0.7443871,0.8721936,0.6919195,0.8459598,0.7616398,0.8808199,0.7195787,0.8597894,0.74894714,0.8744736
56543,0.59091496,0.7954575,0.5724906,0.7862453,0.50071496,0.7503575,0.50755596,0.753778,0.6117293,0.8058647,0.65273005,0.826365,0.6685484,0.8342742,0.63321936,0.8166097,0.660787,0.8303935,0.64605445,0.82302725
56544,0.6290174,0.8145087,0.6248715,0.81243575,0.57750964,0.7887548,0.61875856,0.8093793,0.64464796,0.822324,0.7313097,0.8656548,0.6971623,0.84858114,0.70552504,0.8527625,0.72416043,0.8620802,0.77053463,0.8852673
56545,0.5344448,0.7672224,0.5928913,0.7964456,0.46845078,0.7342254,0.5262277,0.76311386,0.4953052,0.7476526,0.48741728,0.7437086,0.5127268,0.7563634,0.59908724,0.7995436,0.5788177,0.78940886,0.5237332,0.76186657
56618,0.6760124,0.8380062,0.716134,0.85806704,0.6239481,0.81197405,0.63916904,0.8195845,0.688026,0.844013,0.7463287,0.87316436,0.72732127,0.86366063,0.80699384,0.9034969,0.7935318,0.8967659,0.7615774,0.8807887
56619,0.59942293,0.79971147,0.5954157,0.79770786,0.4993928,0.7496964,0.55732757,0.77866375,0.62867635,0.8143382,0.7154158,0.85770786,0.70442307,0.85221153,0.6763754,0.8381877,0.6907667,0.84538335,0.72526,0.86263
56629,0.73431504,0.8671575,0.6875658,0.8437829,0.6172792,0.8086396,0.619295,0.8096475,0.7569866,0.8784933,0.85070765,0.9253538,0.7645649,0.88228244,0.84592295,0.9229615,0.74872726,0.87436366,0.8108131,0.9054066
56630,0.67010665,0.8350533,0.6620266,0.8310133,0.55177945,0.77588975,0.5920987,0.79604936,0.6685289,0.83426446,0.76391065,0.8819553,0.76080894,0.8804045,0.76384866,0.88192433,0.7593541,0.87967706,0.7948624,0.8974312
56631,0.5665879,0.78329396,0.58447057,0.79223526,0.50852984,0.75426495,0.5689914,0.7844957,0.5866631,0.79333156,0.6500994,0.8250497,0.61727834,0.80863917,0.65398777,0.8269939,0.70624167,0.8531208,0.71917427,0.85958713
56632,0.72268844,0.8613442,0.678985,0.8394925,0.627646,0.813823,0.6536023,0.8268012,0.7158953,0.85794765,0.8424227,0.92121136,0.7829701,0.89148504,0.83109593,0.91554797,0.7917104,0.8958552,0.83765495,0.9188275
56633,0.65991384,0.8299569,0.5902778,0.7951389,0.568822,0.784411,0.54199123,0.7709956,0.6400002,0.8200001,0.73315513,0.86657757,0.6802913,0.84014565,0.6887717,0.84438586,0.6815121,0.84075606,0.73473006,0.867365
56634,0.51465297,0.7573265,0.51924545,0.7596227,0.44108945,0.7205447,0.46921787,0.73460895,0.5454117,0.77270585,0.6367855,0.81839275,0.62735134,0.81367564,0.6186751,0.80933756,0.68063027,0.8403151,0.6853684,0.8426842
56635,0.5550186,0.77750933,0.6016794,0.80083966,0.52332747,0.76166373,0.5212624,0.7606312,0.6033501,0.8016751,0.7394115,0.86970574,0.7006654,0.85033274,0.6944487,0.84722435,0.6828051,0.84140253,0.7384877,0.86924386
56637,0.6531609,0.82658046,0.6257191,0.81285954,0.5382122,0.7691061,0.6060848,0.8030424,0.6933898,0.8466949,0.7806108,0.8903054,0.74609935,0.8730497,0.7626594,0.88132966,0.7470347,0.8735174,0.7870096,0.8935048
56638,0.72595286,0.86297643,0.7117508,0.8558754,0.6234279,0.81171393,0.6285682,0.8142841,0.7490722,0.8745361,0.7681688,0.8840844,0.753935,0.8769675,0.7777916,0.8888958,0.7275801,0.86379004,0.7655952,0.8827976
56639,0.6681477,0.83407384,0.6883224,0.8441612,0.5833175,0.79165876,0.5764238,0.78821194,0.7365807,0.86829036,0.8092302,0.9046151,0.8150252,0.9075126,0.76059186,0.88029593,0.78859806,0.89429903,0.8313595,0.91567975
56641,0.5934012,0.7967006,0.55553424,0.7777671,0.51111007,0.75555503,0.5478356,0.7739178,0.6211082,0.8105541,0.7274716,0.8637358,0.71101636,0.8555082,0.6706053,0.83530265,0.69443667,0.84721833,0.75985396,0.879927
56642,0.58893216,0.7944661,0.5613921,0.78069603,0.48161983,0.7408099,0.51647043,0.7582352,0.579589,0.7897945,0.6650708,0.8325354,0.6747808,0.8373904,0.64765847,0.82382923,0.68740934,0.8437047,0.6855269,0.8427634
56643,0.73802096,0.86901045,0.6927813,0.84639066,0.668453,0.8342265,0.65425944,0.8271297,0.6924315,0.8462157,0.7249592,0.86247957,0.6227205,0.81136024,0.7546332,0.8773166,0.73076963,0.8653848,0.7004957,0.85024786
56644,0.6357327,0.8178663,0.6432694,0.8216347,0.56835246,0.78417623,0.59291035,0.79645514,0.65224963,0.8261248,0.69834995,0.849175,0.7167904,0.8583952,0.7164526,0.8582263,0.741416,0.870708,0.7263168,0.8631584
56645,0.61951464,0.80975735,0.6316974,0.8158487,0.5599829,0.77999145,0.6257516,0.8128758,0.62540936,0.8127047,0.6738633,0.83693165,0.6671891,0.83359456,0.7313876,0.8656938,0.70682824,0.8534141,0.71462804,0.857314
56646,0.53365046,0.7668252,0.5536025,0.7768012,0.44132286,0.7206614,0.5359746,0.7679873,0.5572931,0.7786466,0.6128534,0.8064267,0.6408287,0.82041436,0.6289612,0.8144806,0.66142285,0.8307114,0.64718866,0.82359433
56647,0.67587274,0.8379364,0.6906613,0.84533066,0.59206307,0.79603153,0.637167,0.8185835,0.7140237,0.85701185,0.76109576,0.8805479,0.7583246,0.8791623,0.75766945,0.8788347,0.7442049,0.87210244,0.7751541,0.88757706
56648,0.7111127,0.85555637,0.63913965,0.8195698,0.5969343,0.79846716,0.638613,0.8193065,0.69178915,0.8458946,0.76771724,0.8838586,0.7298595,0.86492974,0.74549663,0.8727483,0.7244258,0.8622129,0.75333834,0.87666917
56649,0.62906027,0.81453013,0.62757856,0.81378925,0.5452222,0.77261114,0.587178,0.793589,0.627375,0.8136875,0.6703131,0.83515656,0.6241354,0.8120677,0.6551982,0.8275991,0.69788504,0.8489425,0.67300683,0.8365034
56650,0.7203102,0.8601551,0.69138926,0.84569466,0.6232659,0.811633,0.6307839,0.81539196,0.7554001,0.8777001,0.8158703,0.90793514,0.8076014,0.9038007,0.7922838,0.8961419,0.77462244,0.8873112,0.8226124,0.9113062
56651,0.68974376,0.8448719,0.6434496,0.8217248,0.6311324,0.8155662,0.587752,0.793876,0.7264533,0.86322665,0.84653205,0.92326605,0.78629386,0.89314693,0.7913035,0.89565176,0.76651967,0.88325983,0.851962,0.925981
56652,0.6969849,0.84849244,0.70967895,0.85483944,0.5953162,0.7976581,0.6320107,0.81600535,0.729617,0.8648085,0.77619624,0.8880981,0.74582416,0.87291205,0.7847724,0.8923862,0.7583593,0.87917966,0.7659672,0.88298357
56653,0.5364194,0.7682097,0.5534303,0.77671516,0.48730344,0.74365175,0.48262772,0.7413139,0.55211645,0.7760582,0.6278668,0.8139334,0.60590696,0.8029535,0.63246316,0.8162316,0.65226305,0.8261315,0.6279505,0.8139752
56654,0.724666,0.862333,0.6928775,0.84643877,0.64671814,0.8233591,0.6385346,0.8192673,0.7442311,0.87211555,0.85397625,0.9269881,0.7680732,0.8840366,0.80899817,0.90449905,0.80332255,0.9016613,0.8437864,0.92189324
56656,0.59920967,0.79960483,0.5957213,0.7978606,0.53459585,0.7672979,0.524228,0.762114,0.647777,0.82388854,0.699123,0.8495615,0.6939028,0.84695137,0.6684116,0.8342058,0.6889826,0.8444913,0.7155911,0.85779554
56657,0.5312347,0.7656174,0.48305827,0.7415291,0.42652887,0.71326447,0.4506088,0.72530437,0.57108253,0.7855413,0.70385075,0.8519254,0.66737944,0.8336897,0.6044818,0.8022409,0.65295875,0.8264794,0.7099215,0.85496074
56661,0.7545998,0.8772999,0.73924017,0.8696201,0.63901573,0.81950784,0.6474166,0.8237083,0.74636346,0.8731817,0.81826603,0.909133,0.7477112,0.8738556,0.8013906,0.9006953,0.8002142,0.9001071,0.81617033,0.90808517
56662,0.69117486,0.84558743,0.67365104,0.8368255,0.59018517,0.7950926,0.6592213,0.82961065,0.6713803,0.83569014,0.75161254,0.8758063,0.68804324,0.8440216,0.7890543,0.89452714,0.7843188,0.8921594,0.7747433,0.88737166
56725,0.70286417,0.8514321,0.66130996,0.830655,0.61813855,0.8090693,0.62703574,0.81351787,0.71445954,0.85722977,0.8063231,0.9031615,0.75952405,0.87976205,0.78617716,0.8930886,0.75225896,0.8761295,0.817332,0.908666
56795,0.6290484,0.8145242,0.6446762,0.8223381,0.5796335,0.78981674,0.582041,0.7910205,0.6813735,0.84068674,0.73326844,0.86663425,0.75685394,0.87842697,0.76929295,0.8846465,0.7587224,0.8793612,0.7730251,0.8865125
56796,0.60254025,0.8012701,0.6162107,0.80810535,0.5439869,0.77199346,0.5588832,0.7794416,0.69531226,0.84765613,0.7670864,0.8835432,0.7720504,0.8860252,0.7525479,0.876274,0.7355423,0.86777115,0.78190124,0.8909506
56797,0.65815043,0.8290752,0.6589478,0.8294739,0.54561186,0.7728059,0.5922482,0.7961241,0.67291707,0.83645856,0.7045438,0.8522719,0.66666317,0.8333316,0.72912455,0.8645623,0.6952977,0.84764886,0.70728076,0.8536404
56798,0.6889467,0.84447336,0.64878833,0.82439417,0.6126528,0.8063264,0.609008,0.80450404,0.71004367,0.85502183,0.7767381,0.8883691,0.772158,0.886079,0.7655285,0.8827642,0.7465376,0.87326884,0.8029988,0.9014994
56799,0.63965154,0.81982577,0.573419,0.7867095,0.5138198,0.7569099,0.5465697,0.77328485,0.6415427,0.82077134,0.74871635,0.8743582,0.7236241,0.86181206,0.7257054,0.8628527,0.72942454,0.86471224,0.78833675,0.8941684
56800,0.5986214,0.7993107,0.5706607,0.78533036,0.49514163,0.7475708,0.5762663,0.78813314,0.549219,0.7746095,0.6021507,0.80107534,0.54989374,0.77494687,0.6294933,0.8147466,0.60775137,0.8038757,0.60071427,0.8003571
56801,0.6545817,0.8272909,0.63106,0.81553,0.5664193,0.7832097,0.56451607,0.78225803,0.68273354,0.84136677,0.8092173,0.9046086,0.725129,0.8625645,0.75516427,0.87758213,0.7337686,0.8668843,0.77869403,0.889347
56802,0.56763786,0.78381896,0.5477737,0.77388686,0.52060527,0.76030266,0.5341454,0.7670727,0.52653074,0.7632654,0.6268928,0.8134464,0.58937943,0.7946897,0.62202835,0.8110142,0.6789253,0.83946264,0.6571671,0.82858354
56803,0.7000614,0.85003066,0.72757,0.863785,0.64283645,0.8214182,0.6507702,0.8253851,0.6971923,0.84859616,0.74813604,0.874068,0.72329783,0.8616489,0.78338045,0.89169025,0.72653145,0.86326575,0.75649786,0.87824893
56804,0.7323868,0.8661934,0.726313,0.8631565,0.6556735,0.82783675,0.6639788,0.8319894,0.75158525,0.8757926,0.81809235,0.9090462,0.7442173,0.87210864,0.84838706,0.9241935,0.80488396,0.902442,0.8122457,0.90612286
56805,0.5719135,0.78595674,0.5854643,0.7927321,0.5364041,0.76820207,0.59367555,0.7968378,0.53612477,0.76806235,0.6155224,0.8077612,0.5923917,0.79619586,0.675213,0.8376065,0.69332874,0.84666437,0.66402847,0.8320142
56807,0.6541592,0.8270796,0.65551627,0.82775813,0.5460665,0.77303326,0.5830225,0.79151124,0.66260064,0.8313003,0.71780634,0.85890317,0.7262812,0.8631406,0.7079502,0.85397506,0.7225721,0.86128604,0.7432064,0.8716032
56809,0.73171294,0.86585647,0.70454687,0.85227346,0.6466702,0.8233351,0.65687776,0.8284389,0.7344825,0.86724126,0.8326795,0.91633976,0.74661887,0.87330943,0.8377113,0.91885567,0.8138881,0.90694404,0.82724166,0.9136208
56859,0.6015272,0.8007636,0.55986714,0.7799336,0.46512064,0.73256034,0.57158744,0.7857937,0.59604007,0.79802,0.70876217,0.8543811,0.6617999,0.83089995,0.6563715,0.82818574,0.6936309,0.84681547,0.7040354,0.8520177
56860,0.65317667,0.82658833,0.6616484,0.8308242,0.5987458,0.7993729,0.7010409,0.8505205,0.67223155,0.8361158,0.75719106,0.87859553,0.7166773,0.85833865,0.78333956,0.89166975,0.75599414,0.87799704,0.7904689,0.89523447
56861,0.6045898,0.8022949,0.55865633,0.77932817,0.5053922,0.7526961,0.6173855,0.80869275,0.6167138,0.8083569,0.682886,0.841443,0.6746862,0.8373431,0.67531335,0.8376567,0.673922,0.83696103,0.69538456,0.84769225
56862,0.6440196,0.8220098,0.6664047,0.83320236,0.5457878,0.7728939,0.5998097,0.7999048,0.6255328,0.81276643,0.68893844,0.8444692,0.68330514,0.8416526,0.7221043,0.86105216,0.7315086,0.8657543,0.70387024,0.85193515
57384,0.7192632,0.8596316,0.6812097,0.84060484,0.602064,0.801032,0.6016196,0.8008098,0.75478506,0.87739253,0.86717045,0.9335852,0.80834866,0.9041743,0.8063443,0.90317214,0.76128715,0.8806436,0.8490336,0.9245168
