,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
54799,0.54108745,0.7705437,0.5683139,0.7841569,0.4637675,0.73188376,0.54297954,0.77148974,0.5648917,0.78244585,0.6377276,0.8188638,0.65040386,0.8252019,0.64709437,0.8235472,0.7119242,0.8559621,0.72187424,0.8609371
54800,0.65493655,0.8274683,0.66683644,0.83341825,0.5882102,0.7941051,0.58986807,0.79493403,0.6899016,0.8449508,0.7135463,0.85677314,0.7504189,0.87520945,0.75142974,0.8757149,0.7343013,0.86715066,0.75664145,0.8783207
56453,0.7071942,0.8535971,0.6613973,0.8306986,0.6095898,0.8047949,0.57773226,0.78886616,0.7344215,0.86721075,0.8313898,0.9156949,0.8071035,0.90355176,0.7553664,0.87768316,0.7655638,0.88278186,0.8224249,0.91121244
56528,0.61760664,0.8088033,0.57077307,0.78538656,0.49511367,0.7475568,0.5572225,0.77861124,0.6278982,0.8139491,0.72437465,0.8621873,0.67309666,0.8365483,0.669351,0.8346755,0.7052251,0.85261256,0.7042508,0.8521254
56542,0.6747993,0.83739966,0.66781116,0.8339056,0.59278697,0.7963935,0.6548772,0.8274386,0.70661247,0.85330623,0.7882028,0.8941014,0.7521486,0.8760743,0.78759587,0.89379793,0.7819046,0.8909523,0.8033525,0.90167624
56543,0.67805815,0.8390291,0.6083865,0.80419326,0.5478084,0.7739042,0.5482502,0.7741251,0.6778597,0.8389299,0.7702989,0.8851495,0.73150396,0.865752,0.7244312,0.86221564,0.73546594,0.867733,0.7691928,0.8845964
56544,0.6527429,0.82637143,0.66544557,0.8327228,0.58834183,0.7941709,0.62903714,0.8145186,0.6728631,0.83643156,0.7308582,0.8654291,0.7093972,0.8546986,0.72795117,0.8639756,0.74532163,0.8726608,0.78007984,0.8900399
56545,0.5582073,0.77910364,0.61208683,0.8060434,0.5111592,0.7555796,0.54373294,0.77186644,0.54338765,0.7716938,0.5436879,0.7718439,0.57996,0.78998,0.6404122,0.8202061,0.65629315,0.8281466,0.60733044,0.8036652
56618,0.6694381,0.83471906,0.6719216,0.8359608,0.5841975,0.79209876,0.6117729,0.80588645,0.6726968,0.8363484,0.7373527,0.86867636,0.7180307,0.85901535,0.7742489,0.8871244,0.7707907,0.88539535,0.7623649,0.88118243
56619,0.5991646,0.7995823,0.59375453,0.79687726,0.51132,0.75566,0.54979897,0.7748995,0.6248675,0.8124337,0.713382,0.856691,0.69271374,0.84635687,0.66955835,0.83477914,0.70014095,0.8500705,0.7251533,0.86257666
56629,0.72710955,0.8635548,0.69506085,0.8475304,0.6016649,0.80083245,0.65034544,0.8251727,0.7194482,0.8597241,0.83152986,0.9157649,0.7481643,0.87408215,0.82119036,0.9105952,0.73730934,0.86865467,0.8219563,0.91097814
56630,0.66151035,0.8307552,0.6577804,0.8288902,0.5402435,0.77012175,0.59813637,0.7990682,0.6574576,0.8287288,0.75099546,0.8754977,0.7530735,0.8765367,0.7567731,0.87838656,0.76199055,0.8809953,0.7900883,0.89504415
56631,0.5842401,0.79212004,0.6092218,0.8046109,0.51585585,0.7579279,0.57260096,0.7863005,0.60439813,0.80219907,0.6622251,0.83111256,0.63337374,0.81668687,0.6850884,0.8425442,0.7374629,0.86873144,0.75503314,0.87751657
56632,0.72178316,0.8608916,0.6680682,0.8340341,0.6244135,0.81220675,0.6228386,0.8114193,0.74222434,0.87111217,0.86242115,0.9312106,0.79488426,0.8974421,0.8472756,0.9236378,0.77573466,0.88786733,0.84953785,0.9247689
56633,0.647504,0.823752,0.62989265,0.8149463,0.5840954,0.79204774,0.56564724,0.7828236,0.6625178,0.8312589,0.7616168,0.8808084,0.7324724,0.8662362,0.72285485,0.8614274,0.7318149,0.86590743,0.7799872,0.8899936
56634,0.5290306,0.7645153,0.51884604,0.759423,0.4705101,0.73525506,0.47509682,0.7375484,0.52096653,0.76048326,0.63651097,0.8182555,0.60526955,0.8026348,0.6362238,0.8181119,0.6737399,0.83686996,0.69027704,0.84513855
56635,0.60620224,0.8031011,0.6638779,0.831939,0.58821213,0.79410607,0.5841152,0.79205763,0.6548994,0.8274497,0.7400272,0.8700136,0.7342056,0.8671028,0.74469084,0.87234545,0.7250144,0.8625072,0.77697825,0.8884891
56637,0.62306213,0.81153107,0.60670376,0.8033519,0.5110098,0.7555049,0.5973625,0.79868126,0.65435034,0.82717514,0.7210701,0.860535,0.6989969,0.84949845,0.7352247,0.86761236,0.69483066,0.8474153,0.74577427,0.87288713
56638,0.7260625,0.86303127,0.6741512,0.8370756,0.6020962,0.8010481,0.6009439,0.80047196,0.7526109,0.87630546,0.83668673,0.91834337,0.7819146,0.8909573,0.7769905,0.8884952,0.748072,0.874036,0.8244258,0.9122129
56639,0.6181873,0.80909365,0.6359923,0.81799614,0.56971836,0.7848592,0.5460541,0.77302706,0.70043516,0.8502176,0.7982811,0.89914054,0.7928344,0.8964172,0.7643796,0.8821898,0.77354074,0.88677037,0.8260689,0.91303444
56641,0.6041586,0.8020793,0.573213,0.7866065,0.5101593,0.7550796,0.5618585,0.7809292,0.62819034,0.81409514,0.7333716,0.8666858,0.7271569,0.86357844,0.6844249,0.84221244,0.7001079,0.8500539,0.76419556,0.8820978
56642,0.6152817,0.80764085,0.5959558,0.7979779,0.51406085,0.7570304,0.5442064,0.7721032,0.61744237,0.8087212,0.7171043,0.85855216,0.72634095,0.8631705,0.6907625,0.84538126,0.74045295,0.8702265,0.7424594,0.8712297
56643,0.72664976,0.8633249,0.6752837,0.83764184,0.64417243,0.8220862,0.6357976,0.8178988,0.6698072,0.8349036,0.7189888,0.8594944,0.6081042,0.8040521,0.73388994,0.86694497,0.72111094,0.86055547,0.6773379,0.83866894
56644,0.6308497,0.81542486,0.648491,0.8242455,0.5615549,0.78077745,0.58769214,0.7938461,0.62841463,0.8142073,0.6512909,0.82564545,0.6774938,0.8387469,0.67344034,0.83672017,0.70068693,0.85034347,0.68240017,0.8412001
56645,0.5902784,0.7951392,0.60460186,0.80230093,0.5220796,0.7610398,0.6192905,0.80964524,0.56715715,0.7835786,0.64460766,0.82230383,0.6060033,0.80300164,0.7168311,0.85841554,0.689802,0.84490097,0.6833693,0.84168464
56646,0.5886059,0.79430294,0.57998526,0.78999263,0.4880358,0.7440179,0.5559343,0.77796715,0.5984025,0.79920125,0.682657,0.8413285,0.6734991,0.83674955,0.6756664,0.83783317,0.69900346,0.8495017,0.70085263,0.8504263
56647,0.6835512,0.8417756,0.7071635,0.8535818,0.60606515,0.8030326,0.65627825,0.8281391,0.7260604,0.8630302,0.7688066,0.8844033,0.7676669,0.8838334,0.777338,0.888669,0.77209616,0.8860481,0.79374516,0.8968726
56648,0.73085845,0.8654292,0.6594752,0.8297376,0.607651,0.8038255,0.6319585,0.81597924,0.7162055,0.85810274,0.79988265,0.8999413,0.73899174,0.86949587,0.78203636,0.89101815,0.75508255,0.8775413,0.7781122,0.8890561
56649,0.60237265,0.8011863,0.61735976,0.8086799,0.520031,0.7600155,0.5308113,0.76540565,0.6101078,0.8050539,0.6603147,0.83015734,0.60998166,0.8049908,0.6374154,0.8187077,0.6555648,0.8277824,0.66504425,0.83252215
56650,0.69680375,0.8484019,0.6471331,0.82356656,0.5929244,0.7964622,0.58306056,0.79153025,0.73377717,0.8668886,0.81990665,0.90995336,0.7847625,0.89238125,0.7627535,0.88137674,0.7553029,0.87765145,0.8288034,0.9144017
56651,0.6694695,0.83473474,0.6086125,0.80430627,0.5715269,0.78576344,0.5546429,0.77732146,0.716824,0.858412,0.8005434,0.9002717,0.74914205,0.874571,0.743856,0.871928,0.7237495,0.86187476,0.7948184,0.8974092
56652,0.6934918,0.8467459,0.6998036,0.8499018,0.6099164,0.8049582,0.6304156,0.81520784,0.7273611,0.86368054,0.77518165,0.8875908,0.7458041,0.87290204,0.7926159,0.89630795,0.7814609,0.89073044,0.7705878,0.8852939
56653,0.56073,0.780365,0.5695598,0.7847799,0.524979,0.7624895,0.5291298,0.7645649,0.5464222,0.7732111,0.6046918,0.8023459,0.5624877,0.78124386,0.64965117,0.8248256,0.6501452,0.8250726,0.6130599,0.80652994
56654,0.74193233,0.8709662,0.69666123,0.8483306,0.65448004,0.82724,0.6225599,0.81127995,0.7827387,0.89136934,0.8498616,0.9249308,0.7867602,0.8933801,0.7976042,0.8988021,0.8014453,0.9007226,0.86952734,0.93476367
56656,0.5982874,0.7991437,0.6170455,0.80852276,0.5236281,0.76181406,0.5550432,0.7775216,0.65516603,0.827583,0.6882458,0.8441229,0.7195813,0.8597907,0.67350113,0.83675057,0.7223484,0.8611742,0.7297432,0.8648716
56657,0.6258417,0.8129208,0.5574197,0.7787099,0.51964176,0.7598209,0.51246125,0.7562306,0.65906227,0.82953113,0.80438113,0.90219057,0.72621644,0.8631082,0.69911027,0.84955513,0.71299946,0.85649973,0.7926854,0.8963427
56661,0.73118114,0.8655906,0.68405366,0.8420268,0.6027373,0.80136865,0.5982617,0.79913086,0.71597314,0.85798657,0.8268367,0.91341835,0.73436797,0.867184,0.77111804,0.885559,0.77209544,0.8860477,0.8185172,0.9092586
56662,0.65651643,0.8282582,0.6542237,0.82711184,0.5543238,0.7771619,0.6300572,0.8150286,0.634292,0.817146,0.7097713,0.85488564,0.64508545,0.8225427,0.75176084,0.8758804,0.74433565,0.8721678,0.7233182,0.8616591
56725,0.72720945,0.8636047,0.7034851,0.8517425,0.6429293,0.82146466,0.65811694,0.82905847,0.7554035,0.87770176,0.84984255,0.9249213,0.8089725,0.90448624,0.8329329,0.9164665,0.7742106,0.8871053,0.8670207,0.93351036
56795,0.6271368,0.8135684,0.6500967,0.8250483,0.57593155,0.7879658,0.595479,0.7977395,0.67793024,0.8389651,0.7621614,0.8810807,0.7749563,0.8874781,0.78022885,0.8901144,0.7640419,0.88202095,0.7921698,0.8960849
56796,0.64127505,0.8206375,0.65941095,0.8297055,0.58851635,0.7942582,0.57620126,0.7881006,0.70618737,0.8530937,0.7582062,0.87910306,0.74559873,0.8727994,0.78195137,0.8909757,0.71195436,0.8559772,0.75553674,0.8777684
56797,0.69421077,0.8471054,0.688798,0.844399,0.58646184,0.7932309,0.6314215,0.8157108,0.69244003,0.84622,0.746832,0.873416,0.6888836,0.8444418,0.7683335,0.8841667,0.72948134,0.86474067,0.74330366,0.8716518
56798,0.6352416,0.8176208,0.63588524,0.8179426,0.55685645,0.7784282,0.58369136,0.7918457,0.67056394,0.83528197,0.7160298,0.85801494,0.74146056,0.8707303,0.7089787,0.8544893,0.73213863,0.8660693,0.76214325,0.8810716
56799,0.6319947,0.81599736,0.6133453,0.8066727,0.5509168,0.7754584,0.5616478,0.7808239,0.66200435,0.8310022,0.78021324,0.8901066,0.74707687,0.87353843,0.7518575,0.87592876,0.775031,0.8875155,0.8183675,0.90918374
56800,0.5816537,0.79082686,0.5591103,0.77955514,0.48779875,0.74389935,0.537325,0.7686625,0.53774107,0.76887053,0.5916415,0.7958207,0.5165165,0.7582582,0.6092435,0.80462176,0.59053236,0.79526615,0.5770463,0.78852314
56801,0.6893928,0.8446964,0.6597785,0.82988924,0.59153986,0.79576993,0.5893742,0.7946871,0.68258977,0.8412949,0.77878296,0.8893915,0.703472,0.851736,0.7602246,0.8801123,0.7294541,0.864727,0.7611493,0.88057464
