CV_google_ux_Score,gemini_flash_google_ux_Score,gemini_pro_google_ux_Score,gemini_flash_lite_google_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_google_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_google_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_google_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_google_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_google_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score,twice_gemini_flash_google_ux_Score,twice_gemini_pro_google_ux_Score,twice_gemini_flash_lite_google_ux_Score,twice_gemini_flash_pro_google_ux_Score,twice_gemini_flash_lite_pro_google_ux_Score,UX True Label,Will Manipulate
0.8660176,0.86880386,0.8671218,0.8249982,0.82635576,0.85169345,0.8184595,0.8156927,0.828895,0.8422234,0.9072581,0.8966233,0.8000946,0.9036652,0.8495871,1,True
0.90271384,0.9211466,0.90275735,0.8976404,0.89725256,0.88725233,0.888893,0.897902,0.9014101,0.8716648,0.92804146,0.90529144,0.8852523,0.9285486,0.8963716,1,True
0.82136893,0.848001,0.8761915,0.8587612,0.8313374,0.85853094,0.8928821,0.8159425,0.8965783,0.86728716,0.8549799,0.8733214,0.8692761,0.8748018,0.8788932,1,True
0.89139396,0.9000087,0.89985836,0.90214384,0.91720796,0.9092479,0.9057572,0.9110923,0.89813024,0.90881276,0.89765215,0.88979495,0.9013103,0.88977623,0.9093244,1,True
0.8879692,0.8801435,0.8839988,0.86709636,0.8995055,0.8812727,0.88264316,0.8963771,0.8803129,0.8766748,0.8933266,0.8865759,0.8507061,0.8921787,0.87624276,1,True
0.897422,0.9047907,0.89615965,0.9289838,0.9175858,0.9216087,0.9272945,0.9186303,0.9179148,0.9223931,0.89898056,0.89221305,0.9325705,0.59241855,0.9141246,1,True
0.77095646,0.8116388,0.8347673,0.79434794,0.7901208,0.8198699,0.80048347,0.8316329,0.85801995,0.8379595,0.85192055,0.86705136,0.7962655,0.8639635,0.850319,1,True
0.8818548,0.8930902,0.88280576,0.8881613,0.9208926,0.9112848,0.9134408,0.91679084,0.9088631,0.91074735,0.89965284,0.8649974,0.86440486,0.86466813,0.8750316,1,True
0.80637556,0.87207717,0.89001286,0.8477788,0.8670411,0.88439786,0.88715583,0.8993298,0.9061366,0.9138404,0.92144847,0.91189986,0.8678351,0.9188649,0.89086485,1,True
0.80634475,0.89102435,0.88562346,0.8555943,0.8678993,0.8829925,0.8336989,0.89368594,0.84992594,0.8781187,0.896744,0.8944371,0.8555943,0.9066079,0.8551755,1,True
0.8202273,0.89750767,0.87587065,0.8433179,0.8395089,0.8463082,0.8571446,0.8477787,0.8869804,0.8619622,0.90872717,0.87804055,0.85192114,0.8916861,0.8879957,1,True
0.9200014,0.9096324,0.91212153,0.8780502,0.897529,0.9096916,0.8958744,0.9158119,0.9038548,0.9171088,0.91827047,0.92230815,0.8870052,0.91111505,0.90587616,1,True
0.88183206,0.8922131,0.8978853,0.8612728,0.8587956,0.855775,0.87493896,0.87379456,0.8749696,0.86208534,0.8728241,0.89117306,0.8710958,0.88733804,0.88112926,1,True
0.88424504,0.88646775,0.88789356,0.86813855,0.8680803,0.8487524,0.85870576,0.8811241,0.8691612,0.87488997,0.8907037,0.8981497,0.8699485,0.89661425,0.89185184,1,True
0.8280685,0.84132886,0.86114967,0.81310534,0.84688056,0.8306,0.8104919,0.8430011,0.84246516,0.8388584,0.8399502,0.84982544,0.80235606,0.59241855,0.8607847,1,True
0.89750004,0.8742398,0.8925086,0.88671637,0.88735366,0.8622245,0.8873574,0.8674971,0.8891791,0.8784367,0.86139375,0.90371186,0.88237566,0.8792077,0.8878524,1,True
0.88238174,0.8763808,0.91681,0.86463225,0.919019,0.90285605,0.9080994,0.9096786,0.9067328,0.89954054,0.8895042,0.89143854,0.8858597,0.59241855,0.8996693,1,True
0.89340967,0.9243605,0.9251994,0.924214,0.9037421,0.8978665,0.89732945,0.9085362,0.89772,0.890194,0.93088984,0.9145038,0.919177,0.9206486,0.9145435,1,True
0.87299556,0.8950237,0.8868558,0.8226027,0.846946,0.8581962,0.866685,0.85399246,0.8616759,0.8622,0.903896,0.9126858,0.81800723,0.8911851,0.88023174,1,True
0.79660195,0.86868286,0.85627,0.8350092,0.8715506,0.8111197,0.83427435,0.8724411,0.8265772,0.8195083,0.8791838,0.876595,0.82669336,0.85967636,0.8717153,1,True
0.89337444,0.89933085,0.90488046,0.89840066,0.89158034,0.9003747,0.8859182,0.89917666,0.8996882,0.90825903,0.9043606,0.92483747,0.89948916,0.89972967,0.9009267,1,True
0.8623495,0.8767797,0.8798492,0.8633772,0.8883669,0.860875,0.8233349,0.8682716,0.8629871,0.89077073,0.8976664,0.86933964,0.86513585,0.91112864,0.89480686,1,True
0.83735955,0.88752675,0.8783398,0.84892166,0.8555266,0.8283195,0.86070955,0.8965374,0.8403254,0.8579171,0.8851134,0.87819934,0.8483744,0.8913974,0.8886686,1,True
0.83516073,0.896695,0.8732138,0.81115025,0.8690178,0.8435308,0.8706174,0.861747,0.8946983,0.8632973,0.9093604,0.87988317,0.82690597,0.89557,0.8616056,1,True
0.8676262,0.88422775,0.87078893,0.88249505,0.8826567,0.8915287,0.8909594,0.8826567,0.87924707,0.8960995,0.87970924,0.88306177,0.8850888,0.88794017,0.8868674,1,True
0.83900297,0.855857,0.8592552,0.8399299,0.8277765,0.83102316,0.8513287,0.85302734,0.81707704,0.8210463,0.8662918,0.8637421,0.84470814,0.84724814,0.8403441,1,True
0.91303563,0.8999383,0.88811773,0.8782791,0.8857704,0.88709474,0.88742405,0.86330926,0.8984086,0.883131,0.89511263,0.88928604,0.87393224,0.90102905,0.88629425,1,True
0.78725725,0.878199,0.86699265,0.8312145,0.82302725,0.7981834,0.7919091,0.8290461,0.84359276,0.8022554,0.8996466,0.8629882,0.83243275,0.8715741,0.8370684,1,True
0.88653797,0.88527155,0.896261,0.87852657,0.8852674,0.87928605,0.8884994,0.8792937,0.90033007,0.9093566,0.89098334,0.9077591,0.87288004,0.59241855,0.89944935,1,True
0.7481912,0.7751662,0.82830465,0.793774,0.76186657,0.7656018,0.76331174,0.8099195,0.834938,0.813969,0.78104484,0.819606,0.8199349,0.7961174,0.8346069,1,True
0.8507314,0.87515026,0.9086037,0.82801825,0.8796143,0.8633646,0.8833965,0.879855,0.89810497,0.8663037,0.880581,0.9190693,0.82744837,0.59241855,0.8890423,1,True
0.84686893,0.8586783,0.8749944,0.84526277,0.85918045,0.8620567,0.8624333,0.87928,0.86230004,0.8650197,0.859239,0.87858224,0.8579675,0.88646615,0.8809507,1,True
0.9112349,0.9128957,0.9323802,0.8827239,0.91421753,0.9057157,0.9011198,0.90852976,0.9066148,0.9088164,0.91713315,0.9184759,0.880823,0.92032623,0.90008837,1,True
0.85836184,0.90075123,0.87757725,0.8601849,0.8965082,0.86724603,0.8974053,0.9188434,0.9215771,0.88204354,0.8877791,0.88393694,0.8613905,0.59241855,0.9024651,1,True
0.85985625,0.9230546,0.8956258,0.8675778,0.8602365,0.8370129,0.8622654,0.84333265,0.8844759,0.85753953,0.9236541,0.89360905,0.8665678,0.9007919,0.88257104,1,True
0.9220105,0.9155545,0.909355,0.90462554,0.9337859,0.90815413,0.9227629,0.9121895,0.9056022,0.9045383,0.9233154,0.90281296,0.9019669,0.898327,0.9043394,1,True
0.844704,0.8614782,0.8611566,0.8668833,0.8745449,0.89000225,0.8409813,0.87415177,0.8719559,0.88462,0.8661339,0.87981063,0.87239254,0.85954666,0.87962186,1,True
0.80377996,0.8886812,0.8531155,0.8634269,0.83546233,0.82098883,0.855222,0.90559876,0.8601682,0.81425685,0.8836538,0.8894425,0.85535467,0.9002908,0.8886144,1,True
0.79852843,0.8374256,0.82653105,0.82382065,0.86422276,0.8523259,0.7948064,0.84775865,0.78367937,0.85439754,0.83953065,0.8360103,0.82768863,0.8374555,0.88692254,1,True
0.8822423,0.89255375,0.9046393,0.8407769,0.8929575,0.8356992,0.8597938,0.88646924,0.87575245,0.8581959,0.8847379,0.9022324,0.84686184,0.87714154,0.8574198,1,True
0.87257147,0.9010836,0.89658755,0.8814679,0.8905087,0.90582645,0.90989697,0.888513,0.89673245,0.9011952,0.9041488,0.91125196,0.8811952,0.90640247,0.89394826,1,True
0.81270885,0.83780587,0.8061222,0.83764255,0.8955703,0.86449933,0.8275229,0.8851691,0.83418417,0.8596402,0.8576894,0.86576414,0.80350035,0.8780464,0.8281348,1,True
0.8843533,0.89726216,0.8710871,0.85037005,0.879161,0.87571126,0.8861197,0.88946646,0.87702966,0.8879299,0.90722287,0.8650475,0.8520056,0.88020504,0.8857532,1,True
0.8673828,0.88082427,0.8715157,0.8153902,0.85089993,0.8668162,0.854935,0.8433817,0.8519888,0.8598908,0.8776448,0.86159456,0.803365,0.8636507,0.8546989,1,True
0.8410065,0.86311245,0.8539848,0.8362217,0.84656024,0.85022366,0.83473265,0.83743495,0.8466098,0.8432238,0.8617807,0.85826594,0.8264453,0.84710014,0.889126,1,True
0.7914114,0.80736434,0.8166777,0.7982908,0.8435358,0.84295046,0.87256837,0.8531025,0.88579637,0.8694651,0.8428471,0.8559272,0.79476666,0.8450972,0.87115943,1,True
0.8463256,0.8638773,0.8749472,0.8274137,0.86363745,0.84617674,0.8497426,0.8571395,0.842654,0.8500914,0.8922118,0.8899648,0.82448083,0.59241855,0.8875791,1,True
0.80502856,0.8196612,0.8174616,0.7767104,0.8322754,0.812637,0.85090387,0.81673086,0.8476079,0.8326305,0.8364695,0.8398235,0.78935456,0.864812,0.8538624,1,True
0.83885753,0.8887867,0.91067624,0.8678542,0.8769345,0.8677149,0.89346933,0.882912,0.88913476,0.8853091,0.91843426,0.8991176,0.8733521,0.89769197,0.90390205,1,True
0.8858664,0.89833736,0.8901062,0.8983366,0.8555936,0.881597,0.86776775,0.85114604,0.90020573,0.88201743,0.88792706,0.90013295,0.88922024,0.89118886,0.8855398,1,True
0.801724,0.86779886,0.86228746,0.8575452,0.8255248,0.8122499,0.8168682,0.82325095,0.8239311,0.8430995,0.8825561,0.84749943,0.8546606,0.871311,0.8475809,1,True
0.9223221,0.90207785,0.8861861,0.8684514,0.9107241,0.9033731,0.915136,0.9123509,0.90596896,0.89776945,0.8962697,0.8885332,0.8740765,0.59241855,0.8835262,1,True
0.80286705,0.8058618,0.8654172,0.7961228,0.88999397,0.89040506,0.8544297,0.8900809,0.9003547,0.90145034,0.85788816,0.88914406,0.8088718,0.794376,0.8474629,1,True
0.8273554,0.93274486,0.8775858,0.87617874,0.8856442,0.86960477,0.8892822,0.9008992,0.8933444,0.879647,0.93077683,0.9196851,0.8740011,0.59241855,0.91076165,1,True
0.7674954,0.8822714,0.8654003,0.8062146,0.8174566,0.86396843,0.83029425,0.8275577,0.8463706,0.8805437,0.8957906,0.87714714,0.80753607,0.8815279,0.8295438,1,True
0.929392,0.92206967,0.92890847,0.9152365,0.9221211,0.9100997,0.9266888,0.9162581,0.90658844,0.91406906,0.91565406,0.9269275,0.927254,0.59241855,0.90158665,1,True
0.8475109,0.8785129,0.8495544,0.8320211,0.8764193,0.8632927,0.8390109,0.8586531,0.83751273,0.8618815,0.9007192,0.8859098,0.8385179,0.91054136,0.8802482,1,True
0.862515,0.86355937,0.88185513,0.8659899,0.85291445,0.8345438,0.84193164,0.85630995,0.8954489,0.8816557,0.85949713,0.9129021,0.8546788,0.85793936,0.86522365,1,True
0.91122085,0.88813466,0.89697295,0.8936267,0.91207814,0.8929126,0.88819665,0.8905826,0.8840194,0.89014757,0.88340116,0.88121474,0.889216,0.89906514,0.896519,1,True
0.8289554,0.8940781,0.90233827,0.8617052,0.88603187,0.90879613,0.8970008,0.8931741,0.90178907,0.8997974,0.88873756,0.9036855,0.86509526,0.8987698,0.89649624,1,True
0.8665456,0.88247025,0.91080546,0.8675488,0.9101298,0.87525386,0.9119531,0.9085713,0.9108126,0.89645326,0.8917606,0.9180709,0.87827253,0.8921971,0.9086386,1,True
0.86430824,0.9045129,0.8762492,0.8214673,0.8869932,0.89464414,0.8876183,0.8970212,0.8682613,0.8702398,0.9014947,0.9167162,0.83202446,0.91504335,0.89663845,1,True
0.8461517,0.82352704,0.90748066,0.8330717,0.8906354,0.8249304,0.8458078,0.88536906,0.8610958,0.8549663,0.83669126,0.9067563,0.8313557,0.85172874,0.877831,1,True
0.8514757,0.864631,0.8709967,0.8599822,0.85485864,0.86150974,0.8859176,0.8764732,0.88951385,0.85837805,0.884673,0.89344704,0.85103476,0.90114045,0.90101194,1,True
0.8167087,0.8561044,0.8678747,0.8613866,0.8952261,0.87245053,0.86362267,0.90654755,0.8964988,0.88346905,0.87014854,0.8585094,0.85399806,0.8842867,0.8848443,1,True
0.9081762,0.89218295,0.9008632,0.87042326,0.89935356,0.8403262,0.863488,0.86372524,0.86602485,0.8711203,0.8889955,0.8871776,0.87786835,0.88579077,0.8927539,1,True
0.8134059,0.8503251,0.82364666,0.84891474,0.8003571,0.79368293,0.8074746,0.8107244,0.80247504,0.8109506,0.85022086,0.8539268,0.8487613,0.8602125,0.8649402,1,True
0.840127,0.88771063,0.8858057,0.84183836,0.8857437,0.8845571,0.8288429,0.89959973,0.882861,0.87383854,0.92588454,0.9002615,0.836359,0.89317083,0.9032067,1,True
0.80307764,0.8332585,0.8563041,0.82741976,0.84257674,0.8363365,0.85929,0.8317517,0.843149,0.88319695,0.84920466,0.8805766,0.8360577,0.5924186,0.8668012,1,True
0.85905707,0.90947413,0.9193864,0.89726895,0.87824893,0.91333836,0.9094651,0.87443197,0.8715633,0.9076727,0.92579675,0.9182639,0.9029261,0.9289857,0.91678596,1,True
0.8906783,0.8763462,0.8981418,0.8824812,0.90612286,0.8804495,0.89605075,0.9067777,0.8785468,0.88309896,0.9019353,0.91868675,0.8671731,0.9022559,0.90221536,1,True
0.7999923,0.84099317,0.845237,0.79563135,0.8195155,0.845747,0.8035655,0.82326573,0.81070256,0.85325706,0.8551534,0.85879993,0.7929582,0.8751776,0.8469887,1,True
0.86125696,0.91558576,0.9284184,0.89129627,0.8519364,0.86223435,0.9100901,0.8964757,0.9200597,0.8981304,0.91494966,0.9274183,0.89317334,0.9190439,0.92568725,1,True
0.8433418,0.897155,0.8818505,0.8572914,0.9136208,0.86600053,0.8999939,0.9223003,0.8894028,0.85814637,0.9108378,0.924243,0.8621025,0.8831998,0.87332517,1,True
0.8477992,0.82780856,0.8465066,0.8275361,0.8496743,0.82167876,0.8369508,0.83975756,0.8475941,0.82292336,0.8404024,0.829447,0.8275361,0.84737825,0.8323862,1,True
0.9018886,0.9166262,0.91311115,0.87372905,0.8983481,0.88287264,0.9106563,0.8817413,0.9210005,0.8939106,0.9199541,0.9000416,0.88883376,0.90808344,0.8635548,1,True
0.7689758,0.84664154,0.77926743,0.7788907,0.84823877,0.82080305,0.80599403,0.8620912,0.8385732,0.830153,0.8536123,0.80117273,0.77599305,0.8369975,0.79349655,1,True
0.8436817,0.8972211,0.90164036,0.82664514,0.8534368,0.83637834,0.8518899,0.87145865,0.86501133,0.8504592,0.90743506,0.90348744,0.8358003,0.89628166,0.8784524,1,True
0.9311049,0.9109315,0.9264455,0.895437,0.9286946,0.90256226,0.9186204,0.92116904,0.9206161,0.8990529,0.9153348,0.904345,0.89372414,0.9146418,0.917962,1,True
0.9066463,0.90941465,0.90491045,0.89886296,0.9026438,0.89579153,0.8893573,0.90417236,0.88893116,0.8958202,0.9049723,0.89957726,0.89886296,0.9033149,0.9102028,1,True
0.83629394,0.82546407,0.8597194,0.8992783,0.78676015,0.8139905,0.8041592,0.8448125,0.8363666,0.8622124,0.8779012,0.86848724,0.886836,0.86699945,0.89892244,1,True
0.8030467,0.7993016,0.81689656,0.7945535,0.8078372,0.8187217,0.84369814,0.8840595,0.84411585,0.83580595,0.82611287,0.86395884,0.8100584,0.79762226,0.8407536,1,True
0.8754021,0.8810032,0.8889473,0.83730394,0.9053827,0.8832066,0.88610566,0.905444,0.8937721,0.8934274,0.87759405,0.8812494,0.85443157,0.90553015,0.8969948,1,True
0.8613397,0.8913098,0.8929355,0.8624136,0.86453074,0.86268455,0.8895952,0.8902594,0.8869096,0.85485107,0.9145049,0.8977646,0.85339814,0.8748737,0.9034563,1,True
0.7701442,0.7446313,0.7364148,0.7823441,0.70030344,0.738498,0.778982,0.7394865,0.7192261,0.7499367,0.74490535,0.7233805,0.7781565,0.75049496,0.82572323,1,True
0.8916458,0.9215516,0.9053757,0.8439578,0.8987505,0.9031957,0.8985516,0.89227974,0.8899253,0.913015,0.92758274,0.9143756,0.84385115,0.90249574,0.863878,1,True
0.7140521,0.6903267,0.6826726,0.76591456,0.70379215,0.7852222,0.74835956,0.77034664,0.83263505,0.8268909,0.6903267,0.68127155,0.76409334,0.59241855,0.7474621,1,True
0.88474995,0.92047733,0.9237076,0.9159539,0.89640224,0.92572844,0.9144591,0.90515995,0.9074767,0.92722505,0.9218549,0.9286834,0.9123274,0.88206875,0.8978294,1,True
0.8253988,0.88043666,0.89361715,0.90619916,0.84827846,0.8573662,0.87937665,0.87010777,0.8895256,0.87733483,0.8811647,0.88366276,0.89846265,0.89127237,0.8951196,1,True
0.8797651,0.89483166,0.92437094,0.850435,0.8920193,0.9014073,0.8916739,0.9051503,0.89346254,0.9169804,0.9059389,0.92285794,0.86224055,0.91734576,0.90083385,1,True
0.84668446,0.8949956,0.85663635,0.8249935,0.8843275,0.84105164,0.8385004,0.890663,0.88279784,0.8591125,0.90450823,0.888131,0.843577,0.9032513,0.89876044,1,True
0.85434824,0.8848356,0.8959445,0.84110326,0.8761163,0.8339084,0.87822336,0.88034475,0.89139396,0.8686358,0.90236884,0.9128479,0.8353276,0.89420503,0.8793408,1,True
0.8844228,0.89011824,0.8947694,0.86395335,0.90136266,0.85371685,0.8907931,0.8702389,0.8983008,0.85096115,0.8800234,0.889751,0.86556125,0.8902006,0.9067052,1,True
0.8720887,0.89311594,0.876515,0.8485886,0.8761748,0.88783264,0.89871156,0.87637615,0.8993323,0.914253,0.8973832,0.89570224,0.8476507,0.90036917,0.8731654,1,True
0.8240388,0.84551567,0.8793865,0.85143745,0.8777791,0.87142175,0.8716124,0.8717159,0.86659014,0.86091477,0.8533167,0.885398,0.83148277,0.8623886,0.8910315,1,True
0.8759593,0.90989363,0.90203315,0.8914836,0.90364075,0.8816974,0.8858711,0.8900471,0.8833993,0.91969347,0.9052185,0.9098889,0.8837706,0.91204464,0.8945471,1,True
0.80640197,0.87332666,0.87300587,0.8821312,0.8170554,0.82186186,0.8904296,0.88321054,0.87647223,0.83671796,0.8720833,0.8915259,0.8930853,0.81907004,0.8923522,1,True
0.7735916,0.79990697,0.8012103,0.8254918,0.77532774,0.7660454,0.7642743,0.7924976,0.78497374,0.80603236,0.83356285,0.8322746,0.8443233,0.8512073,0.8742546,1,True
0.8166344,0.81677747,0.792127,0.80526,0.7662204,0.75452787,0.7612644,0.7945422,0.80811554,0.8153373,0.8440058,0.8526779,0.8147327,0.8394188,0.8987971,1,True
0.6908432,0.7522863,0.78547037,0.71134746,0.6769103,0.69469315,0.7217274,0.67852706,0.7277019,0.7664935,0.76528215,0.8134606,0.7105918,0.7959908,0.7960719,1,True
0.8293048,0.86320853,0.86214066,0.8793813,0.8548696,0.8274784,0.82122797,0.8437356,0.8287296,0.8730988,0.87885845,0.8950015,0.8788921,0.59241855,0.8568634,1,True
0.9034249,0.88887143,0.89139384,0.8720388,0.8922226,0.8473241,0.8885956,0.90414566,0.9042903,0.84699523,0.89755833,0.9072336,0.8852036,0.8848889,0.8565682,1,True
0.80622953,0.90640855,0.9071883,0.88839155,0.87214667,0.8980906,0.9212712,0.8753464,0.9131253,0.88851106,0.9071735,0.91127044,0.8985162,0.91118133,0.91045254,1,True
0.832114,0.8986418,0.89330876,0.83246654,0.81756127,0.8383435,0.8115491,0.83525294,0.8325608,0.86486626,0.912581,0.8967446,0.85041296,0.59241855,0.89505064,1,True
0.8598099,0.9011483,0.8971181,0.89493,0.8574955,0.8560624,0.88447416,0.8692372,0.89614385,0.87873715,0.8841209,0.90071964,0.8938802,0.9037535,0.89422786,1,True
0.8460016,0.83717364,0.8385641,0.8101536,0.8545691,0.81334835,0.8177797,0.86409783,0.850731,0.861026,0.8545756,0.8749901,0.799389,0.59241855,0.80732983,1,True
0.8781574,0.89177895,0.86439127,0.86745155,0.87170905,0.895304,0.89798176,0.8721386,0.8750137,0.89187455,0.88567877,0.88161516,0.8623532,0.9090724,0.9064088,1,True
0.7924813,0.88544154,0.86507374,0.8463969,0.8515332,0.8600247,0.808555,0.852288,0.8187918,0.8758401,0.8932089,0.9007561,0.83809614,0.9083316,0.88460755,1,True
0.79632133,0.8862634,0.872191,0.8510494,0.878513,0.8819121,0.8709285,0.87872607,0.8748256,0.89386225,0.88520825,0.90506226,0.8424914,0.89824617,0.89425,1,True
0.84728724,0.59241855,0.9069563,0.8711603,0.848679,0.83560514,0.88234866,0.87670076,0.8651029,0.89420766,0.72350496,0.9052295,0.86593497,0.5734477,0.8945765,1,True
0.82393575,0.8967558,0.8829153,0.8609875,0.89858115,0.8447379,0.8479299,0.8734023,0.8523271,0.84468555,0.8808088,0.916414,0.8596251,0.8939229,0.87139636,1,True
0.7465103,0.85098934,0.86452645,0.8168327,0.8017186,0.808776,0.80409276,0.8488566,0.85496175,0.8203826,0.8688654,0.8770689,0.8270893,0.88181704,0.82841945,1,True
0.8760281,0.90996045,0.9010189,0.8937626,0.9127609,0.8797762,0.91477346,0.91531336,0.9215276,0.88149655,0.9092275,0.9108961,0.901482,0.91302496,0.89906716,1,True
0.8099183,0.8784518,0.8649606,0.8761639,0.87252116,0.8937484,0.90419436,0.876674,0.88251334,0.88448346,0.8883506,0.87112844,0.8359965,0.9064615,0.8773129,1,True
0.828095,0.8851455,0.86084527,0.82700026,0.87578875,0.8564047,0.85714614,0.8685726,0.84760034,0.8597789,0.8758485,0.87661356,0.82368433,0.90067786,0.8702839,1,True
0.7660269,0.8687048,0.84677875,0.85919863,0.8528509,0.82745546,0.7911086,0.85735595,0.7892082,0.85589916,0.87224185,0.85918176,0.8677339,0.87543374,0.9072999,1,True
0.85620767,0.88709944,0.8794116,0.87212604,0.86533594,0.85414565,0.85226184,0.89592016,0.8413249,0.8603117,0.6342136,0.8967219,0.8680805,0.8424841,0.9036399,1,True
0.87048084,0.8832178,0.87038434,0.85506374,0.8499006,0.83605045,0.81914055,0.8586314,0.84710926,0.84098285,0.8785391,0.8666402,0.8661084,0.885226,0.8850387,1,True
0.8723707,0.8789574,0.8663685,0.8272325,0.9001867,0.88071287,0.88694584,0.90400946,0.8985515,0.89794,0.8958523,0.8917196,0.81821895,0.59241855,0.86569023,1,True
0.9292579,0.9383186,0.92212164,0.9189317,0.92767954,0.88895404,0.89465183,0.9219916,0.91028965,0.9065155,0.925201,0.9146821,0.9154235,0.59241855,0.9305462,1,True
0.8896793,0.9204547,0.89852786,0.8493398,0.83761466,0.8564943,0.8495288,0.84439534,0.859023,0.8932495,0.92610246,0.8927597,0.86206234,0.92031014,0.8734311,1,False
0.8937221,0.9108257,0.90267795,0.87368965,0.91062117,0.89265734,0.9072337,0.9190495,0.9051309,0.9094386,0.8982065,0.89792097,0.879838,0.9164298,0.9046719,1,False
0.887348,0.88292485,0.9062556,0.89972496,0.90504843,0.91941226,0.91647744,0.9103976,0.9141642,0.91286796,0.8873565,0.92166793,0.8801662,0.59241855,0.8742264,1,False
0.8594584,0.8649404,0.88676965,0.86812353,0.87200415,0.86012256,0.89715946,0.91102576,0.88567644,0.86134005,0.8821167,0.8821297,0.8855595,0.8903232,0.90839624,1,False
0.8376014,0.91089076,0.8932655,0.8540712,0.89884716,0.8973422,0.8848353,0.90494967,0.88176227,0.893484,0.9125674,0.8971569,0.86594266,0.92330366,0.88455164,1,False
0.9013842,0.9014331,0.9109016,0.91250455,0.9082488,0.9177703,0.9017641,0.9134723,0.9141339,0.91165745,0.89869857,0.9065728,0.90878755,0.8951512,0.897659,1,False
0.85349405,0.89854443,0.89239913,0.91878366,0.9287081,0.900835,0.8774855,0.9104725,0.88854855,0.8990114,0.91854155,0.9074148,0.91925895,0.90944993,0.9078822,1,False
0.83129734,0.89101416,0.8749105,0.822142,0.89352536,0.88310874,0.90836143,0.891553,0.89808625,0.90149343,0.8945921,0.8847401,0.82975465,0.9105699,0.90334094,1,False
0.90049183,0.8922738,0.8898277,0.88865,0.8992042,0.84903955,0.8947323,0.8897988,0.8944356,0.8659207,0.9126091,0.9059357,0.8940525,0.9045261,0.9192415,1,False
