,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_google_ux_Score
32072,0.73661476,0.86830735,0.6733073,0.83665365,0.66565895,0.8328295,0.64566666,0.8228333,0.69243634,0.84621817,0.79472744,0.8973637,0.68785775,0.8439289,0.78643185,0.8932159,0.71132654,0.8556633,0.7435862,0.8717931
46443,0.7696251,0.8848126,0.7515806,0.8757903,0.72285473,0.86142737,0.6858047,0.84290236,0.7983221,0.89916104,0.84437144,0.9221857,0.7419483,0.8709742,0.8612814,0.9306407,0.78880906,0.89440453,0.8400117,0.92000586
46506,0.47223204,0.73611605,0.5214957,0.76074785,0.45375752,0.72687876,0.4608853,0.73044264,0.5173421,0.75867105,0.5815301,0.79076505,0.53754383,0.7687719,0.61313605,0.806568,0.6643859,0.83219296,0.6289824,0.8144912
50300,0.73971677,0.8698584,0.693916,0.84695804,0.70395315,0.8519766,0.6306306,0.8153153,0.79359055,0.8967953,0.8508013,0.9254006,0.7556474,0.8778237,0.8251473,0.91257364,0.799565,0.89978254,0.8422122,0.9211061
51419,0.67911386,0.83955693,0.6634033,0.83170164,0.6110344,0.8055172,0.6158087,0.80790436,0.69399405,0.846997,0.7878892,0.8939446,0.7491518,0.8745759,0.79556125,0.89778066,0.754816,0.877408,0.8130015,0.90650076
53971,0.63997406,0.81998706,0.6127037,0.80635184,0.54053974,0.7702699,0.56750834,0.78375417,0.6798984,0.8399492,0.733798,0.866899,0.73342943,0.8667147,0.73519915,0.8675996,0.74515325,0.8725766,0.74230784,0.87115395
53972,0.604252,0.802126,0.6329614,0.8164807,0.53025216,0.7651261,0.581592,0.79079604,0.61455035,0.8072752,0.68524396,0.842622,0.6850143,0.8425071,0.7061469,0.8530735,0.70832175,0.8541609,0.70330274,0.8516514
53973,0.7299813,0.86499065,0.6771822,0.8385911,0.63618064,0.8180903,0.6810141,0.84050703,0.72285867,0.86142933,0.80870026,0.90435016,0.7572966,0.8786483,0.8015355,0.90076774,0.80734944,0.9036747,0.8295666,0.9147833
53974,0.6206393,0.81031966,0.5867524,0.7933762,0.5375161,0.76875806,0.5805968,0.7902984,0.64736617,0.8236831,0.74917746,0.8745887,0.7249383,0.86246914,0.6965474,0.8482737,0.73579586,0.8678979,0.77165806,0.88582903
53975,0.62642294,0.81321144,0.552554,0.776277,0.5621176,0.7810588,0.54487014,0.77243507,0.6294697,0.8147348,0.75290316,0.8764516,0.644003,0.82200146,0.65252495,0.8262625,0.7086208,0.8543104,0.7078848,0.8539424
53976,0.5241906,0.76209533,0.51617247,0.7580862,0.4672494,0.7336247,0.4834712,0.7417356,0.551224,0.775612,0.6349844,0.8174922,0.64687145,0.8234357,0.5931313,0.79656565,0.6639316,0.8319658,0.65956163,0.8297808
53977,0.7447744,0.8723872,0.65314925,0.8265746,0.60874885,0.80437446,0.6081183,0.80405915,0.7200102,0.86000514,0.8166808,0.9083404,0.7506652,0.8753326,0.76965976,0.8848299,0.75744927,0.87872463,0.79076004,0.89538
53978,0.68090594,0.84045297,0.63013065,0.8150653,0.5882937,0.79414684,0.58103514,0.79051757,0.72019374,0.8600969,0.79559314,0.8977966,0.6982442,0.8491221,0.73568785,0.8678439,0.73423445,0.8671172,0.7602042,0.8801021
53979,0.74911475,0.8745574,0.70505893,0.85252947,0.6434324,0.8217162,0.63879776,0.8193989,0.7735408,0.88677037,0.8636687,0.93183434,0.76663357,0.88331676,0.81595683,0.9079784,0.76248384,0.8812419,0.8033473,0.9016737
53981,0.6287217,0.81436086,0.6523323,0.82616615,0.53159624,0.7657981,0.6116678,0.80583394,0.6756441,0.8378221,0.709928,0.854964,0.73592424,0.8679621,0.71894026,0.8594701,0.71688694,0.8584435,0.7325961,0.8662981
54796,0.602659,0.8013295,0.58969915,0.7948496,0.47293866,0.7364693,0.55733633,0.77866817,0.5471964,0.7735982,0.6055406,0.80277026,0.59010017,0.7950501,0.65935636,0.8296782,0.61646986,0.80823493,0.6143662,0.8071831
54797,0.7071075,0.8535538,0.6930287,0.84651434,0.6724211,0.83621055,0.6069375,0.80346876,0.72850966,0.86425483,0.83528864,0.9176443,0.72259384,0.8612969,0.8036487,0.90182436,0.75351214,0.8767561,0.7965052,0.8982526
54798,0.63102424,0.8155121,0.6551498,0.8275749,0.5669596,0.7834798,0.61715585,0.8085779,0.654896,0.827448,0.7002739,0.85013694,0.6595626,0.8297813,0.7095533,0.8547766,0.75078744,0.87539375,0.7053541,0.85267705
54799,0.5207342,0.7603671,0.5653674,0.78268373,0.4446948,0.7223474,0.5116483,0.75582415,0.5555068,0.7777534,0.6328858,0.8164429,0.64068484,0.8203424,0.63666356,0.8183318,0.7090489,0.8545245,0.7142657,0.85713285
54800,0.66373074,0.8318654,0.67831945,0.8391597,0.58287144,0.7914357,0.588526,0.794263,0.64864844,0.82432425,0.6807064,0.8403532,0.6847131,0.84235656,0.746289,0.8731445,0.71251833,0.85625917,0.68377304,0.8418865
56453,0.6399226,0.8199613,0.6596402,0.8298201,0.580089,0.7900445,0.60387605,0.80193806,0.69034564,0.8451728,0.7066982,0.8533491,0.79035103,0.8951755,0.7039012,0.8519506,0.7719133,0.88595665,0.76751256,0.8837563
56528,0.5665249,0.7832625,0.5285195,0.76425976,0.46347606,0.73173803,0.5391394,0.7695697,0.576844,0.788422,0.65160966,0.8258048,0.6419729,0.82098645,0.6156528,0.8078264,0.6632582,0.8316291,0.64134014,0.82067007
56542,0.6932399,0.84661996,0.6865977,0.84329885,0.6100431,0.8050215,0.63865185,0.8193259,0.7161968,0.8580984,0.79978096,0.8998905,0.75941586,0.87970793,0.79802424,0.8990121,0.77807796,0.889039,0.8123237,0.90616184
56543,0.57565475,0.7878274,0.56349504,0.7817475,0.4916194,0.7458097,0.49797636,0.74898815,0.5932739,0.79663694,0.62184435,0.81092215,0.6592653,0.82963264,0.63118994,0.815595,0.6477086,0.8238543,0.6317852,0.8158926
56544,0.66635686,0.8331784,0.6646298,0.8323149,0.5927514,0.7963757,0.6358163,0.81790817,0.6946857,0.84734285,0.7684019,0.88420093,0.7489337,0.87446684,0.75313467,0.87656736,0.76889247,0.88444626,0.81095123,0.9054756
56545,0.5116564,0.7558282,0.54737,0.773685,0.41806054,0.7090303,0.47153604,0.735768,0.47867733,0.73933864,0.4990403,0.7495202,0.5316958,0.7658479,0.5977901,0.79889506,0.5565445,0.7782723,0.52297616,0.7614881
56618,0.6296186,0.8148093,0.6782273,0.83911365,0.5600271,0.78001356,0.6177298,0.8088649,0.664428,0.832214,0.70636797,0.853184,0.71986544,0.8599327,0.77325606,0.88662803,0.75922763,0.8796138,0.7516122,0.8758061
56619,0.58802164,0.7940108,0.59380865,0.7969043,0.5004407,0.75022036,0.55053186,0.77526593,0.60349244,0.80174625,0.69114995,0.845575,0.67826974,0.8391349,0.6552808,0.8276404,0.6979729,0.84898645,0.7176242,0.8588121
56629,0.69807625,0.8490381,0.6307907,0.81539536,0.5822829,0.79114145,0.6201886,0.8100943,0.6680949,0.83404744,0.8051281,0.90256405,0.70686316,0.8534316,0.7903303,0.89516515,0.7233056,0.8616528,0.7999655,0.89998275
56630,0.65764093,0.82882047,0.6493442,0.8246721,0.543039,0.77151954,0.59942776,0.79971385,0.63787895,0.81893945,0.7196356,0.8598178,0.6990975,0.84954876,0.7350254,0.8675127,0.7555693,0.8777846,0.7515857,0.87579286
56631,0.5956145,0.7978072,0.6157521,0.80787605,0.52500904,0.7625045,0.5852194,0.7926097,0.6302754,0.81513774,0.6623811,0.8311906,0.6509582,0.8254791,0.6871512,0.8435756,0.72699594,0.863498,0.74354434,0.87177217
56632,0.74184996,0.87092495,0.6977246,0.8488623,0.63450176,0.81725085,0.66171193,0.83085597,0.7321573,0.8660786,0.83357286,0.91678643,0.7805534,0.8902767,0.8116014,0.9058007,0.7830669,0.8915335,0.841236,0.920618
56633,0.69225645,0.8461282,0.6772338,0.8386169,0.5894456,0.7947228,0.63315743,0.81657875,0.6968509,0.84842545,0.6904397,0.84521985,0.75266135,0.8763307,0.7131053,0.85655266,0.6822966,0.84114826,0.71487534,0.8574377
56634,0.5285896,0.7642948,0.5112126,0.7556063,0.46962196,0.73481095,0.49951664,0.7497583,0.5588799,0.7794399,0.6368878,0.8184439,0.6099676,0.8049838,0.6506058,0.8253029,0.6747385,0.83736926,0.6759803,0.83799016
56635,0.50007683,0.7500384,0.5582924,0.7791462,0.45397392,0.72698694,0.46846968,0.7342348,0.5227932,0.7613966,0.61111116,0.8055556,0.5975255,0.79876274,0.61784613,0.80892307,0.59721637,0.7986082,0.6281313,0.81406564
56637,0.64393765,0.8219688,0.62518656,0.8125933,0.55670464,0.7783523,0.6306708,0.8153354,0.6682658,0.8341329,0.7330555,0.86652774,0.7118676,0.8559338,0.7458486,0.8729243,0.72294295,0.8614715,0.74441195,0.872206
56638,0.70401037,0.8520052,0.6874634,0.8437317,0.62352335,0.8117617,0.60085535,0.8004277,0.7347069,0.86735344,0.79904294,0.89952147,0.7833612,0.8916806,0.7755674,0.8877837,0.75247097,0.8762355,0.79681146,0.89840573
56639,0.5617505,0.7808752,0.5812555,0.7906277,0.5168153,0.75840765,0.53103787,0.7655189,0.6432377,0.82161885,0.69603467,0.84801733,0.73628867,0.86814433,0.71341527,0.85670763,0.71125376,0.8556269,0.7297881,0.86489403
56641,0.6492322,0.8246161,0.60875726,0.8043786,0.55194974,0.77597487,0.58703446,0.79351723,0.6711787,0.83558935,0.7615983,0.8807992,0.74645126,0.8732256,0.7107549,0.85537744,0.72595316,0.86297655,0.78583765,0.8929188
56642,0.62400043,0.8120002,0.60495245,0.8024762,0.54454637,0.7722732,0.5361676,0.7680838,0.6345219,0.817261,0.7127299,0.85636497,0.7275474,0.8637737,0.6763284,0.8381642,0.72571933,0.86285967,0.7298976,0.8649488
56643,0.7242695,0.86213475,0.6852524,0.8426262,0.657748,0.828874,0.65661645,0.8283082,0.67984116,0.8399206,0.7175026,0.8587513,0.61201525,0.8060076,0.7476829,0.87384146,0.71122646,0.85561323,0.67989373,0.83994687
56644,0.59924996,0.799625,0.5698453,0.78492266,0.50478035,0.75239015,0.536633,0.7683165,0.6021738,0.8010869,0.674196,0.837098,0.68779755,0.8438988,0.6768602,0.8384301,0.66806626,0.83403313,0.6837343,0.84186715
56645,0.6343192,0.8171596,0.63705146,0.81852573,0.5634426,0.7817213,0.6314523,0.81572616,0.6314601,0.81573004,0.68861896,0.84430945,0.6628021,0.83140105,0.75190926,0.8759546,0.696741,0.8483705,0.71019876,0.8550994
56646,0.52613,0.763065,0.5308413,0.7654207,0.43139863,0.7156993,0.5403055,0.77015275,0.51865417,0.75932705,0.584853,0.79242647,0.5797672,0.7898836,0.5776947,0.7888473,0.6352718,0.8176359,0.6205986,0.8102993
56647,0.6700094,0.8350047,0.707867,0.8539335,0.6090141,0.804507,0.6504109,0.82520545,0.7052217,0.8526108,0.73809993,0.86904997,0.7478036,0.87390184,0.7439871,0.87199354,0.7470455,0.87352276,0.75983846,0.87991923
56648,0.69373167,0.84686583,0.6685245,0.83426225,0.58289725,0.7914486,0.6576867,0.82884336,0.6972016,0.8486008,0.75018257,0.8750913,0.7290926,0.8645463,0.7626416,0.88132083,0.7576618,0.8788309,0.7567662,0.8783831
56649,0.61483705,0.8074185,0.623948,0.811974,0.5279664,0.7639832,0.5450493,0.77252465,0.60204095,0.8010205,0.6490718,0.8245359,0.57904303,0.7895215,0.63739574,0.81869787,0.6566453,0.82832265,0.63032603,0.815163
56650,0.72142255,0.8607113,0.6769567,0.8384783,0.60316354,0.80158174,0.6214583,0.81072915,0.7508273,0.87541366,0.83298236,0.91649115,0.7951138,0.8975569,0.78407764,0.8920388,0.77282417,0.8864121,0.81265473,0.90632737
56651,0.6242595,0.81212974,0.5773914,0.7886957,0.54777306,0.77388656,0.5268104,0.7634052,0.6874942,0.84374714,0.7837491,0.89187455,0.715286,0.857643,0.7270448,0.8635224,0.7151792,0.8575896,0.7631434,0.8815717
56652,0.67419434,0.83709717,0.701813,0.8509065,0.5752424,0.7876212,0.64887345,0.8244367,0.69738775,0.84869385,0.7258812,0.8629406,0.7137767,0.85688835,0.75976574,0.8798829,0.7658943,0.88294715,0.73056424,0.8652821
56653,0.6153871,0.80769354,0.6031766,0.8015883,0.5414395,0.77071977,0.54034567,0.77017283,0.6136272,0.8068136,0.71026826,0.8551341,0.67853105,0.8392655,0.6994141,0.849707,0.70687866,0.85343933,0.6993973,0.84969866
56654,0.6918179,0.84590894,0.6496915,0.8248458,0.58994687,0.79497343,0.6067406,0.8033703,0.73966587,0.86983293,0.8144731,0.9072366,0.7670425,0.88352126,0.7637842,0.8818921,0.773414,0.886707,0.8107649,0.90538245
56656,0.5989247,0.7994623,0.6058253,0.80291265,0.5418652,0.7709326,0.5528921,0.77644604,0.6247847,0.81239235,0.64683247,0.82341623,0.6550112,0.8275056,0.64224035,0.82112014,0.66279346,0.8313967,0.67122644,0.83561325
56657,0.48894143,0.7444707,0.4506966,0.7253483,0.38099238,0.6904962,0.4260043,0.71300215,0.527355,0.7636775,0.671461,0.8357305,0.6377293,0.81886464,0.561161,0.7805805,0.6102553,0.8051276,0.6786647,0.83933234
56661,0.7021079,0.85105395,0.6718617,0.8359308,0.5726032,0.7863016,0.5938835,0.79694176,0.6902149,0.84510744,0.7983297,0.89916486,0.67948484,0.8397424,0.7472692,0.8736346,0.7310449,0.86552244,0.75857496,0.8792875
56662,0.6765833,0.83829165,0.66353023,0.8317651,0.5565927,0.77829635,0.6499169,0.82495844,0.6517894,0.8258947,0.7587662,0.8793831,0.66737723,0.8336886,0.77668625,0.8883431,0.78375745,0.8918787,0.7776824,0.8888412
56725,0.6525211,0.82626057,0.63392365,0.8169618,0.5855787,0.79278934,0.6130168,0.8065084,0.671314,0.835657,0.73436606,0.867183,0.7526994,0.8763497,0.7265918,0.8632959,0.73182327,0.8659116,0.76271677,0.8813584
56795,0.63186526,0.81593263,0.66363764,0.8318188,0.5902112,0.7951056,0.5929595,0.79647976,0.6750612,0.8375306,0.7462946,0.8731473,0.77754873,0.8887744,0.7671089,0.88355446,0.78680575,0.8934029,0.79810464,0.8990523
56796,0.53351986,0.76675993,0.58456475,0.79228234,0.49034283,0.7451714,0.5198213,0.75991064,0.5951406,0.7975703,0.6079173,0.80395865,0.66685104,0.8334255,0.65577215,0.8278861,0.6284672,0.8142336,0.6300463,0.8150232
56797,0.6855119,0.8427559,0.6870204,0.8435102,0.5723808,0.7861904,0.59419763,0.7970988,0.7099974,0.8549987,0.7025103,0.8512552,0.6738516,0.8369258,0.75424075,0.8771204,0.6967408,0.84837043,0.6848146,0.8424073
56798,0.58012545,0.7900627,0.5980264,0.7990132,0.5390569,0.76952845,0.56472397,0.782362,0.6163776,0.8081888,0.68829954,0.84414977,0.7221777,0.8610889,0.7000346,0.8500173,0.70848083,0.8542404,0.7349361,0.86746806
56799,0.5435468,0.7717734,0.5214695,0.76073474,0.43380547,0.71690273,0.4887305,0.7443652,0.5621873,0.78109366,0.6311656,0.8155828,0.6529906,0.8264953,0.62187564,0.8109378,0.6342206,0.8171103,0.66633403,0.833167
56800,0.59488356,0.7974418,0.56200814,0.7810041,0.50381213,0.75190604,0.56566936,0.78283465,0.5450808,0.7725404,0.58959377,0.7947969,0.5300518,0.7650259,0.61869663,0.80934834,0.5900132,0.79500663,0.5817697,0.79088485
56801,0.67849857,0.83924925,0.6670478,0.83352387,0.5895412,0.7947706,0.6021781,0.80108905,0.70561993,0.85280997,0.8014966,0.9007483,0.72876656,0.8643833,0.77979815,0.8898991,0.7485515,0.87427574,0.76921904,0.8846095
56802,0.57223177,0.7861159,0.5470377,0.77351886,0.51177466,0.7558873,0.53012145,0.7650607,0.5655771,0.7827885,0.6586409,0.82932043,0.6382983,0.81914914,0.64700484,0.8235024,0.69852126,0.8492606,0.64589214,0.8229461
56803,0.7301388,0.8650694,0.7368854,0.8684427,0.70261174,0.85130584,0.66433823,0.8321691,0.7034719,0.85173595,0.78238714,0.89119357,0.7009718,0.8504859,0.8187238,0.9093619,0.74840283,0.8742014,0.77251244,0.8862562
56804,0.7186224,0.8593112,0.7103763,0.85518813,0.6291115,0.81455576,0.6538553,0.82692766,0.74424386,0.87212193,0.8037802,0.9018901,0.73220444,0.8661022,0.84158945,0.9207947,0.77339953,0.8866998,0.7821278,0.8910639
56805,0.62661296,0.81330645,0.6090299,0.80451494,0.5682026,0.7841013,0.60747707,0.80373853,0.5935111,0.79675555,0.66875446,0.8343772,0.61639225,0.8081961,0.69739926,0.8486996,0.71404326,0.85702163,0.69084656,0.8454233
56807,0.6958211,0.8479105,0.6954274,0.8477137,0.6096269,0.80481344,0.63523304,0.8176165,0.7076284,0.85381424,0.73369074,0.86684537,0.7205156,0.8602578,0.7361185,0.8680593,0.7727109,0.88635546,0.7646157,0.8823079
56809,0.70587873,0.85293937,0.71138424,0.85569215,0.62451255,0.8122563,0.68145525,0.8407276,0.705672,0.852836,0.78271955,0.8913598,0.7512243,0.87561214,0.8209287,0.91046435,0.79949343,0.8997467,0.8032704,0.90163517
56859,0.586815,0.7934075,0.54353,0.771765,0.4588765,0.72943825,0.5652508,0.78262544,0.5796532,0.78982663,0.6692561,0.83462805,0.6286465,0.81432325,0.6403239,0.82016194,0.6750947,0.83754736,0.6696771,0.8348385
56860,0.66027796,0.830139,0.63705075,0.8185254,0.58827585,0.79413795,0.70867205,0.854336,0.6722679,0.83613396,0.7895223,0.89476115,0.70475936,0.8523797,0.78989846,0.8949492,0.76331556,0.8816578,0.80175114,0.90087557
56861,0.54108787,0.77054393,0.52871466,0.7643573,0.446114,0.72305703,0.5945424,0.7972712,0.53177667,0.76588833,0.5487031,0.77435154,0.58662266,0.79331136,0.58523464,0.7926173,0.596313,0.7981565,0.5873089,0.79365444
56862,0.6652385,0.83261925,0.6894846,0.8447423,0.56762064,0.7838103,0.6140578,0.8070289,0.6522269,0.82611346,0.69734097,0.8486705,0.6950859,0.84754294,0.7355844,0.8677922,0.7406335,0.87031674,0.7057172,0.8528586
57384,0.72600335,0.8630017,0.6756159,0.83780795,0.6268935,0.81344676,0.63240385,0.8162019,0.7222598,0.8611299,0.8290372,0.9145186,0.74641025,0.8732051,0.8194182,0.9097091,0.73578453,0.86789227,0.8083347,0.90416735
57400,0.7490324,0.8745162,0.6891937,0.84459686,0.62043405,0.810217,0.64863014,0.8243151,0.7352812,0.8676406,0.7915828,0.8957914,0.7285423,0.86427116,0.7897165,0.89485824,0.7242026,0.8621013,0.7723328,0.8861664
62042,0.72347355,0.8617368,0.6520257,0.82601285,0.6484475,0.82422376,0.6257256,0.8128628,0.6660546,0.8330273,0.7115351,0.85576755,0.6381084,0.8190542,0.6703154,0.8351577,0.6732695,0.83663476,0.6722746,0.8361373
63086,0.5053276,0.7526638,0.51821095,0.75910544,0.44242623,0.7212131,0.45883054,0.7294153,0.5446776,0.7723388,0.63781595,0.818908,0.6332189,0.81660944,0.58825576,0.7941279,0.64174026,0.82087016,0.643841,0.8219205
63087,0.71363974,0.85681987,0.6778226,0.8389113,0.5973314,0.7986657,0.68144727,0.84072363,0.73957217,0.8697861,0.767534,0.883767,0.77782863,0.88891435,0.75960183,0.8798009,0.7440729,0.87203646,0.7673646,0.8836823
83710,0.7148664,0.8574332,0.7106359,0.85531795,0.62755036,0.8137752,0.70860004,0.8543,0.73021847,0.8651092,0.7855562,0.8927781,0.7402771,0.8701385,0.8073869,0.90369344,0.76796365,0.8839818,0.8022234,0.9011117
83711,0.46347034,0.73173517,0.55374706,0.7768735,0.4819557,0.7409779,0.47888693,0.7394435,0.41606355,0.7080318,0.40771836,0.7038592,0.4179692,0.7089846,0.5240886,0.7620443,0.5292159,0.7646079,0.43280208,0.71640104
86666,0.648411,0.8242055,0.7141446,0.8570723,0.59154344,0.7957717,0.65663236,0.8283162,0.6753818,0.8376909,0.7409774,0.8704887,0.73866117,0.8693306,0.8171096,0.9085548,0.7814261,0.89071304,0.78348315,0.8917416
87779,0.45704222,0.7285211,0.51958954,0.7597948,0.40270376,0.7013519,0.50731695,0.7536585,0.44926775,0.7246339,0.41703463,0.7085173,0.49708414,0.7485421,0.4752746,0.7376373,0.5057068,0.7528534,0.4758307,0.73791534
97622,0.7313285,0.86566424,0.7017746,0.8508873,0.66157496,0.8307875,0.6195718,0.8097859,0.7388164,0.8694082,0.84529173,0.92264587,0.77529,0.887645,0.8256642,0.91283214,0.79380304,0.8969015,0.83996046,0.9199802
98134,0.6474727,0.8237363,0.62019897,0.8100995,0.59504414,0.79752207,0.5350395,0.7675197,0.65104973,0.82552487,0.72328925,0.8616446,0.69796836,0.8489842,0.71565557,0.8578278,0.69353676,0.8467684,0.7271743,0.86358714
98135,0.66284645,0.8314232,0.63388693,0.81694347,0.61435974,0.80717987,0.60933673,0.80466837,0.6852831,0.8426416,0.8297775,0.91488874,0.7190969,0.85954845,0.8006222,0.9003111,0.7501572,0.87507856,0.7986003,0.89930016
