,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Score
53971,0.6211709,0.81058544,0.59925586,0.7996279,0.53441375,0.7672069,0.57063663,0.7853183,0.6455827,0.82279134,0.69958174,0.8497909,0.68041074,0.8402054,0.71065205,0.85532606,0.7098628,0.8549314,0.7055794,0.8527897
53972,0.643233,0.82161653,0.6400656,0.82003284,0.5643958,0.7821979,0.5948982,0.7974491,0.66779065,0.8338953,0.73416305,0.8670815,0.70028555,0.8501428,0.7270818,0.8635409,0.74856085,0.87428045,0.73758674,0.86879337
53973,0.6338367,0.8169184,0.6005001,0.80025005,0.5705089,0.7852545,0.62638223,0.8131911,0.6537753,0.8268876,0.7450303,0.87251514,0.70408356,0.8520418,0.7432276,0.8716138,0.76426834,0.8821342,0.77959454,0.8897973
53974,0.62217337,0.81108665,0.5727476,0.7863738,0.53080624,0.76540315,0.5648489,0.78242445,0.64689666,0.8234483,0.74941546,0.8747077,0.71475804,0.857379,0.694437,0.8472185,0.72151864,0.8607593,0.7607089,0.88035446
53975,0.61399627,0.80699813,0.5620526,0.7810263,0.5610113,0.78050566,0.55822444,0.7791122,0.618286,0.809143,0.73273754,0.8663688,0.66183805,0.830919,0.67628187,0.83814096,0.72446823,0.8622341,0.7212218,0.8606109
53976,0.5348148,0.7674074,0.51402944,0.75701475,0.47984484,0.7399224,0.496528,0.748264,0.5501479,0.77507395,0.6188624,0.8094312,0.63351,0.816755,0.5934955,0.79674774,0.6482761,0.82413805,0.6360536,0.8180268
53977,0.73345196,0.866726,0.66421103,0.8321055,0.58066744,0.79033375,0.6155064,0.8077532,0.71814585,0.8590729,0.79792374,0.8989619,0.7499212,0.8749606,0.7645067,0.88225335,0.774073,0.8870365,0.79097253,0.89548624
53978,0.7029,0.85144997,0.60598695,0.8029935,0.5836382,0.7918191,0.5630717,0.78153586,0.711727,0.8558635,0.8473196,0.9236598,0.7221101,0.861055,0.7429559,0.87147796,0.73267484,0.8663374,0.8231931,0.91159654
53979,0.7245261,0.8622631,0.69184345,0.84592175,0.6434113,0.82170564,0.6370433,0.8185216,0.7673872,0.8836936,0.8488623,0.92443115,0.76512194,0.88256097,0.81633955,0.90816975,0.7706207,0.88531035,0.7936236,0.89681184
53981,0.6108806,0.8054403,0.603504,0.801752,0.5340328,0.7670164,0.58620006,0.7931,0.6528764,0.8264382,0.7201383,0.86006916,0.7170048,0.8585024,0.7026107,0.85130537,0.7192736,0.8596368,0.7507862,0.8753931
54796,0.62438357,0.8121918,0.630062,0.815031,0.51563275,0.7578164,0.5910691,0.79553455,0.5724322,0.78621614,0.62294364,0.8114718,0.6086786,0.8043393,0.6749941,0.83749706,0.64778006,0.82389003,0.6376468,0.8188234
54797,0.7054642,0.85273206,0.66293883,0.8314694,0.6411165,0.82055825,0.5728202,0.7864101,0.742584,0.871292,0.8644022,0.9322011,0.73842216,0.8692111,0.7897683,0.8948841,0.7350444,0.86752224,0.7897381,0.8948691
54798,0.6526494,0.8263247,0.68527997,0.84264,0.57475936,0.7873797,0.6210613,0.81053066,0.6665785,0.83328927,0.7271893,0.86359465,0.6856704,0.8428352,0.7196123,0.8598062,0.7653404,0.88267016,0.7370091,0.8685045
54799,0.55297935,0.7764897,0.58508,0.79254,0.47796768,0.73898387,0.55155134,0.7757757,0.57104987,0.78552496,0.64793694,0.82396847,0.6494868,0.8247434,0.6682601,0.83413005,0.72827816,0.8641391,0.7307749,0.86538744
54800,0.69177234,0.8458862,0.67170095,0.8358505,0.60336506,0.80168253,0.5979972,0.7989986,0.6871494,0.8435747,0.7669821,0.88349104,0.732687,0.8663435,0.78092253,0.89046127,0.7666371,0.88331854,0.7755258,0.8877629
56453,0.70695484,0.8534774,0.63660854,0.8183043,0.6029413,0.80147064,0.5443145,0.77215725,0.7167099,0.8583549,0.807522,0.903761,0.7833139,0.89165694,0.726177,0.8630885,0.7471077,0.8735539,0.80245686,0.9012284
56528,0.6341698,0.8170849,0.6006508,0.8003254,0.50819105,0.75409555,0.5919856,0.7959928,0.6382941,0.81914705,0.7163875,0.85819376,0.6950897,0.84754485,0.68789345,0.8439467,0.73732626,0.86866313,0.7192962,0.8596481
56542,0.69481725,0.84740865,0.66909254,0.83454627,0.6021894,0.8010947,0.65206766,0.82603383,0.7004199,0.85020995,0.78404033,0.89202017,0.71663725,0.8583186,0.7860211,0.89301056,0.7697555,0.88487774,0.79723144,0.8986157
56543,0.62190294,0.8109515,0.60830957,0.80415475,0.53514093,0.7675705,0.5589229,0.77946144,0.63079435,0.81539714,0.6932428,0.8466214,0.7074175,0.85370874,0.6969162,0.8484581,0.7230396,0.8615198,0.7233973,0.8616986
56544,0.6509839,0.82549196,0.61797345,0.8089867,0.5614106,0.78070533,0.6191031,0.80955154,0.66932875,0.83466434,0.7619118,0.88095593,0.73866355,0.8693318,0.7391633,0.86958164,0.73819625,0.8690981,0.79243195,0.896216
56545,0.5077988,0.7538994,0.57148176,0.78574085,0.43547845,0.7177392,0.50102234,0.75051117,0.48349378,0.7417469,0.46739507,0.73369753,0.49277142,0.7463857,0.5696113,0.78480566,0.5689617,0.7844808,0.5061123,0.75305617
56618,0.7156866,0.8578433,0.7210717,0.86053586,0.63871074,0.81935537,0.6466704,0.8233352,0.71460336,0.8573017,0.80845594,0.904228,0.7592292,0.8796146,0.854091,0.92704546,0.79079914,0.8953996,0.83445907,0.91722953
56619,0.59155965,0.7957798,0.6028023,0.80140114,0.49619222,0.7480961,0.55827224,0.7791361,0.6248525,0.8124262,0.69968736,0.8498437,0.70330215,0.8516511,0.67021006,0.83510506,0.7068042,0.85340214,0.7262543,0.8631271
56629,0.7037816,0.8518908,0.66381097,0.8319055,0.6085251,0.8042625,0.64699996,0.8235,0.70762026,0.85381013,0.817565,0.9087825,0.73839855,0.8691993,0.8220901,0.9110451,0.7614317,0.88071585,0.8115316,0.9057658
56630,0.70401376,0.8520069,0.66113305,0.8305665,0.5680332,0.7840166,0.59085643,0.7954282,0.700289,0.8501445,0.799091,0.8995455,0.7423443,0.8711722,0.7643704,0.8821852,0.76990473,0.88495237,0.81097496,0.9054875
56631,0.57802165,0.7890108,0.61945975,0.8097299,0.5195252,0.7597626,0.5777935,0.78889674,0.610492,0.805246,0.67520267,0.8376013,0.6663104,0.8331552,0.6846268,0.8423134,0.7322155,0.86610776,0.748459,0.8742295
56632,0.6990279,0.84951395,0.6749093,0.8374547,0.60167575,0.8008379,0.6485042,0.8242521,0.72206664,0.8610333,0.8080479,0.90402395,0.8011178,0.9005589,0.80198073,0.90099037,0.7655555,0.88277775,0.8300135,0.91500676
56633,0.68356556,0.8417828,0.6266357,0.81331784,0.581602,0.790801,0.56337607,0.78168803,0.6935341,0.84676707,0.79479754,0.89739877,0.74906564,0.8745328,0.7454005,0.8727002,0.721431,0.8607155,0.77908075,0.8895404
56634,0.5946743,0.7973372,0.59753335,0.7987667,0.5050307,0.7525153,0.538907,0.7694535,0.6314639,0.81573194,0.7017943,0.8508972,0.70622,0.85310996,0.6974916,0.8487458,0.7247323,0.86236614,0.726267,0.8631335
56635,0.42883262,0.7144163,0.4623499,0.73117495,0.43085146,0.7154257,0.4075273,0.70376366,0.41290534,0.70645267,0.4362492,0.7181246,0.5018811,0.75094056,0.46192998,0.730965,0.493845,0.7469225,0.52016133,0.7600807
56637,0.75500053,0.8775003,0.71885395,0.859427,0.6297735,0.81488675,0.6469733,0.8234867,0.760761,0.8803805,0.8219993,0.91099966,0.7801759,0.89008796,0.8278531,0.91392654,0.768584,0.884292,0.82205045,0.9110252
56638,0.73772633,0.86886317,0.666363,0.8331815,0.5924876,0.7962438,0.563802,0.781901,0.75602865,0.8780143,0.85867584,0.9293379,0.79315674,0.8965784,0.76481414,0.88240707,0.7165773,0.85828865,0.8169707,0.90848535
56639,0.5468341,0.77341706,0.54369295,0.7718465,0.47198772,0.73599386,0.5023015,0.7511507,0.5836829,0.79184145,0.6760485,0.83802426,0.68507016,0.8425351,0.65846646,0.8292332,0.66385734,0.8319287,0.7019679,0.850984
56641,0.5715927,0.78579634,0.54329586,0.77164793,0.48906547,0.7445327,0.53405976,0.7670299,0.59703255,0.7985163,0.68619,0.843095,0.6895765,0.84478825,0.63639224,0.8181961,0.6829474,0.8414737,0.7225616,0.8612808
56642,0.65910435,0.8295522,0.5747287,0.78736436,0.5278781,0.763939,0.53374857,0.7668743,0.64459133,0.82229567,0.7660384,0.8830192,0.73597986,0.8679899,0.70415545,0.8520777,0.7300776,0.8650388,0.7724676,0.8862338
56643,0.72414565,0.8620728,0.67701215,0.8385061,0.6541867,0.82709336,0.6357051,0.81785256,0.6959852,0.8479926,0.7519536,0.8759768,0.6321944,0.8160972,0.7622648,0.88113236,0.7009203,0.8504602,0.70576906,0.85288453
56644,0.707121,0.8535605,0.67277277,0.8363864,0.6162544,0.80812716,0.63299215,0.8164961,0.7001109,0.85005546,0.75169253,0.87584627,0.73843515,0.8692176,0.7636237,0.88181186,0.7587394,0.87936974,0.772971,0.88648546
56645,0.6067805,0.80339026,0.6291812,0.8145906,0.5463375,0.77316874,0.60339266,0.8016963,0.6080894,0.8040447,0.6766725,0.8383362,0.6564954,0.82824767,0.72784257,0.8639213,0.71672755,0.85836375,0.7167587,0.85837936
56646,0.62422967,0.81211483,0.5816785,0.79083925,0.507714,0.753857,0.59497774,0.79748887,0.6129824,0.8064912,0.71764183,0.8588209,0.67428225,0.83714116,0.6721959,0.83609796,0.7157345,0.85786724,0.71459556,0.8572978
56647,0.6561158,0.8280579,0.6628915,0.83144575,0.59526,0.79763,0.63255095,0.8162755,0.6855918,0.8427959,0.76683307,0.88341653,0.75756335,0.8787817,0.7524506,0.8762253,0.75478786,0.87739396,0.80147684,0.9007384
56648,0.722883,0.8614415,0.6523605,0.8261802,0.62626165,0.81313086,0.6390376,0.8195188,0.6941382,0.84706914,0.7861987,0.8930993,0.71991295,0.8599565,0.77411747,0.88705873,0.7513378,0.8756689,0.7713994,0.8856997
56649,0.66179705,0.8308985,0.65545356,0.8277268,0.5717437,0.78587186,0.6002013,0.8001007,0.6278532,0.8139266,0.6986356,0.8493178,0.6414186,0.8207093,0.6952445,0.8476223,0.7100725,0.85503626,0.7000208,0.8500104
56650,0.6619345,0.83096725,0.62475026,0.8123751,0.5662926,0.78314626,0.54893255,0.7744663,0.7127135,0.85635674,0.8231014,0.9115507,0.78603065,0.8930153,0.74024856,0.8701243,0.75375354,0.8768768,0.8162574,0.90812874
56651,0.6541221,0.82706106,0.59301627,0.79650813,0.5472182,0.7736091,0.52972543,0.7648627,0.7180368,0.8590184,0.8261033,0.91305166,0.74829495,0.8741475,0.7369348,0.8684674,0.7374984,0.8687492,0.8046572,0.9023286
56652,0.7226025,0.86130124,0.68487847,0.84243923,0.58327913,0.79163957,0.61367315,0.8068366,0.7259377,0.86296886,0.84336925,0.9216846,0.79583764,0.8979188,0.7758157,0.88790786,0.7877201,0.89386004,0.82661426,0.91330713
56653,0.6222879,0.811144,0.6189505,0.80947524,0.56373817,0.78186905,0.5823631,0.79118156,0.62658846,0.81329423,0.70309883,0.8515494,0.64997375,0.8249869,0.7115986,0.8557993,0.718464,0.859232,0.7206915,0.8603457
56654,0.7662353,0.8831177,0.7429661,0.8714831,0.65941715,0.8297086,0.6917555,0.84587777,0.771805,0.8859025,0.81963634,0.9098182,0.7989019,0.89945096,0.80868626,0.9043431,0.82115006,0.91057503,0.8385774,0.9192887
56656,0.61179906,0.8058995,0.63891697,0.8194585,0.55017287,0.7750864,0.5677935,0.78389674,0.6711769,0.83558846,0.68319523,0.8415976,0.7179693,0.85898465,0.6813873,0.84069365,0.7047453,0.85237265,0.7182282,0.8591141
56657,0.6051581,0.80257905,0.5389342,0.7694671,0.49888453,0.7494423,0.51189333,0.75594664,0.62426317,0.8121316,0.7771367,0.88856834,0.696056,0.848028,0.67549413,0.8377471,0.69582283,0.8479114,0.7633258,0.8816629
56661,0.71301997,0.85651,0.6676498,0.8338249,0.5773976,0.7886988,0.6041572,0.8020786,0.6829879,0.84149396,0.7865632,0.8932816,0.6927154,0.8463577,0.7487708,0.87438536,0.7248187,0.86240935,0.7685143,0.88425714
56662,0.67094606,0.83547306,0.66566455,0.8328323,0.57297206,0.786486,0.6691805,0.83459026,0.6590173,0.82950866,0.74955493,0.87477744,0.6855766,0.84278834,0.7800926,0.8900463,0.7995249,0.89976245,0.7900907,0.89504534
56725,0.76000154,0.88000077,0.70746464,0.85373235,0.66094184,0.8304709,0.68285936,0.8414297,0.7632283,0.88161415,0.83219147,0.91609573,0.7688925,0.88444626,0.83881056,0.9194053,0.75149536,0.8757477,0.82812285,0.9140614
56795,0.68270886,0.8413544,0.70562714,0.8528136,0.60135186,0.8006759,0.62584645,0.8129232,0.7358406,0.8679203,0.7814641,0.89073205,0.8041645,0.90208226,0.79607344,0.8980367,0.78893554,0.8944678,0.80907714,0.9045386
56796,0.6744428,0.8372214,0.640133,0.8200665,0.5706556,0.7853278,0.57564294,0.7878215,0.739936,0.869968,0.8223513,0.9111756,0.7701881,0.88509405,0.79251754,0.8962588,0.7722059,0.8861029,0.8030578,0.9015289
56797,0.728814,0.864407,0.6857594,0.8428797,0.5838749,0.7919375,0.60924435,0.8046222,0.73255616,0.86627805,0.8064176,0.9032088,0.73955655,0.8697783,0.79452026,0.8972601,0.7681067,0.88405335,0.8037448,0.9018724
56798,0.61762106,0.80881053,0.6186633,0.80933166,0.54676384,0.77338195,0.5842463,0.79212314,0.64946914,0.82473457,0.68925714,0.8446286,0.723052,0.861526,0.71897465,0.8594873,0.7147815,0.85739076,0.76243794,0.88121897
56799,0.65195966,0.8259798,0.6122111,0.80610555,0.5445024,0.7722512,0.55995136,0.77997565,0.66871417,0.8343571,0.7732761,0.88663805,0.74117106,0.87058556,0.74610174,0.87305087,0.77450335,0.8872517,0.7997997,0.89989984
