,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_google_ux_Score
30606,0.6748803,0.83744013,0.5856848,0.7928424,0.5458208,0.77291036,0.5717486,0.7858743,0.6812958,0.84064794,0.81774545,0.9088727,0.6966142,0.84830713,0.7076874,0.8538437,0.72201514,0.8610076,0.7931566,0.8965783
30845,0.760164,0.880082,0.6808398,0.8404199,0.6240566,0.8120283,0.6509316,0.8254658,0.7469847,0.87349236,0.8591448,0.9295724,0.74462634,0.87231314,0.7957648,0.8978824,0.7804493,0.89022464,0.7962605,0.89813024
32072,0.7490871,0.87454355,0.6747368,0.83736837,0.66785824,0.8339291,0.6597409,0.82987046,0.7079773,0.85398865,0.7894647,0.89473236,0.70725554,0.8536278,0.7840816,0.8920408,0.73719144,0.8685957,0.76062584,0.8803129
46443,0.744782,0.872391,0.7428018,0.8714009,0.68829054,0.8441453,0.67269707,0.83634853,0.77696717,0.8884836,0.8261764,0.9130882,0.7625536,0.8812768,0.8266144,0.9133072,0.8019995,0.9009998,0.8358296,0.9179148
46506,0.5595866,0.77979326,0.60212225,0.80106115,0.5251665,0.76258326,0.52991545,0.7649577,0.606475,0.8032375,0.69422424,0.8471121,0.6128971,0.8064486,0.69322985,0.84661496,0.7365143,0.86825716,0.7160399,0.85801995
50300,0.72622406,0.86311203,0.70702493,0.85351247,0.7134689,0.85673445,0.64361787,0.82180893,0.76177907,0.88088953,0.82453287,0.91226643,0.7246735,0.86233675,0.8204074,0.9102037,0.77855396,0.889277,0.81772625,0.9088631
51419,0.7133058,0.85665286,0.6934227,0.84671134,0.64622307,0.82311153,0.6320241,0.816012,0.7218158,0.8609079,0.8036956,0.90184784,0.74252516,0.87126255,0.79750925,0.8987546,0.7822441,0.89112204,0.81227314,0.9061366
53971,0.615118,0.807559,0.588202,0.794101,0.52109385,0.7605469,0.55643743,0.77821875,0.6374638,0.8187319,0.69762516,0.8488126,0.6688111,0.83440554,0.6918396,0.8459198,0.7060902,0.8530451,0.6998519,0.84992594
53972,0.69316924,0.8465846,0.67383236,0.8369162,0.5984545,0.79922724,0.60371363,0.8018568,0.6997707,0.84988534,0.7857958,0.8928979,0.73401225,0.8670061,0.7550115,0.8775058,0.75960696,0.8798035,0.7739608,0.8869804
53973,0.7091225,0.8545612,0.6653657,0.83268285,0.6364305,0.81821525,0.6469381,0.82346904,0.7168814,0.8584407,0.7871156,0.8935578,0.74069893,0.87034947,0.79343843,0.8967192,0.7993076,0.8996538,0.8077096,0.9038548
53974,0.62727106,0.8136355,0.56317484,0.7815874,0.54041755,0.7702088,0.5704634,0.7852317,0.6474195,0.8237097,0.73730564,0.8686528,0.6893488,0.8446744,0.69206023,0.8460301,0.7076695,0.85383475,0.74993926,0.8749696
53975,0.65096223,0.8254811,0.5725091,0.7862545,0.57795846,0.78897923,0.5727975,0.78639877,0.626672,0.813336,0.7597159,0.87985796,0.67180705,0.8359035,0.69385463,0.8469273,0.7293283,0.86466414,0.7383224,0.8691612
53976,0.55795217,0.7789761,0.5416675,0.77083373,0.49106467,0.74553233,0.4945209,0.74726045,0.60100293,0.80050147,0.6753189,0.8376595,0.68984544,0.8449227,0.6447754,0.8223877,0.67629814,0.8381491,0.6849304,0.84246516
53977,0.7006596,0.85032976,0.6287105,0.81435525,0.5600678,0.7800339,0.58089113,0.79044557,0.69554996,0.847775,0.78287274,0.89143634,0.73846793,0.86923397,0.7401383,0.87006915,0.7604601,0.88023007,0.7783582,0.8891791
53978,0.6773217,0.83866084,0.6185986,0.8092993,0.5892996,0.79464984,0.5584016,0.7792008,0.7020428,0.8510214,0.82909787,0.91454893,0.72645545,0.8632277,0.7485211,0.87426054,0.748888,0.874444,0.8134656,0.9067328
53979,0.7432822,0.8716411,0.6939436,0.8469718,0.6237554,0.8118777,0.630552,0.815276,0.7608745,0.88043725,0.8475028,0.9237514,0.7570187,0.87850934,0.79531157,0.8976558,0.7645787,0.88228935,0.7954399,0.89772
53981,0.6031262,0.80156314,0.6066513,0.80332565,0.532009,0.7660045,0.58379626,0.79189813,0.6257545,0.81287724,0.70750135,0.8537507,0.70236576,0.8511829,0.68820226,0.84410113,0.70149946,0.85074973,0.72335184,0.8616759
54796,0.64167714,0.8208386,0.61888486,0.8094424,0.5131746,0.75658727,0.5682529,0.78412646,0.5779964,0.7889982,0.6443174,0.8221587,0.61893326,0.8094666,0.6875653,0.84378266,0.65110725,0.82555366,0.6531544,0.8265772
54797,0.71599555,0.8579978,0.67380774,0.83690387,0.6373595,0.81867975,0.5888665,0.79443324,0.7515863,0.87579316,0.8613242,0.9306621,0.75374997,0.876875,0.80435073,0.90217537,0.74926615,0.8746331,0.79937637,0.8996882
54798,0.6561806,0.8280903,0.67959166,0.8397958,0.5889719,0.7944859,0.619701,0.8098505,0.6718495,0.83592474,0.723056,0.86152804,0.67850065,0.8392503,0.7173846,0.8586923,0.76950556,0.88475275,0.7259742,0.8629871
54799,0.5071304,0.7535652,0.53793424,0.76896715,0.42098987,0.71049494,0.50914365,0.7545718,0.51955974,0.7597799,0.6042379,0.80211896,0.6128315,0.80641574,0.6019218,0.8009609,0.6712998,0.8356499,0.68065083,0.8403254
54800,0.6820384,0.8410192,0.66298616,0.8314931,0.59485304,0.7974265,0.60575664,0.8028783,0.6828258,0.8414129,0.76820016,0.8841001,0.7497269,0.87486345,0.78755385,0.8937769,0.7636821,0.88184106,0.78939664,0.8946983
56453,0.6236075,0.81180376,0.6370554,0.8185277,0.5895629,0.79478145,0.5827239,0.7913619,0.6815909,0.84079546,0.72061247,0.86030626,0.75875354,0.87937677,0.71267426,0.85633713,0.76203334,0.8810167,0.75849414,0.87924707
56528,0.5767629,0.78838146,0.53941274,0.76970637,0.46931836,0.7346592,0.5420234,0.7710117,0.5763011,0.78815055,0.6484556,0.8242278,0.62317526,0.81158763,0.6212961,0.8106481,0.66711605,0.833558,0.634154,0.81707704
56542,0.6809938,0.8404969,0.67433786,0.83716893,0.5654688,0.7827344,0.62380844,0.8119042,0.6904197,0.84520984,0.7778045,0.88890225,0.72431004,0.862155,0.78189576,0.8909479,0.7879541,0.89397705,0.7968172,0.8984086
56543,0.61543405,0.807717,0.5956321,0.79781604,0.5358952,0.7679476,0.52533406,0.76266706,0.6113062,0.8056531,0.6572368,0.8286184,0.6885148,0.8442574,0.66594625,0.8329731,0.70447874,0.8522394,0.6871855,0.84359276
56544,0.6651156,0.8325578,0.63226426,0.8161321,0.5709543,0.78547716,0.6272279,0.81361395,0.68574804,0.84287405,0.77180517,0.8859026,0.7511123,0.8755561,0.74852777,0.8742639,0.7474408,0.8737204,0.80066013,0.90033007
56545,0.6440501,0.82202506,0.6577372,0.8288686,0.560799,0.7803995,0.60422635,0.8021132,0.61573184,0.8078659,0.6313998,0.81569993,0.6083835,0.8041917,0.7137264,0.8568632,0.67839926,0.83919966,0.669876,0.834938
56618,0.74013156,0.8700658,0.755245,0.8776225,0.64037514,0.82018757,0.641188,0.820594,0.71552074,0.85776037,0.7786634,0.8893317,0.761345,0.8806725,0.8315058,0.9157529,0.8061664,0.9030832,0.79620993,0.89810497
56619,0.60354966,0.80177486,0.6010853,0.80054265,0.50367725,0.7518386,0.5667872,0.7833936,0.6280396,0.8140198,0.7090334,0.85451674,0.7007198,0.8503599,0.6733992,0.8366996,0.6999312,0.8499656,0.72460014,0.86230004
56629,0.70387816,0.8519391,0.6631597,0.83157986,0.5839164,0.7919582,0.62794435,0.8139722,0.6996685,0.84983426,0.82449543,0.9122477,0.7493396,0.8746698,0.81086314,0.90543157,0.7550106,0.8775053,0.8132295,0.9066148
56630,0.71666956,0.8583348,0.664052,0.832026,0.58036125,0.7901806,0.59154004,0.79577005,0.7143812,0.8571906,0.83395475,0.9169774,0.7861954,0.8930977,0.7805341,0.890267,0.7802895,0.8901447,0.8431542,0.9215771
56631,0.61659306,0.80829656,0.6151575,0.80757874,0.5271214,0.7635607,0.5845095,0.79225475,0.6368265,0.81841326,0.7216629,0.86083144,0.68131626,0.8406581,0.7185852,0.8592926,0.717825,0.85891247,0.7689518,0.8844759
56632,0.67699504,0.8384975,0.64202064,0.82101035,0.57815504,0.7890775,0.62340164,0.8117008,0.67974114,0.8398706,0.78128266,0.89064133,0.7486764,0.8743382,0.78710914,0.89355457,0.75713915,0.8785696,0.81120443,0.9056022
56633,0.62919796,0.814599,0.55784976,0.7789249,0.527955,0.7639775,0.5091839,0.75459194,0.64551646,0.8227582,0.7522001,0.87610006,0.72106326,0.8605316,0.6887566,0.8443783,0.6950522,0.8475261,0.74391174,0.8719559
56634,0.5820229,0.79101145,0.5824573,0.79122865,0.49078846,0.74539423,0.52787524,0.7639376,0.6186586,0.8093293,0.6928507,0.84642535,0.698349,0.8491745,0.6861838,0.8430919,0.729962,0.864981,0.72033644,0.8601682
56635,0.52461135,0.7623057,0.558583,0.7792915,0.49983275,0.7499164,0.52106917,0.7605346,0.47990793,0.739954,0.5071371,0.75356853,0.5412191,0.77060956,0.54096395,0.77048194,0.56110597,0.780553,0.56735873,0.78367937
56637,0.63514006,0.81757003,0.63314974,0.8165749,0.53808916,0.7690446,0.617248,0.808624,0.67002034,0.8350102,0.7340601,0.86703,0.7048819,0.85244095,0.74581134,0.8729057,0.7348815,0.86744076,0.75150484,0.87575245
56638,0.6937814,0.8468907,0.6791728,0.8395864,0.5881481,0.79407406,0.5983525,0.7991762,0.7326999,0.86634994,0.79509664,0.8975483,0.78688824,0.8934441,0.77231485,0.8861574,0.7250412,0.8625206,0.7934649,0.89673245
56639,0.4982139,0.74910694,0.49668342,0.7483417,0.42987818,0.7149391,0.44480067,0.7224003,0.523089,0.76154447,0.63070416,0.8153521,0.625436,0.81271803,0.5780495,0.7890247,0.61992264,0.8099613,0.66836834,0.83418417
56641,0.5981365,0.7990682,0.5755093,0.78775465,0.5230371,0.76151854,0.54819214,0.7740961,0.62469196,0.812346,0.7043046,0.8521523,0.7169567,0.8584783,0.6641338,0.8320669,0.70767707,0.85383856,0.7540593,0.87702966
56642,0.6014167,0.80070835,0.5782443,0.78912216,0.49571562,0.7478578,0.52900535,0.76450264,0.5967493,0.79837465,0.68109775,0.8405489,0.6935815,0.8467908,0.65049744,0.8252487,0.71293527,0.8564676,0.7039776,0.8519888
56643,0.73929906,0.8696495,0.6895561,0.84477806,0.65038514,0.8251926,0.63787806,0.81893903,0.6770141,0.83850706,0.7425811,0.87129056,0.6327747,0.81638736,0.7588453,0.87942266,0.7130658,0.85653293,0.69321954,0.8466098
56644,0.71018165,0.85509086,0.68349683,0.8417484,0.6172638,0.8086319,0.633005,0.8165025,0.7062843,0.85314214,0.7500315,0.87501574,0.7467016,0.8733508,0.7572328,0.8786164,0.75062835,0.8753142,0.77159274,0.88579637
56645,0.59937215,0.7996861,0.6233404,0.8116702,0.5493016,0.7746508,0.60764956,0.8038248,0.60690856,0.8034543,0.6558298,0.8279149,0.6456154,0.82280767,0.7210908,0.8605454,0.6926718,0.8463359,0.6853079,0.842654
56646,0.64141846,0.8207092,0.6189165,0.80945826,0.5306775,0.7653388,0.59882957,0.79941475,0.64885557,0.8244278,0.6991137,0.84955686,0.6899548,0.8449774,0.6961276,0.8480638,0.6860064,0.8430032,0.6952158,0.8476079
56647,0.68591994,0.84296,0.68546146,0.84273076,0.6229508,0.8114754,0.67083836,0.8354192,0.6979052,0.8489526,0.7537903,0.8768952,0.7475722,0.8737861,0.76192033,0.88096017,0.7596904,0.8798452,0.7782695,0.88913476
56648,0.73576033,0.86788017,0.68650126,0.84325063,0.63764095,0.8188205,0.67852926,0.83926463,0.725899,0.8629495,0.79251254,0.89625627,0.7375815,0.86879075,0.7959601,0.8979801,0.77437663,0.8871883,0.8004114,0.90020573
56649,0.58144987,0.79072493,0.575674,0.787837,0.483818,0.741909,0.50615907,0.75307953,0.58907664,0.7945383,0.6700531,0.83502656,0.593479,0.79673946,0.6131418,0.8065709,0.65022326,0.8251116,0.64786214,0.8239311
56650,0.7346433,0.8673216,0.68374515,0.8418726,0.64222014,0.82111007,0.6150317,0.80751586,0.74049544,0.8702477,0.83231664,0.9161583,0.7745853,0.8872926,0.7789545,0.88947725,0.77288055,0.8864403,0.8119379,0.90596896
56651,0.6649982,0.8324991,0.60022414,0.80011207,0.5915401,0.79577005,0.5514847,0.77574235,0.7136705,0.85683525,0.84365237,0.9218262,0.73730457,0.8686523,0.7646092,0.8823046,0.7499455,0.87497276,0.80070937,0.9003547
56652,0.7189723,0.85948616,0.6928065,0.84640324,0.59359026,0.7967951,0.62757015,0.8137851,0.7126461,0.85632306,0.7816395,0.8908198,0.7511194,0.8755597,0.76094365,0.8804718,0.79317117,0.8965856,0.78668886,0.8933444
56653,0.61566436,0.8078322,0.6099882,0.8049941,0.57262886,0.7863144,0.5607822,0.7803911,0.6003504,0.8001752,0.67610204,0.838051,0.6363939,0.81819695,0.70032144,0.8501607,0.69718343,0.8485917,0.69274116,0.8463706
56654,0.73718196,0.86859095,0.7070894,0.8535447,0.65135723,0.8256786,0.6739245,0.8369622,0.73978984,0.8698949,0.79757035,0.8987852,0.7524804,0.8762402,0.7771541,0.88857704,0.8048183,0.90240914,0.8131769,0.90658844
56656,0.5860546,0.7930273,0.6006425,0.8003212,0.52080286,0.7604014,0.5535524,0.7767762,0.6175916,0.8087958,0.63924325,0.8196216,0.65494746,0.82747376,0.6417741,0.8208871,0.6675247,0.83376235,0.67502546,0.83751273
56657,0.63378334,0.8168917,0.56501806,0.782509,0.50386,0.75193,0.5148859,0.75744295,0.6657786,0.8328893,0.8072262,0.9036131,0.737516,0.86875796,0.69142896,0.84571445,0.7020258,0.8510129,0.79089785,0.8954489
56661,0.6826551,0.84132755,0.64749324,0.8237466,0.55325335,0.7766267,0.58463633,0.79231817,0.6687646,0.8343823,0.78397334,0.89198667,0.68345374,0.8417269,0.7423073,0.87115365,0.7289225,0.86446124,0.76803875,0.8840194
56662,0.7057899,0.85289496,0.6820637,0.84103185,0.600401,0.80020046,0.6642095,0.83210474,0.70375806,0.851879,0.78252804,0.891264,0.7093779,0.85468894,0.79876256,0.8993813,0.80193913,0.90096956,0.80357814,0.90178907
56725,0.73037136,0.8651857,0.70402366,0.8520118,0.63266015,0.8163301,0.6479299,0.82396495,0.7400067,0.87000334,0.822065,0.9110325,0.79204684,0.8960234,0.8195252,0.9097626,0.7641067,0.8820534,0.82162523,0.9108126
56795,0.6240808,0.8120404,0.6562306,0.82811534,0.57351696,0.7867585,0.58080685,0.7904034,0.65087044,0.8254352,0.69472057,0.84736025,0.7354491,0.86772454,0.7405361,0.87026805,0.73289216,0.8664461,0.73652256,0.8682613
56796,0.5925438,0.7962719,0.6212018,0.8106009,0.5241209,0.76206046,0.5480586,0.7740293,0.6724229,0.83621144,0.70777225,0.8538861,0.7386887,0.86934435,0.71900696,0.8595035,0.691349,0.8456745,0.7221915,0.8610958
56797,0.71389997,0.85695,0.70121396,0.850607,0.59535384,0.7976769,0.62878263,0.8143913,0.7341908,0.8670954,0.7765484,0.8882742,0.7382299,0.86911494,0.782467,0.8912335,0.75885344,0.8794267,0.7790277,0.88951385
56798,0.66950667,0.83475333,0.6699823,0.83499116,0.5928112,0.7964056,0.61130214,0.80565107,0.69475687,0.84737843,0.73710036,0.8685502,0.78209287,0.8910464,0.75203514,0.8760176,0.7566609,0.87833047,0.79299754,0.8964988
56799,0.6275003,0.81375015,0.5934371,0.79671854,0.51457894,0.75728947,0.5458207,0.77291036,0.63123274,0.81561637,0.7121073,0.85605365,0.6994215,0.84971076,0.68872106,0.84436053,0.7203952,0.8601976,0.73204976,0.86602485
56800,0.6078748,0.80393744,0.5869804,0.7934902,0.51176137,0.7558807,0.60353327,0.80176663,0.5664294,0.7832147,0.60685784,0.8034289,0.5533948,0.7766974,0.6463019,0.823151,0.62508893,0.81254447,0.6049501,0.80247504
56801,0.6483511,0.82417554,0.6602092,0.8301046,0.5936142,0.7968071,0.5878298,0.7939149,0.68329304,0.84164655,0.7839912,0.8919956,0.71533036,0.8576652,0.7540969,0.8770485,0.74092793,0.87046397,0.7657221,0.882861
56802,0.57580173,0.78790087,0.5319681,0.76598406,0.52112234,0.76056117,0.5381739,0.76908696,0.5401024,0.77005124,0.6655519,0.83277595,0.60364294,0.8018215,0.66184366,0.8309218,0.6927475,0.84637374,0.686298,0.843149
56803,0.7436,0.8718,0.7428076,0.8714038,0.6565126,0.8282563,0.6642144,0.8321072,0.712574,0.856287,0.752766,0.876383,0.67804813,0.83902407,0.7828759,0.89143795,0.73539865,0.8676993,0.74312663,0.8715633
56804,0.68338627,0.84169316,0.6768304,0.8384152,0.5874025,0.7937013,0.63660884,0.8183044,0.70359576,0.8517979,0.7604884,0.8802442,0.7120173,0.85600865,0.79270256,0.8963513,0.75326145,0.8766307,0.75709355,0.8785468
56805,0.5743463,0.78717315,0.5587964,0.7793982,0.52266,0.76133,0.5701433,0.7850716,0.5348394,0.7674197,0.60333586,0.8016679,0.5630698,0.7815349,0.64992285,0.8249614,0.6513857,0.8256929,0.62140507,0.81070256
56807,0.7113048,0.8556524,0.7049961,0.85249805,0.6271963,0.81359816,0.62514466,0.81257236,0.7336458,0.8668229,0.7996597,0.89982986,0.79239815,0.8961991,0.7789092,0.8894546,0.7991866,0.8995933,0.8401194,0.9200597
56809,0.6902286,0.8451143,0.7185806,0.8592903,0.5939474,0.7969737,0.66078883,0.8303944,0.7141267,0.85706335,0.75673187,0.87836593,0.73818684,0.8690934,0.79415154,0.8970758,0.7844877,0.89224386,0.7788056,0.8894028
56859,0.6253376,0.8126688,0.5878332,0.7939166,0.49478412,0.74739206,0.60310763,0.80155385,0.62036216,0.8101811,0.69223714,0.84611857,0.66175395,0.83087695,0.67109776,0.8355489,0.71270823,0.8563541,0.69518816,0.8475941
56860,0.68043643,0.8402182,0.6703267,0.83516335,0.59487456,0.7974373,0.69348204,0.846741,0.7121798,0.8560899,0.812325,0.9061625,0.7623506,0.8811753,0.82275224,0.9113761,0.78722525,0.8936126,0.84200096,0.9210005
56861,0.5982934,0.7991467,0.5760448,0.7880224,0.50134957,0.7506748,0.619629,0.8098145,0.6119062,0.8059531,0.64296055,0.8214803,0.6586995,0.82934976,0.68296397,0.841482,0.65834457,0.82917225,0.67714643,0.8385732
56862,0.6964447,0.8482224,0.67222834,0.83611417,0.5527504,0.7763752,0.58984876,0.7949244,0.68386203,0.841931,0.7381778,0.8690889,0.69464904,0.8473245,0.7314415,0.86572075,0.7190281,0.85951406,0.73002267,0.86501133
57384,0.76633525,0.8831676,0.71462876,0.85731435,0.6645644,0.8322822,0.6501715,0.82508576,0.766804,0.883402,0.87579787,0.93789893,0.7786622,0.8893311,0.8388001,0.91940004,0.77424526,0.88712263,0.8412322,0.9206161
