,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
53975,0.6186741,0.809337,0.5687141,0.7843571,0.5691347,0.78456736,0.53795743,0.7689787,0.6290534,0.8145267,0.7790586,0.8895293,0.6623177,0.8311589,0.664578,0.832289,0.7149625,0.85748124,0.73246545,0.86623275
53976,0.5011656,0.7505828,0.44065237,0.7203262,0.42998067,0.7149903,0.45010322,0.72505164,0.4923077,0.74615383,0.63299954,0.81649977,0.6012984,0.80064917,0.56038755,0.7801938,0.62091666,0.8104583,0.6375078,0.8187539
53977,0.70839953,0.85419977,0.6359502,0.8179751,0.57962084,0.7898104,0.6191956,0.8095978,0.6982999,0.84914994,0.77410245,0.8870512,0.72327137,0.8616357,0.74808526,0.87404263,0.7506695,0.87533474,0.76132464,0.8806623
53978,0.68218905,0.8410945,0.62568235,0.8128412,0.58123004,0.790615,0.55934167,0.77967083,0.7027832,0.8513916,0.81449836,0.9072492,0.7004411,0.85022056,0.7341682,0.8670841,0.73757565,0.8687878,0.79643357,0.8982168
53979,0.75616807,0.87808406,0.6832769,0.84163845,0.6302812,0.8151406,0.61027586,0.80513793,0.7578579,0.87892896,0.8774577,0.9387288,0.761047,0.8805235,0.79975927,0.89987963,0.7453198,0.8726599,0.81165946,0.9058297
53981,0.6232979,0.81164896,0.6116967,0.80584836,0.5482327,0.77411634,0.59461474,0.7973074,0.661174,0.830587,0.75372666,0.87686336,0.73638976,0.8681949,0.7392057,0.86960286,0.75548863,0.8777443,0.7769604,0.8884802
54796,0.65481615,0.8274081,0.66451573,0.83225787,0.54565835,0.7728292,0.6159203,0.80796015,0.6262008,0.8131004,0.6713358,0.8356679,0.6978092,0.8489046,0.71944225,0.8597211,0.70599043,0.8529952,0.70120764,0.8506038
54797,0.6827694,0.8413847,0.6470369,0.82351846,0.600523,0.8002615,0.60655534,0.8032777,0.7057201,0.8528601,0.8505305,0.92526525,0.7427721,0.87138605,0.7980504,0.8990252,0.76494706,0.8824735,0.81155723,0.90577865
54798,0.63091856,0.81545925,0.6329477,0.81647384,0.55383444,0.7769172,0.60118663,0.8005933,0.61925673,0.80962837,0.6883295,0.8441647,0.64372724,0.82186365,0.68735766,0.84367883,0.7332216,0.86661077,0.6931099,0.846555
54799,0.54108745,0.7705437,0.5683139,0.7841569,0.4637675,0.73188376,0.54297954,0.77148974,0.5648917,0.78244585,0.6377276,0.8188638,0.65040386,0.8252019,0.64709437,0.8235472,0.7119242,0.8559621,0.72187424,0.8609371
54800,0.65493655,0.8274683,0.66683644,0.83341825,0.5882102,0.7941051,0.58986807,0.79493403,0.6899016,0.8449508,0.7135463,0.85677314,0.7504189,0.87520945,0.75142974,0.8757149,0.7343013,0.86715066,0.75664145,0.8783207
56453,0.7094553,0.8547276,0.6601593,0.8300797,0.6120019,0.80600095,0.5789896,0.7894948,0.73386806,0.86693406,0.8328184,0.9164092,0.80677307,0.90338653,0.7559545,0.87797725,0.7663692,0.8831846,0.82508636,0.9125432
56528,0.61760664,0.8088033,0.57077307,0.78538656,0.49511367,0.7475568,0.5572225,0.77861124,0.6278982,0.8139491,0.72437465,0.8621873,0.67309666,0.8365483,0.669351,0.8346755,0.7052251,0.85261256,0.7042508,0.8521254
56542,0.6747993,0.83739966,0.66781116,0.8339056,0.59278697,0.7963935,0.6548772,0.8274386,0.70661247,0.85330623,0.7882028,0.8941014,0.7521486,0.8760743,0.78759587,0.89379793,0.7819046,0.8909523,0.8033525,0.90167624
56543,0.67805815,0.8390291,0.6083865,0.80419326,0.5478084,0.7739042,0.5482502,0.7741251,0.6778597,0.8389299,0.7702989,0.8851495,0.73150396,0.865752,0.7244312,0.86221564,0.73546594,0.867733,0.7691928,0.8845964
56544,0.6527429,0.82637143,0.66544557,0.8327228,0.58834183,0.7941709,0.62903714,0.8145186,0.6728631,0.83643156,0.7308582,0.8654291,0.7093972,0.8546986,0.72795117,0.8639756,0.74532163,0.8726608,0.78007984,0.8900399
56545,0.5582073,0.77910364,0.61208683,0.8060434,0.5111592,0.7555796,0.54373294,0.77186644,0.54338765,0.7716938,0.5436879,0.7718439,0.57996,0.78998,0.6404122,0.8202061,0.65629315,0.8281466,0.60733044,0.8036652
56618,0.6628286,0.83141434,0.67002285,0.8350114,0.5798942,0.7899471,0.6084402,0.8042201,0.6689868,0.8344934,0.73335993,0.86667997,0.7162757,0.85813785,0.7714195,0.88570976,0.7664183,0.8832091,0.75852686,0.8792634
56619,0.5899466,0.7949733,0.5858141,0.79290706,0.50226873,0.7511344,0.54297477,0.77148736,0.61874956,0.8093748,0.70476437,0.8523822,0.68912214,0.8445611,0.65884006,0.82942003,0.685948,0.842974,0.71490186,0.85745096
56629,0.7191926,0.8595963,0.67782485,0.8389124,0.6084027,0.80420136,0.6323797,0.8161899,0.725628,0.862814,0.8473771,0.92368853,0.7555573,0.87777865,0.8425437,0.92127186,0.7347275,0.86736375,0.81719947,0.90859973
56630,0.66151035,0.8307552,0.6577804,0.8288902,0.5402435,0.77012175,0.59813637,0.7990682,0.6574576,0.8287288,0.75099546,0.8754977,0.7530735,0.8765367,0.7567731,0.87838656,0.76199055,0.8809953,0.7900883,0.89504415
56631,0.5842401,0.79212004,0.6092218,0.8046109,0.51585585,0.7579279,0.57260096,0.7863005,0.60439813,0.80219907,0.6622251,0.83111256,0.63337374,0.81668687,0.6850884,0.8425442,0.7374629,0.86873144,0.75503314,0.87751657
56632,0.72178316,0.8608916,0.6680682,0.8340341,0.6244135,0.81220675,0.6228386,0.8114193,0.74222434,0.87111217,0.86242115,0.9312106,0.79488426,0.8974421,0.8472756,0.9236378,0.77573466,0.88786733,0.84953785,0.9247689
56633,0.6641863,0.8320931,0.6229672,0.8114836,0.5779159,0.78895795,0.55259097,0.7762955,0.66363746,0.8318187,0.77075243,0.8853762,0.7196248,0.8598124,0.7254095,0.86270475,0.7151828,0.8575914,0.7835852,0.8917926
56634,0.5407257,0.77036285,0.525661,0.7628305,0.47776592,0.73888296,0.48337677,0.7416884,0.5347022,0.7673511,0.64474815,0.8223741,0.61826825,0.8091341,0.6413225,0.82066125,0.67411315,0.8370566,0.6956877,0.8478439
56635,0.5960701,0.798035,0.6525005,0.82625026,0.5695431,0.78477156,0.57600355,0.7880018,0.64207435,0.8210372,0.72075164,0.8603758,0.7124095,0.85620475,0.7354814,0.8677407,0.71732503,0.8586625,0.7639948,0.8819974
56637,0.65050626,0.8252531,0.6323838,0.8161919,0.54021233,0.7701062,0.62278855,0.8113943,0.66708237,0.83354115,0.7422224,0.8711112,0.7022999,0.8511499,0.75448143,0.8772407,0.7261793,0.8630897,0.7596825,0.8798412
56638,0.73007274,0.86503637,0.68056774,0.8402839,0.6145587,0.80727935,0.60091496,0.8004575,0.7518724,0.8759362,0.8401958,0.9200979,0.7842038,0.8921019,0.7703457,0.88517284,0.74238336,0.8711917,0.83002925,0.9150146
56639,0.6181873,0.80909365,0.6359923,0.81799614,0.56971836,0.7848592,0.5460541,0.77302706,0.70043516,0.8502176,0.7982811,0.89914054,0.7928344,0.8964172,0.7643796,0.8821898,0.77354074,0.88677037,0.8260689,0.91303444
56641,0.5826906,0.7913453,0.56226116,0.78113055,0.49714768,0.74857384,0.5486454,0.7743227,0.6137339,0.80686694,0.71977615,0.8598881,0.7150202,0.8575101,0.66358984,0.8317949,0.69247997,0.84624,0.7513926,0.8756963
56642,0.61567307,0.80783653,0.58828723,0.7941436,0.51294345,0.75647175,0.5320985,0.76604927,0.61643606,0.808218,0.72113025,0.8605651,0.7181113,0.85905564,0.68442297,0.8422115,0.73678076,0.8683904,0.7384695,0.86923474
56643,0.72664976,0.8633249,0.6752837,0.83764184,0.64417243,0.8220862,0.6357976,0.8178988,0.6698072,0.8349036,0.7189888,0.8594944,0.6081042,0.8040521,0.73388994,0.86694497,0.72111094,0.86055547,0.6773379,0.83866894
56644,0.6301938,0.8150969,0.6476539,0.8238269,0.5582121,0.779106,0.5727812,0.7863906,0.6314415,0.81572074,0.6606746,0.8303373,0.6870031,0.84350157,0.6753945,0.83769727,0.6830703,0.84153515,0.667381,0.8336905
56645,0.5902784,0.7951392,0.60460186,0.80230093,0.5220796,0.7610398,0.6192905,0.80964524,0.56715715,0.7835786,0.64460766,0.82230383,0.6060033,0.80300164,0.7168311,0.85841554,0.689802,0.84490097,0.6833693,0.84168464
56646,0.59730595,0.798653,0.596511,0.7982555,0.49384487,0.74692243,0.56170905,0.7808545,0.60967565,0.8048378,0.68608844,0.8430442,0.67850095,0.83925045,0.6751182,0.8375591,0.715489,0.85774446,0.7124356,0.8562178
56647,0.7190046,0.8595023,0.7180356,0.8590178,0.6242185,0.81210923,0.6685298,0.8342649,0.7530547,0.8765273,0.80231583,0.9011579,0.78873026,0.89436513,0.7977659,0.898883,0.78549325,0.8927466,0.8178278,0.9089139
56648,0.73386854,0.8669343,0.6627619,0.83138096,0.60994136,0.8049707,0.63283503,0.8164175,0.71875584,0.8593779,0.7995379,0.89976895,0.74349695,0.87174845,0.7851817,0.8925909,0.75887823,0.8794391,0.7832663,0.89163315
56649,0.60237265,0.8011863,0.61735976,0.8086799,0.520031,0.7600155,0.5308113,0.76540565,0.6101078,0.8050539,0.6603147,0.83015734,0.60998166,0.8049908,0.6374154,0.8187077,0.6555648,0.8277824,0.66504425,0.83252215
56650,0.69680375,0.8484019,0.6471331,0.82356656,0.5929244,0.7964622,0.58306056,0.79153025,0.73377717,0.8668886,0.81990665,0.90995336,0.7847625,0.89238125,0.7627535,0.88137674,0.7553029,0.87765145,0.8288034,0.9144017
56651,0.68383306,0.84191656,0.6248141,0.812407,0.58854574,0.7942729,0.5708312,0.7854156,0.73438686,0.86719346,0.8144142,0.90720713,0.75900245,0.8795012,0.76300526,0.8815026,0.73891556,0.8694578,0.80804455,0.9040223
56652,0.70390165,0.8519508,0.6913562,0.8456781,0.61586624,0.8079331,0.63914967,0.81957483,0.7355939,0.86779696,0.7910824,0.8955412,0.74710906,0.8735545,0.80040365,0.9002018,0.7934028,0.8967014,0.7869724,0.8934862
56653,0.56073,0.780365,0.5695598,0.7847799,0.524979,0.7624895,0.5291298,0.7645649,0.5464222,0.7732111,0.6046918,0.8023459,0.5624877,0.78124386,0.64965117,0.8248256,0.6501452,0.8250726,0.6130599,0.80652994
56654,0.7402445,0.87012225,0.6893976,0.8446988,0.64868647,0.8243432,0.61927557,0.8096378,0.7811863,0.8905932,0.84800863,0.9240043,0.78265905,0.8913295,0.7965903,0.89829516,0.7950945,0.89754725,0.8661181,0.93305904
56656,0.60880387,0.80440193,0.62457633,0.81228817,0.5376323,0.7688161,0.56429285,0.78214645,0.659419,0.82970953,0.6898804,0.8449402,0.7191914,0.85959566,0.6785718,0.8392859,0.72787595,0.863938,0.72876036,0.8643802
