,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score
50300,0.7151182,0.8575591,0.70051664,0.85025835,0.68791056,0.8439553,0.64075446,0.82037723,0.75765574,0.87882787,0.8152628,0.9076314,0.72902256,0.86451125,0.79880905,0.8994045,0.78955996,0.89478,0.8201378,0.91006887
51419,0.7384864,0.8692432,0.6758121,0.83790606,0.60678804,0.803394,0.60579884,0.8028994,0.7409069,0.8704535,0.8407174,0.92035866,0.78794986,0.8939749,0.78103936,0.8905197,0.77098835,0.8854942,0.8492283,0.9246142
53971,0.64419246,0.8220962,0.6046629,0.80233145,0.5232964,0.7616482,0.5589872,0.7794936,0.6727202,0.8363601,0.73561966,0.86780983,0.71824485,0.8591224,0.72130525,0.8606526,0.72566664,0.8628333,0.7324639,0.8662319
53972,0.63249904,0.8162495,0.6045739,0.802287,0.536339,0.7681695,0.580773,0.7903865,0.62329334,0.8116467,0.72058296,0.8602915,0.6806001,0.8403001,0.7165289,0.85826445,0.72489846,0.8624492,0.72721404,0.86360705
53973,0.7233516,0.8616758,0.65810215,0.8290511,0.6158229,0.80791146,0.59797394,0.798987,0.71630764,0.8581538,0.83600783,0.9180039,0.75314975,0.8765749,0.7777167,0.8888583,0.7944367,0.89721835,0.83868533,0.91934264
53974,0.6038775,0.8019388,0.5721763,0.7860881,0.51918304,0.7595915,0.5604379,0.78021896,0.64499897,0.8224995,0.7236438,0.8618219,0.7015532,0.8507766,0.6849934,0.8424967,0.70036054,0.85018027,0.73725927,0.86862963
53975,0.6421436,0.8210718,0.5979523,0.7989762,0.5642749,0.78213745,0.57998776,0.7899939,0.6462996,0.8231498,0.77260786,0.8863039,0.69308317,0.8465416,0.69134414,0.8456721,0.7354654,0.8677327,0.7512958,0.8756479
53976,0.5475077,0.7737539,0.5347539,0.76737696,0.48017555,0.74008775,0.4871813,0.74359065,0.56479096,0.7823955,0.6523442,0.8261721,0.65177363,0.82588685,0.6085813,0.80429065,0.67933345,0.8396667,0.6763457,0.83817285
53977,0.7239968,0.86199844,0.6440401,0.82202005,0.5792966,0.7896483,0.6087626,0.8043813,0.68443537,0.8422177,0.77222335,0.8861117,0.7286157,0.8643079,0.74399567,0.87199783,0.7496761,0.87483805,0.7558824,0.8779412
53978,0.6936808,0.8468404,0.66045594,0.830228,0.6136296,0.8068148,0.5917336,0.7958668,0.73912036,0.8695602,0.8071617,0.90358084,0.7417072,0.8708536,0.7713165,0.88565826,0.74797034,0.8739852,0.8068298,0.9034149
53979,0.71207833,0.85603917,0.68404686,0.84202343,0.604981,0.8024905,0.63162756,0.8158138,0.72025675,0.8601284,0.7948691,0.8974346,0.7120601,0.85603005,0.7821545,0.8910773,0.762177,0.8810885,0.76416266,0.88208133
53981,0.6289078,0.8144539,0.62973845,0.8148692,0.54939055,0.7746953,0.6136203,0.80681014,0.6512598,0.8256299,0.73363864,0.8668193,0.7114738,0.8557369,0.7299961,0.86499804,0.7346654,0.8673327,0.73559296,0.8677965
54796,0.6052385,0.8026192,0.59485984,0.7974299,0.49355912,0.74677956,0.55670714,0.7783536,0.55015355,0.77507675,0.6241834,0.8120917,0.60678124,0.8033906,0.67584395,0.837922,0.6589389,0.82946944,0.64200085,0.82100046
54797,0.713769,0.8568845,0.71113133,0.85556567,0.6602765,0.8301382,0.6177455,0.80887276,0.754158,0.877079,0.84255636,0.9212782,0.75303644,0.87651825,0.82076097,0.9103805,0.7622386,0.8811193,0.8123386,0.9061693
54798,0.66705775,0.8335289,0.6942392,0.84711957,0.5751344,0.7875672,0.62584573,0.81292284,0.7091168,0.8545584,0.75478196,0.877391,0.74701357,0.8735068,0.7486018,0.8743009,0.8081973,0.90409863,0.78439146,0.8921957
54799,0.5346309,0.76731545,0.55367553,0.77683777,0.4533326,0.72666633,0.51745236,0.7587262,0.5616689,0.78083444,0.6463727,0.82318634,0.63862854,0.81931424,0.6340562,0.8170281,0.70974433,0.85487217,0.7211908,0.8605954
54800,0.69015133,0.84507567,0.71148825,0.8557441,0.59906113,0.79953057,0.62218744,0.8110937,0.69071937,0.8453597,0.72481483,0.86240745,0.7268943,0.8634472,0.78697085,0.8934854,0.7507826,0.8753913,0.7358438,0.8679219
56453,0.65802836,0.8290142,0.6659658,0.8329829,0.60105217,0.8005261,0.61903,0.809515,0.70948756,0.8547438,0.74719024,0.8735951,0.7829374,0.8914687,0.72725224,0.8636261,0.7921159,0.89605796,0.78804994,0.89402497
56528,0.57453513,0.78726757,0.52299273,0.76149637,0.4592433,0.72962165,0.5512058,0.77560294,0.5777515,0.78887576,0.64649963,0.8232498,0.63975716,0.8198786,0.60964864,0.80482435,0.6624586,0.8312293,0.63589734,0.8179487
56542,0.67805266,0.83902633,0.6079388,0.8039694,0.5737533,0.7868767,0.5899905,0.79499525,0.6800453,0.8400227,0.7816706,0.8908353,0.71767265,0.8588363,0.76441646,0.8822082,0.71643865,0.8582193,0.76054126,0.8802706
56543,0.54095036,0.77047515,0.51497346,0.7574867,0.4439324,0.7219662,0.47711068,0.7385553,0.5277502,0.7638751,0.5796698,0.78983486,0.61113703,0.8055685,0.58763826,0.7938191,0.61366963,0.8068348,0.6044833,0.8022417
56544,0.66336626,0.83168316,0.6457541,0.82287705,0.5762624,0.78813124,0.6011187,0.80055934,0.68639934,0.8431997,0.7876127,0.89380634,0.76053536,0.8802677,0.7476191,0.8738096,0.7747941,0.88739705,0.8264148,0.9132074
56545,0.67577696,0.8378885,0.707435,0.8537175,0.5935048,0.7967524,0.60982674,0.8049134,0.67116815,0.83558404,0.6464083,0.82320416,0.65180135,0.8259007,0.73246366,0.8662318,0.7097479,0.85487396,0.67307854,0.83653927
56618,0.6737244,0.8368622,0.6957854,0.8478927,0.60404676,0.8020234,0.65221095,0.8261055,0.6877167,0.84385836,0.7164904,0.8582452,0.6893388,0.8446694,0.7837826,0.8918913,0.7868433,0.89342165,0.7634672,0.8817336
56619,0.6367785,0.81838924,0.6195892,0.8097946,0.5371909,0.76859546,0.5811235,0.79056174,0.65028,0.82514,0.74461544,0.8723077,0.70693403,0.853467,0.7050876,0.85254383,0.7297693,0.8648846,0.7544427,0.87722135
56629,0.6978103,0.84890515,0.6694247,0.8347124,0.57008815,0.7850441,0.63561136,0.81780565,0.7036031,0.8518015,0.8193463,0.90967315,0.7497356,0.8748678,0.80769837,0.9038492,0.7510339,0.87551695,0.81568134,0.90784067
56630,0.70783234,0.85391617,0.6861554,0.84307766,0.6039016,0.8019508,0.64008737,0.8200437,0.68682456,0.8434123,0.7484225,0.87421125,0.7236022,0.8618011,0.769928,0.884964,0.7633234,0.8816617,0.7737634,0.8868817
56631,0.58578676,0.7928934,0.62914294,0.8145715,0.5202794,0.7601397,0.61991525,0.8099576,0.6416242,0.8208121,0.6444665,0.82223326,0.6585534,0.8292767,0.69981456,0.8499073,0.7007398,0.85036993,0.7035245,0.85176224
56632,0.6998652,0.8499326,0.67014015,0.8350701,0.6072575,0.80362874,0.65009516,0.8250476,0.70843136,0.8542157,0.79190195,0.895951,0.7492244,0.8746122,0.79506195,0.897531,0.7528428,0.8764214,0.7978054,0.8989027
56633,0.68389153,0.84194577,0.656147,0.8280735,0.5865545,0.79327726,0.59064084,0.7953204,0.67953813,0.83976907,0.7400899,0.87004495,0.7374714,0.8687357,0.7074971,0.85374856,0.72060895,0.8603045,0.75549734,0.87774867
56634,0.61957526,0.80978763,0.6018391,0.80091953,0.5288073,0.76440364,0.54960644,0.7748032,0.63959837,0.8197992,0.7291342,0.8645671,0.68807006,0.844035,0.69953847,0.84976923,0.7370229,0.86851144,0.7332443,0.86662215
56635,0.5625329,0.78126645,0.6040298,0.8020149,0.54418737,0.77209365,0.5328201,0.76641005,0.57869124,0.7893456,0.66959107,0.83479553,0.6425276,0.8212638,0.6835604,0.8417802,0.6704674,0.8352337,0.69518054,0.84759027
56637,0.6090041,0.804502,0.5957507,0.79787534,0.51903224,0.7595161,0.60884523,0.8044226,0.63234496,0.8161725,0.69852555,0.8492628,0.663777,0.8318885,0.7263594,0.8631797,0.6771636,0.8385818,0.70729595,0.85364795
56638,0.7329451,0.86647254,0.68413854,0.84206927,0.60267437,0.8013372,0.5914524,0.7957262,0.74179304,0.8708965,0.8312871,0.9156436,0.7776542,0.8888271,0.7824167,0.89120835,0.7436431,0.8718215,0.81456584,0.90728295
56639,0.546099,0.7730495,0.5644306,0.7822153,0.49761504,0.74880755,0.5113058,0.7556529,0.60758686,0.80379343,0.70760256,0.85380125,0.7089026,0.8544513,0.66372967,0.83186483,0.7028454,0.85142267,0.7325369,0.86626846
56641,0.626338,0.813169,0.5737293,0.78686464,0.52870554,0.7643528,0.5632671,0.78163356,0.6478207,0.82391036,0.7628828,0.8814414,0.7299938,0.8649969,0.7025547,0.85127735,0.7149633,0.85748166,0.7851016,0.8925508
56642,0.61309385,0.8065469,0.5843384,0.7921692,0.5273881,0.76369405,0.5385901,0.76929504,0.618933,0.8094665,0.70061886,0.85030943,0.7101493,0.85507464,0.68162405,0.840812,0.71560353,0.8578018,0.7162374,0.8581187
56643,0.7626602,0.88133013,0.69543445,0.8477172,0.68258154,0.8412908,0.6789456,0.8394728,0.7006128,0.8503064,0.73658085,0.8682904,0.6243056,0.8121528,0.76582456,0.8829123,0.7154466,0.8577233,0.69931316,0.8496566
56644,0.7187514,0.8593757,0.6778841,0.83894205,0.5961242,0.7980621,0.65651834,0.82825917,0.6980028,0.8490014,0.7435956,0.8717978,0.73072296,0.86536145,0.74425364,0.8721268,0.74210733,0.8710537,0.74942803,0.874714
56645,0.6740036,0.8370018,0.67910755,0.8395538,0.5894066,0.7947033,0.6605549,0.83027744,0.670672,0.83533597,0.7338785,0.86693925,0.6973845,0.84869224,0.78123945,0.89061975,0.74311876,0.8715594,0.75452375,0.8772619
56646,0.58310497,0.7915525,0.5686351,0.78431755,0.47463167,0.73731583,0.58390605,0.791953,0.57645786,0.7882289,0.63235307,0.81617653,0.63237,0.816185,0.6235933,0.81179667,0.66581696,0.8329085,0.66117936,0.83058965
56647,0.67832446,0.83916223,0.68635464,0.8431773,0.6216136,0.8108068,0.66657305,0.8332865,0.70341873,0.85170937,0.72283083,0.8614154,0.7342119,0.86710596,0.7456178,0.87280893,0.7532269,0.87661344,0.75163066,0.87581533
56648,0.7755504,0.8877752,0.68594766,0.8429738,0.6295864,0.8147932,0.6572125,0.82860625,0.73465073,0.86732537,0.7924496,0.8962248,0.7211089,0.86055446,0.78895444,0.89447725,0.74226713,0.87113357,0.76997906,0.8849895
56649,0.6637151,0.83185756,0.6785061,0.83925307,0.5497779,0.774889,0.59626555,0.7981328,0.6677315,0.83386576,0.71376836,0.8568842,0.678704,0.839352,0.70581067,0.85290533,0.72868156,0.8643408,0.7159722,0.8579861
56650,0.72356474,0.8617824,0.68244743,0.8412237,0.6125628,0.8062814,0.61002284,0.8050114,0.7430966,0.8715483,0.807696,0.903848,0.77341247,0.88670623,0.7658327,0.88291633,0.75112605,0.875563,0.79005885,0.8950294
56651,0.6834697,0.8417349,0.62349445,0.8117472,0.6105088,0.8052544,0.5662815,0.7831408,0.7229271,0.86146355,0.83201486,0.9160074,0.7329854,0.8664927,0.76812285,0.88406146,0.752529,0.8762645,0.80117357,0.9005868
56652,0.74217534,0.8710877,0.7292007,0.86460036,0.64568704,0.82284355,0.6760045,0.83800226,0.76594776,0.8829739,0.82678854,0.9133943,0.7554509,0.8777255,0.83951676,0.9197584,0.8235665,0.9117832,0.8200771,0.9100386
56653,0.66087,0.83043504,0.6233784,0.8116892,0.580807,0.7904035,0.5770555,0.7885277,0.6541214,0.8270607,0.7444202,0.8722101,0.7021071,0.85105354,0.7267163,0.86335814,0.741634,0.870817,0.7567737,0.87838686
56654,0.7273097,0.86365485,0.7023103,0.85115516,0.6124563,0.80622816,0.6406385,0.82031924,0.76347697,0.8817385,0.8152865,0.90764326,0.7874003,0.8937001,0.7947217,0.89736086,0.80787045,0.9039352,0.82953703,0.9147685
56656,0.6309159,0.81545794,0.6374612,0.8187306,0.56648386,0.7832419,0.57830524,0.7891526,0.68142676,0.8407134,0.6954076,0.8477038,0.70817095,0.85408545,0.6916758,0.8458379,0.6982416,0.8491208,0.7155999,0.85779995
56657,0.6080619,0.80403095,0.55833805,0.779169,0.48574793,0.74287397,0.52276886,0.7613844,0.63659424,0.81829715,0.7800651,0.89003253,0.70382154,0.85191077,0.6917052,0.8458526,0.7009032,0.8504516,0.77813196,0.889066
56661,0.6996888,0.8498444,0.6512743,0.82563716,0.56559604,0.78279805,0.5823693,0.79118466,0.6831566,0.8415783,0.7921761,0.89608806,0.6793409,0.8396704,0.73867226,0.8693361,0.7365867,0.86829334,0.76911545,0.8845577
56662,0.73241925,0.8662096,0.7237752,0.8618876,0.61768925,0.8088446,0.6696891,0.8348446,0.7240257,0.86201286,0.7830293,0.89151466,0.7259989,0.86299944,0.81440175,0.9072009,0.7989111,0.89945555,0.80850637,0.9042532
56725,0.65975106,0.8298755,0.6619674,0.8309837,0.59925336,0.7996267,0.6348093,0.8174046,0.6801178,0.8400589,0.7622107,0.88110536,0.7615067,0.88075334,0.75938517,0.87969255,0.7418767,0.87093836,0.7806237,0.89031184
56795,0.5782664,0.7891332,0.59632933,0.79816467,0.52121294,0.76060647,0.52349746,0.76174873,0.61708105,0.8085405,0.6748358,0.8374179,0.71167624,0.8558381,0.71697915,0.8584896,0.7201346,0.8600673,0.6982139,0.8491069
56796,0.5934483,0.79672414,0.63560367,0.81780183,0.5307102,0.7653551,0.5518331,0.7759166,0.66873604,0.834368,0.6957359,0.84786797,0.7293013,0.8646506,0.72221446,0.86110723,0.7019282,0.85096407,0.7080767,0.85403836
56797,0.7346238,0.8673119,0.73791295,0.86895645,0.6222639,0.81113195,0.64714587,0.82357293,0.74933463,0.8746673,0.7579646,0.8789823,0.7093347,0.8546673,0.8048848,0.9024424,0.7364091,0.8682046,0.7404262,0.8702131
56798,0.6402346,0.8201173,0.6420032,0.8210016,0.60390055,0.8019503,0.58190256,0.79095125,0.66308564,0.83154285,0.7088926,0.8544463,0.7341047,0.8670523,0.7228128,0.8614064,0.71125853,0.85562927,0.73670304,0.8683515
56799,0.67075765,0.8353788,0.6079229,0.80396146,0.53839195,0.769196,0.5704801,0.78524005,0.6645512,0.8322756,0.7475605,0.87378025,0.7349955,0.86749774,0.7250351,0.86251754,0.7191931,0.85959655,0.76704746,0.8835237
56800,0.65915346,0.82957673,0.6300664,0.8150332,0.58363914,0.7918196,0.5936775,0.79683876,0.59631836,0.7981592,0.6454543,0.82272714,0.5618533,0.78092664,0.68250835,0.8412542,0.63224757,0.8161238,0.6267439,0.81337196
56801,0.65660024,0.8283001,0.6498754,0.8249377,0.57340086,0.7867004,0.58654773,0.79327387,0.66390705,0.8319535,0.7749304,0.88746524,0.6993242,0.84966207,0.76034594,0.88017297,0.72301817,0.8615091,0.7494949,0.87474746
56802,0.68718415,0.84359205,0.65938735,0.8296937,0.6130649,0.80653244,0.6384982,0.8192491,0.6864953,0.84324765,0.77114385,0.88557196,0.7443849,0.87219244,0.7590338,0.8795169,0.78312767,0.89156383,0.7694106,0.8847053
56803,0.7429644,0.8714822,0.7340207,0.86701035,0.6544008,0.8272004,0.6498828,0.8249414,0.7488338,0.8744169,0.82602286,0.91301143,0.77154243,0.8857712,0.80585283,0.90292645,0.78666306,0.8933315,0.81925476,0.9096274
