,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score
50300,0.7453604,0.8726802,0.7065034,0.8532517,0.71504104,0.8575205,0.6496658,0.8248329,0.7920133,0.89600664,0.8401729,0.92008644,0.7569411,0.87847054,0.8264395,0.91321975,0.80530226,0.90265113,0.8404501,0.920225
51419,0.7162441,0.85812205,0.6649451,0.83247256,0.6138798,0.8069399,0.6039721,0.80198604,0.7267063,0.86335313,0.8243203,0.91216016,0.76409847,0.8820492,0.79123193,0.89561594,0.74896276,0.8744814,0.8232242,0.9116121
53971,0.69572175,0.8478609,0.6322702,0.8161351,0.5529939,0.77649695,0.5797589,0.78987944,0.7393292,0.8696646,0.8217447,0.91087234,0.7936008,0.8968004,0.76631546,0.88315773,0.7697025,0.8848512,0.8096324,0.9048162
53972,0.62380195,0.811901,0.65101385,0.8255069,0.5478977,0.77394885,0.5999305,0.79996526,0.6363288,0.8181644,0.706545,0.8532725,0.70145154,0.85072577,0.7329922,0.8664961,0.73481166,0.86740583,0.72743994,0.86371994
53973,0.6757215,0.83786076,0.62184346,0.8109217,0.5859981,0.792999,0.622352,0.811176,0.67003393,0.83501697,0.7641572,0.8820786,0.72706926,0.8635346,0.74115527,0.87057763,0.77224255,0.8861213,0.79062176,0.8953109
53974,0.6128321,0.80641603,0.5684335,0.78421676,0.50793695,0.7539685,0.5495988,0.7747994,0.64736223,0.8236811,0.75696576,0.8784829,0.73412734,0.86706364,0.67633665,0.8381683,0.7217561,0.86087805,0.77281225,0.8864061
53975,0.6386143,0.81930715,0.56064075,0.7803204,0.5548401,0.77742004,0.5585172,0.7792586,0.6353283,0.81766415,0.7684312,0.8842156,0.66691506,0.8334575,0.67770374,0.83885187,0.7243391,0.86216956,0.7341819,0.86709094
53976,0.55006695,0.7750335,0.5359913,0.76799566,0.4890067,0.7445034,0.5035502,0.7517751,0.57039136,0.7851957,0.64225817,0.8211291,0.65992594,0.82996297,0.6069753,0.80348766,0.6730666,0.8365333,0.66638446,0.8331922
53977,0.7472509,0.87362546,0.64771056,0.8238553,0.59981966,0.79990983,0.58488613,0.79244304,0.7425907,0.87129533,0.8278997,0.91394985,0.7612232,0.8806116,0.7656732,0.8828366,0.75279945,0.87639976,0.79836017,0.89918005
53978,0.6679789,0.83398944,0.61182845,0.8059142,0.573451,0.7867255,0.5628282,0.7814141,0.7101443,0.85507214,0.8042709,0.9021355,0.6967769,0.84838843,0.7275264,0.8637632,0.7302913,0.8651457,0.76703215,0.8835161
53979,0.770501,0.8852505,0.72059053,0.8602953,0.6458353,0.82291764,0.6385516,0.8192758,0.7741428,0.8870714,0.86545396,0.932727,0.76800305,0.8840015,0.8158324,0.9079162,0.76993144,0.8849657,0.8098625,0.90493125
53981,0.63946223,0.8197311,0.6353532,0.8176766,0.5440004,0.7720002,0.6135827,0.8067913,0.66902375,0.8345119,0.7264903,0.8632451,0.7151973,0.85759866,0.73236424,0.8661821,0.71306455,0.8565323,0.73211116,0.8660556
54796,0.6363962,0.8181981,0.6049688,0.8024844,0.49853414,0.7492671,0.59743106,0.79871553,0.58225954,0.79112977,0.6600232,0.8300116,0.639312,0.819656,0.69118273,0.84559137,0.6830363,0.84151816,0.6793829,0.83969146
54797,0.73472655,0.8673633,0.68852913,0.84426457,0.67404145,0.83702075,0.59374833,0.79687417,0.764444,0.882222,0.86593854,0.9329693,0.7510571,0.8755286,0.81108,0.90554,0.7513159,0.8756579,0.80387914,0.9019396
54798,0.68503106,0.8425155,0.70961297,0.8548065,0.6124829,0.80624145,0.6496564,0.8248282,0.7071769,0.85358846,0.764137,0.8820685,0.72952735,0.8647637,0.7643424,0.8821712,0.8028327,0.90141636,0.7832572,0.8916286
54799,0.5417453,0.77087265,0.57706857,0.7885343,0.4687088,0.7343544,0.5156859,0.75784296,0.58040905,0.7902045,0.67350465,0.8367523,0.6699513,0.83497566,0.65273345,0.8263667,0.73857874,0.8692894,0.7440406,0.8720203
54800,0.6802927,0.84014636,0.6917939,0.84589696,0.6109543,0.80547714,0.6089572,0.8044786,0.665087,0.8325435,0.7002718,0.8501359,0.68967086,0.8448354,0.7602954,0.8801477,0.7272365,0.86361825,0.71358156,0.8567908
56453,0.65326905,0.8266345,0.64332104,0.8216605,0.5669402,0.7834701,0.5810066,0.79050326,0.70331043,0.85165524,0.7444902,0.8722451,0.7882167,0.89410836,0.7070104,0.8535052,0.7521422,0.8760711,0.77748847,0.88874424
56528,0.6164326,0.80821633,0.5998572,0.7999286,0.50263274,0.75131637,0.5727223,0.78636116,0.65105903,0.8255295,0.7191682,0.8595841,0.7393957,0.8696978,0.68385124,0.8419256,0.73417854,0.8670893,0.73445284,0.8672264
56542,0.71380377,0.8569019,0.6953713,0.8476857,0.6082914,0.8041457,0.6448138,0.8224069,0.7236978,0.8618489,0.8043563,0.90217817,0.75633776,0.8781689,0.8001784,0.9000892,0.7741761,0.88708806,0.8085689,0.9042845
56543,0.5788591,0.78942955,0.5611563,0.78057814,0.4959132,0.74795663,0.49261558,0.7463078,0.5974059,0.79870296,0.63683313,0.8184166,0.6695498,0.8347749,0.63101965,0.8155098,0.6570379,0.828519,0.64603126,0.82301563
56544,0.6696913,0.83484566,0.67101896,0.8355095,0.6030683,0.8015342,0.64396715,0.8219836,0.6929706,0.84648526,0.76739776,0.8836989,0.7504535,0.87522674,0.75734097,0.87867045,0.7656609,0.88283044,0.81022745,0.9051137
56545,0.60589325,0.8029466,0.6576524,0.8288262,0.5281608,0.7640804,0.5617479,0.78087395,0.6019088,0.8009544,0.5999974,0.7999987,0.63946915,0.8197346,0.7018788,0.8509394,0.6681462,0.83407307,0.62126815,0.8106341
56618,0.67804056,0.83902025,0.7322607,0.86613035,0.6266254,0.8133127,0.66562897,0.83281446,0.70267546,0.85133773,0.7158536,0.8579268,0.7114204,0.8557102,0.8137961,0.906898,0.7744674,0.88723373,0.7481843,0.87409216
56619,0.6510262,0.8255131,0.626639,0.8133195,0.5455497,0.7727748,0.58674777,0.7933739,0.65164465,0.82582235,0.7472689,0.87363446,0.7123244,0.8561622,0.70829123,0.85414565,0.72977567,0.86488783,0.75650334,0.8782517
56629,0.7301846,0.8650923,0.6728581,0.83642906,0.60464334,0.8023217,0.62543535,0.8127177,0.70580745,0.8529037,0.8274424,0.9137212,0.73755056,0.86877525,0.8092881,0.904644,0.73608965,0.86804485,0.8124161,0.90620804
56630,0.69921124,0.8496056,0.64952564,0.8247628,0.5725113,0.78625566,0.5792067,0.78960335,0.690455,0.8452275,0.7982719,0.89913595,0.744872,0.872436,0.7725579,0.886279,0.77462983,0.8873149,0.80717343,0.90358675
56631,0.58314383,0.7915719,0.583041,0.7915205,0.50011337,0.7500567,0.56088054,0.7804403,0.62192434,0.8109622,0.6804615,0.84023076,0.6508509,0.82542545,0.6729139,0.83645695,0.71256936,0.8562847,0.74748325,0.8737416
56632,0.6655828,0.8327914,0.6535219,0.82676095,0.56689835,0.7834492,0.6337668,0.8168834,0.66795945,0.8339797,0.74212164,0.87106085,0.7372767,0.86863834,0.767038,0.883519,0.7562889,0.87814444,0.7812164,0.8906082
56633,0.6799961,0.839998,0.646422,0.823211,0.58523035,0.7926152,0.5877836,0.7938918,0.68023115,0.84011555,0.7355938,0.8677969,0.74677837,0.8733892,0.72804147,0.8640207,0.694916,0.847458,0.7494025,0.87470126
56634,0.65795064,0.8289753,0.65858835,0.8292942,0.59344375,0.7967219,0.6260555,0.81302774,0.6773445,0.8386723,0.7428781,0.87143904,0.6920685,0.8460343,0.7613826,0.8806913,0.7594087,0.87970436,0.7569032,0.8784516
56635,0.5844698,0.7922349,0.6170734,0.8085367,0.519217,0.7596085,0.52466315,0.7623316,0.6043949,0.80219746,0.70656043,0.8532802,0.68774605,0.843873,0.7011713,0.85058564,0.6840089,0.8420044,0.7265676,0.8632838
56637,0.6496074,0.8248037,0.6411096,0.8205548,0.5576376,0.7788188,0.6314707,0.81573534,0.70705193,0.853526,0.7577163,0.87885815,0.73503155,0.8675158,0.772532,0.886266,0.74701416,0.8735071,0.7592491,0.87962455
56638,0.70547783,0.8527389,0.68974507,0.84487253,0.62856233,0.81428117,0.5961524,0.7980762,0.7320547,0.86602736,0.7920172,0.8960086,0.76876724,0.8843836,0.77272165,0.8863608,0.74469924,0.8723496,0.783654,0.891827
56639,0.6166197,0.80830985,0.61464113,0.8073206,0.56377554,0.78188777,0.55747515,0.77873755,0.680861,0.8404305,0.75695956,0.8784798,0.7562825,0.8781413,0.7417526,0.8708763,0.73948157,0.8697408,0.760723,0.8803615
56641,0.65131366,0.82565683,0.6155486,0.8077743,0.5457173,0.7728586,0.58242536,0.7912127,0.6786361,0.83931804,0.7755883,0.88779414,0.75417125,0.8770856,0.71706045,0.8585302,0.72533077,0.8626654,0.78975725,0.8948786
56642,0.63182384,0.8159119,0.5837692,0.7918846,0.5325141,0.76625705,0.5446404,0.7723202,0.6299022,0.81495106,0.70411325,0.8520566,0.7105086,0.8552543,0.6726421,0.83632106,0.7179521,0.858976,0.72922873,0.86461437
56643,0.72149444,0.8607472,0.6864158,0.8432079,0.6596122,0.8298061,0.6579344,0.8289672,0.68028736,0.8401437,0.7173643,0.85868216,0.61888117,0.8094406,0.75497836,0.8774892,0.70976126,0.85488063,0.6844059,0.84220296
56644,0.69448304,0.8472415,0.65994036,0.8299702,0.5942184,0.7971092,0.6258596,0.8129298,0.7047159,0.852358,0.7609698,0.88048494,0.7495367,0.8747684,0.7554915,0.87774575,0.7480518,0.87402594,0.77513605,0.887568
56645,0.6615238,0.8307619,0.66507924,0.8325396,0.5839212,0.7919606,0.63799775,0.8189989,0.6637569,0.8318784,0.71106374,0.8555319,0.6892758,0.8446379,0.7676144,0.8838072,0.70497835,0.8524892,0.7200569,0.86002845
56646,0.5270499,0.76352495,0.5309756,0.7654878,0.43130386,0.7156519,0.5422869,0.77114344,0.52751136,0.7637557,0.5796298,0.7898149,0.58100414,0.7905021,0.57593334,0.78796667,0.6365882,0.8182941,0.6133428,0.8066714
56647,0.7039994,0.8519997,0.7346793,0.8673396,0.65428805,0.827144,0.6692271,0.83461356,0.7340932,0.8670466,0.74458617,0.8722931,0.737251,0.8686255,0.76289535,0.8814477,0.7532309,0.87661546,0.7622032,0.8811016
56648,0.6636834,0.8318417,0.6344921,0.8172461,0.564058,0.78202903,0.6447673,0.82238364,0.66604996,0.833025,0.7169084,0.8584542,0.6852084,0.84260416,0.73147184,0.8657359,0.72624207,0.86312103,0.7277072,0.8638536
56649,0.6317642,0.8158821,0.62221694,0.81110847,0.53150725,0.7657536,0.5419297,0.77096486,0.62622917,0.8131146,0.69653225,0.8482661,0.64297456,0.8214873,0.6673041,0.833652,0.67553437,0.8377672,0.6825799,0.84128994
56650,0.7631639,0.88158196,0.68915254,0.84457624,0.6196712,0.8098356,0.6248198,0.8124099,0.76466763,0.8823338,0.854342,0.927171,0.7996502,0.8998251,0.79748034,0.8987402,0.7731397,0.88656986,0.8312637,0.9156319
56651,0.6814723,0.84073615,0.60796756,0.8039838,0.5806787,0.79033935,0.5586487,0.77932435,0.71055007,0.85527503,0.7982764,0.8991382,0.7156038,0.8578019,0.7439086,0.8719543,0.72677886,0.86338943,0.7770882,0.8885441
56652,0.6986021,0.84930104,0.7015562,0.8507781,0.57803005,0.78901505,0.6370938,0.8185469,0.7146058,0.8573029,0.78219795,0.891099,0.744107,0.8720535,0.79006714,0.8950336,0.7944964,0.8972482,0.7833046,0.8916523
56653,0.6756746,0.83783734,0.63578516,0.81789255,0.5768961,0.78844804,0.5854368,0.7927184,0.6671101,0.83355504,0.7609926,0.88049626,0.6956481,0.84782404,0.7400857,0.87004286,0.72992617,0.86496305,0.74236053,0.8711803
56654,0.70243156,0.8512158,0.68099445,0.84049726,0.60881734,0.80440867,0.63015294,0.8150765,0.7645953,0.88229764,0.81238174,0.9061909,0.7951259,0.897563,0.7842916,0.8921458,0.80174816,0.9008741,0.8284625,0.91423124
56656,0.5984278,0.7992139,0.60282254,0.8014113,0.532549,0.7662745,0.5523721,0.77618605,0.63224244,0.8161212,0.65816027,0.8290801,0.6634499,0.83172494,0.64232457,0.8211623,0.65769637,0.8288482,0.6771475,0.83857375
56657,0.57261616,0.78630805,0.52367836,0.76183915,0.48197654,0.74098825,0.52195185,0.76097596,0.5895753,0.79478765,0.71744007,0.85872006,0.6717277,0.8358638,0.64994454,0.8249723,0.66793895,0.8339695,0.73097265,0.8654863
56661,0.685462,0.842731,0.6642982,0.8321491,0.55800784,0.7790039,0.5856972,0.7928486,0.6819149,0.84095746,0.7911072,0.8955536,0.6839532,0.84197664,0.7291188,0.8645594,0.7338772,0.8669386,0.76153386,0.8807669
56662,0.7222335,0.86111677,0.69003963,0.8450198,0.5909455,0.79547274,0.65360826,0.82680416,0.6953644,0.84768224,0.81076,0.90538,0.7107897,0.85539484,0.797948,0.898974,0.8036107,0.90180534,0.82090956,0.91045475
56725,0.6894386,0.8447193,0.6674286,0.8337143,0.6141392,0.8070696,0.6378918,0.8189459,0.70225525,0.8511276,0.7886392,0.8943196,0.7491668,0.87458336,0.78666556,0.8933328,0.75062025,0.8753101,0.791714,0.895857
56795,0.5991858,0.7995929,0.61856794,0.809284,0.52868414,0.76434207,0.53949004,0.769745,0.63102126,0.81551063,0.7044816,0.8522408,0.735185,0.8675925,0.7222185,0.86110926,0.7440746,0.8720373,0.740581,0.8702905
56796,0.52620715,0.7631036,0.56317127,0.78158563,0.4699248,0.7349624,0.49834982,0.7491749,0.56658816,0.7832941,0.58924633,0.79462314,0.63367736,0.8168387,0.6299989,0.81499946,0.6006263,0.8003131,0.61590225,0.8079511
56797,0.7182463,0.8591231,0.6951213,0.84756064,0.60090756,0.8004538,0.6295581,0.81477904,0.72865224,0.8643261,0.7485905,0.87429523,0.68893564,0.8444678,0.78432316,0.8921616,0.738334,0.869167,0.7437418,0.8718709
56798,0.67925096,0.8396255,0.69634855,0.8481743,0.6316011,0.81580055,0.6264136,0.8132068,0.7212918,0.8606459,0.7456794,0.8728397,0.7785031,0.8892516,0.7721257,0.88606286,0.7527989,0.87639946,0.77315116,0.8865756
56799,0.5623201,0.78116006,0.52915984,0.7645799,0.43087423,0.7154371,0.50563174,0.75281584,0.57728267,0.78864133,0.6386932,0.8193466,0.65871215,0.8293561,0.63017505,0.81508756,0.623849,0.81192446,0.661403,0.8307015
56800,0.6887677,0.84438384,0.64482355,0.8224118,0.58370197,0.791851,0.64907926,0.82453966,0.6186786,0.8093393,0.6521424,0.8260712,0.5963057,0.79815286,0.67937756,0.8396888,0.6647741,0.8323871,0.6403316,0.8201658
56801,0.6744518,0.8372259,0.64949304,0.8247465,0.5748827,0.7874414,0.5940776,0.7970388,0.7033578,0.8516789,0.7944652,0.8972326,0.72535276,0.8626764,0.7620061,0.881003,0.7478708,0.8739354,0.7699351,0.88496757
56802,0.68699217,0.8434961,0.657547,0.8287735,0.6215641,0.8107821,0.60829854,0.80414927,0.6723166,0.8361583,0.75497067,0.87748533,0.71583277,0.85791636,0.73504406,0.867522,0.7738032,0.8869016,0.7317641,0.86588204
56803,0.75400484,0.8770024,0.7402352,0.8701176,0.64389354,0.82194674,0.64265835,0.8213292,0.7456363,0.8728181,0.84223855,0.9211193,0.7762679,0.88813394,0.82554746,0.9127737,0.76990384,0.88495195,0.8282648,0.91413236
