,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
30845,0.67365676,0.83682835,0.63654613,0.81827307,0.5947275,0.79736376,0.63216746,0.8160837,0.6828426,0.8414213,0.82644403,0.913222,0.73319924,0.8665996,0.7836065,0.89180326,0.7792362,0.8896181,0.8143236,0.90716183
32072,0.7562614,0.8781307,0.7076198,0.8538099,0.7008311,0.8504156,0.66901946,0.83450973,0.73174924,0.86587465,0.8170231,0.9085115,0.7233389,0.8616694,0.8142607,0.90713036,0.7672533,0.88362664,0.78589225,0.8929461
46443,0.7516494,0.8758247,0.74323076,0.8716154,0.6916694,0.84583473,0.6741282,0.8370641,0.7774543,0.8887272,0.8389827,0.91949135,0.76192385,0.8809619,0.83768743,0.91884375,0.79543626,0.89771813,0.8549078,0.9274539
46506,0.4697433,0.7348716,0.5347658,0.76738286,0.44613394,0.723067,0.48968694,0.7448435,0.5200484,0.7600242,0.59319353,0.79659677,0.54103076,0.7705154,0.61981994,0.80990994,0.6602526,0.8301263,0.656223,0.8281115
50300,0.69607306,0.8480365,0.69797754,0.8489888,0.68345636,0.8417282,0.65542877,0.8277144,0.74439466,0.87219733,0.80029094,0.9001455,0.72112644,0.8605632,0.80969167,0.90484583,0.7786746,0.8893373,0.82728887,0.91364443
51419,0.68013436,0.84006715,0.6812062,0.8406031,0.610495,0.8052475,0.6199797,0.8099898,0.70815724,0.85407865,0.7631583,0.88157916,0.7420375,0.87101877,0.78608096,0.8930405,0.7730148,0.8865074,0.79430604,0.897153
53971,0.57260156,0.7863008,0.551448,0.775724,0.48730415,0.7436521,0.4932589,0.7466295,0.5703974,0.7851987,0.6041746,0.8020873,0.6146197,0.80730987,0.61439437,0.8071972,0.6632967,0.83164835,0.6324381,0.8162191
53972,0.61991054,0.80995524,0.64162695,0.8208135,0.5358032,0.7679016,0.5720948,0.7860474,0.6303586,0.8151793,0.67207915,0.83603954,0.6739886,0.8369943,0.68580925,0.8429046,0.70033014,0.85016507,0.67104286,0.83552146
53973,0.672375,0.8361875,0.6322968,0.8161484,0.57106507,0.78553253,0.5778183,0.78890914,0.6992047,0.84960234,0.82559764,0.9127988,0.7479025,0.87395126,0.79886127,0.89943063,0.7670497,0.88352484,0.817907,0.9089535
53974,0.59336555,0.7966828,0.5343082,0.7671541,0.49487728,0.74743867,0.5318897,0.76594484,0.6190715,0.80953574,0.7061546,0.8530773,0.661679,0.8308395,0.65661615,0.8283081,0.6784173,0.83920866,0.7037089,0.85185444
53975,0.6186741,0.809337,0.5687141,0.7843571,0.5691347,0.78456736,0.53795743,0.7689787,0.6290534,0.8145267,0.7790586,0.8895293,0.6623177,0.8311589,0.664578,0.832289,0.7149625,0.85748124,0.73246545,0.86623275
53976,0.5011656,0.7505828,0.44065237,0.7203262,0.42998067,0.7149903,0.45010322,0.72505164,0.4923077,0.74615383,0.63299954,0.81649977,0.6012984,0.80064917,0.56038755,0.7801938,0.62091666,0.8104583,0.6375078,0.8187539
53977,0.70883155,0.8544158,0.63989305,0.8199465,0.58325505,0.7916275,0.6174098,0.8087049,0.7034501,0.85172504,0.7812036,0.8906018,0.73158866,0.8657943,0.7498801,0.87494004,0.75088894,0.8754445,0.7611981,0.880599
53978,0.67661333,0.83830667,0.648576,0.824288,0.5927077,0.7963538,0.58086926,0.7904346,0.70794857,0.8539743,0.7941693,0.89708465,0.7031151,0.85155755,0.7335925,0.86679626,0.7449486,0.8724743,0.78964573,0.89482284
53979,0.7220001,0.86100006,0.67570794,0.83785397,0.62265635,0.8113282,0.6295506,0.8147753,0.7355187,0.86775935,0.851586,0.925793,0.74528396,0.872642,0.80262345,0.90131176,0.765525,0.8827625,0.80005085,0.9000254
53981,0.6232979,0.81164896,0.6116967,0.80584836,0.5482327,0.77411634,0.59461474,0.7973074,0.661174,0.830587,0.75372666,0.87686336,0.73638976,0.8681949,0.7392057,0.86960286,0.75548863,0.8777443,0.7769604,0.8884802
54796,0.65481615,0.8274081,0.66451573,0.83225787,0.54565835,0.7728292,0.6159203,0.80796015,0.6262008,0.8131004,0.6713358,0.8356679,0.6978092,0.8489046,0.71944225,0.8597211,0.70599043,0.8529952,0.70120764,0.8506038
54797,0.68146944,0.8407347,0.65521526,0.82760763,0.5926329,0.79631644,0.61276174,0.80638087,0.7022182,0.8511091,0.8352297,0.9176148,0.74225986,0.87112993,0.7928244,0.8964122,0.77190185,0.8859509,0.8112079,0.90560395
54798,0.6377032,0.8188516,0.6411711,0.82058555,0.56470156,0.7823508,0.6010015,0.80050075,0.62355393,0.811777,0.694101,0.8470505,0.64357126,0.8217856,0.69419897,0.8470995,0.73150504,0.8657525,0.6898142,0.8449071
54799,0.5404867,0.77024335,0.56864375,0.7843219,0.46474338,0.7323717,0.5454287,0.7727144,0.56503737,0.7825187,0.6374382,0.8187191,0.6489588,0.8244794,0.6485624,0.8242812,0.71477365,0.8573868,0.7220769,0.86103845
54800,0.65493655,0.8274683,0.66683644,0.83341825,0.5882102,0.7941051,0.58986807,0.79493403,0.6899016,0.8449508,0.7135463,0.85677314,0.7504189,0.87520945,0.75142974,0.8757149,0.7343013,0.86715066,0.75664145,0.8783207
56453,0.7139837,0.8569919,0.6659372,0.8329686,0.62186694,0.8109335,0.58560044,0.7928002,0.73053217,0.8652661,0.8322812,0.91614056,0.8006805,0.90034026,0.760828,0.880414,0.77690333,0.8884517,0.82534206,0.912671
56528,0.6293836,0.8146918,0.5865804,0.7932902,0.5087645,0.75438225,0.559197,0.7795985,0.6380454,0.81902266,0.72234774,0.86117387,0.6778999,0.8389499,0.67175424,0.8358771,0.7055135,0.85275674,0.70126724,0.8506336
56542,0.67003876,0.83501935,0.66909987,0.8345499,0.5857929,0.79289645,0.65033996,0.82517,0.7076049,0.85380244,0.7818803,0.8909402,0.75041896,0.87520945,0.7814293,0.89071465,0.7657583,0.88287914,0.7903832,0.8951916
56543,0.68620193,0.84310097,0.62566704,0.81283355,0.55818474,0.7790924,0.5574614,0.7787307,0.6889001,0.84445006,0.75843024,0.8792151,0.7285584,0.8642792,0.7248957,0.86244786,0.74115,0.870575,0.7603859,0.88019294
56544,0.6527429,0.82637143,0.66544557,0.8327228,0.58834183,0.7941709,0.62903714,0.8145186,0.6728631,0.83643156,0.7308582,0.8654291,0.7093972,0.8546986,0.72795117,0.8639756,0.74532163,0.8726608,0.78007984,0.8900399
56545,0.5582073,0.77910364,0.61208683,0.8060434,0.5111592,0.7555796,0.54373294,0.77186644,0.54338765,0.7716938,0.5436879,0.7718439,0.57996,0.78998,0.6404122,0.8202061,0.65629315,0.8281466,0.60733044,0.8036652
56618,0.6694381,0.83471906,0.6719216,0.8359608,0.5841975,0.79209876,0.6117729,0.80588645,0.6726968,0.8363484,0.7373527,0.86867636,0.7180307,0.85901535,0.7742489,0.8871244,0.7707907,0.88539535,0.7623649,0.88118243
56619,0.60045123,0.8002256,0.5914345,0.79571724,0.5108278,0.7554139,0.55112463,0.7755623,0.6228965,0.8114482,0.71124625,0.8556231,0.6868728,0.84343636,0.6678608,0.8339304,0.6913068,0.8456534,0.7209164,0.8604582
56629,0.72462606,0.86231303,0.6985057,0.8492528,0.60226846,0.8011342,0.65445083,0.82722545,0.7166253,0.8583126,0.82690823,0.9134541,0.750618,0.875309,0.81775224,0.9088761,0.73523355,0.8676168,0.8201053,0.91005266
56630,0.66151035,0.8307552,0.6577804,0.8288902,0.5402435,0.77012175,0.59813637,0.7990682,0.6574576,0.8287288,0.75099546,0.8754977,0.7530735,0.8765367,0.7567731,0.87838656,0.76199055,0.8809953,0.7900883,0.89504415
56631,0.5842401,0.79212004,0.6092218,0.8046109,0.51585585,0.7579279,0.57260096,0.7863005,0.60439813,0.80219907,0.6622251,0.83111256,0.63337374,0.81668687,0.6850884,0.8425442,0.7374629,0.86873144,0.75503314,0.87751657
56632,0.72178316,0.8608916,0.6680682,0.8340341,0.6244135,0.81220675,0.6228386,0.8114193,0.74222434,0.87111217,0.86242115,0.9312106,0.79488426,0.8974421,0.8472756,0.9236378,0.77573466,0.88786733,0.84953785,0.9247689
56633,0.6610487,0.8305243,0.65126914,0.8256346,0.59602726,0.7980136,0.58452165,0.7922608,0.66886705,0.83443356,0.7563206,0.8781603,0.7347391,0.86736953,0.7294746,0.8647373,0.73981,0.869905,0.7773206,0.8886603
56634,0.5290306,0.7645153,0.51884604,0.759423,0.4705101,0.73525506,0.47509682,0.7375484,0.52096653,0.76048326,0.63651097,0.8182555,0.60526955,0.8026348,0.6362238,0.8181119,0.6737399,0.83686996,0.69027704,0.84513855
56635,0.5764525,0.78822625,0.63318694,0.81659347,0.55259216,0.7762961,0.55078435,0.7753922,0.6119218,0.8059609,0.71939063,0.8596953,0.69390225,0.8469511,0.71082735,0.8554137,0.70399165,0.8519958,0.7526894,0.8763447
56637,0.60683644,0.8034182,0.59794396,0.798972,0.50441736,0.7522087,0.5999458,0.7999729,0.6282568,0.8141284,0.6905284,0.8452642,0.681061,0.8405305,0.71483696,0.8574185,0.68472654,0.84236324,0.7100588,0.8550294
56638,0.7314945,0.8657472,0.6779487,0.83897436,0.60828555,0.8041428,0.6055826,0.8027913,0.754058,0.877029,0.83536744,0.9176837,0.78277993,0.89138997,0.7780597,0.88902986,0.7526652,0.87633264,0.8257742,0.9128871
56639,0.61499494,0.8074975,0.6370674,0.81853366,0.56811416,0.7840571,0.5500595,0.7750298,0.70143557,0.8507178,0.79249084,0.8962454,0.7933496,0.8966748,0.76211894,0.88105947,0.7695972,0.8847986,0.8226548,0.91132736
56641,0.6048526,0.80242634,0.5745582,0.7872791,0.5116939,0.755847,0.5625931,0.78129655,0.630532,0.815266,0.73344034,0.8667202,0.7284267,0.86421335,0.6846997,0.8423499,0.6996187,0.84980935,0.76350975,0.8817549
56642,0.6113113,0.80565566,0.59307367,0.7965368,0.5121288,0.7560644,0.5422225,0.77111125,0.6142646,0.8071323,0.7125543,0.8562771,0.7254368,0.8627184,0.68464196,0.842321,0.73560834,0.86780417,0.74033153,0.87016577
56643,0.72664976,0.8633249,0.6752837,0.83764184,0.64417243,0.8220862,0.6357976,0.8178988,0.6698072,0.8349036,0.7189888,0.8594944,0.6081042,0.8040521,0.73388994,0.86694497,0.72111094,0.86055547,0.6773379,0.83866894
56644,0.58480835,0.7924042,0.59409666,0.79704833,0.507141,0.7535705,0.54371595,0.771858,0.57906246,0.78953123,0.6283786,0.8141893,0.6444111,0.82220554,0.63528204,0.817641,0.6743712,0.8371856,0.661286,0.830643
56645,0.6153548,0.8076774,0.6357868,0.8178934,0.55758995,0.778795,0.61986375,0.8099319,0.5990377,0.7995188,0.659765,0.8298825,0.6222407,0.8111204,0.743858,0.871929,0.69443977,0.8472199,0.68165314,0.8408266
56646,0.5636587,0.78182936,0.5707688,0.7853844,0.46447414,0.7322371,0.55838764,0.7791938,0.5825771,0.79128855,0.63526356,0.8176318,0.65328455,0.8266423,0.6464876,0.8232438,0.67112565,0.8355628,0.66230077,0.8311504
56647,0.70066607,0.85033303,0.7140149,0.85700744,0.6195487,0.80977434,0.6599251,0.82996255,0.73697114,0.86848557,0.7836928,0.8918464,0.76973736,0.8848687,0.7859092,0.8929546,0.7757236,0.8878618,0.80212355,0.9010618
56648,0.6933252,0.84666264,0.6487425,0.8243712,0.5847645,0.79238224,0.64186496,0.8209325,0.69481957,0.8474098,0.7619246,0.8809623,0.728347,0.86417353,0.761165,0.8805825,0.73958415,0.8697921,0.7549453,0.87747264
56649,0.60237265,0.8011863,0.61735976,0.8086799,0.520031,0.7600155,0.5308113,0.76540565,0.6101078,0.8050539,0.6603147,0.83015734,0.60998166,0.8049908,0.6374154,0.8187077,0.6555648,0.8277824,0.66504425,0.83252215
56650,0.6744662,0.83723307,0.63359135,0.8167957,0.57990915,0.78995454,0.57522726,0.78761363,0.71109974,0.8555499,0.7863443,0.89317214,0.7666222,0.8833111,0.7430583,0.87152916,0.7441244,0.8720622,0.8041172,0.9020586
56651,0.691822,0.845911,0.6574463,0.8287232,0.603657,0.8018285,0.5915754,0.7957877,0.7599712,0.8799856,0.81755686,0.9087784,0.7778397,0.88891983,0.78432703,0.8921635,0.7460526,0.8730263,0.80540186,0.9027009
56652,0.672071,0.8360355,0.6925839,0.84629196,0.57686037,0.7884302,0.61934376,0.8096719,0.7047397,0.85236984,0.7460133,0.87300664,0.74570495,0.87285244,0.75285614,0.87642807,0.75877845,0.8793892,0.75290346,0.87645173
56653,0.56073,0.780365,0.5695598,0.7847799,0.524979,0.7624895,0.5291298,0.7645649,0.5464222,0.7732111,0.6046918,0.8023459,0.5624877,0.78124386,0.64965117,0.8248256,0.6501452,0.8250726,0.6130599,0.80652994
56654,0.7444712,0.8722356,0.70018053,0.85009027,0.6566121,0.8283061,0.62547225,0.81273615,0.7841513,0.89207566,0.8546251,0.92731255,0.79485846,0.8974292,0.8015287,0.90076435,0.80592024,0.9029601,0.87432057,0.93716025
56656,0.60880387,0.80440193,0.62457633,0.81228817,0.5376323,0.7688161,0.56429285,0.78214645,0.659419,0.82970953,0.6898804,0.8449402,0.7191914,0.85959566,0.6785718,0.8392859,0.72787595,0.863938,0.72876036,0.8643802
56657,0.61420584,0.8071029,0.55832005,0.77916,0.5128728,0.7564364,0.5102429,0.75512147,0.6432762,0.8216381,0.7841754,0.8920877,0.7105364,0.85526824,0.69606984,0.8480349,0.71483123,0.8574156,0.7782704,0.88913524
56661,0.73118114,0.8655906,0.68405366,0.8420268,0.6027373,0.80136865,0.5982617,0.79913086,0.71597314,0.85798657,0.8268367,0.91341835,0.73436797,0.867184,0.77111804,0.885559,0.77209544,0.8860477,0.8185172,0.9092586
56662,0.6764841,0.83824205,0.66819423,0.83409715,0.56438065,0.7821903,0.63988984,0.8199449,0.64978856,0.8248943,0.7207502,0.8603751,0.6515322,0.8257661,0.7646625,0.88233125,0.75830483,0.8791524,0.73380995,0.866905
56725,0.72720945,0.8636047,0.7034851,0.8517425,0.6429293,0.82146466,0.65811694,0.82905847,0.7554035,0.87770176,0.84984255,0.9249213,0.8089725,0.90448624,0.8329329,0.9164665,0.7742106,0.8871053,0.8670207,0.93351036
56795,0.6232859,0.81164294,0.6424317,0.82121587,0.567683,0.7838415,0.59834296,0.79917145,0.6717716,0.83588576,0.75295186,0.87647593,0.7815197,0.8907598,0.7694574,0.88472867,0.761058,0.880529,0.7932917,0.89664584
56796,0.64127505,0.8206375,0.65941095,0.8297055,0.58851635,0.7942582,0.57620126,0.7881006,0.70618737,0.8530937,0.7582062,0.87910306,0.74559873,0.8727994,0.78195137,0.8909757,0.71195436,0.8559772,0.75553674,0.8777684
56797,0.68514746,0.84257376,0.67756855,0.8387843,0.5823591,0.79117954,0.6184522,0.8092261,0.6792401,0.83962005,0.73234177,0.8661709,0.6742421,0.837121,0.75498974,0.8774949,0.7211162,0.8605581,0.7270833,0.86354166
56798,0.6352011,0.81760055,0.6376295,0.81881475,0.564239,0.7821195,0.59264714,0.79632354,0.6706351,0.83531755,0.7087594,0.8543797,0.73885393,0.86942697,0.71127504,0.85563755,0.7338588,0.8669294,0.7537173,0.87685865
56799,0.6080258,0.8040129,0.5967128,0.7983564,0.52399194,0.761996,0.5438557,0.77192783,0.6474971,0.8237486,0.7567719,0.87838596,0.7417653,0.87088263,0.7297027,0.86485136,0.76544756,0.8827238,0.8057188,0.9028594
56800,0.580827,0.7904135,0.5630349,0.78151745,0.48992443,0.7449622,0.53911626,0.76955813,0.54452705,0.7722635,0.59502876,0.7975144,0.52170414,0.7608521,0.6130086,0.8065043,0.59225976,0.7961299,0.57719064,0.7885953
56801,0.6820917,0.84104586,0.6603396,0.8301698,0.5907935,0.79539675,0.5839938,0.7919969,0.67499745,0.8374987,0.77505445,0.8875272,0.6879014,0.8439507,0.76675963,0.8833798,0.72748387,0.86374193,0.7577857,0.87889284
56802,0.5349945,0.76749724,0.53090656,0.7654533,0.49036807,0.74518406,0.5171136,0.75855684,0.50109196,0.750546,0.598011,0.7990055,0.58383864,0.79191935,0.6102925,0.8051462,0.6375003,0.81875014,0.6218434,0.81092167
56803,0.7219026,0.8609513,0.6761792,0.8380896,0.6131178,0.8065589,0.58638847,0.79319423,0.71873164,0.8593658,0.86457974,0.93228984,0.76877457,0.88438725,0.78701,0.893505,0.7470485,0.87352425,0.84836864,0.9241843
56804,0.70007455,0.8500373,0.6846833,0.84234166,0.6096038,0.80480194,0.6471011,0.8235506,0.71917063,0.8595853,0.8127797,0.90638983,0.75214374,0.8760719,0.82711196,0.913556,0.7820737,0.89103687,0.8235769,0.91178846
56805,0.60272515,0.8013626,0.60105073,0.80052537,0.55677676,0.7783884,0.60398364,0.8019918,0.5489843,0.77449214,0.619611,0.8098055,0.5706024,0.7853012,0.656546,0.828273,0.6545594,0.8272797,0.6429458,0.8214729
56807,0.68299663,0.8414983,0.6749786,0.8374893,0.56948197,0.784741,0.6243298,0.8121649,0.68055767,0.84027886,0.6929188,0.8464594,0.71445614,0.85722804,0.7045815,0.85229075,0.7225169,0.86125845,0.7195752,0.8597876
56809,0.7277943,0.86389714,0.71874285,0.8593714,0.6030121,0.80150604,0.6777245,0.83886224,0.7315875,0.86579376,0.79806703,0.89903355,0.7681981,0.884099,0.8229658,0.91148293,0.78464544,0.8923227,0.8241457,0.91207284
56859,0.62117684,0.8105884,0.57499826,0.7874991,0.4769346,0.73846734,0.5936576,0.7968288,0.60576594,0.80288297,0.6975719,0.84878594,0.6525457,0.82627285,0.6670468,0.8335234,0.69297814,0.8464891,0.6956928,0.8478464
56860,0.7249019,0.86245096,0.69038326,0.8451916,0.64386004,0.82193005,0.71101236,0.8555062,0.739228,0.869614,0.8339608,0.9169804,0.77685326,0.88842666,0.8389087,0.91945434,0.8096098,0.9048049,0.86745775,0.9337289
56861,0.59290373,0.79645187,0.59134805,0.795674,0.51437527,0.7571876,0.605528,0.802764,0.6000734,0.80003667,0.63397026,0.81698513,0.66657573,0.83328784,0.6664392,0.8332196,0.67693615,0.8384681,0.6758084,0.8379042
56862,0.65190244,0.8259512,0.6584496,0.8292248,0.53539693,0.76769847,0.59273046,0.79636526,0.6235637,0.8117819,0.7047707,0.85238534,0.6963971,0.84819853,0.7332235,0.8666117,0.7269796,0.8634898,0.7210406,0.8605203
57384,0.7516006,0.8758003,0.7113658,0.8556829,0.6561019,0.828051,0.6435211,0.82176054,0.7466966,0.8733483,0.8427651,0.92138255,0.76791275,0.8839564,0.83749557,0.9187478,0.7443074,0.8721537,0.80974877,0.9048744
