,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
53975,0.63258225,0.8162911,0.568846,0.784423,0.5727967,0.78639835,0.5835873,0.79179364,0.6388189,0.8194095,0.77737534,0.8886877,0.6608516,0.8304258,0.67861843,0.8393092,0.7443572,0.8721786,0.7378955,0.86894774
53976,0.53756964,0.7687848,0.5143782,0.7571891,0.48482633,0.74241316,0.4750746,0.73753726,0.5575092,0.7787546,0.6527261,0.8263631,0.6451014,0.8225507,0.59759176,0.7987959,0.67900324,0.8395016,0.6755096,0.8377548
53977,0.736081,0.8680405,0.65881,0.829405,0.6050211,0.80251056,0.61552256,0.8077613,0.7337942,0.8668971,0.8038411,0.90192056,0.7435051,0.87175256,0.762626,0.88131297,0.7515131,0.87575656,0.7801716,0.8900858
53978,0.6971258,0.8485629,0.6287077,0.8143538,0.6026217,0.80131084,0.5780519,0.78902596,0.737683,0.8688415,0.83425766,0.9171288,0.7346256,0.8673128,0.76170266,0.8808513,0.7571987,0.87859935,0.82827383,0.9141369
53979,0.7454579,0.87272894,0.71006715,0.8550336,0.6540132,0.8270066,0.640889,0.82044446,0.73946846,0.8697342,0.8282349,0.91411746,0.74206066,0.87103033,0.80139387,0.90069693,0.78218305,0.8910915,0.7913132,0.8956566
53981,0.64629364,0.8231468,0.61705565,0.8085278,0.558359,0.7791795,0.5826788,0.7913394,0.67442346,0.8372117,0.7974005,0.89870024,0.7463251,0.8731625,0.74322647,0.87161326,0.7677932,0.8838966,0.79845136,0.8992257
54796,0.7129568,0.8564784,0.6718018,0.8359009,0.5804105,0.79020524,0.63859975,0.8192999,0.66708916,0.8335446,0.76337755,0.8816888,0.71522975,0.8576149,0.78617275,0.8930864,0.76347107,0.88173556,0.78516454,0.8925823
54797,0.7002326,0.8501163,0.6662034,0.8331017,0.6228829,0.8114414,0.6002889,0.80014443,0.73348343,0.8667417,0.8772653,0.9386326,0.7523184,0.8761592,0.8135686,0.9067843,0.76873785,0.8843689,0.8290032,0.9145016
54798,0.68290615,0.8414531,0.69613904,0.84806955,0.588472,0.794236,0.6247275,0.81236374,0.6934889,0.8467444,0.76771706,0.88385856,0.72195077,0.8609754,0.747337,0.8736685,0.7787404,0.8893702,0.76710355,0.8835518
54799,0.5802374,0.7901187,0.6145674,0.8072837,0.49930462,0.7496523,0.56380975,0.7819049,0.6123681,0.80618405,0.69476295,0.8473815,0.69435966,0.84717983,0.6936109,0.84680545,0.77161634,0.88580817,0.76233554,0.88116777
54800,0.6817155,0.84085774,0.6723681,0.836184,0.60689807,0.80344903,0.5890527,0.79452634,0.70779663,0.8538983,0.7566049,0.87830245,0.7611655,0.88058275,0.76409864,0.8820493,0.75640565,0.8782028,0.783126,0.891563
56453,0.6408633,0.82043165,0.6288405,0.8144202,0.5830319,0.79151595,0.5531498,0.7765749,0.67703384,0.83851695,0.716461,0.8582305,0.7492658,0.8746329,0.696175,0.8480875,0.7194394,0.8597197,0.7374527,0.8687264
56528,0.5772346,0.7886173,0.53739816,0.76869905,0.4573795,0.72868973,0.5252834,0.76264167,0.59452367,0.79726183,0.6563837,0.8281919,0.6336913,0.81684566,0.6131619,0.80658096,0.6537049,0.82685244,0.6516321,0.82581604
56542,0.6412133,0.82060665,0.6278446,0.8139223,0.5575334,0.7787667,0.6191206,0.8095603,0.6530888,0.8265444,0.7443871,0.8721936,0.6919195,0.8459598,0.7616398,0.8808199,0.7195787,0.8597894,0.74894714,0.8744736
56543,0.59091496,0.7954575,0.5724906,0.7862453,0.50071496,0.7503575,0.50755596,0.753778,0.6117293,0.8058647,0.65273005,0.826365,0.6685484,0.8342742,0.63321936,0.8166097,0.660787,0.8303935,0.64605445,0.82302725
56544,0.6191623,0.80958116,0.6367657,0.81838286,0.5945027,0.79725134,0.62010074,0.81005037,0.6249633,0.81248164,0.68186104,0.8409305,0.64204013,0.82102007,0.6824502,0.8412251,0.70373905,0.8518695,0.73192,0.86596
56545,0.59486324,0.7974316,0.6582924,0.8291462,0.52844787,0.76422393,0.57390535,0.7869527,0.5731914,0.7865957,0.55716133,0.77858067,0.5797566,0.7898783,0.6712025,0.8356012,0.6394118,0.8197059,0.58126366,0.79063183
56618,0.67602295,0.8380115,0.7117191,0.8558595,0.6127125,0.80635625,0.6429449,0.8214724,0.68805075,0.8440254,0.7445697,0.8722849,0.7227038,0.8613519,0.8042781,0.90213907,0.7913049,0.8956524,0.76428926,0.88214463
56619,0.6181077,0.80905384,0.6056131,0.80280656,0.520487,0.76024354,0.5710193,0.78550965,0.64145774,0.8207289,0.7324882,0.8662441,0.7130792,0.8565396,0.69813365,0.84906685,0.7042804,0.8521402,0.74541306,0.87270653
56629,0.72314054,0.86157024,0.67729187,0.83864594,0.6161165,0.80805826,0.62198573,0.81099284,0.7376192,0.8688096,0.8525471,0.9262736,0.75187266,0.8759363,0.841768,0.920884,0.7532368,0.8766184,0.81857467,0.90928733
56630,0.66257966,0.8312898,0.64113915,0.8205696,0.54337883,0.7716894,0.5781597,0.78907984,0.6594018,0.8297009,0.7649026,0.8824513,0.758976,0.879488,0.7567893,0.87839466,0.76123464,0.8806173,0.80315924,0.9015796
56631,0.5721377,0.78606886,0.5906569,0.79532844,0.51057327,0.75528663,0.57083976,0.7854199,0.59495366,0.7974768,0.66208243,0.8310412,0.6285982,0.8142991,0.6618947,0.83094734,0.71599936,0.8579997,0.7307677,0.86538386
56632,0.71227765,0.8561388,0.65490097,0.8274505,0.60891604,0.804458,0.63912004,0.81956005,0.70799434,0.8539972,0.8177885,0.90889424,0.7732767,0.88663834,0.82681155,0.9134058,0.7673501,0.88367504,0.8341634,0.9170817
56633,0.65991384,0.8299569,0.5902778,0.7951389,0.568822,0.784411,0.54199123,0.7709956,0.6400002,0.8200001,0.73315513,0.86657757,0.6802913,0.84014565,0.6887717,0.84438586,0.6815121,0.84075606,0.73473006,0.867365
56634,0.51465297,0.7573265,0.5192454,0.7596227,0.4410894,0.7205447,0.4692179,0.73460895,0.54541177,0.7727059,0.63678545,0.81839275,0.6273512,0.81367564,0.618675,0.8093375,0.6806302,0.8403151,0.6853685,0.84268427
56635,0.5583357,0.7791679,0.6151012,0.8075506,0.516044,0.758022,0.531279,0.76563954,0.61007595,0.805038,0.71366215,0.8568311,0.70227706,0.85113853,0.684903,0.8424515,0.6798949,0.83994746,0.72214437,0.8610722
56637,0.6531609,0.82658046,0.6257191,0.81285954,0.5382122,0.7691061,0.6060848,0.8030424,0.6933898,0.8466949,0.7806108,0.8903054,0.74609935,0.8730497,0.7626594,0.88132966,0.7470347,0.8735174,0.7870096,0.8935048
56638,0.74876964,0.8743848,0.69592917,0.8479646,0.6243256,0.81216276,0.61944604,0.809723,0.7712302,0.8856151,0.81222594,0.90611297,0.76765966,0.88382983,0.79157823,0.89578915,0.7293775,0.86468875,0.80662525,0.9033126
56639,0.6675987,0.83379936,0.68982905,0.84491456,0.5809097,0.79045486,0.574066,0.78703296,0.7371563,0.86857814,0.8099276,0.9049638,0.81619394,0.90809697,0.760689,0.8803445,0.788725,0.8943625,0.8302324,0.9151162
56641,0.612311,0.8061555,0.563259,0.7816295,0.5200906,0.7600453,0.55801105,0.7790055,0.630033,0.8150165,0.7454104,0.8727052,0.71471167,0.85735583,0.68310416,0.8415521,0.70117307,0.85058653,0.76782584,0.8839129
56642,0.58264315,0.7913216,0.56162584,0.7808129,0.4716466,0.7358233,0.5212055,0.7606027,0.5914409,0.79572046,0.6655053,0.83275265,0.704649,0.8523245,0.65483326,0.82741666,0.6880566,0.8440283,0.6874677,0.84373385
56643,0.73799825,0.8689991,0.67941755,0.8397088,0.66583955,0.8329198,0.64115727,0.82057863,0.69338787,0.84669393,0.73637843,0.8681892,0.61913323,0.8095666,0.75267065,0.8763353,0.7190961,0.8595481,0.7000543,0.85002714
56644,0.68368924,0.8418446,0.68379104,0.8418955,0.5938207,0.79691035,0.62638235,0.8131912,0.7074524,0.8537262,0.7370472,0.8685236,0.7518453,0.8759227,0.75595254,0.8779763,0.7471955,0.87359774,0.76016694,0.88008344
56645,0.6123003,0.80615014,0.62943894,0.81471944,0.5404793,0.77023965,0.59925663,0.7996283,0.6192688,0.8096344,0.69026625,0.8451331,0.6929245,0.84646225,0.72082055,0.8604103,0.72186416,0.8609321,0.7354169,0.86770844
56646,0.5494735,0.77473676,0.5643161,0.782158,0.45438856,0.7271943,0.5459981,0.77299905,0.575078,0.787539,0.63663846,0.8183192,0.6674508,0.8337254,0.6609655,0.8304827,0.6734414,0.8367207,0.67225325,0.8361266
56647,0.7208662,0.8604331,0.699059,0.8495295,0.5922619,0.79613096,0.6437434,0.8218717,0.75295305,0.8764765,0.82706237,0.9135312,0.79013455,0.8950673,0.7846602,0.8923301,0.7503967,0.87519836,0.81231976,0.9061599
56648,0.6890638,0.8445319,0.6441996,0.8220998,0.5912082,0.7956041,0.6491469,0.82457346,0.6968008,0.8484004,0.7458229,0.87291145,0.7387974,0.8693987,0.7423512,0.8711756,0.72591376,0.8629569,0.7447651,0.8723825
56649,0.62906027,0.81453013,0.62757856,0.81378925,0.5452222,0.77261114,0.587178,0.793589,0.627375,0.8136875,0.6703131,0.83515656,0.6241354,0.8120677,0.6551982,0.8275991,0.69788504,0.8489425,0.67300683,0.8365034
56650,0.7219586,0.8609793,0.6937973,0.8468987,0.630352,0.815176,0.63256615,0.8162831,0.7520473,0.87602365,0.8167798,0.9083899,0.80088794,0.900444,0.78698677,0.8934934,0.7754751,0.8877375,0.8202575,0.9101287
56651,0.68269163,0.8413458,0.6283956,0.8141978,0.62775666,0.8138783,0.5877918,0.7938959,0.7125077,0.85625386,0.8359784,0.9179892,0.75590926,0.8779546,0.7830249,0.89151245,0.752806,0.876403,0.8321488,0.9160744
56652,0.7215854,0.8607927,0.70431614,0.85215807,0.60920644,0.8046032,0.6187062,0.8093531,0.7445959,0.87229794,0.82733566,0.9136678,0.7566644,0.8783322,0.8195956,0.9097978,0.7760486,0.88802433,0.81235707,0.90617853
56653,0.5677514,0.7838757,0.57919073,0.78959537,0.5197837,0.75989187,0.5171943,0.75859714,0.56104195,0.780521,0.6385166,0.81925833,0.5861918,0.7930959,0.6496757,0.82483786,0.66900784,0.8345039,0.644217,0.8221085
56654,0.732152,0.866076,0.67552906,0.8377645,0.63797426,0.81898713,0.62658036,0.8132902,0.7378203,0.8689102,0.8518239,0.92591196,0.75082344,0.87541175,0.78772366,0.89386183,0.79206914,0.8960346,0.8422572,0.92112863
56656,0.60800505,0.8040025,0.594653,0.7973265,0.5372803,0.76864016,0.54377484,0.7718874,0.64111215,0.82055604,0.69451606,0.84725803,0.6914178,0.8457089,0.660816,0.830408,0.69872475,0.8493624,0.7157532,0.8578766
56657,0.5310381,0.765519,0.48423865,0.7421193,0.42329735,0.7116487,0.45000264,0.72500134,0.56962013,0.78481007,0.7068883,0.85344416,0.6689233,0.8344617,0.60744464,0.8037223,0.65543354,0.82771677,0.7121316,0.8560658
