,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_doordash_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_doordash_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_apple_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_apple_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_samsara_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_samsara_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_yelp_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_yelp_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_match_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_match_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_i2c_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_i2c_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_adobe_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_adobe_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_amazon_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_amazon_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_rowan_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_rowan_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_google_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_google_ux_Score
29788,0.4863667,0.7431834,0.5086921,0.754346,0.3965866,0.6982933,0.49268892,0.74634445,0.5117315,0.75586575,0.551192,0.775596,0.5860492,0.7930246,0.5661582,0.7830791,0.5907098,0.7953549,0.60018927,0.8000946
29835,0.62429327,0.81214666,0.64402336,0.8220117,0.5376704,0.7688352,0.5790493,0.7895247,0.6141937,0.80709684,0.72804564,0.86402285,0.71832025,0.8591601,0.72825277,0.8641264,0.7503933,0.87519664,0.7705046,0.8852523
30606,0.62937987,0.81468993,0.565067,0.7825335,0.53956294,0.7697815,0.56903034,0.78451514,0.61956704,0.8097835,0.73564684,0.8678234,0.6345484,0.8172742,0.6685418,0.8342709,0.7291641,0.86458206,0.7385522,0.8692761
30845,0.7209835,0.86049175,0.6936586,0.8468293,0.63443226,0.81721616,0.6679448,0.8339724,0.6932854,0.84664273,0.7973492,0.8986746,0.726208,0.863104,0.7757729,0.88788646,0.79832816,0.8991641,0.8026206,0.9013103
32072,0.7006544,0.8503272,0.72862744,0.8643137,0.7129487,0.85647434,0.6658331,0.83291656,0.68723667,0.84361833,0.72234213,0.86117107,0.6558158,0.8279079,0.7631451,0.88157254,0.7268419,0.86342096,0.7014122,0.8507061
46443,0.7409148,0.8704574,0.7576145,0.87880725,0.7039983,0.85199916,0.7051946,0.8525973,0.7569339,0.87846696,0.8208306,0.9104153,0.76801354,0.88400674,0.8538704,0.9269352,0.84080404,0.92040205,0.86514103,0.9325705
46506,0.48669454,0.7433473,0.5121888,0.7560944,0.46799755,0.7339988,0.48638394,0.74319196,0.48090488,0.7404524,0.52721,0.763605,0.48575684,0.74287844,0.5801368,0.7900684,0.6208893,0.81044465,0.59253097,0.7962655
50300,0.634781,0.8173905,0.64991987,0.82495993,0.62509346,0.81254673,0.6209222,0.8104611,0.6525508,0.8262754,0.695707,0.84785354,0.63185257,0.8159263,0.7150786,0.8575393,0.7203009,0.86015046,0.7288097,0.86440486
51419,0.5957935,0.79789674,0.64792037,0.8239602,0.60339683,0.80169845,0.61670685,0.8083534,0.6058519,0.80292594,0.65182805,0.825914,0.65896815,0.8294841,0.7194133,0.85970664,0.7524772,0.8762386,0.7356702,0.8678351
53971,0.63264334,0.8163217,0.62009275,0.8100464,0.55851996,0.77926,0.5787555,0.78937775,0.65482223,0.8274111,0.6934074,0.8467037,0.7069676,0.8534838,0.69636786,0.84818393,0.7215786,0.8607893,0.71118855,0.8555943
53972,0.59584135,0.7979207,0.6167112,0.80835557,0.52043366,0.76021683,0.556479,0.7782395,0.6124939,0.80624694,0.65868056,0.8293403,0.6584841,0.82924205,0.6790863,0.83954316,0.7231705,0.86158526,0.7038423,0.85192114
53973,0.62081903,0.81040955,0.6200689,0.81003445,0.55579484,0.7778974,0.5850677,0.7925339,0.6312995,0.81564975,0.7209622,0.86048114,0.7011997,0.8505999,0.730212,0.865106,0.7535665,0.87678325,0.7740104,0.8870052
53974,0.61484015,0.8074201,0.58315974,0.79157984,0.5513059,0.77565295,0.59503937,0.7975197,0.61988014,0.8099401,0.7010567,0.85052836,0.69202554,0.8460128,0.6776157,0.8388078,0.7434814,0.8717407,0.74219155,0.8710958
53975,0.62957585,0.8147879,0.60718465,0.8035923,0.56977314,0.7848866,0.58544314,0.79272157,0.62003815,0.8100191,0.7290082,0.8645041,0.6775695,0.83878475,0.67413294,0.8370665,0.7559563,0.87797815,0.739897,0.8699485
53976,0.4929215,0.74646074,0.43840384,0.7192019,0.43981647,0.71990824,0.47527573,0.7376379,0.48832577,0.7441629,0.58222395,0.79111195,0.5830794,0.79153967,0.5342097,0.76710486,0.59426564,0.79713285,0.6047121,0.80235606
53977,0.72711277,0.8635564,0.661944,0.83097196,0.6185479,0.80927396,0.6537403,0.82687014,0.6980786,0.8490393,0.77163804,0.885819,0.7398546,0.8699273,0.768677,0.8843385,0.77976537,0.8898827,0.7647513,0.88237566
53978,0.6439681,0.82198405,0.6249257,0.8124628,0.602575,0.80128753,0.57346714,0.78673357,0.685847,0.8429235,0.7566505,0.8783252,0.69540024,0.8477001,0.7211982,0.8605991,0.7381453,0.8690727,0.7717194,0.8858597
53979,0.73771155,0.8688558,0.70488936,0.85244465,0.6503237,0.8251618,0.6193718,0.8096859,0.76111466,0.8805573,0.86772907,0.93386453,0.77998924,0.8899946,0.81514525,0.9075726,0.7930794,0.8965397,0.838354,0.919177
53981,0.5251595,0.76257974,0.53537774,0.7676889,0.47280657,0.7364033,0.518116,0.759058,0.53896904,0.7694845,0.6079236,0.8039618,0.6287606,0.8143803,0.61672074,0.80836034,0.6376883,0.81884414,0.63601446,0.81800723
54796,0.584072,0.792036,0.5940483,0.79702413,0.49436998,0.747185,0.5619936,0.7809968,0.53900164,0.76950085,0.61052763,0.8052638,0.63349676,0.8167484,0.64345515,0.8217276,0.6721118,0.8360559,0.6533867,0.82669336
54797,0.7246673,0.86233366,0.7185298,0.8592649,0.6651149,0.83255744,0.65953,0.82976496,0.7344843,0.86724216,0.81467444,0.9073372,0.7413946,0.87069726,0.80795777,0.9039789,0.7616252,0.8808126,0.7989783,0.89948916
54798,0.64519775,0.8225989,0.64790267,0.82395136,0.5551014,0.7775507,0.6081464,0.8040732,0.64628494,0.82314247,0.69639707,0.84819853,0.6971746,0.8485873,0.6856222,0.8428111,0.7327816,0.8663908,0.7302717,0.86513585
54799,0.51519257,0.75759625,0.5346818,0.7673409,0.435076,0.717538,0.5035165,0.7517582,0.5313581,0.76567906,0.61524874,0.80762434,0.6149832,0.8074916,0.61070204,0.805351,0.66164947,0.83082473,0.69674885,0.8483744
54800,0.50030226,0.75015116,0.54923415,0.7746171,0.447644,0.723822,0.49411488,0.74705744,0.53859186,0.76929593,0.5731586,0.7865793,0.6690641,0.834532,0.60765225,0.8038261,0.65272117,0.8263606,0.65381193,0.82690597
56453,0.66846395,0.834232,0.6737918,0.83689594,0.6162496,0.8081248,0.61935914,0.80967957,0.6967519,0.8483759,0.7240521,0.86202604,0.77847135,0.8892357,0.72334075,0.8616704,0.7702836,0.8851418,0.77017766,0.8850888
56528,0.61830056,0.8091503,0.5771884,0.7885942,0.50035965,0.7501798,0.5700454,0.78502274,0.62552977,0.8127649,0.6929278,0.8464639,0.67243636,0.8362182,0.66234493,0.83117247,0.7059987,0.8529993,0.6894163,0.84470814
56542,0.6491636,0.8245818,0.6604415,0.83022076,0.5525647,0.7762823,0.63860774,0.8193039,0.6667814,0.8333907,0.72674054,0.8633703,0.7227243,0.86136216,0.7313615,0.86568075,0.760043,0.8800215,0.7478644,0.87393224
56543,0.5345833,0.76729167,0.5227189,0.76135945,0.46727905,0.73363954,0.500653,0.7503265,0.5286766,0.7643383,0.59684867,0.79842436,0.61546755,0.8077338,0.5948824,0.79744124,0.6660409,0.83302045,0.66486555,0.83243275
56544,0.6164049,0.80820245,0.6061754,0.8030877,0.5348569,0.76742846,0.6222123,0.81110615,0.6397748,0.8198874,0.6974372,0.84871864,0.7088811,0.85444057,0.69566345,0.8478317,0.7170341,0.85851705,0.7457601,0.87288004
56545,0.5663024,0.7831512,0.62583596,0.81291795,0.50561446,0.75280726,0.54833204,0.774166,0.54984885,0.7749244,0.56895524,0.7844776,0.6222154,0.8111077,0.6436826,0.8218413,0.6690226,0.8345113,0.6398698,0.8199349
56618,0.5535668,0.7767834,0.6108496,0.8054248,0.4979605,0.7489803,0.5541571,0.7770785,0.55530894,0.77765447,0.5753298,0.7876649,0.61411786,0.80705893,0.6545284,0.8272642,0.6589513,0.82947564,0.65489674,0.82744837
56619,0.577182,0.788591,0.5754376,0.7877188,0.50990367,0.75495183,0.5220381,0.76101905,0.6023123,0.80115616,0.67936397,0.839682,0.7029016,0.8514508,0.6442312,0.8221156,0.7005115,0.8502557,0.715935,0.8579675
56629,0.68156797,0.84078395,0.6655053,0.83275265,0.59478205,0.79739106,0.6719482,0.8359741,0.6609385,0.83046925,0.7310322,0.86551607,0.7039762,0.8519881,0.7742128,0.8871064,0.7381774,0.8690887,0.7616461,0.880823
56630,0.5844257,0.79221284,0.5885929,0.79429644,0.49786368,0.7489318,0.5667177,0.7833588,0.5931916,0.7965958,0.65688944,0.8284447,0.68171924,0.84085965,0.6753761,0.8376881,0.6906123,0.84530616,0.722781,0.8613905
56631,0.5632342,0.7816171,0.58585393,0.79292697,0.49324578,0.7466229,0.5443667,0.77218336,0.5831363,0.79156816,0.6441841,0.82209206,0.6281462,0.8140731,0.6566917,0.82834584,0.70007527,0.85003763,0.7331356,0.8665678
56632,0.67416203,0.837081,0.65680456,0.8284023,0.582776,0.79138803,0.6438588,0.8219294,0.6704078,0.8352039,0.76120895,0.8806045,0.7438842,0.8719421,0.7723441,0.88617206,0.760405,0.88020253,0.80393386,0.9019669
56633,0.67610776,0.8380539,0.64192,0.82096,0.6095227,0.80476135,0.5957967,0.79789835,0.6635861,0.83179307,0.73170376,0.8658519,0.74190474,0.87095237,0.72053844,0.8602692,0.6876498,0.84382486,0.7447851,0.87239254
56634,0.5522018,0.7761009,0.5615922,0.7807961,0.4728455,0.7364228,0.5004828,0.7502414,0.55562484,0.7778124,0.64565134,0.8228257,0.63544846,0.8177242,0.65302944,0.8265147,0.71195126,0.8559756,0.71070933,0.85535467
56635,0.51736474,0.75868237,0.5723568,0.7861784,0.4729718,0.7364859,0.48925516,0.7446276,0.54929495,0.7746475,0.60531896,0.8026595,0.6270426,0.81352127,0.63429475,0.8171474,0.61103433,0.8055172,0.65537727,0.82768863
56637,0.5611288,0.7805644,0.54332423,0.7716621,0.47200954,0.73600477,0.5690788,0.7845394,0.5870063,0.79350317,0.6754639,0.83773196,0.6515584,0.8257792,0.6593237,0.82966185,0.6601222,0.8300611,0.6937236,0.84686184
56638,0.7177321,0.85886604,0.69894314,0.84947157,0.63024455,0.81512225,0.6439104,0.8219552,0.7208315,0.86041576,0.7520359,0.8760179,0.7536329,0.87681645,0.76949996,0.88475,0.71286273,0.85643137,0.7623904,0.8811952
56639,0.4573267,0.7286633,0.489425,0.7447125,0.44582093,0.72291046,0.44899583,0.7244979,0.50067306,0.7503365,0.56963694,0.7848185,0.58126235,0.7906312,0.57764316,0.7888216,0.5930554,0.79652774,0.6070007,0.80350035
56641,0.53951865,0.7697593,0.519618,0.759809,0.43917787,0.71958894,0.4810242,0.74051213,0.58786404,0.793932,0.64975667,0.82487833,0.69812405,0.849062,0.60886025,0.8044301,0.63850915,0.8192546,0.7040112,0.8520056
56642,0.50452167,0.7522608,0.5072793,0.75363964,0.42417037,0.7120852,0.46593505,0.7329675,0.50009745,0.75004876,0.55485755,0.77742875,0.6090356,0.8045178,0.55216134,0.77608067,0.62110186,0.8105509,0.60673004,0.803365
56643,0.72003806,0.860019,0.6871469,0.84357345,0.68719673,0.84359837,0.682711,0.8413555,0.6308639,0.81543195,0.6524074,0.8262037,0.5754983,0.7877492,0.7197952,0.8598976,0.7156612,0.85783064,0.65289056,0.8264453
56644,0.5015998,0.7507999,0.5119443,0.75597215,0.39739728,0.69869864,0.4601251,0.73006254,0.49034563,0.7451728,0.53472686,0.7673634,0.5984798,0.7992399,0.5709265,0.7854632,0.5944234,0.7972117,0.5895333,0.79476666
56645,0.5750649,0.78753245,0.5966754,0.7983377,0.5402012,0.7701006,0.5798733,0.78993666,0.5283592,0.7641796,0.5974065,0.79870325,0.58665836,0.7933292,0.6703241,0.83516204,0.6592909,0.82964545,0.64896166,0.82448083
56646,0.47724056,0.7386203,0.47096652,0.7354833,0.37295613,0.6864781,0.49115485,0.74557745,0.474815,0.7374075,0.52424073,0.76212037,0.55465955,0.7773298,0.5420494,0.7710247,0.56636304,0.78318155,0.5787092,0.78935456
56647,0.6425879,0.82129395,0.6504374,0.8252187,0.5831295,0.79156476,0.6187979,0.80939895,0.63744044,0.8187202,0.7038582,0.85192907,0.6917254,0.8458627,0.72820574,0.86410284,0.71532536,0.8576627,0.7467042,0.8733521
56648,0.731909,0.8659545,0.662362,0.831181,0.6304001,0.8152001,0.6706119,0.8353059,0.695186,0.847593,0.77068275,0.8853414,0.71380526,0.8569026,0.7754272,0.8877136,0.782668,0.891334,0.7784404,0.88922024
56649,0.67932284,0.8396614,0.66901684,0.8345084,0.6143801,0.80719006,0.63408566,0.8170428,0.63598526,0.8179926,0.68574154,0.8428708,0.63221353,0.8161068,0.724087,0.8620435,0.73552704,0.8677635,0.70932114,0.8546606
56650,0.5978714,0.7989357,0.6016721,0.8008361,0.5111964,0.7555982,0.54893297,0.7744665,0.63688624,0.8184431,0.6944972,0.8472486,0.7223208,0.8611604,0.68343174,0.8417159,0.70147514,0.8507376,0.748153,0.8740765
56651,0.45201573,0.7260079,0.4765036,0.7382518,0.40390524,0.70195264,0.42956915,0.71478456,0.4690156,0.7345078,0.5427593,0.77137965,0.58070767,0.79035383,0.5449335,0.7724668,0.60473216,0.8023661,0.6177436,0.8088718
56652,0.6578522,0.8289261,0.67440885,0.83720446,0.55669254,0.7783463,0.6314679,0.8157339,0.6632477,0.83162385,0.6997668,0.84988344,0.7353696,0.86768484,0.7343329,0.86716646,0.74809396,0.874047,0.7480022,0.8740011
56653,0.48632953,0.7431648,0.49176073,0.74588037,0.43023026,0.71511513,0.46002722,0.7300136,0.4764557,0.73822784,0.549159,0.7745795,0.5566256,0.7783128,0.5587175,0.77935874,0.5972975,0.7986487,0.61507213,0.80753607
56654,0.7513927,0.87569636,0.73186886,0.86593443,0.6772504,0.8386252,0.6812912,0.8406456,0.78371435,0.89185715,0.8292554,0.9146277,0.8080265,0.9040133,0.82673436,0.91336715,0.81381774,0.90690887,0.85450804,0.927254
56656,0.5665442,0.7832721,0.56296,0.78148,0.5152991,0.75764954,0.55023164,0.77511585,0.5789958,0.7894979,0.6311612,0.8155806,0.621948,0.810974,0.62739545,0.8136977,0.6497386,0.8248693,0.67703575,0.8385179
56657,0.52251846,0.7612592,0.5155314,0.7577657,0.4520486,0.72602427,0.47123656,0.7356183,0.5421615,0.77108073,0.68759465,0.8437973,0.63483566,0.81741786,0.63047576,0.8152379,0.6556373,0.82781863,0.7093576,0.8546788
56661,0.67300475,0.8365024,0.66235876,0.8311794,0.5706873,0.78534365,0.59356934,0.79678464,0.6619436,0.83097184,0.7771052,0.8885526,0.69913125,0.8495656,0.73426175,0.8671309,0.7563324,0.8781662,0.778432,0.889216
56662,0.57280225,0.78640115,0.6316046,0.81580234,0.5036622,0.7518311,0.56421435,0.7821072,0.58546627,0.79273313,0.664598,0.832299,0.66462386,0.8323119,0.7239159,0.8619579,0.73764575,0.8688229,0.7301906,0.86509526
56725,0.65657556,0.8282878,0.69231904,0.8461595,0.62314904,0.8115745,0.6489564,0.8244782,0.672657,0.8363285,0.7216766,0.8608383,0.74030685,0.8701534,0.78323084,0.8916154,0.7487838,0.8743919,0.7565451,0.87827253
56795,0.55550164,0.77775085,0.6115378,0.8057689,0.5396393,0.7698196,0.54957604,0.774788,0.5902861,0.795143,0.6098181,0.80490905,0.69112396,0.845562,0.691324,0.845662,0.6807101,0.84035504,0.6640489,0.83202446
56796,0.52411115,0.7620556,0.54984033,0.77492017,0.49006867,0.74503434,0.524503,0.7622515,0.60198915,0.8009946,0.63302076,0.8165104,0.6710142,0.8355071,0.6521505,0.82607526,0.6351531,0.8175765,0.6627114,0.8313557
56797,0.64184976,0.8209249,0.6451682,0.8225841,0.5370799,0.7685399,0.5891971,0.7945986,0.62772465,0.8138623,0.681898,0.840949,0.65852344,0.8292617,0.7119513,0.8559756,0.70748556,0.8537428,0.70206946,0.85103476
56798,0.5734251,0.7867125,0.5947153,0.7973577,0.5108642,0.7554321,0.5544626,0.77723134,0.5965711,0.79828554,0.6517705,0.82588524,0.7199595,0.85997975,0.66339064,0.8316953,0.67743933,0.83871967,0.70799613,0.85399806
56799,0.58072793,0.79036397,0.5643557,0.7821778,0.48393,0.741965,0.5260175,0.7630087,0.59968126,0.7998406,0.6938542,0.8469271,0.70386255,0.8519313,0.6699774,0.8349887,0.7153224,0.8576612,0.7557367,0.87786835
56800,0.6667603,0.83338016,0.6361042,0.8180521,0.5627943,0.78139716,0.6332483,0.81662416,0.6110512,0.8055256,0.6901924,0.84509623,0.6314701,0.81573504,0.70447135,0.8522357,0.7144191,0.85720956,0.69752264,0.8487613
56801,0.5822662,0.7911331,0.5879412,0.7939706,0.5515553,0.77577764,0.54196393,0.77098197,0.5747247,0.78736234,0.65539247,0.8276962,0.6234075,0.81170374,0.6574997,0.82874984,0.66784286,0.83392143,0.67271805,0.836359
56802,0.54508805,0.772544,0.542483,0.7712415,0.4732006,0.7366003,0.5058067,0.75290334,0.52214587,0.76107293,0.6026808,0.8013404,0.64925283,0.82462645,0.6070504,0.8035252,0.67696655,0.8384833,0.67211545,0.8360577
56803,0.6839453,0.84197265,0.6806671,0.8403336,0.62084234,0.81042117,0.6351744,0.8175872,0.68115807,0.84057903,0.7557968,0.8778984,0.7696333,0.88481665,0.7646316,0.8823158,0.77791774,0.8889589,0.80585223,0.9029261
56804,0.68557763,0.8427888,0.66945815,0.8347291,0.60398626,0.80199313,0.65478444,0.8273922,0.66919756,0.8345988,0.738819,0.8694095,0.6714889,0.83574444,0.7656785,0.88283926,0.76380146,0.8819007,0.7343462,0.8671731
56805,0.530886,0.76544297,0.5599858,0.77999294,0.5003965,0.75019825,0.5470541,0.773527,0.4886335,0.74431676,0.52814376,0.7640719,0.5401374,0.7700687,0.59265065,0.7963253,0.63982487,0.81991243,0.5859164,0.7929582
56807,0.66661155,0.8333058,0.6713711,0.83568555,0.5865457,0.79327285,0.6391746,0.8195873,0.6776422,0.8388211,0.71467453,0.85733724,0.741291,0.8706455,0.7131758,0.8565879,0.76050353,0.88025177,0.78634673,0.89317334
56809,0.60162365,0.8008118,0.6018101,0.80090505,0.54529995,0.77265,0.5945942,0.7972971,0.56623805,0.783119,0.67979914,0.83989954,0.6288214,0.8144107,0.69860256,0.8493013,0.7279107,0.8639554,0.724205,0.8621025
56859,0.5522204,0.7761102,0.5352743,0.76763713,0.43759555,0.7187978,0.5598418,0.77992094,0.5525296,0.7762648,0.61511457,0.8075573,0.6319654,0.8159827,0.6212721,0.81063604,0.6555973,0.82779866,0.6550722,0.8275361
56860,0.6365613,0.81828064,0.67018926,0.83509463,0.58312273,0.79156137,0.7227218,0.8613609,0.64885986,0.8244299,0.7073941,0.85369706,0.69180715,0.8459036,0.75328183,0.8766409,0.75459003,0.877295,0.77766746,0.88883376
56861,0.46802348,0.73401177,0.4666651,0.7333325,0.3982527,0.69912636,0.5186656,0.7593328,0.45436502,0.7271825,0.49947006,0.749735,0.5034385,0.75171924,0.540518,0.770259,0.56821275,0.7841064,0.5519861,0.77599305
56862,0.6014849,0.80074245,0.6164665,0.80823326,0.5021185,0.7510593,0.5574825,0.77874124,0.58018863,0.7900943,0.648363,0.8241815,0.6695319,0.8347659,0.67301035,0.8365052,0.6979109,0.84895545,0.6716006,0.8358003
57384,0.6927053,0.84635264,0.7072859,0.85364294,0.63223696,0.8161185,0.65919423,0.8295971,0.6956766,0.8478383,0.7798122,0.8899061,0.7458769,0.87293845,0.79220736,0.8961037,0.7522218,0.8761109,0.7874483,0.89372414
57400,0.7865349,0.89326745,0.70212156,0.85106075,0.687663,0.84383154,0.67665553,0.83832777,0.76024806,0.88012403,0.82451844,0.9122592,0.76552486,0.88276243,0.8164248,0.9082124,0.7283006,0.8641503,0.7977259,0.89886296
62042,0.7338978,0.8669489,0.70207995,0.85104,0.6553736,0.8276868,0.6534599,0.82672995,0.69161993,0.84580994,0.7590103,0.87950516,0.72692186,0.8634609,0.74966514,0.8748326,0.7540407,0.87702036,0.773672,0.886836
63086,0.47463548,0.73731774,0.50682455,0.75341225,0.45419466,0.72709733,0.443089,0.7215445,0.49291304,0.7464565,0.5821682,0.7910841,0.595684,0.797842,0.56507903,0.7825395,0.62259114,0.81129557,0.62011683,0.8100584
63087,0.62606096,0.8130305,0.60785025,0.80392516,0.5666691,0.78333455,0.6542628,0.8271314,0.6133157,0.80665785,0.6600173,0.8300086,0.68798757,0.8439938,0.66559035,0.83279514,0.7000307,0.85001534,0.70886314,0.85443157
83710,0.63914984,0.81957495,0.6845745,0.84228724,0.564186,0.782093,0.6585119,0.82925594,0.6330912,0.8165456,0.6652263,0.8326131,0.6425259,0.82126296,0.73087585,0.8654379,0.7135929,0.85679644,0.7067963,0.85339814
83711,0.58293915,0.7914696,0.6555197,0.82775986,0.58844936,0.7942247,0.5739408,0.7869704,0.54845697,0.77422845,0.5297177,0.76485884,0.55986935,0.77993464,0.64240944,0.8212047,0.6172745,0.80863726,0.55631304,0.7781565
86666,0.5563026,0.7781513,0.6557338,0.8278669,0.49687678,0.74843836,0.5910597,0.79552984,0.5511532,0.7755766,0.5932749,0.7966374,0.66259027,0.83129513,0.7044576,0.85222876,0.6869311,0.84346557,0.6877023,0.84385115
87779,0.535852,0.767926,0.5927169,0.79635847,0.45248997,0.726245,0.54869103,0.7743455,0.5036912,0.7518456,0.4929437,0.7464719,0.54025054,0.77012527,0.56201357,0.7810068,0.5535652,0.77678263,0.5281867,0.76409334
97622,0.68896973,0.84448487,0.685521,0.8427605,0.64563835,0.8228192,0.600458,0.800229,0.7212256,0.8606128,0.819075,0.9095375,0.75973815,0.8798691,0.8071524,0.9035762,0.780743,0.8903715,0.8246548,0.9123274
