,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score
53974,0.6294043,0.81470215,0.5801102,0.7900551,0.5429309,0.7714654,0.57226294,0.7861315,0.66220003,0.8311,0.74933004,0.874665,0.7129389,0.85646945,0.7072907,0.8536453,0.7141314,0.8570657,0.75967664,0.87983835
53975,0.6481371,0.82406855,0.60106504,0.8005325,0.5669006,0.7834503,0.57851106,0.7892555,0.6518302,0.8259151,0.77716124,0.8885806,0.6942908,0.84714544,0.69296634,0.8464832,0.73820686,0.86910343,0.7534391,0.8767196
53976,0.5258188,0.7629094,0.4993214,0.74966073,0.4349779,0.71748894,0.486003,0.7430015,0.5375699,0.76878494,0.5980285,0.7990142,0.61966205,0.809831,0.56582165,0.7829108,0.6331173,0.81655866,0.6283078,0.8141539
53977,0.70789075,0.8539454,0.6446073,0.82230365,0.5765403,0.7882701,0.6058178,0.8029089,0.68565035,0.8428252,0.75673056,0.8783653,0.7296388,0.8648194,0.74244314,0.87122154,0.751114,0.875557,0.75091374,0.87545687
53978,0.6977096,0.8488548,0.6548315,0.82741576,0.60849786,0.8042489,0.5948323,0.79741615,0.73365897,0.8668295,0.8065449,0.90327245,0.7328063,0.86640316,0.76186824,0.8809341,0.74824446,0.87412226,0.8088337,0.90441686
53979,0.7117163,0.85585815,0.6854576,0.8427288,0.6157619,0.80788094,0.6369284,0.81846416,0.7233085,0.8616543,0.8039054,0.90195274,0.7177589,0.85887945,0.7903609,0.89518046,0.7625505,0.88127524,0.77021736,0.8851087
53981,0.64705956,0.8235298,0.64473283,0.8223664,0.55967325,0.77983665,0.62573814,0.8128691,0.6747008,0.83735037,0.7497773,0.87488866,0.71786416,0.8589321,0.7553101,0.877655,0.7320186,0.8660093,0.74318683,0.8715934
54796,0.6114141,0.80570704,0.59787315,0.7989366,0.49829116,0.74914557,0.55939555,0.7796978,0.5562272,0.7781136,0.62043905,0.8102195,0.5921598,0.7960799,0.67538935,0.83769464,0.65025055,0.8251253,0.62165844,0.8108292
54797,0.7153976,0.8576988,0.66829485,0.83414745,0.6390512,0.8195256,0.57156736,0.78578365,0.75941485,0.87970746,0.879743,0.9398715,0.75842094,0.8792105,0.80202824,0.9010141,0.73628366,0.86814183,0.81013775,0.9050689
54798,0.68671274,0.8433564,0.70123315,0.8506166,0.59661806,0.798309,0.63729477,0.8186474,0.7241305,0.86206526,0.7881105,0.89405525,0.76337516,0.8816876,0.76977515,0.8848876,0.8126576,0.9063288,0.8079666,0.9039833
54799,0.5384173,0.76920867,0.5558554,0.7779277,0.4531331,0.72656655,0.51975054,0.7598753,0.5629559,0.7814779,0.6422395,0.8211198,0.635895,0.8179475,0.6345186,0.8172593,0.71022356,0.8551118,0.714921,0.8574605
54800,0.6805608,0.8402804,0.7025352,0.8512676,0.590145,0.7950725,0.62134886,0.8106744,0.6866902,0.8433451,0.7237927,0.86189634,0.7337731,0.86688656,0.78288656,0.89144325,0.7435394,0.87176967,0.73529494,0.86764747
56453,0.66763604,0.833818,0.67454946,0.83727473,0.6356911,0.8178456,0.6282309,0.81411546,0.6931988,0.8465994,0.7376888,0.8688444,0.7600497,0.88002485,0.735675,0.8678375,0.7795688,0.8897844,0.78571206,0.892856
56528,0.57453513,0.78726757,0.52299273,0.76149637,0.4592433,0.72962165,0.5512058,0.77560294,0.5777515,0.78887576,0.64649963,0.8232498,0.63975716,0.8198786,0.60964864,0.80482435,0.6624586,0.8312293,0.63589734,0.8179487
56542,0.69172835,0.8458642,0.62369496,0.81184745,0.5763316,0.7881658,0.60223734,0.8011187,0.6915573,0.84577864,0.7892114,0.8946057,0.73021734,0.86510867,0.763566,0.881783,0.7234159,0.8617079,0.77094686,0.88547343
56543,0.54095036,0.77047515,0.51497346,0.7574867,0.4439324,0.7219662,0.47711068,0.7385553,0.5277502,0.7638751,0.5796698,0.78983486,0.61113703,0.8055685,0.58763826,0.7938191,0.61366963,0.8068348,0.6044833,0.8022417
56544,0.6630081,0.83150405,0.6473591,0.82367957,0.57841384,0.7892069,0.60402095,0.8020105,0.6866052,0.8433026,0.7777345,0.88886726,0.7531685,0.8765843,0.7478026,0.8739013,0.7688204,0.8844102,0.8156297,0.90781486
56545,0.67577696,0.8378885,0.707435,0.8537175,0.5935048,0.7967524,0.60982674,0.8049134,0.67116815,0.83558404,0.6464083,0.82320416,0.65180135,0.8259007,0.73246366,0.8662318,0.7097479,0.85487396,0.67307854,0.83653927
56618,0.68463886,0.8423194,0.70382833,0.85191417,0.6033009,0.80165046,0.65847397,0.829237,0.6833165,0.84165823,0.7079536,0.8539768,0.6733876,0.83669376,0.78259265,0.8912963,0.77539563,0.8876978,0.7526107,0.87630534
56619,0.67487913,0.83743954,0.63705146,0.81852573,0.58796984,0.7939849,0.6041235,0.80206174,0.69242716,0.8462136,0.79796016,0.8989801,0.73761404,0.868807,0.7565942,0.8782971,0.7639854,0.8819927,0.7966584,0.8983292
56629,0.7183222,0.85916114,0.6579576,0.8289788,0.5906955,0.79534775,0.6240418,0.8120209,0.72146416,0.8607321,0.84571314,0.92285657,0.7776246,0.8888123,0.82463706,0.9123185,0.7493415,0.87467074,0.82210684,0.9110534
56630,0.6795559,0.83977795,0.6644039,0.83220196,0.5819529,0.79097646,0.64028263,0.8201413,0.68128407,0.84064204,0.7326127,0.86630636,0.73971343,0.8698567,0.74558794,0.872794,0.76641726,0.88320863,0.77774066,0.88887036
56631,0.58616483,0.7930824,0.6244105,0.81220526,0.51290226,0.75645113,0.61648,0.80824,0.6466695,0.82333475,0.648837,0.8244185,0.66352594,0.83176297,0.70096505,0.8504825,0.698335,0.84916747,0.70397073,0.85198534
56632,0.694069,0.8470345,0.6640936,0.8320468,0.6017086,0.8008543,0.641001,0.8205005,0.6952661,0.84763306,0.7907359,0.895368,0.7450644,0.8725322,0.7891293,0.8945646,0.7530113,0.8765056,0.8023063,0.90115315
56633,0.6964135,0.84820676,0.65437746,0.82718873,0.60293233,0.80146617,0.60154563,0.8007728,0.6853403,0.84267014,0.7553622,0.87768114,0.73903227,0.86951613,0.7188874,0.85944366,0.7286439,0.86432195,0.7795689,0.88978446
56634,0.6085597,0.80427986,0.5928345,0.79641724,0.5253123,0.76265615,0.5567807,0.77839035,0.6361235,0.8180617,0.7203939,0.86019695,0.69411093,0.84705544,0.7010238,0.8505119,0.7478316,0.8739158,0.7342947,0.8671473
56635,0.5743097,0.78715485,0.61790556,0.8089528,0.56322426,0.78161216,0.539199,0.7695995,0.59616804,0.798084,0.68901527,0.84450763,0.6659481,0.8329741,0.6900522,0.84502614,0.6832242,0.8416121,0.7087951,0.85439754
56637,0.6119189,0.80595946,0.5980842,0.7990421,0.52132815,0.7606641,0.6097122,0.80485606,0.6368489,0.81842446,0.70335406,0.85167706,0.66879755,0.83439875,0.7269993,0.86349964,0.6811324,0.84056616,0.7092496,0.8546248
56638,0.7258329,0.86291647,0.6857261,0.8428631,0.6008769,0.80043846,0.59602773,0.79801387,0.7409916,0.8704958,0.8276957,0.91384786,0.78479064,0.8923953,0.7829958,0.8914979,0.74677813,0.87338907,0.81433296,0.9071665
56639,0.5289421,0.76447105,0.5380808,0.7690404,0.4728126,0.7364063,0.48052895,0.7402645,0.5762708,0.7881354,0.693091,0.84654546,0.6905589,0.84527946,0.62976706,0.81488353,0.69354796,0.846774,0.7162807,0.85814035
56641,0.64169264,0.8208463,0.58927006,0.79463506,0.5429905,0.7714952,0.57717943,0.7885897,0.66039824,0.8301991,0.77827483,0.8891374,0.74350756,0.8717538,0.7242738,0.8621369,0.7253598,0.8626799,0.7939866,0.8969933
56642,0.614121,0.8070605,0.58248496,0.7912425,0.52761835,0.7638092,0.53802097,0.7690105,0.62020946,0.8101047,0.7018964,0.8509482,0.7108429,0.8554214,0.68173873,0.84086937,0.713611,0.8568055,0.7183782,0.8591891
56643,0.7567353,0.87836766,0.6773314,0.8386657,0.67592573,0.83796287,0.66965574,0.8348279,0.6922842,0.8461421,0.7477001,0.87385005,0.6311002,0.8155501,0.7619939,0.88099694,0.7312845,0.86564225,0.7160956,0.85804784
56644,0.720241,0.86012053,0.6733266,0.8366633,0.60252535,0.8012627,0.6522674,0.8261337,0.6929387,0.84646934,0.7397337,0.86986685,0.71419334,0.8570967,0.73574543,0.8678727,0.7281258,0.8640629,0.7383736,0.86918676
56645,0.6901956,0.8450978,0.6941625,0.84708124,0.5967903,0.79839516,0.66599447,0.8329972,0.68534863,0.8426743,0.74750817,0.8737541,0.7125169,0.85625845,0.79012436,0.8950622,0.749647,0.8748235,0.7651839,0.88259196
56646,0.59077805,0.79538906,0.57603097,0.7880155,0.4772876,0.73864377,0.5967157,0.79835784,0.58158964,0.79079485,0.63668764,0.8183438,0.63405865,0.81702936,0.6289779,0.81448895,0.6740333,0.83701664,0.66254747,0.83127373
56647,0.7010627,0.85053134,0.6988877,0.84944385,0.64089036,0.8204452,0.6664363,0.83321816,0.72361964,0.86180985,0.74224555,0.8711228,0.7412148,0.8706074,0.7557719,0.87788594,0.76076436,0.8803822,0.76434416,0.8821721
56648,0.7711114,0.88555574,0.69120914,0.84560454,0.6309115,0.8154558,0.6546063,0.8273032,0.72825897,0.8641295,0.79027075,0.8951354,0.7149973,0.85749865,0.79138756,0.8956938,0.7415546,0.8707773,0.7645751,0.88228756
56649,0.66062486,0.83031243,0.6782816,0.8391408,0.5527252,0.7763626,0.59273934,0.7963697,0.6681713,0.83408564,0.7161335,0.85806674,0.67739916,0.8386996,0.7034489,0.85172445,0.73235536,0.8661777,0.7232061,0.861603
56650,0.7165173,0.85825866,0.66481686,0.8324084,0.5972915,0.79864573,0.5917653,0.79588264,0.72896117,0.8644806,0.8046292,0.9023146,0.767501,0.8837505,0.7511206,0.8755603,0.7418195,0.87090975,0.7880486,0.8940243
56651,0.6857694,0.84288466,0.6287521,0.81437606,0.61580944,0.8079047,0.56236994,0.781185,0.7327341,0.86636704,0.83814836,0.9190742,0.73791873,0.86895937,0.7719691,0.88598454,0.7547641,0.87738204,0.8033427,0.90167135
56652,0.7488849,0.87444246,0.73559743,0.8677987,0.6585379,0.82926893,0.6793598,0.8396799,0.76467276,0.8823364,0.8164041,0.90820205,0.74165267,0.87082636,0.8456408,0.9228204,0.81140697,0.9057035,0.80656457,0.9032823
56653,0.66017383,0.83008695,0.6211317,0.8105658,0.5827408,0.7913704,0.57775366,0.78887683,0.6529518,0.82647586,0.74573565,0.8728678,0.70180213,0.85090107,0.72741985,0.8637099,0.7424842,0.8712421,0.75990677,0.8799534
56654,0.72752655,0.8637633,0.70167494,0.85083747,0.61511683,0.8075584,0.6422993,0.82114965,0.7602137,0.8801068,0.8142768,0.9071384,0.787783,0.8938915,0.7969284,0.8984642,0.80560327,0.90280163,0.82806826,0.9140341
56656,0.6634066,0.8317033,0.6599729,0.82998645,0.59247273,0.7962364,0.61076295,0.8053815,0.7106266,0.8553133,0.7285138,0.86425686,0.72428346,0.8621417,0.71877027,0.85938513,0.72238326,0.86119163,0.74175966,0.8708798
56657,0.62931716,0.8146586,0.58396786,0.79198396,0.51665634,0.7583282,0.526029,0.7630145,0.6561872,0.8280936,0.7886765,0.89433825,0.706473,0.8532365,0.70496964,0.8524848,0.7093675,0.85468376,0.78826284,0.8941314
56661,0.70208746,0.8510437,0.65752125,0.8287606,0.5728644,0.7864322,0.58364,0.79182,0.6871338,0.8435669,0.7924354,0.8962177,0.68428123,0.8421406,0.74283147,0.87141573,0.7398491,0.86992455,0.7692045,0.88460225
56662,0.74376476,0.8718824,0.72731316,0.8636566,0.63186586,0.8159329,0.66797316,0.8339866,0.7315502,0.8657751,0.78409183,0.8920459,0.7200105,0.86000526,0.8185153,0.90925765,0.7902554,0.8951277,0.8085574,0.9042787
