,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Score
53971,0.65106916,0.8255346,0.6293049,0.81465244,0.5647828,0.7823914,0.5732194,0.7866097,0.6948956,0.8474478,0.75913894,0.8795695,0.74979484,0.8748974,0.74737334,0.8736867,0.7629016,0.8814508,0.7693696,0.8846848
53972,0.6244162,0.81220806,0.6491069,0.8245535,0.5600709,0.78003544,0.58851796,0.79425895,0.65051615,0.8252581,0.6801945,0.84009725,0.6790459,0.83952296,0.72325766,0.86162883,0.7121543,0.8560772,0.7013459,0.85067296
53973,0.6147922,0.8073961,0.59110135,0.7955507,0.5468982,0.77344906,0.5654803,0.7827401,0.65210193,0.826051,0.7675142,0.8837571,0.73160577,0.8658029,0.74169266,0.87084633,0.7657852,0.8828926,0.8192736,0.9096368
53974,0.6182346,0.8091173,0.5775813,0.78879064,0.52977073,0.76488537,0.54850006,0.77425003,0.65684354,0.8284218,0.7592673,0.87963367,0.7097033,0.85485166,0.6957941,0.84789705,0.7112397,0.85561985,0.7646781,0.88233906
53975,0.6218153,0.81090766,0.5725721,0.78628606,0.5628603,0.7814301,0.56811076,0.78405535,0.6223626,0.8111813,0.7231314,0.8615657,0.63243645,0.81621826,0.6722825,0.8361412,0.6958674,0.8479337,0.6888633,0.84443164
53976,0.650332,0.825166,0.6012239,0.800612,0.55908525,0.7795426,0.56427026,0.7821351,0.6629771,0.83148855,0.7312516,0.8656258,0.7242371,0.86211854,0.69808865,0.8490443,0.7163869,0.85819346,0.72162783,0.8608139
53977,0.7026495,0.85132474,0.6245719,0.81228596,0.56165445,0.7808272,0.6057625,0.80288124,0.6689116,0.8344558,0.75788146,0.8789407,0.70370275,0.85185134,0.72644216,0.86322105,0.7376694,0.86883473,0.7353852,0.8676926
53978,0.7267816,0.8633908,0.6371118,0.8185559,0.6028204,0.8014102,0.580961,0.7904805,0.73538566,0.8676928,0.84595406,0.92297703,0.73005825,0.8650291,0.75815964,0.8790798,0.745005,0.8725025,0.82069755,0.9103488
53979,0.75380147,0.87690073,0.70986104,0.8549305,0.64507145,0.82253575,0.6562977,0.82814884,0.7739018,0.8869509,0.86248356,0.93124175,0.76046896,0.8802345,0.8115827,0.90579134,0.78132546,0.8906627,0.808396,0.904198
53981,0.5424366,0.7712183,0.5555035,0.77775174,0.49586362,0.74793184,0.5678651,0.78393257,0.58477914,0.7923896,0.65236866,0.82618433,0.66229826,0.8311491,0.66506195,0.832531,0.69605875,0.8480294,0.68171626,0.8408581
54796,0.65484995,0.827425,0.607607,0.8038035,0.52482367,0.76241183,0.56537706,0.7826885,0.57300687,0.78650343,0.6615456,0.83077276,0.6122578,0.80612886,0.696136,0.848068,0.63909847,0.8195492,0.6517011,0.82585055
54797,0.73414457,0.8670723,0.68678725,0.8433936,0.65095425,0.8254771,0.627659,0.81382954,0.7480103,0.87400514,0.8848041,0.94240206,0.7609136,0.8804568,0.8172101,0.90860504,0.79185903,0.8959295,0.8328606,0.9164303
54798,0.6816329,0.84081644,0.68795025,0.8439751,0.57785904,0.7889295,0.6288234,0.8144117,0.69057137,0.84528565,0.7434993,0.87174964,0.7026781,0.85133904,0.72831196,0.864156,0.77231395,0.886157,0.7545029,0.87725145
54799,0.613081,0.8065405,0.6144724,0.8072362,0.5220716,0.7610358,0.5683398,0.7841699,0.62504464,0.8125223,0.719753,0.8598765,0.7049987,0.85249937,0.70520926,0.8526046,0.75595295,0.8779765,0.78112924,0.8905646
54800,0.6809943,0.84049714,0.6552787,0.82763934,0.57870966,0.7893548,0.58683836,0.7934192,0.67146134,0.8357307,0.7511723,0.87558615,0.72978055,0.8648903,0.76352537,0.8817627,0.7483374,0.8741687,0.76082754,0.8804138
56453,0.70307314,0.8515366,0.6356973,0.8178487,0.60006756,0.8000338,0.54303896,0.7715195,0.73753536,0.8687677,0.8253108,0.9126554,0.7738569,0.88692844,0.7448145,0.87240726,0.7523987,0.87619936,0.81070805,0.905354
56528,0.68533945,0.8426697,0.65014553,0.82507277,0.5662098,0.7831049,0.61680114,0.8084006,0.6772225,0.83861125,0.75018394,0.87509197,0.7343699,0.86718494,0.73362994,0.866815,0.76919866,0.8845993,0.76169145,0.8808457
56542,0.6847689,0.84238446,0.6713362,0.8356681,0.59310365,0.7965518,0.6420504,0.8210252,0.68922234,0.84461117,0.7651685,0.8825842,0.72112644,0.8605632,0.78887844,0.8944392,0.7313499,0.865675,0.77109295,0.88554645
56543,0.55495995,0.77748,0.54436237,0.77218115,0.46196094,0.73098046,0.49142635,0.7457132,0.5528533,0.7764267,0.6022,0.8011,0.63147247,0.81573623,0.6008342,0.80041707,0.6355602,0.81778014,0.61969835,0.80984914
56544,0.70938873,0.85469437,0.6794652,0.8397326,0.61308175,0.80654085,0.65274876,0.8263744,0.71132946,0.85566473,0.7894964,0.8947482,0.76532817,0.8826641,0.768471,0.8842355,0.7690402,0.8845201,0.8171331,0.9085666
56545,0.557657,0.7788285,0.60963964,0.8048198,0.48383406,0.741917,0.55530024,0.7776501,0.54000956,0.77000475,0.5615861,0.7807931,0.5845128,0.7922564,0.6614773,0.83073866,0.6461712,0.8230856,0.61456066,0.8072803
56618,0.65174246,0.8258712,0.67997086,0.83998543,0.5892762,0.7946381,0.6139615,0.8069807,0.65429336,0.82714665,0.72800684,0.8640034,0.71234316,0.8561716,0.7760164,0.88800824,0.7758329,0.88791645,0.7732296,0.8866148
56619,0.61537004,0.807685,0.6223383,0.81116915,0.5342197,0.7671099,0.59080565,0.7954028,0.639688,0.819844,0.6982857,0.84914285,0.6973156,0.8486578,0.68094695,0.8404735,0.70821846,0.8541092,0.7265929,0.86329645
56629,0.7315662,0.8657831,0.70145845,0.8507292,0.6384589,0.8192295,0.66021323,0.8301066,0.71300495,0.8565025,0.81697184,0.9084859,0.74926686,0.87463343,0.8303596,0.9151798,0.7640605,0.88203025,0.7874129,0.89370644
56630,0.6548604,0.8274302,0.64264166,0.82132083,0.5514779,0.77573895,0.5860373,0.79301864,0.6533351,0.82666755,0.760039,0.8800195,0.72470963,0.8623548,0.7502941,0.87514704,0.7406141,0.8703071,0.77838993,0.88919497
56631,0.5477412,0.7738706,0.56629497,0.78314745,0.48173964,0.7408698,0.5451426,0.7725713,0.5676697,0.7838348,0.63152754,0.8157638,0.603747,0.8018735,0.6484469,0.82422346,0.69664466,0.84832233,0.7183018,0.8591509
56632,0.6706438,0.8353219,0.64162636,0.8208132,0.5807811,0.79039055,0.6239668,0.8119834,0.69167084,0.84583545,0.776418,0.888209,0.74214387,0.87107193,0.8011904,0.9005952,0.7580724,0.8790362,0.8113203,0.90566015
56633,0.6783707,0.83918536,0.60050607,0.80025303,0.5916871,0.79584354,0.56529003,0.782645,0.65613806,0.82806903,0.7706946,0.8853473,0.6916542,0.8458271,0.69576263,0.8478813,0.6777927,0.8388964,0.75989896,0.87994945
56634,0.5681422,0.7840711,0.57620394,0.788102,0.49412465,0.7470623,0.5249609,0.76248044,0.610093,0.8050465,0.6808454,0.8404227,0.67797434,0.8389872,0.68425536,0.8421277,0.72338516,0.86169255,0.7197907,0.85989535
56635,0.59770656,0.7988533,0.6430762,0.8215381,0.5436251,0.77181256,0.54570705,0.7728535,0.6310421,0.81552106,0.77111936,0.8855597,0.73562896,0.8678145,0.738566,0.86928296,0.74507046,0.8725352,0.7919869,0.8959935
56637,0.6636789,0.83183944,0.6706047,0.83530235,0.555704,0.777852,0.63770103,0.8188505,0.69075084,0.8453754,0.7486003,0.8743001,0.71886086,0.85943043,0.8027296,0.9013648,0.74429905,0.8721495,0.76212585,0.8810629
56638,0.69936824,0.8496841,0.67988384,0.8399419,0.6201218,0.81006086,0.59664047,0.79832023,0.75513345,0.8775667,0.77494884,0.8874744,0.8015082,0.9007541,0.7819338,0.8909669,0.7339867,0.8669933,0.7841983,0.89209914
56639,0.5078326,0.75391626,0.532544,0.766272,0.46175033,0.73087513,0.49598908,0.74799454,0.5484128,0.7742064,0.6342691,0.81713456,0.66320395,0.831602,0.6381736,0.8190868,0.6617247,0.83086234,0.6862316,0.8431158
56641,0.5783725,0.78918624,0.5458078,0.7729039,0.49521905,0.7476095,0.53885853,0.76942927,0.59607553,0.79803777,0.69483054,0.84741527,0.68163276,0.8408164,0.64530945,0.8226547,0.69073045,0.8453652,0.7345143,0.8672571
56642,0.61898595,0.80949295,0.560717,0.7803585,0.49701422,0.74850714,0.5177564,0.75887823,0.60807294,0.8040365,0.71316314,0.85658157,0.69943714,0.8497186,0.65858376,0.8292919,0.702304,0.851152,0.7088621,0.85443103
56643,0.71870667,0.8593533,0.6786428,0.8393214,0.6247717,0.81238586,0.6211811,0.8105905,0.66517127,0.83258563,0.71090317,0.8554516,0.5971974,0.7985987,0.7183404,0.8591702,0.68682086,0.84341043,0.657935,0.8289675
56644,0.71508074,0.85754037,0.66689765,0.8334488,0.60718143,0.8035907,0.6379623,0.8189812,0.7023738,0.8511869,0.7454325,0.87271625,0.7194133,0.85970664,0.74614453,0.87307227,0.7367457,0.86837286,0.74817574,0.87408787
56645,0.6010411,0.80052054,0.59604156,0.7980208,0.52190834,0.76095414,0.5612726,0.7806363,0.6011503,0.80057514,0.6723656,0.83618283,0.6447558,0.8223779,0.68444777,0.8422239,0.6896124,0.8448062,0.69429606,0.84714806
56646,0.5398036,0.7699018,0.5338537,0.7669269,0.4350557,0.71752787,0.5304891,0.76524454,0.5545984,0.77729917,0.6002824,0.8001412,0.63016653,0.81508327,0.5874356,0.7937178,0.65803266,0.8290163,0.63511795,0.817559
56647,0.74527264,0.8726363,0.7095938,0.8547969,0.6451336,0.8225668,0.66357726,0.83178866,0.7721772,0.8860886,0.84599257,0.9229963,0.7968116,0.8984058,0.8172372,0.90861857,0.7880782,0.8940391,0.835371,0.9176855
56648,0.7311924,0.8655962,0.6713867,0.83569336,0.6143596,0.8071798,0.6510354,0.8255177,0.7240108,0.8620054,0.7994455,0.89972275,0.75193614,0.8759681,0.7782611,0.8891306,0.7679292,0.8839646,0.79529214,0.89764607
56649,0.6385092,0.81925464,0.6463842,0.8231921,0.56161904,0.7808095,0.5784447,0.78922236,0.6322788,0.8161394,0.6929548,0.8464774,0.6256746,0.8128373,0.67798615,0.8389931,0.6979007,0.8489504,0.67523235,0.8376162
56650,0.70449305,0.8522465,0.6436689,0.82183444,0.5915756,0.7957878,0.5799508,0.7899754,0.7369214,0.8684607,0.8552846,0.9276423,0.8048792,0.9024396,0.7805671,0.8902836,0.76557684,0.8827884,0.83174694,0.91587347
56651,0.6406845,0.82034224,0.5663389,0.78316945,0.5369539,0.76847696,0.5131197,0.75655985,0.68696946,0.84348476,0.83938646,0.91969323,0.75131726,0.87565863,0.7105639,0.85528195,0.70707905,0.8535395,0.8006804,0.9003402
56652,0.6372082,0.8186041,0.6643636,0.8321818,0.53351384,0.7667569,0.60685605,0.80342805,0.66629493,0.83314747,0.7458341,0.87291706,0.73287237,0.8664362,0.7479495,0.87397474,0.77505195,0.887526,0.7648869,0.8824434
56653,0.7240107,0.86200535,0.70804644,0.8540232,0.63628054,0.81814027,0.63747466,0.8187373,0.7298902,0.8649451,0.78543794,0.892719,0.758842,0.879421,0.80296206,0.90148103,0.78393275,0.89196634,0.81393933,0.90696967
56654,0.7160184,0.8580092,0.6555426,0.8277713,0.614197,0.8070985,0.61034495,0.80517244,0.75878805,0.87939405,0.8454269,0.92271346,0.7803505,0.8901752,0.77830064,0.8891503,0.76926875,0.8846344,0.8350492,0.9175246
56656,0.57554525,0.78777266,0.5720785,0.78603923,0.5160803,0.7580402,0.5242872,0.7621436,0.61312544,0.8065627,0.6711915,0.8355957,0.6643637,0.8321818,0.63178384,0.8158919,0.66574275,0.8328714,0.6919047,0.8459524
56657,0.59329295,0.7966465,0.5218401,0.76092005,0.47774005,0.73887,0.49431926,0.7471596,0.6118834,0.8059417,0.7617438,0.8808719,0.6876668,0.8438334,0.65059185,0.8252959,0.65861046,0.82930523,0.74574435,0.8728722
56661,0.7483798,0.8741899,0.71421826,0.8571091,0.6158675,0.80793375,0.6334003,0.81670016,0.7401264,0.8700632,0.8262094,0.9131047,0.7523396,0.8761698,0.8105658,0.9052829,0.7739059,0.88695294,0.83193505,0.9159675
56662,0.6981398,0.8490699,0.6646228,0.8323114,0.59460855,0.7973043,0.6562206,0.82811034,0.69537926,0.8476896,0.7829574,0.89147866,0.6980546,0.8490273,0.8017138,0.9008569,0.7929865,0.89649326,0.79282784,0.8964139
56725,0.71809626,0.8590481,0.695928,0.847964,0.66596913,0.83298457,0.6536559,0.82682794,0.7249837,0.86249185,0.8138683,0.90693414,0.77211773,0.88605887,0.81870633,0.90935314,0.7748178,0.8874089,0.81351745,0.9067587
56795,0.7090084,0.8545042,0.68087053,0.84043527,0.5768286,0.7884143,0.5996795,0.79983974,0.74326766,0.8716338,0.83680016,0.91840005,0.81454897,0.9072745,0.801556,0.900778,0.7704674,0.8852337,0.8472072,0.9236036
56796,0.5772836,0.7886418,0.5980527,0.79902637,0.51446956,0.7572348,0.5342341,0.767117,0.6309861,0.81549305,0.68329453,0.84164727,0.695719,0.8478595,0.70530236,0.8526512,0.6634152,0.8317076,0.6935352,0.8467676
56797,0.71881014,0.85940504,0.70897985,0.8544899,0.59309196,0.796546,0.6413913,0.82069564,0.72469735,0.8623487,0.739432,0.869716,0.6992053,0.84960264,0.7889823,0.89449114,0.75525,0.877625,0.73931193,0.86965597
56798,0.730999,0.8654995,0.70914537,0.85457265,0.6364608,0.8182304,0.6276165,0.81380826,0.744799,0.8723995,0.80436677,0.9021834,0.796977,0.8984885,0.7788743,0.88943714,0.7651315,0.88256574,0.82168305,0.9108415
56799,0.63180596,0.81590295,0.58625257,0.7931263,0.51232815,0.7561641,0.5331862,0.7665931,0.644692,0.822346,0.7560154,0.8780077,0.7334702,0.8667351,0.7104218,0.8552109,0.7431592,0.8715796,0.77703685,0.88851845
