CV_doordash_pm_Score,gemini_flash_doordash_pm_Score,gemini_pro_doordash_pm_Score,gemini_flash_lite_doordash_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,twice_gemini_flash_doordash_pm_Score,twice_gemini_pro_doordash_pm_Score,twice_gemini_flash_lite_doordash_pm_Score,twice_gemini_flash_pro_doordash_pm_Score,twice_gemini_flash_lite_pro_doordash_pm_Score,True Label,Will Manipulate
0.87178874,0.83527076,0.8080773,0.80855757,0.82923573,0.86499065,0.81289387,0.863431,0.8314828,0.8491391,0.8374821,0.81186837,0.80855757,0.82552737,0.8178945,0,True
0.81922936,0.812062,0.8214558,0.81806314,0.8108016,0.81031966,0.79863465,0.81939626,0.81567836,0.8048954,0.83178216,0.83788013,0.8165988,0.8453288,0.77218986,0,True
0.8485755,0.82573235,0.83485764,0.8283491,0.8128805,0.81321144,0.8229199,0.83471256,0.82162404,0.82315856,0.8270762,0.83523154,0.8283491,0.8220805,0.8446859,0,True
0.7678846,0.81406695,0.7810863,0.75215495,0.7505828,0.76209533,0.7683631,0.77084565,0.801849,0.7675524,0.80170155,0.78987247,0.7451421,0.7867043,0.78219694,0,True
0.8739735,0.8827842,0.8718564,0.8607,0.8343478,0.8723872,0.87781084,0.8413936,0.86684847,0.8787981,0.8713486,0.88493013,0.86517453,0.8693731,0.8573783,0,True
0.818787,0.82631856,0.82908535,0.818183,0.8350323,0.84045297,0.8534301,0.8387141,0.85939205,0.8367557,0.8459846,0.8546354,0.7906776,0.83195245,0.82799673,0,True
0.8568124,0.86653626,0.89866364,0.87627363,0.8676752,0.8745574,0.86483574,0.88288045,0.8623301,0.8693136,0.8711429,0.89751947,0.8911295,0.87084925,0.8784592,0,True
0.80299306,0.80321455,0.82173973,0.7875674,0.8111602,0.81436086,0.7681146,0.8295965,0.80856276,0.81571704,0.7943126,0.83901775,0.7840611,0.84075904,0.8206731,0,True
0.7993674,0.8275454,0.83814096,0.7529579,0.8183059,0.8013295,0.8018804,0.8117674,0.7948599,0.81216574,0.8475321,0.83285785,0.7625146,0.8271438,0.81441617,0,True
0.8695857,0.86464846,0.8614924,0.85649645,0.8408265,0.8535538,0.867838,0.85320246,0.8709009,0.85690296,0.8636521,0.8605603,0.85189563,0.86849225,0.86153734,0,True
0.80559033,0.83185,0.82950765,0.7973604,0.80708855,0.8155121,0.8031502,0.8068233,0.82095575,0.8222655,0.8393538,0.85150695,0.79725,0.8567953,0.8463138,0,True
0.75056404,0.7766105,0.76529133,0.76831263,0.76965636,0.7603671,0.76681066,0.7944592,0.79922974,0.7609355,0.792018,0.80203044,0.76755387,0.75958014,0.7961248,0,True
0.76831985,0.8291467,0.8058856,0.7634449,0.8094425,0.8318654,0.8223741,0.8063339,0.85868704,0.8283614,0.85565805,0.8406442,0.76854837,0.85305554,0.8173115,0,True
0.8227838,0.8295897,0.83491623,0.8276085,0.8594866,0.8199613,0.8453243,0.85897547,0.790964,0.82032454,0.8662717,0.8532965,0.8128218,0.85139745,0.80228186,0,True
0.7918203,0.8047677,0.8240181,0.80122197,0.8145994,0.7832625,0.8179831,0.80756843,0.7930085,0.80765164,0.8426937,0.8254121,0.8055804,0.8198834,0.8087994,0,True
0.8368452,0.8506006,0.85276926,0.85310024,0.8322296,0.84661996,0.82735896,0.8144357,0.84228987,0.8475885,0.86405975,0.85307705,0.8662482,0.5821112,0.844321,0,True
0.7593102,0.82789433,0.8055279,0.80024207,0.8327966,0.7878274,0.77558535,0.85203516,0.8145455,0.7999672,0.83773917,0.7994875,0.7878213,0.8476341,0.83791506,0,True
0.83945763,0.85962653,0.8589189,0.825233,0.82637143,0.8331784,0.8542143,0.829514,0.84347045,0.83277404,0.8341824,0.8751042,0.8250602,0.849152,0.8623826,0,True
0.7568313,0.7724832,0.7645896,0.76100457,0.788808,0.7558282,0.74928087,0.7838677,0.83474416,0.7672796,0.78114337,0.79613155,0.7610058,0.8053236,0.8084237,0,True
0.7934563,0.8249312,0.82071865,0.78539443,0.8338758,0.8148093,0.8258712,0.8364248,0.8244331,0.83502024,0.852533,0.8668722,0.7867468,0.84171426,0.85616726,0,True
0.76289135,0.8282218,0.8056395,0.78271693,0.8054866,0.7940108,0.7906308,0.8198272,0.78432435,0.79873824,0.812695,0.8141924,0.7751634,0.8079102,0.82046443,0,True
0.8900909,0.85113794,0.8742996,0.86771685,0.8599087,0.8490381,0.87609375,0.8517941,0.85798204,0.8577262,0.84765995,0.873629,0.8495561,0.8530417,0.8653338,0,True
0.79755926,0.8314663,0.83919954,0.77349114,0.8335975,0.82882047,0.8285514,0.8266665,0.83986,0.83492297,0.8593403,0.81186354,0.77349114,0.84881175,0.8399453,0,True
0.7926491,0.7841208,0.76493335,0.7890726,0.79125017,0.7978072,0.7881683,0.780972,0.7711835,0.7972129,0.8084106,0.79242295,0.79499453,0.5821112,0.804814,0,True
0.87563723,0.8260025,0.83793855,0.8484478,0.8608916,0.87092495,0.8353219,0.8475565,0.8495015,0.8468619,0.8210381,0.8302653,0.8421589,0.5821112,0.83226657,0,True
0.7962482,0.8466878,0.81731975,0.7782629,0.84217846,0.8461282,0.8265786,0.8431731,0.8359216,0.83786887,0.8537492,0.8255758,0.7756151,0.8405851,0.78625107,0,True
0.74498343,0.75391656,0.8037962,0.77554065,0.7645153,0.7642948,0.7684664,0.765077,0.80020887,0.7799865,0.7616198,0.81746036,0.7739312,0.76006216,0.775581,0,True
0.7303113,0.7927348,0.75971866,0.72569376,0.76546633,0.7500384,0.74298,0.8028468,0.7813436,0.7990064,0.80746686,0.76423234,0.7147224,0.80848765,0.7563166,0,True
0.8289921,0.8167737,0.8662893,0.8168853,0.80730164,0.8219688,0.8131665,0.7989409,0.81921226,0.8279574,0.82434124,0.81664294,0.8168853,0.81642836,0.807582,0,True
0.8395251,0.863236,0.8732596,0.8283986,0.8663269,0.8520052,0.85258245,0.8627018,0.8483212,0.851292,0.88509506,0.8778656,0.83113134,0.87148285,0.8429176,0,True
0.70545113,0.7399639,0.72933745,0.7031733,0.8073354,0.7808752,0.7579573,0.81750864,0.75344896,0.7970927,0.7736659,0.7552656,0.7189264,0.7749103,0.74794215,0,True
0.8057692,0.77808416,0.77222455,0.7623094,0.7846628,0.8246161,0.77970463,0.8007125,0.7776904,0.8246161,0.8023352,0.7764726,0.7621941,0.8012733,0.7780622,0,True
0.79807675,0.80916154,0.79820323,0.7596482,0.80565566,0.8120002,0.7893647,0.80589837,0.78686476,0.8258592,0.8049966,0.8076274,0.75495994,0.5821111,0.79110914,0,True
0.86503965,0.8825977,0.8683336,0.8606585,0.8546489,0.86213475,0.86579293,0.8844303,0.8744538,0.85706913,0.89237905,0.87734306,0.8699979,0.88814527,0.88718116,0,True
0.72183263,0.77608114,0.76125443,0.74783915,0.7862996,0.799625,0.82775587,0.84407896,0.85765237,0.8352326,0.807183,0.7929744,0.7407035,0.82454336,0.8118489,0,True
0.81050783,0.85330176,0.81646687,0.7701342,0.8098644,0.8171596,0.81111366,0.8221385,0.81570524,0.832652,0.85368484,0.8180938,0.77168494,0.5821111,0.813153,0,True
0.74620044,0.7577941,0.7622988,0.71923816,0.7787534,0.763065,0.7658609,0.7987883,0.7733454,0.76400805,0.79272735,0.79719996,0.73735154,0.78479403,0.78702,0,True
0.8154922,0.84041446,0.8480505,0.8306826,0.8438082,0.8350047,0.8432331,0.8467593,0.87291116,0.84780926,0.8241704,0.8685899,0.8372017,0.8300812,0.83938104,0,True
0.86687994,0.86148745,0.886424,0.87386256,0.85412174,0.84686583,0.84418917,0.8513441,0.853133,0.83481467,0.8614737,0.8650304,0.8611324,0.88707024,0.85092974,0,True
0.8127352,0.8423626,0.8495193,0.834486,0.79813445,0.8074185,0.8082609,0.810565,0.8170027,0.8048624,0.8437649,0.85913086,0.8261244,0.5821112,0.84217966,0,True
0.8492846,0.85247815,0.8312458,0.802522,0.8553277,0.8607113,0.846086,0.8279252,0.8389603,0.86507434,0.86233467,0.84923893,0.8027542,0.85397524,0.8499471,0,True
0.73110425,0.7878811,0.7571038,0.7099573,0.804341,0.81212974,0.77135897,0.8147923,0.79745376,0.81339747,0.83480185,0.7641974,0.7068659,0.8261508,0.7376983,0,True
0.8301041,0.8635568,0.82655704,0.8490286,0.8338312,0.83709717,0.82634264,0.85241336,0.843255,0.85483885,0.8771474,0.83854806,0.84092754,0.5821112,0.8843156,0,True
0.73699754,0.8168404,0.7788431,0.76036763,0.780365,0.80769354,0.824582,0.8016345,0.8100437,0.8343314,0.8325337,0.8178127,0.7675102,0.83449775,0.79869306,0,True
0.87811613,0.8863754,0.8687585,0.84530354,0.8732916,0.84590894,0.8676709,0.8734179,0.87017983,0.8486241,0.8870829,0.8555182,0.84618044,0.88676256,0.86232305,0,True
0.8024687,0.7941978,0.8363242,0.7944777,0.7977916,0.7994623,0.7903364,0.8046249,0.79736525,0.8016199,0.79792374,0.85479796,0.78224945,0.830371,0.8245135,0,True
0.76825106,0.78663707,0.78709775,0.76397914,0.79431427,0.7444707,0.75336117,0.7777924,0.7944732,0.7796342,0.7939493,0.7803578,0.76589316,0.7842059,0.82894135,0,True
0.8807047,0.8649008,0.8502673,0.8357879,0.86599624,0.85105395,0.86265755,0.8604537,0.8722471,0.84694564,0.85335666,0.84342074,0.8334183,0.85643613,0.8329025,0,True
0.7561407,0.83767545,0.8590724,0.81453,0.8292166,0.83829165,0.8490699,0.8524748,0.8327824,0.8577463,0.85345,0.8592165,0.7884796,0.8351772,0.85621345,0,True
0.8118535,0.86951286,0.8423083,0.8000324,0.8636047,0.82626057,0.85377145,0.8610039,0.8390646,0.82358766,0.8659467,0.84699,0.7946304,0.84403276,0.8343187,0,True
0.7853752,0.81251264,0.8235856,0.76300204,0.8158735,0.81593263,0.8295402,0.8289149,0.82453096,0.8092017,0.82700545,0.824232,0.77019954,0.85188484,0.8498249,0,True
0.7662462,0.8084277,0.8303632,0.7703738,0.8227737,0.76675993,0.78079057,0.8199284,0.7955859,0.7696482,0.8000574,0.83687526,0.77252597,0.5821112,0.7997736,0,True
0.8074836,0.8422213,0.85171723,0.79349077,0.8314209,0.8427559,0.8443506,0.85965276,0.86759204,0.84582126,0.8759838,0.88771576,0.79085976,0.87524235,0.84383714,0,True
0.7970058,0.8029775,0.8044283,0.7921449,0.82418495,0.7900627,0.8608156,0.81480074,0.8662702,0.82643044,0.8180157,0.81810796,0.76556134,0.8126177,0.8321929,0,True
0.8237421,0.8235446,0.83544695,0.7799706,0.7941417,0.7717734,0.80237424,0.8027416,0.805958,0.78761566,0.84903955,0.83425653,0.77611464,0.8175443,0.79563946,0,True
0.81372666,0.8317018,0.85033613,0.82897055,0.80102074,0.7974418,0.79898167,0.82467747,0.81900096,0.8324263,0.8579617,0.8510699,0.8312395,0.8536525,0.85869133,0,True
0.76981676,0.842672,0.829728,0.79014945,0.8366621,0.83924925,0.8201902,0.8541386,0.8134382,0.84301,0.8500805,0.8391658,0.77986676,0.83655345,0.8470939,0,True
0.7900418,0.7735733,0.7870435,0.7790431,0.7826875,0.7861159,0.8003473,0.80779374,0.8101342,0.82301986,0.80378115,0.8072704,0.7744819,0.5821112,0.7910214,0,True
0.83550125,0.8727347,0.8775416,0.84298825,0.8691737,0.8650694,0.86636126,0.86522883,0.86435777,0.8599133,0.88335985,0.88556486,0.8296215,0.8776064,0.89615464,0,True
0.8674824,0.84115744,0.8441618,0.8616271,0.85339123,0.8593112,0.8612468,0.86948234,0.86156833,0.8594862,0.84429044,0.85748464,0.85710156,0.85557055,0.8508372,0,True
0.7667828,0.80396605,0.7864546,0.7560129,0.8178972,0.81330645,0.7906335,0.8074761,0.80836165,0.8235298,0.84689206,0.83175856,0.7573653,0.83367085,0.8177655,0,True
0.8129789,0.8339906,0.8372731,0.8138202,0.8284661,0.8479105,0.85207784,0.8427597,0.86687386,0.8488741,0.8698236,0.851609,0.8101125,0.86682105,0.8459325,0,True
0.7909018,0.8658854,0.84429765,0.8140837,0.8649854,0.85293937,0.85670507,0.8681867,0.85496205,0.8741287,0.8592149,0.86810106,0.8174717,0.83951396,0.8205259,0,True
0.7857143,0.7987469,0.77596974,0.77962625,0.8132627,0.7934075,0.8003408,0.8145815,0.81840366,0.794015,0.80876136,0.8194325,0.7783557,0.8342101,0.80294734,0,True
0.83798337,0.84487605,0.821903,0.8276787,0.8558235,0.830139,0.80557704,0.8100858,0.84881943,0.82816887,0.84655535,0.8109233,0.8191842,0.5821112,0.8574671,0,True
0.7633898,0.8009455,0.7563761,0.75048316,0.7928103,0.77054393,0.7933996,0.78301466,0.80364746,0.791718,0.7988011,0.7842775,0.7512096,0.8163488,0.77783096,0,True
0.80862546,0.84418285,0.85278845,0.7939161,0.8259512,0.83261925,0.8405633,0.84415025,0.84443015,0.8631966,0.86093,0.8625414,0.79842836,0.87668943,0.847082,0,True
0.8628199,0.8634974,0.88779753,0.85979146,0.87810695,0.8630017,0.87062454,0.88432497,0.87948334,0.88697165,0.86887854,0.88002384,0.87749,0.8900324,0.88557094,0,True
0.9022654,0.8765718,0.89516675,0.905099,0.8888794,0.8745162,0.88361907,0.89687014,0.883134,0.8874182,0.870502,0.8872216,0.90327746,0.8762212,0.9077132,0,True
0.85214484,0.8465048,0.85278773,0.8341918,0.82254624,0.8617368,0.86670184,0.86550033,0.8469888,0.84654737,0.88434064,0.8840977,0.838526,0.89121866,0.8565609,0,True
0.7105472,0.73188347,0.7541365,0.73334074,0.73590064,0.7526638,0.78216743,0.7413192,0.7797064,0.76421815,0.7403444,0.76165164,0.7350809,0.75139177,0.74120533,0,True
0.7874408,0.8315091,0.83229315,0.80504954,0.83907294,0.85681987,0.8436618,0.8474103,0.8476374,0.86474633,0.85268676,0.83256733,0.7819432,0.5821112,0.84691477,0,True
0.83122766,0.85261464,0.867325,0.8229886,0.8310207,0.8574332,0.8438164,0.8514044,0.8285703,0.86710364,0.8438728,0.86090267,0.8245279,0.8543529,0.86274445,0,True
0.79241765,0.7565213,0.8070364,0.7726206,0.800249,0.73173517,0.7466264,0.8064968,0.7463032,0.7743763,0.78421545,0.8119068,0.77548504,0.79503787,0.8087884,0,True
0.7976421,0.836981,0.82673764,0.7782563,0.82721657,0.8242055,0.83639336,0.83255625,0.849286,0.840656,0.84235376,0.8446939,0.7760453,0.85247445,0.8069669,0,True
0.7217212,0.70005715,0.6875337,0.7683501,0.7212026,0.7285211,0.7141599,0.8033031,0.79663086,0.8461181,0.70005715,0.6914902,0.76862824,0.6934111,0.7941424,0,True
0.83185154,0.8492196,0.8374116,0.83341867,0.8460134,0.86566424,0.8455026,0.83804107,0.8427665,0.8644643,0.8638733,0.8323159,0.8342705,0.8648863,0.8558332,0,True
0.73870146,0.81734455,0.829131,0.7831042,0.7629204,0.8237363,0.8264684,0.809155,0.8458247,0.8503121,0.83492476,0.8449832,0.78465295,0.83989215,0.8342602,0,True
0.793396,0.86520547,0.8368131,0.8082363,0.85554343,0.8314232,0.8246126,0.87164426,0.8300326,0.8502212,0.85630345,0.8484466,0.79667705,0.8583392,0.8411398,0,True
0.81221175,0.8050933,0.8140079,0.7778422,0.79657894,0.7695153,0.79444814,0.826237,0.81517434,0.80349314,0.85117906,0.84509647,0.7663049,0.8559556,0.8359749,0,True
0.80553424,0.79960465,0.8226267,0.76643044,0.80446696,0.81348103,0.8189046,0.82560325,0.8301025,0.82551897,0.7879665,0.82345104,0.7605105,0.8297798,0.7986442,0,True
0.78966296,0.8281448,0.8027664,0.78470516,0.80329597,0.80340904,0.7983302,0.8108095,0.79800314,0.81537986,0.8368012,0.791329,0.7774816,0.8100147,0.8044446,0,True
0.8037321,0.8160779,0.83779407,0.7637956,0.820254,0.8195502,0.8218288,0.8462658,0.8264402,0.8381438,0.8413644,0.82864195,0.76430494,0.8603912,0.8089245,0,True
0.7573557,0.82512695,0.8227031,0.7787769,0.7873843,0.7850359,0.7945219,0.80130875,0.8110782,0.7888066,0.8329222,0.8365946,0.76357114,0.8404486,0.8447489,0,True
0.83376956,0.8625151,0.8487118,0.7926654,0.86831856,0.8469901,0.846859,0.86127985,0.8409675,0.83811253,0.878809,0.8514502,0.79433453,0.88061,0.8423346,0,True
0.7555576,0.8220465,0.8199389,0.7875656,0.7841584,0.7566545,0.7684543,0.78710926,0.79879546,0.7843771,0.8487041,0.86389804,0.77821463,0.80739284,0.81485623,0,True
0.8123142,0.83530927,0.840918,0.8446059,0.79775965,0.8046906,0.8113937,0.82507956,0.8464522,0.8589641,0.83745486,0.8797828,0.8597838,0.8666629,0.8852885,0,True
0.78377265,0.8130941,0.8124227,0.7971786,0.7534826,0.7527361,0.7460369,0.79498214,0.77867043,0.81546724,0.81272554,0.81958044,0.8105273,0.8491524,0.8393542,0,True
0.70362353,0.82371294,0.8007113,0.68957686,0.69922817,0.7441765,0.72598755,0.7084866,0.769007,0.7652179,0.8106009,0.8183443,0.72892994,0.8126763,0.7583754,0,True
0.8436983,0.85452354,0.83721304,0.84663254,0.83440626,0.8564079,0.8253156,0.8423806,0.84349495,0.8630305,0.8619021,0.84372455,0.8447499,0.87818456,0.8606844,0,True
0.8582866,0.8515726,0.836957,0.80166703,0.83260167,0.82277924,0.8164932,0.83765244,0.84430623,0.8265356,0.8482262,0.83992076,0.7926203,0.5821112,0.84442174,0,True
0.84320813,0.87035865,0.88910747,0.8669272,0.8752226,0.8631486,0.8718263,0.8691678,0.8728666,0.86008805,0.87797767,0.88937795,0.87427855,0.88482434,0.889868,0,True
0.8170043,0.8459251,0.8638069,0.81356263,0.8124957,0.806935,0.8044584,0.8117339,0.8107898,0.8490968,0.842376,0.8582246,0.80935997,0.87591773,0.8601331,0,True
0.85567707,0.86568403,0.88307333,0.85524035,0.8387456,0.83589137,0.86367524,0.85583806,0.87782854,0.8435058,0.8681865,0.8766277,0.86119294,0.8630934,0.8893239,0,True
0.7788763,0.804574,0.8074534,0.78735626,0.79360276,0.8011857,0.79587674,0.847364,0.78939545,0.81956553,0.8293426,0.8655032,0.77042335,0.5821112,0.8415609,0,True
0.84148383,0.8508647,0.82102215,0.8147939,0.8258232,0.81855154,0.81496716,0.84390616,0.82871383,0.8350603,0.8580364,0.82935935,0.82886577,0.5821112,0.8298905,0,True
0.78055876,0.8385087,0.8489169,0.81125057,0.8357252,0.8289435,0.8122122,0.84231305,0.8249576,0.8383729,0.862239,0.8553657,0.81776965,0.5821112,0.84267366,0,True
0.80414337,0.8461772,0.8466529,0.81033957,0.7971324,0.810607,0.8428894,0.81047904,0.8550327,0.8672857,0.8539618,0.8658546,0.79703224,0.5821112,0.8486372,0,True
0.82294726,0.8501923,0.8402805,0.86365795,0.8134766,0.80421364,0.815389,0.8609197,0.83344716,0.8130659,0.8593604,0.87180287,0.8702573,0.86624044,0.87087905,0,True
0.8191799,0.8405395,0.8653713,0.81303716,0.8495188,0.809213,0.8529509,0.8492071,0.8536699,0.8429407,0.86446345,0.8500469,0.80736613,0.84476274,0.8530296,0,True
0.7592357,0.86485094,0.8566074,0.8110318,0.8002956,0.82952905,0.8268485,0.8497431,0.85652363,0.82640934,0.8734019,0.8487104,0.8061173,0.88598645,0.79671156,0,True
0.87758327,0.8533715,0.8756539,0.8564517,0.8778023,0.87374866,0.87680465,0.88505495,0.8926463,0.8657357,0.8601543,0.8795316,0.8564517,0.8671949,0.87351906,0,True
0.8442223,0.89134955,0.8706565,0.8744228,0.8758325,0.88544357,0.87484187,0.8743881,0.8796188,0.8864606,0.893633,0.8651966,0.8725656,0.8908244,0.878582,0,True
0.81986076,0.8388818,0.8386911,0.8283534,0.85128254,0.83938146,0.8462755,0.85231066,0.84347355,0.83839893,0.86029243,0.8616896,0.82709074,0.8631444,0.8669467,0,True
0.79092526,0.84727865,0.83276415,0.81799924,0.8416286,0.8249529,0.84240276,0.8467155,0.84970856,0.83350813,0.85357344,0.8472681,0.81799924,0.85599685,0.86816686,0,True
0.84009564,0.8469622,0.8072959,0.8211873,0.8101983,0.83215356,0.8265835,0.8383133,0.84554213,0.8408789,0.881894,0.8399612,0.8178035,0.8598106,0.862101,0,True
0.84185153,0.8425177,0.8141979,0.82881725,0.82580805,0.8388369,0.8292269,0.86196405,0.8363119,0.86519545,0.83584,0.8274636,0.81667936,0.5821112,0.83964384,0,True
0.7670759,0.80559886,0.77368414,0.7604737,0.7931149,0.8063917,0.8030835,0.81229955,0.8235541,0.8185297,0.78633046,0.7958816,0.75863874,0.8381463,0.81840014,0,True
0.85707164,0.8331476,0.84930485,0.8009436,0.84480447,0.82377106,0.84439355,0.83489895,0.830657,0.8340964,0.8283957,0.8440538,0.8154965,0.80956197,0.8320721,0,True
0.8597348,0.8711305,0.8497706,0.78365755,0.7958129,0.80558133,0.81857145,0.8178437,0.85214406,0.8340463,0.8781831,0.8583912,0.7885252,0.86159134,0.86036956,0,False
0.8475654,0.8419796,0.85416174,0.8196721,0.8493982,0.82689226,0.8626499,0.86904895,0.86860895,0.8308739,0.86125064,0.8640758,0.8193048,0.5821112,0.8452232,0,False
0.8416322,0.8617201,0.8506768,0.8318695,0.8502337,0.8457196,0.8607588,0.83356905,0.8484779,0.85330683,0.8763237,0.8764298,0.8371271,0.8452753,0.8327526,0,False
0.83197385,0.8439981,0.84025097,0.85383373,0.8194516,0.8524097,0.8300602,0.8266804,0.858925,0.83214486,0.8584105,0.829598,0.84668267,0.8588016,0.8500792,0,False
0.81147534,0.8326037,0.8266544,0.8201879,0.8567985,0.8495853,0.8557153,0.8503507,0.85120034,0.8464311,0.85708535,0.8379108,0.80631065,0.852191,0.8422787,0,False
0.8745009,0.855384,0.8616907,0.85843086,0.8689736,0.8790061,0.8638534,0.8788845,0.8710586,0.8726096,0.86100966,0.8258271,0.85236746,0.86229503,0.86198294,0,False
0.8404902,0.86403584,0.85475004,0.86205035,0.86526453,0.8632743,0.8582301,0.86634696,0.8596592,0.85387987,0.87978995,0.8656363,0.85287714,0.8656058,0.8654901,0,False
0.8276128,0.84583944,0.8455603,0.8160633,0.8560977,0.86923003,0.84909767,0.85989124,0.85722756,0.85938287,0.8363559,0.8357229,0.82696754,0.846689,0.8171593,0,False
