,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Score
53978,0.6559935,0.82799673,0.613725,0.8068625,0.5670316,0.7835158,0.5830705,0.79153526,0.6732993,0.83664966,0.7789874,0.8894937,0.7234479,0.86172396,0.7229911,0.86149555,0.7462949,0.8731475,0.8020202,0.9010101
53979,0.75691843,0.8784592,0.7310925,0.8655462,0.68201786,0.8410089,0.6715126,0.8357563,0.76330304,0.8816515,0.8565747,0.9282874,0.7965934,0.8982967,0.8239182,0.9119591,0.81321645,0.9066082,0.840975,0.9204875
53981,0.6413463,0.8206731,0.65377235,0.8268862,0.57167405,0.78583705,0.57955146,0.7897757,0.6643137,0.83215684,0.7518723,0.87593615,0.73223346,0.86611676,0.7235573,0.8617786,0.7541238,0.8770619,0.75953174,0.87976587
54796,0.62883234,0.81441617,0.64938974,0.8246949,0.5246925,0.76234627,0.6089953,0.80449766,0.58897054,0.7944853,0.6528057,0.82640284,0.65220344,0.8261017,0.71162766,0.85581386,0.7306491,0.86532456,0.71855474,0.85927737
54797,0.72307473,0.86153734,0.697347,0.84867346,0.6620457,0.83102286,0.59885216,0.7994261,0.7650902,0.8825451,0.8325135,0.9162568,0.76515305,0.8825765,0.80114794,0.90057397,0.72641504,0.8632075,0.79863584,0.8993179
54798,0.69262755,0.8463138,0.7238658,0.8619329,0.6254902,0.8127451,0.6543463,0.8271731,0.68229115,0.8411456,0.71385026,0.85692513,0.7194041,0.85970205,0.737438,0.868719,0.7735596,0.8867798,0.74304277,0.87152135
54799,0.5922496,0.7961248,0.60812426,0.8040621,0.52432644,0.7621632,0.5701022,0.7850511,0.5938591,0.79692954,0.7022927,0.85114634,0.67800784,0.8390039,0.70852935,0.8542647,0.7497523,0.87487614,0.76462305,0.8823115
54800,0.63462305,0.8173115,0.6533277,0.82666385,0.5785238,0.78926194,0.5743433,0.78717166,0.6381073,0.81905365,0.7236664,0.8618332,0.74188614,0.87094307,0.7482446,0.87412226,0.77749574,0.8887479,0.78493726,0.89246863
56453,0.6045638,0.80228186,0.6284524,0.8142262,0.5544279,0.77721393,0.5480515,0.77402574,0.6712736,0.8356368,0.689623,0.8448115,0.7628509,0.88142544,0.68490547,0.84245276,0.7201786,0.8600893,0.7181697,0.85908484
56528,0.6175988,0.8087994,0.5876778,0.79383886,0.51620495,0.7581025,0.54411757,0.7720588,0.61529607,0.80764806,0.6853622,0.8426811,0.6708888,0.8354444,0.63082707,0.81541353,0.6997279,0.84986395,0.67938673,0.83969337
56542,0.688642,0.844321,0.69766,0.84883,0.56801796,0.784009,0.62870836,0.8143542,0.6849556,0.8424778,0.73176897,0.8658845,0.7302443,0.86512214,0.78333807,0.89166903,0.76147956,0.8807398,0.7754588,0.8877294
56543,0.6758302,0.83791506,0.6410886,0.8205443,0.57620084,0.7881004,0.57552516,0.7877626,0.6834456,0.8417228,0.7926194,0.89630973,0.75619155,0.87809575,0.7347435,0.86737174,0.7592763,0.87963814,0.8012297,0.90061486
56544,0.7247652,0.8623826,0.6975968,0.8487984,0.647261,0.8236305,0.65817106,0.8290855,0.7225396,0.86126983,0.7923588,0.89617944,0.7767662,0.8883831,0.76748264,0.8837413,0.7722733,0.88613665,0.8110013,0.90550065
56545,0.6168474,0.8084237,0.68819135,0.8440957,0.53900385,0.7695019,0.6065278,0.8032639,0.61925364,0.8096268,0.63419324,0.8170966,0.66322637,0.8316132,0.7202362,0.8601181,0.7378729,0.8689364,0.6825963,0.84129816
56618,0.7123345,0.85616726,0.7631022,0.8815511,0.63617164,0.8180858,0.6627168,0.83135843,0.7102126,0.8551063,0.7453445,0.87267226,0.75234795,0.876174,0.81729007,0.90864503,0.8131975,0.90659875,0.77996373,0.88998187
56619,0.64092886,0.82046443,0.6192357,0.8096179,0.55792105,0.7789605,0.57839036,0.7891952,0.6382785,0.81913924,0.7423656,0.8711828,0.70264584,0.8513229,0.6962662,0.8481331,0.7410757,0.8705379,0.7705771,0.88528854
56629,0.73066765,0.8653338,0.7134648,0.85673237,0.63308406,0.816542,0.68570244,0.8428512,0.7296115,0.86480576,0.8037149,0.90185744,0.7409207,0.8704604,0.8017179,0.90085894,0.76027596,0.880138,0.7940805,0.89704025
56630,0.67989063,0.8399453,0.66950834,0.83475417,0.57741916,0.7887096,0.6177526,0.8088763,0.67639613,0.83819807,0.7856004,0.8928002,0.7501883,0.8750942,0.76824737,0.8841237,0.7954758,0.89773786,0.81106514,0.9055326
56631,0.6096279,0.804814,0.6302591,0.8151295,0.5513739,0.775687,0.57615185,0.7880759,0.62425035,0.8121252,0.71508694,0.85754347,0.6821821,0.84109104,0.71604156,0.8580208,0.73585343,0.8679267,0.7790606,0.8895303
56632,0.6645331,0.83226657,0.64156616,0.8207831,0.587754,0.793877,0.61628044,0.8081402,0.6615096,0.83075476,0.7894243,0.89471215,0.73877984,0.8693899,0.77467275,0.8873364,0.7736583,0.88682914,0.81256163,0.9062808
56633,0.57250214,0.78625107,0.55414367,0.77707183,0.49460638,0.7473032,0.50147176,0.7507359,0.5560086,0.7780043,0.6389247,0.81946236,0.63708365,0.8185418,0.59750074,0.7987504,0.6454723,0.82273614,0.68758357,0.8437918
56634,0.55116206,0.775581,0.5740129,0.78700644,0.48358187,0.74179095,0.5043298,0.7521649,0.5810324,0.7905162,0.6416575,0.82082874,0.6545936,0.8272968,0.6211635,0.81058174,0.71273375,0.8563669,0.69421273,0.84710634
56635,0.5126332,0.7563166,0.5507808,0.7753904,0.48085874,0.7404294,0.45290166,0.7264508,0.50901735,0.7545087,0.6058035,0.80290174,0.60813487,0.80406743,0.60108316,0.8005416,0.60328007,0.80164003,0.65576714,0.8278836
56637,0.6151641,0.807582,0.63726556,0.8186328,0.51984346,0.7599217,0.62706816,0.8135341,0.6221324,0.8110662,0.6508705,0.8254353,0.67475533,0.83737767,0.7333728,0.8666864,0.69631267,0.84815633,0.6933067,0.84665334
56638,0.68583524,0.8429176,0.6849565,0.8424783,0.5912216,0.7956108,0.60147256,0.8007363,0.7294713,0.86473566,0.7991405,0.8995702,0.7870643,0.89353216,0.77392995,0.886965,0.74754065,0.87377036,0.79976416,0.8998821
56639,0.49588433,0.74794215,0.48997548,0.7449877,0.45460516,0.72730255,0.4523278,0.72616386,0.53207713,0.76603854,0.6331521,0.81657606,0.6306576,0.81532884,0.58366126,0.79183066,0.63215625,0.8160781,0.6751188,0.8375594
56641,0.55612445,0.7780622,0.53780246,0.7689012,0.46178728,0.7308936,0.49124312,0.74562156,0.5828644,0.7914322,0.70305055,0.8515253,0.71115494,0.85557747,0.6287838,0.8143919,0.69049865,0.8452493,0.7330657,0.86653286
56642,0.5822183,0.79110914,0.5621926,0.78109634,0.48302916,0.74151456,0.49425334,0.7471267,0.5789539,0.789477,0.67678094,0.83839047,0.6862679,0.8431339,0.6139127,0.80695635,0.67361164,0.8368058,0.6910776,0.8455388
56643,0.7743623,0.88718116,0.7842879,0.89214396,0.72826374,0.86413187,0.68885005,0.844425,0.763626,0.881813,0.77199835,0.8859992,0.71870065,0.8593503,0.82196593,0.91098297,0.7677663,0.8838831,0.7738513,0.88692564
56644,0.62369776,0.8118489,0.6211469,0.81057346,0.5381168,0.7690584,0.57487434,0.7874372,0.61913586,0.8095679,0.6588041,0.8294021,0.6981782,0.8490891,0.684619,0.8423095,0.71267205,0.856336,0.6953733,0.84768665
56645,0.62630606,0.813153,0.6604512,0.8302256,0.554081,0.7770405,0.6327832,0.8163916,0.6099601,0.80498004,0.70025384,0.8501269,0.68079877,0.8403994,0.7442949,0.87214744,0.7635853,0.88179266,0.76203704,0.8810185
56646,0.57404006,0.78702,0.5512494,0.7756247,0.48025498,0.7401275,0.55197954,0.7759898,0.564548,0.782274,0.6366861,0.81834304,0.63500303,0.81750154,0.63172245,0.8158612,0.67054033,0.83527017,0.6811162,0.8405581
56647,0.6787621,0.83938104,0.68734884,0.8436744,0.5896385,0.79481924,0.65383685,0.8269184,0.6985346,0.8492673,0.7436975,0.87184876,0.7568139,0.87840694,0.7414851,0.87074256,0.76709425,0.8835471,0.77362907,0.88681453
56648,0.7018595,0.85092974,0.697686,0.848843,0.6266874,0.8133437,0.6866312,0.8433156,0.7042093,0.85210466,0.73159015,0.8657951,0.74504864,0.8725243,0.7699354,0.8849677,0.7794355,0.88971776,0.7727997,0.88639987
56649,0.6843593,0.84217966,0.6990088,0.8495044,0.61212605,0.80606306,0.6413367,0.82066834,0.64202636,0.8210132,0.67294776,0.8364739,0.6414589,0.8207295,0.70898294,0.8544915,0.7386079,0.86930394,0.6910722,0.8455361
56650,0.69989413,0.8499471,0.6599841,0.82999206,0.59224707,0.7961235,0.5868104,0.7934052,0.70772797,0.85386395,0.8117813,0.90589064,0.777393,0.8886965,0.74839437,0.8741972,0.7610707,0.88053536,0.8164964,0.9082482
56651,0.47539663,0.7376983,0.45932305,0.7296615,0.39754874,0.69877434,0.4127258,0.7063629,0.4801594,0.7400797,0.55755615,0.7787781,0.60006416,0.8000321,0.5391412,0.7695706,0.56144047,0.78072023,0.5991677,0.79958385
56652,0.7686312,0.8843156,0.7285317,0.86426586,0.65101045,0.82550526,0.65135086,0.8256754,0.7520286,0.8760143,0.83591735,0.9179587,0.7947295,0.89736474,0.8101324,0.9050662,0.82315814,0.9115791,0.8341911,0.91709554
56653,0.59738606,0.79869306,0.58669907,0.7933495,0.5287908,0.76439536,0.5261668,0.7630834,0.593253,0.7966265,0.6887211,0.8443606,0.6506376,0.8253188,0.6652467,0.83262336,0.7097888,0.8548944,0.70433235,0.8521662
56654,0.72464615,0.86232305,0.70512307,0.85256153,0.6344857,0.81724286,0.64556104,0.8227805,0.7203549,0.86017746,0.795379,0.89768946,0.76785684,0.8839284,0.7932528,0.8966264,0.78674483,0.8933724,0.82947856,0.91473925
56656,0.649027,0.8245135,0.6147088,0.8073544,0.5730432,0.7865216,0.56218225,0.7810911,0.6668209,0.83341044,0.730652,0.865326,0.7067783,0.85338914,0.67725646,0.83862823,0.7200364,0.8600182,0.74366367,0.87183183
56657,0.6578827,0.82894135,0.61902046,0.80951023,0.543511,0.77175546,0.56594265,0.7829713,0.67278564,0.8363928,0.8048208,0.9024104,0.74878883,0.8743944,0.73689854,0.8684493,0.7661406,0.8830703,0.8145216,0.9072608
56661,0.665805,0.8329025,0.68248594,0.84124297,0.5700675,0.78503376,0.6111368,0.8055684,0.67432964,0.8371648,0.7456043,0.87280214,0.71004754,0.85502374,0.7434163,0.87170815,0.74350286,0.8717514,0.74616903,0.87308455
56662,0.7124269,0.85621345,0.71047294,0.8552365,0.60576004,0.80288005,0.67046976,0.8352349,0.6861418,0.84307086,0.7535203,0.8767601,0.709665,0.85483253,0.79124355,0.8956218,0.79382837,0.8969142,0.77725434,0.8886272
56725,0.6686374,0.8343187,0.6605954,0.8302977,0.5877249,0.79386246,0.6075009,0.80375046,0.6548765,0.82743824,0.7144809,0.85724044,0.72786796,0.863934,0.7511265,0.87556326,0.7138901,0.85694504,0.74923766,0.8746188
56795,0.69964975,0.8498249,0.7106385,0.85531926,0.6368178,0.8184089,0.64060056,0.8203003,0.7499193,0.87495965,0.74988884,0.87494445,0.78156453,0.89078224,0.80247587,0.90123796,0.7836381,0.89181906,0.79301643,0.8965082
56796,0.59954715,0.7997736,0.60683393,0.80341697,0.5399786,0.7699893,0.5740034,0.7870017,0.6503402,0.8251701,0.7047069,0.85235345,0.7049916,0.8524958,0.72230625,0.8611531,0.7073592,0.8536796,0.7380595,0.86902976
56797,0.6876743,0.84383714,0.7208407,0.86042035,0.5808791,0.79043955,0.6363561,0.81817806,0.6823648,0.8411824,0.72240806,0.861204,0.732453,0.8662265,0.7549975,0.87749875,0.7730491,0.88652456,0.76261294,0.88130647
56798,0.6643858,0.8321929,0.6439744,0.8219872,0.5968211,0.79841053,0.60531956,0.80265975,0.66454023,0.83227015,0.716836,0.858418,0.7267356,0.8633678,0.701613,0.8508065,0.7076659,0.85383296,0.7407964,0.87039816
56799,0.5912789,0.79563946,0.6008357,0.80041784,0.49949032,0.74974513,0.5476236,0.7738118,0.6094767,0.80473834,0.6726948,0.8363474,0.6954452,0.8477226,0.67116725,0.8355836,0.72640586,0.8632029,0.7282809,0.86414045
56800,0.71738267,0.85869133,0.7208322,0.8604161,0.6367172,0.8183586,0.68997097,0.8449855,0.6717317,0.83586586,0.7251178,0.8625589,0.678525,0.8392625,0.7691295,0.88456476,0.76642334,0.8832117,0.7429848,0.8714924
56801,0.69418776,0.8470939,0.68143076,0.8407154,0.6010653,0.80053264,0.6076005,0.8038002,0.69473505,0.8473675,0.78441846,0.89220923,0.7342545,0.86712724,0.7514353,0.87571764,0.75691247,0.87845623,0.76161623,0.8808081
56802,0.5820428,0.7910214,0.56353444,0.78176725,0.49929935,0.74964964,0.5399868,0.7699934,0.5421385,0.7710693,0.6656904,0.8328452,0.65336245,0.82668126,0.64425707,0.82212853,0.7178852,0.8589426,0.7093605,0.85468024
56803,0.7923093,0.89615464,0.7586546,0.8793273,0.70999956,0.8549998,0.67623365,0.8381168,0.76958334,0.8847917,0.84823334,0.9241167,0.78773713,0.89386857,0.8489823,0.92449117,0.78509414,0.8925471,0.83968693,0.91984344
56804,0.70167434,0.8508372,0.721555,0.8607775,0.6249456,0.8124728,0.6490234,0.8245117,0.71202326,0.8560116,0.790807,0.8954035,0.74997663,0.8749883,0.8093527,0.9046763,0.7961767,0.89808834,0.8057418,0.9028709
56805,0.63553095,0.8177655,0.6301383,0.81506914,0.5918254,0.79591274,0.62646055,0.8132303,0.6003443,0.80017215,0.67424786,0.83712393,0.638645,0.81932247,0.7000391,0.8500196,0.741816,0.870908,0.73594457,0.86797225
56807,0.69186497,0.8459325,0.6851665,0.84258324,0.59631366,0.79815686,0.60719216,0.8035961,0.71288115,0.85644054,0.776258,0.888129,0.77997553,0.88998777,0.73316646,0.8665832,0.79126036,0.8956302,0.81444514,0.90722257
56809,0.6410518,0.8205259,0.6306537,0.8153268,0.5677566,0.7838783,0.62617034,0.8130852,0.6196848,0.8098424,0.72421134,0.86210567,0.6740692,0.8370346,0.7538569,0.87692845,0.7624006,0.8812003,0.7656045,0.88280225
56859,0.6058947,0.80294734,0.5961331,0.79806656,0.4848265,0.7424133,0.5760691,0.78803456,0.60886914,0.80443454,0.68904495,0.8445225,0.68501306,0.8425065,0.6658251,0.83291256,0.71962476,0.8598124,0.7090534,0.8545267
56860,0.71493423,0.8574671,0.72008,0.86004,0.63558567,0.81779283,0.7005787,0.85028934,0.6968622,0.8484311,0.78628445,0.8931422,0.7179499,0.85897493,0.8171823,0.90859115,0.7684654,0.8842327,0.8051079,0.9025539
56861,0.5556619,0.77783096,0.54998875,0.7749944,0.46865517,0.73432755,0.56600666,0.78300333,0.5589973,0.77949864,0.6235341,0.81176704,0.61700267,0.80850136,0.6366912,0.8183456,0.6503515,0.82517576,0.6632673,0.8316337
56862,0.69416404,0.847082,0.6774097,0.8387048,0.584056,0.792028,0.6047905,0.8023952,0.6508046,0.82540226,0.7296977,0.86484885,0.6907997,0.84539986,0.7215624,0.8607812,0.7434212,0.8717106,0.73261774,0.86630887
57384,0.7711419,0.88557094,0.7318754,0.8659377,0.6868267,0.84341335,0.6703723,0.8351861,0.7626848,0.8813424,0.8327867,0.91639334,0.7900429,0.89502144,0.8222503,0.9111252,0.77281976,0.8864099,0.8289052,0.9144526
57400,0.8154264,0.9077132,0.73855996,0.86928,0.73150915,0.8657546,0.6823932,0.8411966,0.7730906,0.8865453,0.8066137,0.90330684,0.7470833,0.87354165,0.81716084,0.9085804,0.7406095,0.87030476,0.7925255,0.89626276
62042,0.7131218,0.8565609,0.6949876,0.84749377,0.6265913,0.81329566,0.65260947,0.82630473,0.6637653,0.83188266,0.7393707,0.86968535,0.7299227,0.8649614,0.71723545,0.8586177,0.7696828,0.88484144,0.7592981,0.87964904
63086,0.48241064,0.74120533,0.4907663,0.74538314,0.427665,0.7138325,0.44386292,0.72193146,0.490042,0.745021,0.5908259,0.79541296,0.5833497,0.79167485,0.5633177,0.7816589,0.6043316,0.8021658,0.6157154,0.8078577
63087,0.6938296,0.84691477,0.63626325,0.8181316,0.5938588,0.79692936,0.629969,0.8149845,0.69777775,0.8488889,0.77646655,0.8882333,0.7781187,0.88905936,0.7154498,0.8577249,0.7323428,0.86617136,0.80614114,0.90307057
83710,0.72548884,0.86274445,0.74851024,0.8742551,0.6577221,0.82886106,0.69876933,0.84938467,0.7286128,0.8643064,0.7703985,0.88519925,0.7176981,0.85884905,0.7945132,0.8972566,0.79801273,0.89900637,0.7954304,0.8977152
83711,0.61757684,0.8087884,0.6754408,0.8377204,0.6060666,0.8030333,0.60510015,0.8025501,0.5593214,0.7796607,0.5551358,0.77756786,0.5518548,0.7759274,0.65346515,0.8267326,0.6296927,0.81484634,0.5861343,0.79306716
86666,0.6139338,0.8069669,0.69748235,0.8487412,0.5569508,0.7784754,0.6302707,0.81513536,0.61696804,0.808484,0.65863717,0.8293186,0.69759274,0.84879637,0.73983264,0.8699163,0.739547,0.8697735,0.72005606,0.860028
87779,0.58828485,0.7941424,0.6375259,0.81876296,0.5017079,0.75085396,0.58390427,0.79195213,0.56004345,0.7800217,0.55498075,0.7774904,0.59365875,0.79682934,0.5981035,0.79905176,0.6113598,0.8056799,0.6011083,0.80055416
97622,0.71166635,0.8558332,0.66686594,0.833433,0.62651265,0.8132563,0.61398804,0.806994,0.74601567,0.87300783,0.8287563,0.91437817,0.77891636,0.8894582,0.78727853,0.89363927,0.7692292,0.8846146,0.8269768,0.9134884
98134,0.6685205,0.8342602,0.6589234,0.8294617,0.57704395,0.788522,0.5694351,0.78471756,0.6910802,0.8455401,0.79394674,0.8969734,0.7820832,0.89104164,0.7700681,0.8850341,0.7708174,0.8854087,0.82903755,0.9145188
