,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_google_ux_Score
56618,0.67948604,0.839743,0.7149373,0.85746866,0.6221168,0.8110584,0.6378533,0.8189267,0.6845957,0.84229785,0.7342062,0.8671031,0.71713895,0.8585695,0.7973989,0.89869946,0.78784597,0.893923,0.75970995,0.879855
56619,0.6426348,0.82131743,0.63428706,0.81714356,0.54706013,0.77353007,0.5900061,0.79500306,0.6490765,0.82453823,0.7551884,0.87759423,0.7084108,0.85420537,0.71523464,0.8576173,0.731431,0.8657155,0.75855994,0.87928
56629,0.70401084,0.8520054,0.67630553,0.83815277,0.60605294,0.80302644,0.63096285,0.8154814,0.722247,0.8611235,0.8319906,0.9159953,0.7675465,0.8837732,0.8402591,0.92012954,0.75874746,0.8793737,0.8170595,0.90852976
56630,0.70884657,0.8544233,0.67986983,0.83993495,0.58988184,0.79494095,0.6017618,0.8008809,0.6912013,0.84560066,0.80179083,0.9008954,0.7848944,0.89244723,0.77276623,0.8863831,0.7896217,0.89481086,0.8376867,0.9188434
56631,0.5435339,0.77176696,0.5668573,0.78342867,0.48768312,0.7438415,0.5603657,0.78018284,0.5641538,0.7820769,0.6060549,0.80302745,0.5824008,0.7912004,0.63861936,0.8193097,0.66375816,0.8318791,0.68666524,0.84333265
56632,0.7272935,0.86364675,0.66951615,0.83475804,0.6178789,0.80893946,0.6455728,0.8227864,0.73286724,0.8664336,0.82558733,0.91279364,0.7789098,0.8894549,0.825015,0.91250753,0.76369655,0.8818483,0.82437897,0.9121895
56633,0.6581621,0.82908106,0.6259185,0.81295925,0.5911126,0.7955563,0.55721533,0.77860767,0.6856576,0.8428288,0.75672054,0.8783603,0.72801197,0.864006,0.7083736,0.8541868,0.709157,0.8545785,0.74830353,0.87415177
56634,0.6455332,0.8227666,0.6451854,0.82259274,0.549108,0.774554,0.5768962,0.7884481,0.6953982,0.8476991,0.7698741,0.88493705,0.7538321,0.87691605,0.77188885,0.8859444,0.7865132,0.8932566,0.81119746,0.90559876
56635,0.5392089,0.76960444,0.5968757,0.79843783,0.49719554,0.74859774,0.51827824,0.7591391,0.5887948,0.7943974,0.69410855,0.84705424,0.6727818,0.8363909,0.6652299,0.83261496,0.6640959,0.83204794,0.69551724,0.84775865
56637,0.65868783,0.8293439,0.6391493,0.81957465,0.5409453,0.77047265,0.62335026,0.81167513,0.6944105,0.8472053,0.76572275,0.8828614,0.7337735,0.86688673,0.7602421,0.88012105,0.7379104,0.8689552,0.7729385,0.88646924
56638,0.7091075,0.85455376,0.70980275,0.8549014,0.62282336,0.8114117,0.62329334,0.8116467,0.75510645,0.8775532,0.7694049,0.88470244,0.7732583,0.88662916,0.78413045,0.8920652,0.7389853,0.86949265,0.77702606,0.888513
56639,0.59889275,0.79944634,0.6066916,0.8033458,0.5085391,0.75426954,0.5378477,0.7689239,0.67584836,0.8379242,0.75112927,0.87556463,0.77349204,0.88674605,0.7074929,0.8537464,0.7342868,0.8671434,0.7703382,0.8851691
56641,0.6179345,0.80896723,0.5937513,0.79687566,0.53029144,0.7651457,0.54766136,0.77383065,0.651073,0.8255365,0.75583863,0.8779193,0.75333756,0.8766688,0.6954533,0.84772664,0.71672845,0.8583642,0.7789329,0.88946646
56642,0.61528766,0.80764383,0.5988867,0.79944336,0.504202,0.752101,0.54867816,0.7743391,0.61207247,0.80603623,0.6775973,0.83879864,0.7032117,0.8516059,0.6590235,0.82951176,0.7112432,0.8556216,0.6867634,0.8433817
56643,0.7210889,0.86054444,0.68643194,0.84321594,0.6313306,0.8156653,0.64494145,0.8224707,0.67584556,0.8379228,0.70910245,0.8545512,0.609942,0.804971,0.7321553,0.86607766,0.7136045,0.8568022,0.6748699,0.83743495
56644,0.6364057,0.81820285,0.6362479,0.81812394,0.56339777,0.7816989,0.56945693,0.78472847,0.63542795,0.817714,0.68011075,0.84005535,0.69449526,0.8472476,0.70199347,0.85099673,0.7149248,0.8574624,0.706205,0.8531025
56645,0.60461235,0.8023062,0.61020494,0.80510247,0.5291213,0.76456064,0.6072761,0.80363804,0.59163934,0.79581964,0.6810905,0.84054524,0.6437185,0.82185924,0.7106324,0.85531616,0.71675587,0.85837793,0.71427906,0.8571395
56646,0.5609552,0.78047764,0.5443553,0.77217764,0.44119704,0.7205985,0.5336132,0.7668066,0.55343914,0.77671957,0.62300444,0.8115022,0.61331224,0.8066561,0.60008764,0.8000438,0.6337867,0.81689334,0.6334618,0.81673086
56647,0.69080424,0.8454021,0.68740153,0.84370077,0.59351635,0.7967582,0.65724695,0.8286235,0.7205124,0.8602562,0.7581291,0.87906456,0.74316895,0.8715845,0.7558209,0.87791044,0.7491907,0.87459534,0.76582396,0.882912
56648,0.6537419,0.8268709,0.6207906,0.8103953,0.56109494,0.7805475,0.64435095,0.8221755,0.65088,0.82544,0.6847288,0.84236443,0.689412,0.844706,0.7146643,0.8573321,0.69634694,0.8481735,0.7022921,0.85114604
56649,0.61283135,0.8064157,0.6088785,0.80443925,0.5408725,0.7704363,0.5594827,0.77974135,0.6088928,0.8044464,0.65779495,0.8288975,0.58386064,0.7919303,0.6372317,0.81861585,0.6719618,0.8359809,0.6465019,0.82325095
56650,0.7136475,0.85682374,0.68003577,0.8400179,0.60900444,0.80450225,0.6171278,0.8085639,0.7450127,0.8725064,0.82122695,0.9106135,0.8024782,0.9012391,0.7805158,0.8902579,0.7737544,0.8868772,0.8247018,0.9123509
56651,0.64628786,0.82314396,0.6022802,0.80114007,0.5722163,0.78610814,0.55053794,0.775269,0.68473285,0.84236646,0.7869671,0.8934835,0.7198154,0.8599077,0.72653174,0.8632659,0.738932,0.869466,0.7801618,0.8900809
56652,0.7218373,0.86091864,0.7236007,0.8618003,0.61675155,0.8083758,0.6444245,0.8222122,0.74830514,0.87415254,0.81274813,0.9063741,0.76759386,0.88379693,0.8182981,0.90914905,0.7823459,0.89117295,0.80179834,0.9008992
56653,0.5295202,0.76476014,0.5668881,0.78344405,0.47534782,0.7376739,0.4759251,0.73796254,0.57158464,0.78579235,0.6365105,0.81825525,0.6616887,0.83084434,0.63121736,0.8156087,0.65184057,0.8259203,0.6551154,0.8275577
56654,0.7376013,0.86880064,0.6645471,0.83227354,0.6237355,0.8118677,0.61358416,0.8067921,0.7467259,0.87336296,0.8471758,0.9235879,0.7422699,0.87113494,0.7822082,0.8911041,0.7773365,0.88866824,0.83251613,0.9162581
56656,0.6061114,0.8030557,0.6081014,0.8040507,0.52018344,0.7600917,0.5561633,0.77808166,0.64713526,0.8235676,0.69201267,0.84600633,0.69029003,0.845145,0.67596424,0.8379821,0.70371103,0.8518555,0.71730626,0.8586531
56657,0.56360054,0.78180027,0.52534974,0.76267487,0.45893848,0.72946924,0.4871971,0.7435986,0.6020329,0.80101645,0.7108387,0.85541934,0.6753504,0.8376752,0.6284017,0.8142009,0.6647383,0.83236915,0.7126199,0.85630995
56661,0.7001467,0.85007334,0.6611469,0.83057344,0.58141327,0.79070663,0.59926534,0.79963267,0.6801555,0.84007776,0.8048322,0.9024161,0.6870794,0.8435397,0.75164855,0.8758243,0.7416835,0.87084174,0.78116524,0.8905826
56662,0.70891577,0.85445786,0.66300046,0.83150023,0.59160995,0.795805,0.64873934,0.82436967,0.68873286,0.84436643,0.78804576,0.8940229,0.692737,0.8463685,0.7937671,0.89688355,0.78898275,0.8944914,0.7863482,0.8931741
56725,0.70498574,0.85249287,0.65116334,0.82558167,0.6262297,0.8131149,0.60807383,0.8040369,0.7011802,0.8505901,0.82961917,0.9148096,0.7452456,0.8726228,0.78579885,0.8928994,0.7540182,0.8770091,0.8171426,0.9085713
56795,0.6772748,0.8386374,0.68927014,0.84463507,0.6117454,0.8058727,0.6138124,0.8069062,0.7306,0.8653,0.77476305,0.88738155,0.78328407,0.89164203,0.8095366,0.9047683,0.78261405,0.891307,0.79404235,0.8970212
56796,0.5927666,0.79638326,0.6125635,0.80628175,0.5379975,0.76899874,0.5546626,0.7773313,0.67983615,0.8399181,0.75132257,0.87566125,0.7661995,0.8830998,0.74299586,0.8714979,0.72061205,0.860306,0.7707381,0.88536906
56797,0.70963144,0.8548157,0.6923931,0.84619653,0.56804883,0.7840244,0.6340951,0.81704754,0.7094183,0.85470915,0.7505045,0.87525225,0.7078551,0.85392755,0.7636248,0.8818124,0.7508559,0.87542796,0.7529464,0.8764732
56798,0.7106972,0.8553486,0.66192555,0.8309628,0.62689143,0.8134457,0.610096,0.805048,0.71673864,0.85836935,0.7909652,0.8954826,0.7681208,0.8840604,0.7719171,0.88595855,0.7557694,0.8778847,0.8130951,0.90654755
56799,0.6141932,0.8070966,0.572338,0.786169,0.48353487,0.7417674,0.538739,0.7693695,0.6203693,0.81018466,0.70435977,0.8521799,0.6848464,0.8424232,0.68105745,0.8405287,0.69635224,0.8481761,0.7274505,0.86372524
56800,0.62374353,0.81187177,0.608397,0.8041985,0.53155404,0.765777,0.6007358,0.8003679,0.566735,0.7833675,0.61188626,0.80594313,0.5645388,0.78226936,0.65727437,0.8286372,0.61410403,0.807052,0.6214488,0.8107244
56801,0.69501317,0.8475066,0.6595162,0.8297581,0.6021414,0.8010707,0.60164917,0.8008246,0.70293176,0.8514659,0.83536744,0.9176837,0.7304876,0.8652438,0.78198653,0.89099324,0.7522467,0.8761233,0.79919946,0.89959973
56802,0.5719069,0.78595346,0.5598233,0.77991164,0.5309716,0.76548576,0.54685676,0.7734284,0.5548128,0.7774064,0.6514007,0.82570034,0.6394439,0.81972194,0.64533013,0.8226651,0.6947693,0.8473847,0.66350335,0.8317517
56803,0.7028855,0.85144275,0.7224736,0.8612368,0.6403459,0.8201729,0.6592071,0.82960355,0.67979693,0.83989847,0.7322192,0.8661096,0.69848657,0.8492433,0.7631507,0.88157535,0.72297454,0.86148727,0.74886394,0.87443197
56804,0.73729146,0.8686457,0.73364913,0.86682457,0.653368,0.826684,0.6597074,0.8298537,0.76277494,0.8813875,0.82532847,0.91266423,0.7529053,0.8764527,0.847746,0.923873,0.80641115,0.9032056,0.81355536,0.9067777
56805,0.6372198,0.8186099,0.60230696,0.8011535,0.5805299,0.79026496,0.6263076,0.8131538,0.56783044,0.7839152,0.6370404,0.8185202,0.56918406,0.78459203,0.6817132,0.8408566,0.68325716,0.84162855,0.64653146,0.82326573
56807,0.7004362,0.85021806,0.6952625,0.8476312,0.60305536,0.8015277,0.63468415,0.81734204,0.70974034,0.8548702,0.77156013,0.8857801,0.7613733,0.88068664,0.7534609,0.87673044,0.7766135,0.88830674,0.79295135,0.8964757
56809,0.74525,0.872625,0.6992871,0.8496436,0.66365814,0.8318291,0.6521299,0.82606494,0.7464842,0.87324214,0.84773636,0.9238682,0.76769567,0.88384783,0.85009766,0.9250488,0.8153108,0.90765536,0.84460056,0.9223003
56859,0.6274426,0.8137213,0.5995032,0.79975164,0.49908483,0.7495424,0.58311534,0.79155767,0.6389306,0.8194653,0.6861115,0.8430557,0.6678431,0.83392155,0.6649096,0.8324548,0.6890983,0.8445492,0.6795152,0.83975756
56860,0.6345712,0.8172856,0.6280681,0.81403404,0.5837278,0.7918639,0.68602765,0.8430138,0.6278938,0.8139469,0.7285483,0.86427414,0.6740568,0.8370284,0.7554172,0.8777086,0.73182404,0.865912,0.7634825,0.8817413
56861,0.6093886,0.8046943,0.5861727,0.79308635,0.5148368,0.7574184,0.6157974,0.8078987,0.6303196,0.8151598,0.70079386,0.85039693,0.7034675,0.85173374,0.69776547,0.84888273,0.70540714,0.8527036,0.72418237,0.8620912
56862,0.70247865,0.8512393,0.6634843,0.83174217,0.56160927,0.78080463,0.6234391,0.81171954,0.64967656,0.8248383,0.7334143,0.86670715,0.693648,0.846824,0.7441919,0.87209594,0.74126613,0.87063307,0.7429173,0.87145865
57384,0.73345804,0.866729,0.6886868,0.8443434,0.62148905,0.8107445,0.61642325,0.8082116,0.75440633,0.87720317,0.8575016,0.9287508,0.8034568,0.9017284,0.810688,0.905344,0.7607821,0.88039106,0.84233814,0.92116904
