,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_google_ux_Score
30845,0.75082886,0.87541443,0.7058758,0.85293794,0.64153594,0.820768,0.7015258,0.8507629,0.746241,0.8731205,0.84370345,0.92185175,0.76241803,0.881209,0.8267105,0.91335523,0.8045093,0.90225464,0.8192333,0.90961665
32072,0.7760594,0.8880297,0.74678326,0.8733916,0.716789,0.8583945,0.69858897,0.8492945,0.7492941,0.874647,0.8224653,0.91123265,0.72421396,0.862107,0.82575893,0.91287947,0.74152315,0.8707616,0.78373134,0.8918657
46443,0.69724476,0.8486224,0.7036823,0.85184115,0.6549922,0.8274961,0.6545836,0.8272918,0.7425425,0.87127125,0.8184562,0.9092281,0.727149,0.8635745,0.8293133,0.91465664,0.7771611,0.88858056,0.833766,0.916883
46506,0.5310818,0.7655409,0.5726847,0.7863424,0.48202664,0.7410133,0.5442555,0.77212775,0.58330166,0.79165083,0.6502625,0.82513124,0.6036207,0.8018104,0.66159344,0.8307967,0.71418333,0.85709167,0.70981216,0.8549061
50300,0.70610845,0.8530542,0.7185141,0.85925704,0.69114435,0.8455722,0.65415514,0.82707757,0.7530247,0.87651235,0.79185927,0.89592963,0.72148263,0.8607413,0.81147015,0.9057351,0.77547973,0.8877399,0.8155259,0.90776294
51419,0.6865679,0.84328395,0.66472876,0.8323644,0.63261867,0.81630933,0.6111778,0.8055889,0.70765585,0.85382795,0.80858696,0.9042935,0.74459743,0.8722987,0.7908484,0.8954242,0.74914664,0.87457335,0.80361354,0.9018068
53971,0.63193023,0.8159651,0.6156105,0.80780524,0.5474999,0.77374995,0.5454068,0.7727034,0.6573783,0.82868916,0.6868,0.8434,0.6941962,0.8470981,0.6849978,0.8424989,0.7201594,0.8600797,0.69826,0.84913003
53972,0.62408566,0.81204283,0.6553792,0.8276896,0.5453494,0.7726747,0.58725953,0.79362977,0.63742507,0.81871253,0.68111056,0.8405553,0.68200445,0.8410022,0.69810295,0.8490515,0.7162349,0.85811746,0.68957543,0.8447877
53973,0.726862,0.863431,0.6886668,0.8443334,0.6194352,0.8097176,0.6173116,0.8086558,0.75944686,0.8797234,0.8718848,0.9359424,0.7957319,0.89786595,0.84661555,0.9233078,0.79235685,0.8961784,0.85933846,0.92966926
53974,0.6387925,0.81939626,0.58171934,0.7908597,0.5399771,0.76998854,0.5716045,0.78580225,0.66833436,0.8341672,0.7737794,0.8868897,0.73930717,0.8696536,0.71454436,0.85727215,0.71259546,0.85629773,0.7784254,0.8892127
53975,0.66942513,0.83471256,0.6142945,0.80714726,0.60643697,0.8032185,0.5877942,0.7938971,0.67523694,0.83761847,0.8098397,0.90491986,0.6972051,0.84860253,0.71605915,0.8580296,0.76704663,0.88352334,0.77294934,0.88647467
53976,0.54169124,0.77084565,0.4900288,0.7450144,0.43764013,0.7188201,0.48873395,0.744367,0.5521598,0.7760799,0.62544966,0.8127248,0.63475597,0.817378,0.5774305,0.78871524,0.6302264,0.8151132,0.6250471,0.81252354
53977,0.6827872,0.8413936,0.6036407,0.80182034,0.54815555,0.7740778,0.5995381,0.79976904,0.66395086,0.83197546,0.7432929,0.87164646,0.69575906,0.8478795,0.7193439,0.85967195,0.71618176,0.8580909,0.7246978,0.8623489
53978,0.6774283,0.8387141,0.63135505,0.8156775,0.58497614,0.7924881,0.5750265,0.78751326,0.6878495,0.84392476,0.7847618,0.8923809,0.6880238,0.8440119,0.7230283,0.86151415,0.73619366,0.8680968,0.77849746,0.8892487
53979,0.76576084,0.88288045,0.72305274,0.86152637,0.6612086,0.8306043,0.6440971,0.82204854,0.7778467,0.88892335,0.8645283,0.93226415,0.77356327,0.88678163,0.83423156,0.9171158,0.77745056,0.8887253,0.8189275,0.90946376
53981,0.65919304,0.8295965,0.60760033,0.80380017,0.5652641,0.78263205,0.59583473,0.79791737,0.6634166,0.8317083,0.7920507,0.89602536,0.7098676,0.8549338,0.75630486,0.87815243,0.7456038,0.8728019,0.7893616,0.8946808
54796,0.6235348,0.8117674,0.59692585,0.7984629,0.49669558,0.74834776,0.55933356,0.7796668,0.5991026,0.7995513,0.65354276,0.8267714,0.667496,0.833748,0.68427765,0.8421388,0.66409266,0.83204633,0.67419976,0.8370999
54797,0.7064049,0.85320246,0.67141867,0.83570933,0.61771286,0.8088564,0.61517525,0.8075876,0.7378118,0.8689059,0.87403965,0.9370198,0.7728379,0.88641894,0.82039726,0.9101986,0.7880129,0.8940065,0.8410487,0.92052436
54798,0.6136466,0.8068233,0.627694,0.813847,0.53861904,0.7693095,0.58825976,0.79412985,0.6083418,0.8041709,0.6948477,0.84742385,0.6447246,0.8223623,0.67923355,0.8396168,0.7278991,0.86394954,0.69383895,0.8469195
54799,0.5889185,0.7944592,0.5807275,0.7903638,0.4840176,0.7420088,0.55633646,0.7781682,0.6019268,0.8009634,0.6930174,0.84650874,0.67542017,0.8377101,0.6705746,0.83528733,0.7272138,0.8636069,0.752409,0.8762045
54800,0.6126678,0.8063339,0.6230095,0.8115047,0.5502579,0.77512896,0.5517878,0.7758939,0.6445962,0.8222981,0.6896459,0.84482294,0.72462666,0.86231333,0.7152523,0.85762614,0.71684515,0.8584226,0.7370942,0.8685471
56453,0.71795094,0.85897547,0.6680927,0.83404636,0.6203933,0.81019664,0.5734882,0.7867441,0.73100245,0.8655012,0.8143023,0.90715116,0.7785927,0.88929635,0.7489774,0.8744887,0.7537106,0.8768553,0.80095065,0.9004753
56528,0.6151369,0.80756843,0.54781127,0.77390563,0.47444656,0.73722327,0.54653096,0.7732655,0.61849916,0.8092496,0.70169884,0.8508494,0.672691,0.8363455,0.65177023,0.8258851,0.69176745,0.8458837,0.691381,0.8456905
56542,0.62887144,0.8144357,0.60827917,0.8041396,0.53727895,0.76863945,0.6122019,0.80610096,0.6405971,0.82029855,0.73684746,0.8684237,0.691843,0.8459215,0.7384307,0.86921537,0.7336535,0.8668268,0.74789286,0.8739464
56543,0.7040704,0.85203516,0.6517074,0.8258537,0.56718206,0.78359103,0.5896852,0.7948426,0.70563614,0.8528181,0.7581307,0.8790654,0.7352331,0.86761653,0.7496558,0.87482786,0.7570214,0.8785107,0.7624789,0.8812394
56544,0.65902805,0.829514,0.652236,0.826118,0.5874897,0.79374486,0.6308979,0.81544894,0.6518233,0.82591164,0.7172588,0.8586294,0.70650077,0.8532504,0.7193562,0.8596781,0.7304884,0.8652442,0.7601455,0.8800727
56545,0.5677354,0.7838677,0.6397811,0.81989056,0.5153628,0.75768137,0.5421958,0.7710979,0.55993295,0.7799665,0.5579712,0.7789856,0.5992737,0.79963684,0.6573669,0.82868344,0.6548648,0.8274324,0.597422,0.798711
56618,0.67284966,0.8364248,0.6541641,0.82708204,0.58887804,0.794439,0.6114115,0.8057058,0.6882058,0.84410286,0.7572079,0.87860394,0.7312325,0.86561626,0.768042,0.88402104,0.7745453,0.88727266,0.77789485,0.8889474
56619,0.63965434,0.8198272,0.6243663,0.81218314,0.53609884,0.7680494,0.57282424,0.7864121,0.6557939,0.82789695,0.7436445,0.87182224,0.7200968,0.8600484,0.6937661,0.84688306,0.71837485,0.8591874,0.74809164,0.87404585
56629,0.7035882,0.8517941,0.68817484,0.8440874,0.5782784,0.7891392,0.6563892,0.8281946,0.7112771,0.85563856,0.8092742,0.9046371,0.7426944,0.8713472,0.8091238,0.9045619,0.74976265,0.8748813,0.80393195,0.901966
56630,0.653333,0.8266665,0.66235435,0.8311772,0.5331103,0.7665552,0.6053037,0.8026519,0.6515405,0.82577026,0.72830296,0.8641515,0.73795336,0.8689767,0.751299,0.8756495,0.75124323,0.8756216,0.77550817,0.8877541
56631,0.56194407,0.780972,0.58516216,0.7925811,0.49501956,0.7475098,0.5685989,0.7842995,0.575039,0.7875195,0.61428595,0.807143,0.60388094,0.80194044,0.65236235,0.8261812,0.691414,0.845707,0.7099794,0.8549897
56632,0.69511294,0.8475565,0.66356146,0.83178073,0.58280003,0.7914,0.6203455,0.81017274,0.7039982,0.8519991,0.80545926,0.90272963,0.77300954,0.88650477,0.8021781,0.9010891,0.7646433,0.88232166,0.82226574,0.9111329
56633,0.6863462,0.8431731,0.65572214,0.8278611,0.61665684,0.8083284,0.5770381,0.788519,0.6837979,0.8418989,0.7801703,0.89008516,0.73585385,0.86792696,0.73956144,0.8697807,0.7311704,0.8655852,0.78284156,0.8914208
56634,0.530154,0.765077,0.51184165,0.7559208,0.4559636,0.7279818,0.48404637,0.74202317,0.52138764,0.7606938,0.6392207,0.81961036,0.6175276,0.8087638,0.6306802,0.8153401,0.6918019,0.84590095,0.70370305,0.8518515
56635,0.6056935,0.8028468,0.6560901,0.828045,0.5606504,0.7803252,0.54976153,0.77488077,0.6417637,0.82088184,0.74240935,0.8712047,0.7296939,0.86484694,0.7274913,0.8637457,0.72406214,0.8620311,0.7724103,0.88620514
56637,0.5978818,0.7989409,0.5647458,0.7823729,0.49438372,0.74719185,0.5966478,0.79832387,0.6032665,0.80163324,0.6909839,0.84549195,0.66873187,0.83436596,0.6803638,0.8401819,0.67272776,0.8363639,0.7045052,0.8522526
56638,0.7254035,0.8627018,0.6732139,0.836607,0.61338073,0.80669034,0.60410535,0.8020527,0.7512323,0.8756162,0.8303263,0.91516316,0.77037215,0.8851861,0.7839807,0.89199036,0.7443719,0.87218595,0.82431334,0.9121567
56639,0.6350173,0.81750864,0.6474408,0.8237204,0.57483244,0.7874162,0.56214666,0.78107333,0.7157496,0.8578748,0.80886436,0.9044322,0.7985407,0.89927036,0.76858056,0.8842903,0.774176,0.887088,0.8298642,0.91493213
56641,0.60142505,0.8007125,0.5409538,0.77047694,0.5032203,0.75161016,0.52567077,0.7628354,0.6087941,0.80439705,0.7239043,0.8619522,0.6945147,0.8472574,0.66117394,0.83058697,0.6691214,0.8345607,0.73601943,0.8680097
56642,0.61179674,0.80589837,0.5946727,0.79733634,0.5043627,0.75218135,0.53812265,0.7690613,0.6069249,0.80346245,0.7029596,0.85147977,0.7045368,0.8522684,0.67161024,0.8358051,0.72423345,0.8621167,0.71739596,0.858698
56643,0.76886064,0.8844303,0.75306404,0.876532,0.69363654,0.84681827,0.6662556,0.8331278,0.7504645,0.8752322,0.7740489,0.88702446,0.69890857,0.8494543,0.7970702,0.89853513,0.7506771,0.87533855,0.7516108,0.8758054
56644,0.6881579,0.84407896,0.66623074,0.83311534,0.60473055,0.8023653,0.6006267,0.80031335,0.66938776,0.8346939,0.7216115,0.86080575,0.71344787,0.8567239,0.7214346,0.8607173,0.7278108,0.86390543,0.7340209,0.8670105
56645,0.644277,0.8221385,0.6574186,0.8287093,0.56685853,0.78342927,0.6347017,0.81735086,0.6437049,0.82185245,0.70106566,0.8505328,0.6675661,0.83378303,0.7555798,0.8777899,0.7116383,0.8558191,0.72816384,0.8640819
56646,0.5975767,0.7987883,0.60002035,0.8000102,0.49049366,0.7452468,0.5775242,0.7887621,0.5920763,0.79603815,0.6640835,0.83204174,0.644259,0.8221295,0.64731216,0.8236561,0.6869613,0.84348065,0.6760132,0.8380066
56647,0.6935187,0.8467593,0.70003104,0.8500155,0.61092675,0.8054634,0.65051174,0.8252559,0.7414325,0.8707162,0.7753246,0.8876623,0.76544213,0.88272107,0.7690467,0.8845234,0.77198696,0.8859935,0.7834823,0.89174116
56648,0.7026882,0.8513441,0.6402248,0.8201124,0.5824729,0.79123646,0.6360264,0.8180132,0.6941496,0.8470748,0.778464,0.88923204,0.7301458,0.8650729,0.7565267,0.87826335,0.75119376,0.8755969,0.7751563,0.8875781
56649,0.62113,0.810565,0.59631705,0.7981585,0.52148855,0.7607443,0.54139936,0.7706997,0.6270617,0.81353086,0.69573474,0.84786737,0.62795424,0.8139771,0.653327,0.8266635,0.6595657,0.82978284,0.67394894,0.8369745
56650,0.6558504,0.8279252,0.61751103,0.8087555,0.56942165,0.7847108,0.5816947,0.79084736,0.6717551,0.83587754,0.74779654,0.87389827,0.7336334,0.8668167,0.7123523,0.85617614,0.7288953,0.86444765,0.76387596,0.881938
56651,0.62958455,0.8147923,0.61459553,0.80729777,0.5548169,0.7774085,0.54187405,0.770937,0.6994019,0.8497009,0.7863772,0.8931886,0.74517703,0.8725885,0.74471676,0.8723584,0.7397034,0.8698517,0.77378416,0.8868921
56652,0.7048267,0.85241336,0.7090719,0.85453594,0.6141898,0.80709493,0.63714814,0.8185741,0.7433035,0.87165177,0.7995591,0.89977956,0.76417613,0.88208807,0.81639194,0.908196,0.80730224,0.9036511,0.79816103,0.8990805
56653,0.603269,0.8016345,0.58323896,0.7916195,0.5508436,0.7754218,0.52883565,0.7644178,0.5795861,0.789793,0.6595024,0.8297512,0.5727084,0.7863542,0.6800797,0.84003985,0.6642469,0.83212346,0.62942034,0.81471014
56654,0.7468358,0.8734179,0.6990129,0.84950644,0.65149736,0.8257487,0.636161,0.81808054,0.78929144,0.8946457,0.8544558,0.9272279,0.78359854,0.8917993,0.7948092,0.8974046,0.80007017,0.9000351,0.85788953,0.92894477
56656,0.6092498,0.8046249,0.6222607,0.81113034,0.52958417,0.7647921,0.54635143,0.7731757,0.6692339,0.83461696,0.6979436,0.84897184,0.72237813,0.86118907,0.6750583,0.8375292,0.7223301,0.86116505,0.73128504,0.86564255
56657,0.5555848,0.7777924,0.5193728,0.7596864,0.46738884,0.73369443,0.48972186,0.74486095,0.6115054,0.8057527,0.7347728,0.8673864,0.67623556,0.8381178,0.64542186,0.82271093,0.6614878,0.8307439,0.74762666,0.87381333
56661,0.7209075,0.8604537,0.68205714,0.8410286,0.5965865,0.79829323,0.61690706,0.80845356,0.7108597,0.8554299,0.82165134,0.91082567,0.70332336,0.8516617,0.77895045,0.8894752,0.75036085,0.8751804,0.7847029,0.89235145
56662,0.7049496,0.8524748,0.6836982,0.8418491,0.5844449,0.79222244,0.63604677,0.8180234,0.68460834,0.84230417,0.76947635,0.8847382,0.6951531,0.84757656,0.78598976,0.8929949,0.78730094,0.8936505,0.7766325,0.8883163
56725,0.7220078,0.8610039,0.6692801,0.83464,0.6321596,0.8160798,0.6415467,0.82077336,0.73241526,0.8662076,0.835464,0.917732,0.77042586,0.8852129,0.8130899,0.9065449,0.7410077,0.87050384,0.84430665,0.92215335
56795,0.65782976,0.8289149,0.6536583,0.82682914,0.5613629,0.7806815,0.5942343,0.7971171,0.69148815,0.8457441,0.7636355,0.88181776,0.771201,0.8856005,0.76953775,0.88476884,0.75774556,0.87887275,0.78571856,0.8928593
56796,0.6398568,0.8199284,0.64765847,0.82382923,0.5876565,0.79382825,0.5845364,0.79226816,0.7030106,0.8515053,0.75307035,0.8765352,0.7465799,0.87328994,0.78357136,0.8917857,0.7219728,0.8609864,0.76362014,0.88181007
56797,0.71930546,0.85965276,0.71430737,0.85715365,0.5995869,0.7997935,0.6367977,0.81839883,0.7154429,0.85772145,0.7609538,0.8804769,0.70220876,0.8511044,0.7777498,0.8888749,0.7435678,0.8717839,0.74708724,0.8735436
56798,0.6296015,0.81480074,0.6251911,0.81259555,0.5499226,0.7749613,0.57364416,0.7868221,0.6517571,0.82587856,0.689572,0.844786,0.72819567,0.86409783,0.7011256,0.8505628,0.6920053,0.84600264,0.73654354,0.86827177
56799,0.6054832,0.8027416,0.60913634,0.8045682,0.50274336,0.7513717,0.5392253,0.76961267,0.6283449,0.81417245,0.70328236,0.8516412,0.69904554,0.84952277,0.694373,0.8471865,0.72156334,0.86078167,0.72222483,0.8611124
56800,0.64935493,0.82467747,0.605971,0.8029855,0.539933,0.7699665,0.61236846,0.80618423,0.5882814,0.7941407,0.64944524,0.82472265,0.5724801,0.78624004,0.6639067,0.83195335,0.6316012,0.8158006,0.6345744,0.8172872
56801,0.7082772,0.8541386,0.6834131,0.8417065,0.6040412,0.8020206,0.60876536,0.8043827,0.7256733,0.86283666,0.81043154,0.90521574,0.7363723,0.8681861,0.7963259,0.89816296,0.7528465,0.87642324,0.7861058,0.89305294
56802,0.6155875,0.80779374,0.60146976,0.8007349,0.54430544,0.7721527,0.55945075,0.7797254,0.59593606,0.79796803,0.68903977,0.84451985,0.6620406,0.8310203,0.6871564,0.8435782,0.71917295,0.8595865,0.6855546,0.8427773
56803,0.73045766,0.86522883,0.7094964,0.8547482,0.617572,0.80878603,0.6391743,0.8195871,0.7148714,0.8574357,0.79909027,0.89954513,0.76007,0.88003504,0.7909796,0.8954898,0.75582576,0.8779129,0.80471164,0.9023558
56804,0.7389647,0.86948234,0.718297,0.8591485,0.62834156,0.8141708,0.6583986,0.8291993,0.76353663,0.88176835,0.8390414,0.91952074,0.75715727,0.87857866,0.8479352,0.9239676,0.7889707,0.89448535,0.8149133,0.90745664
56805,0.6149522,0.8074761,0.6133733,0.80668664,0.5727302,0.7863651,0.6042551,0.80212754,0.56908005,0.78454006,0.63801885,0.8190094,0.5812531,0.7906265,0.66936916,0.8346846,0.684517,0.8422585,0.661947,0.8309735
56807,0.68551946,0.8427597,0.66557825,0.8327891,0.57803893,0.78901947,0.62861454,0.8143073,0.660799,0.8303995,0.6804959,0.840248,0.69963586,0.84981793,0.6980988,0.8490494,0.70811296,0.8540565,0.71663415,0.8583171
56809,0.7363734,0.8681867,0.7223655,0.86118275,0.6077349,0.80386746,0.6791651,0.83958256,0.7335921,0.866796,0.79998976,0.89999485,0.7698058,0.8849029,0.82432884,0.91216445,0.7871798,0.8935899,0.82337904,0.9116895
56859,0.629163,0.8145815,0.597676,0.798838,0.49494496,0.74747247,0.60348725,0.8017436,0.6277384,0.81386924,0.69069576,0.8453479,0.66298485,0.8314924,0.6795355,0.83976775,0.7096807,0.85484034,0.6944696,0.8472348
56860,0.6201716,0.8100858,0.6305389,0.8152695,0.56734335,0.7836717,0.6707039,0.83535194,0.64564264,0.8228213,0.7400851,0.87004256,0.6940727,0.84703636,0.7692207,0.88461035,0.7532804,0.8766402,0.77993476,0.8899674
56861,0.5660293,0.78301466,0.5697609,0.78488046,0.50320876,0.7516044,0.5989195,0.79945976,0.57623947,0.78811973,0.59607965,0.7980398,0.63787246,0.8189362,0.63505906,0.81752956,0.6502312,0.82511556,0.6361233,0.81806165
56862,0.6883005,0.84415025,0.66809714,0.83404857,0.5656556,0.7828278,0.6077647,0.80388236,0.6476073,0.82380366,0.7300314,0.8650157,0.7010661,0.850533,0.7587526,0.8793763,0.7385284,0.8692642,0.74078804,0.870394
57384,0.76864994,0.88432497,0.71954143,0.8597707,0.6642728,0.8321364,0.6422365,0.82111824,0.77076364,0.8853818,0.8664728,0.93323636,0.7763977,0.88819885,0.8471089,0.9235544,0.7455553,0.87277764,0.8277782,0.9138891
