,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score
53974,0.623261,0.8116305,0.55827653,0.77913827,0.526974,0.763487,0.556085,0.7780425,0.66540194,0.83270097,0.7825367,0.8912684,0.7271326,0.8635663,0.69099844,0.8454992,0.7124032,0.8562016,0.78323436,0.8916172
53975,0.6616312,0.8308156,0.5780753,0.78903764,0.57214224,0.7860711,0.57936746,0.7896837,0.6497283,0.82486415,0.78479505,0.8923975,0.6781982,0.8390991,0.6982901,0.84914505,0.73771244,0.8688562,0.75357014,0.87678504
53976,0.55006695,0.7750335,0.5359913,0.76799566,0.4890067,0.7445034,0.5035502,0.7517751,0.57039136,0.7851957,0.64225817,0.8211291,0.65992594,0.82996297,0.6069753,0.80348766,0.6730666,0.8365333,0.66638446,0.8331922
53977,0.7507233,0.8753617,0.65633607,0.82816803,0.60062194,0.80031097,0.59821093,0.79910547,0.7414347,0.87071735,0.83583176,0.9179159,0.76412314,0.8820616,0.7678159,0.8839079,0.75320727,0.8766036,0.795508,0.897754
53978,0.6887149,0.8443575,0.62822783,0.8141139,0.5897385,0.79486924,0.5820315,0.79101574,0.7245227,0.86226135,0.81130314,0.90565157,0.7198428,0.8599214,0.7462462,0.8731231,0.7577543,0.87887716,0.7888938,0.8944469
53979,0.77858955,0.88929474,0.7292346,0.8646173,0.6584768,0.8292384,0.6421335,0.82106674,0.7752626,0.8876313,0.8608346,0.9304173,0.7625272,0.8812636,0.82243574,0.91121787,0.7715699,0.885785,0.80871326,0.9043566
53981,0.64100385,0.8205019,0.6442605,0.82213026,0.5431513,0.7715757,0.61929303,0.8096465,0.66976726,0.83488363,0.72679424,0.8633971,0.7151346,0.8575673,0.7349458,0.8674729,0.72417843,0.8620892,0.73749006,0.868745
54796,0.61547387,0.80773693,0.58030134,0.79015064,0.4868232,0.7434116,0.5784455,0.7892227,0.55173236,0.77586615,0.625864,0.812932,0.59349036,0.7967452,0.6687467,0.83437335,0.6662609,0.8331305,0.63581204,0.817906
54797,0.7385873,0.8692937,0.6910892,0.8455446,0.6741106,0.8370553,0.5928216,0.7964108,0.7683325,0.88416624,0.87186223,0.9359311,0.7593989,0.87969947,0.8114915,0.90574574,0.7525608,0.8762804,0.8099123,0.90495616
54798,0.6829498,0.8414749,0.70417786,0.8520889,0.61293805,0.806469,0.6496134,0.8248067,0.7060554,0.8530277,0.7683077,0.88415384,0.730067,0.8650335,0.7640022,0.8820011,0.80068743,0.9003437,0.7843669,0.8921834
54799,0.552804,0.776402,0.5837072,0.7918536,0.47486967,0.73743486,0.52110237,0.7605512,0.59330344,0.7966517,0.69067967,0.84533983,0.6887944,0.8443972,0.6629673,0.83148366,0.74809086,0.87404543,0.76042104,0.8802105
54800,0.6861476,0.8430738,0.68242157,0.8412108,0.621879,0.8109395,0.6069404,0.8034702,0.66788816,0.8339441,0.72859055,0.86429524,0.7086223,0.8543111,0.76901865,0.8845093,0.7391349,0.86956745,0.74287224,0.8714361
56453,0.66117245,0.8305862,0.6506226,0.8253113,0.56829786,0.78414893,0.5839154,0.79195774,0.70364356,0.8518218,0.72973627,0.86486816,0.7681962,0.8840981,0.70435107,0.85217553,0.7298121,0.8649061,0.75160056,0.87580025
56528,0.6005838,0.8002919,0.55831605,0.779158,0.48911214,0.74455607,0.556301,0.7781505,0.6069783,0.80348915,0.69894564,0.8494728,0.6860832,0.8430416,0.6593497,0.82967484,0.7186408,0.8593204,0.70648503,0.8532425
56542,0.7341032,0.8670516,0.7031705,0.85158527,0.6241256,0.8120628,0.6564749,0.8282374,0.73743105,0.8687155,0.81834865,0.9091743,0.75933206,0.87966603,0.81035095,0.90517545,0.78363764,0.8918188,0.8236007,0.9118004
56543,0.602519,0.8012595,0.5835665,0.7917832,0.5168216,0.7584108,0.5271354,0.7635677,0.6066131,0.8033066,0.64505106,0.8225255,0.66430783,0.8321539,0.65051425,0.8252571,0.6761886,0.8380943,0.6597814,0.8298907
56544,0.71035886,0.8551794,0.69285405,0.846427,0.6307105,0.81535524,0.67652804,0.838264,0.7070426,0.8535213,0.77512354,0.8875618,0.75834477,0.8791724,0.7743907,0.88719535,0.7669082,0.8834541,0.81647265,0.9082363
56545,0.60589325,0.8029466,0.6576524,0.8288262,0.5281608,0.7640804,0.5617479,0.78087395,0.6019088,0.8009544,0.5999974,0.7999987,0.63946915,0.8197346,0.7018788,0.8509394,0.6681462,0.83407307,0.62126815,0.8106341
56618,0.68599325,0.8429966,0.7346802,0.8673401,0.6409037,0.82045186,0.6576109,0.82880545,0.704528,0.852264,0.7184466,0.8592233,0.70899034,0.85449517,0.81142956,0.90571475,0.76956487,0.88478243,0.7450063,0.87250316
56619,0.6872412,0.8436206,0.6517707,0.82588536,0.58292603,0.791463,0.59907365,0.7995368,0.6906733,0.8453367,0.7966696,0.8983348,0.7508651,0.87543255,0.7507589,0.87537944,0.76499707,0.8824985,0.8062118,0.9031059
56629,0.72618914,0.86309457,0.68008506,0.84004253,0.600335,0.8001675,0.6426048,0.8213024,0.70768106,0.85384053,0.8333773,0.9166887,0.7481705,0.87408525,0.8206389,0.91031945,0.7470918,0.8735459,0.828043,0.9140215
56630,0.68957996,0.84479,0.6378743,0.8189372,0.56303716,0.7815186,0.57730377,0.7886519,0.69402444,0.8470122,0.80509186,0.9025459,0.7572455,0.8786228,0.77012455,0.8850623,0.75099325,0.8754966,0.80930805,0.904654
56631,0.59049284,0.7952464,0.59325516,0.7966276,0.5073961,0.75369805,0.5665046,0.7832523,0.6320964,0.8160482,0.6890309,0.84451544,0.66088927,0.83044463,0.68730575,0.84365284,0.7284446,0.8642223,0.759786,0.879893
56632,0.69274116,0.8463706,0.66202986,0.83101493,0.5804601,0.79023004,0.6386081,0.81930405,0.6859274,0.8429637,0.7776209,0.88881046,0.7515763,0.87578815,0.78313446,0.89156723,0.76533103,0.8826655,0.8019312,0.9009656
56633,0.6662514,0.8331257,0.63523716,0.8176186,0.57310414,0.7865521,0.5777192,0.7888596,0.6699114,0.8349557,0.7292507,0.86462533,0.7345134,0.8672567,0.7190215,0.8595108,0.6890365,0.84451824,0.7411894,0.87059474
56634,0.6801746,0.8400873,0.6707578,0.8353789,0.61007625,0.8050381,0.64323056,0.8216153,0.6865953,0.84329766,0.752157,0.8760785,0.6966313,0.84831566,0.77018136,0.8850907,0.7723848,0.88619244,0.7639942,0.8819971
56635,0.6072405,0.8036202,0.6317778,0.8158889,0.54210556,0.7710528,0.5422749,0.7711375,0.6225785,0.81128925,0.730715,0.8653575,0.7081851,0.85409254,0.7182574,0.8591287,0.7068622,0.8534311,0.7527899,0.876395
56637,0.65280783,0.8264039,0.64515436,0.8225772,0.5589752,0.7794876,0.64229923,0.8211496,0.7043543,0.85217714,0.7604003,0.88020015,0.7376461,0.86882305,0.7769013,0.8884506,0.75144464,0.8757223,0.76647514,0.8832376
56638,0.6926024,0.8463012,0.6944467,0.84722334,0.62205946,0.81102973,0.59399635,0.79699814,0.7349075,0.86745375,0.7835833,0.89179164,0.77300334,0.88650167,0.7732235,0.88661176,0.75766766,0.87883383,0.7793397,0.88966984
56639,0.61817706,0.8090885,0.6197145,0.80985725,0.57742506,0.7887125,0.57115823,0.7855791,0.6898252,0.8449126,0.7594576,0.8797288,0.7547699,0.87738496,0.75428045,0.8771402,0.7440352,0.8720176,0.7638202,0.8819101
56641,0.6528064,0.8264032,0.62282115,0.81141055,0.5527476,0.7763738,0.58893085,0.7944654,0.6833184,0.8416592,0.7769064,0.8884532,0.7629995,0.88149977,0.71982974,0.8599149,0.73965913,0.86982954,0.80045277,0.90022635
56642,0.62787116,0.8139356,0.57845896,0.7892295,0.5252172,0.7626086,0.5337128,0.76685643,0.62790537,0.8139527,0.69770986,0.8488549,0.6982237,0.84911186,0.6662284,0.8331142,0.7058371,0.8529185,0.7158328,0.8579164
56643,0.7338841,0.86694205,0.69317925,0.8465896,0.6685984,0.8342992,0.6657703,0.83288515,0.68760747,0.84380376,0.72516984,0.86258495,0.6271396,0.8135698,0.76259774,0.8812989,0.7182622,0.8591311,0.6954504,0.8477252
56644,0.68257666,0.8412883,0.6629391,0.83146954,0.59561545,0.7978077,0.6249011,0.8124505,0.7015517,0.85077584,0.7507459,0.87537295,0.7424792,0.8712396,0.75906897,0.8795345,0.7416303,0.87081516,0.7597215,0.87986076
56645,0.6658045,0.83290225,0.67222166,0.83611083,0.58706415,0.7935321,0.64381087,0.82190543,0.6693727,0.83468634,0.72020525,0.86010265,0.69965255,0.8498263,0.7743747,0.88718736,0.72002065,0.8600103,0.73663634,0.8683182
56646,0.5278099,0.7639049,0.52313644,0.7615682,0.4321164,0.7160582,0.5377422,0.76887107,0.5187163,0.75935817,0.5729311,0.7864655,0.57497346,0.78748673,0.5675348,0.7837674,0.6272276,0.8136138,0.5994606,0.7997303
56647,0.69836086,0.84918046,0.733691,0.8668455,0.6479188,0.8239594,0.6736068,0.83680344,0.7303878,0.8651939,0.74868023,0.8743401,0.7495203,0.87476015,0.7675003,0.88375014,0.7604986,0.88024926,0.7704284,0.8852142
56648,0.6575955,0.82879776,0.6288742,0.8144371,0.56645125,0.78322566,0.6406059,0.82030296,0.6654123,0.83270615,0.7078478,0.8539239,0.68192613,0.84096307,0.72745,0.863725,0.7216613,0.86083066,0.7241963,0.86209816
56649,0.62414557,0.81207275,0.61260873,0.80630434,0.5218433,0.76092166,0.5385423,0.76927114,0.6227132,0.8113566,0.6875006,0.8437503,0.6359357,0.8179679,0.66169155,0.8308458,0.6629677,0.83148384,0.6688907,0.83444536
56650,0.7540553,0.87702763,0.6913456,0.8456728,0.62806714,0.81403357,0.6310761,0.81553805,0.7492217,0.87461084,0.8354629,0.91773146,0.79258263,0.8962913,0.79780865,0.8989043,0.786257,0.8931285,0.8323209,0.91616046
56651,0.7154393,0.85771966,0.6506621,0.8253311,0.6123644,0.8061822,0.57865775,0.7893289,0.74223024,0.8711151,0.83726585,0.9186329,0.74476814,0.8723841,0.7749203,0.8874601,0.76033384,0.8801669,0.8138429,0.90692145
56652,0.6989938,0.8494969,0.70275813,0.85137904,0.5797528,0.7898764,0.6388624,0.8194312,0.7157774,0.8578887,0.782176,0.891088,0.7406578,0.8703289,0.7906529,0.89532644,0.79008585,0.8950429,0.77971804,0.889859
56653,0.66903746,0.83451873,0.62526417,0.8126321,0.56719244,0.7835962,0.58027196,0.790136,0.6629643,0.8314822,0.7530041,0.87650204,0.6928675,0.84643376,0.7270981,0.86354905,0.7175909,0.85879546,0.73356557,0.8667828
56654,0.6958269,0.84791344,0.67598134,0.83799064,0.6022903,0.80114514,0.6246247,0.81231236,0.7563559,0.87817794,0.80840015,0.9042001,0.7895192,0.8947596,0.77925646,0.88962823,0.79939973,0.89969987,0.8231567,0.91157836
56656,0.5941931,0.79709655,0.5908388,0.7954194,0.5254047,0.76270235,0.5404539,0.77022696,0.62012744,0.8100637,0.66213083,0.8310654,0.6552969,0.82764846,0.6351669,0.81758344,0.65198076,0.8259904,0.6759349,0.83796746
56657,0.6061114,0.8030557,0.5465864,0.7732932,0.4919353,0.7459676,0.5191084,0.7595542,0.6351961,0.81759804,0.7653059,0.88265294,0.70670456,0.8533523,0.6678436,0.8339218,0.70008314,0.85004157,0.7689863,0.8844931
56661,0.6723461,0.83617306,0.66377246,0.83188623,0.5503984,0.7751992,0.59646106,0.7982305,0.6803751,0.84018755,0.7763147,0.88815737,0.67836267,0.8391813,0.7342648,0.8671324,0.7406161,0.87030804,0.75076187,0.87538093
56662,0.7229258,0.8614629,0.6851811,0.8425906,0.5889187,0.79445934,0.6551223,0.82756114,0.68433297,0.8421665,0.79668534,0.89834267,0.6958837,0.8479419,0.78586066,0.8929303,0.80104935,0.9005247,0.8095249,0.90476245
