,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_doordash_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_doordash_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_apple_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_apple_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_samsara_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_samsara_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_yelp_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_yelp_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_match_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_match_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_i2c_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_i2c_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_adobe_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_adobe_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_amazon_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_amazon_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_rowan_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_rowan_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_google_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_google_ux_Score
46506,0.5300791,0.76503956,0.57692695,0.7884635,0.48101854,0.7405093,0.49989593,0.74994797,0.594795,0.7973975,0.6517968,0.8258984,0.6198052,0.8099026,0.6618544,0.8309272,0.6914507,0.84572536,0.7038411,0.85192055
50300,0.7187706,0.8593853,0.7238177,0.86190885,0.7040814,0.8520407,0.6591939,0.82959694,0.7642101,0.88210505,0.7735687,0.8867843,0.7298081,0.86490405,0.8091768,0.9045884,0.7669804,0.8834902,0.7993056,0.89965284
51419,0.73230356,0.8661518,0.69990134,0.8499507,0.6392392,0.8196196,0.6221805,0.81109023,0.73454547,0.86727273,0.8413044,0.9206522,0.7786646,0.8893323,0.7856312,0.8928156,0.7892257,0.89461285,0.84289694,0.92144847
53971,0.70506746,0.8525337,0.6533623,0.82668114,0.6007088,0.80035436,0.5743607,0.78718036,0.7222867,0.86114335,0.7989243,0.89946216,0.77315927,0.88657963,0.74355775,0.87177885,0.7872174,0.8936087,0.793488,0.896744
53972,0.6797949,0.83989745,0.6418477,0.82092386,0.5707158,0.7853579,0.5547304,0.7773652,0.7068951,0.85344756,0.8227401,0.91137004,0.76158285,0.8807914,0.76868147,0.88434076,0.7856109,0.89280546,0.8174544,0.90872717
53973,0.67377067,0.83688533,0.66281784,0.8314089,0.58881897,0.7944095,0.6145247,0.80726236,0.72192365,0.8609618,0.8162173,0.90810865,0.77447,0.887235,0.803069,0.9015345,0.78768456,0.8938423,0.8365409,0.91827047
53974,0.65262973,0.82631487,0.6040419,0.8020209,0.57252717,0.7862636,0.5805511,0.7902756,0.6615947,0.8307973,0.7414894,0.8707447,0.70833063,0.8541653,0.70245314,0.85122657,0.71884394,0.85942197,0.74564815,0.8728241
53975,0.6766813,0.83834064,0.63627625,0.8181381,0.6022595,0.80112976,0.5900687,0.79503435,0.68460333,0.84230167,0.7933741,0.89668703,0.7276261,0.86381304,0.71662414,0.8583121,0.7706715,0.88533574,0.78140736,0.8907037
53976,0.57168126,0.78584063,0.5366057,0.76830286,0.5254054,0.7627027,0.53008235,0.7650412,0.58956784,0.79478395,0.66673774,0.8333689,0.6778818,0.83894086,0.63807666,0.81903833,0.69916433,0.8495822,0.6799004,0.8399502
53977,0.66830015,0.8341501,0.5974232,0.7987116,0.5182419,0.75912094,0.56894,0.78446996,0.62502027,0.81251013,0.69892645,0.8494632,0.68622696,0.8431135,0.67937243,0.8396862,0.69740444,0.8487022,0.7227875,0.86139375
53978,0.65728974,0.8286449,0.6429425,0.8214712,0.5898281,0.794914,0.6051082,0.80255413,0.7000804,0.8500402,0.75143033,0.87571514,0.7201891,0.86009455,0.7407658,0.8703829,0.7320418,0.8660209,0.7790084,0.8895042
53979,0.76444834,0.8822242,0.7094864,0.85474324,0.6852652,0.8426326,0.6519191,0.82595956,0.7728256,0.8864128,0.87890863,0.9394543,0.79506445,0.8975322,0.82093465,0.9104673,0.81335056,0.9066753,0.8617797,0.93088984
53981,0.64932716,0.8246636,0.6532542,0.82662714,0.5701164,0.7850582,0.5891839,0.79459196,0.71194977,0.8559749,0.8027055,0.90135276,0.78044254,0.89022124,0.7650125,0.88250625,0.7594242,0.8797121,0.80779195,0.903896
54796,0.68930876,0.8446544,0.7011751,0.85058755,0.592232,0.796116,0.65057504,0.8252875,0.6610917,0.83054584,0.72379214,0.86189604,0.7098432,0.8549216,0.77758944,0.8887947,0.7801796,0.8900898,0.75836766,0.8791838
54797,0.70581275,0.85290635,0.7049033,0.8524517,0.67888534,0.8394427,0.6337874,0.8168937,0.7330241,0.86651206,0.81827056,0.9091353,0.73467374,0.86733687,0.7928573,0.89642864,0.7356478,0.8678239,0.8087212,0.9043606
54798,0.7503643,0.87518215,0.7513529,0.87567645,0.6659999,0.83299994,0.6790555,0.8395277,0.7393193,0.86965966,0.7861725,0.89308625,0.7550379,0.87751895,0.7805486,0.8902743,0.8038845,0.90194225,0.7953328,0.8976664
54799,0.6138188,0.80690944,0.591348,0.79567397,0.5042945,0.75214726,0.5295674,0.76478374,0.6320675,0.8160337,0.7337263,0.86686313,0.7210786,0.8605393,0.6893118,0.8446559,0.744416,0.872208,0.77022684,0.8851134
54800,0.6996559,0.84982795,0.68925285,0.8446264,0.6161852,0.8080926,0.5845274,0.7922637,0.71725047,0.85862523,0.80662596,0.903313,0.79010546,0.89505273,0.7935045,0.89675224,0.7974535,0.89872676,0.8187208,0.9093604
56453,0.6914345,0.84571725,0.6689631,0.83448154,0.5956265,0.79781324,0.56506217,0.7825311,0.71702695,0.8585135,0.7590283,0.87951416,0.771606,0.885803,0.7170172,0.8585086,0.7449211,0.87246054,0.75941855,0.87970924
56528,0.7066097,0.85330486,0.66783583,0.8339179,0.5764307,0.78821534,0.59228563,0.7961428,0.6999428,0.8499714,0.7498794,0.8749397,0.7464846,0.87324226,0.70960015,0.8548001,0.722232,0.861116,0.73258364,0.8662918
56542,0.68952775,0.8447639,0.6752285,0.83761424,0.6026802,0.8013401,0.65323496,0.8266175,0.6804707,0.84023535,0.76461226,0.8823061,0.7118398,0.8559199,0.78354275,0.8917714,0.7768792,0.8884396,0.79022527,0.89511263
56543,0.6976464,0.8488232,0.64554656,0.8227733,0.5808236,0.79041183,0.5629021,0.78145105,0.69086194,0.84543097,0.7995925,0.89979625,0.7635398,0.8817699,0.7565135,0.87825674,0.7781669,0.88908345,0.79929316,0.8996466
56544,0.71270776,0.8563539,0.6977056,0.8488528,0.60644376,0.8032219,0.65567315,0.8278366,0.70723957,0.8536198,0.7544415,0.87722075,0.7604199,0.8802099,0.7676027,0.88380134,0.7547698,0.8773849,0.7819667,0.89098334
56545,0.5431115,0.7715558,0.5839714,0.7919857,0.4758172,0.7379086,0.52922034,0.7646102,0.4949354,0.7474677,0.5166923,0.75834614,0.54015964,0.77007985,0.6073738,0.80368686,0.6018351,0.8009175,0.5620896,0.78104484
56618,0.6805702,0.84028506,0.7398827,0.86994135,0.61631453,0.80815727,0.64601815,0.8230091,0.67335105,0.8366755,0.7135849,0.85679245,0.7251439,0.86257195,0.7947531,0.89737654,0.7874042,0.8937021,0.76116204,0.880581
56619,0.5616121,0.78080606,0.5553775,0.77768874,0.46568227,0.73284113,0.52426463,0.7621323,0.5812975,0.79064876,0.67748153,0.83874077,0.6849521,0.842476,0.6314328,0.8157164,0.68045676,0.8402284,0.71847796,0.859239
56629,0.67627084,0.8381354,0.6663416,0.8331708,0.58420837,0.7921042,0.61398864,0.8069943,0.70664054,0.85332024,0.8143691,0.90718454,0.7657889,0.88289446,0.80144,0.90072,0.749714,0.874857,0.8342663,0.91713315
56630,0.6559214,0.8279607,0.6556089,0.82780445,0.54489297,0.7724465,0.5832988,0.7916494,0.65756065,0.8287803,0.74383044,0.8719152,0.7368206,0.8684103,0.73361754,0.8668088,0.7644661,0.882233,0.7755582,0.8877791
56631,0.6798868,0.8399434,0.6605905,0.83029526,0.58477867,0.79238933,0.60075474,0.80037737,0.6984509,0.84922546,0.78893995,0.89447,0.74443793,0.87221897,0.7510495,0.87552476,0.79395235,0.8969762,0.84730816,0.9236541
56632,0.7074318,0.8537159,0.6951704,0.8475852,0.61299366,0.80649686,0.6286595,0.81432974,0.7244121,0.86220604,0.8135356,0.9067678,0.77961206,0.88980603,0.813998,0.906999,0.78361833,0.89180917,0.8466308,0.9233154
56633,0.68870246,0.84435123,0.64142454,0.82071227,0.57742816,0.78871405,0.5747672,0.78738356,0.6517558,0.8258779,0.73177695,0.8658885,0.7072741,0.85363704,0.7127909,0.8563955,0.70438206,0.85219103,0.73226786,0.8661339
56634,0.6121367,0.80606836,0.5844396,0.79221976,0.49293298,0.7464665,0.5049155,0.75245774,0.643756,0.82187796,0.7598959,0.87994796,0.7162745,0.85813725,0.70586646,0.8529332,0.75713664,0.8785683,0.76730764,0.8836538
56635,0.55396104,0.7769805,0.616658,0.808329,0.49520066,0.7476003,0.5191789,0.75958943,0.5706801,0.7853401,0.62529695,0.8126485,0.6352389,0.81761944,0.64093167,0.8204658,0.65822244,0.8291112,0.6790613,0.83953065
56637,0.6483965,0.82419825,0.6496006,0.8248003,0.553679,0.7768395,0.6200582,0.8100291,0.66305166,0.8315258,0.73040426,0.8652021,0.70203173,0.85101587,0.75623214,0.8781161,0.7457814,0.8728907,0.7694758,0.8847379
56638,0.7351842,0.8675921,0.7052483,0.8526242,0.640952,0.820476,0.6480888,0.8240444,0.7451353,0.87256765,0.7978591,0.89892954,0.79808563,0.89904284,0.77154964,0.88577485,0.7720747,0.88603735,0.80829763,0.9041488
56639,0.5316101,0.765805,0.54620117,0.7731006,0.44915473,0.72457737,0.48993963,0.74496984,0.5579823,0.77899116,0.66812056,0.8340603,0.67075545,0.8353777,0.64840287,0.82420146,0.6807692,0.8403846,0.7153788,0.8576894
56641,0.6205231,0.81026155,0.55726206,0.77863103,0.5203062,0.7601531,0.5200732,0.7600366,0.64842474,0.8242124,0.79556155,0.8977808,0.7608695,0.88043475,0.6993985,0.84969926,0.71895826,0.8594791,0.81444573,0.90722287
56642,0.6244239,0.812212,0.6011665,0.80058324,0.504806,0.752403,0.5347997,0.76739985,0.63975656,0.8198783,0.7302054,0.8651027,0.752941,0.8764705,0.68575335,0.8428767,0.73503053,0.86751527,0.75528955,0.8776448
56643,0.7672607,0.88363034,0.72710454,0.8635523,0.6981697,0.84908485,0.6997427,0.84987134,0.7058276,0.8529138,0.7287675,0.86438376,0.64961505,0.8248075,0.7719848,0.8859924,0.7531928,0.8765964,0.7235614,0.8617807
56644,0.6435722,0.8217861,0.6481037,0.82405186,0.5635396,0.7817698,0.61632276,0.8081614,0.6351401,0.8175701,0.64337444,0.8216872,0.6856772,0.8428386,0.68201005,0.841005,0.7199384,0.8599692,0.6856943,0.8428471
56645,0.71365714,0.8568286,0.72341263,0.8617063,0.6443437,0.8221718,0.7025771,0.85128856,0.72027314,0.86013657,0.7582797,0.87913984,0.72255206,0.86127603,0.8105013,0.90525067,0.79782206,0.898911,0.78442353,0.8922118
56646,0.5695808,0.7847904,0.56626713,0.78313357,0.45242596,0.726213,0.55652344,0.7782617,0.566059,0.7830295,0.632089,0.8160445,0.6466811,0.82334054,0.61686283,0.8084314,0.67401195,0.837006,0.67293894,0.8364695
56647,0.7138157,0.85690784,0.71792305,0.8589615,0.6060102,0.8030051,0.6671865,0.83359325,0.7430216,0.8715108,0.790149,0.8950745,0.8012141,0.90060705,0.79870844,0.8993542,0.7972319,0.89861596,0.8368685,0.91843426
56648,0.7234949,0.86174744,0.6866219,0.84331095,0.6301712,0.8150856,0.67966306,0.83983153,0.71819055,0.8590953,0.75395143,0.8769757,0.75846374,0.87923187,0.77141273,0.88570637,0.7695458,0.8847729,0.7758541,0.88792706
56649,0.7266561,0.86332804,0.72551775,0.8627589,0.6377574,0.8188787,0.6184243,0.80921215,0.7056557,0.85282785,0.7591491,0.87957454,0.6993855,0.84969276,0.7651758,0.8825879,0.7697816,0.8848908,0.7651121,0.8825561
56650,0.7163009,0.8581505,0.6923556,0.8461778,0.6197432,0.8098716,0.6240506,0.8120253,0.7370335,0.86851674,0.787235,0.8936175,0.7666475,0.8833238,0.76126426,0.88063216,0.7567921,0.87839603,0.79253936,0.8962697
56651,0.56724566,0.78362286,0.5500482,0.77502406,0.5052797,0.7526399,0.50280845,0.7514042,0.5904205,0.79521024,0.6867934,0.84339666,0.69154435,0.84577215,0.6533791,0.82668954,0.68062747,0.84031373,0.7157763,0.85788816
56652,0.76157844,0.8807892,0.70714736,0.8535737,0.63701546,0.81850773,0.63882864,0.8194143,0.7563765,0.87818825,0.85893226,0.9294661,0.78219336,0.8910967,0.8184366,0.9092183,0.8118111,0.90590554,0.86155367,0.93077683
56653,0.6947813,0.84739065,0.6683109,0.83415544,0.62774336,0.8138717,0.58564115,0.7928206,0.6939387,0.84696937,0.79428434,0.8971422,0.7316749,0.86583745,0.77164567,0.88582283,0.7743386,0.8871693,0.79158115,0.8957906
56654,0.75309086,0.8765454,0.6911727,0.84558636,0.61575353,0.80787677,0.64316064,0.8215803,0.7447556,0.8723778,0.8296982,0.9148491,0.76764643,0.8838232,0.78803456,0.8940173,0.7838925,0.89194626,0.8313081,0.91565406
56656,0.731753,0.8658765,0.6784109,0.83920544,0.61833775,0.8091689,0.5951077,0.79755384,0.74162483,0.8708124,0.8162843,0.90814215,0.7570354,0.8785177,0.77562046,0.88781023,0.76860476,0.8843024,0.80143845,0.9007192
56657,0.5261164,0.7630582,0.50432587,0.75216293,0.45395705,0.72697854,0.46983194,0.734916,0.5466806,0.77334034,0.68385863,0.8419293,0.64123005,0.82061505,0.6146798,0.8073399,0.6849953,0.84249765,0.71899426,0.85949713
56661,0.6903822,0.8451911,0.6786345,0.83931726,0.58412814,0.7920641,0.600312,0.800156,0.6974609,0.84873044,0.78982085,0.89491045,0.71070087,0.85535043,0.74271315,0.8713566,0.76313055,0.8815653,0.76680225,0.88340116
56662,0.6506288,0.8253144,0.67161727,0.83580863,0.5386571,0.7693286,0.6511861,0.82559305,0.64431727,0.82215863,0.7322159,0.86610794,0.6954697,0.8477348,0.7509129,0.87545645,0.7894305,0.89471525,0.7774752,0.88873756
56725,0.64502394,0.822512,0.63755137,0.81877565,0.5705524,0.7852762,0.611906,0.805953,0.63968325,0.8198416,0.74965394,0.87482697,0.72483456,0.8624173,0.7366854,0.8683427,0.7458088,0.8729044,0.7835212,0.8917606
56795,0.64550006,0.82275003,0.63450825,0.8172541,0.59435505,0.79717755,0.58062536,0.79031265,0.70748776,0.8537439,0.7747661,0.88738304,0.75531256,0.8776563,0.77972895,0.88986444,0.75804293,0.87902147,0.80298936,0.9014947
56796,0.5623691,0.78118455,0.57580763,0.7879038,0.50976884,0.7548844,0.54965115,0.7748256,0.593977,0.7969885,0.6356262,0.8178131,0.6532753,0.8266376,0.67132586,0.83566296,0.6579132,0.8289566,0.6733825,0.83669126
56797,0.71525085,0.8576254,0.6966472,0.8483236,0.5962977,0.7981489,0.6137173,0.80685866,0.72104,0.86052,0.77317315,0.88658655,0.7293261,0.86466306,0.7617564,0.8808782,0.768763,0.88438153,0.76934606,0.884673
56798,0.63749903,0.81874955,0.643,0.8215,0.5662701,0.78313506,0.5621623,0.78108114,0.6648676,0.8324338,0.7059758,0.8529879,0.7341837,0.8670919,0.70174634,0.8508732,0.70425665,0.8521283,0.74029714,0.87014854
56799,0.609017,0.8045085,0.5923066,0.7961533,0.49753702,0.7487685,0.5417269,0.7708634,0.63224995,0.816125,0.7234523,0.86172616,0.7193339,0.85966694,0.69524395,0.847622,0.72866416,0.8643321,0.7779911,0.8889955
56800,0.6838566,0.8419283,0.67546237,0.8377312,0.60040236,0.8002012,0.6556606,0.8278303,0.62605596,0.813028,0.69168675,0.8458434,0.6387219,0.819361,0.7131692,0.8565846,0.7174412,0.8587206,0.7004417,0.85022086
56801,0.748641,0.8743205,0.7414917,0.87074584,0.6472373,0.82361865,0.63018453,0.81509227,0.7709454,0.8854727,0.8621948,0.9310974,0.8104019,0.90520096,0.8206761,0.91033804,0.7929133,0.89645666,0.8517691,0.92588454
56802,0.6140082,0.8070041,0.5812858,0.79064286,0.5391085,0.76955426,0.56537914,0.7826896,0.5902161,0.7951081,0.6968907,0.84844536,0.67813885,0.8390694,0.655854,0.827927,0.7357372,0.8678686,0.6984094,0.84920466
56803,0.77465653,0.88732827,0.76849854,0.88424927,0.71931815,0.8596591,0.68993515,0.8449676,0.76329017,0.8816451,0.8391345,0.9195672,0.79021907,0.89510953,0.852392,0.926196,0.7884129,0.89420646,0.8515935,0.92579675
56804,0.7028064,0.85140324,0.6987575,0.84937876,0.6142676,0.8071338,0.6501014,0.8250507,0.701726,0.850863,0.784885,0.89244246,0.73682904,0.8684145,0.8122034,0.9061017,0.7975036,0.8987518,0.80387056,0.9019353
56805,0.6701956,0.8350978,0.6129666,0.80648327,0.59557205,0.797786,0.6157711,0.8078855,0.59251785,0.7962589,0.69506204,0.847531,0.6259146,0.8129573,0.694731,0.8473655,0.70346665,0.8517333,0.71030676,0.8551534
56807,0.70195735,0.8509787,0.698022,0.849011,0.607622,0.803811,0.6226703,0.81133515,0.7383257,0.86916286,0.78454924,0.8922746,0.8134482,0.9067241,0.75660133,0.87830067,0.7874446,0.8937223,0.8298993,0.91494966
56809,0.7301349,0.8650675,0.7126932,0.8563466,0.6213205,0.81066024,0.6526388,0.8263194,0.737898,0.868949,0.8274283,0.9137142,0.76297307,0.88148654,0.82044375,0.9102219,0.80561775,0.9028089,0.82167566,0.9108378
56859,0.6012353,0.80061764,0.57068646,0.7853432,0.47560662,0.73780334,0.5425117,0.77125585,0.60224986,0.80112493,0.6809342,0.8404671,0.6762489,0.83812445,0.626647,0.8133235,0.6864711,0.84323555,0.68080485,0.8404024
56860,0.72634345,0.8631717,0.73569,0.867845,0.6384034,0.8192017,0.70812154,0.85406077,0.71654654,0.85827327,0.8144541,0.90722704,0.7779393,0.88896966,0.8182026,0.9091013,0.8075917,0.90379584,0.83990824,0.9199541
56861,0.60517746,0.8025887,0.5497894,0.7748947,0.52393675,0.7619684,0.5910785,0.79553926,0.5988007,0.7994003,0.68426424,0.8421321,0.6662555,0.83312774,0.6974488,0.84872437,0.68272436,0.8413622,0.7072246,0.8536123
56862,0.7487061,0.87435305,0.73511076,0.8675554,0.63102055,0.8155103,0.6688253,0.8344127,0.71512485,0.8575624,0.7808505,0.89042526,0.7529461,0.87647307,0.80413675,0.9020684,0.7947377,0.89736885,0.8148701,0.90743506
57384,0.70881397,0.85440695,0.6991627,0.84958136,0.61947894,0.8097395,0.6244954,0.8122477,0.7174567,0.85872835,0.79882574,0.8994129,0.7797512,0.8898756,0.789919,0.8949595,0.7393801,0.86969006,0.83066964,0.9153348
57400,0.76578605,0.882893,0.7046842,0.8523421,0.6552067,0.82760334,0.66082776,0.8304139,0.75880426,0.87940216,0.837824,0.918912,0.76186574,0.88093287,0.82384974,0.91192484,0.7498819,0.874941,0.8099446,0.9049723
62042,0.7813622,0.8906811,0.75473297,0.8773665,0.70445246,0.85222626,0.7083833,0.85419166,0.74295944,0.87147975,0.74982226,0.8749111,0.7152245,0.85761225,0.7567146,0.8783573,0.7333238,0.8666619,0.75580233,0.8779012
63086,0.5045249,0.7522625,0.54682803,0.773414,0.45151785,0.7257589,0.4833003,0.74165016,0.5255878,0.7627939,0.60641336,0.8032067,0.6278213,0.81391066,0.62509704,0.8125485,0.6536793,0.8268397,0.6522257,0.82611287
63087,0.6654153,0.83270764,0.6325964,0.8162982,0.55894697,0.7794735,0.6353858,0.8176929,0.6597338,0.8298669,0.7235304,0.8617652,0.74045414,0.8702271,0.7013761,0.85068804,0.6955731,0.84778655,0.7551881,0.87759405
83710,0.7340063,0.86700314,0.7029525,0.85147625,0.61991906,0.80995953,0.64952767,0.82476383,0.7316879,0.86584395,0.8147059,0.9073529,0.74111694,0.8705585,0.8091923,0.90459615,0.7727244,0.8863622,0.8290098,0.9145049
83711,0.5839412,0.7919706,0.6105751,0.80528754,0.59194636,0.7959732,0.5539248,0.7769624,0.5186398,0.7593199,0.4865053,0.74325264,0.4753522,0.7376761,0.6009722,0.8004861,0.52498615,0.7624931,0.4898107,0.74490535
86666,0.71256566,0.85628283,0.7526984,0.8763492,0.6490675,0.82453376,0.66805404,0.83402705,0.7290922,0.86454606,0.81678843,0.9083942,0.8139243,0.90696216,0.82402486,0.91201246,0.8186852,0.9093426,0.8551654,0.92758274
87779,0.3919494,0.6959747,0.4462823,0.72314113,0.33839548,0.66919774,0.42088547,0.7104427,0.3807046,0.6903523,0.3461393,0.67306966,0.418333,0.7091665,0.40111244,0.7005562,0.41865158,0.7093258,0.38065344,0.6903267
97622,0.7186465,0.85932326,0.6900338,0.8450169,0.64478856,0.82239425,0.6286764,0.8143382,0.7337971,0.86689854,0.84652174,0.92326087,0.7800715,0.89003575,0.8117119,0.90585595,0.8004471,0.90022355,0.8437098,0.9218549
98134,0.6371075,0.81855375,0.6188977,0.80944884,0.5510914,0.7755457,0.51272535,0.7563627,0.64443314,0.8222166,0.74216044,0.8710802,0.7209971,0.86049855,0.6989567,0.84947836,0.7189592,0.8594796,0.76232946,0.8811647
