,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Score
53976,0.5348148,0.7674074,0.51402944,0.75701475,0.47984484,0.7399224,0.496528,0.748264,0.5501479,0.77507395,0.6188624,0.8094312,0.63351,0.816755,0.5934955,0.79674774,0.6482761,0.82413805,0.6360536,0.8180268
53977,0.73628914,0.8681446,0.6751685,0.83758426,0.58917093,0.79458547,0.6259835,0.81299174,0.7225733,0.86128664,0.8007511,0.90037555,0.75794613,0.87897307,0.77294576,0.8864729,0.78801525,0.8940076,0.79704094,0.89852047
53978,0.6884873,0.84424365,0.6052888,0.8026444,0.5781208,0.7890604,0.5524869,0.77624345,0.7145005,0.8572502,0.8510276,0.9255138,0.7221488,0.8610744,0.74247515,0.8712376,0.72964585,0.8648229,0.8222341,0.9111171
53979,0.7234106,0.8617053,0.69564694,0.8478235,0.65112376,0.8255619,0.64047736,0.8202387,0.76622486,0.88311243,0.84465426,0.92232716,0.7616879,0.88084394,0.8201004,0.9100502,0.7706919,0.88534594,0.79290485,0.8964524
53981,0.6108806,0.8054403,0.603504,0.801752,0.5340328,0.7670164,0.58620006,0.7931,0.6528764,0.8264382,0.7201383,0.86006916,0.7170048,0.8585024,0.7026107,0.85130537,0.7192736,0.8596368,0.7507862,0.8753931
54796,0.67135346,0.8356767,0.6523849,0.82619244,0.5412996,0.7706498,0.60458636,0.8022932,0.62477016,0.8123851,0.6867039,0.84335196,0.65932703,0.8296635,0.71755207,0.85877603,0.67059803,0.835299,0.6836655,0.84183276
54797,0.7054642,0.85273206,0.66293883,0.8314694,0.6411165,0.82055825,0.5728202,0.7864101,0.742584,0.871292,0.8644022,0.9322011,0.73842216,0.8692111,0.7897683,0.8948841,0.7350444,0.86752224,0.7897381,0.8948691
54798,0.65264934,0.8263247,0.68527997,0.84264,0.57475936,0.7873797,0.62106127,0.81053066,0.6665784,0.8332892,0.72718936,0.86359465,0.6856704,0.8428352,0.7196122,0.85980606,0.7653403,0.88267016,0.737009,0.8685045
54799,0.59862137,0.7993107,0.6087874,0.8043937,0.5254183,0.76270914,0.57109547,0.78554773,0.61305285,0.8065264,0.7183585,0.85917926,0.7032659,0.85163295,0.7018,0.8509,0.7652085,0.88260424,0.78132945,0.8906647
54800,0.69376665,0.8468833,0.6759716,0.8379858,0.6052907,0.8026453,0.602183,0.8010915,0.6948643,0.84743214,0.7706568,0.8853284,0.74139434,0.87069714,0.7824823,0.8912412,0.77078986,0.88539493,0.78081214,0.8904061
56453,0.70981467,0.85490733,0.6428398,0.8214199,0.5863982,0.79319906,0.541878,0.770939,0.7205783,0.86028916,0.7995793,0.8997897,0.7813606,0.8906803,0.7182907,0.85914534,0.73984325,0.8699216,0.7917816,0.89589083
56528,0.6341698,0.8170849,0.6006508,0.8003254,0.50819105,0.75409555,0.5919856,0.7959928,0.6382941,0.81914705,0.7163875,0.85819376,0.6950897,0.84754485,0.68789345,0.8439467,0.73732626,0.86866313,0.7192962,0.8596481
56542,0.69481725,0.84740865,0.66909254,0.83454627,0.6021894,0.8010947,0.65206766,0.82603383,0.7004199,0.85020995,0.78404033,0.89202017,0.71663725,0.8583186,0.7860211,0.89301056,0.7697555,0.88487774,0.79723144,0.8986157
56543,0.62190294,0.8109515,0.60830957,0.80415475,0.53514093,0.7675705,0.5589229,0.77946144,0.63079435,0.81539714,0.6932428,0.8466214,0.7074175,0.85370874,0.6969162,0.8484581,0.7230396,0.8615198,0.7233973,0.8616986
56544,0.636697,0.8183485,0.60867786,0.80433893,0.5522859,0.77614295,0.6090019,0.80450094,0.6592525,0.82962626,0.7418039,0.87090194,0.7231059,0.86155295,0.718311,0.85915554,0.72409683,0.8620484,0.76601315,0.8830066
56545,0.5800994,0.7900497,0.60899067,0.80449533,0.5131718,0.7565859,0.5660444,0.78302217,0.55316836,0.77658415,0.5711957,0.78559786,0.58051383,0.7902569,0.65618396,0.828092,0.64924747,0.8246237,0.6192367,0.80961835
56618,0.714831,0.8574155,0.7225586,0.8612793,0.6421298,0.8210649,0.6490434,0.82452166,0.7170435,0.85852176,0.8070553,0.9035276,0.7557175,0.87785876,0.8523379,0.9261689,0.78766,0.89383,0.8355291,0.91776454
56619,0.6594657,0.82973284,0.6493629,0.82468146,0.5455887,0.77279437,0.5867548,0.7933774,0.69161975,0.8458099,0.7758129,0.88790643,0.7627976,0.8813988,0.73174584,0.8658729,0.7471945,0.87359726,0.78773904,0.8938695
56629,0.7271595,0.86357975,0.66940045,0.8347002,0.62133014,0.8106651,0.6530625,0.8265313,0.70831984,0.85415995,0.8294499,0.91472495,0.7274363,0.86371815,0.818364,0.909182,0.76869154,0.88434577,0.8049934,0.9024967
56630,0.7209358,0.8604679,0.6669699,0.83348495,0.57912135,0.7895607,0.5967758,0.7983879,0.711528,0.85576403,0.8154628,0.9077314,0.7574245,0.87871224,0.77444744,0.8872237,0.778522,0.889261,0.8269205,0.91346025
56631,0.597217,0.79860854,0.6306324,0.8153162,0.53219724,0.7660986,0.5859143,0.7929572,0.6194663,0.80973315,0.69258,0.84629,0.67694604,0.838473,0.692109,0.8460545,0.74713445,0.8735672,0.7638457,0.88192284
56632,0.70963836,0.8548192,0.68427634,0.8421382,0.6099593,0.8049797,0.6536716,0.8268358,0.72773576,0.8638679,0.8170023,0.90850115,0.79277045,0.8963852,0.8127296,0.9063648,0.77630997,0.888155,0.84110326,0.92055166
56633,0.6955216,0.8477608,0.6325459,0.816273,0.60922843,0.8046142,0.5656906,0.78284526,0.7091657,0.85458285,0.79347396,0.896737,0.7396833,0.86984164,0.75177944,0.8758897,0.71929705,0.8596485,0.77181137,0.8859057
56634,0.5946743,0.7973372,0.59753335,0.7987667,0.5050307,0.7525153,0.538907,0.7694535,0.6314639,0.81573194,0.7017943,0.8508972,0.70622,0.85310996,0.6974916,0.8487458,0.7247323,0.86236614,0.726267,0.8631335
56635,0.42883262,0.7144163,0.4623499,0.73117495,0.43085146,0.7154257,0.4075273,0.70376366,0.41290534,0.70645267,0.4362492,0.7181246,0.5018811,0.75094056,0.46192998,0.730965,0.493845,0.7469225,0.52016133,0.7600807
56637,0.7513384,0.87566924,0.7164928,0.8582464,0.6242583,0.81212914,0.642556,0.821278,0.75595236,0.8779762,0.8219584,0.9109792,0.7775053,0.88875264,0.8261633,0.91308165,0.7646822,0.8823411,0.8196392,0.9098196
56638,0.73772633,0.86886317,0.666363,0.8331815,0.5924876,0.7962438,0.563802,0.781901,0.75602865,0.8780143,0.85867584,0.9293379,0.79315674,0.8965784,0.76481414,0.88240707,0.7165773,0.85828865,0.8169707,0.90848535
56639,0.5912448,0.7956224,0.5718131,0.78590655,0.49453074,0.74726534,0.53207314,0.76603657,0.6314013,0.81570065,0.7104244,0.8552122,0.71496797,0.857484,0.68092114,0.84046054,0.68362,0.84181,0.7411884,0.8705942
56641,0.57161987,0.78580993,0.5437747,0.77188736,0.4887525,0.74437624,0.5346408,0.7673204,0.59537435,0.7976872,0.68543935,0.8427197,0.6891949,0.84459746,0.636446,0.818223,0.68496585,0.8424829,0.7234731,0.86173654
56642,0.6226886,0.81134427,0.55903995,0.77952,0.49452543,0.7472627,0.52354527,0.76177263,0.63209724,0.8160486,0.7429048,0.8714524,0.7349771,0.86748856,0.6871632,0.84358156,0.7164519,0.85822594,0.7540952,0.8770476
56643,0.72414565,0.8620728,0.67701215,0.8385061,0.6541867,0.82709336,0.6357051,0.81785256,0.6959852,0.8479926,0.7519536,0.8759768,0.6321944,0.8160972,0.7622648,0.88113236,0.7009203,0.8504602,0.70576906,0.85288453
56644,0.70282555,0.8514128,0.67106956,0.8355348,0.60937774,0.8046889,0.6302929,0.81514645,0.70037055,0.8501853,0.7498272,0.8749136,0.73987675,0.8699384,0.7635026,0.8817513,0.7525571,0.8762785,0.7705234,0.8852617
56645,0.5921569,0.79607844,0.6080767,0.80403835,0.53084964,0.76542485,0.58836985,0.7941849,0.5850283,0.79251415,0.64185154,0.8209258,0.6377042,0.81885207,0.70244193,0.85122097,0.68489325,0.8424466,0.6749854,0.8374927
56646,0.6316949,0.81584746,0.59280753,0.79640377,0.5184624,0.7592312,0.6029545,0.80147725,0.6287861,0.81439304,0.72704005,0.86352,0.68756664,0.8437833,0.6833726,0.8416863,0.7231703,0.86158514,0.7260852,0.8630426
56647,0.6848507,0.84242535,0.6847118,0.8423559,0.6082901,0.80414504,0.6595624,0.8297812,0.7001961,0.850098,0.7633718,0.8816859,0.7433469,0.87167346,0.7583991,0.87919956,0.76783574,0.88391787,0.79227126,0.8961356
56648,0.68961906,0.84480953,0.6380295,0.8190148,0.5841967,0.79209834,0.631499,0.8157495,0.69274473,0.84637237,0.76125187,0.88062596,0.7307224,0.8653612,0.74854064,0.8742703,0.74153703,0.87076855,0.77379835,0.8868992
56649,0.66297656,0.83148825,0.6537451,0.8268726,0.5726303,0.78631514,0.60114,0.80057,0.62537813,0.81268907,0.69530666,0.8476533,0.6352635,0.8176317,0.69489074,0.84744537,0.7091919,0.85459596,0.6994746,0.8497373
56650,0.66686356,0.8334318,0.62119067,0.81059533,0.5661428,0.7830714,0.54304594,0.771523,0.7111783,0.85558915,0.83868265,0.9193413,0.7865808,0.8932904,0.7374246,0.8687123,0.7506183,0.8753091,0.81497693,0.90748847
56651,0.65392673,0.82696337,0.56679606,0.78339803,0.53497744,0.7674887,0.5143733,0.75718665,0.7009153,0.85045767,0.82577527,0.91288763,0.7309209,0.86546046,0.7228845,0.8614422,0.71624404,0.858122,0.8014595,0.9007298
56652,0.7226025,0.86130124,0.68487847,0.84243923,0.58327913,0.79163957,0.61367315,0.8068366,0.7259377,0.86296886,0.84336925,0.9216846,0.79583764,0.8979188,0.7758157,0.88790786,0.7877201,0.89386004,0.82661426,0.91330713
56653,0.6175078,0.8087539,0.61007535,0.8050377,0.55537,0.777685,0.5766592,0.7883296,0.6167495,0.80837476,0.6967656,0.84838283,0.6449685,0.82248425,0.70231205,0.851156,0.70986944,0.8549347,0.7125988,0.8562994
