,Modified_gpt-5.2_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelgpt-5.2 UIUX Score
15339,79.997
15419,77.099
15425,79.165
15426,80.76
15474,81.19
15519,81.553
15524,80.763
15589,77.268
15679,78.287
15743,77.345
16036,80.316
16039,78.557
16064,82.79
