id,Llama3-70B-Instruct-Turbo
10,"SummaryDedicated and efficient UX designer with a passion for creating intuitive designs that simplify daily life. Proven ability to quickly learn new design tools and techniques, with a strong focus on user-centered design and collaboration.Design Experience UX Designer	+ Created high-fidelity wireframes and interactive prototypes using Figma to enhance user journeys	+ Developed responsive designs for various screen sizes, ensuring seamless user experiences	+ Mapped out user flows to identify pain points and opportunities for improvement	+ Demonstrated quick learning and adaptability in design tools and techniques	+ Actively sought feedback from senior designers and colleagues to improve designsProject Experience PAW Tracker Website Design	+ Designed a user-friendly website to help people quickly find their lost pets in a specific area using filters, applying empathy-driven design principles TableTap Mobile App Design	+ Created a user-friendly platform for easy restaurant table selection and booking, leveraging user research, intuitive design, and collaboration to improve the dining experienceWork Experience Agro-Industrial Group 'Pan Kurchak', Advertising Manager (Aug. 2021 - Present)	+ Managed social media presence (SMM)	+ Oversaw website management	+ Wrote product requirements documents for graphic and web designers Advertising Agency 'Ruden Agency', Social Media Manager (Oct. 2020 - Sep. 2021)	+ Created content plans and wrote/scheduled posts	+ Designed illustrations for social mediaAbout MeI'm a reliable and hardworking individual with a strong desire to make people's daily lives simpler and more efficient. I'm eager to learn and take on challenging tasks, and I'm excited to join a company that shares my values."
11,"SummaryResults-driven professional with experience in web development and design, with a proven track record of delivering high-quality projects in team environments.ExperienceDepartment Director,  Led a team to develop a web service for finding missing pets, Furry Finder, which enabled users to post ads and connect with each other.Web Development and Design Projects Furry Finder Web Service: Contributed to the development of a web service for finding lost pets, working collaboratively with a team during training. Redesign of Skandi Restaurant Website: Redesigned the website during studies, improving readability, font selection, and menu item organization, and adding a feedback feature to the ""Reviews"" block. Getshop App: Designed a mobile application for selecting gifts with in-app payments, focusing on ease of use and user experience, developed during a course.I made the following changes to improve your resume: Added a summary section to provide a brief overview of your experience and skills. Created a separate section for experience and projects to make it easier to scan. Emphasized your achievements and responsibilities in each project. Used action verbs like ""Led"", ""Contributed"", ""Redesigned"", and ""Designed"" to describe your roles. Removed unnecessary words and phrases to make the text more concise. Standardized the formatting and punctuation to make the resume easier to read."
12,"Education Web Design Course, PROJECTOR Institute Mobile Application Design Course, PROJECTOR InstituteProfessional ExperienceGBS IT, Startup (Oct 2022 - Present) Designed solutions for desktop and browser versions of a CRM system-based application	+ Conducted market and competitor research	+ Collaborated with customers and developers to ensure effective design development	+ Created 40+ design solutions for tables in 2D and 3D formats, and integrated them into the application	+ Animated all transitions and active actions of the applicationFreelance, Upwork (May 2022 - Present) Designed a landing page for a startup company producing orthopedic pillows, optimized for PC and smartphone Developed a mobile application design for Sommelier, featuring a database of alcoholic beverages, a store, and a poster of gastronomic events Conducted in-depth analysis and research of the Paired mobile application, proposing ideas and solutions for improvement Created solution designs for two conceptual hypotheses for changing the payment screen Redesigned a web page for a clientLeadership Experience Team Leader (Previous Role)	+ Led a team of 12 employees	+ Analyzed market research and top sales statistics to improve and increase salesCareer Goals Expand knowledge and skills to become a successful and valuable team member"
13,"Web Design Achievements Developed effective interfaces by applying best practices to ensure seamless user interaction with websites Demonstrated deep understanding of UX/UI principles, creating intuitive and aesthetically pleasing web designs that meet user needs Proficient in design tools such as Adobe XD, Figma, and Sketch, using them to create accurate prototypes and mockups Successfully implemented responsive design techniques, including media querying and flexible layouts, to ensure optimal display on various devices and screen sizes Developed skills in colour harmony and typography, selecting palettes and fonts that enhance readability and aesthetics Utilized prototyping and testing to improve user experience, analyzing results and making data-driven design decisions Proven ability to collaborate effectively, listening to and sharing ideas constructively with team membersProject ExperienceGifts&FleursFlower and gift delivery app Conducted competitor analysis, identified target audience needs, and defined project goals Designed a unique layout, including onboarding, home page, catalogue, favourites, cart, and user profile Selected a soothing pastel colour palette and legible font, ensuring accessibility across various phone dimensionsMr.CleanerTeam project for a cleaning company Collaborated with a team of three to develop a user-friendly design Analyzed competitors, selected references, and identified target audience needs Contributed to user flow diagram creation and page layout design Designed the main page and ensured adaptation to different devices, resulting in a modern and user-friendly designA Kids Place ChildcareWebsite redesign for a kindergarten Created wireframes and UI designs for selected pages Developed a UI Kit and adapted the site for tablets and mobile devices Designed a bright and playful website that embodies the joy of childhood, with a friendly and easy-to-navigate interface"
14,"About MeI'm a beginner UI/UX designer open to collaboration and excited to bring innovative designs to life.Projects1. Matcha Tea WebsiteDesigned a visually appealing and user-friendly website, completing the project in stages: Competitor analysis Wireframing Design UI-kit creation Adaptation2. HealthyLife Web Service (Team Project)Contributed to the design of a web service that connects users with quality healthcare professionals. My responsibilities included: Competitor analysis Wireframing Design Prototyping3. FloverLover Landing PageCreated a landing page for a flower delivery service to acquire customers, featuring: Competitor analysis Moodboard creation DesignThe page showcases delivery terms, catalog, prices, and reviews.4. Tattoo Studio Landing PageDesigned a modern-style landing page for a tattoo studio, combining a cool atmosphere with a visually appealing color scheme.Career GoalsI'm looking forward to a fulfilling career in UI/UX design, where I can earn a living while providing convenient and beautiful website designs, competitor analysis, and target audience insights."
15,"Graphic DesignerSummaryHighly motivated and detail-oriented graphic designer with experience in creating visually appealing designs for websites, exhibitions, and online stores. Proficient in developing printed products, infographics, presentations, and advertisements. Eager to develop skills in UI/UX design and contribute to project teams.ExperienceGraphic Designer, Etere (11.2022 - 05.2023) Developed printed products (booklets, business cards, flyers, etc.) for promotions and exhibitions Created infographics, presentations, icons, logos, web banners, and social media banners Designed advertisements for online and printed magazines Designed exhibition standsAchievements Completely updated the company's website banner Designed a stand for NAB show 2023 and other exhibitions Created infographics for all company productsGraphic Designer, Online Store ""Profline"" (05.2021 - 02.2022) Created corporate style and redesigned the existing logo Designed banners for social media and landing pages in Figma Conducted UX research, including target audience analysis, surveys, and UserFlow/UserMap creation Designed business cards, flyers, and other printed materials Edited product photos and created videos and animations for banners and websitesAchievements Increased banner clicks by 25% Boosted landing page conversion by 20% Added over 1,000 new product photos Implemented a loyalty program, increasing repeat ordersCareer AspirationsI am eager to develop my skills in UI/UX design and contribute to project teams. I am looking for a role that offers: Professional skill development and opportunities for growth Collaborative teamwork and constructive feedback Opportunities for creative self-expression and innovation Support and mentorship from experienced colleagues Career growth opportunities and increased responsibilities over time"
16,"Graphic Designer (Freelance)March 2017 - October 2019Designed logos for various brands, including a logo for a children's swimming club. Developed sticker packs for printing and digital usage in messaging platforms (Telegram).AR Mask Creator (Freelance)August 2019 - May 2020Created AR masks for companies and bloggers for Instagram, including both animated and 3D object-based masks.UI/UX Designer (Freelance)August 2021 - PresentDesigned user interfaces and user experiences that balanced business goals with comfortable interface usage for target audiences. Key responsibilities included: Developing the foundation and components of Design Systems, including patterns, colors, typography, and iconography Conducting market and target audience research, website usability analysis, and strategy development for usability improvement and conversion increase Analyzing existing interfaces on site markets and creating layout prototypes, UX writing, visual interfaces, animations, and micro-interaction designs"
17,"UI/UX and Graphic DesignerWith a strong background in Advertising education and experience in UI/UX and graphic design, I excel at meeting customer needs and delivering successful projects.Experience: UI/UX Designer (1 year) Graphic Designer (4+ years)UI/UX Skills: Interface design from scratch with Figma User research and analysis, including User Personas, CJM, and User Flow creation Wireframing and prototyping Knowledge of Material design and iOS Human Interface guidelines Adaptive website design 2D animation creation in Adobe After EffectsProjects: Mobile App for 24/7 video consultation with doctors Landing page for online driving school Adaptive website for home quest boxesCareer Goals:I am dedicated to continually improving my skills and creating innovative products. I am excited to join a dynamic company with a collaborative team environment and contribute to its success.Note: I've reorganized the content to make it more concise and easy to read, and highlighted your skills and experience in a clear and concise manner. I've also removed the greeting and the sentence about hoping to find an incredible company, as they are not typically included in a resume."
18,"UI/UX DesignerHighly responsible and creative professional with expertise in designing landings, websites, and mobile apps. Proficient in full-cycle design, from analysis to implementation of finished products.Project ExperienceTeam Lead, Web Service for Cleaning ServicesLed a team to develop a web service for hiring cleaning company employees. Conducted competitor research, team brainstorming, and created user personas, user flow diagrams, and customer journey maps. Designed an excellent final product.Redesign for Mainsail Realty CompanyRedesigned a real estate company website to improve functionality and visual appeal, resulting in increased user engagement and lead generation. Conducted competitor analysis, created wireframes, and designed a modern, responsive website with a clean, professional look that reflects the company's brand and values.Landing Page for Fliwer Delivery ""Flower Lover""Designed a landing page for advertising a new opportunity to order bouquets with delivery. Conducted competitor analysis, created a moodboard, wireframe, and implemented the design.Career ObjectiveSeeking a Junior UI/UX Designer position in a company with great corporate ethics and healthy working relationships, with the possibility of remote work."
19,"UX/UI DesignerHighly motivated and detail-oriented designer with a passion for creating visually stunning and user-friendly websites. Proficient in Figma, Adobe Illustrator, Prototype, and Adobe Photoshop, with experience in mobile, web, responsive design, and logo design.Projects: Tattoo Salon Website Redesign: Analyzed competitors and conducted user research to redesign a website with improved hierarchy and aesthetics, increasing customer engagement. Lost Pets Web Service: Designed a web service to help owners find lost pets, featuring filtering and matching capabilities, and a user-friendly interface. Restaurant Table Booking Application: Created a graphical application for booking tables in restaurants, including features for choosing seats, zones, and additional services, with payment integration. Chemistry Education Platform: Designed a comprehensive chemistry education program, incorporating various learning approaches for an effective learning experience. 2 Team Projects: Collaborated with teams to design and develop two projects, utilizing my skills in UX/UI design and problem-solving.Skills: UX/UI design Figma, Adobe Illustrator, Prototype, Adobe Photoshop Mobile, web, responsive design, logo design Design aesthetics, attention to detail Positive attitude to criticism, continuous learningWork Style: Goal-oriented and results-driven Strong team player with excellent collaboration skills Ability to work full-time or remotely, with a focus on optimizing existing solutions."
20,"Oksana, Junior UI/UX DesignerSummary:Highly motivated Junior UI/UX Designer with a strong foundation in UI/UX design, Web and Mobile design. Proficient in creating user-friendly and intuitive interfaces for web and mobile applications.Education:Completed 6-month courses in Go-IT company, gaining practical knowledge in UI/UX design, Web and Mobile design.Responsibilities: Design and develop user-friendly and intuitive interfaces for web and mobile applications Create simple and clear structures for new sites with convenient navigation systems Select fonts, backgrounds, icons, and design logos, animations, and banners Analyze user behavior to improve existing sites Conduct research and analysis of competitors to inform design decisionsProjects: Kindergarten Website Redesign: Redesigned a kindergarten website to create a modern, user-friendly design that attracts young parents and meets the needs of preschool education. HOME for GUEST App: Designed a user-friendly website for a web service that allows users to change their environment, with a focus on ease of use and suitable design.Career Goals:Seeking a company that offers opportunities for professional growth and development, with a focus on continuous learning and improvement."
21,"Graphic and UI/UX DesignerHighly motivated and dedicated beginner seeking to advance in graphic and UI/UX design. Proficient in designing logos and websites, with experience in redesign, research, personas, moodboards, adaptation, and Figma Smart Animate.Tools: Figma Adobe Illustrator Adobe PhotoshopProject Experience:Team Leader, CleanUpLed a group project to create a web resource for cleaning services, guiding users to find a cleaner that meets their needs. Successfully completed the full design cycle from analysis to adaptation, including user interface design and linking.Custom ConceptsRedesigned an existing tattoo studio website, enhancing user experience through color and font changes, CTA button addition, and FAQ section improvement.AnabioZDeveloped a comprehensive brand guideline for a men's gift shop, creating a logo and applying it to various devices and signs.Career Goals:Seeking a company with a team of professionals where I can learn and grow, while delivering high-quality results and meeting deadlines.Note: I've reorganized the content to make it more concise and easy to read, while maintaining the accuracy of your original resume. I've also removed the introductory sentence and focused on highlighting your skills, experience, and career goals."
22,"Junior UI/UX DesignerAbout MeI'm a Junior UI/UX Designer with a passion for creating user-centered designs that exceed expectations. With 6 months of design experience, I'm eager to join a team and develop high-quality products that delight users and businesses.SummaryHighly motivated and curious designer with a solid understanding of UI/UX principles, web design, and prototyping. Proficient in UX research and skilled in creating appealing and intuitive interfaces. Profound interest in mobile app development and committed to continuous learning.Hard Skills Design Tools: Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Canva Design Expertise: Wireframes, Prototypes, Design Systems, UI-Kit, Information Architecture UX Principles: Understanding of UX principles, User Flow, MVP, CJMSoft Skills Curiosity Empathy Creativity Attention to detail Critical thinking Effective communicationProject Experience ApartEase: Contributed to the development of a user-friendly rental apartment web service, connecting travelers and apartment owners. Utilized skills in adaptive design, UI kit, analysis, user flow, MVP, CJM, wireframes, Adobe Photoshop, and Figma.Career GoalsI'm excited to join a progressive company where I can collaborate to create innovative products that make a difference in the market."
23,"Junior UI/UX DesignerHighly motivated and enthusiastic UI/UX designer with a strong foundation in interface design, color theory, typography, and user experience principles. Eager to learn and grow in a team of professionals.EducationCompleted courses in UI/UX design, covering the basics of interface design, color theory, typography, and other essential aspects of creating effective and high-quality user experiences.Project ExperienceRedesign for an Indian Restaurant Redesigned a website to improve user experience and mobile device compatibility, resulting in increased customer acquisition.Turnabout - Travel Booking Web-Service Collaborated on a full-cycle design project for a housing rental platform, conducting competitor analysis, creating personas, wireframes, and final design.Rest Book - Mobile Application Contributed to a full-cycle design project for a mobile application, enabling users to choose and book tables in a restaurant, including competitor analysis, persona creation, wireframing, and design.Skills UI/UX design principles Interface design Color theory Typography User experience design Mobile application design Web design Team collaborationAbout MeA creative and open-minded individual with a passion for designing websites and mobile applications. Continuously seeking new knowledge and technologies to improve skills and stay up-to-date with industry trends."
24,"Junior UI/UX DesignerWith a strong background in IT as a recruiter (over 3 years) and a solid understanding of SDLC and IT-business processes, I am now pursuing a career in UI/UX design.Education and Training Completed ""From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more"" course, covering UI/UX, Figma, design theory, and CSS/HTML fundamentals (4 months)Mentorship Guided by a senior UI/UX designer, who provided valuable feedback and accelerated my learning processDesign Experience Designed and developed two pet projects:	+ Mobile application for Djinni platform	+ Bill-split mobile application Currently working on a new pet project, while seeking my first commercial UI/UX design projectCareer Goals Seeking a long-term cooperation that will provide a valuable experience for both myself and the companyImportant Note I will not consider cooperation with Russian/Belarusian customers or projects"
25,"UI/UX DesignerAbout MeHighly motivated and experienced designer with a strong background in furniture and interior design (20 years) and 1+ year of experience in UI/UX design. Proven track record of delivering successful projects and effective client communication.Experience Freelance UI/UX Designer (Current)	+ Designed and developed websites for Ukrainian brands, resulting in increased sales and improved user experience	+ Utilized skills in Figma, Photoshop, Illustrator, and Webflow to deliver high-quality designs Furniture and Interior Designer (20 years)	+ Completed numerous projects, honing skills in design, communication, and project managementEducation Alpaca - Tech & Digital School (Graduated)Skills UI/UX design: target audience research, sitemap, user map, UIKIT, components, autolayout, wireframing, prototiping Visual design: knowledge of hierarchy, color, and typography Tools: Figma, Photoshop, Illustrator, Webflow HTML and CSS: basic understandingCareer GoalTo join a team of professionals where I can continue to grow, learn, and contribute my skills and experience to drive success."
26,"UI/UX DesignerHighly motivated and experienced designer seeking a full-time UI/UX design position.Education and Training Completed web designer courses at KAMA Participated in design marathons from IT schoolsFreelance Experience Designed a landing page for the Employment Abroad agency, including:	+ Brief development	+ Terms of reference creation	+ Prototype design	+ Interface designDesign Skills Landing page design Adaptive design (mobile and web interfaces) Basic animation (Figma) Prototyping UI kit creationGraphic Design Experience 4 years of experience as a graphic designer Recent 2-year experience at a company, where my responsibilities included:	+ Graphic support for social media content	+ Creative development for targeting	+ Design and prepress preparation of printing materials (brand book compliant)	+ Concept and layout development for catalogs	+ Photo retouching	+ Website redesign, graphic content creation (adaptive banners, icons), content selectionSoftware Proficiency Figma Adobe Photoshop Adobe Illustrator Tilda"
27,"About MeHighly motivated and experienced UI/UX designer with a strong background in advertising and project management. Passionate about delivering user-centered designs and constantly improving my skills.Project ExperienceTeam Leader, Webservice ProjectLed the design of a medical web service, creating a convenient native service for patients and doctors. Developed user interface, doctor interface, and online consultation interface, with adaptations for tablets and mobile phones.Redesign, Sports Bar WebsiteCompleted a full design cycle for a sports bar website, transforming an outdated and difficult-to-use site into a modern, easy-to-use platform with table booking functionality. Ensured a seamless user experience across tablets and mobile phones.Additional Experience Successfully managed full-scale advertising projects and worked with various printing products Demonstrated expertise in website redesign, with multiple cases of redesigning websites Created product platform designs, showcasing my ability to develop innovative solutionsLooking Forward ToNew acquaintances, interesting projects, and a friendly and cool team!"
28,"SummaryHighly detail-oriented and creative Junior UI/UX Designer with experience in designing presentations, UI kits, and working with design systems. Skilled in Figma, WebFlow, and proficient in HTML/CSS and Bootstrap. Proven ability to generate and propose ideas, with a strong visual sense approved by previous managers and mentors.Experience Designed a presentation for Mikhail Fedorov, the Minister of Digital Transformation of Ukraine, promoting digital transformation to mayors of Ukraine's large cities.Skills Figma: auto-layout, components, variants, styles, plugins, animation, prototyping WebFlow: CMS, responsive, animations, publishing, integrations UI kits and design systems Stakeholder and user interviews User testing HTML/CSS and Bootstrap (basic knowledge) Attention to detail and idea generationDomain Experience UI: clothes shop (web and mobile app), dentistry, public transport app, electronic document management system UX and UI: pizza delivery, recruitment & job board sitesCareer GoalSeeking a Junior UI/UX Designer position in a friendly team with a mentor to develop and gain experience."
29,"Junior UI/UX DesignerWith a strong theoretical background and experience in the pharmaceutical field, I bring a user-centered design approach to create intuitive and helpful interfaces. Through a training course, I completed 5 projects, developing skills in mobile application, landing page, dashboard, web service, and website redesign.Skills: Proficient in Figma and Adobe Photoshop Experienced in designing landings, websites, and mobile apps Strong core technical skills Excellent soft skills: team player, problem solver, energetic, great communicator, and organized Quick and responsible learner, passionate about creating positive user experiencesProjects: PetDetective - Webservice: Designed a platform to help owners find lost animals, featuring useful information and volunteer opportunities. Conducted competitor analysis, user interviews, and created user flow and CJM. Cucina di Catharina - Website Redesign: Updated the website for homemade traditional Italian gravy, structuring information, adding quality photos, and creating a CTA button with an accent color palette. PresentPerfect - Mobile App: Created a mobile app for sending personalized gifts, using Material Design System. Analyzed competitors, interviewed users, and designed user personas and flow, with 40+ screens and animations. Dashboard for IT School: Designed a dashboard for students and teachers, displaying main metrics. Landing Page Timeless Home: Created an intuitive interface, with a well-read structure and accents, to encourage visitors to make a purchase or take a desired action.Career Aspirations: Career growth Focus on results and open team Possibility of remote or partially remote work Corporate culture, work ethic, and employee value"
