id,Clean_Deepseek_V3
10,"  
  
Professional Summary  
Experienced designer with a strong focus on creating intuitive and user-friendly digital interfaces. Skilled in developing high-fidelity wireframes, interactive prototypes, and responsive designs. Adept at mapping user flows, identifying pain points, and enhancing user journeys. Quick learner with a collaborative mindset, open to feedback, and committed to continuous improvement.  
Skills  
- Wireframing & Prototyping (Figma)  
- Responsive Design  
- User Flow Mapping  
- Market Research & User-Centered Design  
- Team Collaboration & Communication  
- Adaptability & Quick Learning  
Project Experience  
‘PAW Tracker’ Website Design  
- Designed a user-friendly website to help individuals locate lost pets in specific areas using filters.  
- Applied empathy-driven design principles to create a sensitive and supportive interface.  
‘TableTap’ Mobile App Design  
- Developed a user-friendly platform for restaurant table selection and booking.  
- Conducted user research and collaborated with stakeholders to deliver an intuitive design, improving the dining experience.  
Work Experience  
Agro-Industrial Group ‘Pan Kurchak’  
Advertising Manager | Aug. 2021 – Present  
- Managed social media accounts (SMM) and website content.  
- Wrote product requirements documents for graphic and web designers.  
- Ensured alignment between marketing strategies and design deliverables.  
Advertising Agency ‘Ruden Agency’  
Social Media Manager | Oct. 2020 – Sep. 2021  
- Created and executed content plans for social media platforms.  
- Wrote, scheduled, and published posts.  
- Designed illustrations for social media campaigns.  
Career Objective  
Seeking a full-time role at a company dedicated to simplifying and improving daily life through innovative design solutions. Reliable, quick to learn, and prepared to tackle challenging tasks with dedication and effort."
11,"  
  
Professional Experience  
Department Director  
 –   
 –   
- Promoted to department director within less than a year, demonstrating leadership and organizational skills.  
Furry Finder Web Service  
 –   
 –   
- Collaborated with a team to develop a web service for finding lost pets.  
- Enabled users to post ads for lost or found animals and connect with each other.  
- Contributed to the project during a training program.  
Skandi Restaurant Website Redesign  
 –   
 –   
- Redesigned the website to improve readability and user experience.  
- Simplified the menu structure and enhanced the ""Reviews"" section to include feedback functionality.  
- Completed the project as part of academic studies.  
Getshop App  
 –   
 –   
- Designed a mobile application for selecting and delivering gifts.  
- Focused on creating an intuitive user interface with in-app payment functionality.  
- Developed the project as part of a course curriculum.  
Skills  
- Web Development  
- User Interface Design  
- Team Collaboration  
- Project Management  
Education  
  
 –   
"
12,"  
  
Education  
- Web Design Course, PROJECTOR Institute  
- Mobile Application Design Course, PROJECTOR Institute  
Experience  
GBS IT, StartUp  
Designer | Oct 2022 – Present  
- Created and invented design solutions for desktop and browser versions of a CRM system application.  
- Conducted market and competitor research.  
- Collaborated and communicated consistently with the customer (owner) and developer.  
- Developed full designs from mockups to finished solutions.  
- Designed 40+ table solutions and integrated them into the application (2D and 3D formats).  
- Animated all transitions and active actions within the application.  
Upwork, Freelance  
Freelance Designer | May 2022 – Present  
- Designed a landing page for a startup company producing orthopedic pillows (PC and smartphone versions).  
- Conducted market research, developed ideas, and designed a mobile application called Sommelier, featuring a database of alcoholic beverages, a store, and a poster for gastronomic events.  
- Analyzed and researched the Paired mobile application (competitor), proposed improvement ideas, and created solution designs.  
- Proposed 2 conceptual hypotheses for redesigning the payment screen and created corresponding solution designs.  
- Redesigned the competitor’s web page.  
Additional Experience  
- Led a team of 12 employees in a previous role, focusing on analytics, market research, and sales statistics to improve and increase sales.  
Skills  
- Web and mobile application design  
- Market and competitor research  
- UI/UX design (mockups to final solutions)  
- Animation and interactive design  
- Team leadership and collaboration  
Objective  
I aim to expand my knowledge, learn new skills, and contribute as a successful and valuable team member."
13,"  
  
Professional Summary  
Skilled web and UX/UI designer with a strong foundation in creating intuitive, responsive, and aesthetically pleasing designs. Proficient in using tools like Adobe XD, Figma, and Sketch to develop prototypes and mockups. Experienced in analyzing user needs, collaborating with teams, and delivering designs that enhance user experience.  
Skills  
- Web and UX/UI Design  
- Responsive Design (Media Querying, Flexible Layouts)  
- Prototyping and User Testing  
- Color Theory and Typography  
- Collaboration and Teamwork  
- Tools: Adobe XD, Figma, Sketch  
Experience  
Gifts&Fleurs  
Flower and Gift Delivery App  
- Conducted competitor analysis and identified target audience needs.  
- Designed a unique layout including onboarding, home page, catalogue, favourites, cart, and user profile.  
- Selected a soothing pastel color palette and legible typography for cross-device compatibility.  
Mr.Cleaner  
Cleaning Company Website  
- Collaborated in a team of three to develop a user-friendly design.  
- Analyzed competitors, selected references, and defined user flows.  
- Designed the main page and ensured responsive adaptation for various devices.  
- Delivered a modern, user-centric design meeting client requirements.  
A Kids Place Childcare  
Kindergarten Website Redesign  
- Redesigned website pages, creating wireframes and UI designs.  
- Developed a UI Kit and ensured responsive design for tablets and mobile devices.  
- Incorporated bright, playful colors and a friendly interface to reflect the joy of childhood.  
- Made CTAs clickable and improved overall user navigation.  
Education  
  
  
Achievements  
- Mastered principles of effective interface design and applied best practices to enhance user interaction.  
- Developed responsive designs optimized for various devices and screen sizes.  
- Improved skills in color harmony, typography, and prototyping to deliver high-quality designs.  
- Demonstrated ability to collaborate effectively, listen to team input, and contribute constructively to projects."
14,"  
Beginner UI/UX Designer  
Completed Projects  
1. Matcha Tea | Website  
   - Designed a visually engaging yet simple website for a matcha tea brand.  
   - Responsibilities included competitor analysis, wireframing, UI design, UI-kit creation, and responsive adaptation.  
2. HealthyLife | Web Service (Team Project)  
   - Contributed to the design of a web service enabling users to find doctors and access quality care.  
   - Conducted competitor analysis, created wireframes, designed interfaces, and developed prototypes.  
3. FloverLover | Landing Page  
   - Designed a landing page for a flower delivery service to attract customers.  
   - Performed competitor analysis, created a moodboard, and designed the layout.  
   - Included features such as delivery terms, catalog, pricing, and customer reviews.  
4. Tattoo Studio | Landing Page  
   - Created a modern and visually appealing landing page for a tattoo studio.  
   - Focused on color combinations and conveying the studio's unique atmosphere.  
Skills  
- UI/UX Design  
- Wireframing  
- Prototyping  
- Competitor Analysis  
- Responsive Design  
- Team Collaboration  
Expectations  
- Seeking engaging work opportunities that offer professional growth and earnings.  
- Passionate about creating convenient, beautiful website designs and conducting competitor and target audience analysis."
15,"Graphic Designer  
Etere  
11.2022 – 05.2023  
Achievements:  
- Completely updated the banner for the company's website.  
- Designed a stand for the NAB Show 2023 and other exhibitions.  
- Created infographics for all company products.  
Duties:  
- Developed printed materials (booklets, business cards, flyers, etc.) for promotions and exhibitions.  
- Created infographics, presentations, icons, logos, web banners, and social media banners.  
- Designed advertisements for online and printed magazines.  
- Designed exhibition stands.  
Graphic Designer  
Online Store ""Profline""  
05.2021 – 02.2022  
Achievements:  
- Increased banner clicks by 25%.  
- Improved landing page conversion by 20%.  
- Added approximately 1,000 new product photos.  
- Boosted repeat orders by implementing a loyalty program.  
Duties:  
- Developed corporate style and redesigned the existing logo.  
- Designed banners for social media and landing pages in Figma.  
- Conducted UX research, including target audience analysis, needs assessment, surveys, and creation of UserFlow and UserMap.  
- Designed business cards, flyers, and other printed materials.  
- Performed product photography, photo editing, video creation, and editing.  
- Created animations for banners and websites.  
Career Aspirations:  
- Develop professional skills in UI/UX design, including learning new technologies, tools, and methodologies.  
- Collaborate in project teams to exchange ideas, receive feedback, and contribute to collective success.  
- Express creativity and innovation in design projects.  
- Receive mentorship and support from experienced colleagues to enhance expertise.  
- Pursue career growth opportunities in the UI/UX design field."
16,"Graphic Designer • Freelance  
Mar 2017 – Oct 2019  
- Designed logos for brands, including a logo for a children’s swimming club.  
- Developed sticker packs for printing and digital use in messaging platforms like Telegram.  
AR Mask Creator • Freelance  
Aug 2019 – May 2020  
- Created AR masks for companies and bloggers for Instagram.  
- Designed both animated masks and masks incorporating 3D objects.  
UI/UX Designer • Freelance  
Aug 2021 – Present  
- Redesigned existing products and created product designs from scratch.  
- Developed the foundation and components of Design Systems, including patterns, colors, typography, and iconography.  
- Conducted market and target audience research, along with website usability analysis.  
- Created strategies to improve usability and increase conversion rates.  
- Analyzed existing interfaces within the site market I worked with.  
- Designed layout prototypes, UX writing, visual interfaces, animations, and micro-interactions."
17,"  
  
UI/UX Designer & Graphic Designer  
Professional Summary  
Experienced UI/UX and Graphic Designer with 1 year of UI/UX design experience and 4+ years of graphic design expertise. Skilled in creating user-centered designs, developing interfaces, and delivering visually appealing solutions that meet customer needs. Proficient in Figma, Adobe After Effects, and adhering to Material Design and iOS Human Interface Guidelines.  
Experience  
UI/UX Designer  
- Developed interfaces from scratch using Figma.  
- Created User Personas, Customer Journey Maps (CJM), and User Flows based on in-depth interviews and research.  
- Designed wireframes and prototypes for web and mobile applications.  
- Ensured designs complied with Material Design and iOS Human Interface Guidelines.  
- Created adaptive versions of websites for seamless user experiences across devices.  
- Designed 2D animations using Adobe After Effects.  
Graphic Designer  
- Delivered high-quality graphic design solutions for various projects.  
- Collaborated with clients to understand their needs and translate them into visually compelling designs.  
Projects  
- Mobile App for 24/7 Video Consultation with Doctors: Designed the user interface and experience for a mobile application enabling users to consult with doctors anytime.  
- Landing Page for Online Driving School: Created a responsive and visually appealing landing page to attract and engage potential customers.  
- Adaptive Website for Home Quest Boxes: Designed an adaptive website to enhance user interaction and accessibility across devices.  
Skills  
- UI/UX Design  
- Graphic Design  
- Figma  
- Adobe After Effects  
- User Research  
- Wireframing & Prototyping  
- Material Design & iOS Human Interface Guidelines  
- Adaptive Web Design  
Education  
 in Advertising  
  
Objective  
Seeking to contribute my skills and creativity to an innovative company with a collaborative team, while continuing to grow as a UI/UX Designer and create impactful products."
18,"  
UI/UX Designer  
Professional Summary  
Creative and responsible UI/UX Designer with experience in designing landing pages, websites, and mobile applications. Skilled in full-cycle design, from analysis to implementation, with a focus on creating user-friendly and visually appealing projects. Proven ability to lead teams, manage organizational tasks, and deliver high-quality results.  
Skills  
- Full-cycle UI/UX design (analysis, wireframing, prototyping, implementation)  
- Competitor analysis and user research  
- Wireframing and moodboard creation  
- User persona development and user flow diagrams  
- Responsive and intuitive design  
- Team leadership and project management  
Project Experience  
Redesign for Mainsail Realty Company  
- Redesigned the website to improve functionality and visual appeal, resulting in increased user engagement and lead generation.  
- Conducted competitor analysis and created wireframes.  
- Designed a modern, responsive website with a clean, professional look that reflects the company’s brand and values.  
- Organized content logically and ensured intuitive, user-friendly navigation.  
Landing Page for Flower Delivery ""Flower Lover""  
- Designed a landing page to advertise a new bouquet delivery service.  
- Conducted competitor analysis, created a moodboard, and developed wireframes.  
- Implemented a visually appealing and functional design to promote the service effectively.  
Web Service for Cleaning Services (Team Project)  
- Led a team as Team Lead to design a web service for hiring cleaning company employees.  
- Conducted competitor research, team brainstorming, and developed user personas.  
- Created user flow diagrams, customer journey maps (CJM), and wireframes.  
- Delivered an excellent final design for the web service.  
Career Goals  
Seeking a Junior UI/UX Designer position in a company with strong corporate ethics and healthy working relationships. Open to remote work opportunities.  
Contact Information  
 |  | "
19,"  
UX/UI Designer  
Contact Information  
 |  |  |   
---
Professional Summary  
Creative and detail-oriented UX/UI designer with experience in mobile, web, responsive design, and logo design. Proficient in Figma, Adobe Illustrator, Adobe Photoshop, and prototyping tools. Passionate about crafting visually stunning and user-friendly interfaces. Skilled in design aesthetics, attentive to detail, and open to constructive criticism. Adept at collaborating in teams and eager to learn and grow.  
---
Skills  
- UI/UX Design  
- Mobile & Web Design  
- Responsive Design  
- Logo Design  
- Prototyping  
- Competitor Analysis  
- Team Collaboration  
- Attention to Detail  
- Problem-Solving  
Tools  
Figma | Adobe Illustrator | Adobe Photoshop | Prototyping Tools  
---
Projects  
Tattoo Salon Website Redesign  
- Identified issues with customer traffic due to unclear hierarchy and unappealing design.  
- Conducted competitor analysis and user research to inform redesign.  
- Delivered a visually appealing and user-friendly website to improve user retention.  
Web Service for Finding Lost Pets  
- Conceptualized a web service to help owners locate lost pets efficiently.  
- Designed a user-friendly interface with features such as filtering ads by animal type, breed, and color.  
- Implemented a matching system to pair lost and found animals within a specified search radius.  
Restaurant Table Booking Application  
- Developed a graphical application for restaurant reservations with seat selection and layout preview.  
- Integrated additional features such as zone selection (e.g., smoking area, quiet zone) and special services (e.g., high chairs, pet accommodations).  
- Enabled users to browse and compare restaurants, cafes, and bars with varying menus and pricing.  
Team Projects  
- Collaborated on two team-based design projects, contributing to ideation, prototyping, and final deliverables.  
---
Education  
Chemistry Education  
- Explored diverse learning approaches to create structured and effective educational programs.  
- Developed skills in goal-setting, problem-solving, and optimizing solutions.  
---
Additional Information  
- Full-time or remote work availability.  
- Strong team player with a positive attitude and a drive to achieve goals.  
- Committed to applying design skills to enhance user experiences and optimize solutions."
20,"Oksana   
 |  |  |  |  |   
---
Junior UI/UX Designer  
Specializing in UI/UX Design for web and mobile applications  
---
Professional Summary  
Motivated Junior UI/UX Designer with a 6-month course completion from Go-IT company, specializing in UI/UX design for web and mobile applications. Skilled in creating user-friendly interfaces, improving existing websites, and conducting user behavior analysis. Experienced in redesigning websites and developing intuitive navigation systems, selecting fonts, backgrounds, icons, logos, animations, and banners. Proficient in competitor research and analysis to inform design decisions.  
---
Skills  
- UI/UX Design for Web and Mobile Applications  
- Website Redesign and Improvement  
- User Behavior Analysis  
- Competitor Research and Analysis  
- Navigation System Design  
- Logo, Animation, and Banner Creation  
- Font and Icon Selection  
- Wireframing and Prototyping  
---
Experience  
Kindergarten Website Redesign  
- Redesigned an outdated kindergarten website to create a modern, user-friendly design targeting young parents.  
- Conducted competitor research and analysis to identify successful design solutions.  
- Developed a clear site structure with intuitive navigation and visually appealing elements.  
HOME for GUEST App  
- Designed a user-friendly web service for changing environments, focusing on ease of use and suitable design.  
- Created a platform where users can exchange accommodation, food, or services for work or pet care.  
- Ensured the design met the needs of both hosts and guests through intuitive interface design.  
---
Education  
Go-IT Company  
6-Month Course in UI/UX Design  
- Gained practical knowledge in UI/UX design, web, and mobile design.  
- Completed multiple projects, including website redesigns and app design.  
---
Objective  
Seeking a company where I can grow professionally and contribute to innovative design projects. Professional development and continuous learning are my top priorities."
