id,Clean_Deepseek_67B
12,"
Education:
Web design course and Mobile application design course, PROJECTOR Institute

Experience:

GBS IT, StartUp - Oct 2022 - Present

 Developed design solutions for desktop and browser versions of CRM application
 Conducted market and competitor research
 Collaborated with customer and developer to create full design development from mockups to finished solution
 Created 40+ design solutions of tables and integrated them into the application (2D and 3D formats)
 Animated all transitions and active actions of the application

Upwork, Freelance - May 2022 - Present

 Developed landing page design for PC and smartphone for startup company producing orthopedic pillows
 Conducted market research and analysis, developed and worked out the idea, modeled and created the design of mobile application called Sommelier, which includes a database of alcoholic beverages, a store, a poster of various gastronomic events, etc.
 Conducted in-depth analysis and research of Paired mobile application (competitor), proposed ideas and solutions that could improve it, and created solution design
 Proposed 2 conceptual hypotheses for changing the payment screen, described what solutions I expect as a result and created their solution design
 Redesigned their web page

Skills:

 Web design
 Mobile application design
 Market research and analysis
 Collaboration and communication
 Design development
 Animation
 Team leadership


Note: The improved resume is based on the information provided in the original resume and does not include any additional facts or notes."
13,"
Web Designer


Summary

Passionate web designer with a deep understanding of UX/UI principles and proficient in using design tools such as Adobe XD, Figma, and Sketch. Skilled in creating responsive web designs, selecting harmonious color palettes and typography, and prototyping and testing designs with users. Strong ability to collaborate and work effectively in a team.

Skills

 UX/UI design
 Web design tools (Adobe XD, Figma, Sketch)
 Responsive design
 Color harmony and typography
 Prototyping and testing
 Collaboration

Experience

Web Designer

Gifts&Fleurs

 Analyzed competitors and defined target audience and their needs
 Developed unique layout including onboarding, home page, catalogue, favorites, cart, and user profile
 Chose soothing pastel color palette and legible font for application

Mr.Cleaner

 Developed user-friendly design for cleaning company in a team of three
 Analyzed competitors, selected references, and defined target audience
 Designed main page and linked and adapted design to different types of devices

A Kids Place Childcare

 Redesigned website of kindergarten
 Created Wireframes and UI for project
 Re-linked redesign and made CTA clickable
 Created UI Kit for website and adapted site for tablets and mobile

Education

Web Design Course

 Successfully mastered principles of designing effective interfaces
 Applied best practices to ensure user interaction with website
 Studied theory and practice of UX and UI design
 Learned to develop responsive web designs and choose color palettes and typography
 Actively used prototyping and testing design with users

---"
14,"
UI/UX Designer

About Me:
I am a beginner UI/UX designer with experience in both individual and team projects. My strengths include communication, active participation in completed tasks, and a keen eye for design.

Completed Projects:

1. Matcha Tea | Website
 Created a simple yet interesting website design
 Completed the project in stages: competitor analysis, wireframing, design, UI-kit, and adaptation
1. HealthyLife | Web service (team project)
 Worked on the design of a web service that helps users find the right doctor and receive quality care from specialists
 Responsibilities included competitor analysis, wireframing, design, and prototyping
1. FloverLover | Landing Page
 Created a landing page for a flower delivery service to acquire customers
 Conducted competitor analysis, created a moodboard, and designed the page
 Visitors can view delivery terms, catalog, prices, and reviews
1. Tattoo studio | Landing page
 Created a site for practice with a modern style and a nice combination of colors
 Conveyed the cool atmosphere of tattoos

What I Expect:
I am looking forward to an interesting and rewarding work experience, earning a living, and providing people with convenient and beautiful website designs, as well as competitor and target audience analysis."
15,"
Graphic Designer

Etere

 Completely updated the banner for the company's website
 Made a stand design for NAB show 2023 and other exhibitions
 Created infographics for all company products

Profline

 Increased the number of clicks on banners by 25%
 20% increase in landing page conversion
 Added about 1,000 new product photos
 Increased the share of repeat orders due to the addition of a loyalty program

Duties

 Development of printed products (booklets, business cards, flyers, etc.) for promotions or exhibitions
 Creation of infographics, presentations, icons, logos, web banners for the company website and banners for social networks
 Creation of advertisements for online and printed magazines
 Creation of exhibition stands
 Conducting UX research, such as: analysis of the target audience, determination of needs and ""pains"" of the target audience, conducting surveys, creating UserFlow, UserMap, various infographics
 Design of business cards, flyers, etc.
 Product photography and photo editing
 Video creation and editing
 Creation of animations for banners and websites

Expectations from the position

 Professional skill development: Opportunity to learn and grow as a UI/UX designer, familiarize myself with new technologies, tools, and methodologies in this field
 Working in a project team: Collaborate with experienced professionals, exchange ideas, receive constructive feedback, and provide mutual support
 Opportunities for creative self-expression: Contribute ideas and see them come to life in projects
 Support and mentorship: Receive support and mentorship from more experienced colleagues, take responsibility and fulfill assigned tasks, and incorporate their expertise into my work
 Career growth opportunities: Grow professionally and take on greater responsibilities over time in the UI/UX design field."
16,"Here is your improved resume:

Graphic Designer • Freelance
Mar 2017- Oct 2019

 Designed logos for various brands, including a children's swimming club
 Developed sticker packs for printing and digital usage in messengers (Telegram)

AR Mask Creator • Freelance
Aug 2019- May 2020

 Created AR masks for companies and bloggers on Instagram
 Designed both animated and 3D object masks

UI/UX Designer • Freelance
Aug 2021- Present

 Designed and implemented user-centered interfaces for businesses
 Conducted market and target audience research, website usability analysis, and strategy development for usability improvement and conversion increase
 Created the foundation and components of the Design System, including new patterns, colors, typography, iconography
 Designed layout prototypes, UX-writing, visual interface, animation, and micro-interaction design
 Analyzed existing interfaces on site markets and made recommendations for improvement."
17,"
UI/UX Designer & Graphic Designer

Summary:
With 1 year of experience as a UI/UX Designer and 4+ years as a Graphic Designer, I have a strong background in UI/UX and graphic design, as well as Advertising education. I am skilled in developing interfaces from scratch, creating user personas, CJM, user flow, wireframes, and prototypes, and have knowledge of Material design and iOS Human interface guidelines. I have experience creating adaptive versions of websites and 2D animations in Adobe After Effects.

Skills:

 UI/UX Design
 Graphic Design
 Figma
 User Personas
 CJM
 User Flow
 Wireframes
 Prototypes
 Material Design
 iOS Human Interface Guidelines
 Adobe After Effects
 Adaptive Web Design

Projects:

 Mobile App for video consultation with doctors 24/7
 Landing page for online driving school
 Adaptive website for home quest boxes


Please note that this is just a sample and you should tailor it to your specific needs and experiences."
18,"
UI/UX Designer

About Me

I am a UI/UX designer with experience in designing landing pages, websites, and mobile apps. I am skilled in full cycle design, from analysis to implementation of the finished product. I am a responsible and creative individual who can contribute to creating interesting and user-friendly projects.

Project Experience

Redesign for Mainsail Realty Company

 Conducted competitor analysis and drew wireframes to improve website functionality and visual appeal
 Designed a modern, responsive website with a clean, professional look that reflects the company's brand and values
 Organized content in a logical manner and created intuitive navigation for increased user engagement and lead generation

Landing Page for Flower Delivery ""Flower Lover""

 Conducted competitor analysis and created a moodboard, wireframe, and design for a landing page to advertise a new opportunity to order a bouquet with delivery

Web Service for Cleaning Services

 Conducted competitor research, team brainstorming, and user persona formation for a web service to help hire an employee of a cleaning company
 Built user flow diagrams and CJM, and formed a wireframe for the final design
 Served as Team Lead for this team project

Career Objective

I am seeking a Junior UI/UX Designer position in a company with great corporate ethics and healthy working relationships, with the possibility to work remotely."
19,"
UX/UI Designer

Summary:
A passionate UX/UI designer with experience in creating visually stunning and user-friendly websites. Skilled in Figma, Adobe Illustrator, Prototype, and Adobe Photoshop. Proficient in mobile, web, responsive design, and logo design. Detail-oriented with a positive attitude towards criticism and a love for learning.

Skills:

 Figma
 Adobe Illustrator
 Prototype
 Adobe Photoshop
 Mobile design
 Web design
 Responsive design
 Logo design
 Design aesthetics
 Attention to detail
 Positive attitude towards criticism
 Love for learning

Experience:

Tattoo Salon Website Redesign
 Conducted analysis and studied competitors to improve customer traffic and design
 Improved site hierarchy and design to increase user engagement

Lost Pet Web Service
 Developed a web service to help owners of lost animals find them faster
 Implemented features such as filtering ads by available information and finding matches between lost and found animals within a given search radius

Restaurant Reservation Application
 Created a graphical restaurant reservation/booking application
 Added features such as choosing the number of guests, choosing the zone, and additional services
 Allowed users to choose a cafe, restaurant, bar, bakery with different prices and menus, and pay the bill

Chemistry Education
 Designed a well-structured and comprehensive chemistry program
 Full-time or remote availability
 Goal-setting and achievement skills
 Good team player

Education:

Chemistry Education

---"
20,"
Oksana, Junior UI/UX Designer

Summary:
A Junior UI/UX Designer with practical knowledge in UI/UX design, Web and Mobile design. Specializes in creating user-friendly interfaces for web and mobile applications. Skilled in developing site structure, navigation systems, and intuitive user interfaces. Experienced in selecting fonts, backgrounds, icons, drawing logos, animations, and banners. Analyzes user behavior to improve existing sites.

Education:

 Successfully completed 6-month courses in Go-IT company in UI/UX design, Web and Mobile design.

Projects:

1. Kindergarten website redesign
 Redesigned a kindergarten website to create a modern design that attracts young parents and meets the needs of preschool education.
 Conducted research and analysis of competitors to understand successful solutions for the project.
1. HOME for GUEST app
 Designed a user-friendly website for a web service that allows users to change their environment for work and rest in a new place.
 The website includes features such as accommodation, food, and payment options.

Skills:

 UI/UX Design
 Web Design
 Mobile Design
 Site Structure Development
 Navigation System Design
 User Interface Design
 Font Selection
 Background Selection
 Icon Design
 Logo Design
 Animation Design
 Banner Design
 User Behavior Analysis

Looking for:
A company where I can constantly grow professionally."
21,"
Graphic and UI/UX Designer

Skills:

 Proficient in Figma, Adobe Illustrator, and Adobe Photoshop
 Experience in logo design, website design, and redesign
 Knowledge of research, personas, moodboards, adaptation, and Figma Smart Animate

Experience:

Team Leader, CleanUp Project

 Led a group project to create a web resource for cleaning services
 Designed the user interface and thought over the design
 Did full linking
 Used Figma, Adobe Illustrator, and Adobe Photoshop

Graphic and UI/UX Designer

 Designed logos and websites
 Worked on redesign, research, personas, moodboards, adaptation, and Figma Smart Animate
 Confident user of Figma, Adobe Illustrator, and Adobe Photoshop

Projects:

Custom Concepts

 Redesigned an existing tattoo studio website
 Changed colors, fonts, added CTA button identity, ""air,"" and made the FAQ section more functional
 Used Figma, Adobe Illustrator, and Adobe Photoshop

CleanUp

 Full circle design from analysis to adaptation
 Created the user interface and thought over the design
 Did full linking
 Used Figma, Adobe Illustrator, and Adobe Photoshop

AnabioZ

 Developed a guideline for a men's gift shop from scratch
 Created a logo and used it on different types of devices and signs
 Used Adobe Illustrator and Adobe Photoshop

Professional Summary:

 Seeking a company with a team of professionals to learn from and contribute to
 Focused on results and completing tasks on time"
22,"
Junior UI/UX Designer with six months of experience in prototyping, web design, and a solid understanding of UI/UX principles. Skilled in creating appealing and intuitive interfaces that deliver an excellent user experience. Basic knowledge of mobile app development and eager to enhance skills in this area.

Key Skills:

 Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Canva
 Wireframes, prototypes
 Understanding of UX principles
 Design Systems, UI-Kit
 Information architecture

Soft Skills:

 Curiosity
 Empathy
 Creativity
 Attention to detail
 Critical thinking
 Communication skills

Professional Experience:

ApartEase - Rental Apartment Web Service

 Designed a user-friendly and convenient platform that connects travelers and apartment owners, providing a seamless experience for both parties.
 Developed adaptive UI kits and conducted user flow analysis to create MVPs and CJM wireframes.

Objective:

To join a progressive company and create the best working products on the market."
23,"
Junior UI/UX Designer

About Me:

 Junior UI/UX Designer with a passion for creating effective and high-quality user experiences.
 Recently completed courses in UI/UX design, including interface design, color theory, typography, and other essential aspects of the field.
 Inspired by new technologies and the latest trends in the design industry, eager to learn and grow in the field.
 Aspires to work in a team of professionals to gain experience, learn new skills, and contribute to creating practical and cool interfaces.

Project Experience:

 Redesign for an Indian restaurant: Created a full cycle design for a website that was not adapted for mobile devices and had poor usability. The redesign resulted in a high level of customer acquisition.
 Turnabout - Travel Booking Web-Service: Conducted competitor analysis, created personas, and designed wireframes and a full cycle design for a platform for renting housing in a classic way or renting for free.
 Rest Book - Mobile Application: Conducted competitor analysis, created personas, and designed wireframes and a full cycle design for an application for choosing and booking tables in a restaurant.

Skills:

 UI/UX design
 Interface design
 Color theory
 Typography
 Wireframing
 Prototyping
 Teamwork

---"
24,"
Junior UI/UX Designer

Summary:
A junior UI/UX designer with over 3 years of experience in IT as a recruiter, providing a strong understanding of SDLC and IT-business processes. Skilled in UI/UX design, Figma, design theory, and CSS/HTML. Mentored by a senior UI/UX designer to analyze mistakes and enhance learning. Seeking a long-term cooperation for a first commercial project as a UI/UX designer.

Education:

 Completed course 'From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more'

Experience:

 Designed two pet projects:
	+ Mobile application for Djinni platform
	+ Bill-split mobile application

Skills:

 UI/UX design
 Figma
 Design theory
 CSS/HTML
 IT-business processes
 SDLC

---"
25,"
UI/UX Designer with 1 year experience and 20 years of experience as a furniture and interior designer. Skilled in Figma, Photoshop, Illustrator, and Webflow with a basic understanding of HTML and CSS. Proficient in target audience research, sitemap creation, user mapping, UIKIT, components, autolayout, wireframing, prototyping, and knowledge of hierarchy, color, and typography.

Achievements:

 Successfully designed and launched an online shop for a Ukrainian brand of women's clothing, resulting in increased sales for the client.
 Completed numerous projects in the field of furniture and interior design over the years.

Education:

 Graduated from ""Alpaca - Tech & Digital School""

Currently working as a freelancer on projects for Ukrainian brands. Seeking to join a team of professionals to further develop my skills and contribute to the team's success."
26,"
Self-motivated UI/UX Designer with experience in creating landing pages, adaptive design, basic animation, prototyping, and UI kits. Skilled in Figma, Adobe Photoshop, Adobe Illustrator, and Tilda. Seeking a full-time UI/UX designer position.

Education:

 Completed web designer courses at KAMA
 Participated in design marathons from IT schools

Experience:

 Freelance UI/UX Designer: Created a landing page for the Employment Abroad agency, including a brief, terms of reference, prototype, and interface design.
 Graphic Designer: 4 years of experience, including 2 years at a company where responsibilities included graphic support of content in social networks, development of creatives for targeting, design and prepress preparation of printing materials, development of catalog concepts and layouts, photo retouching, and website redesign.

Skills:

 Landing pages
 Adaptive design (mobile and web interfaces)
 Basic animation (in Figma)
 Prototyping
 UI kit
 Graphic support of content in social networks
 Development of creatives for targeting
 Design and prepress preparation of printing materials
 Development of catalog concepts and layouts
 Photo retouching
 Website redesign
 Content selection

Software Skills:

 Figma
 Adobe Photoshop
 Adobe Illustrator
 Tilda"
