id,Claude-3.5-Sonnet
10,"UI/UX DESIGNERPROFESSIONAL SUMMARYDetail-oriented UI/UX designer with experience in creating intuitive digital experiences across web and mobile platforms. Specialized in user-centric design, wireframing, and prototyping with a proven track record in advertising and project management.SKILLS- Wireframing and High-Fidelity Prototyping- Responsive Design- User Flow Mapping- Figma- Market Research- Visual Storytelling- Team Collaboration- Project Requirements DocumentationPROFESSIONAL EXPERIENCEAdvertising Manager | Agro-Industrial Group 'Pan Kurchak'Aug 2021 - Present- Manage company websites and social media presence- Develop product requirement documents for designers- Coordinate with graphic and web design teamsSocial Media Manager | Advertising Agency 'Ruden Agency'Oct 2020 - Sep 2021- Created and executed content strategies- Managed social media content planning and scheduling- Designed social media illustrationsNOTABLE PROJECTSPAW Tracker Website Design- Developed user-centric website design for lost pet location services- Implemented filter-based search functionality- Created empathy-driven interface for sensitive user situationsTableTap Mobile App Design- Designed restaurant booking platform interface- Conducted user research for optimal dining experience- Created intuitive table selection systemCORE COMPETENCIES- Rapid adaptation to new design tools- Receptive to feedback and continuous improvement- Strong team collaboration skills- User-centered design approach- Market research integration"
11,"Here's an improved version of your resume:PROFESSIONAL EXPERIENCEDepartment Director• Promoted to Director position within first year of employment, demonstrating exceptional leadership capabilities and rapid professional growthPROJECTSFurry Finder | Pet Recovery Web Service• Collaborated in a team environment to develop a comprehensive web platform connecting pet owners with found animals• Implemented user-focused features enabling posting and management of lost/found pet advertisements• Facilitated direct communication channels between users to enhance pet recovery success rateSkandi Restaurant Website Redesign• Led complete website overhaul improving user experience and visual aesthetics• Enhanced readability through strategic font selection and color scheme optimization• Implemented interactive review system enabling customer feedback and engagement• Streamlined navigation by optimizing menu structureGetshop Mobile Application• Executed full-cycle design of gift-selection and delivery mobile application• Developed intuitive user interface incorporating seamless in-app payment functionality• Created comprehensive gift categorization system for enhanced user experience• Designed efficient delivery tracking and management systemAll projects were completed during educational training period."
12,"PROFESSIONAL EXPERIENCEGBS IT, StartUp (October 2022 - Present)UX/UI Designer• Led end-to-end design development for CRM system applications across desktop and browser platforms• Conducted comprehensive market and competitor analysis to inform design decisions• Designed and implemented 40+ table solutions in both 2D and 3D formats• Created seamless animations for application transitions and interactive elements• Maintained continuous collaboration with stakeholders and development teamFreelance Designer, Upwork (May 2022 - Present)• Designed responsive landing page for orthopedic pillow startup across desktop and mobile platforms• Conceptualized and developed ""Sommelier"" mobile application, including e-commerce integration and event management features• Performed competitive analysis of Paired mobile application, delivering strategic UX improvements• Executed website redesign project with focus on user experience enhancement• Led web redesign initiatives resulting in improved user engagementLeadership Experience• Managed and coordinated team of 12 employees• Conducted market analysis and sales performance tracking• Implemented data-driven strategies to optimize sales metricsEducationPROJECTOR Institute• Web Design Course - Completed• Mobile Application Design Course - CompletedSkills• UI/UX Design• Market Research & Analysis• Stakeholder Management• Team Leadership• Wireframing & Prototyping• Animation Design• Responsive Design• Project Management"
13,"PROFESSIONAL SUMMARYUX/UI Designer with proven expertise in creating intuitive, responsive web designs and mobile applications. Skilled in user research, prototyping, and collaborative design processes.TECHNICAL SKILLS- Design Tools: Adobe XD, Figma, Sketch- Design Principles: Responsive Design, Color Theory, Typography- UX/UI: Wireframing, Prototyping, User Testing- Collaboration: Team Projects, Design ImplementationPROFESSIONAL EXPERIENCEUX/UI Designer - Gifts&Fleurs- Conducted competitive analysis and user research for flower/gift delivery application- Developed comprehensive layout including onboarding, home page, catalogue, favorites, cart, and user profile- Implemented responsive design principles for cross-device compatibility- Created cohesive design system with pastel color palette and accessible typographyUX/UI Designer - Mr.Cleaner (Team Project)- Collaborated in three-person team to develop cleaning company website- Led competitive analysis and user research phases- Created user flow diagrams and main page design- Implemented responsive design across multiple devices- Contributed to final product achieving modern, user-friendly interfaceUX/UI Designer - A Kids Place Childcare- Executed complete website redesign for childcare facility- Developed wireframes and UI design for key pages- Created comprehensive UI Kit- Implemented mobile and tablet responsive design- Designed playful, child-friendly interface with intuitive navigation- Integrated functional CTAs and interactive elementsCORE COMPETENCIES- Interface Design- User Experience Design- Responsive Web Design- Prototyping and Testing- Color Theory and Typography- Team Collaboration- User Research and Analysis"
14,"PROFESSIONAL SUMMARYEmerging UI/UX Designer with hands-on experience in website and landing page design, focusing on user-centered solutions. Demonstrated ability in both independent and collaborative project environments. Skilled in competitor analysis, wireframing, and creating responsive designs.PROFESSIONAL EXPERIENCEUI/UX Designer | Independent ProjectsMatcha Tea Website• Executed complete design lifecycle from competitor analysis to final adaptation• Developed comprehensive UI-kit ensuring consistent design language• Created wireframes and implemented responsive design solutionsHealthyLife Web Service | Team Project• Collaborated on healthcare platform connecting patients with medical specialists• Conducted competitor analysis to identify market opportunities• Delivered wireframes and interactive prototypes for improved user experienceFlowerLover Landing Page• Designed e-commerce landing page for flower delivery service• Performed competitor analysis and created strategic moodboard• Integrated essential features including delivery terms, catalog, pricing, and customer reviewsTattoo Studio Landing Page• Conceptualized and designed modern landing page focusing on brand aesthetics• Implemented contemporary color schemes to enhance visual appeal• Created cohesive design reflecting brand identitySKILLS• Wireframing• UI/UX Design• Competitor Analysis• Prototyping• Responsive Design• Team Collaboration• Moodboard Creation• Visual DesignCAREER OBJECTIVESeeking opportunities to create intuitive and aesthetically pleasing digital experiences while contributing to user-centered design solutions."
15,"GRAPHIC DESIGNERPROFESSIONAL EXPERIENCEGraphic Designer | Etere | November 2022 - May 2023• Redesigned company website banner, enhancing digital presence• Designed exhibition stands for NAB Show 2023 and other trade events• Created comprehensive infographic series for entire product portfolio• Developed print materials including booklets, business cards, and flyers• Designed digital assets including web banners, social media content, and advertising materials• Produced presentations, icons, and logos for corporate communicationsGraphic Designer | Profline Online Store | May 2021 - February 2022• Increased banner click-through rate by 25% through optimized design• Improved landing page conversion rate by 20%• Photographed and edited 1,000+ product images• Implemented loyalty program resulting in increased repeat customer orders• Executed complete corporate rebranding including logo redesign• Conducted comprehensive UX research including user surveys and flow mapping• Designed landing pages using Figma• Created and edited promotional videos and banner animations• Developed print collateral including business cards and marketing materialsSKILLS• Adobe Creative Suite• Figma• UI/UX Design• Brand Identity Design• Web Design• Photography• Video Editing• Animation• Print Design• Digital Marketing• User Research• Information Architecture"
16,"PROFESSIONAL EXPERIENCEUI/UX Designer • FreelanceAug 2021- Present• Developed comprehensive Design Systems including patterns, colors, typography, and iconography• Conducted market research and user analysis to optimize website usability and conversion rates• Created strategic recommendations for improving user experience and interface functionality• Designed and implemented responsive layouts, interactive prototypes, and micro-interactions• Led end-to-end product design projects from conceptualization to final delivery• Executed UX writing and visual interface design for various digital platformsAR Mask Creator • FreelanceAug 2019- May 2020• Designed and developed custom AR masks for Instagram featuring both 2D and 3D elements• Created animated facial effects and interactive filters for corporate clients and social media influencers• Delivered engaging AR experiences aligned with brand guidelines and user expectationsGraphic Designer • FreelanceMar 2017- Oct 2019• Developed brand identity solutions including custom logos for diverse clients• Created versatile sticker packs optimized for both print and digital platforms• Designed digital assets for messenger applications including Telegram• Delivered creative solutions for various sectors including youth sports organizations"
17,"PROFESSIONAL SUMMARYVersatile UI/UX and Graphic Designer with 5+ years of combined experience, specializing in user-centered design solutions and digital products. Proven track record in creating intuitive interfaces and engaging visual experiences.PROFESSIONAL EXPERIENCEUI/UX Designer (1 year)• Developed comprehensive interfaces from concept to implementation using Figma• Conducted user research and created User Personas, Customer Journey Maps, and User Flows• Designed and implemented wireframes and interactive prototypes• Applied Material Design principles and iOS Human Interface Guidelines• Created responsive website designs across multiple platforms• Produced 2D animations using Adobe After EffectsGraphic Designer (4+ years)Skills integrated into UI/UX projectsKEY PROJECTS• Healthcare Mobile App: Designed UI/UX for 24/7 video consultation platform• Online Driving School: Developed landing page interface and user experience• Home Quest Boxes: Created responsive website design and user interfaceTECHNICAL SKILLS• Design Tools: Figma, Adobe After Effects• Design Systems: Material Design, iOS Human Interface Guidelines• Deliverables: Wireframes, Prototypes, User Flows, Customer Journey Maps• Specialties: Interface Design, Responsive Design, User Research, 2D AnimationEDUCATIONDegree in Advertising"
18,"UI/UX DesignerProfessional Summary:Results-driven UI/UX Designer specialized in creating intuitive, user-friendly digital experiences across web and mobile platforms. Experienced in full-cycle design from analysis to implementation, with proven leadership abilities and strong creative problem-solving skills.Professional Experience:Team Lead & UI/UX Designer - Web Service for Cleaning Services• Led design team and managed organizational responsibilities• Conducted competitive research and facilitated team brainstorming sessions• Developed user personas, user flow diagrams, and customer journey maps• Created wireframes and final design implementation• Coordinated project deliverables and team collaborationUI/UX Designer - Mainsail Realty Company Website Redesign• Executed complete website redesign to enhance functionality and user engagement• Conducted competitor analysis and created responsive wireframes• Designed modern, professional interface aligned with company brand values• Implemented intuitive navigation and logical content organizationUI/UX Designer - ""Flower Lover"" Delivery Landing Page• Designed promotional landing page for bouquet delivery service• Performed competitor analysis• Created moodboard and wireframes• Implemented final design solutionSkills:• Full-cycle design• Website and landing page design• Mobile app design• Wireframing• User flow creation• Competitor analysis• Team leadership• Project managementCareer Objective:Seeking Junior UI/UX Designer position with remote work possibilities in a company with strong corporate ethics and collaborative work culture."
19,"Here's an improved version of your resume, keeping all original facts while enhancing presentation:PROFESSIONAL SUMMARYUX/UI Designer with expertise in creating user-friendly digital experiences. Proficient in Figma, Adobe Illustrator, Prototype, and Adobe Photoshop. Specialized in mobile, web, responsive design, and logo design. Detail-oriented professional committed to design aesthetics and continuous learning.TECHNICAL SKILLS• Design Tools: Figma, Adobe Illustrator, Adobe Photoshop, Prototype• Design Specialties: Mobile Design, Web Design, Responsive Design, Logo Design• Core Competencies: User Experience, User Interface Design, Visual DesignPROJECT PORTFOLIOTattoo Salon Website Redesign• Conducted comprehensive competitor analysis to improve user retention• Restructured site hierarchy to enhance user navigation• Implemented new design solutions to address high bounce ratesLost Pet Finder Web Service• Developed interactive map-based platform for lost pet recovery• Implemented advanced filtering system for animal characteristics• Created location-based matching algorithm for lost and found pets• Designed marker system with automated removal for found petsRestaurant Table Booking Application• Designed interactive restaurant layout visualization system• Implemented multi-criteria booking system including zone preferences• Created integrated payment processing feature• Developed comprehensive filtering for venue types and price ranges• Incorporated additional services booking functionalityPROFESSIONAL ATTRIBUTES• Strong team collaboration skills• Goal-oriented mindset• Adaptable to remote and in-person work environments• Receptive to feedback• Problem-solving focus• Commitment to continuous improvementEDUCATIONChemistry Education Background"
20,"OKSANA Junior UI/UX DesignerPROFESSIONAL SUMMARYDetail-oriented UI/UX Designer specializing in web and mobile applications with formal training from Go-IT company. Focused on creating intuitive user interfaces and optimizing user experiences through research-driven design solutions.TECHNICAL SKILLS• UI/UX Design• Web Design• Mobile Design• User Research & Analysis• Navigation System Design• Interface Development• Logo Design• Animation• Banner CreationEDUCATIONUI/UX Design CertificationGo-IT Company6-month intensive course in UI/UX design, Web and Mobile designPROJECT EXPERIENCEKindergarten Website Redesign• Conducted comprehensive competitor analysis to identify industry best practices• Developed modern, user-friendly interface targeting young parents• Redesigned outdated website to improve user experience• Implemented research-based solutions for preschool education sectorHOME for GUEST Web Application• Designed complete user interface for accommodation exchange platform• Created intuitive navigation system for host-guest interactions• Developed user-friendly payment integration interface• Implemented features for work exchange and pet-sitting functionalitiesCORE COMPETENCIES• User Interface Design• Website Redesign• User Research• Competitor Analysis• Information Architecture• Visual Design• User Testing• Responsive Design"
21,"GRAPHIC & UI/UX DESIGNERPROFESSIONAL SUMMARYResults-driven UI/UX and graphic designer with experience in website design, logo creation, and digital product development. Proficient in creating user-centered designs through research, personas, and moodboards. Strong expertise in industry-standard design tools.TECHNICAL SKILLS• Design Software: Figma, Adobe Illustrator, Adobe Photoshop• Skills: Logo Design, Website Design, Smart Animate, User Research, Persona Creation, MoodboardsPROJECT EXPERIENCECleanUp | Team Leader• Led team project developing a web platform for cleaning services• Executed full-cycle design from analysis to adaptation• Created user interface designs and implemented complete linking functionality• Utilized Figma, Adobe Illustrator, and Adobe PhotoshopCustom Concepts | Website Redesign Project• Redesigned existing tattoo studio website to enhance user experience• Implemented color scheme improvements and typography updates• Enhanced functionality of FAQ section• Integrated CTA button identity and improved visual spacingAnabioZ | Brand Guidelines Project• Developed comprehensive brand guidelines for men's gift shop• Created logo design and established usage guidelines• Designed applications across various devices and signage• Executed project using Adobe Illustrator and Adobe PhotoshopPROFESSIONAL ATTRIBUTES• Committed to meeting deadlines and delivering results• Strong focus on continuous learning and skill development• Collaborative team player with effective communication skills"
22,"JUNIOR UI/UX DESIGNERPROFESSIONAL SUMMARYDetail-oriented UI/UX Designer with six months of hands-on experience in creating user-centered digital solutions. Skilled in prototyping, web design, and interface development with a strong foundation in UX research and design principles.TECHNICAL SKILLSDesign Tools: Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, CanvaDesign Skills: Wireframing, Prototyping, Information Architecture, Design Systems, UI-Kit DevelopmentUX Fundamentals: User Research, User Flow Mapping, MVP Development, Customer Journey Mapping (CJM)Additional Skills: Adaptive Design, AnalysisPROJECT EXPERIENCEApartEase - Rental Apartment Web Service• Designed user-friendly platform connecting travelers with apartment owners• Developed comprehensive UI-Kit and wireframes• Implemented adaptive design principles• Created user flows and customer journey maps• Conducted UX research and analysis• Delivered MVP aligned with project objectivesCORE COMPETENCIES• User Experience Research• Interface Design• Prototype Development• Web Design• Mobile App Design FundamentalsPROFESSIONAL ATTRIBUTES• Strong attention to detail• Creative problem-solving• Critical thinking• Effective communication• Empathetic approach to user needs• Natural curiosity for learningEDUCATIONGoIT - UI/UX Design Training ProgramCAREER OBJECTIVESeeking to join a progressive team to create innovative, market-leading digital products while further developing expertise in UI/UX design."
23,"JANE DOEUI/UX DesignerPROFESSIONAL SUMMARYDetail-oriented Junior UI/UX Designer with hands-on experience in website and mobile application design. Skilled in creating user-centered interfaces with focus on accessibility and responsive design. Proficient in full-cycle design processes including user research, wireframing, and final implementation.TECHNICAL SKILLS• UI/UX Design• Wireframing• User Research• Competitor Analysis• Responsive Design• Typography• Color Theory• Mobile Design• Website DesignPROJECT EXPERIENCEIndian Restaurant Website Redesign• Led complete redesign of legacy website focusing on mobile responsiveness• Conducted usability analysis and implemented user-centric solutions• Improved customer acquisition through enhanced interface design• Delivered fully responsive, modern website designTurnabout Travel Booking Platform• Collaborated in team environment to develop housing rental web service• Conducted comprehensive competitor analysis• Created detailed user personas and wireframes• Developed final design implementation for platform interfaceRest Book Mobile Application• Designed mobile application for restaurant table booking• Performed competitor research and market analysis• Developed user personas and wireframe prototypes• Created intuitive interface design optimized for mobile usersADDITIONAL PROJECTBarbershop Landing Page (Kyiv)• Designed responsive landing page focusing on user engagement and conversionEDUCATION"
24,"JUNIOR UI/UX DESIGNERSUMMARYDetail-oriented UI/UX Designer with 3+ years of IT industry experience as a recruiter, leveraging deep understanding of SDLC and IT business processes. Passionate about creating intuitive user experiences and implementing modern design principles.SKILLS• Design Tools: Figma• Technologies: Basic CSS/HTML• Knowledge: UI/UX Design, Design Theory, SDLC• Industry: IT Business ProcessesDESIGN PROJECTSMobile Application for Djinni Platform• Designed complete user interface and experience for recruitment platform• Created responsive mobile-first design• Implemented modern UI patterns and best practicesBill-Split Mobile Application• Developed user-friendly interface for expense sharing application• Designed intuitive user flows and interactions• Created cohesive visual design systemPROFESSIONAL EXPERIENCEIT Recruiter | 3+ years• Gained comprehensive understanding of software development lifecycle• Developed deep knowledge of IT industry processes and requirements• Collaborated with technical teams and stakeholdersEDUCATION & TRAINING• Course: ""From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more""• Individual mentorship under Senior UI/UX Designer• 4 months intensive UI/UX design trainingCURRENT STATUS• Actively developing new design projects• Seeking first commercial role as UI/UX Designer• Available for long-term collaboration"
25,"PROFESSIONAL SUMMARYVersatile designer with 20+ years of interior design experience transitioning to UI/UX design. Skilled in creating user-centered digital experiences and collaborating with clients to deliver successful web solutions. Demonstrated ability to increase client sales through intuitive website design.PROFESSIONAL EXPERIENCEUI/UX Designer (Freelance) | 2022-Present- Designed and launched e-commerce website for Ukrainian women's clothing brand- Managed full project lifecycle including domain setup, hosting, and payment system integration- Increased client sales through implementing user-friendly interface design- Conducted user research and created sitemaps, user flows, and wireframes- Developed UI components and design systems using auto-layoutInterior & Furniture Designer | 2003-2022- Successfully completed multiple interior and furniture design projects- Managed client relationships and project deliverablesTECHNICAL SKILLS- Design: Figma, Adobe Photoshop, Adobe Illustrator, Webflow- Web Development: HTML, CSS- UI/UX: Wireframing, Prototyping, UIKIT, Component Design- Design Principles: Typography, Color Theory, Visual HierarchyEDUCATIONUI/UX Design Certificate - Alpaca Tech & Digital School"
