id,GPT4o-mini
10," Created Intuitive Wireframes  Developed high-fidelity wireframes for projects.Developed Interactive Prototypes  Designed interactive prototypes using Figma.Adapted to Responsive Design  Successfully translated desktop interfaces into responsive designs for various screen sizes.Created User Flows  Mapped out user flows, identifying pain points and opportunities for enhancing user journeys.Demonstrated Quick Learning  Rapidly picked up new design tools and techniques.Open to Feedback  Actively sought feedback from senior designers and colleagues, showing a willingness to learn from constructive criticism and improve designs.Creative Design Approach  From mobile app interfaces to landing pages and user-friendly web services, I create intuitive designs. My approach includes market research to align designs with user preferences. I optimize user journeys through high-fidelity wireframes and prototyping for efficient iterations. Leveraging experience in advertising and client collaboration, I incorporate powerful visual stories into designs while effectively collaborating within a team.Project Experience  ‘PAW Tracker’ Website Design  Designed a user-friendly website to help users quickly find lost pets in a specific area using filters, applying empathy-driven design principles to create a sensitive and supportive interface.‘TableTap’ Mobile App Design  Developed a user-friendly platform for easy restaurant table selection and booking, achieved through user research, intuitive design, and collaboration to enhance the dining experience.Work Experience  Agro-Industrial Group ‘Pan Kurchak’  Aug. 2021 - Present  Advertising Manager  - Social Media Management  - Managing websites  - Writing product requirements documents for graphic and web designersAdvertising Agency ‘Ruden Agency’  Oct. 2020 - Sep. 2021  Social Media Manager  - Creating content plans  - Writing and scheduling posts  - Designing illustrations for social media  Objective  Seeking a full-time position at a company dedicated to simplifying and enhancing people's daily lives. Quick learner, reliable, and prepared for challenging tasks."
11,"           ---Professional ExperienceDepartment Director        - Rapidly promoted to department director within less than a year of employment.ProjectsFurry Finder  - Developed a web service for finding lost pets, allowing users to post ads for lost or found animals and connect with one another.  - Contributed to the project as part of a team during a training program.Redesign of Skandi Restaurant Website  - Improved user experience by redesigning the website to enhance readability and optimize font selections.  - Simplified the menu structure and introduced a feedback feature in the ""Reviews"" section, allowing users to provide input.Getshop App  - Led the full cycle design of a mobile application aimed at helping users select gifts with delivery options.  - Focused on creating an easy-to-use interface with integrated in-app payments as part of a course project.---Education          Skills  - Web Development  - User Experience Design  - Mobile Application Design  - Team Collaboration  - Project Management  "
12,"             ---Professional Summary  Dedicated and innovative designer with expertise in web and mobile application design. Proven ability to create user-centered designs, conduct market research, and collaborate effectively with clients. Committed to producing high-quality design solutions that enhance user experience and drive business success.---Education  Web Design Course, PROJECTOR Institute  Mobile Application Design Course, PROJECTOR Institute  ---Professional Experience  GBS IT, StartUp  Designer  October 2022 - Present  - Developed and implemented design solutions for desktop and browser versions of an application based on CRM system principles.  - Conducted market and competitor research to inform design decisions.  - Collaborated closely with clients and developers to ensure alignment throughout the design process.  - Created over 40 design solutions for tables, integrating them into the application in both 2D and 3D formats.  - Designed and animated transitions and active actions within the application, enhancing user interaction.  Upwork, Freelance  Designer  May 2022 - Present  - Designed a landing page for a startup specializing in orthopedic pillows, optimizing for both desktop and mobile devices.  - Conducted comprehensive market research for the mobile application ""Sommelier,"" creating a design that includes a beverage database, store, and event poster.  - Analyzed and researched the competitor application, Paired, generating actionable ideas for improvements and redesigning its web page.  - Proposed two conceptual changes to the payment screen, outlining expected outcomes and developing solution designs.  - Led a team of 12 employees, focusing on analytics, market research, and leveraging sales data to enhance performance.---Skills  - Web Design  - Mobile Application Design  - Market Analysis  - User Interface (UI) Design  - User Experience (UX) Design  - Animation and Transitions  - Team Leadership  - Client Collaboration  ---Goals  Eager to expand knowledge, acquire new skills, and contribute effectively as a valuable team member.  --- References available upon request."
13,"             Professional Summary  Detail-oriented web designer with a strong focus on UX/UI principles and a proven track record of creating effective and aesthetically pleasing web interfaces. Proficient in design tools and responsive web design, with experience collaborating in team projects to enhance user experiences.Skills  - Interface Development  - UX/UI Design  - Design Tool Proficiency (Adobe XD, Figma, Sketch)  - Responsive Web Design  - Colour Harmony and Typography  - Prototyping and User Testing  - Team Collaboration  Projects  Gifts&Fleurs  Designed a flower and gift delivery app, focusing on user scheduling for upcoming birthdays. Conducted competitor analysis and identified the target audience's needs. Developed a unique layout including onboarding, home page, catalogue, favourites, cart, and user profile, utilizing a soothing pastel colour palette and legible font for diverse phone dimensions.Mr.Cleaner  Collaborated in a team of three to create a user-friendly design for a cleaning service. Conducted competitor research and target audience analysis. Developed user flow diagrams and designed the main page layout, ensuring adaptability for various devices, culminating in a modern design that meets user needs.A Kids Place Childcare  Redesigned the website of a kindergarten, producing wireframes for selected pages. Created a visually appealing UI, re-linked design elements, and developed a clickable CTA. Designed a UI Kit and adapted the site for tablet and mobile use, incorporating bright, playful colours and a friendly interface to enhance navigation.  Education        "
14,"             Objective  I am a beginner UI/UX designer, open to cooperation and seeking opportunities to contribute my skills in creating aesthetically pleasing and functional web designs.Projects  1. Matcha Tea | Website     - Conducted competitor analysis to inform design decisions.   - Developed wireframes and final design.   - Created a UI-kit and adapted designs for different platforms.  2. HealthyLife | Web Service (Team Project)     - Collaborated on the design of a web service aimed at connecting users with healthcare professionals.   - Contributed to competitor analysis, wireframing, design, and prototyping.  3. FloverLover | Landing Page     - Designed a landing page for a flower delivery service focused on customer acquisition.   - Completed competitor analysis and created a moodboard, as well as the overall design.   - Incorporated features for delivery terms, catalog, pricing, and customer reviews.  4. Tattoo Studio | Landing Page     - Developed a modern landing page for a tattoo studio.   - Focused on color combinations and design elements that reflect the unique atmosphere of the tattoo experience.Skills  - UI/UX Design  - Wireframing  - Prototyping  - Competitor Analysis  - Team Collaboration  - Aesthetic Web Design  I am eager to bring creativity and analysis to deliver convenient and beautiful website designs that meet user needs."
15," Graphic DesignerEtere  Graphic Designer  November 2022 – May 2023  - Developed printed materials including booklets, business cards, and flyers for promotions and exhibitions.  - Created infographics, presentations, icons, logos, and web banners for the company website and social media.  - Designed advertisements for online and print magazines.  - Developed stand designs for exhibitions, including the NAB Show 2023.  - Completely updated the website banner and created infographics for all company products.  Online Store ""Profline""  Graphic Designer  May 2021 – February 2022  - Established corporate style and redesigned the existing logo.  - Designed banners for social media and landing pages using Figma.  - Conducted UX research including target audience analysis, needs assessment, surveys, UserFlow, UserMap creation, and various infographics.  - Designed business cards and flyers, and added approximately 1,000 new product photos.  - Produced and edited videos, as well as created animations for banners and websites.  - Increased the number of clicks on banners by 25% and improved landing page conversion by 20%.  - Contributed to increased repeat orders through the implementation of a loyalty program.  "
16," Graphic Designer • Freelance  Mar 2017 - Oct 2019  - Designed logos for various brands, including a logo for a children's swimming club.  - Developed sticker packs for printing and digital usage in messaging platforms (Telegram).  AR Mask Creator • Freelance  Aug 2019 - May 2020  - Created AR masks for companies and bloggers for Instagram, including both animated masks and masks with 3D objects.  UI/UX Designer • Freelance  Aug 2021 - Present  - Focused on aligning business interests with user-friendly interface design.  - Redesigned existing products and created product designs from scratch.  - Established the foundation and components of the Design System, including patterns, colors, typography, and iconography.  - Conducted market and target audience research, along with website usability analysis.  - Developed strategies for usability improvement and increasing conversion rates.  - Analyzed existing interfaces on the market.  - Engaged in layout prototyping, UX writing, visual interface design, animation, and micro-interaction design."
17,"             ---Objective  Dedicated UI/UX and graphic designer with 1 year of experience in UI/UX design and over 4 years of experience in graphic design, seeking to leverage my skills to create user-centric and visually appealing products.---Experience  UI/UX Designer     – Present  - Developed interfaces from scratch using Figma.- Created user personas, customer journey maps (CJM), and user flows based on in-depth interviews and research.- Designed wireframes and interactive prototypes.- Applied knowledge of Material Design and iOS Human Interface Guidelines.- Created adaptive versions of websites to ensure optimal user experience across devices.- Developed 2D animations using Adobe After Effects.Graphic Designer      - Designed visual content for various advertising campaigns and projects.  - Collaborated with clients to understand their needs and deliver tailored design solutions.  ---Projects  - Mobile App for Video Consultation with Doctors 24/7    Role: UI/UX Designer  - Landing Page for Online Driving School    Role: UI/UX Designer  - Adaptive Website for Home Quest Boxes    Role: UI/UX Designer  ---Education   in Advertising      ---Skills  - Proficient in Figma  - User research and persona development  - Wireframing and prototyping  - Knowledge of Material Design and iOS Human Interface Guidelines  - Website adaptation for multiple devices  - 2D animation in Adobe After Effects  ---I am eager to enhance my skills and contribute to innovative projects with a friendly and collaborative team."
18,"             ---Objective  Responsible and creative UI/UX designer seeking a Junior UI/UX Designer position in a company that values great corporate ethics and healthy working relationships, with opportunities for remote work.---Skills  - UI/UX Design: Full cycle design from analysis to implementation  - Proficient in designing landing pages, websites, and mobile applications  - Competitor analysis and wireframing  - User-centered design principles  - Strong organizational and team leadership skills  ---Project Experience  Redesign for Mainsail Realty Company  - Led the redesign of the real estate company's website to enhance functionality and visual appeal, resulting in improved user engagement and lead generation.  - Conducted competitor analysis and created wireframes.  - Developed a modern, responsive website with a clean and professional design that reflects the company's brand and values.  - Ensured logical content organization and intuitive navigation.Landing Page for Flower Delivery ""Flower Lover""  - Designed a landing page to promote a bouquet delivery service.  - Conducted competitor analysis and created moodboard and wireframe for the project.  - Implemented the final design effectively for marketing purposes.  Web Service for Cleaning Services  - Acted as Team Lead in a project to develop a web service for hiring cleaning staff.  - Conducted competitor research and facilitated team brainstorming sessions.  - Developed user personas, user flow diagrams, and customer journey maps (CJM).  - Created wireframes and an excellent design to deliver a successful final product.  ---Education        ---References  Available upon request.  "
19,"             Professional Summary  Creative UX/UI Designer with experience in designing user-friendly websites and applications. Proficient in Figma, Adobe Illustrator, Prototyping, and Adobe Photoshop. Skilled in mobile, web, responsive design, and logo design. Detail-oriented with a strong ability to create visually appealing designs. Open to feedback and committed to continuous learning.Projects  Tattoo Salon Website Redesign  - Addressed issues of customer traffic by analyzing competitor sites and understanding design hierarchies.  - Improved user experience by implementing a clearer site structure and more appealing visual elements.  Web Service for Lost Pets  - Developed an innovative web service aimed at assisting pet owners in locating lost animals quickly.  - Integrated features for users to filter search results based on various criteria, including type, breed, and color of animals.  - Enabled a match-finding function that pairs lost and found animals within a specified search radius based on species and breed.  Restaurant Table Booking Application  - Created a graphical application enabling users to reserve tables at restaurants with an interactive layout.  - Included functionalities for selecting seating preferences, guest count, and restaurant zones.  - Added various services for an enhanced user experience, including special requests and payment options.  Education  - Comprehensive knowledge of diverse learning approaches to enhance the educational experience in chemistry and other subjects.  - Experience in setting and achieving goals, focused on optimizing solutions in a collaborative team environment.  Skills  - Figma  - Adobe Illustrator  - Prototyping  - Adobe Photoshop  - User-centered Design  - Responsive Design  - Logo Design  - Team Collaboration  "
20," Oksana  Junior UI/UX Designer      Summary  Enthusiastic Junior UI/UX Designer with practical knowledge in UI/UX design for web and mobile applications. Committed to creating visually appealing and user-friendly designs, ensuring intuitive navigation and clear site structure.Skills  - UI/UX Design for Web and Mobile Applications  - User-Centered Design  - Navigation Systems and User Interface Development  - Logo Creation, Animation, and Banner Design  - User Behavior Analysis and Site Improvement  Professional Experience  Go-IT Company  UI/UX Design Course  Successfully completed a 6-month course focused on practical application in UI/UX design, including web and mobile design projects.  Projects  Kindergarten Website Redesign  - Redesigned a kindergarten’s website to enhance user experience and modernize its appearance.  - Conducted research and analysis of competitors to incorporate successful design solutions.  - Developed a visually appealing design aimed at attracting young parents and addressing preschool education needs.  Home for Guest App  - Designed a user-friendly web service for a unique accommodation and hospitality experience.  - Created an easy-to-use website to facilitate the connection between hosts and guests while maintaining an appealing visual design.  Objective  Seeking a company that values professional growth and offers opportunities to further develop my skills in UI/UX design."
21,"           Objective  Motivated graphic and UI/UX designer with a passion for creating engaging visual experiences. Eager to contribute skills in design and project management while continuously learning and growing in the field.Skills  - Graphic Design  - UI/UX Design  - Logo Design  - Web Design  - Redesign  - User Research  - Persona Development  - Moodboards  - Figma Smart Animate  - Proficient in Figma, Adobe Illustrator, and Adobe Photoshop  Experience  Team Leader, Project CleanUp  - Led a group project aimed at developing a web resource for cleaning services, enabling users to find suitable cleaning professionals easily.  - Managed the full-cycle design process from analysis to adaptation, focusing on user interface creation and comprehensive design planning.  - Ensured complete linkage and navigation throughout the platform using Figma, Adobe Illustrator, and Adobe Photoshop.  Graphic and UI/UX Designer, Custom Concepts  - Designed a redesign for an existing tattoo studio website, enhancing user experience with improved colors, fonts, and a more functional FAQ section.  - Developed effective call-to-action (CTA) button identities and overall visual coherence.  - Utilized Figma, Adobe Illustrator, and Adobe Photoshop for design execution.  Graphic Designer, AnabioZ  - Created branding guidelines for a men's gift shop, starting from logo development to implementation across various media.  - Focused on usability and visibility across different devices and signage.  - Utilized Adobe Illustrator and Adobe Photoshop for design tasks.  Professional Profile  Dedicated to delivering results and completing tasks on time. Excited to collaborate with a team of professionals to enhance skills and contribute to innovative design projects."
22," Junior UI/UX DesignerContact Information:      Professional Summary:Enthusiastic Junior UI/UX Designer with six months of experience in prototyping and web design. Possesses a solid understanding of UI/UX principles and a basic knowledge of mobile app development. Committed to creating appealing and intuitive interfaces that enhance user experience. Eager to take on new challenges and contribute to high-quality product development.Skills:Hard Skills:- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Canva- Experienced in creating wireframes and prototypes- Strong understanding of UX principles- Knowledgeable in Design Systems and UI-Kit- Familiar with information architectureSoft Skills:- Curious and eager to learn- Empathetic towards user needs- Creative problem-solving mindset- Attentive to details- Strong critical thinking abilities- Effective communication skillsExperience:ApartEase  Junior UI/UX Designer   – Present  - Collaborated on a rental apartment web service aimed at providing a user-friendly platform for travelers and apartment owners.  - Conducted UX research to ensure a seamless experience for all users.  - Designed wireframes and prototypes to facilitate the development process.Education:GoIT  UI/UX Design Course    Objective:To join a progressive company where I can utilize my skills to create exceptional products that deliver outstanding user satisfaction and drive business success."
23,"   Junior UI/UX Designer        ---Profile  Eager Junior UI/UX Designer with a foundational understanding of interface design, color theory, and typography. Inspired by new technologies and design trends, committed to continuous learning and professional growth in the UI/UX field. Aspiring to collaborate with a team of experienced professionals to contribute to the creation of practical and innovative interfaces.---Project ExperienceRedesign for an Indian Restaurant  Role: UI/UX Designer  Project Type: Website, Full Cycle Design  - Conducted a comprehensive redesign of an outdated website that was not mobile-adaptive.  - Enhanced usability to meet user expectations, ultimately improving customer acquisition.Turnabout - Travel Booking Web Service  Role: UI/UX Designer  Project Type: Web Service, Full Cycle Design, Teamwork  - Developed a platform for renting housing, either traditionally or for free.  - Conducted competitor analysis, created user personas, developed wireframes, and designed the user interface.Rest Book - Mobile Application  Role: UI/UX Designer  Project Type: Mobile Application, Full Cycle Design, Teamwork  - Designed an application for selecting and booking tables at restaurants.  - Engaged in competitor analysis, user persona creation, wireframing, and final UI design.---Education  Completed Courses in UI/UX Design  ---Skills  - Interface Design  - Color Theory  - Typography  - Wireframing  - User Persona Creation  - Competitor Analysis  - Responsive Design  - Team Collaboration  ---Interests  Passionate about designing websites and mobile applications. Currently focused on UI/UX design projects and open to learning new technologies and design practices."
24,"             Objective  Junior UI/UX designer with a strong background in IT recruitment and over 3 years of experience. Seeking a long-term opportunity to contribute and grow in a dynamic company while enhancing my design skills.Education  - Completed course 'From Zero to Mastery: Web & Mobile Designer' (2022): UI/UX, Figma, and more.   Experience  UI/UX Design Projects  - Designed a mobile application for the Djinni platform.  - Developed a bill-split mobile application.  Prior Experience  - Worked as an IT recruiter for over 3 years, gaining an understanding of the Software Development Life Cycle (SDLC) and IT business processes.  Mentoring  - Received mentorship from a senior UI/UX designer, who guided me in analyzing my work and improving my design skills.  Technical Skills  - UI/UX design principles  - Figma  - Basic knowledge of CSS/HTML  - Design theory  Current Projects  - Actively working on a new pet project while seeking my first commercial project as a UI/UX designer.  Note  - I am not considering cooperation with Russian or Belarusian customers or projects."
25,"             Professional Summary  UI/UX designer with over 1 year of experience, transitioning from a successful 20-year career as a furniture and interior designer. Passionate about creating user-friendly websites and committed to professional growth within a collaborative team environment.Experience  Freelance UI/UX Designer   - Present  - Developed and released a website design for an online shop of a Ukrainian women's clothing brand, which resulted in increased sales.  - Involved in the joint development of the website, managing domain and hosting purchases, and integrating payment systems.  - Engaged in client communication to ensure project alignment with client goals and needs.  Furniture and Interior Designer    - Completed numerous projects in furniture and interior design, enhancing client spaces and satisfaction through innovative design solutions.  - Collaborated with clients to understand their vision and translate it into functional design.  Education  Alpaca - Tech & Digital School    Skills  - Proficient in Figma, Photoshop, and Illustrator  - Knowledgeable in HTML and CSS  - Experience with Webflow  - Competent in target audience research, sitemap creation, user mapping, UIKIT development, component design, autolayout, wireframing, and prototyping  - Strong understanding of design hierarchy, color theory, and typography  Portfolio  Available upon request.  "
