id,GPT-3.5-Turbo
10,"
 Experience in Wireframing, Prototyping, and Responsive Design
- Created intuitive wireframes and high-fidelity prototypes using Figma, ensuring responsive design for various screen sizes.
- Developed user flows to enhance user journeys, identifying pain points and opportunities for improvement.

Quick Learner and Open to Feedback
- Demonstrated ability to quickly adapt to new design tools and techniques.
- Actively sought feedback from senior designers and colleagues to improve designs.

Project Experience
‘PAW Tracker’ Website Design (User-friendly interface to find lost pets)
‘TableTap’ Mobile App Design (Improved restaurant table selection and booking experience)

Work Experience
Agro-Industrial Group ‘Pan Kurchak’ (Advertising Manager)
- Managed SMM and websites, wrote product requirements documents for designers.
Advertising Agency ‘Ruden Agency’ (Social Media Manager)
- Created content plans, scheduled posts, designed social media illustrations.

Seeking Full-Time Position to Simplify Daily Lives
- Skilled in creating intuitive designs through user research and collaboration.
- Prepared for tasks that require effort, committed to efficiency and simplicity in design.
"
11,"
 Director of Department at Previous Job

- Promoted to department director less than a year after starting
- Led team in developing Furry Finder web service for finding lost pets
- Collaborated with team members on all aspects of project development
- Redesigned Skandi restaurant website during studies to improve user experience
- Worked on Getshop App, a mobile application for selecting gifts with in-app payments
- Managed full cycle design process for Getshop App during training
"
12,"
 I have completed a Web design course and a Mobile application design course in PROJECTOR Institute.

GBS IT, StartUp - Oct 2022 - now

- Created design solutions for desktop and browser versions of the application based on CRM system principles
- Conducted market and competitor research
- Collaborated with customers (owner) and developers
- Developed full design from mockups to finished solution
- Created 40+ design solutions for tables in 2D and 3D formats
- Animated transitions and actions within the application

Upwork, Freelance working - May 2022 - now

- Developed landing page designs for PC and smartphone for a startup company producing orthopedic pillows
- Modeled and created a mobile application design for Sommelier, including a database of alcoholic beverages, a store, and event posters
- Analyzed and proposed improvements for the Paired mobile application
- Led a team of 12 employees in analytics, market research, and sales statistics analysis to improve and increase sales
- Seeking to expand knowledge and become a successful team member.
"
13,"
 Experience:
- Developed an effective interface during a web design course, applying best practices to ensure user interaction on websites.
- Deep understanding of UX/UI, creating intuitive and aesthetically pleasing web designs that cater to user needs.
- Proficient in using design tools such as Adobe XD, Figma, and Sketch to create accurate prototypes and mockups.
- Skilled in responsive design, developing designs that optimize display on various devices through media querying and flexible layout techniques.
- Experienced in selecting colour palettes and typography to enhance website aesthetics and readability.
- Implemented prototyping and testing processes, analysing results to improve user experience.
- Collaborated effectively in team projects, listening to others' ideas and sharing constructive suggestions.

Projects:
1. Gifts&Fleurs: Conducted competitor analysis, identified future user interests, defined target audience needs, and developed a unique layout for a flower and gift delivery app.
2. Mr.Cleaner: Collaborated in a team to develop a user-friendly design for a cleaning company, analyzing competitors, selecting references, and creating user flow diagrams.
3. A Kids Place Childcare: Redesigned the website for a kindergarten, creating wireframes, UI designs, clickable CTAs, and adapting the site for tablets and mobile devices.
"
14,"
 I have 4 projects on which I worked, both alone and in teamwork. Achievements in communication with the team, and active participation in completed tasks. 
Completed projects:
1) Matcha Tea | Website
Created with a focus on being interesting yet simple. Project stages included competitor analysis, wireframing, design, UI-kit development, and adaptation.
2) HealthyLife | Web service (team project)
Designer for HealthyLife, a web service connecting users with doctors. Responsibilities included competitor analysis, wireframing, design, and prototyping.
3) FloverLover | Landing Page
Designed landing page for flower delivery service to attract customers. Tasks included competitor analysis, moodboard creation, and design.
4) Tattoo Studio | Landing Page
Designed modern landing page for a tattoo studio focusing on aesthetics and atmosphere. 
Looking forward to opportunities for interesting work, earnings, and helping people with website designs and competitor analysis.
"
15,"
 Graphic Designer

""Etere"" from 11.2022 to 05.2023
- Developed printed products (booklets, business cards, flyers, etc.) for promotions and exhibitions
- Created infographics, presentations, icons, logos, and web banners for company website and social media banners
- Designed advertisements for online and printed magazines
- Created exhibition stands

Graphic Designer

Online store ""Profline"" from 05.2021 to 02.2022
- Created corporate style and redesigned existing logo
- Designed banners for social media
- Developed landing page design in Figma
- Conducted UX research including analysis of target audience, surveys, UserFlow, UserMap, and infographics
- Designed business cards, flyers, product photography, video editing, and animations for banners and websites

Achievements:
- Completely updated the banner for company's website at ""Etere""
- Made stand design for NAB show 2023 and other exhibitions at ""Etere""
- Increased number of clicks on banners by 25% at ""Profline""
- Achieved a 20% increase in landing page conversion at ""Profline""
- Added about 1,000 new product photos at ""Profline""
- Increased share of repeat orders by adding a loyalty program at ""Profline""
"
16,"
 Graphic Designer • Freelance
Mar 2017- Oct 2019
Designed logos for brands, including a logo for a children's swimming club. Developed sticker packs for printing and digital usage in messengers.

AR Mask Creator • Freelance
Aug 2019- May 2020
Created AR masks for companies and bloggers for Instagram, including animated masks and masks with 3D objects.

UI/UX Designer • Freelance
Aug 2021- Present
Redesigned existing products and created product design from scratch. Responsibilities included:
- Creating the foundation and components of the Design System
- Market and target audience research, website usability analysis
- Creating strategies for usability improvement and conversion increase
- Analysis of existing interface on site market
- Layout prototyping, UX-writing, visual interface, animation, and micro-interaction design.
"
17,"
 Experience:

UI/UX Designer
Graphic Designer

Responsibilities:
- Developed interfaces from scratch using Figma
- Created User Personas, CJM, User Flow based on in-depth interviews and research
- Designed wireframes and prototypes
- Knowledge of Material design, iOS Human interface guidelines
- Created adaptive versions of websites
- Created 2D animations in Adobe After Effects

Projects:
- Mobile App for video consultation with doctors 24/7
- Landing page for online driving school
- Adaptive website for home quest boxes

Looking to continue improving skills and creating new products in a collaborative team environment.
"
18,"
 UI/UX Designer Resume

Project Experience

Redesign for Mainsail Realty Company
- Conducted competitor analysis and created wireframe for website redesign
- Designed a modern, responsive website reflecting company brand and values

Landing Page for Flower Delivery ""Flower Lover""
- Created a landing page for new bouquet delivery service
- Developed design following competitor analysis and moodboard creation

Web Service for Cleaning Services
- Led team in creating web service for hiring cleaning company employees
- Conducted competitor research, user persona development, and wireframe design

Skills
- Full cycle design from analysis to implementation
- Responsible and creative with a focus on user-friendly projects
"
19,"
 UX/UI Designer
- Created 6 projects, two of them in a team setting
- Proficient in Figma, Adobe Illustrator, Protorype, Adobe Photoshop
- Specialize in mobile, web, responsive design, and logo design
- Passionate about creating visually stunning and user-friendly websites
- Detail-oriented with a positive attitude towards criticism and a willingness to learn

Project Highlights:
1. Tattoo salon website redesign:
   - Conducted competitor analysis to improve customer traffic and user experience

2. Web service for finding lost pets:
   - Developed a service to help owners find lost animals faster
   - Implemented filtering and matching features based on different criteria

3. Restaurant table booking application:
   - Designed a graphical application for reserving tables in restaurants
   - Added features such as choosing seating preferences, additional services, and payment options

Chemistry Education:
- Experienced in creating effective learning experiences for chemistry programs
- Skilled in setting and achieving goals, optimizing solutions, and collaborating in a team environment
"
20,"
 Oksana

Junior UI/UX Designer

Skills:
- UI/UX design for web and mobile applications
- Creating simple and clear site structures with convenient navigation systems and intuitive interfaces
- Selecting fonts, backgrounds, icons, drawing logos, animations, and banners
- Analyzing user behavior on sites to identify and address areas for improvement
- Website redesign and improvement

Experience:
- Kindergarten website redesign: Conducted research and analysis to create a modern, user-friendly design for a kindergarten website.
- HOME for GUEST app: Developed a user-friendly website for a web service focused on changing environments for work and rest.

Education:
- Completed 6-month courses at Go-IT company, gaining practical knowledge in UI/UX design for web and mobile applications.

Objective:
Seeking a company where I can continue to grow professionally.
"
21,"
 Team Leader, Project CleanUp
Graphic and UI/UX Designer
- Designed logos and websites, worked on redesign, research, personas, moodboards, adaptation, and Figma Smart Animate
- Proficient in Figma, Adobe Illustrator, and Adobe Photoshop
- Custom concept project: Redesigned tattoo studio website with changes in colors, fonts, CTA button identity, ""air"", and FAQ section using Figma, Adobe Illustrator, and Adobe Photoshop
- CleanUp project: Created a web resource for cleaning services from analysis to adaptation, including user interface design and full linking using Figma, Adobe Illustrator, and Adobe Photoshop
- AnabioZ project: Developed a guideline for a men's gift shop from creating a logo to usage on various devices and signs using Adobe Illustrator and Adobe Photoshop
- Seeking to join a company with a team of professionals to learn and showcase skills, with a focus on results and timely task completion.
"
22,"
 My experience includes prototyping, web design, and a solid understanding of UI/UX principles. I'm confident in my ability to create appealing and intuitive interfaces that deliver an excellent user experience. I also have a basic knowledge of mobile app development and aim to further enhance my skills in this area.

I aim to create user experiences that not only meet but exceed your expectations, ensuring your project's success and user satisfaction. Together, we can achieve remarkable outcomes and propel your business to new heights.

Hard skills:
- Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Canva
- Wireframes, prototypes
- Understanding of UX principles
- Design Systems, UI-Kit 
- Information architecture

Soft skills:
- Curiosity
- Empathy
- Creative
- Attentive to details
- Critical thinking
- Communication skills

ApartEase

Our objective with this rental apartment web service was to create a user-friendly and convenient platform that connects travelers and apartment owners, providing a seamless experience for both parties.
"
23,"
 Hello, I am a Junior UI/UX designer with a passion for creating effective and high-quality user experiences. I have recently completed courses in UI/UX design, where I learned the basics of interface design, color theory, typography, and other important aspects of the field. 

Project Experience:
- Redesign for an Indian restaurant: Website redesign focusing on mobile adaptability and improved user experience.
- Turnabout- Travel Booking Web-Service: Full cycle design of a platform for renting housing, including competitor analysis, personas creation, wireframes, and final design.
- Rest Book - Mobile Application: Full cycle design of a mobile application for choosing and booking tables in a restaurant, including competitor analysis, personas creation, wireframes, and designs.

I am a creative individual who enjoys designing websites and mobile applications, and I am dedicated to continuously learning and adapting to new technologies in the field of UI/UX design.
"
24,"
 - Completed course 'From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more'.
- Completed two pet-projects: a mobile application for Djinni platform; a bill-split mobile application.
- Junior UI/UX designer with 3+ years of experience in IT as a recruiter.
- Solid understanding of SDLC and IT-business processes.
- Spent 4 months learning UI/UX, Figma, design theory, and partially CSS/HTML.
- Mentored by a senior UI/UX designer to analyze mistakes and enhance learning process.
- Designed two pet projects: a mobile application for Djinni platform and a bill-split mobile application.
- Currently working on new pet-project and seeking first commercial project as a UI/UX designer.
- Seeking long-term cooperation for professional growth and experience.
"
25,"
 I am a UI/UX designer with 1 year or more of experience. I have experience in client communication and have been a furniture and interior designer for 20 years. Recently, I decided to shift my focus in design after the start of the war in Ukraine. I graduated from ""Alpaca - Tech & Digital School"" and am currently working as a freelancer with working projects of Ukrainian brands. I am proficient in Figma, Photoshop, and Illustrator, and have taken a course in Webflow with an understanding of HTML and CSS. My skills include target audience research, sitemap creation, user mapping, UIKIT, component design, autolayout, wireframing, prototyping, knowledge of hierarchy, color theory, and typography.
"
26,"
 Hello! I am a self-motivated designer with experience in UI/UX design. I completed web designer courses at KAMA and participated in design marathons from IT schools.

I have freelancing experience, including creating a landing page for the Employment Abroad agency. Responsibilities included creating briefs, terms of reference, prototypes, and interface designs.

Skills include:
- Creating landing pages
- Adaptive design for mobile and web interfaces
- Basic animation in Figma
- Prototyping
- UI kit development

I also have 4 years of experience as a graphic designer. In my most recent position, I was responsible for:
- Graphic support for social media content
- Creating creatives for targeting
- Design and prepress preparation of print materials following brand guidelines
- Concept development and layout of catalogs
- Photo retouching
- Website redesign, creating adaptive banners, icons, and selecting content

Software Skills:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Tilda
"
27,"
 Work Experience:

UI/UX Designer
- Experience in advertising and printing products
- Manage full-scale advertising projects
- Continuous improvement of skills in UI/UX design

Team Leader
- Led project ""Webservice"" in creating a medical web service
- Led several website redesign projects
- Created product platform designs

Project Experience:

Redesign of Sports Bar Website
- Redesigned outdated and difficult to use website
- Updated visual design and added features for booking tables
- Fully adapted for tablets and mobile phones

Webservice for Medical Appointments
- Designed user interface for patients and doctors
- Developed online consultation interface
- Adapted for tablets and mobile phones

Looking forward to new opportunities, interesting projects, and working with a friendly team.
"
28,"
 Experience:

- Designed a presentation for Mikhail Fedorov, the Minister of Digital Transformation of Ukraine, for promoting digital transformation to mayors of Ukraine's large cities.

Skills:
- Proficient in Figma (auto-layout, components, variants, styles, plugins, animation, prototyping).
- Proficient in WebFlow (CMS, responsive design, animations, publishing, integrations).
- Experience in creating UI kits and working with design systems.
- Strong visual skills validated by previous manager and Projector mentor.
- Proficient in stakeholder and user interviews.
- Experience in user testing.
- Basic knowledge of HTML/CSS and Bootstrap.
- Detail-oriented with strong ideation skills.

Domain experience:
- UI design for clothing shop (web and mobile app), dentistry, public transport app, electronic document management system.
- UX and UI design for pizza delivery, recruitment & job board sites.

Seeking a Junior UI/UX Designer position in a collaborative team with a mentor to support professional growth and skill development.
"
29,"
 Hello. I'm a junior UI/UX designer with a background in theory and experience in the pharmaceutical field, allowing me to create user-centered designs. I have completed 5 projects as part of a training course, including creating a mobile application, landing page, dashboard, web service, and website redesign. My responsibilities included analyzing competitor sites, conducting user surveys, and creating User Flow and CJM.

Skills:
- Proficient in Figma and Adobe Photoshop
- Experienced in designing landings, websites, and mobile apps
- Strong core technical skills
- Excellent team-player and problem-solver
- Energetic, great communicator, and organized
- Quick and responsible learner, passionate about creating intuitive user interfaces

Projects Experience:
1. PetDetective – Webservice
2. Cucina di Catharina – Website redesign
3. Mobile app PresentPerfect
4. Dashboard for IT school
5. Landing page Timeless Home

Looking for internship or job opportunities.
"
30,"
 Projects Experience

- PetDetective – Webservice
Platform designed to assist owners of lost animals in locating them faster, as well as offering volunteering opportunities. Conducted competitor analysis, user interviews, and implemented necessary functionalities for user convenience. Provided valuable information on animals and steps to take when finding a lost pet.

- Cucina di Catharina – Website redesign
Revamped the website for a homemade traditional Italian gravy, focusing on information restructuring, new high-quality visuals, content reduction, and the addition of a CTA button with accent colors.

- Mobile app PresentPerfect
Developed a mobile app for personalized gift sending with Material Design System. Conducted competitor analysis, user interviews, and created user personas and flows. The app includes over 40 screens with detailed animations.

- Dashboard for IT school
Created a dashboard for an IT school to display key metrics for students and teachers.

- Landing page Timeless Home
Designed a welcoming landing page for a watch company to engage visitors and encourage purchases or desired actions with an intuitive interface and structured layout.

Skills:
- Proficient in Figma and Adobe Photoshop
- Experienced in designing landings, websites, and mobile apps
- Strong core technical skills
- Team-player and Problem-solver
- Energetic, great communicator, and organized
- Quick and responsible learner
- Passion for creating helpful and intuitive user interfaces that enhance user experience

Open to internship or job opportunities.
"
31,"
 - Management professional with 4 years of experience leading teams of 10-25 employees in the cruise industry as Head of Department, focusing on reaching financial targets, training and development of new employees, business communication with clients, and management.
- Successfully drove financial and employee satisfaction results of the Photo operation onboard Royal Caribbean and Celebrity Cruises ships.
- Adjusted marketing strategies to meet current business needs and ensured smooth acclimatization of new staff members.
- Oversaw team activities, work schedules, and employee satisfaction, leading teams of 10 to 13 employees.
- Managed customer service issues at the Photo Gallery to ensure guest satisfaction.
- Proven ability to professionally communicate with ship’s officers, department heads, and shore side management to earn trust and confidence.
- 3 months of internship experience in an IT company specializing in Shopify web development.
"
32,"
 Experience:

- Project management experience on a start-up creating a smart weather station for paragliders, involving communication with stakeholders, market analysis, meeting organization, and project documentation creation.

- Member of international organization AIESEC, responsible for organizing events and projects and collaborating with individuals from various countries.

Skills:

- Proficient in project management, coding, and various technologies.

Objective:

- Seeking a challenging and engaging opportunity for personal and professional growth, prioritizing development over monetary compensation.
"
33,"
 - Bachelor's and master's degree in graphic/web design (Technology of electronic multimedia publications) from Kharkiv National Economic University named after S. Kuznets
- Over 4 years of design experience
- Created and redesigned corporate identities
- Drafted design briefs and technical specifications from customers
- Managed projects from start to finish
- Participated in city competitions to create a logo for the Department of Family, Youth and Sports
- Experienced in layout preparation for printing, processing illustrative material, and placing materials on newspaper pages
- Content manager at COZI.UA, responsible for organizing photo shoots, creating photo/video content, and writing client communication scripts
- Web and graphic designer at LOGOVO, involved in developing corporate identities, printed products, WordPress sites, printing file preparation, and banner design for advertising
- Skilled in planning, communication, problem-solving, and understanding people
- Proficient in css/html and experienced in using markup language
"
34,"
 Trainee/Junior Project Manager with 1 year of experience managing end-to-end delivery of commercial projects using Agile practices (Scrum and Lean). Skilled interpreter with 2 years of experience in military, IT, and humanitarian sectors. Led a team of 6 translators and technical consultants to successfully complete a project on maintenance documentation for equipment valued at over 3,000,000$ per unit under tight deadlines and without reference materials. Reduced lead time by 2.5X and produced over 10,000 technical words in Ukrainian within 8 days. Strong communication, critical thinking, and decision-making skills, adept at working in fast-paced and high-stress environments. Recognized for effective stakeholder management.
"
35,"
 - Head of Pharmacy
Pharmacy Chain ""Gamma-55""
July 2014 to August 2019 (5 years)
- Got promoted from pharmacist to head of pharmacy after 2 years of work.
- Safely administered immunisations, travel medicine, medication therapy management, and other specialty programmes.
- Regularly completed paperwork and entered prescription and insurance billing information into patient profiles.
- Collaborated with health care professionals to monitor and evaluate medicine therapy quality and effectiveness.
- Managed busy schedules and sales plan resulting in a 10% increase in annual revenue.
- Trained and supervised technicians and sales assistants for smooth pharmacy operations.

- Private Entrepreneur/Senior Sales Manager
Women's clothing chain
August 2019 to February 2022 (2 years, 6 months)
- Customised customer experiences to build brand loyalty.
- Supervised work of contracted employees to deliver work on schedule.
- Met schedule using excellent planning and coordination skills.
- Explored and created new ways to resolve problems with processes, technology, or team members to improve overall efficiency.

- Trainee Project Manager (Pet Project)
IT School IAMPM Project Management Courses
March 2022 to August 2022 (6 months)
- Developed a detailed project plan to track progress.
- Used appropriate verification techniques to manage changes in project scope, schedule, and costs.
- Performed risk management to minimize project risks.
- Created and maintained comprehensive project documentation.
- Experience with tools: Miro, Product Plan, Jira, Confluence, Trello.
"
36,"
 Education

Radiotechnical Systems Engineer
Experience

TRENDO
Account Manager
July 2022 - Present
- Communication with foreign clients
- Advertising campaign analytics
- Reporting to clients
- Sprint meetings with project team
- Distribution of tasks and deadlines among project team
- Work in accordance with Kanban methodology
- Set up sites with GTM
- Set up Universal and GA4 analytics
- Customize conversions for Google Ads
- Customize Google Merchant rules and optimization
- Optimize Shopify

ZEZMAN
Junior Project Manager/Junior Business Analytics
September 2021 - April 2022
- Created schedules and collected documents to orient and guide projects and outcomes
- Communicated with stakeholders about scheduling, staffing, and technical requirements
- Organized work of the Business Analytics Unit
- Planned large-scale projects in digitalization and implementation of electronic document management
- Supported implementation and optimization of business processes

ORCSSD
Administrative Manager (Project Sphere)
July 2020 - September 2021
- Created schedules and collected documents to orient and guide projects and outcomes
- Translated metrics into actionable, meaningful intelligence
- Managed expectations and tracked risks and benefits
- Communicated with stakeholders about scheduling, staffing, and technical requirements

Vs Project
Junior Technical Project Manager
February 2020 - April 2020
- Managed full project life cycle from initiation to deployment
- Ensured projects were proceeding according to scope, schedule, budget, and quality standards

Government Projects
Trainee Project Manager
October 2019 - December 2019
- Planned, managed, and monitored project execution
- Delivered projects on time and within allocated budget
"
