id,CV
10,"Created Intuitive Wireframes: Developed high fidelity wireframes for projects.

Developed Interactive Prototypes: Designed interactive prototypes using Figma.

Adapted to Responsive Design: Successfully translated desktop interfaces into responsive designs for various screen sizes.

Created User Flows: Worked to map out user flows, identifying pain points and opportunities for enhancing user journeys.

Demonstrated Quick Learning: Picked up new design tools and techniques rapidly.

Open to Feedback: Actively sought feedback from senior designers and colleagues, showing a willingness to learn from constructive criticism and improve my designs.
From mobile app interfaces to landing pages and user-friendly web services, I create intuitive designs. My approach involves basic market research to align designs with user preferences. I optimize user journeys through high fidelity wireframes and prototyping for efficient iterations. I use what I've learned from working in advertising and collaborating with clients to add powerful visual stories to designs. At the same time, I know how to work well in a team.

Project expirience

‘PAW Tracker’ Website Design
The aim was a user-friendly website to help people quickly find their lost pets in a specific area by using filters. I applied empathy-driven design to create a sensitive and supportive interface.

‘TableTap’ Mobile App Design
The aim was a user-friendly platform for easy restaurant table selection and booking, achieved through user research, intuitive design, and collaboration, resulting in an improved dining experience.

Work expirience

Agro-Industrial Group ‘Pan Kurchak’
Aug. 2021 - till now
Advertising manager
- SMM
- Managing web-sites
- Writing product requirements documents for graphic and web designers

Advertising Agency ‘Ruden Agency’
Oct. 2020 - Sep. 2021
Social media manager
- Creating content plans
- Writing and scheduling posts
- Designing illustrations for social media
I want to find a full-time job at a company that wants to make people's daily lives simple and more efficient. I can learn quickly, I'm reliable, and I'm prepared for tasks that require effort."
11,"At one of her previous jobs, less than a year later she became a department director. I worked on a team where we developed a web service for finding missing pets.
Furry Finder
Furry Finder web service for finding lost pets
Furry Finder is a service where people who lost or found an animal could post an ad and contact each other.
It was a team effort. The project was developed during training

Redesign of the Skandi restaurant website
The site was quite dark, everything was difficult to read, the fonts were poorly selected. There were too many menu items. In the ""Reviews"" block, there was no feedback and there was not even an opportunity to add a new one. It has all been reworked and made better. She worked on the project during her studies

Getshop App
Mobile application, full cycle design
Getshop - applications for selecting gifts for every taste with the possibility of delivery.
The goal was to create an easy-to-use app with in-app payments.
The project was developed during the course
"
12,"I have completed a Web design course and a Mobile application design course in PROJECTOR Institute
______________________________
GBS IT , StartUp - oct 2022 - now

Creation and invention of design solutions for desktop and browser versions of the application on the principle of CRM system:
- market and competitor research;
- constant collaboration and communication with the customer (owner) and the developer
- full design development from mockups to the finished solution;
- creation of 40+ design solutions of tables and their integration in the application (2D and 3D formats);
- animation of all transitions and active actions of the application



_________________________________________
Upwork , Freelance working - may 2022 - now


I have developed a landing page design for PC and smartphone, for a startup company that produces orthopedic pillows;

I conducted market research and analysis, developed and worked out the idea, modeled and created the design of a mobile application called Sommelier, which includes a database of alcoholic beverages, a store, a poster of various gastronomic events, etc.

Conducted an in-depth analysis and research of the Paired mobile application (competitor), proposed ideas and solutions that could improve it, and created a solution design. Proposed 2 conceptual hypotheses for changing the payment screen, described what solutions I expect as a result and created their solution design.
Redesigned their web page.

I have a positive experience of working as a leader of a team of 12 employees. In my last job, I was busy with analytics and market research, top sales statistics and working with this data to improve and increase sales.
I expect to expand my knowledge, learn new things and become a successful and useful member of the team."
13,"Developing an effective interface: During my web design course, I successfully mastered the principles of designing effective interfaces. I have successfully applied the principles of best practices to ensure the user's interaction with the website.

Deep understanding of UX/UI: Having studied the theory and practice of UX and UI design, I was able to successfully create intuitive and aesthetically pleasing web designs. I have thoroughly analysed user needs and developed designs that provide a great user experience.

Proficient in the use of design tools: Familiar with a variety of web design tools, including Adobe XD, Figma, and Sketch. Skilfully used them to create prototypes and mockups, realising my ideas with high accuracy.

Responsive design: Learned to develop responsive web designs that display optimally on different devices and screen sizes. Implemented media querying and flexible layout techniques to ensure a great look on any device.

Colour harmony and typography: Improved my skills in choosing colour palettes and typography to achieve high readability and aesthetics of websites. Created harmonious colour combinations and selected fonts that reflected the style of the project.

Prototyping and testing: Actively used the process of prototyping and testing design with users. Analysed the results and made appropriate changes to improve the user experience.

Ability to collaborate: During projects, I gained skills of effective teamwork. I have been able to listen to the views and ideas of other project participants and share my suggestions constructively.

These achievements demonstrate my deep integration with the theory and practice of web design. They demonstrate my ability to create effective, responsive, and aesthetically pleasing web designs, as well as to work in a team and improve my skills with each assignment.
Gifts&Fleurs 
A flower and gift delivery app where you can schedule delivery for the upcoming birthdays of your friends, relatives or anyone else. I analysed competitors, identified the interests of future users, and defined the target audience and their needs. After I collected all the necessary information for my project, I started developing my unique layout. The layout included: onboarding, home page, catalogue, favourites, cart, user profile. I aimed to choose a soothing pastel colour palette and a legible font, considering that the application will be accessed across different phone dimensions.

Mr.Cleaner
I did this project in a team of three people. Our goal was to develop a user-friendly design for a cleaning company. We looked at competitors, selected references and analysed the target audience. Within the team, we discussed which features of our product could be included in the first iteration. We built a user flow diagram for our resource. Based on this, we created page layouts. I designed the main page. Then we did the linking and adaptation to different types of devices. In the end, we came up with a user-friendly and modern design that meets all the needs of the user.

A Kids Place Childcare
In this project, I redesigned the website of a kindergarten. I made Wireframes for those pages of the site that I chose for redesign. Then I made the UI of the project. I re-linked the redesign I worked with and made my CTA clickable. I created a UI Kit for the website. I adapted the site for tablets and mobile. The kindergarten website embodies the joy of childhood in every pixelated detail. Bright and playful colours embody a rainbow of emotions, welcoming visitors in a positive way. The friendly interface is easy to navigate, like the footsteps of little feet.
"
14,"I have 4 projects on which I worked, both alone and in teamwork. Therefore, there are achievements in communication with the team, and she took an active part in the completed tasks
Glad to see on my profile! 
I am a beginner UI/UX designer, who is open to cooperation. Below are my completed projects so far:
1) Matcha Tea | Website
My goal was to create something more interesting, but at the same time simple. Project was completed in some stages: competitor analysis, wireframing, design, UI-kit and adaptation.
2) HealthyLife | Web service (team project)
I worked on the design of HealthyLife, a web service that allows users to find right doctor and get quality care from specialists. My responsibilities included competitor analysis, wireframing, design and prototyping.
3)FloverLover | Landing Page
Created landing page for flower delivery service, for customer acquisition. I did a competitor analysis, create moodboard and design. Visitors can see the terms of delivery, catalog, prices and reviews.
4) Tattoo studio | Landing page
Created a site for practice. My goal was to make a modern style with a nice combination of colors, and convey the cool atmosphere of tattoos.
I expect interesting time from work, earnings, and give people the opportunity to get convenient and beautiful website designs, as well as analysis of competitors and the target audience"
15,"Graphic designer
""Etere""
Achievement:
Completely updated the banner for the company's website
Made a stand design for NAB show 2023 and other exhibitions
Created infographics for all company products

Graphic designer
Online store ""Profline""
Achievement:
Increased the number of clicks on banners by 25%
20% increase in landing page conversion
About 1,000 new product photos have been added
The share of repeat orders increased due to the addition of a loyalty program
Graphic designer
""Etere"" from 11.2022 to 05.2023
Duties
Development of printed products (booklets, business cards, flyers, etc.) for promotions or exhibitions. Creation of infographics, presentations, icons, logos, web banners for the company website and banners for social networks. Creation of advertisements for online and printed magazines. Creation of exhibition stands

Graphic designer
Online store ""Profline"" from 05.2021 to 02.2022
Duties
Creation of corporate style. Redesign of the existing logo. Banner design for social media. Landing page design in Figma. Conducting UX research, such as: analysis of the target audience, determination of needs and ""pains"" of the target audience, conducting surveys, creating UserFlow, UserMap, various infographics. Design of business cards, flyers, etc. Product photography and photo editing. Video creation and editing. Creation of animations for banners and websites
Despite not having prior experience in the role of a UI/UX designer, I am very interested in developing myself in this field. Here are my expectations from the position:

Professional skill development: I desire the opportunity to learn and grow as a UI/UX designer. This includes familiarizing myself with new technologies, tools, and methodologies in this field. I would like to work in an environment that supports continuous self-improvement and provides opportunities for the development of my skills.

Working in a project team: I believe that collaborative teamwork contributes significantly to productivity and work quality. I wish to have the opportunity to work with experienced professionals with whom I can exchange ideas, receive constructive feedback, and provide mutual support. It is important for me to feel that my work makes a significant contribution to the collective project.

Opportunities for creative self-expression: I believe that creativity and innovation are crucial elements for success in the UI/UX design field. It would be wonderful to have the chance to contribute my ideas and see them come to life in projects.

Support and mentorship: Given my lack of experience, I would appreciate the opportunity to receive support and mentorship from more experienced colleagues. I am willing to take responsibility and fulfill assigned tasks, but I would also like to have the opportunity to learn from the team and incorporate their expertise into my work.

Career growth opportunities: I envision my future career in the UI/UX design field. I would like to have the chance to grow professionally and take on greater responsibilities over time."
16,"
Graphic Designer • Freelance
Mar 2017- Oct 2019
My responsibilities included designing logos for brands. The last one I worked on was a logo for a children's swimming club. I also developed sticker packs for printing and digital usage in messegners (Telegram).

AR Mask Creator • Freelance
Aug 2019- May 2020
I worked on creating AR masks for companies and bloggers for Instagram. I had to create both animated and masks with 3D objects. 

UI/UX Designer • Freelance
Aug 2021- Present
The work was aimed at achieveing the interests of the business and at the same time comfortable interface usage for target audience. My position included redesign of existing products and creating product design from scratch:
• Creating the foundation and components of the Design System, including new patterns, colors, typography, iconography;
• Market and target audience research, website usability analysis;
• Creating a strategy on usability improvement and conversion increase.
• Analysis of existing interface on site market I was working with;
• Layout prototyping, UX-writing, visual interface, animation and micro-interaction design.
"
17,"My experience in the UI/UX and graphic design areas and the Advertising education helps me to meet customers needs and successfully complete various tasks.
Greetings, dear reader!
I have 1 year of experience as the UI/UX Designer and 4+ years of experience as the Graphic Designer.

- Developing an interface from scratch with Figma
- Creating User Personas, CJM, User Flow based on in-depth interviews and research 
- Designing wireframes and prototypes
- Knowledge of Material design, iOS Human interface guidelines
- Creating adaptive versions of websites
- Creating 2D animations in Adobe After Effects

Projects:
- Mobile App for video consultation with doctors 24/7;
- Landing page for online driving school;
- Adaptive website for home quest boxes.
 
My role in these projects was UI/UX Designer and I really want to improve my skills and create lots of new amazing products.
I hope to find an incredible company with friendly colleagues and become a valuable member of your team."
18,"The last project on the development of the Cleaning Services web service was carried out as a team. I was a team leader and managed organizational issues, which I enjoyed greatly.
Hello, everybody!
I’m UI/UX designer. Coming to my skills I know how to design landings, web-sites and mobile apps. I can  do full cycle design, from analysis to implementation of the finished product. I consider myself a very responsible and creative person, so I will definitely be useful for you in creating interesting and user-friendly projects.
I will be glad to be part of your team!

Project Experience

Redesign for Mainsail Realty Company

The goal was to create redesign the website of real estate company to improve its functionality and visual appeal, resulting in increased user engagement and lead generation. A competitor analysis was held and wireframe was drawn. Also, to achiev this goal I created a modern, responive website. The website was designed with clean, proffesional look that reflects the companys brand and values. The content was organized in a logical manner and navigation is intuitive and user friendly.

Landing Page for Fliwer Delivery ""Flower Lover""

The goal was to create a landing page for advertising a new opportunity to order a bouquet with delivery. A competitor analysis was held, a moodboard was created, a wireframe was drawn, and design was implemented.

Web Service for Cleaning services
Full cycle design

The goal was to create a web service that will help hire an employee of  a cleaning company. It was team project and I was Team Lead there.
For implementation this project, competitor research was held, as well as team brainstorming, user personas were formed, user flow diagram and CJM were build, as well as a wireframe was formed and an excellent design was created for the final result.
I plan to work as a Junior Ui/UX Designer in a good company with great corporate ethics and the healthy working relationships. I want to work with the possibility to work remotely."
19,"I created 6 projects, two of them in the team.
Hello everyone, I'm a UX/UI designer. I work with Figma, Adobe Illustrator, Protorype, Adobe Photoshop. Worked on mobile, web, responsive design and logo design. I'm a designer with a passion for creating visually stunning and user-friendly websites. I am well versed in design aesthetics, pay attention to details. I have a positive attitude to criticism and love to learn.

Tattoo salon website redesign
The site had a problem with customer traffic — users quickly left the site due to an unclear hierarchy and an unpleasant design. To solve the task, I studied the competitors and conducted analysis.

Creating a web service that will help find lost pets
Idea: Develop a web service that will help owners of lost animals find them faster. The service can remove markers if the animal is found. The user can filter ads (labels) by all available information (type, species of animal, breed, color,...). It also has the ability to find a match between lost and found animals within a given search radius (how it works: you set the search radius, the map shows pairs of markers that have matched according to the species+breed criteria)

Application for booking tables in restaurants.
Goal: A graphical restaurant reservation/booking application that allows you to check the layout, restaurant hall, choose your preferred seats/table and reserve a table for a specific time.
Also, such functions as choosing the number of guests, choosing the zone (for smoking, in the yard, next to the children's room, quiet zone, near the window) were added. There is also an additional service (a high chair, holiday decorations, a bowl and a bed for animals, a vase for flowers). Also, in the application, you can choose a cafe, restaurant, bar, bakery with different prices and menus, and you can also pay the bill.

Chemistry education
It is important to consider a variety of learning approaches to ensure a complete and effective learning experience in chemistry or any other subject. A well-designed chemistry program can provide a structured and comprehensive curriculum.
Full-time or remote. I know how to set goals and achieve them. I strive to apply my skills to optimize existing solutions. I am a good team player."
20,"Successfully completed 6-month courses in Go-IT company and gained practical knowledge in UI/UX design, Web and Mobile design.
Hello everyone! My name is Oksana and I`m a Junior UI/UX Designer. I specialize in UI/UX Design for web and mobile applications. I am responsible for how the site will look and how user-friendly it will be. I develop a simple and clear structure of a new site with a convenient navigation system and an intuitive user interface, select fronts, backgrounds, icons, draw a logo, animation and banners. I also improve existing sites. To do this, I analyze the behavior of users on the site, trying to understand what they are missing. I have an experience in creating several projects within my study course. 

Kindergarten website redesign
This project is a website redesign for a kindergarten. The design of the existing site looks outdated, not very user friendly.The goal of the project was to create a modern design that attracts young parents and meet
all the needs of preschool education. Before starting the redesign, research and analysis of competitors was carried out. This helped to understand which successful solutions can be used for our project.

HOME for GUEST app
Home for Guest is a web service for changing the environment. - work and rest in a new place. The idea is similar to couch-surfing, but for the opportunity to be a guest (accommodation, food, etc.) the visitor must pay (or most likely do the work indicated by the hosts or take care of pets). The task was to make a user-friendly easy-to-use website with suitable design.
I'm looking for a company where I can constantly grow professionally, it's a priority for me."
21,"Was a team leader in project CleanUp.
Hello. I am a graphic and UI/UX designer. I am a beginner, but I really want to reach heights in this direction. I design logos and websites. I also managed to work with redesign, research and personas, moodboards, adaptation and Figma Smart Animate. Confident user of Figma, Adobe Illustrator and Adobe Photoshop.

Custom concepts
This project is a redesign of an existing tattoo studio website where user can find necessary information and make an appointment with the tattoo artist. 
Changed colors, fonts, added CTA button identity, ""air"" and made the FAQ section more functional. Used Figma, Adobe Illustrator and Adobe Photoshop.

CleanUp
It was a group project. The goal of the project was to create a web resource for cleaning services where the user can easily find a cleaner that fully suits his needs. 
It`s full curcle design from analysis to adaptation. Created the user interface and thought over the design. Did full linking. Used Figma, Adobe Illustrator and Adobe Photoshop.

AnabioZ 
This is a guideline for a men's gift shop. Guideline development from scratch. From creating a logo to using it on different types of devices and signs. Used Adobe Illustrator and Adobe Photoshop.
A company with a team of professionals from whom I can learn something new and show what I can. On my own I guarantee a focus on results and the completion of tasks on time"
22,"My experience includes prototyping, web design, and a solid understanding of UI/UX principles. I'm confident in my ability to create appealing and intuitive interfaces that deliver an excellent user experience. I also have a basic knowledge of mobile app development and aim to further enhance my skills in this area.

I aim to create user experiences that not only meet but exceed your expectations, ensuring your project's success and user satisfaction. Together, we can achieve remarkable outcomes and propel your business to new heights.
Hello! I am a Junior UI/UX Designer. GoIT - start your career in IT. I've been designing for six months. I would like to join a team and create high-quality products for users and businesses. Moreover, I have good practical skills in UX researching. I'm eager to accept any new challenges in the web-design processes.

Hard skills:
- Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Canva
- Wireframes, prototypes
- Understanding of UX principles
- Design Systems, UI-Kit 
- Information architecture

Soft skills:
- Curiosity
- Empathy
- Creative
- Attentive to details
- Critical thinking
- Communication skills

ApartEase

Our objective with this rental apartment web service was to create a user-friendly and convenient platform that connects travelers and apartment owners, providing a seamless experience for both parties.
Our objective with this rental apartment web service was to create a user-friendly and convenient platform that connects travelers and apartment owners, providing a seamless experience for both parties.
Навыки: Adaptive · Ui kit · Analysis · User Flow · MVP · CJM · Wireframes · Adobe Photoshop · Figma
Навыки: Adaptive · Ui kit · Analysis · User Flow · MVP · CJM · Wireframes · Adobe Photoshop · Figma
I want to get into a cool progressive company with which we will create the best working products on the market."
