Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o Google Score
54799,85.257
54800,82.049
56453,83.508
56528,80.657
56542,83.452
56543,83.545
56544,86.617
56545,83.614
56618,86.342
56619,82.3
56629,88.22
56630,83.275
56631,86.218
56632,87.562
56633,85.927
56634,82.559
56635,88.257
56637,83.837
56638,88.866
56639,88.195
56641,83.243
56642,83.288
56643,84.039
56644,84.167
56645,87.774
56646,81.383
56647,85.183
56648,80.392
56649,84.748
56650,83.551
56651,87.976
56652,84.02
56653,82.226
56654,86.413
56656,85.627
56657,87.662
56661,84.734
56662,87.492
56725,86.521
56795,83.897
56796,87.393
56797,84.51
56798,84.367
56799,84.13
56800,84.902
56801,85.013
56802,82.862
56803,89.327
56804,87.389
56805,83.05
56807,89.374
56809,86.023
56859,81.822
56860,87.544
56861,85.646
56862,87.532
57384,90.484
57400,88.54
62042,86.305
63086,83.74
63087,84.873
83710,86.202
83711,81.131
86666,88.335
87779,81.851
97622,88.524
98134,86.442
98135,87.328
98136,86.958
98137,85.086
98138,83.111
98171,86.55
98172,84.327
98173,84.278
98245,86.49
98250,83.642
98251,84.403
98252,75.871
98253,84.304
98254,86.554
98255,87.478
98256,81.195
98257,83.85
98258,85.304
98259,81.643
98260,85.263
98261,88.033
98262,85.058
98263,86.411
98264,84.882
98265,86.973
98266,84.795
98267,83.68
98268,79.419
98269,88.807
98270,84.631
98271,86.066
98272,90.778
98273,85.918
98274,87.036
98275,85.353
98276,86.065
98277,87.855
98278,86.493
98279,86.393
98280,85.507
98281,87.636
98282,86.248
98283,87.781
98284,85.393
98285,85.576
98286,83.869
98287,88.522
98288,81.676
98289,83.499
98290,82.962
98291,87.175
98292,87.274
98293,87.788
98294,82.794
98295,87.282
98296,84.469
98297,86.417
98298,87.707
98299,88.003
98300,88.155
98301,85.44
98302,87.914
98303,87.402
98304,88.354
98305,87.586
98306,87.979
98307,88.07
98308,84.859
98309,84.365
98310,87.982
98311,85.217
98312,84.502
98313,90.114
98314,88.22
98315,87.567
98316,88.289
98317,84.917
98318,85.87
98319,87.567
98320,87.509
98321,88.058
98322,88.514
98323,89.06
98324,86.767
98325,88.206
98326,86.586
98327,82.146
98328,86.198
98329,85.297
98330,86.092
98331,80.014
98332,82.562
98333,85.931
98334,80.568
98335,84.597
98336,84.214
98337,86.655
98338,79.594
98339,87.068
98340,87.659
98341,88.212
98342,86.567
98343,85.766
98344,87.831
98345,86.289
98346,85.288
98347,83.268
98348,80.676
98349,87.506
98350,87.421
98351,87.119
98352,85.138
98353,86.053
98354,80.836
98355,85.245
98356,84.197
98357,80.26
98358,88.031
98359,85.391
98360,78.844
98361,86.922
98362,88.138
98363,86.814
98364,84.604
98365,87.68
98366,84.539
98367,84.913
98368,82.331
98369,89.769
98370,88.022
98371,87.747
98372,87.351
98373,84.595
98374,86.263
98375,88.331
98376,84.947
98377,86.716
98378,85.911
98379,88.376
98380,86.525
98381,84.393
98382,89.247
98383,86.441
98384,83.862
98385,85.023
98386,83.917
98387,87.867
98388,86.276
98389,83.937
98390,87.203
98391,86.542
98392,86.163
98393,85.677
98394,88.624
98395,90.216
98396,86.499
98397,87.014
98398,84.191
98399,85.302
98400,83.579
98401,82.299
98402,87.358
