Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct UIUX Score
3142,78.727
3143,78.686
3144,79.792
3145,75.645
3146,78.216
3147,80.631
3148,80.95
3149,80.056
3150,81.021
3153,78.054
3155,74.305
3156,78.723
3157,78.808
3158,79.473
3159,78.134
3160,81.547
3161,79.052
3162,77.875
3186,82.227
3225,76.796
3315,80.202
3321,78.144
3332,80.945
5877,71.229
5981,79.563
6043,74.805
6078,81.141
6081,82.227
6082,79.775
6090,78.732
6127,82.359
6211,78.866
6213,81.089
6214,79.25
6231,77.418
6232,79.948
6233,79.795
6239,76.772
6240,78.409
6254,82.54
6255,78.846
6342,74.724
7630,81.579
7654,79.665
8890,81.614
8916,77.829
9028,80.463
9066,77.642
9445,80.937
9542,80.312
9546,80.373
9547,79.925
9583,76.237
9587,76.917
12037,80.71
12116,76.811
12122,79.814
12124,80.011
12141,73.977
12143,79.672
12149,80.272
12161,77.796
12252,83.294
12408,77.596
12409,78.168
12410,80.662
12418,82.82
12422,76.784
12435,77.21
12436,75.314
12437,79.347
12447,83.515
12448,82.102
12449,78.755
12450,78.884
12451,77.824
12452,79.091
12453,78.919
12454,79.321
12455,80.267
12456,80.838
12457,80.369
12458,82.61
12459,74.9
12460,81.465
12461,80.421
12462,81.042
12463,79.918
12464,80.611
12465,79.621
12466,80.468
12467,81.39
12468,77.76
12469,75.24
12470,86.967
12471,82.216
12472,80.274
12473,79.533
12474,79.474
12475,79.964
12476,80.127
12477,83.138
12478,82.33
12479,81.195
12480,76.643
12481,80.708
12482,80.846
12483,80.999
12484,78.011
12485,81.29
12486,79.138
12487,79.825
12488,80.521
12489,76.051
12490,79.648
12491,76.406
12492,76.752
12493,78.637
12494,81.193
12495,81.875
12496,75.726
12497,83.105
12498,74.071
12499,76.993
12500,77.456
12501,78.33
12502,80.065
12503,76.411
12504,77.961
12505,78.761
12506,78.338
12507,80.728
12508,78.476
12509,81.843
12510,81.52
12511,80.901
12512,80.731
12513,77.39
12514,82.96
12515,80.781
12516,80.919
12518,82.527
12519,77.336
12520,81.428
12521,79.104
12523,77.608
12525,82.413
12526,80.186
12527,80.955
12528,78.41
12529,81.556
12530,78.11
12531,78.399
12532,78.731
12533,78.415
12565,82.097
12656,78.763
12674,82.271
12687,81.164
12736,83.03
13078,76.907
13080,78.41
13146,77.808
13147,79.774
13148,78.88
13149,81.01
13150,82.059
13196,78.087
13382,75.728
13461,76.159
13475,77.891
13477,77.112
13537,80.806
13893,77.554
13897,76.361
14744,76.943
14862,80.815
14882,79.055
14890,80.391
14906,78.96
14907,80.035
14914,79.003
14916,76.711
14930,82.029
14932,77.611
14939,79.386
14947,78.976
15180,77.475
15240,80.898
15339,81.955
15419,77.383
15425,78.538
15426,81.597
15474,80.631
15519,81.904
15524,80.973
15589,78.336
15679,78.141
15743,76.685
16036,81.484
16039,75.395
16064,83.666
