Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free UIUX Score
13150,80.393
13196,78.556
13382,79.866
13461,76.243
13475,79.615
13477,78.524
13537,80.317
13893,76.857
13897,75.686
14744,76.04
14862,78.818
14882,80.568
14890,83.612
14906,78.06
14907,80.01
14914,76.144
14916,79.146
14930,82.726
14932,78.29
14939,78.544
14947,78.39
15180,80.265
15240,79.261
15339,82.208
15419,78.53
15425,78.85
15426,80.769
15474,79.753
15519,83.067
15524,81.575
15589,78.305
15679,79.807
15743,77.135
16036,80.566
16039,79.839
16064,80.802
