Unnamed: 0,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini Google Score
12527,83.683
12528,79.531
12529,82.232
12530,75.649
12531,80.123
12532,79.018
12533,81.284
12565,84.252
12656,82.042
12674,82.361
12687,83.197
12736,81.863
13078,77.923
13080,83.758
13146,79.323
13147,79.256
13148,81.212
13149,80.924
13150,83.891
13196,80.464
13382,80.325
13461,78.233
13475,82.478
13477,80.777
13537,81.224
13893,80.35
13897,79.817
14744,78.17
14862,82.493
14882,81.39
14890,80.242
14906,81.267
14907,82.214
14914,79.214
14916,76.733
14930,82.787
14932,79.4
14939,79.26
14947,79.441
15180,81.362
15240,80.839
15339,81.051
15419,78.173
15425,80.475
15426,82.492
15474,80.481
15519,82.427
15524,80.738
15589,80.404
15679,80.047
15743,79.942
16036,83.34
16039,81.752
16064,82.877
6018,87.248
6021,80.588
6026,86.74
9479,85.508
16980,79.747
17014,79.217
18230,86.785
18348,85.153
26715,85.492
26747,87.225
29788,87.74
29835,84.054
30606,87.526
30845,87.547
32072,88.217
46443,87.388
46506,82.269
50300,84.898
51419,90.263
53971,86.049
53972,82.268
53973,86.214
53974,85.627
53975,87.949
53976,80.878
53977,83.867
53978,85.15
53979,87.799
53981,86.141
54796,83.123
54797,89.509
54798,85.578
54799,85.217
54800,81.342
56453,86.191
56528,80.438
56542,82.486
56543,86.162
56544,87.086
56545,84.294
56618,87.959
56619,81.675
56629,90.318
56630,82.335
56631,86.837
56632,87.474
56633,85.66
56634,83.599
56635,87.446
56637,85.692
56638,88.782
56639,87.925
56641,82.291
56642,84.917
56643,83.649
56644,80.796
56645,84.662
56646,81.153
56647,84.301
56648,78.427
56649,85.205
56650,83.091
56651,86.905
56652,85.964
56653,83.981
56654,84.73
56656,87.12
56657,87.662
56661,85.089
56662,88.295
56725,86.461
56795,82.496
56796,84.502
56797,86.91
56798,83.084
56799,81.367
56800,83.344
56801,84.651
56802,82.296
56803,89.287
56804,89.415
56805,81.258
56807,87.17
56809,87.105
56859,83.561
56860,87.714
56861,85.926
56862,86.835
57384,89.722
57400,90.137
62042,86.749
63086,83.145
63087,85.114
83710,87.798
83711,81.651
86666,86.263
87779,83.358
97622,88.46
98134,86.409
98135,86.196
98136,84.44
98137,86.512
98138,86.088
98171,85.763
98172,82.909
98173,84.912
98245,87.611
98250,86.168
98251,84.767
98252,80.934
98253,84.081
98254,85.49
98255,86.78
98256,82.923
98257,86.268
98258,85.097
98259,83.251
98260,83.058
98261,85.599
98262,87.918
98263,86.038
98264,87.372
98265,84.162
98266,85.501
98267,82.052
98268,85.455
98269,87.51
98270,84.989
98271,84.695
98272,90.108
98273,87.091
98274,88.234
98275,86.245
98276,86.053
98277,85.909
98278,85.676
98279,86.049
98280,84.214
98281,87.602
98282,85.224
98283,88.198
98284,85.566
98285,83.186
98286,85.747
98287,88.669
98288,81.294
98289,83.411
98290,82.472
98291,85.656
98292,87.831
98293,87.212
98294,87.819
98295,88.206
98296,86.435
98297,86.81
98298,87.64
98299,88.152
98300,88.646
98301,86.875
98302,86.831
98303,86.829
98304,86.693
98305,89.231
98306,88.264
98307,86.302
98308,84.54
98309,85.409
98310,87.233
98311,86.114
98312,86.876
98313,89.447
98314,88.616
98315,86.049
98316,87.803
98317,85.474
98318,85.893
98319,87.796
98320,89.403
98321,86.546
98322,89.006
98323,87.387
98324,85.197
98325,88.982
98326,85.839
98327,84.611
98328,85.921
98329,87.216
98330,86.244
98331,87.033
98332,82.165
98333,86.359
98334,84.735
98335,84.465
98336,84.801
98337,85.968
98338,79.81
98339,87.271
98340,88.102
98341,87.373
98342,86.801
98343,84.536
98344,87.828
98345,84.392
98346,87.015
98347,83.715
98348,82.949
98349,87.601
98350,87.718
98351,87.738
98352,85.823
98353,86.58
98354,79.866
98355,85.147
98356,85.197
98357,80.108
98358,88.105
98359,79.802
98360,82.097
98361,85.321
98362,87.483
98363,86.223
98364,86.041
98365,86.676
98366,79.321
98367,84.606
98368,87.22
98369,91.036
98370,88.452
98371,87.068
98372,88.884
98373,84.795
98374,88.006
98375,88.793
98376,84.102
98377,86.635
98378,84.702
98379,88.657
98380,86.721
98381,84.522
98382,88.213
98383,86.04
98384,83.722
98385,85.217
98386,80.663
98387,88.005
98388,86.861
98389,83.405
98390,87.126
98391,85.536
98392,86.763
98393,85.129
98394,87.124
98395,89.937
98396,86.243
98397,85.968
98398,85.984
98399,85.336
98400,82.452
98401,83.177
98402,84.804
