Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct UIUX Score
98283,84.505
98284,84.185
98285,82.882
98286,86.282
98287,86.33
98288,76.678
98289,81.15
98290,81.488
98291,86.335
98292,86.447
98293,84.876
98294,84.543
98295,85.079
98296,84.938
98297,87.485
98298,84.432
98299,87.592
98300,86.943
98301,84.22
98302,82.77
98303,84.81
98304,84.629
98305,85.711
98306,86.876
98307,87.849
98308,80.68
98309,82.823
98310,81.308
98311,86.844
98312,86.685
98313,87.027
98314,87.627
98315,83.848
98316,87.761
98317,84.379
98318,83.565
98319,85.274
98320,87.576
98321,87.134
98322,89.144
98323,86.298
98324,85.58
98325,88.06
98326,83.257
98327,81.708
98328,87.459
98329,83.491
98330,86.275
98331,79.891
98332,84.765
98333,82.824
98334,81.79
98335,81.794
98336,79.681
98337,86.336
98338,79.796
98339,86.42
98340,87.827
98341,86.868
98342,84.685
98343,86.31
98344,84.515
98345,83.043
98346,83.892
98347,81.184
98348,81.694
98349,88.29
98350,86.826
98351,83.249
98352,84.585
98353,86.24
98354,78.003
98355,81.038
98356,81.685
98357,77.798
98358,83.997
98359,78.497
98360,76.404
98361,86.401
98362,83.626
98363,82.556
98364,83.085
98365,83.967
98366,73.362
98367,83.601
98368,82.045
98369,87.326
98370,88.752
98371,86.67
98372,84.699
98373,79.103
98374,84.338
98375,84.409
98376,82.435
98377,85.359
98378,85.337
98379,88.285
98380,87.333
98381,81.158
98382,87.787
98383,83.161
98384,83.896
98385,85.832
98386,79.124
98387,84.762
98388,84.711
98389,83.898
98390,82.905
98391,82.447
98392,85.742
98393,86.277
98394,88.608
98395,90.059
98396,82.963
98397,82.661
98398,81.917
98399,74.518
98400,78.748
98401,81.826
98402,85.959
1747,81.56
1784,82.238
2476,73.382
2515,78.99
2517,77.168
2529,80.505
2538,79.126
2551,82.112
2553,77.195
2554,86.081
2555,80.805
2556,78.972
2577,79.022
2582,72.539
2583,77.617
2584,77.74
2585,80.345
2586,79.6
2587,76.87
2588,79.466
2589,79.801
2590,79.048
2591,79.367
2592,81.299
2594,74.383
2595,78.574
2597,77.307
2645,80.875
2654,80.448
2655,80.769
2656,79.414
2657,81.635
2658,75.01
2659,80.016
2660,79.258
2741,78.001
2766,81.931
2793,81.171
2810,75.506
2824,79.963
3002,76.913
3021,79.554
3093,81.046
3105,77.488
3113,77.754
3118,83.38
3120,79.521
3122,79.31
3123,78.905
3133,80.972
3134,82.807
3135,78.925
3136,81.826
3137,80.326
3138,76.208
3139,79.196
3140,79.954
3141,83.046
3142,79.344
3143,78.867
3144,80.214
3145,77.834
3146,77.214
3147,81.394
3148,80.292
3149,81.597
3150,81.135
3153,79.097
3155,74.382
3156,79.077
3157,78.756
3158,81.484
3159,77.862
3160,82.1
3161,81.209
3162,78.082
3186,80.981
3225,77.652
3315,74.19
3321,78.62
3332,81.769
5877,79.467
5981,78.309
6043,70.752
6078,82.2
6081,83.08
6082,82.003
6090,76.857
6127,82.508
6211,77.724
6213,81.438
6214,80.107
6231,78.572
6232,80.818
6233,81.372
6239,78.17
6240,79.507
6254,83.308
6255,77.705
6342,74.422
7630,80.783
7654,79.631
8890,80.059
8916,78.369
9028,80.231
9066,76.964
9445,82.235
9542,80.997
9546,82.116
9547,78.038
9583,76.339
9587,76.908
12037,81.485
12116,77.473
12122,79.658
12124,81.151
12141,77.31
12143,79.847
12149,81.763
12161,79.24
12252,83.271
12408,79.369
12409,78.029
12410,80.369
12418,82.083
12422,76.835
12435,77.712
12436,75.417
12437,78.739
12447,83.622
12448,81.47
12449,78.914
12450,79.293
12451,77.58
12452,78.683
12453,79.767
12454,81.651
12455,80.152
12456,79.827
12457,81.81
12458,81.853
12459,73.416
12460,81.223
12461,80.7
12462,79.947
12463,81.124
12464,80.42
12465,77.842
12466,80.174
12467,81.924
12468,79.028
12469,75.591
12470,85.198
12471,81.657
12472,80.195
12473,79.976
12474,79.443
12475,79.46
12476,81.023
12477,83.375
12478,81.977
12479,80.201
12480,79.478
12481,81.421
12482,81.2
12483,81.152
12484,78.619
12485,80.596
12486,77.66
12487,81.862
12488,80.81
12489,73.449
12490,81.487
12491,80.908
12492,77.733
12493,77.888
12494,81.367
12495,82.468
12496,78.564
12497,82.444
12498,81.177
12499,77.91
12500,77.455
12501,71.59
12502,78.806
12503,75.933
12504,79.294
12505,72.856
12506,79.068
12507,81.897
12508,78.389
12509,82.118
12510,82.597
12511,80.161
12512,80.907
12513,78.359
12514,79.988
12515,80.619
12516,79.996
12518,82.271
12519,78.454
12520,80.796
12521,80.832
12523,80.116
12525,83.444
12526,80.249
12527,81.515
12528,79.55
12529,80.461
12530,76.426
12531,76.92
12532,79.531
12533,78.495
12565,82.735
12656,82.883
12674,82.54
12687,77.385
12736,81.669
13078,76.725
13080,81.897
13146,78.114
13147,79.349
13148,79.699
13149,80.617
13150,82.845
13196,77.719
13382,80.989
13461,75.559
13475,77.562
13477,79.063
13537,80.25
13893,76.471
13897,76.165
14744,75.553
14862,81.495
14882,78.915
14890,82.577
14906,78.517
14907,79.602
14914,76.213
14916,80.233
14930,82.649
14932,77.303
14939,78.838
14947,78.57
15180,77.118
15240,80.467
15339,81.153
15419,77.627
15425,80.017
15426,81.277
15474,80.244
15519,82.6
15524,81.264
15589,78.103
15679,75.967
15743,78.072
16036,80.228
16039,78.33
16064,83.136
