Unnamed: 0,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini DoorDash Score
12482,81.316
12483,81.682
12484,80.746
12485,79.259
12486,83.341
12487,82.829
12488,80.357
12489,76.553
12490,81.016
12491,84.051
12492,82.094
12493,82.624
12494,80.67
12495,83.57
12496,82.776
12497,82.1
12498,82.898
12499,84.052
12500,81.955
12501,76.057
12502,83.426
12503,83.287
12504,83.439
12505,75.784
12506,81.998
12507,80.997
12508,83.529
12509,79.931
12510,82.65
12511,81.451
12512,80.127
12513,81.754
12514,84.583
12515,82.82
12516,84.452
12518,82.87
12519,81.251
12520,84.505
12521,83.199
12523,83.274
12525,85.963
12526,83.385
12527,83.391
12528,79.847
12529,86.324
12530,79.216
12531,80.403
12532,82.51
12533,82.448
12565,85.374
12656,82.729
12674,83.248
12687,79.493
12736,83.22
13078,83.253
13080,82.829
13146,80.052
13147,82.287
13148,83.23
13149,82.409
13150,82.976
13196,84.104
13382,82.681
13461,80.782
13475,84.315
13477,82.845
13537,82.855
13893,83.621
13897,82.555
14744,83.993
14862,83.191
14882,81.571
14890,81.28
14906,80.307
14907,81.5
14914,82.087
14916,75.24
14930,84.328
14932,80.398
14939,80.457
14947,80.613
15180,78.645
15240,81.318
15339,84.276
15419,80.762
15425,84.581
15426,84.015
15474,82.244
15519,81.43
15524,82.052
15589,81.159
15679,77.197
15743,79.389
16036,85.408
16039,82.145
16064,85.347
6018,78.522
6021,77.821
6026,80.127
9479,80.224
16980,80.571
17014,77.647
18230,78.052
18348,78.715
26715,81.933
26747,82.111
29788,80.398
29835,81.036
30606,80.387
30845,81.637
32072,80.092
46443,83.307
46506,80.141
50300,82.704
51419,79.597
53971,78.408
53972,78.541
53973,78.009
53974,78.529
53975,80.547
53976,77.604
53977,80.322
53978,75.784
53979,77.412
53981,77.838
54796,78.026
54797,79.214
54798,80.22
54799,78.074
54800,74.585
56453,81.138
56528,77.691
56542,75.612
56543,78.012
56544,77.429
56545,80.125
56618,81.002
56619,75.992
56629,81.292
56630,76.313
56631,81.28
56632,80.953
56633,81.54
56634,77.933
56635,78.412
56637,76.037
56638,76.685
56639,78.763
56641,78.503
56642,78.136
56643,82.911
56644,76.839
56645,77.791
56646,77.475
56647,79.352
56648,77.872
56649,76.944
56650,78.525
56651,80.061
56652,79.344
56653,79.252
56654,80.391
56656,77.237
56657,77.89
56661,77.954
56662,79.16
56725,79.22
56795,76.03
56796,74.559
56797,77.69
56798,78.799
56799,73.5
56800,79.23
56801,78.486
56802,77.02
56803,81.36
56804,79.785
56805,79.09
56807,81.294
56809,81.622
56859,76.909
56860,80.034
56861,77.128
56862,79.797
57384,81.138
57400,83.574
62042,81.533
63086,77.374
63087,82.481
83710,80.917
83711,79.794
86666,78.362
87779,82.483
97622,78.306
98134,79.947
98135,80.685
98136,79.388
98137,78.691
98138,81.295
98171,78.559
98172,74.936
98173,80.994
98245,79.878
98250,82.317
98251,78.438
98252,81.362
98253,81.262
98254,78.165
98255,81.943
98256,80.342
98257,82.275
98258,80.167
98259,79.991
98260,81.618
98261,81.075
98262,81.345
98263,80.938
98264,83.89
98265,84.318
98266,84.067
98267,78.995
98268,81.161
98269,81.34
98270,81.046
98271,78.139
98272,79.319
98273,81.018
98274,78.919
98275,79.976
98276,78.808
98277,78.928
98278,78.493
98279,82.09
98280,79.965
98281,79.807
98282,81.78
98283,81.589
98284,75.373
98285,77.786
98286,80.212
98287,81.174
98288,77.253
98289,79.029
98290,76.145
98291,80.529
98292,78.837
98293,80.475
98294,81.519
98295,81.471
98296,78.79
98297,81.396
98298,80.107
98299,79.904
98300,79.622
98301,79.23
98302,81.027
98303,80.682
98304,79.031
98305,82.097
98306,82.196
98307,78.66
98308,79.087
98309,81.452
98310,84.002
98311,79.336
98312,79.526
98313,80.729
98314,83.769
98315,79.629
98316,84.43
98317,78.804
98318,81.126
98319,80.84
98320,79.961
98321,81.78
98322,81.061
98323,77.949
98324,79.197
98325,79.564
98326,78.578
98327,80.004
98328,80.147
98329,79.268
98330,80.11
98331,80.7
98332,77.94
98333,78.194
98334,82.101
98335,81.716
98336,80.727
98337,77.312
98338,79.817
98339,79.181
98340,79.273
98341,79.549
98342,81.688
98343,73.292
98344,80.286
98345,82.394
98346,79.637
98347,80.854
98348,78.946
98349,82.735
98350,79.526
98351,79.217
98352,76.153
98353,77.538
98354,76.701
98355,81.342
98356,79.058
98357,81.971
98358,80.258
98359,75.623
98360,80.665
98361,80.203
98362,78.975
98363,79.452
98364,76.885
98365,78.338
98366,77.326
98367,80.544
98368,80.389
98369,79.214
98370,79.886
98371,80.137
98372,80.398
98373,82.948
98374,82.168
98375,81.391
98376,81.094
98377,79.85
98378,81.224
98379,82.353
98380,81.487
98381,78.086
98382,77.819
98383,80.737
98384,82.376
98385,78.143
98386,76.87
98387,81.984
98388,80.307
98389,79.107
98390,81.038
98391,79.228
98392,79.125
98393,77.942
98394,76.508
98395,80.222
98396,79.908
98397,78.872
98398,79.703
98399,77.7
98400,80.06
98401,78.834
98402,83.923
