Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o DoorDash Score
97622,78.707
98134,79.565
98135,78.93
98136,77.389
98137,74.506
98138,79.69
98171,75.474
98172,77.622
98173,79.529
98245,79.447
98250,81.401
98251,78.373
98252,78.591
98253,81.864
98254,78.35
98255,82.389
98256,77.991
98257,81.329
98258,79.94
98259,80.326
98260,83.44
98261,82.983
98262,79.617
98263,80.644
98264,83.318
98265,82.511
98266,85.111
98267,80.181
98268,78.562
98269,80.18
98270,80.744
98271,79.472
98272,79.32
98273,80.367
98274,80.092
98275,80.678
98276,77.762
98277,79.25
98278,78.776
98279,80.266
98280,80.882
98281,80.715
98282,81.372
98283,81.374
98284,78.523
98285,79.204
98286,81.972
98287,81.188
98288,79.158
98289,80.145
98290,78.19
98291,81.165
98292,77.811
98293,81.137
98294,79.372
98295,81.408
98296,75.616
98297,79.847
98298,81.876
98299,79.551
98300,80.065
98301,75.598
98302,81.227
98303,80.424
98304,80.387
98305,82.264
98306,77.65
98307,80.163
98308,77.998
98309,79.673
98310,83.884
98311,77.491
98312,77.762
98313,80.784
98314,84.136
98315,79.983
98316,83.974
98317,77.325
98318,78.867
98319,79.095
98320,76.698
98321,81.835
98322,78.149
98323,79.946
98324,80.978
98325,81.214
98326,78.639
98327,79.964
98328,79.576
98329,79.175
98330,80.288
98331,77.978
98332,78.857
98333,78.751
98334,80.455
98335,80.734
98336,80.048
98337,78.64
98338,80.182
98339,78.237
98340,79.565
98341,79.774
98342,81.703
98343,75.62
98344,81.044
98345,80.177
98346,76.836
98347,79.199
98348,79.146
98349,80.216
98350,80.02
98351,78.86
98352,78.344
98353,79.269
98354,78.167
98355,83.416
98356,79.064
98357,80.888
98358,82.193
98359,80.333
98360,78.973
98361,79.236
98362,79.408
98363,79.755
98364,76.566
98365,79.229
98366,79.183
98367,82.108
98368,78.297
98369,80.194
98370,79.676
98371,80.429
98372,80.954
98373,82.194
98374,81.651
98375,81.306
98376,81.717
98377,80.534
98378,81.488
98379,81.243
98380,81.461
98381,79.081
98382,80.012
98383,81.65
98384,82.126
98385,78.226
98386,79.479
98387,81.123
98388,82.171
98389,81.098
98390,81.149
98391,80.713
98392,79.181
98393,78.115
98394,76.651
98395,79.625
98396,80.043
98397,79.5
98398,81.025
98399,77.492
98400,81.13
98401,78.45
98402,83.508
