Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free DoorDash Score
3133,81.059
3134,83.562
3135,85.413
3136,80.43
3137,81.764
3138,81.417
3139,80.364
3140,80.453
3141,81.752
3142,82.792
3143,80.898
3144,81.837
3145,78.751
3146,79.306
3147,80.448
3148,80.42
3149,81.755
3150,83.151
3153,80.863
3155,77.044
3156,80.183
3157,80.891
3158,82.162
3159,80.662
3160,79.271
3161,82.424
3162,82.115
3186,82.127
3225,83.265
3315,81.004
3321,80.572
3332,74.841
5877,79.409
5981,84.787
6043,83.264
6078,80.774
6081,83.253
6082,83.167
6090,80.147
6127,85.127
6211,79.936
6213,82.796
6214,80.734
6231,79.615
6232,80.87
6233,82.318
6239,78.805
6240,82.746
6254,80.782
6255,80.725
6342,79.44
7630,79.464
7654,81.89
8890,79.356
8916,75.539
9028,78.634
9066,79.332
9445,80.966
9542,80.536
9546,82.495
9547,78.999
9583,82.791
9587,77.772
12037,82.358
12116,76.774
12122,81.69
12124,83.856
12141,82.094
12143,80.587
12149,81.329
12161,77.727
12252,82.35
12408,78.63
12409,80.959
12410,82.583
12418,80.83
12422,81.447
12435,80.812
12436,79.309
12437,79.441
12447,81.75
12448,82.539
12449,79.893
12450,77.836
12451,81.535
12452,78.647
12453,80.807
12454,83.547
12455,83.542
12456,83.338
12457,81.046
12458,83.33
12459,79.863
12460,83.768
12461,81.562
12462,81.11
12463,75.107
12464,83.866
12465,80.748
12466,80.658
12467,80.26
12468,78.534
12469,73.907
12470,83.501
12471,82.529
12472,81.587
12473,80.254
12474,77.691
12475,80.934
12476,81.637
12477,85.165
12478,82.677
12479,81.029
12480,82.127
12481,80.197
12482,81.917
12483,79.97
12484,80.853
12485,79.796
12486,81.886
12487,82.885
12488,80.67
12489,77.116
12490,78.137
12491,81.585
12492,81.381
12493,76.191
12494,79.813
12495,83.18
12496,80.375
12497,84.097
12498,83.231
12499,80.485
12500,79.183
12501,76.925
12502,80.118
12503,78.853
12504,80.769
12505,76.048
12506,81.146
12507,80.116
12508,81.539
12509,81.671
12510,79.324
12511,79.773
12512,80.169
12513,79.686
12514,84.472
12515,80.834
12516,83.219
12518,82.224
12519,81.62
12520,83.409
12521,82.75
12523,81.441
12525,85.962
12526,82.565
12527,83.377
12528,79.734
12529,83.871
12530,79.874
12531,75.961
12532,81.813
12533,81.137
12565,85.134
12656,82.882
12674,80.703
12687,80.985
12736,82.586
13078,79.583
13080,83.659
13146,81.998
13147,80.863
13148,82.614
13149,81.363
13150,81.936
13196,83.238
13382,80.84
13461,78.424
13475,83.423
13477,79.02
13537,82.084
13893,80.497
13897,80.106
14744,81.163
14862,80.674
14882,83.358
14890,83.169
14906,80.61
14907,80.908
14914,80.142
14916,80.295
14930,81.788
14932,75.475
14939,79.701
14947,80.317
15180,81.659
15240,81.797
15339,81.263
15419,82.167
15425,82.807
15426,80.322
15474,82.064
15519,81.878
15524,83.252
15589,79.672
15679,76.675
15743,77.309
16036,83.237
16039,82.398
16064,84.721
