Unnamed: 0,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini DoorDash Score
12460,83.435
12461,82.154
12462,81.05
12463,80.825
12464,84.892
12465,80.715
12466,81.237
12467,84.219
12468,82.455
12469,78.037
12470,84.097
12471,83.699
12472,82.765
12473,83.656
12474,79.511
12475,82.269
12476,81.95
12477,86.284
12478,83.049
12479,81.998
12480,82.197
12481,82.196
12482,81.316
12483,81.682
12484,80.71
12485,79.259
12486,83.341
12487,82.829
12488,80.637
12489,76.404
12490,81.016
12491,84.051
12492,82.094
12493,82.624
12494,80.716
12495,83.464
12496,82.776
12497,82.048
12498,82.932
12499,84.163
12500,81.955
12501,76.505
12502,83.426
12503,83.287
12504,83.439
12505,75.784
12506,81.998
12507,80.997
12508,83.529
12509,79.931
12510,82.65
12511,81.451
12512,80.127
12513,81.754
12514,84.583
12515,82.82
12516,84.607
12518,83.121
12519,81.251
12520,84.505
12521,83.199
12523,83.274
12525,85.963
12526,84.463
12527,83.391
12528,79.917
12529,86.384
12530,79.216
12531,80.403
12532,82.51
12533,82.3
12565,85.374
12656,82.201
12674,83.248
12687,79.493
12736,83.22
13078,82.701
13080,82.829
13146,80.052
13147,82.287
13148,83.23
13149,82.409
13150,83.063
13196,84.104
13382,82.871
13461,80.782
13475,84.315
13477,82.845
13537,82.855
13893,83.621
13897,82.555
14744,83.993
14862,83.191
14882,81.571
14890,81.571
14906,80.307
14907,81.5
14914,82.087
14916,75.498
14930,84.328
14932,80.398
14939,80.115
14947,80.641
15180,83.373
15240,81.446
15339,84.276
15419,80.297
15425,84.581
15426,84.055
15474,82.37
15519,81.43
15524,82.052
15589,81.159
15679,77.197
15743,78.748
16036,85.408
16039,82.145
16064,85.347
6018,78.522
6021,77.821
6026,80.127
9479,80.224
16980,80.571
17014,77.647
18230,78.052
18348,78.876
26715,81.933
26747,82.111
29788,80.398
29835,81.036
30606,80.387
30845,81.278
32072,80.092
46443,83.307
46506,80.141
50300,82.704
51419,79.779
53971,78.408
53972,78.541
53973,78.009
53974,78.529
53975,80.547
53976,77.327
53977,80.322
53978,75.924
53979,78.091
53981,77.838
54796,78.011
54797,79.214
54798,80.154
54799,78.074
54800,74.585
56453,81.138
56528,77.691
56542,75.387
56543,78.012
56544,77.429
56545,80.125
56618,80.921
56619,75.992
56629,81.421
56630,76.313
56631,81.28
56632,80.024
56633,80.981
56634,77.933
56635,78.412
56637,76.037
56638,79.333
56639,78.763
56641,78.503
56642,78.136
56643,82.977
56644,76.576
56645,77.791
56646,77.475
56647,79.352
56648,77.872
56649,76.856
56650,78.781
56651,80.061
56652,79.03
56653,79.252
56654,80.391
56656,77.237
56657,77.89
56661,81.374
56662,79.16
56725,79.008
56795,75.498
56796,74.559
56797,77.612
56798,78.799
56799,73.773
56800,79.23
56801,78.486
56802,77.002
56803,81.36
56804,79.828
56805,79.09
56807,81.294
56809,82.029
56859,76.909
56860,79.889
56861,77.128
56862,79.797
57384,80.998
57400,83.574
62042,81.579
63086,78.251
63087,83.079
83710,80.917
83711,79.794
86666,78.362
87779,82.483
97622,78.214
98134,79.947
98135,80.322
98136,79.388
98137,78.691
98138,80.875
98171,78.792
98172,74.936
98173,80.994
98245,79.878
98250,82.317
98251,78.438
98252,81.818
98253,81.422
98254,78.165
98255,81.943
98256,80.342
98257,82.117
98258,80.167
98259,79.991
98260,81.618
98261,81.075
98262,81.345
98263,80.938
98264,83.89
98265,83.835
98266,84.175
98267,78.995
98268,81.161
98269,81.31
98270,81.046
98271,77.963
98272,79.517
98273,80.69
98274,80.129
98275,80.563
98276,78.533
98277,78.928
98278,79.01
98279,82.09
98280,80.511
98281,79.807
98282,81.78
98283,81.303
98284,75.369
98285,77.786
98286,80.945
98287,81.174
98288,77.253
98289,79.029
98290,76.952
98291,80.529
98292,78.837
98293,80.475
98294,81.519
98295,81.471
98296,78.79
98297,81.396
98298,80.107
98299,80.543
98300,78.76
98301,79.23
98302,81.209
98303,80.682
98304,78.871
98305,82.097
98306,82.196
98307,78.66
98308,79.087
98309,81.452
98310,83.224
98311,78.923
98312,79.526
98313,80.729
98314,83.769
98315,79.629
98316,84.222
98317,78.983
98318,81.126
98319,80.84
98320,79.961
98321,81.78
98322,81.061
98323,77.949
98324,79.369
98325,79.564
98326,78.578
98327,80.004
98328,80.527
98329,79.268
98330,79.496
98331,80.7
98332,77.94
98333,78.194
98334,81.917
98335,81.426
98336,80.727
98337,77.312
98338,80.562
98339,79.181
98340,79.273
98341,79.549
98342,81.688
98343,75.017
98344,80.286
98345,82.494
98346,79.637
98347,80.854
98348,79.434
98349,82.735
98350,79.526
98351,79.217
98352,76.16
98353,77.538
98354,76.467
98355,81.342
98356,79.338
98357,82.275
98358,80.326
98359,75.986
98360,80.596
98361,80.1
98362,78.975
98363,79.506
98364,76.908
98365,78.517
98366,77.105
98367,80.544
98368,80.389
98369,79.044
98370,80.258
98371,80.137
98372,80.442
98373,82.948
98374,82.444
98375,81.391
98376,81.094
98377,79.817
98378,81.224
98379,82.353
98380,81.178
98381,78.086
98382,77.819
98383,80.914
98384,82.266
98385,78.392
98386,76.87
98387,80.619
98388,80.307
98389,79.107
98390,80.919
98391,79.228
98392,79.126
98393,77.942
98394,76.508
98395,80.222
98396,79.908
98397,79.327
98398,79.106
98399,77.7
98400,80.06
98401,78.834
98402,83.923
