Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct DoorDash Score
98293,77.797
98294,78.789
98295,80.721
98296,75.837
98297,81.13
98298,80.937
98299,74.252
98300,80.554
98301,73.464
98302,78.714
98303,79.566
98304,79.052
98305,82.367
98306,78.302
98307,77.567
98308,77.402
98309,76.606
98310,80.117
98311,77.51
98312,76.371
98313,78.855
98314,82.512
98315,77.759
98316,85.346
98317,78.981
98318,79.028
98319,79.292
98320,79.013
98321,79.405
98322,78.479
98323,76.907
98324,77.904
98325,79.229
98326,78.67
98327,76.89
98328,81.02
98329,77.435
98330,78.756
98331,78.267
98332,78.484
98333,74.994
98334,81.355
98335,80.078
98336,76.112
98337,80.702
98338,80.377
98339,74.508
98340,76.597
98341,80.262
98342,81.738
98343,73.855
98344,78.779
98345,79.412
98346,75.901
98347,75.828
98348,77.31
98349,79.527
98350,79.597
98351,75.305
98352,75.863
98353,80.793
98354,77.829
98355,77.608
98356,78.574
98357,81.362
98358,78.835
98359,75.921
98360,77.043
98361,80.411
98362,76.25
98363,76.848
98364,77.436
98365,76.085
98366,75.662
98367,79.387
98368,76.062
98369,77.255
98370,79.213
98371,79.222
98372,81.021
98373,81.279
98374,81.657
98375,81.243
98376,78.963
98377,81.419
98378,79.724
98379,80.051
98380,81.082
98381,78.901
98382,79.879
98383,79.492
98384,80.038
98385,78.532
98386,74.596
98387,76.033
98388,81.187
98389,80.98
98390,80.281
98391,79.652
98392,75.919
98393,77.162
98394,73.976
98395,78.751
98396,78.794
98397,75.666
98398,76.566
98399,74.29
98400,78.614
98401,79.778
98402,84.353
1747,78.932
1784,79.893
2476,78.888
2515,81.803
2517,79.263
2529,80.195
2538,81.823
2551,82.273
2553,81.88
2554,82.699
2555,79.632
2556,79.437
2577,81.877
2582,74.38
2583,80.991
2584,80.204
2585,82.005
2586,80.713
2587,81.247
2588,80.665
2589,82.919
2590,81.04
2591,80.323
2592,84.193
2594,80.95
2595,80.14
2597,84.839
2645,82.67
2654,82.255
2655,82.572
2656,81.748
2657,77.991
2658,81.105
2659,81.054
2660,80.623
2741,81.491
2766,79.615
2793,83.228
2810,78.884
2824,82.602
3002,81.784
3021,83.198
3093,81.624
3105,80.571
3113,76.497
3118,82.713
3120,81.018
3122,81.544
3123,79.315
3133,83.452
3134,83.761
3135,84.905
3136,75.504
3137,82.262
3138,78.247
3139,79.83
3140,81.761
3141,79.91
3142,82.579
3143,78.961
3144,80.722
3145,80.524
3146,78.625
3147,80.988
3148,79.756
3149,81.587
3150,82.283
3153,78.548
3155,76.727
3156,80.636
3157,79.654
3158,80.856
3159,80.803
3160,79.3
3161,83.358
3162,81.514
3186,84.197
3225,84.28
3315,80.558
3321,82.4
3332,79.031
5877,78.333
5981,83.093
6043,79.771
6078,81.391
6081,81.948
6082,80.277
6090,80.648
6127,85.297
6211,74.508
6213,81.12
6214,81.8
6231,80.685
6232,81.949
6233,83.753
6239,71.675
6240,80.191
6254,81.14
6255,83.14
6342,79.332
7630,81.085
7654,80.874
8890,84.831
8916,74.572
9028,79.689
9066,79.006
9445,77.293
9542,79.561
9546,84.375
9547,80.077
9583,82.071
9587,79.124
12037,79.643
12116,77.383
12122,82.26
12124,82.858
12141,76.768
12143,80.499
12149,83.436
12161,74.181
12252,81.574
12408,79.256
12409,82.246
12410,82.439
12418,82.921
12422,80.494
12435,80.574
12436,78.849
12437,79.748
12447,83.711
12448,82.828
12449,82.328
12450,80.261
12451,82.0
12452,81.617
12453,80.486
12454,81.019
12455,85.238
12456,84.712
12457,81.097
12458,78.715
12459,77.36
12460,82.16
12461,79.747
12462,82.314
12463,73.49
12464,84.466
12465,80.929
12466,81.946
12467,80.849
12468,80.197
12469,73.625
12470,84.602
12471,83.244
12472,81.589
12473,80.264
12474,77.928
12475,81.859
12476,81.85
12477,81.848
12478,82.239
12479,81.334
12480,82.561
12481,78.207
12482,82.321
12483,80.13
12484,79.419
12485,82.449
12486,81.675
12487,81.044
12488,80.294
12489,79.381
12490,81.028
12491,83.629
12492,80.568
12493,79.189
12494,78.434
12495,83.508
12496,79.179
12497,83.063
12498,83.131
12499,79.737
12500,78.866
12501,69.088
12502,80.895
12503,76.671
12504,80.162
12505,75.093
12506,77.786
12507,80.693
12508,81.488
12509,79.807
12510,80.237
12511,79.657
12512,80.453
12513,79.653
12514,84.827
12515,83.057
12516,82.016
12518,84.938
12519,81.639
12520,84.663
12521,81.026
12523,82.138
12525,85.758
12526,84.149
12527,83.674
12528,75.685
12529,83.982
12530,74.808
12531,77.586
12532,80.893
12533,81.101
12565,82.568
12656,79.444
12674,83.027
12687,76.241
12736,82.867
13078,79.601
13080,82.567
13146,77.009
13147,80.702
13148,82.222
13149,82.438
13150,83.999
13196,83.06
13382,80.538
13461,78.22
13475,81.9
13477,78.124
13537,82.486
13893,81.108
13897,81.67
14744,81.096
14862,81.374
14882,79.963
14890,82.259
14906,79.943
14907,81.104
14914,82.146
14916,79.748
14930,81.677
14932,75.365
14939,79.353
14947,80.757
15180,79.29
15240,80.205
15339,77.967
15419,80.476
15425,81.574
15426,81.521
15474,82.453
15519,80.01
15524,81.959
15589,80.696
15679,75.143
15743,77.353
16036,80.203
16039,77.253
16064,85.718
