Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct DoorDash Score
98282,81.415
98283,80.519
98284,78.305
98285,76.895
98286,80.389
98287,80.226
98288,76.181
98289,79.285
98290,78.526
98291,80.703
98292,79.304
98293,78.184
98294,78.766
98295,79.582
98296,75.983
98297,80.277
98298,78.919
98299,75.126
98300,82.129
98301,77.334
98302,79.534
98303,79.566
98304,78.991
98305,82.217
98306,78.385
98307,80.257
98308,77.537
98309,78.095
98310,80.575
98311,78.533
98312,75.057
98313,80.996
98314,82.533
98315,78.5
98316,85.258
98317,79.334
98318,78.747
98319,77.785
98320,78.85
98321,79.449
98322,78.396
98323,77.465
98324,76.375
98325,79.497
98326,77.6
98327,76.4
98328,80.821
98329,77.551
98330,79.033
98331,78.155
98332,78.627
98333,74.491
98334,81.25
98335,79.069
98336,75.442
98337,79.071
98338,79.663
98339,75.093
98340,77.122
98341,81.15
98342,81.839
98343,73.983
98344,78.779
98345,79.819
98346,79.59
98347,76.959
98348,70.42
98349,78.636
98350,79.511
98351,75.198
98352,72.849
98353,80.427
98354,77.378
98355,77.427
98356,77.845
98357,81.266
98358,79.439
98359,77.147
98360,77.855
98361,80.13
98362,76.568
98363,77.4
98364,76.346
98365,76.852
98366,77.34
98367,79.67
98368,76.932
98369,79.002
98370,79.135
98371,77.805
98372,81.877
98373,83.185
98374,80.348
98375,81.416
98376,79.962
98377,79.427
98378,79.178
98379,80.222
98380,81.493
98381,76.207
98382,80.286
98383,79.298
98384,80.178
98385,76.926
98386,76.454
98387,76.26
98388,81.653
98389,80.315
98390,80.689
98391,79.25
98392,76.568
98393,76.859
98394,73.96
98395,81.316
98396,80.271
98397,75.675
98398,75.56
98399,74.771
98400,78.718
98401,79.778
98402,84.719
1747,80.135
1784,80.643
2476,77.432
2515,82.114
2517,79.549
2529,79.555
2538,81.578
2551,81.752
2553,82.236
2554,82.785
2555,79.732
2556,79.437
2577,82.041
2582,71.181
2583,82.003
2584,81.117
2585,81.001
2586,80.774
2587,81.138
2588,77.744
2589,83.112
2590,81.14
2591,81.077
2592,84.109
2594,80.722
2595,80.954
2597,84.698
2645,82.253
2654,82.826
2655,82.389
2656,81.279
2657,79.959
2658,79.981
2659,80.637
2660,80.891
2741,80.541
2766,79.726
2793,81.927
2810,79.467
2824,82.602
3002,82.813
3021,83.67
3093,81.519
3105,80.907
3113,76.215
3118,82.932
3120,81.565
3122,81.012
3123,78.682
3133,83.663
3134,83.986
3135,71.497
3136,79.87
3137,82.223
3138,78.531
3139,80.679
3140,81.459
3141,80.814
3142,82.477
3143,79.667
3144,80.546
3145,79.398
3146,79.377
3147,80.724
3148,80.176
3149,81.672
3150,81.639
3153,77.844
3155,77.8
3156,80.572
3157,79.595
3158,80.258
3159,81.409
3160,79.387
3161,80.783
3162,81.514
3186,83.939
3225,80.89
3315,80.907
3321,82.691
3332,80.399
5877,67.014
5981,82.47
6043,80.728
6078,80.462
6081,81.499
6082,78.767
6090,80.162
6127,85.252
6211,82.075
6213,80.804
6214,80.548
6231,79.859
6232,80.703
6233,83.487
6239,73.807
6240,82.42
6254,81.281
6255,83.095
6342,80.199
7630,81.085
7654,81.086
8890,84.796
8916,75.13
9028,79.581
9066,79.113
9445,81.625
9542,80.152
9546,83.005
9547,81.47
9583,82.122
9587,78.472
12037,80.038
12116,76.226
12122,81.881
12124,83.092
12141,77.44
12143,80.017
12149,81.809
12161,74.281
12252,81.452
12408,79.149
12409,82.113
12410,82.179
12418,83.21
12422,80.611
12435,80.853
12436,78.596
12437,80.033
12447,84.049
12448,83.011
12449,82.092
12450,79.727
12451,81.882
12452,81.841
12453,79.899
12454,81.408
12455,85.298
12456,84.337
12457,81.951
12458,80.658
12459,77.949
12460,82.34
12461,79.752
12462,82.296
12463,72.976
12464,85.089
12465,81.735
12466,82.262
12467,81.125
12468,79.081
12469,73.743
12470,86.24
12471,83.562
12472,79.982
12473,80.346
12474,78.017
12475,81.132
12476,80.815
12477,83.007
12478,82.062
12479,82.233
12480,81.458
12481,78.615
12482,82.062
12483,79.807
12484,78.645
12485,82.605
12486,81.367
12487,81.039
12488,80.304
12489,77.325
12490,81.134
12491,79.588
12492,82.463
12493,79.372
12494,78.654
12495,83.465
12496,78.212
12497,83.286
12498,77.576
12499,78.966
12500,78.558
12501,76.621
12502,81.521
12503,76.779
12504,80.377
12505,75.093
12506,78.37
12507,79.701
12508,81.056
12509,79.87
12510,81.999
12511,79.924
12512,80.631
12513,79.815
12514,84.881
12515,83.433
12516,82.679
12518,85.051
12519,80.965
12520,84.602
12521,80.959
12523,79.602
12525,85.861
12526,83.69
12527,81.077
12528,76.434
12529,83.615
12530,82.211
12531,78.14
12532,81.473
12533,80.848
12565,82.631
12656,80.0
12674,82.259
12687,76.634
12736,83.83
13078,79.84
13080,81.892
13146,76.715
13147,81.355
13148,82.059
13149,82.495
13150,83.777
13196,83.544
13382,76.597
13461,78.757
13475,81.482
13477,76.525
13537,82.82
13893,81.344
13897,81.834
14744,81.736
14862,81.671
14882,80.459
14890,82.313
14906,80.937
14907,81.075
14914,81.916
14916,77.052
14930,81.593
14932,75.322
14939,79.136
14947,80.157
15180,79.245
15240,81.811
15339,79.06
15419,79.996
15425,82.085
15426,80.067
15474,82.378
15519,79.245
15524,81.47
15589,80.621
15679,75.65
15743,76.219
16036,82.092
16039,77.646
16064,85.58
