Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct DoorDash Score
98351,76.849
98352,76.198
98353,80.202
98354,77.665
98355,78.308
98356,77.483
98357,80.766
98358,79.076
98359,73.839
98360,76.075
98361,80.64
98362,80.703
98363,78.398
98364,78.367
98365,78.843
98366,69.403
98367,78.807
98368,75.496
98369,75.49
98370,79.587
98371,80.74
98372,80.484
98373,80.309
98374,82.424
98375,81.431
98376,78.674
98377,81.681
98378,81.82
98379,80.679
98380,81.089
98381,77.903
98382,80.799
98383,79.643
98384,80.91
98385,78.734
98386,74.981
98387,79.127
98388,82.484
98389,82.056
98390,81.19
98391,81.118
98392,79.378
98393,79.542
98394,74.159
98395,79.596
98396,78.414
98397,75.885
98398,76.74
98399,73.213
98400,78.717
98401,79.259
98402,83.554
1747,80.047
1784,80.261
2476,77.41
2515,82.15
2517,80.378
2529,81.575
2538,83.375
2551,81.056
2553,82.036
2554,83.626
2555,81.531
2556,79.742
2577,83.146
2582,70.439
2583,79.693
2584,79.868
2585,82.949
2586,81.809
2587,80.972
2588,82.468
2589,83.433
2590,83.705
2591,80.15
2592,85.39
2594,77.795
2595,80.492
2597,81.589
2645,82.052
2654,82.701
2655,82.461
2656,82.305
2657,77.991
2658,80.572
2659,80.811
2660,82.904
2741,79.821
2766,80.567
2793,81.889
2810,78.498
2824,83.386
3002,81.837
3021,83.23
3093,81.729
3105,81.055
3113,76.154
3118,82.833
3120,81.087
3122,82.031
3123,79.17
3133,82.746
3134,84.459
3135,84.549
3136,82.26
3137,82.497
3138,79.371
3139,79.611
3140,81.395
3141,82.343
3142,82.851
3143,81.126
3144,81.091
3145,79.641
3146,78.966
3147,82.853
3148,80.454
3149,82.241
3150,82.251
3153,79.524
3155,78.422
3156,79.323
3157,80.018
3158,82.226
3159,81.428
3160,80.34
3161,83.811
3162,81.594
3186,81.882
3225,84.295
3315,76.88
3321,82.953
3332,81.324
5877,78.813
5981,82.335
6043,74.686
6078,81.823
6081,82.853
6082,80.536
6090,78.249
6127,84.347
6211,77.099
6213,82.616
6214,82.156
6231,81.903
6232,80.863
6233,84.338
6239,78.201
6240,83.927
6254,82.546
6255,81.389
6342,79.203
7630,80.779
7654,80.813
8890,81.613
8916,76.417
9028,79.653
9066,79.846
9445,82.101
9542,81.066
9546,84.556
9547,80.269
9583,82.459
9587,77.2
12037,80.294
12116,77.385
12122,81.681
12124,83.537
12141,80.198
12143,80.091
12149,83.997
12161,75.57
12252,83.521
12408,80.005
12409,81.449
12410,81.744
12418,84.277
12422,80.737
12435,81.785
12436,79.032
12437,80.202
12447,83.787
12448,84.178
12449,83.499
12450,80.363
12451,81.336
12452,81.16
12453,79.725
12454,83.627
12455,84.296
12456,83.518
12457,82.327
12458,78.632
12459,76.96
12460,83.277
12461,80.967
12462,81.758
12463,73.877
12464,84.275
12465,80.768
12466,81.453
12467,80.745
12468,80.519
12469,74.389
12470,84.902
12471,83.415
12472,79.629
12473,80.282
12474,78.502
12475,81.314
12476,82.541
12477,82.593
12478,83.519
12479,80.471
12480,82.213
12481,77.743
12482,83.898
12483,80.65
12484,79.044
12485,82.919
12486,81.229
12487,84.245
12488,81.337
12489,76.584
12490,82.949
12491,84.08
12492,81.668
12493,79.302
12494,79.131
12495,84.693
12496,80.48
12497,83.002
12498,83.077
12499,80.146
12500,78.929
12501,75.799
12502,80.147
12503,76.08
12504,81.056
12505,71.154
12506,79.399
12507,80.48
12508,81.592
12509,80.368
12510,81.231
12511,80.233
12512,80.736
12513,79.759
12514,81.995
12515,82.071
12516,81.443
12518,86.014
12519,81.729
12520,84.54
12521,83.129
12523,82.51
12525,86.37
12526,83.453
12527,82.001
12528,79.358
12529,85.914
12530,80.47
12531,76.548
12532,81.775
12533,81.353
12565,83.317
12656,82.786
12674,83.825
12687,76.588
12736,82.665
13078,81.367
13080,83.59
13146,77.139
13147,81.287
13148,83.12
13149,82.957
13150,85.8
13196,82.9
13382,81.485
13461,78.25
13475,81.373
13477,79.024
13537,82.513
13893,79.713
13897,82.003
14744,80.807
14862,81.535
14882,80.714
14890,82.509
14906,80.295
14907,80.659
14914,80.554
14916,81.044
14930,81.996
14932,75.396
14939,79.657
14947,80.342
15180,79.532
15240,80.875
15339,79.958
15419,80.309
15425,82.815
15426,80.585
15474,82.129
15519,80.636
15524,82.02
15589,80.627
15679,73.016
15743,77.731
16036,80.459
16039,81.036
16064,86.112
