Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo DoorDash Score
3146,77.507
3147,81.033
3148,79.989
3149,80.913
3150,82.55
3153,79.336
3155,75.248
3156,79.348
3157,79.666
3158,79.583
3159,80.891
3160,79.644
3161,82.957
3162,81.968
3186,81.489
3225,81.214
3315,78.443
3321,82.152
3332,77.13
5877,77.337
5981,83.345
6043,80.847
6078,81.933
6081,82.06
6082,80.344
6090,81.005
6127,84.355
6211,80.142
6213,83.732
6214,79.428
6231,81.135
6232,80.275
6233,81.459
6239,78.146
6240,81.644
6254,80.432
6255,80.066
6342,80.395
7630,79.104
7654,79.012
8890,77.725
8916,74.997
9028,79.934
9066,77.232
9445,80.125
9542,78.386
9546,82.822
9547,79.799
9583,81.103
9587,78.771
12037,80.742
12116,76.505
12122,81.7
12124,81.219
12141,80.694
12143,77.795
12149,81.51
12161,76.449
12252,81.738
12408,78.475
12409,81.488
12410,82.957
12418,80.498
12422,81.197
12435,81.196
12436,78.01
12437,76.434
12447,82.611
12448,82.993
12449,79.328
12450,78.839
12451,79.933
12452,80.006
12453,80.766
12454,79.542
12455,84.45
12456,80.902
12457,81.978
12458,78.663
12459,79.958
12460,82.625
12461,76.689
12462,77.964
12463,74.213
12464,83.645
12465,80.076
12466,80.014
12467,80.844
12468,78.889
12469,74.243
12470,81.11
12471,81.441
12472,80.873
12473,81.034
12474,79.283
12475,78.511
12476,80.358
12477,79.61
12478,81.113
12479,78.669
12480,82.34
12481,79.546
12482,81.688
12483,78.796
12484,78.785
12485,80.249
12486,81.672
12487,83.672
12488,79.429
12489,77.071
12490,79.01
12491,81.524
12492,81.788
12493,76.197
12494,78.938
12495,82.624
12496,78.651
12497,82.986
12498,82.831
12499,80.269
12500,79.591
12501,74.668
12502,78.813
12503,76.572
12504,81.996
12505,75.617
12506,81.53
12507,78.869
12508,81.399
12509,78.733
12510,78.436
12511,80.13
12512,80.972
12513,79.701
12514,84.518
12515,81.976
12516,81.958
12518,84.472
12519,80.495
12520,83.35
12521,81.996
12523,80.281
12525,85.794
12526,83.992
12527,81.725
12528,79.291
12529,84.709
12530,79.133
12531,76.304
12532,81.227
12533,80.31
12565,84.821
12656,80.904
12674,82.101
12687,79.865
12736,82.132
13078,78.985
13080,82.51
13146,78.891
13147,81.496
13148,82.532
13149,83.178
13150,80.908
13196,82.764
13382,79.168
13461,79.002
13475,81.069
13477,80.369
13537,82.54
13893,79.02
13897,79.46
14744,80.045
14862,81.687
14882,82.449
14890,81.391
14906,79.899
14907,81.748
14914,80.57
14916,79.947
14930,81.561
14932,74.628
14939,76.688
14947,79.799
15180,78.961
15240,79.513
15339,79.998
15419,80.526
15425,82.022
15426,79.593
15474,81.555
15519,78.464
15524,82.72
15589,77.869
15679,76.038
15743,78.113
16036,80.786
16039,81.454
16064,84.705
