Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo DoorDash Score
56646,73.679
56647,76.66
56648,78.358
56649,77.258
56650,74.59
56651,74.47
56652,78.291
56653,75.93
56654,78.432
56656,74.764
56657,73.174
56661,76.717
56662,76.055
56725,75.809
56795,71.62
56796,73.193
56797,76.876
56798,73.885
56799,73.647
56800,78.251
56801,74.721
56802,75.555
56803,79.882
56804,77.54
56805,78.003
56807,79.923
56809,77.887
56859,75.876
56860,76.213
56861,76.083
56862,79.205
57384,81.17
57400,83.473
62042,80.334
63086,79.12
63087,78.091
83710,79.987
83711,76.224
86666,77.242
87779,79.619
97622,77.863
98134,77.142
98135,78.799
98136,76.21
98137,75.19
98138,78.716
98171,77.177
98172,73.16
98173,77.494
98245,75.958
98250,81.743
98251,76.195
98252,75.964
98253,79.235
98254,74.821
98255,78.881
98256,77.165
98257,81.848
98258,77.602
98259,79.337
98260,77.805
98261,81.424
98262,78.151
98263,74.327
98264,80.115
98265,80.841
98266,82.295
98267,76.47
98268,77.911
98269,77.463
98270,79.273
98271,76.144
98272,79.764
98273,77.165
98274,79.023
98275,78.628
98276,79.049
98277,78.272
98278,77.119
98279,79.001
98280,78.244
98281,78.652
98282,78.696
98283,84.208
98284,79.015
98285,77.137
98286,80.179
98287,80.725
98288,77.698
98289,75.668
98290,72.888
98291,78.46
98292,79.809
98293,78.028
98294,77.259
98295,78.815
98296,77.078
98297,80.2
98298,80.394
98299,76.868
98300,76.767
98301,74.404
98302,80.203
98303,78.532
98304,78.04
98305,82.86
98306,79.116
98307,76.038
98308,77.754
98309,79.844
98310,79.734
98311,78.362
98312,77.916
98313,78.798
98314,80.537
98315,77.061
98316,85.151
98317,75.075
98318,78.183
98319,80.126
98320,78.907
98321,77.481
98322,75.653
98323,78.597
98324,77.345
98325,78.917
98326,77.436
98327,76.08
98328,80.599
98329,79.511
98330,82.416
98331,75.869
98332,76.856
98333,72.909
98334,74.902
98335,78.586
98336,76.635
98337,78.057
98338,78.586
98339,75.013
98340,75.457
98341,79.52
98342,82.885
98343,73.008
98344,78.412
98345,78.144
98346,75.272
98347,78.4
98348,76.975
98349,77.541
98350,78.584
98351,79.603
98352,74.853
98353,76.213
98354,76.037
98355,78.229
98356,77.988
98357,78.571
98358,77.847
98359,74.413
98360,76.028
98361,79.682
98362,76.89
98363,76.696
98364,73.845
98365,76.389
98366,75.826
98367,80.728
98368,76.914
98369,77.149
98370,79.84
98371,78.672
98372,79.206
98373,77.433
98374,81.185
98375,77.148
98376,78.725
98377,77.397
98378,78.815
98379,80.53
98380,81.156
98381,74.924
98382,76.878
98383,79.879
98384,80.185
98385,76.401
98386,77.143
98387,72.644
98388,80.918
98389,79.805
98390,81.11
98391,78.478
98392,76.254
98393,75.632
98394,74.191
98395,78.942
98396,77.091
98397,78.345
98398,77.895
98399,73.753
98400,75.754
98401,79.092
98402,82.018
