,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_google_ux_Score
29788,0.52268493,0.76134247,0.5114053,0.7557026,0.4321712,0.7160856,0.47401303,0.73700655,0.5538571,0.77692854,0.64317316,0.8215866,0.6420603,0.82103014,0.5964178,0.7982089,0.61692166,0.80846083,0.6527115,0.82635576
29835,0.6443127,0.8221563,0.67066157,0.8353308,0.548741,0.7743705,0.5948613,0.79743063,0.6524543,0.8262272,0.76870716,0.8843536,0.7444093,0.87220466,0.7852651,0.89263254,0.77933663,0.88966835,0.79450506,0.89725256
30606,0.5499507,0.77497536,0.50466293,0.7523315,0.52157634,0.7607882,0.52556914,0.7627846,0.5488342,0.7744171,0.6556151,0.82780755,0.55822307,0.7791115,0.60338134,0.8016907,0.6698322,0.8349161,0.6626748,0.8313374
30845,0.6909011,0.8454505,0.6375865,0.81879324,0.59840095,0.7992005,0.6167347,0.8083674,0.7144073,0.85720366,0.86309874,0.9315494,0.7485188,0.8742594,0.8022263,0.90111315,0.7885965,0.89429826,0.8344159,0.91720796
32072,0.77848893,0.88924444,0.7322241,0.86611205,0.72785664,0.8639283,0.6956998,0.8478499,0.74909884,0.8745494,0.82632077,0.9131604,0.7385943,0.86929715,0.8261517,0.91307586,0.7704947,0.88524735,0.799011,0.8995055
46443,0.6894895,0.84474474,0.7327845,0.86639225,0.648324,0.824162,0.6711675,0.83558375,0.7399452,0.8699726,0.7856777,0.89283884,0.74351573,0.87175786,0.8255408,0.9127704,0.79874206,0.899371,0.8351716,0.9175858
46506,0.42263937,0.7113197,0.47256345,0.73628175,0.39386934,0.6969347,0.4485116,0.7242558,0.4640249,0.73201245,0.5202434,0.7601217,0.46966988,0.7348349,0.55136824,0.7756841,0.5865613,0.79328066,0.58024156,0.7901208
50300,0.7181978,0.8590989,0.6833863,0.84169316,0.6840216,0.8420108,0.6000062,0.8000031,0.75496066,0.8774803,0.83624077,0.9181204,0.7625381,0.88126904,0.78199375,0.8909969,0.76230824,0.8811541,0.84178513,0.9208926
51419,0.61569977,0.8078499,0.6249374,0.8124687,0.55522615,0.77761304,0.5895943,0.7947972,0.60420585,0.8021029,0.695266,0.847633,0.678424,0.839212,0.7089406,0.8544703,0.7189329,0.85946643,0.7340822,0.8670411
53971,0.6224443,0.81122214,0.6132538,0.8066269,0.5442859,0.77214295,0.56559926,0.7827996,0.6591952,0.8295976,0.7063705,0.85318524,0.7202,0.86010003,0.7135657,0.85678285,0.7396316,0.8698158,0.7357986,0.8678993
53972,0.59420776,0.7971039,0.6213374,0.8106687,0.52613163,0.7630658,0.57401615,0.78700805,0.5978921,0.798946,0.6617254,0.8308627,0.64888537,0.8244427,0.6921021,0.84605104,0.690441,0.8452205,0.6790178,0.8395089
53973,0.63992596,0.819963,0.59881353,0.79940677,0.5605209,0.78026044,0.59376335,0.7968817,0.6745542,0.8372771,0.7866826,0.8933413,0.7255852,0.8627926,0.75720286,0.87860143,0.75368714,0.8768436,0.79505795,0.897529
53974,0.59532005,0.79766,0.5749748,0.7874874,0.5246035,0.76230174,0.5772046,0.7886023,0.63987327,0.81993663,0.7043315,0.85216576,0.6893541,0.8446771,0.6734296,0.8367148,0.71267986,0.85633993,0.71759117,0.8587956
53975,0.6222024,0.8111012,0.573604,0.786802,0.56575763,0.7828788,0.5827769,0.79138845,0.63804436,0.8190222,0.76940185,0.8847009,0.6609019,0.83045095,0.6869113,0.8434557,0.74287134,0.87143564,0.73616064,0.8680803
53976,0.5441395,0.77206975,0.51958466,0.7597923,0.48797587,0.7439879,0.48926258,0.7446313,0.5632919,0.78164595,0.6655977,0.83279884,0.658859,0.8294295,0.61248386,0.8062419,0.68878484,0.8443924,0.69376117,0.84688056
53977,0.7439634,0.87198174,0.6626242,0.83131206,0.6104341,0.805217,0.63129365,0.8156468,0.7282828,0.8641414,0.7928414,0.8964207,0.74138117,0.8706906,0.76468956,0.8823448,0.7484755,0.8742378,0.7747074,0.88735366
53978,0.71603006,0.85801506,0.6574359,0.82871795,0.62758124,0.8137906,0.59906805,0.799534,0.7557534,0.8778767,0.84399354,0.9219968,0.75044155,0.8752208,0.7819116,0.8909558,0.7676201,0.88381004,0.83803797,0.919019
53979,0.74206793,0.87103397,0.67024565,0.8351228,0.64485323,0.8224266,0.6249272,0.81246364,0.75629896,0.8781495,0.85790336,0.9289517,0.7502914,0.8751457,0.8078412,0.9039206,0.7673056,0.8836528,0.8074841,0.9037421
53981,0.5804384,0.7902192,0.56609255,0.78304625,0.49711865,0.74855936,0.5581127,0.7790563,0.59341216,0.7967061,0.6902729,0.84513646,0.6817833,0.84089166,0.6696328,0.8348164,0.6811298,0.8405649,0.69389206,0.846946
54796,0.6809659,0.84048295,0.65838206,0.829191,0.5554774,0.7777387,0.61787236,0.8089362,0.6352935,0.81764674,0.7251535,0.8625767,0.7041781,0.85208905,0.753366,0.876683,0.7363126,0.8681563,0.74310124,0.8715506
54797,0.7089685,0.85448426,0.68682265,0.8434113,0.67382467,0.83691233,0.6136031,0.80680156,0.74027014,0.87013507,0.8405576,0.9202788,0.71747935,0.8587397,0.80585074,0.9029254,0.73783517,0.8689176,0.7831606,0.89158034
54798,0.653656,0.826828,0.6638367,0.83191836,0.56080496,0.7804025,0.5934291,0.79671454,0.6748347,0.83741736,0.77078503,0.88539255,0.7308668,0.8654334,0.7277976,0.8638988,0.7762828,0.8881414,0.77673376,0.8883669
54799,0.51683897,0.7584195,0.56573594,0.78286797,0.4482944,0.7241472,0.51777804,0.758889,0.5555614,0.7777807,0.631466,0.81573296,0.64132607,0.82066303,0.6368239,0.81841195,0.72030175,0.8601509,0.71105325,0.8555266
54800,0.6018673,0.80093366,0.6133925,0.80669624,0.5456403,0.7728201,0.55793166,0.77896583,0.6405543,0.82027715,0.6915121,0.84575605,0.74258256,0.8712913,0.6993022,0.8496511,0.71789616,0.8589481,0.73803556,0.8690178
56453,0.6553078,0.8276539,0.65061677,0.8253084,0.6020597,0.80102986,0.57837003,0.78918505,0.6987929,0.84939647,0.7331614,0.8665807,0.77187955,0.8859398,0.7151102,0.8575551,0.76469207,0.88234603,0.7653134,0.8826567
56528,0.5790949,0.78954744,0.54708534,0.77354264,0.47150564,0.7357528,0.53495085,0.7674754,0.59080434,0.79540217,0.6598537,0.82992685,0.6351199,0.81755996,0.6220958,0.8110479,0.67318803,0.836594,0.655553,0.8277765
56542,0.65710974,0.82855487,0.6215885,0.81079423,0.5632199,0.78160995,0.6257142,0.8128571,0.65667224,0.8283361,0.7767728,0.88838637,0.6919603,0.84598017,0.77351856,0.8867593,0.72600293,0.86300147,0.77154076,0.8857704
56543,0.59091496,0.7954575,0.5724906,0.7862453,0.50071496,0.7503575,0.50755596,0.753778,0.6117293,0.8058647,0.65273005,0.826365,0.6685484,0.8342742,0.63321936,0.8166097,0.660787,0.8303935,0.64605445,0.82302725
56544,0.6290174,0.8145087,0.6248715,0.81243575,0.57750976,0.7887549,0.6187586,0.80937934,0.64464796,0.822324,0.73130965,0.8656548,0.6971624,0.8485812,0.7055251,0.8527626,0.72416055,0.8620803,0.77053475,0.8852674
56545,0.5344448,0.7672224,0.5928913,0.7964456,0.46845078,0.7342254,0.5262277,0.76311386,0.4953052,0.7476526,0.48741728,0.7437086,0.5127268,0.7563634,0.59908724,0.7995436,0.5788177,0.78940886,0.5237332,0.76186657
56618,0.6708275,0.83541375,0.7032217,0.85161084,0.617733,0.8088665,0.6295707,0.81478536,0.67890847,0.83945423,0.7403997,0.87019986,0.7260674,0.8630337,0.79676306,0.89838153,0.7887112,0.8943556,0.7592286,0.8796143
56619,0.5960566,0.7980283,0.6000488,0.8000244,0.5121989,0.75609946,0.57405055,0.7870253,0.61647373,0.80823684,0.7046751,0.85233754,0.6838042,0.84190214,0.6768241,0.83841205,0.69044745,0.8452237,0.71836084,0.85918045
56629,0.7421237,0.87106186,0.69800323,0.84900165,0.62245715,0.8112286,0.6414621,0.82073104,0.7642466,0.8821233,0.8521184,0.9260592,0.7826569,0.89132845,0.85103947,0.9255197,0.76735234,0.8836762,0.82843506,0.91421753
56630,0.6658675,0.8329338,0.65613127,0.82806563,0.54758257,0.7737913,0.5885344,0.7942672,0.66442853,0.83221424,0.76081616,0.88040805,0.7572689,0.87863445,0.76084816,0.8804241,0.755249,0.8776245,0.79301643,0.8965082
56631,0.5635419,0.78177094,0.57767564,0.7888378,0.49907994,0.74954,0.5621949,0.7810974,0.58510697,0.7925535,0.6487948,0.8243974,0.61747885,0.8087394,0.6536735,0.82683676,0.70128834,0.8506442,0.72047305,0.8602365
56632,0.7015088,0.8507544,0.676931,0.8384655,0.60739803,0.803699,0.6119297,0.8059648,0.7224477,0.8612238,0.8393542,0.91967714,0.8175224,0.9087612,0.8182796,0.9091398,0.79742754,0.89871377,0.86757183,0.9337859
56633,0.66461134,0.83230567,0.60251117,0.8012556,0.5757374,0.78786874,0.5491413,0.77457064,0.6456956,0.82284784,0.73974776,0.8698739,0.6985194,0.84925973,0.69949996,0.84975,0.6910827,0.84554136,0.74908984,0.8745449
56634,0.5032601,0.75163007,0.5088725,0.75443625,0.43076614,0.71538305,0.45667702,0.7283385,0.5330043,0.76650214,0.62567776,0.8128389,0.6183805,0.8091903,0.60992455,0.8049623,0.67237586,0.83618796,0.67092466,0.83546233
56635,0.5601747,0.78008735,0.6028068,0.8014034,0.5175768,0.7587884,0.5189568,0.7594784,0.60108477,0.80054235,0.7216091,0.86080456,0.68332684,0.8416634,0.685992,0.842996,0.6828685,0.84143424,0.72844553,0.86422276
56637,0.6539873,0.82699364,0.6241051,0.81205255,0.5422632,0.77113163,0.60909945,0.8045497,0.6943655,0.84718275,0.7801113,0.89005566,0.74356866,0.8717843,0.7640343,0.88201714,0.7434827,0.87174135,0.785915,0.8929575
56638,0.69483733,0.84741867,0.7140807,0.85704035,0.617109,0.80855453,0.63374245,0.8168712,0.73786354,0.8689318,0.7612674,0.8806337,0.7792828,0.8896414,0.7856079,0.8928039,0.7468874,0.8734437,0.7810174,0.8905087
56639,0.6099038,0.8049519,0.6328989,0.81644946,0.5413338,0.7706669,0.5547868,0.7773934,0.68748176,0.8437409,0.75428927,0.87714463,0.78604263,0.89302135,0.73136336,0.86568165,0.74440247,0.8722012,0.7911406,0.8955703
56641,0.58857787,0.79428893,0.55488646,0.77744323,0.5104581,0.75522906,0.5416535,0.77082676,0.6196116,0.8098058,0.7240412,0.8620206,0.7138155,0.8569077,0.6661216,0.8330608,0.6973916,0.8486958,0.758322,0.879161
56642,0.60656995,0.803285,0.58471334,0.79235667,0.50419647,0.7520982,0.5408532,0.77042663,0.6000674,0.8000337,0.6763834,0.8381917,0.690479,0.8452395,0.66726506,0.8336325,0.7054634,0.8527317,0.7017999,0.85089993
56643,0.73767376,0.8688369,0.68409944,0.8420497,0.66482675,0.8324134,0.6487669,0.82438344,0.6905674,0.8452837,0.724545,0.8622725,0.6127981,0.80639905,0.7496528,0.87482643,0.72443473,0.86221737,0.69312054,0.84656024
56644,0.5891934,0.7945967,0.59605503,0.7980275,0.5104736,0.7552368,0.55728877,0.7786444,0.5887944,0.79439723,0.6461158,0.8230579,0.67206585,0.8360329,0.66783684,0.83391845,0.7027771,0.8513886,0.68707156,0.8435358
56645,0.62404823,0.8120241,0.63350344,0.8167517,0.5563923,0.77819616,0.62360966,0.81180483,0.62863064,0.8143153,0.6805444,0.8402722,0.66761863,0.8338093,0.7398662,0.8699331,0.7150086,0.8575043,0.7272749,0.86363745
56646,0.5496909,0.7748455,0.5676973,0.78384864,0.4581973,0.7290987,0.5468399,0.77342,0.5753891,0.7876946,0.6309157,0.8154578,0.6597676,0.8298838,0.6495677,0.82478386,0.6763536,0.8381768,0.6645508,0.8322754
56647,0.65185136,0.8259257,0.6658478,0.8329239,0.5762441,0.78812206,0.62649006,0.81324506,0.68311095,0.8415555,0.7341977,0.8670988,0.7335974,0.8667987,0.7351406,0.8675703,0.73159033,0.86579514,0.753869,0.8769345
56648,0.67385566,0.83692783,0.61096704,0.8054835,0.56935817,0.78467906,0.62217945,0.81108975,0.6444181,0.82220906,0.7224709,0.86123544,0.68977445,0.84488726,0.71107286,0.85553646,0.7012354,0.8506177,0.71118724,0.8555936
56649,0.6113899,0.80569494,0.61314416,0.8065721,0.5374725,0.76873624,0.57310015,0.78655005,0.60122406,0.80061203,0.65529203,0.827646,0.5897975,0.79489875,0.6405074,0.82025373,0.6816938,0.8408469,0.6510497,0.8255248
56650,0.72143817,0.8607191,0.6972258,0.8486129,0.62899125,0.8144956,0.6301284,0.8150642,0.75742567,0.87871283,0.8146311,0.90731555,0.8070002,0.9035001,0.7949091,0.89745456,0.77557486,0.88778746,0.8214482,0.9107241
56651,0.6148864,0.8074432,0.5631679,0.78158396,0.5381417,0.76907086,0.51091653,0.75545824,0.64690876,0.8234544,0.7765955,0.88829774,0.7338343,0.86691713,0.7074728,0.8537364,0.7105936,0.8552968,0.77998793,0.88999397
56652,0.6886239,0.84431195,0.6987221,0.84936106,0.57896227,0.78948116,0.6191052,0.8095526,0.71535385,0.8576769,0.77902484,0.8895124,0.7427629,0.87138146,0.77460265,0.8873013,0.75467587,0.87733793,0.7712884,0.8856442
56653,0.52406514,0.76203257,0.5329268,0.7664634,0.46811578,0.7340579,0.45321,0.726605,0.5509198,0.7754599,0.6371634,0.8185817,0.62853587,0.81426793,0.61066973,0.80533487,0.6354261,0.817713,0.63491315,0.8174566
56654,0.72976965,0.86488485,0.69526803,0.847634,0.64887625,0.8244381,0.6433749,0.82168746,0.7494695,0.87473476,0.85456514,0.9272826,0.7678747,0.88393736,0.80857724,0.90428865,0.8059888,0.9029944,0.8442422,0.9221211
56656,0.62216055,0.8110803,0.6243719,0.81218594,0.5576545,0.77882725,0.5555663,0.77778316,0.6902086,0.84510434,0.72853506,0.8642675,0.7348528,0.8674264,0.7046052,0.8523026,0.7226186,0.8613093,0.7528386,0.8764193
56657,0.53013194,0.76506597,0.47919217,0.73959607,0.424765,0.7123825,0.44628957,0.72314477,0.56782067,0.78391033,0.69948924,0.8497446,0.66081625,0.8304081,0.59904885,0.7995244,0.64632297,0.8231615,0.7058289,0.85291445
56661,0.7581024,0.8790512,0.74122083,0.8706104,0.6393702,0.8196851,0.652462,0.826231,0.7488619,0.87443095,0.82202935,0.9110147,0.75188375,0.8759419,0.80983555,0.9049178,0.80267525,0.9013376,0.8241563,0.91207814
56662,0.6688956,0.8344478,0.6691215,0.83456075,0.574244,0.787122,0.65422374,0.82711184,0.6530547,0.82652736,0.7446475,0.87232375,0.6824297,0.84121484,0.7884411,0.8942206,0.79117227,0.89558613,0.7720638,0.88603187
56725,0.7001645,0.8500823,0.65419376,0.8270969,0.60524386,0.80262196,0.62311065,0.8115553,0.70948774,0.85474384,0.81185853,0.90592927,0.7649437,0.88247186,0.7872616,0.8936308,0.7490413,0.87452066,0.8202595,0.9101298
56795,0.63514036,0.8175702,0.66070056,0.8303503,0.5824437,0.79122186,0.59770614,0.79885304,0.686989,0.84349453,0.7324332,0.8662166,0.77382994,0.88691497,0.77423143,0.8871157,0.7676976,0.8838488,0.77398646,0.8869932
56796,0.59697366,0.7984868,0.60932267,0.80466133,0.53500485,0.7675024,0.5558591,0.77792954,0.6910757,0.84553784,0.766811,0.8834055,0.7705675,0.8852837,0.74735653,0.87367827,0.7336036,0.8668018,0.78127074,0.8906354
56797,0.65794307,0.8289715,0.6596567,0.8298284,0.5482575,0.7741288,0.59458196,0.797291,0.67309546,0.83654773,0.707317,0.8536585,0.67159474,0.83579737,0.73282146,0.86641073,0.6968943,0.84844714,0.7097173,0.85485864
56798,0.66823465,0.8341173,0.6400564,0.8200282,0.5784881,0.78924406,0.59071827,0.79535913,0.6949758,0.8474879,0.755541,0.87777054,0.7722239,0.886112,0.74948156,0.8747408,0.73464304,0.8673215,0.79045224,0.8952261
56799,0.626312,0.813156,0.58555233,0.79277617,0.520138,0.760069,0.54906994,0.77453494,0.63722837,0.8186142,0.73772466,0.86886233,0.73290145,0.8664507,0.71799576,0.8589979,0.75305456,0.8765273,0.7987071,0.89935356
56800,0.5986214,0.7993107,0.5706607,0.78533036,0.49514163,0.7475708,0.5762663,0.78813314,0.549219,0.7746095,0.6021507,0.80107534,0.54989374,0.77494687,0.6294933,0.8147466,0.60775137,0.8038757,0.60071427,0.8003571
56801,0.65430653,0.82715327,0.6393215,0.8196608,0.57834744,0.7891737,0.5827985,0.79139924,0.6728759,0.83643794,0.7962297,0.89811486,0.71188843,0.8559442,0.75867623,0.87933815,0.740692,0.870346,0.77148736,0.8857437
56802,0.5878335,0.79391676,0.54548943,0.7727447,0.55186486,0.77593243,0.5425672,0.7712836,0.5493969,0.77469844,0.6514572,0.8257286,0.6121987,0.80609936,0.6312227,0.81561136,0.7147825,0.85739124,0.6851534,0.84257674
56803,0.7000614,0.85003066,0.72757,0.863785,0.64283645,0.8214182,0.6507702,0.8253851,0.6971923,0.84859616,0.74813604,0.874068,0.72329783,0.8616489,0.78338045,0.89169025,0.72653145,0.86326575,0.75649786,0.87824893
56804,0.7323868,0.8661934,0.726313,0.8631565,0.6556735,0.82783675,0.6639788,0.8319894,0.75158525,0.8757926,0.81809235,0.9090462,0.7442173,0.87210864,0.84838706,0.9241935,0.80488396,0.902442,0.8122457,0.90612286
56805,0.555895,0.7779475,0.56830037,0.7841502,0.520812,0.760406,0.5814214,0.7907107,0.5136359,0.75681794,0.58795786,0.7939789,0.56542146,0.78271073,0.6493758,0.8246879,0.6696689,0.83483446,0.63903105,0.8195155
56807,0.6327281,0.81636405,0.6468259,0.82341295,0.5636043,0.7818022,0.59499276,0.7974964,0.63386774,0.8169339,0.6663924,0.83319616,0.67337215,0.8366861,0.6825532,0.8412766,0.71408606,0.857043,0.7038728,0.8519364
56809,0.73171294,0.86585647,0.70454687,0.85227346,0.6466702,0.8233351,0.65687776,0.8284389,0.7344825,0.86724126,0.8326795,0.91633976,0.74661887,0.87330943,0.8377113,0.91885567,0.8138881,0.90694404,0.82724166,0.9136208
56859,0.5987661,0.79938304,0.557848,0.778924,0.46350023,0.73175013,0.5718398,0.7859199,0.5919973,0.7959987,0.7043536,0.8521768,0.6569408,0.8284704,0.653371,0.8266855,0.6901685,0.84508425,0.69934857,0.8496743
56860,0.65450656,0.8272533,0.6625242,0.8312621,0.5980443,0.79902214,0.69924486,0.8496224,0.67599845,0.8379992,0.7624731,0.88123655,0.7215711,0.86078554,0.7861824,0.8930912,0.7601329,0.88006645,0.79669625,0.8983481
56861,0.6111814,0.8055907,0.57622766,0.78811383,0.5148343,0.75741714,0.6118372,0.8059186,0.62285876,0.8114294,0.6786902,0.8393451,0.6778671,0.8389336,0.68094885,0.8404744,0.6824038,0.8412019,0.69647753,0.84823877
56862,0.64094025,0.8204701,0.6546662,0.8273331,0.53896964,0.7694848,0.58711934,0.7935597,0.61405617,0.80702806,0.69149673,0.84574836,0.6698129,0.83490646,0.71453714,0.8572686,0.72094244,0.86047125,0.70687366,0.8534368
57384,0.7288963,0.8644482,0.6853987,0.84269935,0.6135777,0.80678886,0.60654294,0.8032715,0.7581776,0.87908876,0.87580407,0.93790203,0.8096595,0.90482974,0.81381583,0.9069079,0.7650357,0.8825178,0.8573892,0.9286946
57400,0.7661195,0.88305974,0.67930377,0.8396519,0.64201987,0.82100993,0.61657214,0.8082861,0.75582916,0.87791455,0.85222983,0.9261149,0.7497629,0.87488145,0.80398124,0.90199065,0.7066461,0.85332304,0.8052876,0.9026438
62042,0.6678035,0.83390176,0.63625586,0.81812793,0.61692834,0.80846417,0.6021119,0.8010559,0.6078174,0.8039087,0.61816823,0.8090841,0.56418777,0.7820939,0.62030053,0.81015027,0.59920025,0.7996001,0.5735203,0.78676015
63086,0.46309662,0.7315483,0.50167906,0.75083953,0.43564343,0.7178217,0.4703283,0.73516417,0.49927416,0.74963707,0.5899056,0.7949528,0.60297936,0.8014897,0.58678013,0.79339004,0.6086541,0.804327,0.6156744,0.8078372
63087,0.6833291,0.84166455,0.64872634,0.8243632,0.5937284,0.7968642,0.61923325,0.8096166,0.707704,0.85385203,0.7928529,0.89642644,0.77208376,0.8860419,0.72728103,0.86364055,0.7650962,0.8825481,0.8107654,0.9053827
83710,0.683931,0.8419655,0.6806053,0.84030265,0.5842217,0.79211086,0.66824657,0.83412325,0.6974188,0.8487094,0.7319069,0.86595345,0.6553136,0.8276568,0.75664973,0.87832487,0.7087369,0.85436845,0.7290615,0.86453074
83711,0.46918732,0.73459363,0.53486,0.76743,0.47788802,0.738944,0.45930174,0.72965086,0.41230142,0.7061507,0.37248582,0.68624294,0.40295696,0.7014785,0.47083014,0.7354151,0.4664776,0.7332388,0.4006068,0.70030344
86666,0.6319365,0.8159683,0.6879076,0.8439538,0.5798441,0.78992206,0.61189616,0.8059481,0.652309,0.8261545,0.752759,0.8763795,0.7415891,0.87079453,0.7967319,0.898366,0.7901628,0.8950814,0.79750097,0.8987505
87779,0.4395182,0.7197591,0.49779728,0.7488986,0.4004807,0.7002404,0.5034392,0.7517196,0.41250134,0.70625067,0.37494215,0.6874711,0.4463328,0.7231664,0.4500941,0.72504705,0.4706443,0.7353221,0.40758428,0.70379215
97622,0.72096395,0.860482,0.66116357,0.8305818,0.6280276,0.81401384,0.57916725,0.7895836,0.726279,0.8631395,0.8538327,0.92691636,0.73482764,0.8674138,0.80297494,0.90148747,0.7487297,0.87436485,0.7928045,0.89640224
98134,0.5371282,0.7685641,0.5622455,0.78112274,0.4943301,0.7471651,0.45989203,0.729946,0.5846092,0.79230464,0.6577669,0.8288834,0.6874075,0.84370375,0.64670926,0.8233546,0.67321014,0.8366051,0.6965569,0.84827846
