,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_google_ux_Score
30845,0.66073424,0.8303671,0.6296816,0.8148408,0.57333344,0.78666675,0.5830436,0.7915218,0.70750654,0.85375327,0.8305787,0.91528934,0.7416818,0.8708409,0.78511554,0.89255774,0.792327,0.89616346,0.8115143,0.9057572
32072,0.76030767,0.88015383,0.72537106,0.86268556,0.7213268,0.8606634,0.6960541,0.84802705,0.7274604,0.8637302,0.7868514,0.8934257,0.71486485,0.8574324,0.80856097,0.9042805,0.76119334,0.88059664,0.7652863,0.88264316
46443,0.75588274,0.87794137,0.77193975,0.8859699,0.7000389,0.85001945,0.6892349,0.8446175,0.7881205,0.89406025,0.84294534,0.92147267,0.78714883,0.8935744,0.8451282,0.9225641,0.82242924,0.9112146,0.8545889,0.9272945
46506,0.44184232,0.72092116,0.50133145,0.7506657,0.44327247,0.72163624,0.46443066,0.73221534,0.46812257,0.7340613,0.5257895,0.76289475,0.48440567,0.7422028,0.57380354,0.7869018,0.6266978,0.8133489,0.60096693,0.80048347
50300,0.73477805,0.867389,0.7174991,0.8587495,0.72072506,0.8603625,0.6576157,0.82880783,0.775581,0.8877905,0.82926214,0.91463107,0.73089933,0.86544967,0.8256978,0.9128489,0.7946558,0.8973279,0.82688165,0.9134408
51419,0.6592034,0.8296017,0.64996135,0.8249807,0.5959826,0.7979913,0.60388637,0.8019432,0.6821994,0.84109974,0.75355726,0.8767786,0.72054195,0.860271,0.7612014,0.8806007,0.7460898,0.8730449,0.77431166,0.88715583
53971,0.5952846,0.7976423,0.5823368,0.7911684,0.5038824,0.7519412,0.5463792,0.7731896,0.6182621,0.809131,0.6468016,0.8234008,0.6508337,0.82541686,0.67267704,0.8363385,0.68188447,0.84094226,0.66739786,0.8336989
53972,0.6306892,0.8153446,0.6531202,0.82656014,0.56626284,0.7831314,0.58144814,0.79072404,0.6569637,0.82848185,0.6932423,0.84662116,0.6903263,0.8451631,0.7119198,0.8559599,0.7237731,0.86188656,0.7142892,0.8571446
53973,0.6576631,0.82883155,0.62673753,0.8133688,0.6038285,0.8019142,0.63321006,0.81660503,0.6813679,0.84068394,0.7687725,0.88438624,0.71568507,0.85784256,0.7718017,0.88590086,0.7899772,0.8949886,0.7917487,0.8958744
53974,0.6192059,0.809603,0.5769355,0.78846776,0.5330742,0.7665371,0.5762664,0.7881332,0.66005695,0.8300285,0.7498973,0.8749486,0.71932805,0.859664,0.70648926,0.85324466,0.7076098,0.8538049,0.7498779,0.87493896
53975,0.6085691,0.8042846,0.5563298,0.77816486,0.55630404,0.778152,0.55471444,0.7773572,0.6003221,0.80016106,0.73273855,0.86636925,0.6540778,0.8270389,0.67483187,0.83741593,0.7188866,0.8594433,0.71741146,0.85870576
53976,0.5231482,0.7615741,0.5036684,0.7518342,0.4749738,0.7374869,0.48695654,0.7434783,0.53786284,0.7689314,0.6013583,0.80067915,0.61934555,0.8096728,0.5807439,0.79037195,0.63101906,0.81550956,0.62098384,0.8104919
53977,0.7150982,0.8575491,0.63631785,0.8181589,0.57569456,0.7878473,0.5937927,0.79689634,0.7111927,0.85559636,0.784431,0.8922155,0.7424133,0.87120664,0.7482316,0.8741158,0.7528103,0.8764051,0.7747148,0.8873574
53978,0.66789126,0.83394563,0.6303111,0.8151555,0.6094473,0.8047236,0.59014726,0.7950736,0.7023622,0.8511811,0.8027351,0.90136755,0.71811867,0.85905933,0.75994194,0.87997097,0.76936173,0.88468087,0.8161989,0.9080994
53979,0.7367157,0.86835784,0.68664587,0.84332293,0.6492615,0.82463074,0.6285657,0.8142829,0.7629649,0.8814825,0.8498888,0.9249444,0.7566906,0.8783453,0.8072677,0.90363383,0.7550439,0.877522,0.79465884,0.89732945
53981,0.58036983,0.7901849,0.58523,0.792615,0.5201287,0.76006436,0.5757042,0.7878521,0.6264494,0.8132247,0.6963171,0.84815854,0.69927925,0.84963965,0.6828694,0.8414347,0.7108308,0.8554154,0.73336995,0.866685
54796,0.64653957,0.8232698,0.6257798,0.81288993,0.5247899,0.76239496,0.6020185,0.80100924,0.5962833,0.79814166,0.65699625,0.8284981,0.6576028,0.8288014,0.71497107,0.85748553,0.669003,0.8345015,0.6685487,0.83427435
54797,0.7213331,0.8606665,0.66548705,0.8327435,0.6742358,0.8371179,0.5846492,0.7923246,0.7455063,0.87275314,0.8444334,0.9222167,0.7174113,0.85870564,0.7841723,0.89208615,0.7179941,0.85899705,0.7718364,0.8859182
54798,0.602995,0.80149746,0.6473702,0.8236851,0.54730874,0.77365434,0.5980972,0.7990486,0.615202,0.807601,0.6296409,0.8148204,0.609573,0.8047865,0.6547152,0.8273576,0.71384126,0.8569206,0.64666975,0.8233349
54799,0.5382807,0.76914036,0.5835866,0.7917933,0.46546817,0.7327341,0.546522,0.773261,0.56679845,0.7833992,0.6329032,0.8164516,0.6465997,0.8232999,0.6540785,0.82703924,0.72182673,0.8609134,0.72141916,0.86070955
54800,0.64072764,0.8203638,0.6420165,0.8210082,0.5825232,0.7912616,0.5740579,0.7870289,0.63183415,0.8159171,0.7109777,0.85548884,0.69748116,0.8487406,0.7444918,0.8722459,0.743995,0.8719975,0.74123484,0.8706174
56453,0.68272984,0.8413649,0.7159798,0.8579899,0.6619185,0.83095926,0.65730286,0.8286514,0.7285933,0.8642967,0.71491265,0.8574563,0.77829057,0.88914526,0.75288635,0.87644315,0.8054669,0.90273345,0.7819188,0.8909594
56528,0.6179948,0.8089974,0.58175766,0.79087883,0.48807085,0.7440354,0.56260514,0.7813026,0.6207016,0.8103508,0.7155615,0.85778075,0.6687678,0.8343839,0.6751421,0.837571,0.7111563,0.8555782,0.70265734,0.8513287
56542,0.66637015,0.8331851,0.65061855,0.8253093,0.58008444,0.7900422,0.65468013,0.82734007,0.66638494,0.83319247,0.74893594,0.87446797,0.69715405,0.848577,0.7593925,0.87969625,0.75184536,0.8759227,0.7748481,0.88742405
56543,0.5153786,0.7576893,0.5151477,0.75757384,0.44120032,0.7206001,0.46735537,0.7336777,0.51584077,0.7579204,0.5596921,0.7798461,0.58827007,0.79413503,0.5793208,0.7896604,0.61719,0.808595,0.5838182,0.7919091
56544,0.64375794,0.82187897,0.6169337,0.80846685,0.5536239,0.77681196,0.61976814,0.8098841,0.66294897,0.8314745,0.7484994,0.8742497,0.72771496,0.8638575,0.7296996,0.8648498,0.72747827,0.86373913,0.7769988,0.8884994
56545,0.5059011,0.75295055,0.55468833,0.77734417,0.43955964,0.71977985,0.49756473,0.7487824,0.45633906,0.72816956,0.47252804,0.736264,0.477665,0.7388325,0.56812316,0.78406155,0.56896424,0.7844821,0.5266234,0.76331174
56618,0.66175234,0.8308762,0.68513715,0.8425686,0.577973,0.7889865,0.62381935,0.8119097,0.6462677,0.8231338,0.7190511,0.85952556,0.71445423,0.8572271,0.77887857,0.8894393,0.7558234,0.8779117,0.76679295,0.8833965
56619,0.5901082,0.7950541,0.610816,0.805408,0.5040348,0.7520174,0.5699502,0.7849751,0.6305553,0.81527764,0.69121003,0.845605,0.70859385,0.8542969,0.6800685,0.84003425,0.7189571,0.8594786,0.7248666,0.8624333
56629,0.707598,0.853799,0.6722814,0.8361407,0.6096221,0.80481106,0.6538132,0.82690656,0.6866745,0.84333724,0.8070719,0.90353596,0.73476607,0.867383,0.82319915,0.9115996,0.7645,0.88225,0.80223966,0.9011198
56630,0.6751341,0.8375671,0.6453219,0.8226609,0.54502,0.77251,0.5826307,0.7913153,0.6757201,0.83786005,0.7760178,0.8880089,0.7366515,0.8683257,0.7473054,0.8736527,0.7659435,0.88297176,0.79481065,0.8974053
56631,0.55020607,0.77510303,0.5717899,0.785895,0.47278678,0.7363934,0.5433671,0.7716836,0.5803598,0.7901799,0.6354846,0.8177423,0.6233802,0.8116901,0.6567441,0.82837206,0.69865763,0.8493288,0.7245308,0.8622654
56632,0.6784302,0.8392151,0.6689898,0.8344949,0.5939537,0.79697686,0.6303481,0.81517404,0.7122406,0.8561203,0.8206568,0.9103284,0.7944028,0.8972014,0.8058507,0.9029254,0.7774514,0.8887257,0.84552574,0.9227629
56633,0.6087888,0.80439436,0.56635076,0.78317535,0.5163745,0.7581873,0.51360154,0.7568008,0.5961058,0.7980529,0.6914987,0.8457494,0.67138064,0.8356903,0.66342103,0.8317105,0.68034077,0.8401704,0.6819626,0.8409813
56634,0.5737541,0.78687704,0.5766744,0.78833723,0.49107614,0.74553806,0.5261495,0.76307476,0.6122012,0.8061006,0.68053484,0.8402674,0.69003654,0.84501827,0.68188965,0.8409448,0.72047955,0.86023974,0.7104439,0.855222
56635,0.50455487,0.75227743,0.53505236,0.76752615,0.50674117,0.7533706,0.49834734,0.74917364,0.47866493,0.73933244,0.5099946,0.7549973,0.53181756,0.7659088,0.5435879,0.77179396,0.5876283,0.7938142,0.58961284,0.7948064
56637,0.5918814,0.7959407,0.60063946,0.80031973,0.5094965,0.7547482,0.5959482,0.7979741,0.62000865,0.81000435,0.6978847,0.84894234,0.66351914,0.8317596,0.71501344,0.85750675,0.7010474,0.8505237,0.71958756,0.8597938
56638,0.7034416,0.8517208,0.6736046,0.8368023,0.58890045,0.7944502,0.5968759,0.79843795,0.742955,0.8714775,0.8128378,0.9064189,0.796262,0.898131,0.78245234,0.8912262,0.7374496,0.8687248,0.81979394,0.90989697
56639,0.49872825,0.74936414,0.4893643,0.74468213,0.43552423,0.7177621,0.4537475,0.72687376,0.5068901,0.753445,0.62498665,0.8124933,0.6094921,0.80474603,0.574801,0.7874005,0.61589074,0.8079454,0.6550458,0.8275229
56641,0.6270875,0.81354374,0.607735,0.80386746,0.55408263,0.7770413,0.5752037,0.7876018,0.65374506,0.8268725,0.733623,0.8668115,0.7524791,0.87623954,0.6890656,0.8445328,0.72217274,0.86108637,0.7722395,0.8861197
56642,0.5805142,0.7902571,0.56572664,0.7828633,0.49483627,0.74741817,0.5134212,0.7567106,0.5948953,0.7974477,0.67773104,0.8388655,0.6994267,0.8497133,0.6555987,0.8277993,0.7071752,0.8535876,0.70987,0.854935
56643,0.71871054,0.8593553,0.66768837,0.8338442,0.6419718,0.8209859,0.62762296,0.8138115,0.6564386,0.8282193,0.71489,0.857445,0.5879781,0.79398906,0.73696285,0.8684814,0.706282,0.853141,0.6694653,0.83473265
56644,0.6657934,0.8328967,0.6489117,0.82445586,0.5757028,0.7878514,0.6082047,0.80410236,0.66884536,0.8344227,0.72002023,0.86001015,0.732957,0.8664785,0.7425363,0.87126815,0.7387358,0.8693679,0.74513674,0.87256837
56645,0.61615884,0.8080794,0.6302238,0.8151119,0.5644071,0.78220356,0.623407,0.8117035,0.6144164,0.8072082,0.6617997,0.83089983,0.6528587,0.82642937,0.72640884,0.8632044,0.7044869,0.8522434,0.6994852,0.8497426
56646,0.60603666,0.80301833,0.5654841,0.782742,0.48725367,0.74362683,0.57839775,0.7891989,0.5964636,0.79823184,0.69445366,0.84722686,0.6617167,0.83085835,0.67004263,0.8350213,0.7049773,0.85248864,0.7018078,0.85090387
56647,0.6505935,0.82529676,0.65487623,0.8274381,0.5917842,0.7958921,0.6300974,0.8150487,0.67278767,0.83639383,0.7527568,0.8763784,0.7400732,0.8700366,0.7363029,0.8681514,0.7415628,0.8707814,0.78693867,0.89346933
56648,0.69733477,0.8486674,0.6733066,0.8366533,0.6007752,0.8003876,0.64771616,0.8238581,0.67869294,0.83934647,0.7294003,0.86470014,0.6981319,0.84906596,0.7499808,0.8749904,0.7425769,0.8712884,0.7355355,0.86776775
56649,0.59745896,0.7987295,0.60835016,0.8041751,0.5334014,0.76670074,0.5497358,0.7748679,0.6012825,0.80064124,0.64796287,0.8239814,0.5900428,0.7950214,0.63721395,0.818607,0.657988,0.82899404,0.6337363,0.8168682
56650,0.70754886,0.8537744,0.67279667,0.83639836,0.6073475,0.80367374,0.58445597,0.792228,0.7583135,0.8791567,0.84482116,0.9224106,0.812549,0.9062745,0.7764243,0.88821214,0.76629436,0.8831472,0.83027196,0.915136
56651,0.54502594,0.772513,0.48877323,0.7443866,0.46798053,0.73399025,0.4437786,0.7218893,0.582939,0.7914695,0.716151,0.8580755,0.65815467,0.82907736,0.6311157,0.81555784,0.641518,0.820759,0.70885944,0.8544297
56652,0.6891139,0.8445569,0.6860783,0.84303916,0.57874846,0.78937423,0.61886,0.80943,0.6878828,0.8439414,0.7615801,0.88079005,0.7475548,0.8737774,0.7508302,0.8754151,0.78429306,0.8921465,0.77856445,0.8892822
56653,0.5543996,0.7771998,0.55677867,0.77838933,0.5122511,0.75612557,0.49784452,0.7489222,0.5426158,0.7713079,0.63499314,0.81749654,0.59908664,0.7995433,0.64191425,0.8209571,0.6675008,0.83375037,0.6605885,0.83029425
56654,0.74826545,0.87413275,0.71332264,0.8566613,0.6481176,0.8240588,0.68033504,0.8401675,0.7679487,0.8839743,0.82321155,0.9116058,0.8017422,0.9008711,0.80501664,0.9025083,0.82237315,0.9111866,0.8533776,0.9266888
56656,0.58348846,0.79174423,0.5941061,0.79705304,0.51592386,0.7579619,0.5500481,0.77502406,0.61792517,0.8089626,0.64177984,0.82088995,0.6560607,0.82803035,0.6385089,0.81925446,0.66204965,0.8310248,0.6780218,0.8390109
56657,0.51996565,0.7599828,0.4831761,0.74158806,0.41653037,0.7082652,0.45592403,0.727962,0.5480669,0.7740334,0.6855794,0.8427897,0.6429911,0.82149553,0.5921627,0.79608136,0.6272388,0.8136194,0.6838633,0.84193164
56661,0.70946187,0.85473096,0.68113494,0.84056747,0.5763181,0.788159,0.6034135,0.8017068,0.69813085,0.8490654,0.79102373,0.89551187,0.7218238,0.8609119,0.7501804,0.87509024,0.7352265,0.86761326,0.7763933,0.88819665
56662,0.6765828,0.8382914,0.67002183,0.8350109,0.5678116,0.7839058,0.6766803,0.83834016,0.66568375,0.8328419,0.7490398,0.87451994,0.69037473,0.84518737,0.7696111,0.88480556,0.78980327,0.89490163,0.79400164,0.8970008
56725,0.7265246,0.8632623,0.7052982,0.8526491,0.634311,0.8171555,0.65337884,0.8266894,0.7412794,0.8706397,0.8187561,0.90937805,0.7929547,0.89647734,0.82029617,0.9101481,0.7658212,0.8829106,0.82390624,0.9119531
56795,0.6461787,0.82308936,0.68417287,0.84208643,0.59839725,0.7991986,0.6148455,0.80742276,0.6855998,0.8427999,0.73276144,0.8663807,0.7653922,0.8826961,0.7711418,0.8855709,0.7669243,0.8834622,0.77523667,0.8876183
56796,0.5825132,0.7912566,0.6115296,0.8057648,0.52984846,0.7649242,0.5504784,0.7752392,0.6484107,0.82420534,0.6883112,0.8441556,0.704847,0.8524235,0.7222372,0.8611186,0.6820176,0.8410088,0.6916155,0.8458078
56797,0.72036064,0.8601803,0.71465445,0.8573272,0.60989964,0.8049498,0.63109314,0.8155466,0.7399466,0.8699733,0.7833643,0.89168215,0.7320825,0.86604124,0.7915372,0.89576864,0.75738287,0.87869143,0.7718352,0.8859176
56798,0.6077167,0.80385834,0.59268975,0.7963449,0.54377055,0.7718853,0.5669025,0.78345126,0.62912446,0.8145622,0.66770303,0.8338515,0.70314324,0.8515716,0.6904346,0.8452173,0.68527657,0.84263825,0.7272453,0.86362267
56799,0.61155665,0.8057783,0.5874318,0.7937159,0.50523037,0.7526152,0.5472161,0.7736081,0.6177896,0.8088948,0.6951289,0.84756446,0.69457614,0.8472881,0.6828283,0.84141415,0.72668445,0.8633422,0.72697604,0.863488
56800,0.59859216,0.7992961,0.5900799,0.79503995,0.5073319,0.7536659,0.5931667,0.79658335,0.57295597,0.786478,0.6072626,0.8036313,0.5730513,0.7865256,0.6436795,0.82183975,0.6315812,0.8157906,0.6149493,0.8074746
56801,0.5603174,0.7801587,0.56505203,0.782526,0.5514685,0.77573425,0.5464712,0.77323556,0.5536079,0.776804,0.65181696,0.8259085,0.56571096,0.7828555,0.6475444,0.8237722,0.6715919,0.83579594,0.65768576,0.8288429
56802,0.6189611,0.80948055,0.5660238,0.7830119,0.55852103,0.7792605,0.54960024,0.7748001,0.5809653,0.79048264,0.6966747,0.84833735,0.6392239,0.8196119,0.67774004,0.83887005,0.72368526,0.86184263,0.71858,0.85929
56803,0.74858963,0.8742948,0.74050474,0.8702524,0.6467685,0.8233843,0.6454716,0.8227358,0.7527114,0.8763557,0.80830693,0.90415347,0.75855136,0.8792757,0.8024905,0.90124524,0.78013945,0.8900697,0.81893015,0.9094651
56804,0.7548153,0.87740767,0.7383378,0.8691689,0.6811341,0.84056705,0.70119154,0.8505958,0.7545955,0.87729776,0.7891236,0.89456177,0.72728276,0.8636414,0.84513605,0.922568,0.80088764,0.9004438,0.7921015,0.89605075
56805,0.5496118,0.7748059,0.5556076,0.7778038,0.5122248,0.7561124,0.5623576,0.78117883,0.50965273,0.75482637,0.58209145,0.7910457,0.54670346,0.7733517,0.6430118,0.8215059,0.65296745,0.8264837,0.60713094,0.8035655
56807,0.6985202,0.8492601,0.6944936,0.84724677,0.61566675,0.8078334,0.62006295,0.8100315,0.71879506,0.85939753,0.7851298,0.8925649,0.7840062,0.89200306,0.7684792,0.8842396,0.7943192,0.8971596,0.8201802,0.9100901
56809,0.7153488,0.85767436,0.7272701,0.86363506,0.6220634,0.8110317,0.6822177,0.84110886,0.72661906,0.8633095,0.7745313,0.8872657,0.75750375,0.8787519,0.8047937,0.90239686,0.8023366,0.9011683,0.79998785,0.8999939
56859,0.59993684,0.7999684,0.54922193,0.774611,0.4731595,0.7365798,0.5650198,0.7825099,0.5944787,0.79723936,0.67972624,0.8398631,0.6312065,0.81560326,0.6499928,0.8249964,0.6763675,0.83818376,0.6739015,0.8369508
56860,0.67105734,0.8355287,0.6586369,0.82931846,0.5920627,0.79603136,0.704273,0.8521365,0.6990984,0.8495492,0.7943499,0.89717495,0.74918354,0.87459177,0.8063573,0.9031787,0.77620757,0.8881038,0.82131255,0.9106563
56861,0.5501342,0.7750671,0.541988,0.770994,0.46958572,0.7347928,0.59044075,0.7952204,0.55277336,0.7763867,0.5775745,0.78878725,0.6160854,0.8080427,0.6134512,0.8067256,0.6184593,0.8092296,0.6119881,0.80599403
56862,0.6552663,0.82763314,0.6585911,0.8292955,0.5253896,0.76269484,0.5755758,0.7877879,0.6509355,0.8254677,0.7059001,0.85295004,0.67225766,0.83612883,0.7187729,0.85938644,0.7164402,0.8582201,0.7037798,0.8518899
57384,0.7499068,0.8749534,0.7070466,0.8535233,0.6694064,0.8347032,0.6522189,0.8261094,0.75310856,0.87655425,0.86852115,0.9342606,0.7705466,0.88527334,0.8409667,0.92048335,0.7790097,0.88950485,0.8372408,0.9186204
57400,0.7283983,0.86419916,0.64742124,0.8237106,0.5897727,0.79488635,0.5984547,0.79922736,0.70156157,0.8507808,0.80587375,0.9029369,0.73496515,0.86748254,0.77234197,0.886171,0.6827243,0.8413621,0.77871466,0.8893573
62042,0.65033406,0.82516706,0.60463023,0.8023151,0.5871682,0.7935841,0.6015401,0.80077004,0.59216666,0.79608333,0.634766,0.817383,0.592584,0.796292,0.6176556,0.80882776,0.6228517,0.81142586,0.60831845,0.8041592
63086,0.52519655,0.7625983,0.54735494,0.77367747,0.48040754,0.74020374,0.494004,0.747002,0.5570177,0.77850884,0.6655543,0.83277714,0.63565934,0.81782967,0.6404656,0.8202328,0.67656827,0.83828413,0.6873963,0.84369814
63087,0.6908282,0.8454141,0.6648953,0.83244765,0.6120137,0.80600685,0.63999176,0.8199959,0.6960864,0.8480432,0.73860615,0.8693031,0.7618586,0.8809293,0.73767364,0.8688368,0.7262106,0.8631053,0.7722113,0.88610566
83710,0.70871246,0.8543562,0.68228656,0.84114325,0.6067283,0.80336416,0.659729,0.8298645,0.6937653,0.84688264,0.776096,0.888048,0.6973426,0.8486713,0.7806568,0.8903284,0.7393278,0.8696639,0.7791904,0.8895952
83711,0.56958246,0.78479123,0.6124505,0.80622524,0.6128342,0.8064171,0.5584325,0.7792163,0.530507,0.76525354,0.49712366,0.74856186,0.47901857,0.7395093,0.61895627,0.80947816,0.6177838,0.8088919,0.55796397,0.778982
86666,0.68603945,0.8430197,0.7281966,0.8640983,0.6189523,0.80947614,0.6621319,0.83106595,0.6693462,0.8346731,0.75357705,0.8767885,0.7359586,0.8679793,0.8277968,0.9138984,0.79183185,0.8959159,0.79710317,0.8985516
87779,0.45700437,0.72850215,0.5244658,0.7622329,0.4048857,0.7024429,0.48533604,0.74266803,0.43545717,0.7177286,0.44437075,0.7221854,0.5130058,0.75650287,0.4880799,0.74403995,0.508985,0.7544925,0.49671912,0.74835956
97622,0.70920914,0.8546046,0.71087253,0.85543627,0.6757467,0.83787334,0.62136745,0.8106837,0.74421346,0.87210673,0.83595884,0.9179794,0.7579797,0.8789898,0.8329021,0.91645104,0.78970623,0.8948531,0.8289182,0.9144591
