,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_google_ux_Score
29788,0.556846,0.778423,0.5596113,0.77980566,0.470456,0.735228,0.5136532,0.75682664,0.6123847,0.80619234,0.68002987,0.84001493,0.6954125,0.84770626,0.64675355,0.8233768,0.6698222,0.8349111,0.7033869,0.85169345
29835,0.66054726,0.8302736,0.66251516,0.8312576,0.5561669,0.77808344,0.5936589,0.79682946,0.6559726,0.8279863,0.7712748,0.8856374,0.72723687,0.86361843,0.7607179,0.88035893,0.7572422,0.8786211,0.77450466,0.88725233
30606,0.6166841,0.80834204,0.56363666,0.78181833,0.5276478,0.76382387,0.5677556,0.7838778,0.6552421,0.82762104,0.73966074,0.86983037,0.6471417,0.82357085,0.7022577,0.8511288,0.70656455,0.8532823,0.7170619,0.85853094
30845,0.7212743,0.8606372,0.6876164,0.8438082,0.6298127,0.81490636,0.628443,0.8142215,0.7490914,0.8745457,0.8512411,0.92562056,0.7584759,0.87923795,0.8134027,0.9067013,0.8046957,0.90234786,0.81849575,0.9092479
32072,0.76060605,0.880303,0.707937,0.8539685,0.6889609,0.84448045,0.6647266,0.8323633,0.711245,0.85562253,0.78967476,0.8948374,0.71070206,0.85535103,0.8013093,0.9006547,0.7441522,0.8720761,0.7625453,0.8812727
46443,0.74349576,0.87174785,0.7625228,0.8812614,0.7133249,0.85666245,0.6890877,0.8445438,0.7849401,0.89247006,0.8228289,0.91141444,0.7411313,0.87056565,0.8527156,0.9263578,0.80662405,0.903312,0.84321743,0.9216087
46506,0.46986157,0.73493075,0.5261235,0.76306176,0.455853,0.7279265,0.45796204,0.728981,0.516232,0.758116,0.58147144,0.7907357,0.5323805,0.7661903,0.61640817,0.80820405,0.6627743,0.83138716,0.63973975,0.8198699
50300,0.7127048,0.8563524,0.705509,0.8527545,0.70212615,0.8510631,0.670576,0.835288,0.75986135,0.8799307,0.80803305,0.9040165,0.7130195,0.85650975,0.8128779,0.90643895,0.7950168,0.8975084,0.82256967,0.9112848
51419,0.65805864,0.8290293,0.66725683,0.8336284,0.5956681,0.79783404,0.61002684,0.8050134,0.6769762,0.8384881,0.74120355,0.8706018,0.7176074,0.8588037,0.7525772,0.8762886,0.7564164,0.87820816,0.7687957,0.88439786
53971,0.681278,0.840639,0.65428376,0.8271419,0.5707996,0.7853998,0.5943839,0.797192,0.71833444,0.8591672,0.749976,0.87498796,0.7615298,0.8807649,0.74255365,0.87127686,0.75711966,0.8785598,0.7659851,0.8829925
53972,0.60563946,0.8028197,0.6134769,0.80673844,0.5354166,0.7677083,0.5596888,0.7798444,0.6120832,0.8060416,0.69670606,0.848353,0.66493225,0.8324661,0.6987503,0.8493751,0.7150594,0.8575297,0.69261634,0.8463082
53973,0.71069807,0.85534906,0.6710006,0.8355003,0.626477,0.8132385,0.6818594,0.8409297,0.73015267,0.8650763,0.8037217,0.90186083,0.75362957,0.8768148,0.7971895,0.89859474,0.793276,0.89663804,0.8193832,0.9096916
53974,0.5899949,0.79499745,0.58182925,0.79091465,0.517473,0.7587365,0.56615204,0.78307605,0.6260426,0.8130213,0.6948626,0.8474313,0.69066536,0.8453327,0.66319615,0.83159804,0.6926433,0.84632164,0.71155,0.855775
53975,0.6153868,0.80769336,0.56367207,0.78183603,0.56266636,0.7813332,0.5712917,0.78564584,0.6094109,0.80470544,0.7263817,0.8631909,0.6281669,0.81408346,0.6625072,0.8312536,0.71934986,0.85967493,0.6975047,0.8487524
53976,0.54357076,0.7717854,0.51989233,0.75994617,0.47782686,0.7389134,0.48261106,0.74130553,0.56035274,0.7801764,0.64568883,0.8228444,0.6430968,0.8215484,0.60040367,0.80020183,0.6762421,0.83812106,0.66120005,0.8306
53977,0.6743938,0.8371969,0.6219851,0.81099254,0.53886354,0.76943177,0.581686,0.790843,0.6600841,0.83004206,0.72089994,0.86044997,0.7053082,0.8526541,0.7042579,0.852129,0.7225462,0.8612731,0.72444904,0.8622245
53978,0.6815226,0.8407613,0.65044683,0.82522345,0.599759,0.7998795,0.5790659,0.78953296,0.73180306,0.8659015,0.80590427,0.90295213,0.7358204,0.8679102,0.7597231,0.8798616,0.744465,0.8722325,0.8057121,0.90285605
53979,0.7395806,0.8697903,0.68412507,0.84206253,0.6227097,0.8113549,0.6197114,0.8098557,0.7625807,0.8812903,0.8557838,0.9278919,0.75613296,0.8780665,0.7996589,0.89982945,0.75206065,0.8760303,0.795733,0.8978665
53981,0.6247132,0.8123566,0.6488871,0.8244436,0.52737826,0.76368916,0.60829353,0.80414677,0.665316,0.832658,0.7028341,0.85141706,0.7354295,0.86771476,0.70423263,0.85211635,0.7113729,0.8556864,0.7163924,0.8581962
54796,0.6054424,0.8027212,0.58810186,0.79405093,0.48769084,0.7438454,0.57006687,0.78503346,0.5496126,0.77480626,0.60997605,0.804988,0.59343696,0.7967185,0.6805564,0.8402782,0.6280638,0.8140319,0.6222393,0.8111197
54797,0.70399845,0.8519992,0.69323844,0.84661925,0.66267735,0.83133864,0.60811055,0.8040553,0.73179656,0.86589825,0.836024,0.918012,0.7260127,0.86300635,0.80905414,0.90452707,0.75583017,0.8779151,0.8007494,0.9003747
54798,0.6439247,0.82196236,0.66926277,0.8346314,0.58202577,0.7910129,0.6340126,0.8170063,0.6733925,0.83669627,0.7109451,0.85547256,0.68234473,0.84117234,0.72559553,0.86279774,0.7731248,0.8865624,0.72175,0.860875
54799,0.48861143,0.74430573,0.5237944,0.7618972,0.40806052,0.7040303,0.49109316,0.7455466,0.52020293,0.76010144,0.5679418,0.7839709,0.5968546,0.79842734,0.58074784,0.7903739,0.649536,0.824768,0.656639,0.8283195
54800,0.6467588,0.8233794,0.68325484,0.8416274,0.5693195,0.78465974,0.58094597,0.790473,0.6428778,0.8214389,0.6780983,0.83904916,0.6926018,0.8463009,0.7483735,0.87418675,0.7333051,0.86665255,0.68706155,0.8435308
56453,0.6425926,0.82129633,0.65386426,0.82693213,0.5805058,0.7902529,0.59763074,0.79881537,0.6983099,0.84915495,0.73503804,0.867519,0.7808318,0.8904159,0.7064841,0.85324204,0.7851265,0.8925632,0.7830575,0.8915287
56528,0.5933584,0.7966792,0.5319508,0.76597536,0.4592899,0.72964495,0.5378748,0.7689374,0.5956286,0.7978143,0.6724602,0.8362301,0.66042477,0.83021235,0.63143533,0.8157177,0.66914403,0.834572,0.6620463,0.83102316
56542,0.6594077,0.8297038,0.6222668,0.8111334,0.5738231,0.78691155,0.6126967,0.8063483,0.6660213,0.8330107,0.7735119,0.88675594,0.7011287,0.85056436,0.7820788,0.8910394,0.74832404,0.874162,0.7741894,0.88709474
56543,0.5364184,0.7682092,0.5144502,0.7572251,0.44179276,0.72089636,0.47719806,0.73859906,0.52431285,0.7621564,0.57224655,0.7861233,0.60548866,0.8027443,0.58137155,0.7906858,0.6062964,0.8031482,0.59636676,0.7981834
56544,0.611652,0.805826,0.59091294,0.79545647,0.5349208,0.7674604,0.56369054,0.7818453,0.6350434,0.8175217,0.7309042,0.8654521,0.7120578,0.8560289,0.68789506,0.8439475,0.71085644,0.8554282,0.75857216,0.87928605
56545,0.51507115,0.7575356,0.5769187,0.78845936,0.45519376,0.7275969,0.47940302,0.7397015,0.5012215,0.7506107,0.50465524,0.7523276,0.5448807,0.7724403,0.6140035,0.8070017,0.5929509,0.7964754,0.5312036,0.7656018
56618,0.6321937,0.81609684,0.6829885,0.84149426,0.5629727,0.7814864,0.61295164,0.8064758,0.65186346,0.8259317,0.68511736,0.8425587,0.70685774,0.85342884,0.76385176,0.8819259,0.75600946,0.8780047,0.7267291,0.8633646
56619,0.58552074,0.7927604,0.59823644,0.7991182,0.5034099,0.75170493,0.551629,0.77581453,0.6096076,0.8048038,0.69398737,0.8469937,0.68398654,0.8419933,0.6659641,0.83298206,0.7022166,0.8511083,0.72411335,0.8620567
56629,0.7105049,0.85525244,0.6799835,0.83999175,0.6087635,0.8043817,0.66532993,0.83266497,0.7189287,0.85946435,0.81303835,0.9065192,0.7464757,0.87323785,0.835865,0.9179325,0.7627237,0.88136184,0.8114314,0.9057157
56630,0.6457629,0.82288146,0.6292677,0.81463385,0.5345589,0.76727945,0.5932977,0.79664886,0.6288526,0.8144263,0.70562553,0.85281277,0.68473923,0.8423696,0.729116,0.864558,0.73215485,0.8660774,0.7344921,0.86724603
56631,0.5265129,0.76325643,0.5402047,0.7701024,0.4711543,0.73557717,0.53360504,0.76680255,0.55301154,0.77650577,0.59680486,0.7984024,0.5645436,0.7822718,0.6170893,0.80854464,0.6360688,0.8180344,0.6740258,0.8370129
56632,0.7269368,0.8634684,0.69219255,0.8460963,0.6276665,0.81383324,0.6562613,0.82813066,0.7207116,0.8603558,0.80955577,0.9047779,0.7732949,0.88664746,0.7993641,0.89968204,0.76888996,0.88444495,0.81630826,0.90815413
56633,0.7087838,0.85439193,0.6953085,0.8476542,0.6043625,0.80218124,0.6404792,0.8202396,0.7452414,0.8726207,0.7502775,0.87513876,0.80021185,0.90010595,0.7547539,0.8773769,0.739348,0.86967397,0.78000444,0.89000225
56634,0.4893341,0.74466705,0.49086648,0.7454332,0.43461683,0.7173084,0.4406035,0.72030175,0.52356523,0.76178265,0.6139245,0.80696225,0.60077256,0.8003863,0.6004547,0.80022734,0.64662135,0.8233107,0.64197767,0.82098883
56635,0.5634173,0.78170866,0.62848586,0.81424296,0.54521525,0.7726076,0.54060125,0.7703006,0.6018052,0.8009026,0.66454905,0.83227456,0.6793707,0.8396853,0.6921976,0.8460988,0.6722002,0.8361001,0.70465183,0.8523259
56637,0.59745944,0.7987297,0.5801872,0.7900936,0.5148971,0.75744855,0.6069571,0.80347854,0.60935473,0.80467737,0.67054117,0.8352706,0.6411457,0.82057285,0.69815695,0.8490785,0.6600949,0.8300475,0.6713984,0.8356992
56638,0.7123842,0.8561921,0.68784046,0.84392023,0.59994483,0.7999724,0.6067814,0.80339074,0.7432062,0.87160313,0.81543064,0.9077153,0.79021955,0.8951098,0.78197986,0.8909899,0.7404069,0.87020344,0.8116529,0.90582645
56639,0.53318477,0.7665924,0.5636982,0.7818491,0.4920056,0.7460028,0.50174206,0.75087106,0.5860381,0.79301906,0.67657197,0.838286,0.6966957,0.84834784,0.65686846,0.8284342,0.7023355,0.85116774,0.7289986,0.86449933
56641,0.6041127,0.8020563,0.5595546,0.7797773,0.5160719,0.75803596,0.54445755,0.7722288,0.6217246,0.8108623,0.7128811,0.85644054,0.69344544,0.8467227,0.67051744,0.8352587,0.6826354,0.8413177,0.7514225,0.87571126
56642,0.6017611,0.80088055,0.5919729,0.7959864,0.5279289,0.7639644,0.5396514,0.7698257,0.6229421,0.81147105,0.7150266,0.8575133,0.71944284,0.8597214,0.69009,0.845045,0.73430824,0.8671541,0.73363245,0.8668162
56643,0.7596158,0.8798079,0.6759655,0.8379828,0.66869986,0.83434993,0.6504713,0.82523566,0.69648284,0.84824145,0.74057746,0.8702887,0.62297326,0.8114866,0.74958885,0.8747944,0.7236312,0.8618156,0.7004473,0.85022366
56644,0.6159089,0.80795443,0.61151516,0.8057576,0.52477574,0.7623879,0.597481,0.7987405,0.6302364,0.8151182,0.6603595,0.83017975,0.69629097,0.8481455,0.69452214,0.8472611,0.6993536,0.8496768,0.68590087,0.84295046
56645,0.6213745,0.81068724,0.6218077,0.81090385,0.5635628,0.78178144,0.6279037,0.81395185,0.608735,0.80436754,0.67007726,0.83503866,0.64050895,0.82025445,0.7359603,0.8679801,0.69392675,0.8469634,0.6923535,0.84617674
56646,0.52695173,0.7634759,0.5182829,0.75914145,0.42457983,0.7122899,0.5393231,0.76966155,0.5190224,0.75951123,0.57790446,0.78895223,0.5861368,0.7930684,0.5822896,0.7911448,0.6355343,0.81776714,0.62527394,0.812637
56647,0.6632563,0.83162814,0.7009363,0.85046816,0.6215788,0.8107894,0.6664659,0.83323294,0.7014998,0.8507499,0.70585555,0.8529278,0.7311624,0.8655812,0.74346316,0.8717316,0.7560384,0.8780192,0.73542976,0.8677149
56648,0.77009314,0.8850466,0.6952268,0.8476134,0.6414603,0.82073015,0.67184836,0.83592415,0.7332516,0.8666258,0.7858473,0.89292365,0.71900636,0.85950315,0.7981496,0.8990748,0.75110626,0.87555313,0.76319396,0.881597
56649,0.6064982,0.8032491,0.6135775,0.80678874,0.524326,0.76216304,0.54185426,0.77092713,0.60102046,0.8005102,0.6434748,0.8217374,0.5749476,0.7874738,0.6381483,0.81907415,0.65462446,0.82731223,0.6244998,0.8122499
56650,0.71379054,0.85689527,0.6795045,0.83975226,0.6123999,0.8061999,0.617005,0.8085025,0.7463335,0.87316674,0.8110709,0.90553546,0.78688246,0.8934412,0.7817122,0.8908561,0.77536786,0.8876839,0.80674624,0.9033731
56651,0.6323194,0.8161597,0.6083051,0.80415255,0.5754058,0.7877029,0.54828155,0.7741408,0.7152315,0.8576157,0.7932523,0.8966261,0.740662,0.870331,0.7535373,0.87676865,0.73944545,0.8697227,0.7808101,0.89040506
56652,0.66149867,0.83074933,0.67379725,0.8368986,0.5786628,0.78933144,0.61220086,0.8061004,0.6809158,0.8404579,0.73034066,0.86517036,0.7193669,0.85968345,0.74107426,0.87053716,0.7503612,0.8751806,0.73920953,0.86960477
56653,0.6374843,0.81874216,0.61975694,0.80987847,0.57198447,0.78599226,0.5690932,0.7845466,0.64190674,0.82095337,0.72736764,0.8636838,0.69469833,0.84734917,0.71235764,0.8561788,0.72548556,0.8627428,0.72793686,0.86396843
56654,0.7340013,0.86700064,0.7010685,0.85053426,0.6312576,0.81562877,0.6410028,0.8205014,0.7715127,0.8857564,0.8247527,0.91237634,0.78044474,0.8902224,0.8070853,0.90354264,0.7961036,0.8980518,0.8201994,0.9100997
56656,0.61315954,0.80657977,0.63402605,0.817013,0.55599,0.777995,0.57526714,0.78763354,0.6691884,0.8345942,0.6884943,0.84424716,0.7221092,0.8610546,0.6836314,0.8418157,0.7064688,0.8532344,0.72658545,0.8632927
56657,0.48811734,0.74405867,0.44761372,0.72380686,0.3871697,0.69358486,0.4202417,0.71012086,0.51965386,0.7598269,0.6438019,0.82190096,0.63609505,0.8180475,0.5494505,0.77472526,0.6058712,0.8029356,0.66908765,0.8345438
56661,0.7287098,0.8643549,0.67358136,0.8367907,0.5900177,0.79500884,0.601163,0.8005815,0.7023249,0.85116243,0.8099035,0.90495175,0.7009463,0.85047317,0.7628449,0.88142246,0.7544303,0.87721515,0.7858252,0.8929126
56662,0.73773533,0.86886764,0.70779985,0.85389996,0.61982256,0.80991125,0.65907466,0.82953733,0.7225056,0.8612528,0.7936958,0.8968479,0.7278484,0.8639242,0.81949556,0.9097478,0.8024849,0.9012425,0.81759226,0.90879613
56725,0.636064,0.818032,0.6368941,0.81844705,0.5532256,0.77661276,0.61255956,0.8062798,0.65929294,0.82964647,0.72816944,0.8640847,0.739101,0.86955047,0.721955,0.86097753,0.7137397,0.8568698,0.7505077,0.87525386
56795,0.6332608,0.81663036,0.6648487,0.83242434,0.5821978,0.7910989,0.5896864,0.7948432,0.70528436,0.8526422,0.7559519,0.87797594,0.7830398,0.8915199,0.77715087,0.88857543,0.7907735,0.89538676,0.7892883,0.89464414
56796,0.5513085,0.77565426,0.6092198,0.8046099,0.50585604,0.752928,0.531977,0.76598847,0.6280017,0.81400084,0.6358419,0.8179209,0.69424427,0.84712213,0.6820911,0.84104556,0.6556556,0.8278278,0.64986086,0.8249304
56797,0.6844698,0.8422349,0.6957371,0.84786856,0.5870713,0.79353565,0.61107945,0.8055397,0.7118836,0.8559418,0.73362064,0.8668103,0.6897735,0.8448868,0.7697845,0.8848922,0.7180432,0.8590216,0.7230195,0.86150974
56798,0.5935881,0.79679406,0.6088891,0.80444455,0.5472361,0.77361804,0.5708437,0.78542185,0.63035274,0.81517637,0.6959708,0.8479854,0.72379214,0.86189604,0.7026232,0.85131156,0.71585965,0.8579298,0.74490106,0.87245053
56799,0.5453545,0.77267724,0.51889765,0.7594488,0.43591124,0.7179556,0.49346086,0.74673045,0.56344897,0.78172445,0.6423247,0.82116234,0.6604889,0.8302444,0.6295768,0.8147884,0.6454177,0.82270885,0.6806524,0.8403262
56800,0.5945663,0.7972832,0.578799,0.7893995,0.502133,0.7510665,0.5738802,0.7869401,0.54410267,0.77205133,0.58478814,0.79239404,0.5369104,0.7684552,0.6225315,0.8112657,0.59438515,0.7971926,0.58736587,0.79368293
56801,0.67236656,0.8361833,0.6744765,0.83723825,0.59992766,0.79996383,0.59947586,0.79973793,0.6981106,0.8490553,0.7980419,0.8990209,0.718712,0.859356,0.78976154,0.8948808,0.7453732,0.8726866,0.76911426,0.8845571
56802,0.60403794,0.802019,0.57927626,0.78963816,0.53840184,0.7692009,0.54959345,0.7747967,0.5961721,0.79808605,0.69002926,0.84501463,0.67055464,0.8352773,0.679714,0.839857,0.71325684,0.8566284,0.672673,0.8363365
56803,0.72931474,0.8646574,0.71609795,0.858049,0.65210015,0.82605004,0.6410562,0.8205281,0.73576915,0.8678846,0.82481384,0.9124069,0.7690179,0.88450897,0.80597043,0.9029852,0.7895113,0.89475566,0.8266767,0.91333836
56804,0.723793,0.8618965,0.7181909,0.85909545,0.6335846,0.8167923,0.66352355,0.8317618,0.74551904,0.8727595,0.78520805,0.892604,0.71080184,0.8554009,0.8317181,0.91585904,0.7733614,0.8866807,0.76089895,0.8804495
56805,0.61993647,0.80996823,0.61229783,0.8061489,0.5549898,0.7774949,0.5957879,0.79789394,0.5968362,0.7984181,0.6746445,0.83732224,0.63811284,0.8190564,0.6968989,0.84844947,0.7130499,0.85652494,0.691494,0.845747
56807,0.6615307,0.83076537,0.68100786,0.84050393,0.56734574,0.78367287,0.61182415,0.8059121,0.6850234,0.8425117,0.6891323,0.8445661,0.7020526,0.8510263,0.6965579,0.84827894,0.74432665,0.8721633,0.7244687,0.86223435
56809,0.6084055,0.80420274,0.64300436,0.8215022,0.52001184,0.76000595,0.62465733,0.8123287,0.64007366,0.8200368,0.67123514,0.83561754,0.6873428,0.84367144,0.7250078,0.8625039,0.73479533,0.86739767,0.73200107,0.86600053
56859,0.555632,0.777816,0.51676077,0.7583804,0.43248248,0.71624124,0.5456608,0.77283037,0.554981,0.7774905,0.6390696,0.8195348,0.61139464,0.8056973,0.61596596,0.807983,0.65205777,0.8260289,0.6433576,0.82167876
56860,0.6056535,0.80282676,0.59438807,0.797194,0.5392132,0.7696066,0.64409524,0.8220476,0.6231961,0.81159806,0.72696453,0.86348224,0.680151,0.8400755,0.744388,0.872194,0.73489225,0.8674461,0.7657453,0.88287264
56861,0.580342,0.790171,0.58561695,0.7928085,0.50372654,0.75186324,0.60781074,0.80390537,0.58188576,0.7909429,0.60326195,0.801631,0.6471847,0.82359236,0.6447507,0.82237536,0.66555643,0.8327782,0.6416061,0.82080305
56862,0.6797996,0.8398998,0.6721144,0.8360572,0.5376836,0.7688418,0.5960617,0.79803085,0.6490185,0.82450926,0.6856887,0.84284437,0.6652562,0.83262813,0.7149123,0.85745615,0.69055605,0.845278,0.6727566,0.83637834
57384,0.739787,0.8698935,0.66757846,0.8337892,0.6388993,0.81944966,0.6411654,0.8205827,0.7277574,0.8638787,0.8273776,0.9136888,0.758613,0.8793065,0.80794847,0.90397424,0.7245904,0.8622952,0.80512446,0.90256226
57400,0.7527275,0.87636375,0.7192255,0.85961276,0.6323176,0.8161588,0.6493335,0.82466674,0.7547267,0.8773633,0.8121735,0.90608674,0.759219,0.87960947,0.8124,0.9062,0.72825533,0.86412764,0.79158306,0.89579153
62042,0.6845881,0.84229404,0.6108936,0.8054468,0.60869634,0.8043482,0.6038586,0.8019293,0.6281419,0.81407094,0.67441314,0.8372066,0.6101432,0.8050716,0.6282675,0.81413376,0.636101,0.8180505,0.6279809,0.8139905
63086,0.511098,0.755549,0.52927065,0.7646353,0.462899,0.7314495,0.46675164,0.7333758,0.5443049,0.7721524,0.6266277,0.81331384,0.61676097,0.8083805,0.5907824,0.7953912,0.6388806,0.8194403,0.6374434,0.8187217
63087,0.66524535,0.83262265,0.63967836,0.8198392,0.568601,0.7843005,0.6445538,0.8222769,0.7055328,0.8527664,0.7332578,0.8666289,0.7747165,0.88735825,0.7383279,0.869164,0.7261671,0.86308354,0.7664132,0.8832066
83710,0.68397236,0.8419862,0.6638811,0.83194053,0.57979417,0.7898971,0.6803266,0.8401633,0.6574184,0.8287092,0.73168075,0.8658404,0.6536563,0.8268281,0.73997647,0.8699882,0.7179493,0.85897464,0.7253691,0.86268455
83711,0.50550973,0.75275487,0.5736911,0.78684556,0.5244099,0.76220495,0.5073921,0.7536961,0.4438709,0.72193545,0.43737444,0.71868724,0.43476152,0.71738076,0.5449269,0.77246344,0.55154103,0.77577055,0.4769959,0.738498
86666,0.63706505,0.8185325,0.7075121,0.85375607,0.58393997,0.79197,0.6553555,0.8276777,0.6821564,0.84107816,0.75649226,0.8782461,0.7513038,0.8756519,0.81767875,0.90883934,0.79666543,0.8983327,0.80639136,0.9031957
87779,0.63611794,0.81805897,0.6461309,0.82306546,0.59229773,0.7961489,0.62072545,0.8103627,0.6040155,0.8020078,0.56605816,0.7830291,0.5561742,0.77808714,0.62307966,0.8115398,0.61076546,0.8053827,0.57044435,0.7852222
97622,0.73341393,0.86670697,0.73495895,0.86747944,0.6812969,0.8406484,0.6413669,0.8206835,0.77619183,0.8880959,0.8635334,0.9317667,0.77762127,0.88881063,0.86280894,0.9314045,0.79767334,0.8988367,0.8514569,0.92572844
98134,0.65970683,0.8298534,0.61903226,0.80951613,0.6105411,0.80527055,0.54391384,0.7719569,0.6649617,0.83248085,0.72458285,0.86229146,0.6902282,0.8451141,0.7217468,0.8608734,0.6770599,0.83852994,0.7147324,0.8573662
98135,0.67704654,0.83852327,0.66866374,0.83433187,0.62244,0.81122,0.63270545,0.8163527,0.70398194,0.85199094,0.81918406,0.90959203,0.73732495,0.8686625,0.81226385,0.9061319,0.76337516,0.8816876,0.8028146,0.9014073
